url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00287v1,"Drug repurposing for SARS-COV-2: A molecular docking, molecular dynamics, machine learning, and ab initio study","And lastly, the Battaglia equations are known to provide a good result for a
beginner-level code, but modification of the parameters is necessary to reduce the error, which
is beyond the scope of this study. And we leave it for future work in these three variables of the
machine learning analysis section of the article. 4. ",q-bio.BM,A,0.30393884,0.17824835,0.50223845
http://arxiv.org/pdf/2201.00287v2,"Drug repurposing for SARS-COV-2: A high-throughput molecular docking, molecular dynamics, machine learning, & ab-initio study","And lastly, the Battaglia equations are known to provide a good result for a
beginner-level code, but the modification of the parameters is necessary to reduce the error,
which is beyond the scope of this study. And we leave it for future work in these three variables
of the machine learning analysis section of the article. 4. ",q-bio.BM,A,0.29758286,0.17890306,0.50250816
http://arxiv.org/pdf/2201.00287v3,"Drug repurposing for SARS-COV-2: A high-throughput molecular docking, molecular dynamics, machine learning, & ab-initio study","And lastly, the Battaglia equations are known to provide a good result for a
beginner-level code, but the modification of the parameters is necessary to reduce the error,
which is beyond the scope of this study. And we leave it for future work in these three variables
of the machine learning analysis section of the article. 4. ",q-bio.BM,A,0.29758286,0.17890306,0.50250816
http://arxiv.org/pdf/2201.08714v1,Equivalent Distance Geometry Error for Molecular Conformation Comparison,"Theoretical
analysis and extensive experiments demonstrate EDGE’s efﬁciency and effectiveness when being
applied to diverse backbone models. For future work, with the assistance of EDGE, the end-to-end
conformation generation models are prevented from being misled by time-consuming or ineffec-
tive optimization strategies, and thus more well-designed models can be proposed and improved to
handle various tasks on molecular conformation. REFERENCES

Simon Axelrod and Rafael Go´mez-Bombarelli. ",q-bio.BM,B,-0.0054216795,-0.2133759,-0.28881735
http://arxiv.org/pdf/2201.08714v2,Equivalent Distance Geometry Error for Molecular Conformation Comparison,"Theoretical
analysis and extensive experiments demonstrate EDGE’s efﬁciency and effectiveness when being
applied to diverse backbone models. For future work, with the assistance of EDGE, the end-to-end
conformation generation models are prevented from being misled by time-consuming or ineffec-
tive optimization strategies, and thus more well-designed models can be proposed and improved to
handle various tasks on molecular conformation. REFERENCES

Simon Axelrod and Rafael Go´mez-Bombarelli. ",q-bio.BM,B,-0.0054216795,-0.2133759,-0.28881735
http://arxiv.org/pdf/2201.11147v1,OntoProtein: Protein Pretraining With Gene Ontology Embedding,"Besides, OntoProtein is compatible with the model parameters of lots

                                                           9
Published as a conference paper at ICLR 2022

of pre-trained protein language models, which means that users can directly adopt the available
pre-trained parameters on OntoProtein without modifying the architecture. These positive results point to future work in (1) improving OntoProtein by injecting more infor-
mative knowledge with gene ontology selection; (2) extending this approach to sequence generating
tasks for protein design. ACKNOWLEDGMENTS

We want to express gratitude to the anonymous reviewers for their hard work and kind comments. ",q-bio.BM,A,-0.5350764,0.52239436,0.0050858147
http://arxiv.org/pdf/2201.11147v2,OntoProtein: Protein Pretraining With Gene Ontology Embedding,"Besides, OntoProtein is compatible
with the model parameters of lots of pre-trained protein language models, which means that users
can directly adopt the available pre-trained parameters on OntoProtein without modifying the ar-
chitecture. These positive results point to future work in (1) improving OntoProtein by injecting
more informative knowledge with gene ontology selection; (2) extending this approach to sequence
generating tasks for protein design. 9
Published as a conference paper at ICLR 2022

ACKNOWLEDGMENTS

We want to express gratitude to the anonymous reviewers for their hard work and kind comments. ",q-bio.BM,A,-0.5724372,0.5219931,0.0127395075
http://arxiv.org/pdf/2201.11147v3,OntoProtein: Protein Pretraining With Gene Ontology Embedding,"Besides, OntoProtein is compatible
with the model parameters of lots of pre-trained protein language models, which means that users
can directly adopt the available pre-trained parameters on OntoProtein without modifying the ar-

                                                           9
Published as a conference paper at ICLR 2022

chitecture. These positive results point to future work in (1) improving OntoProtein by injecting
more informative knowledge with gene ontology selection; (2) extending this approach to sequence
generating tasks for protein design. ACKNOWLEDGMENTS

We want to express gratitude to the anonymous reviewers for their hard work and kind comments. ",q-bio.BM,A_centroid,-0.5818921,0.5175628,0.022568462
http://arxiv.org/pdf/2201.11147v4,OntoProtein: Protein Pretraining With Gene Ontology Embedding,"Besides, OntoProtein is compatible
with the model parameters of lots of pre-trained protein language models, which means that users
can directly adopt the available pre-trained parameters on OntoProtein without modifying the ar-

                                                           9
Published as a conference paper at ICLR 2022

chitecture. These positive results point to future work in (1) improving OntoProtein by injecting
more informative knowledge with gene ontology selection; (2) extending this approach to sequence
generating tasks for protein design. ACKNOWLEDGMENTS

We want to express gratitude to the anonymous reviewers for their hard work and kind comments. ",q-bio.BM,A,-0.5818921,0.5175628,0.022568462
http://arxiv.org/pdf/2201.11147v5,OntoProtein: Protein Pretraining With Gene Ontology Embedding,"Besides, OntoProtein is compatible
with the model parameters of lots of pre-trained protein language models, which means that users
can directly adopt the available pre-trained parameters on OntoProtein without modifying the ar-

                                                           9
Published as a conference paper at ICLR 2022

chitecture. These positive results point to future work in (1) improving OntoProtein by injecting
more informative knowledge with gene ontology selection; (2) extending this approach to sequence
generating tasks for protein design. ACKNOWLEDGMENTS

We want to express gratitude to the anonymous reviewers for their hard work and kind comments. ",q-bio.BM,A,-0.5818921,0.5175628,0.022568462
