url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.01646v1,"What makes a reaction network ""chemical""?","5.2 Outlook to open problems                           There seem to be only a few constraints: (i) If a
                                                       moiety a appears in isolation, i.e., as a molecule
Construction of random chemistry-like networks         x = 1a, then val(a) must be even, since it con-
                                                       tains val(a)/2 loops. (ii) The case val(a) = 1 is
The formal characterization of chemistry-like RNs      only possible if there is no compound composed
developed here suggests several interesting ques-      exclusively of three or more copies of a or com-
tions for further research. In particular, our re-     posed of more than two moieties with valency 1.
sults deﬁne rather clearly how random chemistry-       (iii) It is well known that the sum of degrees must
like RNs should be deﬁned and thus poses the ques-     be even for every multigraph, and connectedness
tion whether there are eﬃcient algorithms for their    implies u val(u) ≥ 2(|V | − 1) [85]. ",q-bio.MN,A,-0.0362371,0.10649064,0.22249983
http://arxiv.org/pdf/2201.12229v1,Discovery methods for systematic analysis of causal molecular networks in modern omics datasets,"17
An advantage of large causal molecular networks is drug discovery and repurposing. Previous
approaches to identifying drugs have been focussed on correlating transcription signatures between
disease and known drugs (66) however this approach generates drugs and therapeutic targets that
rarely are further researched, and have not had much success in brining any new treatments to the
clinic. Causal pathways allow for more in-depth identification of drug targets. ",q-bio.MN,A,-0.30808568,0.0049695503,-0.2681081
http://arxiv.org/pdf/2202.07367v1,Using transcription-based detectors to emulate the behaviour of sequential probability ratio-based concentration detectors,"An example is
                                                                    the number of binding sites in the X part of the promoter
                                                                    X−Y. We will leave this for future work. [1] A. Wald, Sequential Analysis. ",q-bio.MN,C,0.2407998,0.18868077,-0.2362487
http://arxiv.org/pdf/2202.07367v2,Using transcription-based detectors to emulate the behaviour of sequential probability ratio-based concentration detectors,"An example is
                            3  3.5  4    4.5  5    5.5                6    6.5  7    7.5         8  the number of binding sites in the X part of the promoter
                                                                                                    X−Y. We will leave this for future work. FIG. ",q-bio.MN,C,0.31223723,0.21577325,-0.32294703
http://arxiv.org/pdf/2202.07367v3,Using transcription-based detectors to emulate the behaviour of sequential probability ratio-based concentration detectors,"However, if
                                                             the method in the last paragraph is used, then this clear
           D(L0.5) ∝ (6 − n)(1 − X∗(L0.5) + n2 )2 (S12.4)    separation of roles will no longer apply. We will leave
                                        n+1                  further study on this method as future work. We can calculate the right-hand side of the above equa-           Supplemental Material 14: Additional ﬁgures
tion using our chosen parameters of g+ and g− (which
gives X∗(L0.5) = 0.55), and for various values of n which
equals to 6 − m. Our calculations show that we will need

a larger diﬀusivity D(L0.5) for m = 3, 4 in comparison
to m = 1, 2. ",q-bio.MN,C,0.68065906,0.2841136,-0.03645432
http://arxiv.org/pdf/2202.07367v4,Using transcription-based detectors to emulate the behaviour of sequential probability ratio-based concentration detectors,"However, if
                                        n+1                 the method in the last paragraph is used, then this clear
                                                            separation of roles will no longer apply. We will leave
We can calculate the right-hand side of the above equa-     further study on this method as future work. tion using our chosen parameters of g+ and g− (which
gives X∗(L0.5) = 0.55), and for various values of n which        Supplemental Material 14: Additional ﬁgures
equals to 6 − m. Our calculations show that we will need

a larger diﬀusivity D(L0.5) for m = 3, 4 in comparison
to m = 1, 2. ",q-bio.MN,C_centroid,0.6791477,0.27559435,-0.05374256
http://arxiv.org/pdf/2203.00779v1,A mathematical modelling portrait of Wnt signalling in early vertebrate embryogenesis,"Conclusion and Perspectives

    The model created here is the ﬁrst attempt at mathematical modelling of the
ﬁve diﬀerent classes of direct Wnt target genes recently proposed in early em-
bryonic development [10]. It displays clear interactions of each class, providing
a platform for further research in the future. 6. ",q-bio.MN,B,0.2840744,-0.3381403,-0.36714086
http://arxiv.org/pdf/2203.00779v2,A mathematical modelling portrait of Wnt signalling in early vertebrate embryogenesis,"Conclusion and Perspectives

    The model created here is the ﬁrst attempt at mathematical modelling of the
ﬁve diﬀerent classes of direct Wnt target genes recently proposed in early em-
bryonic development [11]. It displays clear interactions of each class, providing
a platform for further research in the future. 6. ",q-bio.MN,B,0.28565282,-0.33679488,-0.3695382
http://arxiv.org/pdf/2203.00999v1,Characterizing the organizational diversity of protein interaction networks across three domains of life,"Results and Discussion

From a total of 5, 090 PPI networks in STRING we could classify 5, 007 networks into 71
phyla by leveraging taxonomic information from NCBI taxonomy database (31). Since, a large
number of phyla were having very few networks so to ensure that the classiﬁcation task re-
tain suﬃcient statistical power a threshold of 30 networks per phyla was set and only phylum
having 30 or more networks were considered for further study (38). This results in 16 phyla
including 4, 738 networks among which 162 are Archaeal, 4, 213 are Bacterial and 363 are Eu-
karyotic networks Table S1. ",q-bio.MN,A,-0.29264143,0.010535657,-0.11242601
http://arxiv.org/pdf/2203.03461v1,Path Weight Sampling: Exact Monte Carlo Computation of the Mutual Information between Stochastic Trajectories,"information transmission rate, and in particular whether
Other measures neither make it possible to address that      there is a trade-oﬀ between responding fast and respond-
question quantitatively nor qualitatively. For instance,     ing reliably, is an important topic for further study. the widely used Instantaneous Mutual Information (IMI)
between the steady state input and output at a given            The second point is that the chemotaxis system has
time point [6, 14, 82–85] predicts an optimal input cor-     a lower information transmission rate than the push-pull
relation time of τL ≈ 2 s, about an order of magnitude       network, for all input timescales. ",q-bio.MN,B,-0.17364073,-0.32813412,0.47978777
