url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.04663v1,Accurate Phylogenetic Inference with a Symmetry-preserving Neural Network Model,"Future work
will involve extending our neural network model to datasets with more taxa. In addition to extending the model to more taxa, future work will also involve allowing for nucleotide
sequences as input in addition to proteins. Currently, our model is only suited to handle protein

                                                                                                                       10
                                                                                                                              A PREPRINT

sequences and that is why we could only compare our performance to [15]. ",q-bio.PE,A,-0.20877635,0.102167405,0.23603961
http://arxiv.org/pdf/2201.06285v1,Mutations make pandemics worse or better: modeling SARS-CoV-2 variants and imperfect vaccination,"We have to point out that the results in contour plots revealed an interesting problem, i.e.,
there may exist an optimal strategy of supplementing the vaccine with diﬀerent eﬃcacies, in
order to ensure that the fewer cumulative cases and cumulative deaths, and that the expenditure

                                                           35
is economical, a topic for our future work. For preserving public health, it must be focused
on how the facility of medical resources availability aﬀects the pandemic of COVID-19, which
could be included in our model as future work. Formulating and analyzing the model with
other non-pharmaceutical interventions [73] with vaccination will be more helpful to control
the spread of multi-strain disease. ",q-bio.PE,B,0.5056156,-0.1268242,-0.00710644
http://arxiv.org/pdf/2201.06792v3,"Tit for Tattling: Cooperation, communication, and how each could stabilize the other","A

In this section, we will test to see if model is cooperative, e ectively communicative, and stable (it
will be). We assume a population of mostly stern discriminators (future work could address arbitrary
mixes of strategies). C

The state is clearly e ectively communicative since all agents abide by a separating mapping from mean-
ings to symbols, never withholding information. ",q-bio.PE,A,-0.05156598,0.04744072,-0.2416789
http://arxiv.org/pdf/2201.07353v1,Modeling interaction of Glioma cells and CAR T-cells considering multiple CAR T-cells bindings,"multiple CAR T-cells binding model are taken by hypothesis
2 with = 1, = 2 (top) and = 2, = 2 (bottom). One of our future works is to calibrate the reaction rate
Unlike what we had in hypothesis 1, there is no increasing        parameters from experimental data, and verify whether our
from two-bindings to three-bindings for all densities, and all    assumptions in hypothesis 2 on the reaction rates of multiple
results show saturation of ﬁnal tumor size after three-bindings. binding model is valid. ",q-bio.PE,B,0.098943375,0.11007179,-0.1870174
http://arxiv.org/pdf/2201.08207v1,Invasion Dynamics in the Biased Voter Process,"6 Experiments

Here we present some selective case studies on the perfor-
mance of various heuristics solving the ﬁxation maximiza-
tion problem for the biased voter process. Our studies do not
aim to be exhaustive, but rather offer some insights that may
drive future work. We consider six heuristics for the choice
of the seed set, namely (i) high degree, (ii) high temperature,

                                                                  6
in-depth search for good heuristics. ",q-bio.PE,C,-0.23523179,0.0899273,-0.0243654
http://arxiv.org/pdf/2201.08207v2,Invasion Dynamics in the Biased Voter Process,"Random seed sets arise in genetic/biological set-
since such an algorithm would decide whether S is a vertex           tings [Kaveh et al., 2015; Allen et al., 2020; Tkadlec et al.,
cover on G. That is so even though Lemma 5 implies, by sym-          2020], due to the random nature of novel mutations. Interest-
metrically exchanging mutant and resident roles, that the ex-        ing future work includes investigating better approximation
tinction probability 1 − fpGr (S) for r < 1 is submodular. Fix-      factors for r > 1, and an in-depth search for good heuristics. ",q-bio.PE,C,-0.27638817,-0.031440463,0.031888403
http://arxiv.org/pdf/2201.09761v1,Modelling preventive measures and their effect on generation times in emerging epidemics,"A theoretical
analysis, which has been tackled in some speciﬁc cases, e.g. [13], would be relevant for the
planning of control measures in connection with the emergence of new variants of interest
and is left for future work. Acknowledgements

T.B. ",q-bio.PE,A,-0.07861729,-0.19477555,-0.16464691
http://arxiv.org/pdf/2201.09761v2,Modelling preventive measures and their effect on generation times in emerging epidemics,"A theoretical analysis, which
has been tackled in some speciﬁc cases, e.g. [15], would be relevant for the planning of control
measures in connection with the emergence of new variants of interest and is left for future work. Acknowledgements

The authors thank the anonymous referees for their constructive comments. ",q-bio.PE,A,-0.064035356,-0.19637138,-0.15709749
http://arxiv.org/pdf/2202.01968v1,Rearrangement Events on Circular Genomes,"We
deﬁne the ‘set of cuts’ applied by a given rearrangement in Section 5, and use this idea to
characterise and count the distinct rearrangement actions which are precisely the biologically
reasonable ones, linking this idea to the important and well-studied concept of a ‘breakpoint’. The paper concludes with a summary including a brief discussion of possible future work. 2 Genomes and Rearrangements as Permutations

Approaches to genome rearrangement modelling can diﬀer greatly depending on the particular
types of genomes in question. ",q-bio.PE,C,-0.20451821,0.1115879,0.0815099
http://arxiv.org/pdf/2202.03985v1,A model of virus infection with immune responses supports boosting CTL response to balance antibody response,"While research on stochastic
dynamical systems shows that the deterministic structure of a model is often still strongly apparent with the addition of
stochasticity [Abbott and Nolting, 2017], future studies that use hybrid models that include stochastic and deterministic
dynamics, and modeling that considers heterogeneity, will advance the ﬁeld by leading to more precise depictions of
the biological scenarios being modeled. Our model and analysis presented here may form the foundation of such
future work. 5 Acknowledgements

We would like to thank Mark Schumaker for substantial input on an earlier draft of the paper. ",q-bio.PE,A,-0.019914916,-0.35561433,-0.09467463
http://arxiv.org/pdf/2202.03985v2,A model of virus infection with immune responses supports boosting CTL response to balance antibody response,"While research on stochastic
dynamical systems shows that the deterministic structure of a model is often still strongly apparent with the addition of
stochasticity [Abbott and Nolting, 2017], future studies that use hybrid models that include stochastic and deterministic
dynamics, and modeling that considers heterogeneity, will advance the ﬁeld by leading to more precise depictions of
the biological scenarios being modeled. Our model and analysis presented here may form the foundation of such
future work. 5 Acknowledgements

We would like to thank Mark Schumaker for substantial input on an earlier draft of the paper. ",q-bio.PE,A,-0.019914916,-0.35561433,-0.09467463
http://arxiv.org/pdf/2202.04991v1,A note on a prey-predator model with constant-effort harvesting,"We trust that the analysis
of the stability of the equilibrium points may be helpful to new researchers in the
ﬁeld. As future work, we plan to modify the proposed model in order to make
possible the co-existence equilibrium point. A note on a prey-predator model with constant-eﬀort harvesting  9

Acknowledgments

The authors are grateful to the ﬁnancial support of The Center for Research
and Development in Mathematics and Applications (CIDMA) through the Por-
tuguese Foundation for Science and Technology (FCT – Funda¸ca˜o para a Ciˆencia
e a Tecnologia), projects UIDP/04106/2020 (Lemos-Silva) and UIDB/04106/2020
(Torres). ",q-bio.PE,C,0.017263753,-0.0015528072,-0.27167934
http://arxiv.org/pdf/2202.05889v1,Embeddability of centrosymmetric matrices,"In Section 3, we will ﬁrst study the embeddability of 4 ˆ 4 centrosymmetric
Markov matrices, which include the K3P, K2P and JC Markov matrices. In Section 5 and
Section 6, we will further study the embeddability of higher order centrosymmetric Markov
matrices. Deﬁnition 2.4. ",q-bio.PE,C,0.051339503,0.46616995,-0.13831986
http://arxiv.org/pdf/2202.05889v2,Embeddability of centrosymmetric matrices capturing the double-helix structure in natural and synthetic DNA,"In
Section 3, we will ﬁrst study the embeddability of 4 ˆ 4 centrosymmetric Markov matrices, which
include the K3P, K2P and JC Markov matrices. In Section 5 and Section 6, we will further study
the embeddability of higher order centrosymmetric Markov matrices. 5
3 Embeddability of 4 ˆ 4 centrosymmetric matrices

In this section, we begin our study by analyzing the embeddability of 4ˆ4 centrosymmetric matrices
also known as strand symmetric matrices. ",q-bio.PE,C,0.04643128,0.48316246,-0.08938027
http://arxiv.org/pdf/2202.06206v1,Fluctuation scaling in Lévy-stable recruitment of marine fishes in randomly varying environments,"Figure 2 shows that, after rescaled with
their means and standard deviations of log-transformed data, the recruitment time-
series collapse onto a standard log-normal distribution. I further study the diﬀerences between two consecutive values in (raw) recruit-
ment time-series, where the original time-series is detrended by subtracting the
mean trend. Based on the Kolmogorov-Smirnov test with data aggregated across
72 stocks, while the null hypothesis that the (rescaled) log-transformed data are
normally distributed cannot be rejected with a p-value of 9.54 × 10−2, the null
hypothesis that the successive diﬀerences of the (rescaled) recruitment series are
normally distributed should be rejected with a p-value of 1.14 × 10−12. ",q-bio.PE,B,0.026850391,0.12769972,-0.014114243
