url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.02101v1,Using mathematical modelling to identify data requirements for increased prediction accuracy in radiotherapy,"These new techniques, combined with advanced radiomics approaches, may soon provide
temporal data of tumour composition with which to parametrise such models. The validation of the approach presented in this
paper, when applied to analyse such data, is an important avenue for future work. References

 1. ",q-bio.TO,C_centroid,-0.42351913,-0.08418177,-0.20532969
http://arxiv.org/pdf/2201.05392v1,A 1D-0D-3D coupled model for simulating blood flow and transport processes in breast tissue,"We compare the fully coupled model to available medical data and the simpliﬁed sub-model. Finally, closing
remarks are given and an outlook for future work is described in Section 8. 2. ",q-bio.TO,C,-0.1193396,-0.15473855,-0.067018166
http://arxiv.org/pdf/2201.11584v1,Modelling the effect of vascular status on tumour evolution and outcome after thermal therapy,"Therefore, cell death and the time scales involved strongly depend on the
speciﬁc vascular scenario used to model thermal therapy. It would be interesting to perform further research
on more elaborate models of cell death in order to identify new therapeutic protocols better adapted to the
vascular status of the patient. 6. ",q-bio.TO,C,-0.13647375,0.001869536,0.049959585
http://arxiv.org/pdf/2202.12406v1,Cardiac Reentry Modeled by Spatiotemporal Chaos in a Coupled Map Lattice,"Another goal in generalizing studies
about the genesis of cardiac spirals is the modeling of spiral waves in the brain, a very little understood phenomenon
the appears to be related to seizures and epilepsy [37, 38, 39, 40, 41, 42]. Although this case will not be dealt in this
paper, we intend to use the insights gained here to model the neural case in a future work, taking advantage of the vast
neuronal behaviors found in the KTz model. 2
         Cardiac reentry modeled by spatiotemporal chaos in a coupled map lattice

Despite the simplicity of the KTz model, we generate a bifurcation diagram of the action potential duration (APD)
similar to the biophysically detailed model and create an analogous simulations of reentry to the ones with reaction-
diffusion models with conductance-based equations. ",q-bio.TO,C,-0.077065125,-0.63855433,0.5285053
http://arxiv.org/pdf/2202.12406v2,Cardiac Reentry Modeled by Spatiotemporal Chaos in a Coupled Map Lattice,"Another goal in generalizing studies
about the genesis of cardiac spirals is the modeling of spiral waves in the brain, a very little understood phenomenon
the appears to be related to seizures and epilepsy [37, 38, 39, 40, 41, 42]. Although this case will not be dealt in this
paper, we intend to use the insights gained here to model the neural case in a future work, taking advantage of the vast
neuronal behaviors found in the KTz model. 2
         Cardiac reentry modeled by spatiotemporal chaos in a coupled map lattice

Despite the simplicity of the KTz model, we generate a bifurcation diagram of the action potential duration (APD)
similar to the biophysically detailed model and create an analogous simulations of reentry to the ones with reaction-
diffusion models with conductance-based equations. ",q-bio.TO,C,-0.077065125,-0.63855433,0.5285053
http://arxiv.org/pdf/2203.11753v1,Modelling mechanically dominated vasculature development,"Recognising that many alternatives
are possible, different behaviours may be readily implemented in place of this simple choice in the provided
implementation, such as having the parent agent proceed unperturbed by the process of division. This also
includes the clear potential for treating θsplit as an agent-speciﬁc quantity or a random variable, which may
contribute a further source of heterogeneity in future work. Representing the opposite phenomenon to splitting and termed anastomoses in the context of vasculature,
the merging or collision of agents, either with other agents or laid trails, is necessary to generate closed
loops in planar vasculature, with tree-like networks otherwise being the only possibility. ",q-bio.TO,C,-0.115150385,-0.28974634,-0.27590287
http://arxiv.org/pdf/2203.14967v1,The vagus nerve regulates immunometabolic homeostasis in the ovine fetus near term: impact on terminal ileum,"Effects of vagus nerve manipulation on fetal systemic arterial glucose and insulin levels
For glucose, we found a treatment effect for both Vx+LPS400 and Vx+LPS800 (Table 1). Since there was no significant
difference between Vx+LPS400 and Vx+LPS800 insulin or glucose values at the respective time points, we combined
them into one Vx+LPS group for further analysis in this subsection: there was only one positive pronounced effect for
treatment in the Vx+LPS group corresponding to a ~30% rise in glucose values throughout the experiment in this group
(Fig. 3). ",q-bio.TO,B_centroid,0.8813243,-0.02611248,-0.08385902
http://arxiv.org/pdf/2203.14967v2,The vagus nerve regulates immunometabolic homeostasis in the ovine fetus near term: impact on terminal ileum,"Effects of vagus nerve manipulation on fetal systemic arterial glucose and insulin levels

For glucose, we found a treatment effect for both Vx+LPS400 and Vx+LPS800 (Table 1). Since there was no significant
difference between Vx+LPS400 and Vx+LPS800 insulin or glucose values at the respective time points, we combined them
into one Vx+LPS group for further analysis in this subsection: there was only one positive pronounced effect for treatment
in the Vx+LPS group corresponding to a ~30% rise in glucose values throughout the experiment in this group (Fig. 3). ",q-bio.TO,B,0.8813243,-0.02611248,-0.08385902
http://arxiv.org/pdf/2203.14967v3,The vagus nerve regulates immunometabolic homeostasis in the ovine fetus near term: impact on terminal ileum,"Effects of vagus nerve manipulation on fetal systemic arterial glucose and insulin levels
For glucose, we found a treatment effect for both Vx+LPS400 and Vx+LPS800 (Table 1). Since there was no significant
difference between Vx+LPS400 and Vx+LPS800 insulin or glucose values at the respective time points, we combined them
into one Vx+LPS group for further analysis in this subsection: there was only one positive pronounced effect for treatment
in the Vx+LPS group (p<0.001) corresponding to a ~30% rise in glucose values throughout the experiment in this group
(Fig. 3). ",q-bio.TO,B,0.87878954,-0.027748546,-0.08733767
http://arxiv.org/pdf/2205.09285v2,Leveraging mid-infrared spectroscopic imaging and deep learning for tissue subtype classification in ovarian cancer,"performance. We will explore this optimization and the effects of
improved spatial resolution on identifying other tissue subtypes
in future work involving multi-class segmentation. To our knowledge, this is the ﬁrst large scale analysis of ovar-

                                                                      JournalName,[year],[vol. ",q-bio.TO,C,-0.17908147,0.097996384,-0.40592632
