url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.06183v1,Internal multi-portfolio rebalancing processes: Linking resource allocation models and biproportional matrix techniques to portfolio management,"Given
these results, we recommend that the market-invariant process be used for such internal
rebalancing processes instead of the linear or banker process. We have left open the
question of how cash ﬂows between portfolios, between asset classes, and into or out of
the fund will aﬀect rebalancing processes, which we leave for future work. 7 Acknowledgements

The author would like to acknowledge Adjunct Professor Langford White and Adjunct
Professor Nicholas Buchdahl from the University of Adelaide for their advice and com-
ments. ",q-fin.PM,A,-0.2282135,0.14131707,0.0055845776
http://arxiv.org/pdf/2201.10846v1,Fat Tails and Optimal Liability Driven Portfolios,"The only dependence on k comes in, at the leading two orders in the
asymptotics, through the rescaling of the return-seeking term by a constant depending on k,
which can be absorbed into rescaling the risk appetite at the level of a single component. We
therefore omit further analysis of (2) in this paper. The goal of this paper is to analyze return-seeking allocations (3) for k ≥ 1, and in the limit
of k → ∞. ",q-fin.PM,A_centroid,-0.4791553,-0.46463585,-0.10295301
http://arxiv.org/pdf/2201.10846v2,Fat Tails and Optimal Liability Driven Portfolios,"The only dependence on k comes in, at the leading two orders in the

asymptotics, through the rescaling of the return-seeking term by a constant depending on k,

which can be absorbed into rescaling the risk appetite at the level of a single component. We

therefore omit further analysis of (2) in this paper. The goal of this paper is to analyze return-seeking allocations (3) for k ≥ 1, and in the limit

of k → ∞. ",q-fin.PM,A,-0.4791553,-0.46463585,-0.10295301
http://arxiv.org/pdf/2202.02197v1,Evaluating conditional covariance estimates via a new targeting approach and a networks-based analysis,"To conclude, we cannot state whether the modiﬁed models always prevail over the original ones, and much more
experiments are needed. This, therefore, leaves plenty of room for further research. On the one hand, one can
experiment with other loss functions introduced in the log-likelihood objective functions to improve the estimates. ",q-fin.PM,A,0.07206295,-0.18952675,0.08935631
http://arxiv.org/pdf/2202.08921v1,Hierarchical Sensitivity Parity,"some of them described in M. Lopez
de Prado [35]. For future work, we can include the suggestions in the model ﬂexibility points from the methodology section. It worth
mentioning the application of other Neural Networks such as Recurrent, Neural Graphs. ",q-fin.PM,B_centroid,0.6605463,-0.25219667,-0.1328772
http://arxiv.org/pdf/2202.08921v2,Portfolio Optimization based on Neural Networks Sensitivities from Assets Dynamics respect Common Drivers,"some of them are described in M. Lopez de Prado        MSCI WORLD/HLTH CARE    ISHARES MSCI
[40]. MSCI WORLD/CON STPL
                                                                                           USA QUALITY
   For future work, we can include some of the suggestions in
the model ﬂexibility points from the methodology section. It                               FAC
is worth mentioning the application of other Neural Networks
such as Recurrent, Neural Graphs. ",q-fin.PM,B,0.6695436,-0.18624151,-0.23647642
http://arxiv.org/pdf/2202.08921v3,Portfolio Optimization based on Neural Networks Sensitivities from Assets Dynamics respect Common Drivers,"We can conclude that systematic
and maximum idiosyncratic diversiﬁcation can also be reached, with the use of public and listed
variables as common drivers and not just by common statistical factors allowing for extra sources
of diversiﬁcation such as directionality of returns from risk and return dynamics. For future work, we can mention the application of other neural network models such as re-
current neural networks, or the use of neural graphs. We can also apply other distance metrics
for the sensitivity matrix by exploring other geometries or statistical manifolds. ",q-fin.PM,B,0.189376,-0.22930647,-0.17269501
http://arxiv.org/pdf/2202.10265v1,Yields: The Galapagos Syndrome Of Cryptofinance,"The majority of these are less than ﬁve years old, and several have only recently gained prominence,
with their TLVs reaching billions within months. Due to their complexity and the market’s byzantine structure, each
of them provides ample opportunity for additional research. We presented novel data from DEXs, CEXs, and the
Ethereum 2.0 staking protocol. ",q-fin.PM,C,-0.06215149,0.44355124,0.51929873
http://arxiv.org/pdf/2203.11318v1,Deep Reinforcement Learning and Convex Mean-Variance Optimisation for Portfolio Management,"MPO to that of RL methods (FRONTIER) in risk-return space. One of the main reasons for doing so was the capacity of RL            In future work, the methods of this study can be repeated
models to optimise their expected rewards over more extended        on different markets with similar overall price trends to see if
periods compared to the relative short-sighted optimisations        our results hold for all markets with these characteristics. Our
of SPO and MPO. ",q-fin.PM,A,-0.20269085,-0.10402093,-0.2034648
http://arxiv.org/pdf/2204.13398v1,Portfolio Diversification Revisited,"The interested reader is also referred to [56], who extend these results using a HJM framework,
and [19], who apply these results to commodity futures markets. Extending these results could be a fruitful
direction for future work. 6. ",q-fin.PM,C,0.03203519,0.30681458,0.16570798
