url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.06319v1,Multinomial Backtesting of Distortion Risk Measures,"Section 5 applies the method
to a more complex asset-liability-model. Section 6 concludes and discusses further research. All
proofs and auxiliary material are collected in an appendix. ",q-fin.RM,B,-0.21730818,-0.0844205,0.040177662
http://arxiv.org/pdf/2201.06370v1,Model Aggregation for Risk Evaluation and Robust Optimization,"These two sections answer Q4. Finally, advantages and limitations of the MA approach, as well as directions for future work,
are summarized and discussed in Section 8, which also contains a preliminary discussion on aggre-
gating multivariate risk models, in contrast to the univariate risk models treated throughout the

    2In addition to the literature on portfolio optimization, robust risk evaluation and optimization also broadly exist
in other applications of operations research; see Wiesemann et al. (2014), Esfahani and Kuhn (2018), Blanchet et al. ",q-fin.RM,B_centroid,-0.40515357,-0.3901536,-0.42274198
http://arxiv.org/pdf/2201.06370v2,Model Aggregation for Risk Evaluation and Robust Optimization,"These two sections answer Q4. Finally, advantages and limitations of the MA approach, as well as directions for future work,
are summarized and discussed in Section 8, which also contains a preliminary discussion on aggre-
gating multivariate risk models, in contrast to the univariate risk models treated throughout the

    2In addition to the literature on portfolio optimization, robust risk evaluation and optimization also broadly exist
in other applications of operations research; see Wiesemann et al. (2014), Esfahani and Kuhn (2018), Blanchet et al. ",q-fin.RM,B,-0.40515357,-0.3901536,-0.42274198
http://arxiv.org/pdf/2202.02273v1,Are all Credit Default Swap Databases equal?,"Second, extant price discovery
research focused on CDS spreads and/or stock returns should be complemented with
additional robustness tests in the light of the differences found across databases. Avenues of further research include the analysis of the effect of the discrepancies among
the different CDS contributors on potential debt decoupling (Hu and Black, 2008) or the
usefulness of such dispersion as a signaling tool for supervisory monitoring in comparison

                                                                                                        36
to the usefulness of other financial instruments (Hamalainen, Pop, Hall and Howcroft,
2012). References
Acharya, V. and Johnson, T., “Insider Trading in Credit Derivatives”. ",q-fin.RM,A,0.11904246,0.34252927,-0.024347782
http://arxiv.org/pdf/2202.02276v1,Measuring Systemic Risk: Common Factor Exposures and Tail Dependence Effects,"Looking forward, a comparison of our measures with other measures based on
alternative asset markets would offer an interesting topic for further investigation. The
application of our measures for asset pricing, hedging strategies, portfolio
diversification, and risk management purposes represent other natural directions for
further research. Appendices

Appendix A
      We apply the theorem of the law of total variance,

                   Var (Y ) = EX Var (Y | X ) +VarX E (Y | X ) . ",q-fin.RM,A,-0.19562517,0.038706716,0.10869516
http://arxiv.org/pdf/2202.09970v1,Extremal Dependence in Australian Electricity Markets,"Since
the calculation of payoﬀs requires the forecast of future spike count in a certain period, the
persistence or potential recurrence possibility of a price spike would be highly relevant. Therefore, our extremogram analysis is of particular interest in terms of modelling the
payoﬀ distribution of these types of contracts in future work. The ﬁve regional markets in the NEM are currently linked through six interconnectors. ",q-fin.RM,A,0.23827429,-0.093933806,0.3648717
http://arxiv.org/pdf/2202.12946v1,A contagion process with self-exciting jumps in credit risk applications,"Although, we have shown by numerical illustrations that the proposed model is
appropriate to address the clustering of defaults observed in the default events. One of
the possible future work is to formulate how to calibrate the model parameters using
real data and perform the parameter estimation. Acknowledgements The ﬁrst author is thankful to Council of Scientiﬁc and In-
dustrial Research (CSIR), India (award number 09/086 (1207)/2014-EMR-I) for the
ﬁnancial grant. ",q-fin.RM,C,0.5933367,-0.26585552,0.08781912
http://arxiv.org/pdf/2203.04053v1,Risk sharing in equity-linked insurance products: Stackelberg equilibrium between an insurer and a reinsurer,"For RRAI = 15 and T = 20 we
have W EU CI (θR(86.73%), ξI∗, 0, 0) = 287bp. 6 Conclusion and further research

In this paper, we derive and analyze a Stackelberg equilibrium in a Stackelberg game between
a reinsurer and an insurer, which appears in the context of an equity-linked insurance product
with a capital guarantee. We assume that the reinsurance is only purchased at the beginning of
the investment horizon and is not continuously adjusted. ",q-fin.RM,A,-0.20149073,0.114641145,0.4087177
http://arxiv.org/pdf/2203.15929v1,Sample Recycling for Nested Simulation with Application in Portfolio Risk Measurement,"This almost sure convergence is useful for establishing asymptotic properties of

rs the GNS risk estimator ρmn. To facilitate further analysis in Section 4, we establish two more useful lemmas below. Even

e though we attribute Lemmas 3.3 and 3.4 to Avramidis and Matzinger (2004), our lemmas are
V extensions of theirs to accommodate the general analysis in this article. ",q-fin.RM,B,-0.08103779,-0.33904594,0.13522166
http://arxiv.org/pdf/2204.08882v1,Calibrating distribution models from PELVE,"In the most complicated case of a curve constraint, we convert the calibration problem
                                                   to that of an advanced diﬀerential equation. We further study some technical properties of PELVE
                                                   by oﬀering a few new results on monotonicity and convergence. Keywords: Value-at-Risk, Expected Shortfall, risk measures, heavy tails, advanced diﬀerential
                                           equation. ",q-fin.RM,B,-0.055455536,-0.2651969,0.42821956
