url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.03213v1,New volatility evolution model after extreme events,"These two types of events have signiﬁcantly different ef-
January 11, 2016 to July 25, 2016.                                            fects on the stock volatility [8,27]. To further study the inﬂuence
                                                                              of events on the stock market volatility, we present the empiri-
4. Empirical results and discussion                                           cal results of volatility evolution after endogenous and exogenous
                                                                              events respectively. ",q-fin.ST,C,-0.11230835,-0.14722577,0.14329596
http://arxiv.org/pdf/2201.04965v2,Stock Movement Prediction Based on Bi-typed Hybrid-relational Market Knowledge Graph via Dual Attention Networks,"The ablation studies reaffirm that
the performance gain mainly comes from the use of the associated executives, and additional implicit relation between
companies in MKG. An interesting future work direction is to explore web media about the executives including: (i) the negative facts from
news, such as accusation of crime, health issue, etc; (ii) the improper speech on social media, such as Twitter and Weibo. We believe these factual event information of executives can be detected and utilized to feed into graph-based methods for
better SMP performance. ",q-fin.ST,C,-0.016510392,-0.16245994,0.31087387
http://arxiv.org/pdf/2201.09516v2,From Rough to Multifractal volatility: the log S-fBM model,"Its value seems to be quite universal
and spread around λ2 = 0.07 for stocks and λ2 = 0.05 for stock market indices in agreement with

the values formerly reported for the multifractal model [3]. In a future work, we will consider the issue of deﬁning a faithful model for asset and option

prices within the log S-fBm framework. To that end, the problem of introducing a speciﬁc skewness

in our model will be considered along the same line as in Ref. ",q-fin.ST,C,0.07813503,-0.09665726,0.1860399
http://arxiv.org/pdf/2201.09790v1,Linear Laws of Markov Chains with an Application for Anomaly Detection in Bitcoin Prices,"In addition, the locally high values of this third parameter
are often related to short-term price peaks, which suggests price manipulation. In our future work, we will examine the linear laws in exchange rates of other cryptocurrencies, as well as stock prices and
the prices of oil and other commodities. Although due to the theory of efﬁcient market hypothesis62, ﬁnancial data typically ﬁt
well with the concept of Markov chains, we also plan to investigate electroencephalograms (EEGs) record neural activity to
detect epilepsy. ",q-fin.ST,C,-0.052073974,-0.032533087,0.02774516
http://arxiv.org/pdf/2201.12286v1,A Stock Trading System for a Medium Volatile Asset using Multi Layer Perceptron,"[2021b]). As
another future work, we plan to consider the ethical aspects related to AI buy & sell advisors. Given the enormous potential and thanks also to the extendability and robustness of this trading system, we will further
test its reliability on other stock markets using other inputs to the dataset such as cryptocurrencies and deﬁ-tokens, also
varying the timeframes for day trading and scalping activities. ",q-fin.ST,C,-0.06811258,0.080359384,0.039064337
http://arxiv.org/pdf/2201.12291v1,Simulating Using Deep Learning The World Trade Forecasting of Export-Import Exchange Rate Convergence Factor During COVID-19,"By comparing our results with more relat-
able works result [16-17], we can say that in both result, future prediction have done
with LSTM and time series analysis. 5 Conclusion and future work

This research provides an idea of what the future holds for imports and exports in world
trade during the Corona period with the LSTM model. The dataset, titled ""Effects of
COVID-19 on trade"", was collected from the state website NZ Tatauranga Aotearoa to
provide time-series analysis and is the original source of the data. ",q-fin.ST,C,-0.0032291724,-0.14516652,-0.15546612
http://arxiv.org/pdf/2202.01043v2,2T-POT Hawkes model for left- and right-tail conditional quantile forecasts of financial log-returns: out-of-sample comparison of conditional EVT models,"the preceding generation, then the n-th generation events
                                                               will arrive with an average intensity γnµ. Thus, by sum-
   In future work, the comparison between Hawkes- and          mation, the expected average intensity for the whole pro-
GARCH-based EVT methods could be extended to in-               cess is
clude time inhomogeneous processes. These could be
based, for example, on the MSGARCH process developed                                         ∞         µ. ",q-fin.ST,C,-0.071013436,-0.24360731,-0.16568851
http://arxiv.org/pdf/2202.08967v1,Ensemble and Multimodal Approach for Forecasting Cryptocurrency Price,"term stock price prediction using deep learning. In 2017 2nd IEEE international

   For future work, we aim to generate trading data with extremely                             conference on recent trends in electronics, information & communication technology
high volatility to be used in the training process. With this, we                              (RTEICT). ",q-fin.ST,C,-0.010391557,-0.23274633,-0.08501079
http://arxiv.org/pdf/2202.08968v1,Stock Embeddings: Learning Distributed Representations for Financial Assets,"Obviously real-world settings are          [6] T. Mikolov, K. Chen, G. Corrado, and J. Dean, “Efﬁcient estimation of
based on more complex portfolios with many different stocks
that need to be collectively hedged, and it is a matter for               word representations in vector space,” arXiv preprint arXiv:1301.3781,
future work to further evaluate our embeddings approach in                2013.
these more realistic settings. That being said, the approach         [7] J. Pennington, R. Socher, and C. D. Manning, “Glove: Global vectors
used here still serves as an important indication of success:             for word representation,” in Proceedings of the 2014 conference on
had the embeddings approach not be able to demonstrate                    empirical methods in natural language processing (EMNLP), 2014, pp. ",q-fin.ST,C,-0.06827553,-0.006026311,0.0027491078
http://arxiv.org/pdf/2202.09359v1,Machine Learning Models in Stock Market Prediction,"Nearest Neighbors (kNN), Linear Regression (LR), Artificial
Neural Network (ANN), Random Forest (RF), Stochastic                           My previous research works in the area of Stock Market
Gradient Descent (SGD), Support Vector Machine (SVM) and                    (Singh & Nagar, 2012), (Nagar & Singh, 2012) and (Nagar
Decision Trees (DT). Experiments are based on historical data of            & Issar, 2013) motivated me to do further study as still there
Nifty 50 Index of Indian Stock Market from 22nd April, 1996 to              are very limited researches have been done in the area of
16th April, 2021, which is time series data of around 25 years. Stock Market. ",q-fin.ST,C,-0.0055281054,-0.059518635,-0.08461338
