url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00281v1,Evidence synthesis with reconstructed survival data,"This consists of 36 studies reported log HRs
and corresponding standard errors. Finally, 12 additional studies provided only survival
rates at particular time points, which were still included as a type of supplemental survival
data in the meta-analysis. In total, we included 64 studies with 8,033 AML patients who
did not undergo transplantation to illustrate MARS (proposed in section 3) and to respond
to the FDA’s pertinent concerns. ",stat.ME,B,0.40636772,0.14860067,-0.14388943
http://arxiv.org/pdf/2201.00470v1,Estimating Rate of Change for nonlinear Trajectories in the Framework of Individual Measurement Occasions: A New Perspective of Growth Curves,"It can be seen from the table that the estimates of
the parameters related to the asymptotic slope and vertical distance were not ideal, but they were still acceptable. With
further examination, we noticed that the Jenss-Bayley LCSM performed better under the conditions with more repeated
measurements, the time structure of unequally-spaced study waves, and the larger sample size. 5.3 Model Comparison

This section compares the model performance between each parametric LCSM and the corresponding LGCM based on
the four measures and information criteria, including Akaike’s Information Criteria (AIC) and Bayesian Information
Criteria (BIC). ",stat.ME,C,0.11595291,0.038240872,0.08456891
http://arxiv.org/pdf/2201.00470v2,Estimating Rate of Change for nonlinear Trajectories in the Framework of Individual Measurement Occasions: A New Perspective of Growth Curves,"It can be seen from the table that the estimates of
the parameters related to the asymptotic slope and vertical distance were not ideal, but they were still acceptable. With
further examination, we noticed that the Jenss-Bayley LCSM performed better under the conditions with more repeated
measurements, the time structure of unequally-spaced study waves, and the larger sample size. 4.3 Model Comparison

This section compares the model performance between each parametric LCSM and the corresponding LGCM based on
the four measures and information criteria, including Akaike’s Information Criteria (AIC) and Bayesian Information
Criteria (BIC). ",stat.ME,C,0.11199655,0.036788706,0.08687879
http://arxiv.org/pdf/2201.00470v3,Estimating Rate of Change for nonlinear Trajectories in the Framework of Individual Measurement Occasions: A New Perspective of Growth Curves,"11
                                                                                                         A PREPRINT - MAY 17, 2022

the parameters related to the asymptotic slope and vertical distance were not ideal, but they were still acceptable. With
further examination, we noticed that the Jenss-Bayley LCSM performed better under the conditions with more repeated
measurements, the time structure of unequally-spaced study waves, and the larger sample size. 4.3 Model Comparison

This section compares the model performance between each parametric LCSM and the corresponding LGCM based on
the four measures and information criteria, including Akaike’s Information Criteria (AIC) and Bayesian Information
Criteria (BIC). ",stat.ME,C,0.13653342,0.03213317,0.06897574
http://arxiv.org/pdf/2201.00470v4,Estimating Rate of Change for nonlinear Trajectories in the Framework of Individual Measurement Occasions: A New Perspective of Growth Curves,"It can be seen from the table that the estimates of
the parameters related to the asymptotic slope and vertical distance were not ideal, but they were still acceptable. With
further examination, we noticed that the Jenss-Bayley LCSM performed better under the conditions with more repeated
measurements, the time structure of unequally-spaced study waves, and the larger sample size. C.2 Model Comparison

This section compares the model performance between each parametric LCSM and the corresponding LGCM based on
the four measures and information criteria, including Akaike’s Information Criteria (AIC) and Bayesian Information
Criteria (BIC). ",stat.ME,C,0.11575754,0.041656885,0.08479209
http://arxiv.org/pdf/2201.00470v5,Estimating Rate of Change for nonlinear Trajectories in the Framework of Individual Measurement Occasions: A New Perspective on Growth Curves,"It can be seen from the table that the estimates of
the parameters related to the asymptotic slope and vertical distance were not ideal, but they were still acceptable. With
further examination, we noticed that the Jenss-Bayley LCSM performed better under the conditions with more repeated
measurements, the time structure of unequally-spaced study waves, and the larger sample size. C.2 Model Comparison

This section compares the model performance between each parametric LCSM and the corresponding LGCM based on
the four measures and information criteria, including Akaike’s Information Criteria (AIC) and Bayesian Information
Criteria (BIC). ",stat.ME,C,0.11575754,0.041656885,0.08479209
http://arxiv.org/pdf/2201.00719v1,PowerGraph: Using neural networks and principal components to multivariate statistical power trade-offs,"P-
CLUSTER is a quick way of discarding low power regions
                                                                needed for a brute force approach. We want to explore strate-
                                                                gies to bridge the gap between unsupervised learning and
                                                                supervised methods in future work. Model          REG-3    REG-5       REG-7      RMANOVA-3

                                                                      Dataset Size       2376     2592        3888           1296
                                                                Collection Time (secs)    500      631        1027           5640
                                                                 Hypothesis (Zero β)    β1, β3  β1, β3, β5  β1, β3, β7        N/A

                                                                Table 3: Dataset properties for the various models. ",stat.ME,A,-0.110022515,0.085320376,-0.3229228
http://arxiv.org/pdf/2201.00719v2,PowerGraph: Using neural networks and principal components to determine multivariate statistical power trade-offs,"Furthermore, it requires much more data compared
         to the neural network. We, however, have not used any guidance for tuning this algorithm’s parameters, and
         we leave this aspect for future work. • Model Limitations: PNN provides excellent empirical performance and generalizes well over increasing
         model complexity while providing competitive performance even with only 10% of the data. ",stat.ME,A,-0.21704581,0.076636344,-0.29822233
http://arxiv.org/pdf/2201.01682v1,Functional-Input Gaussian Processes with Applications to Inverse Scattering Problems,"An interesting topic for future research is to explore the construction procedure
for eﬃcient space-ﬁlling designs with functional inputs. Apart from experimental designs,
another important future work is to explore systematic approaches to eﬃciently identify the
functional input given an observed far-ﬁeld pattern, which is the ultimate goal of inverse
scattering problems. Based on the proposed GP surrogate, we will explore a Bayesian
inverse framework and a calibration procedure that integrates computer experiments and
real observations. ",stat.ME,C,-0.27706426,-0.017462268,-0.011088379
http://arxiv.org/pdf/2201.01682v2,Functional-Input Gaussian Processes with Applications to Inverse Scattering Problems,"An interesting topic for future research is to explore the construction procedure
for eﬃcient space-ﬁlling designs with functional inputs. Apart from experimental designs,
another important future work is to explore systematic approaches to eﬃciently identify the
functional input given an observed far-ﬁeld pattern, which is the ultimate goal of inverse
scattering problems. Based on the proposed GP surrogate, we will explore a Bayesian
inverse framework and a calibration procedure that integrates computer experiments and
real observations. ",stat.ME,C,-0.27706426,-0.017462268,-0.011088379
