url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00292v1,Fair Data Representation for Machine Learning at the Pareto Frontier,"• We design an algorithm that is computationally eﬃcient in high-dimensional data space,
   by proving a (nearly) closed-form solution of the pseudo-barycenter and the corresponding
   optimal transport maps in both the Gaussian case and the general marginal distribution case. • We shed light on the application of the pseudo-barycenter to L2-objective unsupervised learn-
   ing to achieve diverse data allocation and representation, which provides potential access to
   fairness in unsupervised learning and deserves further study, see Figure 1. 3
Figure 1: In the upper-left panel, the three distributions are sampled from isotropic Gaussian distribution with diﬀerent ﬁrst
two moments. ",stat.ML,C,-0.033600435,-0.2457383,-0.16986267
http://arxiv.org/pdf/2201.01036v1,Supervised Homogeneity Fusion: a Combinatorial Approach,"These technical results are
not only of theoretical interest, but also useful to guide practical work such as sample size
determination in a study design. An important future work concerns statistical inference after the operation of L0-Fusion. A thorough investigation on the inﬂuence of selection errors on statistical inference, in both
aspects of ﬁnite-sample and large-sample properties, is of great interest. ",stat.ML,A,-0.011461431,0.2752027,-0.28107128
http://arxiv.org/pdf/2201.01689v2,Asymptotics of $\ell_2$ Regularized Network Embeddings,"We moreover highlight empirically
that using 2 regularization with node2vec leads to competitive performance on downstream tasks,
when compared to embeddings produced from more recent encoding and training architectures. We end with a brief discussion of some limitations of our works, and directions for future work. Generally, graphons are not realistic models for graphs; we suggest that our work could be extended
to frameworks such as graphexes [10, 11, 58] which can produce more realistic degree distributions
for networks, but have enough underlying latent exchangeability for our arguments to go through. ",stat.ML,C,-0.19714953,-0.2553045,0.17835185
http://arxiv.org/pdf/2201.01689v3,Asymptotics of $\ell_2$ Regularized Network Embeddings,"We moreover highlight empirically
that using 2 regularization with node2vec leads to competitive performance on downstream tasks,
when compared to embeddings produced from more recent encoding and training architectures. We end with a brief discussion of some limitations of our works, and directions for future work. Generally, graphons are not realistic models for graphs; we suggest that our work could be extended
to frameworks such as graphexes [10, 11, 62] which can produce more realistic degree distributions
for networks, but have enough underlying latent exchangeability for our arguments to go through. ",stat.ML,C,-0.19581097,-0.25559974,0.17777403
http://arxiv.org/pdf/2201.02115v2,"The dynamics of representation learning in shallow, non-linear autoencoders","Nonlinear autoencoders learn principal
statistical physics. While we conjecture that they are ex-                 components sequentially
act, we leave it to future work to prove their asymptotic
correctness in the limit D → ∞. We anticipate that tech-              The dynamical equations of the encoder-encoder overlap
niques to prove the correctness of dynamical equations for            qk , eq. ",stat.ML,B,0.15548697,-0.13261104,0.25711775
http://arxiv.org/pdf/2201.03128v1,Loss-calibrated expectation propagation for approximate Bayesian decision-making,"Curiously, we observe that there is likely more than one way to develop
a loss-calibrated inference procedure around the ﬂexible machinery of expectation propagation, and
future work could better harness the desirable computational properties commonly associated with
EP to improve performance. Following [21], future work could develop an EP-type approximation to Generalized Bayesian
Inference [22], which updates prior beliefs about a parameter of interest that is connected to our
observations by arbitrary loss functions, rather than likelihood functions. Following the substantial
body of theory work into loss functions and machine learning [23], we could perform iterative EP
updates that minimize not the KL divergence, but instead some general divergence measure (also
suggested in [8]) that is uniquely determined by the loss function in the classiﬁcation case. ",stat.ML,C,-0.11918028,-0.10685523,-0.31972218
http://arxiv.org/pdf/2201.03182v1,Non-Asymptotic Guarantees for Robust Statistical Learning under $(1+\varepsilon)$-th Moment Assumption,"We conclude this paper by the following two examples, robust two-component
mixed linear regression and robust non-negative matrix factorization, whose algorithms are
diﬀerent from SGD. Here we only roughly address their theoretical results and leave detailed
study to the future work. Robust two-component mixed linear regression. ",stat.ML,C,-0.061593473,-0.11007603,0.024888463
http://arxiv.org/pdf/2201.03182v2,Non-Asymptotic Guarantees for Robust Statistical Learning under Infinite Variance Assumption,"We conclude this paper with the following two examples, ro-
bust two-component mixed linear regression and robust non-negative matrix factorization,
whose algorithms diﬀer from SGD. Here we only roughly address their theoretical results
and leave detailed study to future work. Robust two-component mixed linear regression. ",stat.ML,C,-0.09525879,-0.09674258,0.032042596
http://arxiv.org/pdf/2201.03949v1,Entropic Optimal Transport in Random Graphs,"We still consider
be diﬃcult to use in practice, as the constant γ can                                                                                      non-local kernel wN = ρN w, but here speciﬁcally with
                                                                                                                                          a kernel of the form:
be hard to adjust. It is however a good inspiration to
                                                                                                                                          w(x, y) = e−         x−y   p
combine with methods that learn the cost for robust                                                                                                               σ
                                                                                                                                                                           (15)
OT [11, 16], which we leave for future work. such as, for instance, the Gaussian kernel when p = 2. ",stat.ML,B,0.26397312,-0.21146816,0.0272863
http://arxiv.org/pdf/2201.04469v6,Optimal Best Arm Identification in Two-Armed Bandits with a Fixed Budget under a Small Gap,"(2011) shows the asymptotic distributions of the
sample average by going through that of the AIPW estimator. 6.3 Extension to BAI in the multi-armed bandit (MAB) problems

An important future work is to extend our results for the MAB problems. Unlike two-armed bandit problems and BAI
with ﬁxed conﬁdence, the lower bounds are also still unknown. ",stat.ML,B,0.25049248,0.13716438,-0.35518575
http://arxiv.org/pdf/2201.04469v7,Optimal Best Arm Identification in Two-Armed Bandits with a Fixed Budget under a Small Gap,"(2011) shows the asymptotic distributions of the
sample average by going through that of the AIPW estimator. 6.3 Extension to BAI in the multi-armed bandit (MAB) problems

An important future work is to extend our results for the MAB problems. Unlike two-armed bandit problems and BAI
with ﬁxed conﬁdence, the lower bounds are also still unknown. ",stat.ML,B,0.25049248,0.13716438,-0.35518575
http://arxiv.org/pdf/2201.04545v1,On generalization bounds for deep networks based on loss surface implicit regularization,"Both quantities depend on the learning rate
𝜂𝑡 and the switch between reaching and non-escaping of local minima is driven by the decay of the
learning rate. We view this work as a very ﬁrst step to explore loss surfaced based implicit regularization and
hope that the presented ideas spark further research into this direction. We want to stress that in

                                                                             14
many respects, the obtained results in this work are preliminary. ",stat.ML,B,0.15150484,-0.33751357,-0.005734682
http://arxiv.org/pdf/2201.04545v2,On generalization bounds for deep networks based on loss surface implicit regularization,"The switch between reaching and non-escaping
of local minima is driven by the decay of the learning rate. We view this work as a very ﬁrst step to explore loss surfaced based implicit regularization and
hope that the presented ideas spark further research into this direction. We want to stress that in
many respects, the obtained results in this work are preliminary. ",stat.ML,B,0.13744287,-0.3615172,0.0064794747
http://arxiv.org/pdf/2201.04545v3,On generalization bounds for deep networks based on loss surface implicit regularization,"The number of parameters
𝐷 = ℎ + ℎ2 lies therefore in the interval [30, 930]. Training is             We view this work as a very ﬁrst step to explore loss surfaced
                                                                          based implicit regularization and hope that the presented ideas spark
done using Gaussian SGD (2) with multivariate standard normal             further research into this direction. We want to stress that in many
                                                                          respects, the obtained results in this work are preliminary. ",stat.ML,C,0.030435883,-0.37563956,-0.086292
http://arxiv.org/pdf/2201.04738v1,Implicit Bias of MSE Gradient Optimization in Underparameterized Neural Networks,"In
this fashion we extended existing work to the setting of a network with smooth activations where all
parameters are trained as in practice. We hope damped deviations offers a simple interpretation of
the MSE dynamics and encourages others to compare against other kernels in future work. Acknowledgments
Benjamin Bowman was at the Max Planck Institute for Mathematics in the Sciences while working
on parts of this project. ",stat.ML,C,0.021377213,-0.22998074,0.06702973
