Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
105,"hypothesis requires further research on weaker radio objects in
                                                                  the early stages of evolution which is our research plan now
with renewed AGN activity.",(2021).,The ﬁnal selected sample con-          (see the next section).,2022-01-04 15:06:38+00:00,Studies on slow radio transients,astro-ph.GA,['astro-ph.GA'],"[arxiv.Result.Author('Aleksandra Wołowska'), arxiv.Result.Author('Magdalena Kunert-Bajraszewska'), arxiv.Result.Author('Kunal Mooley'), arxiv.Result.Author('Aneta Siemiginowska'), arxiv.Result.Author('Preeti Kharb'), arxiv.Result.Author('C. H. Ishwara-Chandra'), arxiv.Result.Author('Gregg Hallinan'), arxiv.Result.Author('Mariusz Gromadzki'), arxiv.Result.Author('Dorota Kozieł-Wierzbowska')]","We present a brief overview of a very extensive studies of the group of
active galactic nuclei (AGNs) that transitioned to radio-loud state over the
past few decades. The sample consists of twelve sources, both quasars and
galaxies, showing the characteristics of gigahertz-peaked spectrum (GPS)
objects undergoing relatively rapid changes, due to the evolution of their
newly-born radio jets. Discussed objects also show a wide range of physical
parameters such as bolometric luminosity, black hole mass and jet power,
suggesting a great diversity among young active galactic nuclei and their
hosts. Furthermore, we introduce a new observational project, the aim of which
will be to investigate and gain a more in-depth understanding of the phenomenon
of slow radio transients.",0.11536683,0.19454128,0.119155765,B
124,"7), there are multiple peaks near the position of the ring for      In order to further study how a clumpy galaxy evolves af-
models t2 and t3.","Tuning impact factor
dimensional projected density proﬁle (left upper panel of Fig.","The multiple peaks are caused by the diﬀer-     ter colliding with another galaxy on an arbitrary orbit, we set
ent radii of the clumps in the elliptical rings.",2022-01-05 03:20:08+00:00,Collisions of young disc galaxies in the early universe,astro-ph.GA,['astro-ph.GA'],"[arxiv.Result.Author('Beibei Guo'), arxiv.Result.Author('Xufen Wu'), arxiv.Result.Author('Guangwen Chen')]","In the local universe, disc galaxies are generally well evolved and Toomre
stable. Their collisions with satellite galaxies naturally produce ring
structures, which has been observed and extensively studied. In contrast, at
high redshifts, disc galaxies are still developing and clumpy. These young
galaxies interact with each other more frequently. However, the products of
their collisions remain elusive. Here we systematically study the minor
collisions between a clumpy galaxy and a satellite on orbits with different
initial conditions, and find a new structure that is different from the local
collisional ring galaxies. The clumpness of the target galaxy is fine-tuned by
the values of Toomre parameter, $Q$. Interestingly, a thick and knotty ring
structure is formed without any sign of a central nucleus in the target galaxy.
Our results provide a promising explanation of the empty ring galaxy recently
observed in R5519 at redshift $z=2.19$. Moreover, we show that the clumpy state
of the collided galaxy exists for a much longer timescale, compared to isolated
self-evolved clumpy galaxies that have been widely investigated.",-0.26336205,-0.16235413,0.007346347,C
417,"Higher angular and
emission along the crest shows values of ∼ 50 MJy/sr over the       spectral resolution observations are needed to further study
southern ∼ 1 pc tracing the heated dust from the surrounding H II   the different components towards VFC 32 and its possible
regions and also a more narrower 70 µm peak of ∼ 100 MJy/sr         connection/interaction with VCF 1.
towards its other end tracing the feedback from the young star
cluster (identiﬁed as source I, see, e.g., Persi & Tapia 2008).",2021).,"VCF 47
    The radial proﬁles across the MFS-warm region, perpendic-           The VCF 47 is identiﬁed in the east of the ﬁeld (indicated as
ular to the VCF 1 crest, present the properties of its immediate    IFS in Figs.",2022-01-12 01:47:13+00:00,Velocity structure of the 50 pc-long NGC 6334 filamentary cloud: Hints of multiple compressions and their impact on the cloud properties?,astro-ph.GA,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.SR']","[arxiv.Result.Author('Doris Arzoumanian'), arxiv.Result.Author('Delphine Russeil'), arxiv.Result.Author('Annie Zavagno'), arxiv.Result.Author('Michael Chun-Yuan Chen'), arxiv.Result.Author('Philippe André'), arxiv.Result.Author('Shu-ichiro Inutsuka'), arxiv.Result.Author('Yoshiaki Misugi'), arxiv.Result.Author('Álvaro Sánchez-Monge'), arxiv.Result.Author('Peter Schilke'), arxiv.Result.Author(""Alexander Men'shchikov""), arxiv.Result.Author('Mikito Kohno')]","[Abridged] The interstellar medium is observed to be organised in filamentary
structures, as well as neutral (HI) and ionized (HII) bubbles. The expanding
nature of these bubbles makes them shape their surroundings and possibly play a
role in the formation and evolution of interstellar filaments. We present APEX
$^{13}$CO and C$^{18}$O(2-1) observations of the NGC 6334 molecular cloud. We
investigate the gas velocity structure along and across the 50 pc-long cloud
and towards 75 identified velocity-coherent-filaments (VCFs). We measure a
wealth of velocity gradients along the VCFs. We derive the column density and
velocity power spectra of the VCFs. These power spectra are well represented
with power laws showing similar slopes for both quantities (with a mean of
about -2), albeit some differ by up to a factor of two. The position velocity
diagrams perpendicular to three VCFs show the V-shaped velocity pattern,
corresponding to a bent structure in velocity space with the filament at the
tip of the V surrounded by an extended structure connected to it with a
velocity gradient. This velocity structure is qualitatively similar to that
resulting from numerical simulations of filament formation from large-scale
compression from propagating shock fronts. In addition, the radial profiles
perpendicular to these VCFs hint to small-scale internal impacts from
neighbouring HII bubbles. The observed opposite curvature in velocity space
towards the VCFs points to various origins of large-scale external compressions
from propagating HI bubbles. This suggests the plausible importance of multiple
HI compressions, separated in space and time, in the formation and evolution of
molecular clouds and their star formation history. These latter atomic
compressions due to past and distant star formation events are complemented by
the impact of HII bubbles from present time and local star formation activity.",0.062078286,0.07862474,-0.16932127,B
427,"This has been done separately for blue and          may also be used to further study the relationship between morphol-
red galaxies, classiﬁed by a cut in D4000n = 1.55 (Kauﬀmann et al.","The wealth of narrow-band photometric data from PAUS
measurement methods.","ogy and D4000/galaxy quenching (e.g., see Kim et al.",2022-01-12 10:52:51+00:00,The PAU Survey: Measurements of the 4000 Å spectral break with narrow-band photometry,astro-ph.GA,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.IM']","[arxiv.Result.Author('Pablo Renard'), arxiv.Result.Author('Małgorzata Siudek'), arxiv.Result.Author('Martin B. Eriksen'), arxiv.Result.Author('Laura Cabayol'), arxiv.Result.Author('Zheng Cai'), arxiv.Result.Author('Jorge Carretero'), arxiv.Result.Author('Ricard Casas'), arxiv.Result.Author('Francisco J. Castander'), arxiv.Result.Author('Enrique Fernandez'), arxiv.Result.Author('Juan García-Bellido'), arxiv.Result.Author('Enrique Gaztanaga'), arxiv.Result.Author('Henk Hoekstra'), arxiv.Result.Author('Benjamin Joachimi'), arxiv.Result.Author('Ramon Miquel'), arxiv.Result.Author('David Navarro-Girones'), arxiv.Result.Author('Cristóbal Padilla'), arxiv.Result.Author('Eusebio Sanchez'), arxiv.Result.Author('Santiago Serrano'), arxiv.Result.Author('Pau Tallada-Crespí'), arxiv.Result.Author('Juan De Vicente'), arxiv.Result.Author('Anna Wittje'), arxiv.Result.Author('Angus H. Wright')]","The D4000 spectral break index is one of the most important features in the
visible spectrum, as it is a proxy for stellar ages and is also used in galaxy
classification. However, its direct measurement has always been reserved to
spectroscopic observations. In this work, we present a general method to
directly measure the D4000 spectral break index with narrow-band photometry:
this method has been validated using realistic simulations, and then evaluated
with PAUS NBs, cross-matched with VIPERS spectra ($i_{\rm AB} < 22.5$, $0.562 <
z < 0.967$). For comparison, we also determine the D4000 in this sample with
the SED-fitting code CIGALE (for both PAUS NBs and broad-band data from
CFHTLS). The direct D4000 measurement has significantly lower SNR than the
CIGALE D4000, however, we find that for $i_{\rm AB}<21$ (two magnitudes above
PAUS completeness limit) all direct D4000 measurements have $SNR>3$. Moreover,
CIGALE underestimates the error by $>$50\%, while the direct D4000 has proper
error estimation within $<$10\%. We study the D4000-stellar mass relationship
for red and blue galaxies, as well as the D4000-SFR dependence: all methods
show agreements with VIPERS within $1\sigma$, and the D4000-mass relation is
especially well reproduced for blue galaxies. We also evaluate how a D4000 cut
classifies galaxies into red/blue compared to machine learning: the CIGALE
D4000 with PAUS NBs has the best results while providing realistic cut values.
We conclude that the direct measurement of D4000 with narrow-band photometry is
a promising tool that allows individual measurements for objects measured with
$SNR > 3$, or averages by stacking, with results compatible with spectroscopy.",-0.12671909,0.13144292,0.17580402,C
428,"SEA, pp 148–153
be used to further study the relationship between morphology and                (arXiv:1403.5237), http://arxiv.org/abs/1403.5237
D4000/galaxy quenching (e.g., see Kim et al.","VIII, SEA 2014.","2018, and the refer-          Boquien M., et al., 2012, A&A, 539, A145
ences therein), or to analyse the role of the environment in these         Boquien M., et al., 2019, A&A, 622, A103
processes, and thus disentangle the inﬂuence of nature vs nurture in       Borghi N., Moresco M., Cimatti A., Huchet A., Quai S., Pozzetti L.,
galaxy evolution (e.g., Peng et al.",2022-01-12 10:52:51+00:00,The PAU Survey: Measurements of the 4000 Å spectral break with narrow-band photometry,astro-ph.GA,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.IM']","[arxiv.Result.Author('Pablo Renard'), arxiv.Result.Author('Małgorzata Siudek'), arxiv.Result.Author('Martin B. Eriksen'), arxiv.Result.Author('Laura Cabayol'), arxiv.Result.Author('Zheng Cai'), arxiv.Result.Author('Jorge Carretero'), arxiv.Result.Author('Ricard Casas'), arxiv.Result.Author('Francisco J. Castander'), arxiv.Result.Author('Enrique Fernandez'), arxiv.Result.Author('Juan García-Bellido'), arxiv.Result.Author('Enrique Gaztanaga'), arxiv.Result.Author('Henk Hoekstra'), arxiv.Result.Author('Benjamin Joachimi'), arxiv.Result.Author('Ramon Miquel'), arxiv.Result.Author('David Navarro-Girones'), arxiv.Result.Author('Cristóbal Padilla'), arxiv.Result.Author('Eusebio Sanchez'), arxiv.Result.Author('Santiago Serrano'), arxiv.Result.Author('Pau Tallada-Crespí'), arxiv.Result.Author('Juan De Vicente'), arxiv.Result.Author('Anna Wittje'), arxiv.Result.Author('Angus H. Wright')]","The D4000 spectral break index is one of the most important features in the
visible spectrum, as it is a proxy for stellar ages and is also used in galaxy
classification. However, its direct measurement has always been reserved to
spectroscopy. Here, we present a general method to directly measure the D4000
with narrow-band (NB) photometry; it has been validated using realistic
simulations, and then evaluated with PAUS NBs, cross-matched with VIPERS
spectra ($i_{\rm AB} < 22.5$, $0.562 < z < 0.967$). We also reconstruct the
D4000 with the SED-fitting code CIGALE; the use of PAUS NBs instead of broad
bands significantly improves the SED fitting results. For D4000$_{\rm n}$, the
direct measurement has $\rm \langle SNR \rangle \sim 4$, but we find that for
$i_{\rm AB}<21$ all direct D4000 measurements have $\rm SNR>3$. The CIGALE
D4000$_{\rm n}$ has $\rm \langle SNR \rangle \sim 20$, but underestimates the
error by $>$50\%. Furthermore, the direct method recreates well the D4000-SFR
relation, as well as the D4000-mass relation for blue galaxies (for red
galaxies, selection effects impact the results). On the other hand, CIGALE
accurately classifies galaxies into red and blue populations. We conclude that
the direct measurement of D4000 with narrow-band photometry is a promising tool
to determine average properties of galaxy samples, with results compatible with
spectroscopy.",-0.1296271,-0.25260705,0.1765959,C
537,"To further study the sys-
tematic variations of the 12CO (2−1)/(1−0), 12CO (3−2)/(2−1)             11 To be consistent with the study of Koda et al.",2012).,"(2012), we use the
and 13CO/12CO (1−0) line ratios across the spiral arm and in-            value of 20◦ for the pitch angle.",2022-01-13 19:00:01+00:00,A CO isotopologue Line Atlas within the Whirlpool galaxy Survey (CLAWS),astro-ph.GA,['astro-ph.GA'],"[arxiv.Result.Author('Jakob S. den Brok'), arxiv.Result.Author('Frank Bigiel'), arxiv.Result.Author('Kazimierz Sliwa'), arxiv.Result.Author('Toshiki Saito'), arxiv.Result.Author('Antonio Usero'), arxiv.Result.Author('Eva Schinnerer'), arxiv.Result.Author('Adam K. Leroy'), arxiv.Result.Author('María J. Jiménez-Donaire'), arxiv.Result.Author('Erik Rosolowsky'), arxiv.Result.Author('Ashley T. Barnes'), arxiv.Result.Author('Johannes Puschnig'), arxiv.Result.Author('Jérôme Pety'), arxiv.Result.Author('Andreas Schruba'), arxiv.Result.Author('Ivana Bešlić'), arxiv.Result.Author('Yixian Cao'), arxiv.Result.Author('Cosima Eibensteiner'), arxiv.Result.Author('Simon C. O. Glover'), arxiv.Result.Author('Ralf S. Klessen'), arxiv.Result.Author('J. M. Diederik Kruijssen'), arxiv.Result.Author('Sharon E. Meidt'), arxiv.Result.Author('Lukas Neumann'), arxiv.Result.Author('Neven Tomičić'), arxiv.Result.Author('Hsi-An Pan'), arxiv.Result.Author('Miguel Querejeta'), arxiv.Result.Author('Elizabeth Watkins'), arxiv.Result.Author('Thomas G. Williams'), arxiv.Result.Author('David Wilner')]","We present the CO isotopologue Line Atlas within the Whirpool galaxy Survey
(CLAWS) based on an IRAM 30-m large programme which provides a benchmark study
of numerous, faint CO isotopologues in the mm-wavelength regime across the full
disc of M51 (NGC 5194). The survey's core goal is to use the low-J CO
isotopologue lines to constrain CO excitation and chemistry, and therefrom the
local physical conditions of the gas. In this survey paper, we describe the
CLAWS observing and data reduction strategies. We map the J=1-0 and 2-1
transitions of the CO isotopologues $^{12}$CO,$^{13}$CO, C$^{18}$O and
C$^{17}$O, as well as several supplementary lines within the 1 mm and 3 mm
window (CN(1-0), CS(2-1), CH$_3$OH(2-1), N$_2$H$^+$(1-0), HC$_3$N(10-9)) at ~1
kpc resolution. A total observation time of 149 h offers unprecedented
sensitivity. We use these data to explore several CO isotopologue line ratios
in detail, study their radial (and azimuthal) trends and investigate whether
changes in line ratios stem from changes in ISM properties such as gas
temperatures, densities or chemical abundances. For example, we find negative
radial trends for the $^{13}$CO}/$^{12}$CO, C$^{18}$O/$^{12}$CO and
C$^{18}$O/$^{13}$CO line ratios in their J=1-0 transitions. We also find
variations with local environment, such as higher $^{12}$CO(2-1)/(1-0) or
$^{13}$CO/$^{12}$CO(1-0) line ratios in interarm regions compared to spiral arm
regions. We propose that these aforementioned variations of CO line ratios are
most likely due to a variation of the optical depth, while abundance variations
due to selective nucleosynthesis on a galaxy-wide scale could also play a role.
We also study the CO spectral line energy distribution (SLED) using archival
JCMT $^{12}$CO(3-2) data and find a variation of the SLED shape with local
environmental parameters further underlying changes in optical depth, gas
temperatures or densities.",0.2343397,-0.1466892,-0.1774664,A
665,"We further study the N(Cl i) distribution in high-redshift DLA
                                                  and ESDLA sightlines, as Cl i is a good tracer of H2 gas.","This suggests that the ESDLAs sample a diﬀerent H i region
                                                  of their associated galaxy compared to the general DLA population.","The N(Cl i)−N(H2) correlation is followed by all the clouds (ESDLAs and
                                                  otherwise) having log N(H2)<22.",2022-01-17 14:09:54+00:00,Multi-phase gas properties of extremely strong intervening DLAs towards quasars,astro-ph.GA,['astro-ph.GA'],"[arxiv.Result.Author('A. Ranjan'), arxiv.Result.Author('R. Srianand'), arxiv.Result.Author('P. Petitjean'), arxiv.Result.Author('G. Shaw'), arxiv.Result.Author('Y. -K. Sheen'), arxiv.Result.Author('S. A. Balashev'), arxiv.Result.Author('N. Gupta'), arxiv.Result.Author('C. Ledoux'), arxiv.Result.Author('K. N. Telikova')]","We present the results of a spectroscopic analysis of extremely strong damped
Lyman-{\alpha} absorbers (ESDLAs, log N(Hi)>=21.7) observed with VLT-XShooter.
ESDLAs probe gas from within the star-forming disk of the associated galaxies
and thus ESDLAs provide a unique opportunity to study the interstellar medium
of galaxies at high-redshift. We report column densities (N), equivalent widths
(w), and the kinematic spread ({\Delta} v90) of species from neutral, singly
ionised, and higher ionisation species. We find that, using the dust correction
prescription, the measured metallicities are consistent for singly ionised gas
species such as Pii, S ii, Si ii, Mnii and Crii, and Znii in all ESDLAs within
3-sigma uncertainty. We find that the distributions of N(Ari)/N(Hi) ratio in
DLAs and ESDLAs are similar. We further report that ESDLAs do not show a strong
deficiency of Ari relative to other {\alpha}-capture elements as is seen in
DLAs. This supports the idea that the mentioned under-abundance of Ari in DLAs
is possibly caused by the presence of background UV photons that penetrate the
low N(Hi) clouds to ionise Ari, but they cannot penetrate deep enough in the
high N(Hi) ESDLA environment. The w(Mgii lambda2796) distribution in ESDLAs is
found to be similar to that of metal-rich Ci-selected absorbers, but the
velocity spread of their Mgii profile is different. For higher ionisation
species (such as C iv and Si iv), {\Delta} v90 is similar in the two
populations, while the {\Delta} v90 of singly ionised species is smaller for
ESDLAs. This suggests that the ESDLAs sample a different Hi region of their
associated galaxy compared to the general DLA population. We further study the
N(Cl i) distribution in high-redshift DLA and ESDLA sightlines, as Cl i is a
good tracer of H2 gas. The N(Cl i)-N(H2) correlation is followed by all the
clouds (ESDLAs and otherwise) having log N(H2)<22.",-0.113097,0.21220042,-0.027360123,B
666,"We further study the N(Cl i) distribution in high-redshift DLA
                                                 and ESDLA sightlines, as Cl i is a good tracer of H2 gas.","This suggests that the ESDLAs sample a diﬀerent H i region
                                                 of their associated galaxy compared to the general DLA population.","The N(Cl i)−N(H2) correlation is followed by all the clouds (ESDLAs and
                                                 otherwise) having log N(H2)<22.",2022-01-17 14:09:54+00:00,Multi-phase gas properties of extremely strong intervening DLAs towards quasars,astro-ph.GA,['astro-ph.GA'],"[arxiv.Result.Author('A. Ranjan'), arxiv.Result.Author('R. Srianand'), arxiv.Result.Author('P. Petitjean'), arxiv.Result.Author('G. Shaw'), arxiv.Result.Author('Y. -K. Sheen'), arxiv.Result.Author('S. A. Balashev'), arxiv.Result.Author('N. Gupta'), arxiv.Result.Author('C. Ledoux'), arxiv.Result.Author('K. N. Telikova')]","We present the results of a spectroscopic analysis of extremely strong damped
Lyman-{\alpha} absorbers (ESDLAs, log N(Hi)>=21.7) observed with VLT-XShooter.
ESDLAs probe gas from within the star-forming disk of the associated galaxies
and thus ESDLAs provide a unique opportunity to study the interstellar medium
of galaxies at high-redshift. We report column densities (N), equivalent widths
(w), and the kinematic spread ({\Delta} v90) of species from neutral, singly
ionised, and higher ionisation species. We find that, using the dust correction
prescription, the measured metallicities are consistent for singly ionised gas
species such as Pii, S ii, Si ii, Mnii and Crii, and Znii in all ESDLAs within
3-sigma uncertainty. We find that the distributions of N(Ari)/N(Hi) ratio in
DLAs and ESDLAs are similar. We further report that ESDLAs do not show a strong
deficiency of Ari relative to other {\alpha}-capture elements as is seen in
DLAs. This supports the idea that the mentioned under-abundance of Ari in DLAs
is possibly caused by the presence of background UV photons that penetrate the
low N(Hi) clouds to ionise Ari, but they cannot penetrate deep enough in the
high N(Hi) ESDLA environment. The w(Mgii lambda2796) distribution in ESDLAs is
found to be similar to that of metal-rich Ci-selected absorbers, but the
velocity spread of their Mgii profile is different. For higher ionisation
species (such as C iv and Si iv), {\Delta} v90 is similar in the two
populations, while the {\Delta} v90 of singly ionised species is smaller for
ESDLAs. This suggests that the ESDLAs sample a different Hi region of their
associated galaxy compared to the general DLA population. We further study the
N(Cl i) distribution in high-redshift DLA and ESDLA sightlines, as Cl i is a
good tracer of H2 gas. The N(Cl i)-N(H2) correlation is followed by all the
clouds (ESDLAs and otherwise) having log N(H2)<22.",-0.113097,0.21220042,-0.027360123,B
670,"According to calcu-
of the observed data for CGCs and GCs, performed in this         lations, the densities required for the formation of GCs are
paper, identiﬁed several phenomena related to our study,         achieved with the collision of counter-rotating streams of
the further study of which can add important reﬁnements          very massive clouds.",The analysis      the formation of star-forming clumps.,"Such conditions were likely to occur at
to the theory of galaxy formation and evolution.",2022-01-17 15:48:04+00:00,Investigation of the Prompt SNe Ia progenitor nature through the analysis of the chemical composition of globular clusters and circumgalactic clouds,astro-ph.GA,['astro-ph.GA'],"[arxiv.Result.Author('Irina A. Acharova'), arxiv.Result.Author('Margarita E. Sharina'), arxiv.Result.Author('Egor A. Kazakov')]","A method is proposed for determining the properties of type Ia supernovae
from short-lived precursors -- Prompt SNIa. This method is based on the
assumption that this subtype of type Ia supernovae exploded into
low-metallicity globular clusters (GCs), and is responsible for the enrichment
of the high-metallicity subgroup of GCs and circumgalactic clouds (CGCs) with
the iron peak elements. We justify that CGCs are the formation places of GCs of
both subgroups. The accuracy of the method depends, first, on the number of
GCs, the spectra of which have been studied in detail; second, on the number of
chemical elements, the abundances of which have been worked out. Only those
elements are of interest for this method that are produced in supernova
explosions and are not produced at the previous stage of the stellar evolution.
Our estimates of nucleosynthesis in low-metallicity supernova GCs are in the
best agreement with the following Prompt SNIa model: Single Degenerate Pure
Deflagration Models of white dwarfs (WDs) burning with masses in the range from
1.30 Msun to 1.31 Msun if carbon explodes in the centre of a WD with a low
central density from 0.5*10^9 g/cm^3 to 10^9 g/cm^3.",-0.24874747,-0.23831597,-0.13992484,C
671,"RAS, 454, 3816
                                                                 Coelho P., Barbuy B., Mel´endez J., Schiavon R. P., &
      In the process of solving the main issue, several phenom-
ena related to our study were indicated, the further study of     Castilho B. V. 2005, A&A, 443, 735
which may add important reﬁnements to the theory of the          Colucci J.E., Bernstein R.A., McWilliam A., 2017, ApJ,
formation and evolution of the galaxy.","Only SNe Ia producing a small amount
of iron are responsible for the elemental enrichment in GCs.","834, 105
      These include: rarely seen CGCs and GCs with               Conroy C., Villaume A., van Dokkum P.G., Lind K., 2018,
 [X/H] < −2.3, the lack of very high-metallicity GCs and
CGCs with [X/H] > −0.3.",2022-01-17 15:48:04+00:00,Investigation of the Prompt SNe Ia progenitor nature through the analysis of the chemical composition of globular clusters and circumgalactic clouds,astro-ph.GA,['astro-ph.GA'],"[arxiv.Result.Author('Irina A. Acharova'), arxiv.Result.Author('Margarita E. Sharina'), arxiv.Result.Author('Egor A. Kazakov')]","A method is proposed for determining the properties of type Ia supernovae
from short-lived precursors -- Prompt SNIa. This method is based on the
assumption that this subtype of type Ia supernovae exploded into
low-metallicity globular clusters (GCs), and is responsible for the enrichment
of the high-metallicity subgroup of GCs and circumgalactic clouds (CGCs) with
the iron peak elements. We justify that CGCs are the formation places of GCs of
both subgroups. The accuracy of the method depends, first, on the number of
GCs, the spectra of which have been studied in detail; second, on the number of
chemical elements, the abundances of which have been worked out. Only those
elements are of interest for this method that are produced in supernova
explosions and are not produced at the previous stage of the stellar evolution.
Our estimates of nucleosynthesis in low-metallicity supernova GCs are in the
best agreement with the following Prompt SNIa model: Single Degenerate Pure
Deflagration Models of white dwarfs (WDs) burning with masses in the range from
1.30 Msun to 1.31 Msun if carbon explodes in the centre of a WD with a low
central density from 0.5*10^9 g/cm^3 to 10^9 g/cm^3.",-0.09484544,0.09899543,-0.14688978,C
