Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
168,"To conﬁrm the validity of the exponential
                                                 tical lattices have provided an ideal platform for studying  scale relation, we further study a quasiperiodical model
                                                                                                                                      2

with mobility edge and the 1D Anderson lattice, which                         the underlying phase diagram in Fig.1(a), which indicates
also display similar scale relation of Liouvillian gap.",The quasiperiodic op-     localization.,"the Liouvillian gap exhibiting diﬀerent features in diﬀer-
                                                                              ent phase regions.",2022-01-06 14:57:28+00:00,Exponential size scaling of Liouvillian gap in boundary-dissipated systems with Anderson localization,cond-mat.dis-nn,['cond-mat.dis-nn'],"[arxiv.Result.Author('Bozhen Zhou'), arxiv.Result.Author('Xueliang Wang'), arxiv.Result.Author('Shu Chen')]","Liouvillian gap plays an important role in describing the asymptotic dynamics
of quantum dissipative system. While the Liouvillian gap displays a power-law
size scaling in boundary-dissipated systems with diffusive transport, its
size-scaling relation is still not known in the presence of Anderson
localization. In this letter, we study the Liouvillian gap of various
one-dimensional quasiperiodic and disorder systems with boundary dissipation
and unveil that Liouvillian gap fulfills an exponential scaling relation
$\Delta_{g}\propto e^{-aL}$ in the localized phase. By scrutinizing the
extended Aubry-Andr\'e-Harper model, we fit the value of $a$ and find it
coinciding pretty well with the analytical result of Lyapunov exponent $\kappa$
which is the inverse of localization length $\xi$. We further apply the
perturbation theory to derive $\Delta_{g}\propto e^{-L/\xi}$ analytically. The
exponential scaling relation was verified to hold true in other one-dimensional
quasiperiodic and random disorder models. We also examine the relaxation time
and show the inverse of Liouvillian gap giving a reasonable time scale for the
system achieving the steady state.",-0.29433513,0.027403051,-0.06142004,A
169,"To conﬁrm the validity of the ex-
ponential scaling relation, we further study a quasiperi-        i=1                                   i=1
odical model with mobility edge and the 1D Anderson
lattice, in which the localization length of a localized     where Ji represents the hopping amplitude between the
eigenstate is energy dependent.","While ∆g ∝ L−3 in the
extended phase, the Liouvillian gap scales with L in an          L−1                                   L
exponential way e−aL in the localized phase, where a is
identiﬁed to be identical to the Lyapunov exponent κ of      H=       Ji(c†i ci+1 + c†i+1ci) + Vic†i ci,                    (3)
the localized state.","Our numerical results        i-th and (i+1)-th sites and Vi denotes the chemical poten-
show that the Liouvillian gap displays similar exponen-      tial on the i-th site.",2022-01-06 14:57:28+00:00,Exponential size scaling of the Liouvillian gap in boundary-dissipated systems with Anderson localization,cond-mat.dis-nn,['cond-mat.dis-nn'],"[arxiv.Result.Author('Bozhen Zhou'), arxiv.Result.Author('Xueliang Wang'), arxiv.Result.Author('Shu Chen')]","We carry out a systematical study of the size scaling of Liouvillian gap in
boundary-dissipated one-dimensional quasiperiodic and disorder systems. By
treating the boundary-dissipation operators as a perturbation, we derive an
analytical expression of the Liouvillian gap, which indicates clearly the
Liouvillian gap being proportional to the minimum of boundary densities of
eigenstates of the underlying Hamiltonian, and thus give a theoretical
explanation why the Liouvillian gap has different size scaling relation in the
extended and localized phase. While the Liouvillian gap displays a power-law
size scaling $\Delta_{g}\propto L^{- 3}$ in the extended phase, our analytical
result unveils that the Liouvillian gap fulfills an exponential scaling
relation $\Delta_{g}\propto e^{- \kappa L}$ in the localized phase, where
$\kappa$ takes the largest Lyapunov exponent of localized eigenstates of the
underlying Hamiltonian. By scrutinizing the extended Aubry-Andr\'{e}-Harper
model, we numerically confirm that the Liouvillian gap fulfills the exponential
scaling relation and the fitting exponent $\kappa$ coincides pretty well with
the analytical result of Lyapunov exponent. The exponential scaling relation is
further verified numerically in other one-dimensional quasiperiodic and random
disorder models. We also study the relaxation dynamics and show the inverse of
Liouvillian gap giving a reasonable timescale of asymptotic convergence to the
steady state.",-0.3975218,0.01993481,0.029589448,A_centroid
372,"In order to extract the dynamical exponent z of CP-
LP transitions, we further study the ﬁnite-size scaling
of χ4.","QCPs Vc2 = 2|J + ∆| belong to the same universality
                                                               class as the quasiperiodic Ising chain [19].","One can easily heed that χ4 displays much
more divergent peaks than χ2 in the vicinity of QCP
Vc2 = 3, as is disclosed in Fig.6.",2022-01-11 03:26:45+00:00,Quantum criticality and universality in the $p$-wave paired Aubry-André-Harper model,cond-mat.dis-nn,"['cond-mat.dis-nn', 'cond-mat.quant-gas']","[arxiv.Result.Author('Ting Lv'), arxiv.Result.Author('Tian-Cheng Yi'), arxiv.Result.Author('Liangsheng Li'), arxiv.Result.Author('Gaoyong Sun'), arxiv.Result.Author('Wen-Long You')]","We investigate the quantum criticality and universality in
Aubry-Andr\'{e}-Harper (AAH) model with $p$-wave superconducting pairing
$\Delta$ in terms of the generalized fidelity susceptibility (GFS). We show
that the higher-order GFS is more efficient in spotlighting the critical points
than lower-order ones, and thus the enhanced sensitivity is propitious for
extracting the associated universal information from the finite-size scaling in
quasiperiodic systems. The GFS obeys power-law scaling for localization
transitions and thus scaling properties of the GFS provide compelling values of
critical exponents. Specifically, we demonstrate that the fixed modulation
phase $\phi=\pi$ alleviates the odd-even effect of scaling functions across the
Aubry-Andr\'{e} transition with $\Delta=0$, while the scaling functions for odd
and even numbers of system sizes with a finite $\Delta$ cannot coincide
irrespective of the value of $\phi$. A thorough numerical analysis with odd
number of system sizes reveals the correlation-length exponent $\nu \simeq
1.000$ and the dynamical exponent $z$ $\simeq$ 1.388 for transitions from the
critical phase to the localized phase,suggesting the unusual universality class
of localization transitions in the AAH model with a finite $p$-wave
superconducting pairing lies in a different universality class from the
Aubry-Andr\'{e} transition. The results may be testified in near term
state-of-the-art experimental settings.",-0.25987205,-0.04989899,-0.13440084,A
457,"Yet, further research will be required to fully understand the connections between studies of the
storage capacity problem in statistical physics and results on the NNGP limit.","This connection yields
an intuitive explanation for the varying behavior of the storage capacity in terms of input discriminabil-
ity (Baldassi et al., 2019; Barkai et al., 1992; Engel et al., 1992; Gardner, 1988; Gardner and Derrida, 1988;
Zavatone-Veth and Pehlevan, 2021), as well as a more precise description of the relationship of this line of
research to work on kernel limits of neural networks (Cho and Saul, 2009; Hron et al., 2020; Jacot et al., 2018;
Lee et al., 2018; Matthews et al., 2018; Neal, 1996; Panigrahi et al., 2020; Poole et al., 2016; Williams, 1997).","Though both lines of
research focus on Bayesian inference of network weights, they consider diﬀerent settings.",2022-01-12 19:47:30+00:00,On neural network kernels and the storage capacity problem,cond-mat.dis-nn,"['cond-mat.dis-nn', 'cs.LG']","[arxiv.Result.Author('Jacob A. Zavatone-Veth'), arxiv.Result.Author('Cengiz Pehlevan')]","In this short note, we reify the connection between work on the storage
capacity problem in wide two-layer treelike neural networks and the
rapidly-growing body of literature on kernel limits of wide neural networks.
Concretely, we observe that the ""effective order parameter"" studied in the
statistical mechanics literature is exactly equivalent to the infinite-width
Neural Network Gaussian Process Kernel. This correspondence connects the
expressivity and trainability of wide two-layer neural networks.",0.33404374,-0.1148746,0.08124648,B
1347,"We further study the lattices with power-law decaying long-range nonreciprocal
                                                                 hopping and found that the intertwined loops in the PBC spectrum will be untangled.","In addition, loop structures also exist in the OBC spectra of systems with
                                                                 onsite potentials.","Finally,
                                                                 we propose an experimental scheme to realize the long-range nonreciprocal models by exploiting
                                                                 electrical circuits.",2022-02-01 09:30:44+00:00,Evolution of spectral topology in one-dimensional long-range nonreciprocal lattices,cond-mat.dis-nn,"['cond-mat.dis-nn', 'quant-ph']","[arxiv.Result.Author('Qi-Bo Zeng'), arxiv.Result.Author('Rong Lü')]","We investigate the spectral topology of one-dimensional lattices where the
nonreciprocal hoppings within the nearest $r_d$ neighboring sites are the same.
For the purely off-diagonal model without onsite potentials, the energy
spectrum of the lattice under periodic boundary conditions (PBCs) forms an
inseparable loop that intertwines with itself in the complex energy plane and
is characterized by winding numbers ranging from 1 up to $r_d$. The
corresponding spectrum under open boundary conditions (OBCs), which is real in
the nearest neighboring model, will ramify and take the shape of an
$(r_d+1)$-pointed star with all the branches connected at zero energy. If we
further introduce periodic onsite modulations, the spectrum will gradually
divide into multiple separable bands as we vary the parameters. Most
importantly, we find that a different kind of band gap called loop gap can
exist in the PBC spectrum, separating an inner loop from an outer one with each
composed by part of the spectrum. In addition, loop structures also exist in
the OBC spectra of systems with onsite potentials. We further study the
lattices with power-law decaying long-range nonreciprocal hopping and found
that the intertwined loops in the PBC spectrum will be untangled. Finally, we
propose an experimental scheme to realize the long-range nonreciprocal models
by exploiting electrical circuits. Our work unveils the exotic spectral
topology in the long-range nonreciprocal lattices.",-0.4217867,-0.07500643,0.23567148,A
1348,"We further study the model with
power-law decaying long-range nonreciprocal hopping in        boundary conditions behave quite diﬀerently.",IV.,"By using
Sec.",2022-02-01 09:30:44+00:00,Evolution of spectral topology in one-dimensional long-range nonreciprocal lattices,cond-mat.dis-nn,"['cond-mat.dis-nn', 'quant-ph']","[arxiv.Result.Author('Qi-Bo Zeng'), arxiv.Result.Author('Rong Lü')]","We investigate the spectral topology of one-dimensional lattices where the
nonreciprocal hoppings within the nearest $r_d$ neighboring sites are the same.
For the purely off-diagonal model without onsite potentials, the energy
spectrum of the lattice under periodic boundary conditions (PBCs) forms an
inseparable loop that intertwines with itself in the complex energy plane and
is characterized by winding numbers ranging from 1 up to $r_d$. The
corresponding spectrum under open boundary conditions (OBCs), which is real in
the nearest neighboring model, will ramify and take the shape of an
$(r_d+1)$-pointed star with all the branches connected at zero energy. If we
further introduce periodic onsite modulations, the spectrum will gradually
divide into multiple separable bands as we vary the parameters. Most
importantly, we find that a different kind of band gap called loop gap can
exist in the PBC spectrum, separating an inner loop from an outer one with each
composed by part of the spectrum. In addition, loop structures also exist in
the OBC spectra of systems with onsite potentials. We further study the
lattices with power-law decaying long-range nonreciprocal hopping and found
that the intertwined loops in the PBC spectrum will be untangled. Finally, we
propose an experimental scheme to realize the long-range nonreciprocal models
by exploiting electrical circuits. Our work unveils the exotic spectral
topology in the long-range nonreciprocal lattices.",-0.45631462,-0.089074805,0.014627008,A
1349,"We further study the spectral properties of 1D lattices
We show that, in the oﬀ-diagonal models without on-         with power-law decaying nonreciprocal hopping.",cal hopping existing in the nearest rd neighboring sites.,"Finally,
site potentials, the PBC spectra always form loops that     we propose a practical scheme by using electrical circuits
are characterized by winding numbers up to rd.",2022-02-01 09:30:44+00:00,Evolution of spectral topology in one-dimensional long-range nonreciprocal lattices,cond-mat.dis-nn,"['cond-mat.dis-nn', 'quant-ph']","[arxiv.Result.Author('Qi-Bo Zeng'), arxiv.Result.Author('Rong Lü')]","We investigate the spectral topology of one-dimensional lattices where the
nonreciprocal hoppings within the nearest $r_d$ neighboring sites are the same.
For the purely off-diagonal model without onsite potentials, the energy
spectrum of the lattice under periodic boundary conditions (PBCs) forms an
inseparable loop that intertwines with itself in the complex energy plane and
is characterized by winding numbers ranging from 1 up to $r_d$. The
corresponding spectrum under open boundary conditions (OBCs), which is real in
the nearest neighboring model, will ramify and take the shape of an
$(r_d+1)$-pointed star with all the branches connected at zero energy. If we
further introduce periodic onsite modulations, the spectrum will gradually
divide into multiple separable bands as we vary the parameters. Most
importantly, we find that a different kind of band gap called loop gap can
exist in the PBC spectrum, separating an inner loop from an outer one with each
composed by part of the spectrum. In addition, loop structures also exist in
the OBC spectra of systems with onsite potentials. We further study the
lattices with power-law decaying long-range nonreciprocal hopping and found
that the intertwined loops in the PBC spectrum will be untangled. Finally, we
propose an experimental scheme to realize the long-range nonreciprocal models
by exploiting electrical circuits. Our work unveils the exotic spectral
topology in the long-range nonreciprocal lattices.",-0.43391663,-0.060213506,0.21708219,A
1386,"A better understanding of this
transition and similar other properties of higher-order cumulants represents an interesting direction for
further study.","We note that as D increases (for constant
correlation length ξ) the sample uctuations increase at the transition.","We expect that typical-case studies of the decomposition of large random tensors [83–87]

                                                              9
and approaches based on random matrix theory [88] will prove fruitful in this direction, similar to the
progress in understanding the spectral properties of random covariance matrices [89–91].",2022-02-01 17:11:13+00:00,Data-driven emergence of convolutional structure in neural networks,cond-mat.dis-nn,"['cond-mat.dis-nn', 'q-bio.NC', 'stat.ML']","[arxiv.Result.Author('Alessandro Ingrosso'), arxiv.Result.Author('Sebastian Goldt')]","Exploiting data invariances is crucial for efficient learning in both
artificial and biological neural circuits. Understanding how neural networks
can discover appropriate representations capable of harnessing the underlying
symmetries of their inputs is thus crucial in machine learning and
neuroscience. Convolutional neural networks, for example, were designed to
exploit translation symmetry and their capabilities triggered the first wave of
deep learning successes. However, learning convolutions directly from
translation-invariant data with a fully-connected network has so far proven
elusive. Here, we show how initially fully-connected neural networks solving a
discrimination task can learn a convolutional structure directly from their
inputs, resulting in localised, space-tiling receptive fields. These receptive
fields match the filters of a convolutional network trained on the same task.
By carefully designing data models for the visual scene, we show that the
emergence of this pattern is triggered by the non-Gaussian, higher-order local
structure of the inputs, which has long been recognised as the hallmark of
natural images. We provide an analytical and numerical characterisation of the
pattern-formation mechanism responsible for this phenomenon in a simple model
and find an unexpected link between receptive field formation and tensor
decomposition of higher-order input correlations. These results provide a new
perspective on the development of low-level feature detectors in various
sensory modalities, and pave the way for studying the impact of higher-order
statistics on learning in neural networks.",0.06923035,-0.008886719,0.028821923,A
1818,"We would like to stress that earlier many works have          We further study the eﬀect of interactions on the en-
proposed logarithmic growth of entanglement entropy as        tanglement entropy growth.",state studied.,"As the interaction V in-
a signature of MBL phase [15] but all these works pre-        creases, for a ﬁxed value of the aperiodic potential,
sented exact diagonalization results on very small sys-       the system gets more delocalized and hence the rate of
tem sizes (L = 12).",2022-02-10 18:22:02+00:00,Initial State Dependent Dynamics Across Many-body Localization Transition,cond-mat.dis-nn,"['cond-mat.dis-nn', 'cond-mat.stat-mech']","[arxiv.Result.Author('Y. Prasad'), arxiv.Result.Author('Arti Garg')]","We investigate quench dynamics across many-body localization (MBL) transition
in an interacting one dimensional system of spinless fermions with aperiodic
potential. We consider a large number of initial states characterized by number
of kinks $N_{kinks}$ in the density profile. On the delocalized side of the MBL
transition, the dynamics becomes faster with increase in the number of kinks
$N_{kinks}$ in the initial state such that the exponent $\gamma$ in the density
imbalance increases with increase in $N_{kinks}$. Deep within the MBL phase,
$I(t)$ does not show any power-law decay, but the saturation value increases as
the number of kinks decrease. We explain this dependence of dynamics on the
number of kinks in terms of the normalized participation ratio of the initial
state in the eigenbasis of the interacting Hamiltonian. We show that the
exponent from the mean square displacement $\langle x^2(t) \rangle \sim
t^\beta$ in the long time limit satisfies $\beta \sim 2\gamma$ only for initial
states with large number of kinks but $\beta$ is much larger than the exponent
$\gamma$ for 1-kink initial state. As the disorder strength increases
$\gamma_{N_{kink}} \rightarrow 0$ at some critical $h_{N_{kink}}$ with
$h_{N_{kink}}$ being a monotonically increasing function of $N_{kink}$ and
saturating to the MBL transition point $h_c$. This shows that a 1-kink state
always underestimates the value of $h$ at which the MBL transition takes place
but is consistent with the onset of a sub-diffusive phase. This is consistent
with the dynamics of interface broadening for the 1-kink state. We also analyse
the growth of sublattice entanglement entropy $S(t)$ for various kink initial
states and show that $S(t)$ shows a logarithmic growth $a \ln(Vt)$ not only in
the MBL phase but also in the delocalised phase and in both the phases the
coefficient $a$ increases with $N_{kinks}$.",-0.11773987,-0.078752905,0.100485004,A
1819,"This has interesting im-
   We further study the eﬀect of interactions on the EE       plications on the dynamical exponents, rate of growth
growth.","get contributions from a larger fraction of many-body
                                                              eigenstates of the Hamiltonian.","As the interaction strength, V , increases for a      of various physical quantities and the critical disorder
ﬁxed value of the aperiodic potential, the system gets        at which the dynamics freezes.",2022-02-10 18:22:02+00:00,Initial State Dependent Dynamics Across Many-body Localization Transition,cond-mat.dis-nn,"['cond-mat.dis-nn', 'cond-mat.stat-mech']","[arxiv.Result.Author('Y. Prasad'), arxiv.Result.Author('Arti Garg')]","We investigate quench dynamics across many-body localization (MBL) transition
in an interacting one dimensional system of spinless fermions with aperiodic
potential. We consider a large number of initial states characterized by the
number of kinks, $N_{kinks}$, in the density profile. On the delocalized side
of the MBL transition the dynamics becomes faster with increase in $N_{kinks}$
such that the decay exponent, $\gamma$, in the density imbalance increases with
increase in $N_{kinks}$. The growth exponent of the mean square displacement
which shows a power-law behaviour $\langle x^2(t) \rangle \sim t^\beta$ in the
long time limit is much larger than the exponent $\gamma$ for 1-kink and other
low kink states though $\beta \sim 2\gamma$ for a charge density wave state. As
the disorder strength increases $\gamma_{N_{kink}} \rightarrow 0$ at some
critical disorder, $h_{N_{kinks}}$ which is a monotonically increasing function
of $N_{kinks}$. A 1-kink state always underestimates the value of disorder at
which the MBL transition takes place but $h_{1-kink}$ coincides with the onset
of the sub-diffusive phase preceding the MBL phase. This is consistent with the
dynamics of interface broadening for the 1-kink state. We show that the
bipartite entanglement entropy has a logarithmic growth $a \ln(Vt)$ not only in
the MBL phase but also in the delocalised phase and in both the phases the
coefficient $a$ increases with $N_{kinks}$ as well as with the interaction
strength $V$. We explain this dependence of dynamics on the number of kinks in
terms of the normalized participation ratio of initial states in the eigenbasis
of the interacting Hamiltonian.",-0.2316134,0.027786426,-0.10711488,A
