Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
58,"B. Dor, E. Woillez, Y. Kafri, M. Kardar, and A. P.
deserve a further study, possibly revealing a relevance at           Solon, Physical Review E 100, 052610 (2019), publisher:
an even larger scale, out of reach of our numerical simu-            APS.",couples—or not—to the aligning dynamics would surely           [17] Y.,lations.,2022-01-03 15:20:11+00:00,Susceptibility of Polar Flocks to Spatial Anisotropy,cond-mat.stat-mech,"['cond-mat.stat-mech', 'cond-mat.soft']","[arxiv.Result.Author('Alexandre Solon'), arxiv.Result.Author('Hugues Chaté'), arxiv.Result.Author('John Toner'), arxiv.Result.Author('Julien Tailleur')]","We consider the effect of spatial anisotropy on polar flocks by investigating
active $q$-state clock models in two dimensions. In contrast to what happens in
equilibrium, we find that, in the large-size limit, any amount of anisotropy
changes drastically the phenomenology of the rotationally-invariant case,
destroying long-range correlations, pinning the direction of global order, and
transforming the traveling bands of the coexistence phase into a single moving
domain. All this happens beyond a lengthscale that diverges in the $q\to\infty$
limit. A phenomenology akin to that of the Vicsek model can thus be observed in
a finite system for large enough values of $q$. We provide a scaling argument
which rationalizes why anisotropy has so different effects in the passive and
active cases.",-0.18659627,-0.20776221,0.05016717,C
59,"B. Dor, E. Woillez, Y. Kafri, M. Kardar, and A. P.
deserve a further study, possibly revealing a relevance at           Solon, Physical Review E 100, 052610 (2019), publisher:
an even larger scale, out of reach of our numerical simu-            APS.",couples—or not—to the aligning dynamics would surely           [17] Y.,lations.,2022-01-03 15:20:11+00:00,Susceptibility of Polar Flocks to Spatial Anisotropy,cond-mat.stat-mech,"['cond-mat.stat-mech', 'cond-mat.soft']","[arxiv.Result.Author('Alexandre Solon'), arxiv.Result.Author('Hugues Chaté'), arxiv.Result.Author('John Toner'), arxiv.Result.Author('Julien Tailleur')]","We consider the effect of spatial anisotropy on polar flocks by investigating
active $q$-state clock models in two dimensions. In contrast to what happens in
equilibrium, we find that, in the large-size limit, any amount of anisotropy
changes drastically the phenomenology of the rotationally-invariant case,
destroying long-range correlations, pinning the direction of global order, and
transforming the traveling bands of the coexistence phase into a single moving
domain. All this happens beyond a lengthscale that diverges in the $q\to\infty$
limit. A phenomenology akin to that of the Vicsek model can thus be observed in
a finite system for large enough values of $q$. We provide a scaling argument
which rationalizes why anisotropy has so different effects in the passive and
active cases.",-0.18659621,-0.2077623,0.050167188,C
948,"For example, our
method works very well for models that display micro-            By further studying the dynamics of economic toy
scopic reversibility, as the process of one or more agents    models, such as those considered in this paper, we can
changing their mind from A to B can also be reversed by       further expand the library of qualitative transient be-
the process.",ble in the context of decision theory.,"However, as highlighted in [3], more compli-     haviours one expects to see in more complex models.",2022-01-24 10:32:08+00:00,Exact time-dependent dynamics of discrete binary choice models,cond-mat.stat-mech,"['cond-mat.stat-mech', 'econ.TH', '82C31 (Primary), 82C23 (Primary), 60J28 (Secondary)', 'G.3']","[arxiv.Result.Author('James Holehouse'), arxiv.Result.Author('José Moran')]","We provide a generic method to find full dynamical solutions to binary
decision models with interactions. In these models, agents follow a stochastic
evolution where they must choose between two possible choices by taking into
account the choices of their peers. We illustrate our method by solving Kirman
and F\""ollmer's ant recruitment model for any number $N$ of agents and for any
choice of parameters, recovering past results found in the limit $N\to \infty$.
We then solve extensions of the ant recruitment model for increasing asymmetry
between the two choices. Finally, we provide an analytical time-dependent
solution to the standard voter model and a semi-analytical solution to the
vacillating voter model.",-0.36507666,0.3044731,-0.04228128,C
949,"By further studying the dynamics of economic toy
                        IV.",4.,"CONCLUSION                       models, such as those considered in this paper, we can
                                                             further expand the library of qualitative transient be-
   In this paper, we have provided an exact solution to      haviours one expects to see in more complex models.",2022-01-24 10:32:08+00:00,Exact time-dependent dynamics of discrete binary choice models,cond-mat.stat-mech,"['cond-mat.stat-mech', 'econ.TH', '82C31 (Primary), 82C23 (Primary), 60J28 (Secondary)', 'G.3']","[arxiv.Result.Author('James Holehouse'), arxiv.Result.Author('José Moran')]","We provide a generic method to find full dynamical solutions to binary
decision models with interactions. In these models, agents follow a stochastic
evolution where they must choose between two possible choices by taking into
account the choices of their peers. We illustrate our method by solving Kirman
and F\""ollmer's ant recruitment model for any number $N$ of agents and for any
choice of parameters, recovering past results found in the limit $N\to \infty$.
We then solve extensions of the ant recruitment model for increasing asymmetry
between the two choices. Finally, we provide an analytical time-dependent
solution to the standard voter model and a semi-analytical solution to the
vacillating voter model.",-0.28179875,0.34594622,-0.00294167,C
950,"CONCLUSION
                                                                By further studying the dynamics of economic toy
   In this paper, we have provided an exact solution to      models, such as those considered in this paper, we can
the ant recruitment model.",IV.,"We have proved that we can        further expand the library of qualitative transient be-
recover the N → ∞ results found through other methods        haviours one expects to see in more complex models.",2022-01-24 10:32:08+00:00,Exact time-dependent dynamics of discrete binary choice models,cond-mat.stat-mech,"['cond-mat.stat-mech', 'econ.TH', '82C31 (Primary), 82C23 (Primary), 60J28 (Secondary)', 'G.3']","[arxiv.Result.Author('James Holehouse'), arxiv.Result.Author('José Moran')]","We provide a generic method to find full dynamical solutions to binary
decision models with interactions. In these models, agents follow a stochastic
evolution where they must choose between two possible choices by taking into
account the choices of their peers. We illustrate our method by solving Kirman
and F\""ollmer's ant recruitment model for any number $N$ of agents and for any
choice of parameters, recovering past results found in the limit $N\to \infty$.
We then solve extensions of the ant recruitment model for increasing asymmetry
between the two choices. Finally, we provide an analytical time-dependent
solution to the standard voter model and a semi-analytical solution to the
vacillating voter model.",-0.29538852,0.37454727,0.021919746,C
1214,The models suggest further research opportunities.,"The Carnot cycle is an ideal teaching tool for relating thermodynamics to statistical
mechanics.","In particular it is desirable
to formulate cycles with continuous strainrates and to further detail the microscopic bulk-
viscosity mechanism underlying these illustrations of the Second Law of Thermodynamics.",2022-01-29 19:08:42+00:00,Thermodynamic Entropy from Sadi Carnot's Cycle using Gauss' and Doll's-Tensor Molecular Dynamics,cond-mat.stat-mech,"['cond-mat.stat-mech', 'physics.chem-ph', 'physics.comp-ph']","[arxiv.Result.Author('William Graham Hoover'), arxiv.Result.Author('Carol Griswold Hoover')]","Carnot's four-part ideal-gas cycle includes both isothermal and adiabatic
expansions and compressions. Analyzing this cycle provides the fundamental
basis for statistical thermodynamics. We explore the cycle here from a
pedagogical view in order to promote understanding of the macroscopic
thermodynamic entropy, the state function associated with thermal energy
changes. From the alternative microscopic viewpoint the Hamiltonian ${\cal
H}(q,p)$ is the energy and entropy is the (logarithm of the) phase-space volume
$\Omega$ associated with a macroscopic state. We apply two novel forms of
Hamiltonian mechanics to Carnot's Cycle: [1] Gauss' isokinetic mechanics for
the isothermal segments and [2] Doll's Tensor for the isentropic adiabatic
segments. We explore the equivalence of the microscopic and macroscopic views
of Carnot's cycle for simple fluids here, beginning with the ideal Knudsen gas
and extending the analysis to a prototypical simple fluid.",-0.20292422,0.5879246,-0.38490078,C
1215,The models suggest further research opportunities.,"The Carnot cycle is an ideal teaching tool for relating thermodynamics to statistical
mechanics.","In particular it is desirable
to formulate cycles with continuous strainrates and to further detail the microscopic bulk-
viscosity mechanism underlying these illustrations of the Second Law of Thermodynamics.",2022-01-29 19:08:42+00:00,Thermodynamic Entropy from Sadi Carnot's Cycle using Gauss' and Doll's-Tensor Molecular Dynamics,cond-mat.stat-mech,"['cond-mat.stat-mech', 'physics.chem-ph', 'physics.comp-ph']","[arxiv.Result.Author('William Graham Hoover'), arxiv.Result.Author('Carol Griswold Hoover')]","Carnot's four-part ideal-gas cycle includes both isothermal and adiabatic
expansions and compressions. Analyzing this cycle provides the fundamental
basis for statistical thermodynamics. We explore the cycle here from a
pedagogical view in order to promote understanding of the macroscopic
thermodynamic entropy, the state function associated with thermal energy
changes. From the alternative microscopic viewpoint the Hamiltonian ${\cal
H}(q,p)$ is the energy and entropy is the (logarithm of the) phase-space volume
$\Omega$ associated with a macroscopic state. We apply two novel forms of
Hamiltonian mechanics to Carnot's Cycle: [1] Gauss' isokinetic mechanics for
the isothermal segments and [2] Doll's Tensor for the isentropic adiabatic
segments. We explore the equivalence of the microscopic and macroscopic views
of Carnot's cycle for simple fluids here, beginning with the ideal Knudsen gas
and extending the analysis to a prototypical simple fluid.",-0.20292422,0.5879246,-0.38490078,C
1216,The models suggest further research opportunities.,"The Carnot cycle is an ideal teaching tool for relating thermodynamics to statistical
mechanics.","In particular it is desirable
to formulate cycles with continuous strainrates and to further detail the microscopic bulk-
viscosity mechanism underlying these illustrations of the Second Law of Thermodynamics.",2022-01-29 19:08:42+00:00,Thermodynamic Entropy from Sadi Carnot's Cycle using Gauss' and Doll's-Tensor Molecular Dynamics,cond-mat.stat-mech,"['cond-mat.stat-mech', 'physics.chem-ph', 'physics.comp-ph']","[arxiv.Result.Author('William Graham Hoover'), arxiv.Result.Author('Carol Griswold Hoover')]","Carnot's four-part ideal-gas cycle includes both isothermal and adiabatic
expansions and compressions. Analyzing this cycle provides the fundamental
basis for statistical thermodynamics. We explore the cycle here from a
pedagogical view in order to promote understanding of the macroscopic
thermodynamic entropy, the state function associated with thermal energy
changes. From the alternative microscopic viewpoint the Hamiltonian ${\cal
H}(q,p)$ is the energy and entropy is the (logarithm of the) phase-space volume
$\Omega$ associated with a macroscopic state. We apply two novel forms of
Hamiltonian mechanics to Carnot's Cycle: [1] Gauss' isokinetic mechanics for
the isothermal segments and [2] Doll's Tensor for the isentropic adiabatic
segments. We explore the equivalence of the microscopic and macroscopic views
of Carnot's cycle for simple fluids here, beginning with the ideal Knudsen gas
and extending the analysis to a prototypical simple fluid.",-0.20292422,0.5879246,-0.38490078,C
1695,"We believe the re-
sulting ensemble GMPE is interesting in its own right and we further study its mean eigenvalue
density as N → ∞ as well as correlation properties of its characteristic polynomial for both ﬁxed
and random diagonal matrix T .","However the sign-indeﬁnite nature of T in our case makes the
properties of the resulting matrices W very different from the Wishart case.","While the main focus of this article is on the landscape complex-
ity, hence on the real symmetric matrices with the Dyson index β = 1 (corresponding to K being
a matrix with real independent Gaussian elements), from the point of view of Random Matrix
Theory (RMT) it is natural to extend the deﬁnition of the Gaussian Marchenko-Pastur Ensemble
to the Dyson index β = 2 by considering K with normal complex independent elements [33].",2022-02-08 12:19:40+00:00,Superposition of Random Plane Waves in High Spatial Dimensions: Random Matrix Approach to Landscape Complexity,cond-mat.stat-mech,"['cond-mat.stat-mech', 'cond-mat.dis-nn', 'math-ph', 'math.MP']","[arxiv.Result.Author('Bertrand Lacroix-A-Chez-Toine'), arxiv.Result.Author('Sirio Belga Fedeli'), arxiv.Result.Author('Yan V. Fyodorov')]","Motivated by current interest in understanding statistical properties of
random landscapes in high-dimensional spaces, we consider a model of the
landscape in $\mathbb{R}^N$ obtained by superimposing $M>N$ plane waves of
random wavevectors and amplitudes. For this landscape we show how to compute
the ""annealed complexity"" controlling the asymptotic growth rate of the mean
number of stationary points as $N\to \infty$ at fixed ratio $\alpha=M/N>1$. The
framework of this computation requires us to study spectral properties of
$N\times N$ matrices $W=KTK^T$, where $T$ is diagonal with $M$ mean zero i.i.d.
real normally distributed entries, and all $MN$ entries of $K$ are also i.i.d.
real normal random variables. We suggest to call the latter Gaussian
Marchenko-Pastur Ensemble, as such matrices appeared in the seminal 1967 paper
by those authors. We compute the associated mean spectral density and evaluate
some moments and correlation functions involving products of characteristic
polynomials for such and related matrices.",-0.008972192,-0.20565137,0.12630501,B
1696,"The unforeseen behaviour of the total annealed complexity naturally invites further study of the
Gibbs measure associated to this random landscape at ﬁxed inverse temperature β = 1/T .","Rather surprisingly, we have shown that in the large N limit, the
two-point correlation function depends on the product of the two spectral parameters instead of
their distance, as is the case for standard random matrix ensembles [34, 49].","Indeed,
for translationally and rotationally invariant Gaussian models [14], it was shown that the trivial
phase naturally corresponds to the replica symmetric phase in the Parisi framework.",2022-02-08 12:19:40+00:00,Superposition of Random Plane Waves in High Spatial Dimensions: Random Matrix Approach to Landscape Complexity,cond-mat.stat-mech,"['cond-mat.stat-mech', 'cond-mat.dis-nn', 'math-ph', 'math.MP']","[arxiv.Result.Author('Bertrand Lacroix-A-Chez-Toine'), arxiv.Result.Author('Sirio Belga Fedeli'), arxiv.Result.Author('Yan V. Fyodorov')]","Motivated by current interest in understanding statistical properties of
random landscapes in high-dimensional spaces, we consider a model of the
landscape in $\mathbb{R}^N$ obtained by superimposing $M>N$ plane waves of
random wavevectors and amplitudes. For this landscape we show how to compute
the ""annealed complexity"" controlling the asymptotic growth rate of the mean
number of stationary points as $N\to \infty$ at fixed ratio $\alpha=M/N>1$. The
framework of this computation requires us to study spectral properties of
$N\times N$ matrices $W=KTK^T$, where $T$ is diagonal with $M$ mean zero i.i.d.
real normally distributed entries, and all $MN$ entries of $K$ are also i.i.d.
real normal random variables. We suggest to call the latter Gaussian
Marchenko-Pastur Ensemble, as such matrices appeared in the seminal 1967 paper
by those authors. We compute the associated mean spectral density and evaluate
some moments and correlation functions involving products of characteristic
polynomials for such and related matrices.",-0.022881147,-0.23589696,0.039508514,B_centroid
