Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
20,"To further study the physical properties of Nb2CFx, it is necessary to measure the
resistivity curves with temperature.","It should be pointed out that the
diamagnetic shielding volume fraction estimated by their magnetic measurements was
only about 0.12%, and the zero resistivity (ρ) data of the superconductor was absent.","Figure 2c illustrates the temperature-dependent
resistivity of Nb2CFx prepared by the hydrothermal method.",2022-01-02 05:54:05+00:00,Role of surface functional groups to superconductivity in Nb$_2$C-MXene: Experiments and density functional theory calculations,cond-mat.supr-con,"['cond-mat.supr-con', 'cond-mat.mtrl-sci']","[arxiv.Result.Author('Kai Wang'), arxiv.Result.Author('Haolin Jin'), arxiv.Result.Author('Hongye Li'), arxiv.Result.Author('Zhongquan Mao'), arxiv.Result.Author('Lingyun Tang'), arxiv.Result.Author('Dan Huang'), arxiv.Result.Author('Ji-Hai Liao'), arxiv.Result.Author('Jiang Zhang')]","The recently discovered surface-group-dependent superconductivity in
Nb$_2$C-MXene fabricated by the molten salts method is attracting wide
attention. However, regarding the superconductivity of Nb$_2$C-MXene with
functional F groups (Nb$_2$CF$_x$), there were some conflicting results in
experimental and theoretical studies. Herein, we systematically carried out
experimental and theoretical investigations on the superconductivity in
Nb$_2$C-MXene with the Cl functional group (Nb$_2$CCl$_x$) and Nb$_2$CF$_x$.
The experimental results of the Meissner effect and zero resistivity have
proved that Nb$_2$CClx is superconducting with the transition temperature (Tc)
~ 5.2 K. We extract its superconducting parameters from the temperature
dependence of resistivity and the field dependence of the magnetization. The
Ginzburg-Landau parameter K$_G$$_L$ is estimated to be 2.41, indicating that
Nb$_2$CClx is a typical type-II superconductor. Conversely, both magnetic and
electrical transport measurements demonstrate that Nb$_2$CF$_x$ is not
superconducting. The first-principles density functional theory (DFT)
calculations show that the Tc of Nb$_2$Cl$_x$ is ~ 5.2 K, while Nb$_2$CF$_x$ is
dynamically unstable with imaginary frequency in phonon spectrum, which is in
good agreement with the experimental results. Our studies not only are useful
for clarifying the present inconsistency but also offer referential
significance for future investigations on the superconductivity of MXenes.",-0.17916265,0.16073284,0.055495776,B
240,"At the moment this is just an hypothesis, further study is needed to elucidate the relative
contribution of 2DEG and Al to the superﬂuid density, as well as the role of the unconventional pairing to the vortex inductance,
as discussed in the main text.","A possible explanation for this overestimate
is the suppression of the order parameter in the proximitized 2DEG, which recent experiments showed to take place precisely
in this magnetic ﬁeld range [9].","ISOTROPY OF THE KINETIC INDUCTANCE IN THE ABSENCE OF VORTICES

   Figure 4 focuses on the inductance measurements at Bip = 0.5 T for Bz = 0 mT (blue) and Bz = 2 mT (green).",2022-01-07 15:56:04+00:00,Anisotropic vortex squeezing in synthetic Rashba superconductors: a manifestation of Lifshitz invariants,cond-mat.supr-con,['cond-mat.supr-con'],"[arxiv.Result.Author('Lorenz Fuchs'), arxiv.Result.Author('Denis Kochan'), arxiv.Result.Author('Christian Baumgartner'), arxiv.Result.Author('Simon Reinhardt'), arxiv.Result.Author('Sergei Gronin'), arxiv.Result.Author('Geoffrey C. Gardner'), arxiv.Result.Author('Tyler Lindemann'), arxiv.Result.Author('Michael J. Manfra'), arxiv.Result.Author('Christoph Strunk'), arxiv.Result.Author('Nicola Paradiso')]","Most of 2D superconductors are of type II, i.e., they are penetrated by
quantized vortices when exposed to out-of-plane magnetic fields. In presence of
a supercurrent, a Lorentz-like force acts on the vortices, leading to drift and
dissipation. The current-induced vortex motion is impeded by pinning at
defects, enabling the use of superconductors to generate high magnetic fields
without dissipation. Usually, the pinning strength decreases upon any type of
pair-breaking. Here we show that in Rashba superconductors the application of
an in-plane field leads, instead, to an unexpected enhancement of pinning. When
rotating the in-plane component of the field with respect to the current
direction, the vortex inductance turns out to be highly anisotropic. We explain
this phenomenon as a manifestation of Lifshitz invariant terms in the
Ginzburg-Landau free energy, which are enabled by inversion and time-reversal
symmetry breaking and lead to an elliptic squeezing of vortex cores. Our
experiment provides access to a fundamental property of Rashba superconductors
and offers an entirely new approach to vortex manipulation.",-0.104361646,-0.3317356,-0.26634562,A_centroid
241,"At the moment this is just an hypothesis, further study is needed to elucidate the relative
contribution of 2DEG and Al to the superﬂuid density, as well as the role of the unconventional pairing to the vortex inductance,
as discussed in the main text.","A possible explanation for this overestimate
is the suppression of the order parameter in the proximitized 2DEG, which recent experiments showed to take place precisely
in this magnetic ﬁeld range [9].","INDUCTANCE PER VORTEX IN THE LINEAR REGIME OF Lv(Bz)

   Figure 1c of the main text shows the dependence of the vortex inductance Lv on the out-of-plane ﬁeld Bz.",2022-01-07 15:56:04+00:00,Anisotropic vortex squeezing in synthetic Rashba superconductors: a manifestation of Lifshitz invariants,cond-mat.supr-con,['cond-mat.supr-con'],"[arxiv.Result.Author('Lorenz Fuchs'), arxiv.Result.Author('Denis Kochan'), arxiv.Result.Author('Christian Baumgartner'), arxiv.Result.Author('Simon Reinhardt'), arxiv.Result.Author('Sergei Gronin'), arxiv.Result.Author('Geoffrey C. Gardner'), arxiv.Result.Author('Tyler Lindemann'), arxiv.Result.Author('Michael J. Manfra'), arxiv.Result.Author('Christoph Strunk'), arxiv.Result.Author('Nicola Paradiso')]","Most of 2D superconductors are of type II, i.e., they are penetrated by
quantized vortices when exposed to out-of-plane magnetic fields. In presence of
a supercurrent, a Lorentz-like force acts on the vortices, leading to drift and
dissipation. The current-induced vortex motion is impeded by pinning at
defects, enabling the use of superconductors to generate high magnetic fields
without dissipation. Usually, the pinning strength decreases upon any type of
pair-breaking. Here we show that in Rashba superconductors the application of
an in-plane field leads, instead, to an unexpected enhancement of pinning. When
rotating the in-plane component of the field with respect to the current
direction, the vortex inductance turns out to be highly anisotropic. We explain
this phenomenon as a manifestation of Lifshitz invariant terms in the
Ginzburg-Landau free energy, which are enabled by inversion and time-reversal
symmetry breaking and lead to an elliptic squeezing of vortex cores. Our
experiment provides access to a fundamental property of Rashba superconductors
and offers an entirely new approach to vortex manipulation.",-0.10826224,-0.36603662,-0.3192264,A
662,"Thus, study on a reference         Therefore, further study on TOS is desired to thoroughly un-
                                                    system, of which superconductivity also originates from 3d        derstand the mechanism of superconductivity originated from
                                                    electrons, will provide valuable perspectives for further com-    3d electrons.",3d transition metal compounds.,prehension of unconventional superconductivity.,2022-01-17 13:33:57+00:00,Epitaxial stabilization of an orthorhombic Mg-Ti-O superconductor,cond-mat.supr-con,['cond-mat.supr-con'],"[arxiv.Result.Author('Zhuang Ni'), arxiv.Result.Author('Wei Hu'), arxiv.Result.Author('Qinghua Zhang'), arxiv.Result.Author('Yanmin Zhang'), arxiv.Result.Author('Peiyu Xiong'), arxiv.Result.Author('Qian Li'), arxiv.Result.Author('Jie Yuan'), arxiv.Result.Author('Qihong Chen'), arxiv.Result.Author('Beiyi Zhu'), arxiv.Result.Author('Xiaoli Dong'), arxiv.Result.Author('Lin Gu'), arxiv.Result.Author('Kui Jin')]","The family of titanium oxide superconductors exhibits many intriguing
phenomena comparable to cuprates and iron pnictides/chalcogenides, and thus
provides an ideal platform to contrastively study the unconventional pairing
mechanism of high-temperature superconductors. Here, we successfully deposit
superconducting Mg-Ti-O films on MgAl$_2$O$_4$ substrates with three principal
orientations by ablating a MgTi$_2$O$_4$ target. Particularly, it is striking
to observed that a single-crystalline film of an unintended structure has been
grown on the (011)-oriented substrate, with the highest zero resistance
transition temperature ($T_{\mathrm{c}0}$) of 5.0 K among them. The film has a
highly reduced Mg/Ti ratio and an orthorhombic Ti$_9$O$_{10}$-like structure
(denoted as Mg: Ti$_9$O$_{10}$), demonstrated by further characterizations of
chemical composition and structure. Such a structure is unstable in bulk but
favorable to be epitaxially stabilized on the (011)-surface of MgAl$_2$O$_4$
due to a relatively small strain at the formed interface. An isotropic upper
critical field ($B_{\mathrm{c}2}$) up to 13.7 T that breaks the Pauli limit is
observed in the Mg: Ti$_9$O$_{10}$ film, analogous to other superconducting
titanium oxides. The similarity points to a common origin for the
superconductivity in the family, which will provide valuable opinions for the
mechanism of unconventional superconductivity in transition metal compounds.",-0.2934392,0.08944701,0.025829809,B
663,"Thus, study on a reference         Therefore, further study on TOS is desired to thoroughly un-
                                                    system, of which superconductivity also originates from 3d        derstand the mechanism of superconductivity originated from
                                                    electrons, will provide valuable perspectives for further com-    3d electrons.",3d transition metal compounds.,prehension of unconventional superconductivity.,2022-01-17 13:33:57+00:00,Epitaxial stabilization of an orthorhombic Mg-Ti-O superconductor,cond-mat.supr-con,['cond-mat.supr-con'],"[arxiv.Result.Author('Zhuang Ni'), arxiv.Result.Author('Wei Hu'), arxiv.Result.Author('Qinghua Zhang'), arxiv.Result.Author('Yanmin Zhang'), arxiv.Result.Author('Peiyu Xiong'), arxiv.Result.Author('Qian Li'), arxiv.Result.Author('Jie Yuan'), arxiv.Result.Author('Qihong Chen'), arxiv.Result.Author('Beiyi Zhu'), arxiv.Result.Author('Hua Zhang'), arxiv.Result.Author('Xiaoli Dong'), arxiv.Result.Author('Lin Gu'), arxiv.Result.Author('Kui Jin')]","The family of titanium oxide superconductors exhibits many intriguing
phenomena comparable to cuprates and iron pnictides/chalcogenides, and thus
provides an ideal platform to contrastively study the unconventional pairing
mechanism of high-temperature superconductors. Here, we successfully deposit
superconducting Mg-Ti-O films on MgAl$_2$O$_4$ substrates with three principal
orientations by ablating a MgTi$_2$O$_4$ target. Particularly, it is striking
to observed that a single-crystalline film of an unintended structure has been
grown on the (011)-oriented substrate, with the highest zero resistance
transition temperature ($T_{\mathrm{c}0}$) of 5.0 K among them. The film has a
highly reduced Mg/Ti ratio and an orthorhombic Ti$_9$O$_{10}$-like structure
(denoted as Mg: Ti$_9$O$_{10}$), demonstrated by further characterizations of
chemical composition and structure. Such a structure is unstable in bulk but
favorable to be epitaxially stabilized on the (011)-surface of MgAl$_2$O$_4$
due to a relatively small strain at the formed interface. An isotropic upper
critical field ($B_{\mathrm{c}2}$) up to 13.7 T that breaks the Pauli limit is
observed in the Mg: Ti$_9$O$_{10}$ film, analogous to other superconducting
titanium oxides. The similarity points to a common origin for the
superconductivity in the family, which will provide valuable opinions for the
mechanism of unconventional superconductivity in transition metal compounds.",-0.2934392,0.08944701,0.025829809,B
795,"Finally, in Section V we oﬀer concluding remarks      tor in a parallel magnetic ﬁeld: A = A0 sin(ωt)e−z/λyˆ,
and possibilities for further study.","(1) at the surface of a superconduc-
slope.","where λ is the London penetration depth of the super-
                                                             conductor.",2022-01-19 17:40:57+00:00,Dissipation by surface states in superconducting RF cavities,cond-mat.supr-con,"['cond-mat.supr-con', 'physics.acc-ph']","[arxiv.Result.Author('Sean Deyo'), arxiv.Result.Author('Michelle Kelley'), arxiv.Result.Author('Nathan Sitaraman'), arxiv.Result.Author('Thomas Oseroff'), arxiv.Result.Author('Danilo B. Liarte'), arxiv.Result.Author('Tomas Arias'), arxiv.Result.Author('Matthias Liepe'), arxiv.Result.Author('James P. Sethna')]","Recent experiments on superconducting cavities have found that under large
radio-frequency (RF) electromagnetic fields the quality factor can improve with
increasing field amplitude, a so-called ""anti-Q slope."" Linear theories of
dissipation break down under these extreme conditions and are unable to explain
this behavior. We numerically solve the Bogoliubov-de Gennes equations at the
surface of a superconductor in a parallel AC magnetic field, finding that at
large fields there are quasiparticle surface states with energies below the
bulk value of the superconducting gap. As the field oscillates, such states
emerge and disappear with every cycle. We consider the dissipation resulting
from inelastic quasiparticle-phonon scattering into these states and
investigate the ability of this mechanism to explain features of the
experimental observations, including the field dependence of the quality
factor. We find that this mechanism is likely not the dominant source of
dissipation and does not produce an anti-Q slope by itself; however, we
demonstrate in a modified two-fluid model how these bound states can play a
role in producing an anti-Q slope.",-0.26779065,0.033682745,-0.31292352,B
796,"Finally, in Section V we oﬀer concluding remarks
and possibilities for further study.",slope.,II.,2022-01-19 17:40:57+00:00,Dissipation by surface states in superconducting RF cavities,cond-mat.supr-con,"['cond-mat.supr-con', 'physics.acc-ph']","[arxiv.Result.Author('Sean Deyo'), arxiv.Result.Author('Michelle Kelley'), arxiv.Result.Author('Nathan Sitaraman'), arxiv.Result.Author('Thomas Oseroff'), arxiv.Result.Author('Danilo B. Liarte'), arxiv.Result.Author('Tomas Arias'), arxiv.Result.Author('Matthias Liepe'), arxiv.Result.Author('James P. Sethna')]","Recent experiments on superconducting cavities have found that under large
radio-frequency (RF) electromagnetic fields the quality factor can improve with
increasing field amplitude, a so-called ""anti-Q slope."" Linear theories of
dissipation break down under these extreme conditions and are unable to explain
this behavior. We numerically solve the Bogoliubov-de Gennes equations at the
surface of a superconductor in a parallel AC magnetic field, finding that at
large fields there are quasiparticle surface states with energies below the
bulk value of the superconducting gap. As the field oscillates, such states
emerge and disappear with every cycle. We consider the dissipation resulting
from inelastic quasiparticle-phonon scattering into these states and
investigate the ability of this mechanism to explain features of the
experimental observations, including the field dependence of the quality
factor. We find that this mechanism is likely not the dominant source of
dissipation and does not produce an anti-Q slope by itself; however, we
demonstrate in a modified two-fluid model how these bound states can play a
role in producing an anti-Q slope.",0.4428833,-0.06856418,-0.42804366,A
797,"Finally, in Section V we oﬀer concluding remarks      tial externally, rather than using the current density and
and possibilities for further study.","For simplicity we impose the vector poten-
slope.","Maxwell’s equations to solve for a new vector potential
                                                             after each iteration of the self-consistency process.",2022-01-19 17:40:57+00:00,Dissipation by surface states in superconducting RF cavities,cond-mat.supr-con,"['cond-mat.supr-con', 'physics.acc-ph']","[arxiv.Result.Author('Sean Deyo'), arxiv.Result.Author('Michelle Kelley'), arxiv.Result.Author('Nathan Sitaraman'), arxiv.Result.Author('Thomas Oseroff'), arxiv.Result.Author('Danilo B. Liarte'), arxiv.Result.Author('Tomas Arias'), arxiv.Result.Author('Matthias Liepe'), arxiv.Result.Author('James P. Sethna')]","Recent experiments on superconducting cavities have found that under large
radio-frequency (RF) electromagnetic fields the quality factor can improve with
increasing field amplitude, a so-called ""anti-Q slope."" Linear theories of
dissipation break down under these extreme conditions and are unable to explain
this behavior. We numerically solve the Bogoliubov-de Gennes equations at the
surface of a superconductor in a parallel AC magnetic field, finding that at
large fields there are quasiparticle surface states with energies below the
bulk value of the superconducting gap. As the field oscillates, such states
emerge and disappear with every cycle. We consider the dissipation resulting
from inelastic quasiparticle-phonon scattering into these states and
investigate the ability of this mechanism to explain features of the
experimental observations, including the field dependence of the quality
factor. We find that this mechanism is likely not the dominant source of
dissipation and does not produce an anti-Q slope by itself; however, we
demonstrate in a modified two-fluid model how these bound states can play a
role in producing an anti-Q slope.",0.22699079,-0.23055059,-0.37420636,A
984,Within the random phase approximation and             compounds deserves further study.,"In summary, we have obtained an eﬀective low-energy six-              Whether the van Hove singularity related Pomeranchuk ﬂuc-
band model for CsV3Sb5 by ﬁtting the the ﬁrst-principles elec-           tuations could survive in the present intermediate correlated
tronic structures.","on the basis of the eﬀective minimal model, we have found

 ∗ These authors contributed equally.",2022-01-25 04:35:22+00:00,Effective minimal model and unconventional spin-singlet pairing in Kagome superconductor CsV3Sb5,cond-mat.supr-con,"['cond-mat.supr-con', 'cond-mat.str-el']","[arxiv.Result.Author('Xiao-Cheng Bai'), arxiv.Result.Author('Wen-Feng Wu'), arxiv.Result.Author('Han-Yu Wang'), arxiv.Result.Author('Ya-Min Quan'), arxiv.Result.Author('Xian-Long Wang'), arxiv.Result.Author('Zhi Zeng'), arxiv.Result.Author('Liang-Jian Zou')]","Recently synthesized Kagome compounds AV$_3$Sb$_5$ attract great attention
due to the unusual coexistence of the topology, charge density wave and
superconductivity. In this {\it Letter}, based on the band structures for
CsV$_3$Sb$_5$ in pristine phase, we fit an effective 6-band model for the
low-energy processes; utilizing the random phase approximation (RPA) on the
effective minimal model, we obtain the momentum-resolved static spin
susceptibility attributing the spin-fluctuation pairing mechanism, we find that
the superconducting pairing strengths increase with the lift of the Coulomb
correlation, and the superconductive pairing symmetry is singlet, the gap
functions are antisymmetric with respect to the x-axis and the y-axis in the
intermediate to strong Coulomb correlated regime,indicating the unconventional
superconductivity in Kagome compounds AV$_3$Sb$_5$.",0.20892106,-0.1233593,-0.0073599834,C
991,"Electronic structures
   In this section, we further study the doping dependence of the electronic
structures, lattice dynamics and EPC in Ba1-xKxSbO3 (x = 0.5, 0.6, 0.7, 0.8, x
represents the K-doping level).","The doping dependence of properties in BKSO
                               1.","In all doping cases, the cubic perovskite phase
structure is adopted, and the VCA method is used to simulate the K-doping.",2022-01-25 08:46:19+00:00,"Correlation-enhanced electron-phonon coupling and superconductivity in (Ba,K)SbO$_3$ superconductors",cond-mat.supr-con,"['cond-mat.supr-con', 'physics.comp-ph']","[arxiv.Result.Author('Zhihong Yuan'), arxiv.Result.Author('Pengyu Zheng'), arxiv.Result.Author('Yiran Peng'), arxiv.Result.Author('Rui Liu'), arxiv.Result.Author('Xiaobo Ma'), arxiv.Result.Author('Guangwei Wang'), arxiv.Result.Author('Tianye Yu'), arxiv.Result.Author('Zhiping Yin')]","The electronic structure, lattice dynamics, and electron-phonon coupling
(EPC) of the newly discovered (Ba,K)SbO$_3$ superconductors are investigated by
first-principles calculations. The EPC of (Ba,K)SbO$_3$ is significantly
enhanced by considering non-local electronic correlation using the
Heyd-Scuseria-Ernzerhof hybrid exchange-correlation functional (HSE06). The EPC
strength {\lambda} of Ba$_{0.35}$K$_{0.65}$SbO$_3$ is strongly increased from
0.33 in local-density approximation calculations to 0.59 in HSE06 calculations,
resulting in a superconducting transition temperature Tc of about 14.9 K, which
is in excellent agreement with experimental value of ~ 15 K. Our findings
suggest (Ba,K)SbO$_3$ are extraordinary conventional superconductors, where
non-local electronic correlation expands the bandwidth, enhances the EPC, and
boosts the Tc. Moreover, we find both {\lambda} and Tc depend crucially on the
K-doping level for (Ba,K)SbO$_3$ and (Ba,K)SbO$_3$ compounds. (Ba,K)SbO$_3$
have stronger EPC strength and higher Tc than those of (Ba,K)SbO$_3$ at the
same K-doping level.",0.20409966,-0.045107387,0.29319352,C
