Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
93,"Another recent study used a multi-code framework to
large-sample multi-day data set and findings could facilitate                incorporate password-based security and achieved similar
further research on EMG-based biometrics and other                           results for biometric authentication [8].",The presented                      [7].,gesture recognition-based applications.,2022-01-04 09:20:34+00:00,Open Access Dataset for Electromyography based Multi-code Biometric Authentication,cs.CR,"['cs.CR', 'eess.SP', 'stat.ML']","[arxiv.Result.Author('Ashirbad Pradhan'), arxiv.Result.Author('Jiayuan He'), arxiv.Result.Author('Ning Jiang')]","Recently, surface electromyogram (EMG) has been proposed as a novel biometric
trait for addressing some key limitations of current biometrics, such as
spoofing and liveness. The EMG signals possess a unique characteristic: they
are inherently different for individuals (biometrics), and they can be
customized to realize multi-length codes or passwords (for example, by
performing different gestures). However, current EMG-based biometric research
has two critical limitations: 1) a small subject pool, compared to other more
established biometric traits, and 2) limited to single-session or single-day
data sets. In this study, forearm and wrist EMG data were collected from 43
participants over three different days with long separation while they
performed static hand and wrist gestures. The multi-day biometric
authentication resulted in a median EER of 0.017 for the forearm setup and
0.025 for the wrist setup, comparable to well-established biometric traits
suggesting consistent performance over multiple days. The presented
large-sample multi-day data set and findings could facilitate further research
on EMG-based biometrics and other gesture recognition-based applications.",-0.102185756,-0.10605315,0.11843181,C
94,"As EMG-based biometrics holds distinct
advantages over other common biometrics, further research            Fingerprint  ing  izeable ent factors              High
involving wearable devices and extensive datasets will aid its       Iris                                               High
social acceptance.","A detailed comparison of EMG-based
biometrics with the other common biometrics is provided in           Biometric    Spoof- Custom- Environm-              Accuracy
Table V [1].","Face         Easy No   Robust                      High
                                                                     Voice                                              Low
E. Limitations and future research directions                        Gait         Easy No   Sensitive                   Low
                                                                     Keystroke
   While there is a clear dominance in terms of the EMG-dataset      Dynamics     Easy No   Sensitive                   Low
size and with high signal quality, there exists some limitation      Biosignals
with the present study.",2022-01-04 09:20:34+00:00,Open Access Dataset for Electromyography based Multi-code Biometric Authentication,cs.CR,"['cs.CR', 'eess.SP', 'stat.ML']","[arxiv.Result.Author('Ashirbad Pradhan'), arxiv.Result.Author('Jiayuan He'), arxiv.Result.Author('Ning Jiang')]","Recently, surface electromyogram (EMG) has been proposed as a novel biometric
trait for addressing some key limitations of current biometrics, such as
spoofing and liveness. The EMG signals possess a unique characteristic: they
are inherently different for individuals (biometrics), and they can be
customized to realize multi-length codes or passwords (for example, by
performing different gestures). However, current EMG-based biometric research
has two critical limitations: 1) a small subject pool, compared to other more
established biometric traits, and 2) limited to single-session or single-day
data sets. In this study, forearm and wrist EMG data were collected from 43
participants over three different days with long separation while they
performed static hand and wrist gestures. The multi-day biometric
authentication resulted in a median EER of 0.017 for the forearm setup and
0.025 for the wrist setup, comparable to well-established biometric traits
suggesting consistent performance over multiple days. The presented
large-sample multi-day data set and findings could facilitate further research
on EMG-based biometrics and other gesture recognition-based applications.",0.046732582,-0.14982224,0.056307964,B
95,"Therefore, the presented dataset and [20]                P. Kaczmarek, T. Mańkowski, and J. Tomczyński, ""putEMG—a
                                                                                   surface electromyography hand gesture recognition dataset,""
findings could facilitate further research on EMG-based                            Sensors, vol.","The high cross-day performance was
                                                                     consistent over multiple days, a necessary characteristic for
biometric authentication.","19, no.",2022-01-04 09:20:34+00:00,Open Access Dataset for Electromyography based Multi-code Biometric Authentication,cs.CR,"['cs.CR', 'eess.SP', 'stat.ML']","[arxiv.Result.Author('Ashirbad Pradhan'), arxiv.Result.Author('Jiayuan He'), arxiv.Result.Author('Ning Jiang')]","Recently, surface electromyogram (EMG) has been proposed as a novel biometric
trait for addressing some key limitations of current biometrics, such as
spoofing and liveness. The EMG signals possess a unique characteristic: they
are inherently different for individuals (biometrics), and they can be
customized to realize multi-length codes or passwords (for example, by
performing different gestures). However, current EMG-based biometric research
has two critical limitations: 1) a small subject pool, compared to other more
established biometric traits, and 2) limited to single-session or single-day
data sets. In this study, forearm and wrist EMG data were collected from 43
participants over three different days with long separation while they
performed static hand and wrist gestures. The multi-day biometric
authentication resulted in a median EER of 0.017 for the forearm setup and
0.025 for the wrist setup, comparable to well-established biometric traits
suggesting consistent performance over multiple days. The presented
large-sample multi-day data set and findings could facilitate further research
on EMG-based biometrics and other gesture recognition-based applications.",0.11265062,-0.2213369,0.086780116,B
96,"would facilitate further research on EMG-based biometrics
and other EMG gesture recognition-based applications.",The large-sample multi-day data set                  results for biometric authentication [8].,A.,2022-01-04 09:20:34+00:00,Open Access Dataset for Electromyography based Multi-code Biometric Authentication,cs.CR,"['cs.CR', 'eess.SP', 'stat.ML']","[arxiv.Result.Author('Ashirbad Pradhan'), arxiv.Result.Author('Jiayuan He'), arxiv.Result.Author('Ning Jiang')]","Recently, surface electromyogram (EMG) has been proposed as a novel biometric
trait for addressing some key limitations of current biometrics, such as
spoofing and liveness. The EMG signals possess a unique characteristic: they
are inherently different for individuals (biometrics), and they can be
customized to realize multi-length codes or passwords (for example, by
performing different gestures). However, current EMG-based biometric research
has two critical limitations: 1) a small subject pool, compared to other more
established biometric traits, and 2) limited to single-session or single-day
data sets. In this study, forearm and wrist EMG data were collected from 43
participants over three different days with long separation while they
performed static hand and wrist gestures. The multi-day biometric
authentication resulted in a median EER of 0.017 for the forearm setup and
0.025 for the wrist setup, comparable to well-established biometric traits
suggesting consistent performance over multiple days. The presented
large-sample multi-day data set and findings could facilitate further research
on EMG-based biometrics and other gesture recognition-based applications.",0.08833416,-0.21717203,0.12407399,B
97,"As EMG-based biometrics holds distinct                 generalized models using the population data, and hence reduce
advantages over other common biometrics, further research            the training burden of the user [2, 36, 37].","Recent studies have suggested deep learning
biometrics with the other common biometrics is provided in           techniques for cross-user calibration-free which trains
Table IV [1].","The presented large-
involving wearable devices and extensive datasets will aid its       sample dataset can provide resources for such calibration-free
social acceptance.",2022-01-04 09:20:34+00:00,Open Access Dataset for Electromyography based Multi-code Biometric Authentication,cs.CR,"['cs.CR', 'eess.SP', 'stat.ML']","[arxiv.Result.Author('Ashirbad Pradhan'), arxiv.Result.Author('Jiayuan He'), arxiv.Result.Author('Ning Jiang')]","Recently, surface electromyogram (EMG) has been proposed as a novel biometric
trait for addressing some key limitations of current biometrics, such as
spoofing and liveness. The EMG signals possess a unique characteristic: they
are inherently different for individuals (biometrics), and they can be
customized to realize multi-length codes or passwords (for example, by
performing different gestures). However, current EMG-based biometric research
has two critical limitations: 1) a small subject pool, compared to other more
established biometric traits, and 2) limited to single-session or single-day
data sets. In this study, forearm and wrist EMG data were collected from 43
participants over three different days with long separation while they
performed static hand and wrist gestures. The multi-day biometric
authentication resulted in a median EER of 0.017 for the forearm setup and
0.025 for the wrist setup, comparable to well-established biometric traits
suggesting consistent performance over multiple days. The presented
large-sample multi-day data set and findings could facilitate further research
on EMG-based biometrics and other gesture recognition-based applications.",0.031152923,-0.2955804,0.13192347,B
98,"Therefore, the presented dataset and
                                                                     findings could facilitate further research on EMG-based
2) Biometric identification                                          biometrics and other gesture recognition-based applications.",biometric authentication.,"Another major biometric application is the identification              References
mode where the system predicts the identity of the presenting
user by finding the closest match.",2022-01-04 09:20:34+00:00,Open Access Dataset for Electromyography based Multi-code Biometric Authentication,cs.CR,"['cs.CR', 'eess.SP', 'stat.ML']","[arxiv.Result.Author('Ashirbad Pradhan'), arxiv.Result.Author('Jiayuan He'), arxiv.Result.Author('Ning Jiang')]","Recently, surface electromyogram (EMG) has been proposed as a novel biometric
trait for addressing some key limitations of current biometrics, such as
spoofing and liveness. The EMG signals possess a unique characteristic: they
are inherently different for individuals (biometrics), and they can be
customized to realize multi-length codes or passwords (for example, by
performing different gestures). However, current EMG-based biometric research
has two critical limitations: 1) a small subject pool, compared to other more
established biometric traits, and 2) limited to single-session or single-day
data sets. In this study, forearm and wrist EMG data were collected from 43
participants over three different days with long separation while they
performed static hand and wrist gestures. The multi-day biometric
authentication resulted in a median EER of 0.017 for the forearm setup and
0.025 for the wrist setup, comparable to well-established biometric traits
suggesting consistent performance over multiple days. The presented
large-sample multi-day data set and findings could facilitate further research
on EMG-based biometrics and other gesture recognition-based applications.",0.0857435,-0.22583269,0.1516848,B
236,"Once the hackers have gained access, their activities may be
recorded and analysed for clues on how to make the real network more secure and resilient which is
highly beneficial for further research and security product development.","A honeypot, for
example, may imitate a company's customer billing system, which is a common target for intruders
looking for credit card data [1]-[3].","On the other hand, honeypots
are made appealing to attackers by including intentional security flaws, which is the exact theory that
our research is built upon.",2021-10-20 01:58:43+00:00,Evaluation of Cyber Attacks Targeting Internet Facing IoT : An Experimental Evaluation,cs.CR,['cs.CR'],"[arxiv.Result.Author('Navod Neranjan Thilakrathne'), arxiv.Result.Author('Rohan Samarasinghe'), arxiv.Result.Author('Madhuka Priyashan')]","The rapid growth of Information and Communication Technology (ICT) in the
21st century has resulted in the emergence of a novel technological paradigm;
known as the Internet of Things, or IoT. The IoT, which is at the heart of
today's smart infrastructure, aids in the creation of a ubiquitous network of
things by simplifying interconnection between smart digital devices and
enabling Machine to Machine (M2M) communication. As of now, there are numerous
examples of IoT use cases available, assisting every person in this world
towards making their lives easier and more convenient. With the latest
advancement of IoT in variety of cyber-attacks that targets these pervasive IoT
environments, which can even lead to jeopardizing the lives of peoples; that
are involving with it. In general, this IoT can be considered as every digital
object that is connected to the Internet for intercommunication. Hence in this
regard in order to analyse cyber threats that come through the Internet, here
we are doing an experimental evaluation to analyse the requests, received to
exploit the opened Secure Shell (SSH) connection service of an IoT device,
which in our case a Raspberry Pi devices, which connected to the Internet for
more than six consecutive days. By opening the SSH service on Raspberry Pi, it
acts as a Honeypot device where we can log and retrieve all login attempt
requests received to the SSH service opened. Inspired by evaluating the IoT
security attacks that target objects in the pervasive IoT environment, after
retrieving all the login requests that made through the open SSH connection we
then provide a comprehensive analysis along with our observations about the
origin of the requests and the focus areas of intruders; in this study.",-0.38629833,0.15421183,0.14030501,C
237,"But in our study, we intend to use a cost-effective devices and open source freely
available technologies towards making an IoT honeypot device to assess the threats and derive
conclusions for further research [15]-[20].","On the other hand variety of research has also
been carried out about implementing honeypot systems and then using artificial intelligence towards
identifying threats.","Nevertheless, in the literature; there was less research has
done about IoT honeypot architecture and assessments hence we believe our research experiment would
be useful for carrying out further research in this area.",2021-10-20 01:58:43+00:00,Evaluation of Cyber Attacks Targeting Internet Facing IoT : An Experimental Evaluation,cs.CR,['cs.CR'],"[arxiv.Result.Author('Navod Neranjan Thilakrathne'), arxiv.Result.Author('Rohan Samarasinghe'), arxiv.Result.Author('Madhuka Priyashan')]","The rapid growth of Information and Communication Technology (ICT) in the
21st century has resulted in the emergence of a novel technological paradigm;
known as the Internet of Things, or IoT. The IoT, which is at the heart of
today's smart infrastructure, aids in the creation of a ubiquitous network of
things by simplifying interconnection between smart digital devices and
enabling Machine to Machine (M2M) communication. As of now, there are numerous
examples of IoT use cases available, assisting every person in this world
towards making their lives easier and more convenient. With the latest
advancement of IoT in variety of cyber-attacks that targets these pervasive IoT
environments, which can even lead to jeopardizing the lives of peoples; that
are involving with it. In general, this IoT can be considered as every digital
object that is connected to the Internet for intercommunication. Hence in this
regard in order to analyse cyber threats that come through the Internet, here
we are doing an experimental evaluation to analyse the requests, received to
exploit the opened Secure Shell (SSH) connection service of an IoT device,
which in our case a Raspberry Pi devices, which connected to the Internet for
more than six consecutive days. By opening the SSH service on Raspberry Pi, it
acts as a Honeypot device where we can log and retrieve all login attempt
requests received to the SSH service opened. Inspired by evaluating the IoT
security attacks that target objects in the pervasive IoT environment, after
retrieving all the login requests that made through the open SSH connection we
then provide a comprehensive analysis along with our observations about the
origin of the requests and the focus areas of intruders; in this study.",-0.24548689,0.08148834,0.0694973,C
238,"Nevertheless, in the literature; there was less research has
done about IoT honeypot architecture and assessments hence we believe our research experiment would
be useful for carrying out further research in this area.","But in our study, we intend to use a cost-effective devices and open source freely
available technologies towards making an IoT honeypot device to assess the threats and derive
conclusions for further research [15]-[20].",In order to represent our research work the rest of the paper is organized as follows.,2021-10-20 01:58:43+00:00,Evaluation of Cyber Attacks Targeting Internet Facing IoT : An Experimental Evaluation,cs.CR,['cs.CR'],"[arxiv.Result.Author('Navod Neranjan Thilakrathne'), arxiv.Result.Author('Rohan Samarasinghe'), arxiv.Result.Author('Madhuka Priyashan')]","The rapid growth of Information and Communication Technology (ICT) in the
21st century has resulted in the emergence of a novel technological paradigm;
known as the Internet of Things, or IoT. The IoT, which is at the heart of
today's smart infrastructure, aids in the creation of a ubiquitous network of
things by simplifying interconnection between smart digital devices and
enabling Machine to Machine (M2M) communication. As of now, there are numerous
examples of IoT use cases available, assisting every person in this world
towards making their lives easier and more convenient. With the latest
advancement of IoT in variety of cyber-attacks that targets these pervasive IoT
environments, which can even lead to jeopardizing the lives of peoples; that
are involving with it. In general, this IoT can be considered as every digital
object that is connected to the Internet for intercommunication. Hence in this
regard in order to analyse cyber threats that come through the Internet, here
we are doing an experimental evaluation to analyse the requests, received to
exploit the opened Secure Shell (SSH) connection service of an IoT device,
which in our case a Raspberry Pi devices, which connected to the Internet for
more than six consecutive days. By opening the SSH service on Raspberry Pi, it
acts as a Honeypot device where we can log and retrieve all login attempt
requests received to the SSH service opened. Inspired by evaluating the IoT
security attacks that target objects in the pervasive IoT environment, after
retrieving all the login requests that made through the open SSH connection we
then provide a comprehensive analysis along with our observations about the
origin of the requests and the focus areas of intruders; in this study.",-0.20199922,0.18892196,-0.01863987,C
239,"On the other hand in this study, we have showcased a simple IoT honeypot
architecture and demonstrated its ability by connecting with the real Internet, where this would be highly
useful for carrying out further research.","Thus we believed this study would be useful for anyone, who seeks to protect
their digital privacy.","References

    1.",2021-10-20 01:58:43+00:00,Evaluation of Cyber Attacks Targeting Internet Facing IoT : An Experimental Evaluation,cs.CR,['cs.CR'],"[arxiv.Result.Author('Navod Neranjan Thilakrathne'), arxiv.Result.Author('Rohan Samarasinghe'), arxiv.Result.Author('Madhuka Priyashan')]","The rapid growth of Information and Communication Technology (ICT) in the
21st century has resulted in the emergence of a novel technological paradigm;
known as the Internet of Things, or IoT. The IoT, which is at the heart of
today's smart infrastructure, aids in the creation of a ubiquitous network of
things by simplifying interconnection between smart digital devices and
enabling Machine to Machine (M2M) communication. As of now, there are numerous
examples of IoT use cases available, assisting every person in this world
towards making their lives easier and more convenient. With the latest
advancement of IoT in variety of cyber-attacks that targets these pervasive IoT
environments, which can even lead to jeopardizing the lives of peoples; that
are involving with it. In general, this IoT can be considered as every digital
object that is connected to the Internet for intercommunication. Hence in this
regard in order to analyse cyber threats that come through the Internet, here
we are doing an experimental evaluation to analyse the requests, received to
exploit the opened Secure Shell (SSH) connection service of an IoT device,
which in our case a Raspberry Pi devices, which connected to the Internet for
more than six consecutive days. By opening the SSH service on Raspberry Pi, it
acts as a Honeypot device where we can log and retrieve all login attempt
requests received to the SSH service opened. Inspired by evaluating the IoT
security attacks that target objects in the pervasive IoT environment, after
retrieving all the login requests that made through the open SSH connection we
then provide a comprehensive analysis along with our observations about the
origin of the requests and the focus areas of intruders; in this study.",-0.26171422,0.30943877,0.07727799,C
