Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
111,"To promote further research in this task,       Network (RNN) [41] or Long Short-Term Memory (LSTM).","The com-
ing task, Speech-to-SQL, that lowers the barriers of using SQL            mon choice of the encoder and decoder can be a Recurrent Neural
and relational databases.","The
                                                                          speech-to-SQL problem also enjoys a Seq2Seq structure and can
                                                                          also be considered to be a special case of Seq2Seq conversion.",2022-01-04 15:38:36+00:00,Speech-to-SQL: Towards Speech-driven SQL Query Generation From Natural Language Question,cs.DB,"['cs.DB', 'cs.AI', 'cs.CL']","[arxiv.Result.Author('Yuanfeng Song'), arxiv.Result.Author('Raymond Chi-Wing Wong'), arxiv.Result.Author('Xuefang Zhao'), arxiv.Result.Author('Di Jiang')]","Speech-based inputs have been gaining significant momentum with the
popularity of smartphones and tablets in our daily lives, since voice is the
most easiest and efficient way for human-computer interaction. This paper works
towards designing more effective speech-based interfaces to query the
structured data in relational databases. We first identify a new task named
Speech-to-SQL, which aims to understand the information conveyed by human
speech and directly translate it into structured query language (SQL)
statements. A naive solution to this problem can work in a cascaded manner,
that is, an automatic speech recognition (ASR) component followed by a
text-to-SQL component. However, it requires a high-quality ASR system and also
suffers from the error compounding problem between the two components,
resulting in limited performance. To handle these challenges, we further
propose a novel end-to-end neural architecture named SpeechSQLNet to directly
translate human speech into SQL queries without an external ASR step.
SpeechSQLNet has the advantage of making full use of the rich linguistic
information presented in speech. To the best of our knowledge, this is the
first attempt to directly synthesize SQL based on arbitrary natural language
questions, rather than a natural language-based version of SQL or its variants
with a limited SQL grammar. To validate the effectiveness of the proposed
problem and model, we further construct a dataset named SpeechQL, by
piggybacking the widely-used text-to-SQL datasets. Extensive experimental
evaluations on this dataset show that SpeechSQLNet can directly synthesize
high-quality SQL queries from human speech, outperforming various competitive
counterparts as well as the cascaded methods in terms of exact match
accuracies.",-0.16414773,-0.21932726,0.1372954,A
491,"A further study [13] has presented uncertain top-k queries (UTK) in which, instead of avoiding the
weighted approach, the provided algorithm takes into account the weight uncertainties.","This technique
consists in ranking queries with a particular scoring function which, considering a tuple t consists in the
count of tuples dominated by t. An optimized algorithm has been provided too.","The resulting query
works using the concept of dominance and tries to include in the result set also interesting results within a
certain range from the combination of weights.",2022-01-13 11:41:28+00:00,An outline of multi objective optimization in databases with focus on flexible skyline queries,cs.DB,['cs.DB'],[arxiv.Result.Author('Matteo Savino')],"The problem of optimizing across different, conceivably conflicting, criteria
is called multi-objective optimization and it is widely spread across many
fields. This is a recurring problem in database queries when there is the need
of obtaining the best objects from a very large data set. In this article, I
included a complete review of the main approaches typically used to achieve
multi-criteria optimization. Starting from ranking queries and skylines and
then proceeding to more advanced methods, this paper aims to define a clear
outline of multi-objective optimization in databases. In particular, the
flexible skyline paradigm is considered and thoroughly discussed as it
overcomes many of the critical issues that arise with other methods.",-0.12628266,0.16956383,-0.54369384,A
1470,"Top-k and Skyline queries are
starting points for ranking data, further research could focus on different search parameters for Top-k and
Skyline queries or could even try to find out new methods to query a dataset.","Feasible
solutions are available thanks to the latest technologies and algorithms.","References

[1] Akrivi Vlachou, Michalis Vazirgiannis.",2022-02-03 12:22:19+00:00,"Multi-Objective Optimization, different approach to query a database",cs.DB,['cs.DB'],[arxiv.Result.Author('Matteo Cordioli')],"The datasets available nowadays are very rich and complex, but how do we
reach the information we are looking for? In this survey, two different
approaches to query a dataset are analyzed and algorithms for each type are
explained. Specifically, the TA and NRA have been analyzed for the Top-K query
and the Basic Block Nested Loops has been examined for the skyline query.
Moreover, it's explained the core idea behind the Prioritized and Flexible
skyline. In the end, the pros and cons of each type of analyzed query have been
evaluated based on different criteria.",-0.20357451,0.3277252,-0.41816604,C
1763,"We further study the interplay of LSM tun-
Write Latency.",4.3.2 LSM Tuning.,Write latency is driven by the device bandwidth uti-                         ing and compaction strategies.,2022-02-09 15:34:57+00:00,Constructing and Analyzing the LSM Compaction Design Space,cs.DB,['cs.DB'],"[arxiv.Result.Author('Subhadeep Sarkar'), arxiv.Result.Author('Dimitris Staratzis'), arxiv.Result.Author('Zichen Zhu'), arxiv.Result.Author('Manos Athanassoulis')]","Log-structured merge (LSM) trees offer efficient ingestion by appending
incoming data, and thus, are widely used as the storage layer of production
NoSQL data stores. To enable competitive read performance, LSM-trees
periodically re-organize data to form a tree with levels of exponentially
increasing capacity, through iterative compactions. Compactions fundamentally
influence the performance of an LSM-engine in terms of write amplification,
write throughput, point and range lookup performance, space amplification, and
delete performance. Hence, choosing the appropriate compaction strategy is
crucial and, at the same time, hard as the LSM-compaction design space is vast,
largely unexplored, and has not been formally defined in the literature. As a
result, most LSM-based engines use a fixed compaction strategy, typically
hand-picked by an engineer, which decides how and when to compact data.
  In this paper, we present the design space of LSM-compactions, and evaluate
state-of-the-art compaction strategies with respect to key performance metrics.
Toward this goal, our first contribution is to introduce a set of four design
primitives that can formally define any compaction strategy: (i) the compaction
trigger, (ii) the data layout, (iii) the compaction granularity, and (iv) the
data movement policy. Together, these primitives can synthesize both existing
and completely new compaction strategies. Our second contribution is to
experimentally analyze 10 compaction strategies. We present 12 observations and
7 high-level takeaway messages, which show how LSM systems can navigate the
compaction design space.",-0.23086138,-0.09565571,0.7023469,C
1764,"We further study the interplay of LSM tun-
Write Latency.",4.3.2 LSM Tuning.,Write latency is driven by the device bandwidth uti-                         ing and compaction strategies.,2022-02-09 15:34:57+00:00,Constructing and Analyzing the LSM Compaction Design Space (Updated Version),cs.DB,['cs.DB'],"[arxiv.Result.Author('Subhadeep Sarkar'), arxiv.Result.Author('Dimitris Staratzis'), arxiv.Result.Author('Zichen Zhu'), arxiv.Result.Author('Manos Athanassoulis')]","Log-structured merge (LSM) trees offer efficient ingestion by appending
incoming data, and thus, are widely used as the storage layer of production
NoSQL data stores. To enable competitive read performance, LSM-trees
periodically re-organize data to form a tree with levels of exponentially
increasing capacity, through iterative compactions. Compactions fundamentally
influence the performance of an LSM-engine in terms of write amplification,
write throughput, point and range lookup performance, space amplification, and
delete performance. Hence, choosing the appropriate compaction strategy is
crucial and, at the same time, hard as the LSM-compaction design space is vast,
largely unexplored, and has not been formally defined in the literature. As a
result, most LSM-based engines use a fixed compaction strategy, typically
hand-picked by an engineer, which decides how and when to compact data.
  In this paper, we present the design space of LSM-compactions, and evaluate
state-of-the-art compaction strategies with respect to key performance metrics.
Toward this goal, our first contribution is to introduce a set of four design
primitives that can formally define any compaction strategy: (i) the compaction
trigger, (ii) the data layout, (iii) the compaction granularity, and (iv) the
data movement policy. Together, these primitives can synthesize both existing
and completely new compaction strategies. Our second contribution is to
experimentally analyze 10 compaction strategies. We present 12 observations and
7 high-level takeaway messages, which show how LSM systems can navigate the
compaction design space.",-0.23086138,-0.09565571,0.7023469,C
2247,"To validate and repair the RDF tuples efﬁciently, we further study
                                        the cold start problems for graph constraint processing.","To ensure dynamic repair and validation, we introduce implicit graph constraints, approximate graph
                                        matching, and linkage prediction based on localized graph patterns.","Experimental results on real datasets demonstrate that our proposed approach
                                        can capture and repair instances with wrong relation labels dynamically and effectively.",2022-02-21 11:37:27+00:00,Dynamic Relation Repairing for Knowledge Enhancement,cs.DB,['cs.DB'],"[arxiv.Result.Author('Rui Kang'), arxiv.Result.Author('Hongzhi Wang')]","Dynamic relation repair aims to efficiently validate and repair the instances
for knowledge graph enhancement (KGE), where KGE captures missing relations
from unstructured data and leads to noisy facts to the knowledge graph. With
the prosperity of unstructured data, an online approach is asked to clean the
new RDF tuples before adding them to the knowledge base. To clean the noisy RDF
tuples, graph constraint processing is a common but intractable approach. Plus,
when adding new tuples to the knowledge graph, new graph patterns would be
created, whereas the explicit discovery of graph constraints is also
intractable. Therefore, although the dynamic relation repair has an unfortunate
hardness, it is a necessary approach for enhancing knowledge graphs effectively
under the fast-growing unstructured data. Motivated by this, we establish a
dynamic repairing and enhancing structure to analyze its hardness on basic
operations. To ensure dynamic repair and validation, we introduce implicit
graph constraints, approximate graph matching, and linkage prediction based on
localized graph patterns. To validate and repair the RDF tuples efficiently, we
further study the cold start problems for graph constraint processing.
Experimental results on real datasets demonstrate that our proposed approach
can capture and repair instances with wrong relation labels dynamically and
effectively.",-0.23620754,-0.20416355,-0.085311025,C
2298,"To overcome these limitations further research focused on producing new frameworks that combine
some of the features of the classical approaches with other algorithms.","Top-k queries on the other hand require the user to provide his preferences and
he/she may not be able to properly state the weight to assign to every attribute.","This paper aims to analyse and propose a comparison of three of these new techniques: flexible skylines,
regret minimization and skyline ranking.",2022-02-22 10:15:29+00:00,"Comparing the latest ranking techniques: pros and cons of flexible skylines, regret minimization and skyline ranking queries",cs.DB,['cs.DB'],[arxiv.Result.Author('Davide Foini')],"Long-established ranking approaches, such as top-k and skyline queries, have
been thoroughly discussed and their drawbacks are well acknowledged. New
techniques have been developed in recent years that try to combine traditional
ones to overcome their limitations. In this paper we focus our attention on
some of them: flexible skylines, regret minimization and skyline ranking
queries, because, while these new methods are promising and have shown
interesting results, a comparison between them is still not available. After a
short introduction of each approach, we discuss analogies and differences
between them with the advantages and disadvantages of every technique debated.",-0.22318813,0.26530838,-0.524062,C
2299,"2.2 UtilityApprox [7]
   This algorithm is the result of further research following [6], in fact, it was developed with the enhancing

of interaction: the user is allowed to state his preferred tuple among the ones proposed to him.","It starts selecting the point with the best
value for the first coordinate and then it starts iterating, adding for every iteration the point that currently
maximizes the regret ratio to the result set.","The main
idea behind this algorithm is to approximate the utility function of the user minimizing the difference
between the one of the real user (denoted u) and the one of a virtual user (denoted v).",2022-02-22 10:15:29+00:00,"Comparing the latest ranking techniques: pros and cons of flexible skylines, regret minimization and skyline ranking queries",cs.DB,['cs.DB'],[arxiv.Result.Author('Davide Foini')],"Long-established ranking approaches, such as top-k and skyline queries, have
been thoroughly discussed and their drawbacks are well acknowledged. New
techniques have been developed in recent years that try to combine traditional
ones to overcome their limitations. In this paper we focus our attention on
some of them: flexible skylines, regret minimization and skyline ranking
queries, because, while these new methods are promising and have shown
interesting results, a comparison between them is still not available. After a
short introduction of each approach, we discuss analogies and differences
between them with the advantages and disadvantages of every technique debated.",-0.17347461,0.08327925,-0.24730694,C
4335,"For the future work, we plan to make further research on BB+tree
as a promising candidate for the PCM optimized index type.","We observe that PAM is about 20% faster than eAM in the databases where search queries
interleave with data modiﬁcations.","References

 [1] Idreos S, Kersten ML, Manegold S. Updating a Cracked Database.",2022-04-04 17:27:44+00:00,Adaptive Merging on Phase Change Memory,cs.DB,"['cs.DB', 'cs.ET']","[arxiv.Result.Author('Wojciech Macyna'), arxiv.Result.Author('Michal Kukowski')]","Indexing is a well-known database technique used to facilitate data access
and speed up query processing. Nevertheless, the construction and modification
of indexes are very expensive. In traditional approaches, all records in the
database table are equally covered by the index. It is not effective, since
some records may be queried very often and some never. To avoid this problem,
adaptive merging has been introduced. The key idea is to create index
adaptively and incrementally as a side-product of query processing. As a
result, the database table is indexed partially depending on the query
workload. This paper faces a problem of adaptive merging for phase change
memory (PCM). The most important features of this memory type are: limited
write endurance and high write latency. As a consequence, adaptive merging
should be investigated from the scratch. We solve this problem in two steps.
First, we apply several PCM optimization techniques to the traditional adaptive
merging approach. We prove that the proposed method (eAM) outperforms a
traditional approach by 60%. After that, we invent the framework for adaptive
merging (PAM) and a new PCM-optimized index. It further improves the system
performance by 20% for databases where search queries interleave with data
modifications.",-0.21558347,0.20521975,-0.035549436,C_centroid
4336,"For future work, we plan to make further research on BB+tree as a
promising candidate for the PCM-optimized index type.","We observe that PAM is about 20% faster than eAM in the databases where search queries
1022  W. Macyna, M. Kukowski / Adaptive Merging on Phase Change Memory

interleave with data modiﬁcations.","References

 [1] Idreos S, Kersten ML, Manegold S. Updating a Cracked Database.",2022-04-04 17:27:44+00:00,Adaptive Merging on Phase Change Memory,cs.DB,"['cs.DB', 'cs.ET']","[arxiv.Result.Author('Wojciech Macyna'), arxiv.Result.Author('Michal Kukowski')]","Indexing is a well-known database technique used to facilitate data access
and speed up query processing. Nevertheless, the construction and modification
of indexes are very expensive. In traditional approaches, all records in the
database table are equally covered by the index. It is not effective, since
some records may be queried very often and some never. To avoid this problem,
adaptive merging has been introduced. The key idea is to create index
adaptively and incrementally as a side-product of query processing. As a
result, the database table is indexed partially depending on the query
workload. This paper faces a problem of adaptive merging for phase change
memory (PCM). The most important features of this memory type are: limited
write endurance and high write latency. As a consequence, adaptive merging
should be investigated from the scratch. We solve this problem in two steps.
First, we apply several PCM optimization techniques to the traditional adaptive
merging approach. We prove that the proposed method (eAM) outperforms a
traditional approach by 60%. After that, we invent the framework for adaptive
merging (PAM) and a new PCM-optimized index. It further improves the system
performance by 20% for databases where search queries interleave with data
modifications.",-0.19100177,0.15195745,0.09658748,C
