Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
331,The concluding Section 5 provides open questions for further research.,"Section 4 is devoted to Longest Path above

                                                              4
Diameter.","2 Preliminaries

Parameterized Complexity.",2022-01-10 12:37:02+00:00,Detours in Directed Graphs,cs.DS,"['cs.DS', 'cs.DM']","[arxiv.Result.Author('Fedor V. Fomin'), arxiv.Result.Author('Petr A. Golovach'), arxiv.Result.Author('William Lochet'), arxiv.Result.Author('Danil Sagunov'), arxiv.Result.Author('Kirill Simonov'), arxiv.Result.Author('Saket Saurabh')]","We study two ""above guarantee"" versions of the classical Longest Path problem
on undirected and directed graphs and obtain the following results. In the
first variant of Longest Path that we study, called Longest Detour, the task is
to decide whether a graph has an (s,t)-path of length at least dist_G(s,t)+k
(where dist_G(s,t) denotes the length of a shortest path from s to t).
Bez\'akov\'a et al. proved that on undirected graphs the problem is
fixed-parameter tractable (FPT) by providing an algorithm of running time 2^{O
(k)} n. Further, they left the parameterized complexity of the problem on
directed graphs open. Our first main result establishes a connection between
Longest Detour on directed graphs and 3-Disjoint Paths on directed graphs.
Using these new insights, we design a 2^{O(k)} n^{O(1)} time algorithm for the
problem on directed planar graphs. Further, the new approach yields a
significantly faster FPT algorithm on undirected graphs.
  In the second variant of Longest Path, namely Longest Path Above Diameter,
the task is to decide whether the graph has a path of length at least diam(G)+k
(diam(G) denotes the length of a longest shortest path in a graph G). We obtain
dichotomy results about Longest Path Above Diameter on undirected and directed
graphs. For (un)directed graphs, Longest Path Above Diameter is NP-complete
even for k=1. However, if the input undirected graph is 2-connected, then the
problem is FPT. On the other hand, for 2-connected directed graphs, we show
that Longest Path Above Diameter is solvable in polynomial time for each
k\in{1,\dots, 4} and is NP-complete for every k\geq 5. The parameterized
complexity of Longest Path Above Diameter on general directed graphs remains an
interesting open problem.",-0.026190847,0.22156501,-0.12879723,A
458,"As a direction for further research, it would be interested to investigate if more problems
have polynomial Turing compressions parameterized by modular-width such as k-path(mw).","Meanwhile, we give the ﬁrst FPT algorithms for some problems parameterized by modular-
width.","In addition, Fomin et al.",2022-01-12 20:12:41+00:00,Polynomial Turing Compressions for Some Graph Problems Parameterized by Modular-Width,cs.DS,['cs.DS'],[arxiv.Result.Author('Weidong Luo')],"In this paper we investigate the parameterized complexity for NP-hard graph
problems parameterized by a structural parameter modular-width. We develop a
recipe that is able to simplify the process of obtaining polynomial Turing
compressions for a class of graph problems parameterized by modular-width.
Moreover, we prove that several problems, which include \textsc{chromatic
number, independent set}, \textsc{Hamiltonian cycle}, etc. have polynomial
Turing compressions parameterized by modular-width. In addition, under the
assumption that P $\neq$ NP, we provide tight kernels for a few problems such
as \textsc{Steiner tree} parameterized by modular-width. Meanwhile, we
demonstrate that some problems, which includes \textsc{dominating set},
\textsc{odd cycle transversal}, \textsc{connected vertex cover}, etc. are
fixed-parameter tractable parameterized by modular-width.",-0.2064721,0.23666969,0.1941866,A
459,"As a direction for further research, it would be interested to investigate if more problems
have polynomial Turing compressions parameterized by modular-width such as k-path(mw).","Additionally,
we ﬁnd conditional tight kernels for a few graph problems parameterized by modular-width, and
new parameterized algorithms for these problems are obtained.","In addition, Fomin et al.",2022-01-12 20:12:41+00:00,Polynomial Turing Compressions for Some Graph Problems Parameterized by Modular-Width,cs.DS,['cs.DS'],[arxiv.Result.Author('Weidong Luo')],"In this paper we investigate the parameterized complexity for NP-hard graph
problems parameterized by a structural parameter modular-width. We develop a
recipe that is able to simplify the process of obtaining polynomial Turing
compressions for a class of graph problems parameterized by modular-width. By
using the recipe, we demonstrate that several problems, which include Chromatic
Number, Independent Det, Hamiltonian Cycle, etc. have polynomial Turing
compressions parameterized by modular-width. In addition, under the assumption
that P $\neq$ NP, we provide tight kernels for a few problems such as Steiner
Tree parameterized by modular-width. As a byproduct of the result of the tight
kernels, new parameterized algorithms for these problems are obtained.",-0.2565832,0.22511783,0.091218695,A
1082,"Combining the propagations, we further study a variety of matrix operations of Generation Matrices.","For the upward propagation, aﬀected z j by vi satisﬁes j = i, or j is the ancestor of i in T ; for the
downward propagation, aﬀected z j by vi satisﬁes j = i, or j is a descendant of i in T .","They have
strong interpretability and provide crucial theoretical support for the research of hierarchical trees.",2022-01-27 03:32:55+00:00,Generation Matrix: An Embeddable Matrix Representation for Hierarchical Trees,cs.DS,"['cs.DS', 'cs.CR']","[arxiv.Result.Author('Jianping Cai'), arxiv.Result.Author('Ximeng Liu'), arxiv.Result.Author('Jiayin Li'), arxiv.Result.Author('Shuangyue Zhang')]","Starting from the local structures to study hierarchical trees is a common
research method. However, the cumbersome analysis and description make the
naive method challenging to adapt to the increasingly complex hierarchical tree
problems. To improve the efficiency of hierarchical tree research, we propose
an embeddable matrix representation for hierarchical trees, called Generation
Matrix. It can transform the abstract hierarchical tree into a concrete matrix
representation and then take the hierarchical tree as a whole to study, which
dramatically reduces the complexity of research. Mathematical analysis shows
that Generation Matrix can simulate various recursive algorithms without
accessing local structures and provides a variety of interpretable matrix
operations to support the research of hierarchical trees. Applying Generation
Matrix to differential privacy hierarchical tree release, we propose a
Generation Matrix-based optimally consistent release algorithm (GMC). It
provides an exceptionally concise process description so that we can describe
its core steps as a simple matrix expression rather than multiple complicated
recursive processes like existing algorithms. Our experiments show that GMC
takes only a few seconds to complete a release for large-scale datasets with
more than 10 million nodes. The calculation efficiency is increased by up to
100 times compared with the state-of-the-art schemes.",0.07189456,0.52151316,-0.06366185,A
1083,"Combining the propagations, we further study a variety of matrix operations of Generation Matrices.","For the upward propagation, aﬀected z j by vi satisﬁes j = i, or j is the ancestor of i in T ; for the
downward propagation, aﬀected z j by vi satisﬁes j = i, or j is a descendant of i in T .","They have
strong interpretability and provide crucial theoretical support for the research of hierarchical trees.",2022-01-27 03:32:55+00:00,Generation Matrix: An Embeddable Matrix Representation for Hierarchical Trees,cs.DS,"['cs.DS', 'cs.CR']","[arxiv.Result.Author('Jianping Cai'), arxiv.Result.Author('Ximeng Liu'), arxiv.Result.Author('Jiayin Li'), arxiv.Result.Author('Shuangyue Zhang')]","Starting from the local structures to study hierarchical trees is a common
research method. However, the cumbersome analysis and description make the
naive method challenging to adapt to the increasingly complex hierarchical tree
problems. To improve the efficiency of hierarchical tree research, we propose
an embeddable matrix representation for hierarchical trees, called Generation
Matrix. It can transform the abstract hierarchical tree into a concrete matrix
representation and then take the hierarchical tree as a whole to study, which
dramatically reduces the complexity of research. Mathematical analysis shows
that Generation Matrix can simulate various recursive algorithms without
accessing local structures and provides a variety of interpretable matrix
operations to support the research of hierarchical trees. Applying Generation
Matrix to differential privacy hierarchical tree release, we propose a
Generation Matrix-based optimally consistent release algorithm (GMC). It
provides an exceptionally concise process description so that we can describe
its core steps as a simple matrix expression rather than multiple complicated
recursive processes like existing algorithms. Our experiments show that GMC
takes only a few seconds to complete a release for large-scale datasets with
more than 10 million nodes. The calculation efficiency is increased by up to
100 times compared with the state-of-the-art schemes.",0.07189456,0.52151316,-0.06366185,A
1754,"As further research questions, it is interesting to consider W[2]-hardness of approximating
k-SETCOVER beyond constant ratio.","Our result could also be applied to rule out polynomial algorithm approximating

non-parameterized k-SETCOVER within ratio o                                 log n    , with k as small as O(log2 n · log log n).,
                                                                          log log n

assuming (randomized) W[1] = FPT.",Question 1.,2022-02-09 10:24:40+00:00,Constant Approximating Parameterized $k$-SetCover is W[2]-hard,cs.DS,"['cs.DS', 'cs.CC']","[arxiv.Result.Author('Bingkai Lin'), arxiv.Result.Author('Xuandi Ren'), arxiv.Result.Author('Yican Sun'), arxiv.Result.Author('Xiuhan Wang')]","In this paper, we prove that it is W[2]-hard to approximate $k$-SetCover
within any constant ratio. Our proof is built upon the recently developed
threshold graph composition technique. We propose a strong notion of threshold
graph and use a new composition method to prove this result. Our technique
could also be applied to rule out polynomial time $o\left(\frac{\log n}{\log
\log n}\right)$ ratio approximation algorithms for the non-parameterized
$k$-SetCover problem, assuming W[1]$\ne$FPT.
  We highlight that our proof does not depend on the well-known PCP theorem,
and only involves simple combinatorial objects. Furthermore, our reduction
results in a $k$-SetCover instance with $k$ as small as $O\left(\log^2 n\cdot
\log \log n\right)$.",-0.35224825,-0.14912333,0.029952254,B
1755,"As further research questions, it is interesting to consider W[2]-hardness of approximating
k-SETCOVER beyond constant ratio.","Our result could also be applied to rule out polynomial algorithm approximating
non-parameterized k-SETCOVER within ratio o lolgolgong n , with k as small as O lolgolgong n 3, assum-
ing W[1] = FPT.",Question 1.,2022-02-09 10:24:40+00:00,Constant Approximating Parameterized $k$-SetCover is W[2]-hard,cs.DS,"['cs.DS', 'cs.CC', 'F.2.2']","[arxiv.Result.Author('Bingkai Lin'), arxiv.Result.Author('Xuandi Ren'), arxiv.Result.Author('Yican Sun'), arxiv.Result.Author('Xiuhan Wang')]","In this paper, we prove that it is W[2]-hard to approximate k-SetCover within
any constant ratio. Our proof is built upon the recently developed threshold
graph composition technique. We propose a strong notion of threshold graphs and
use a new composition method to prove this result. Our technique could also be
applied to rule out polynomial time $o\left(\frac{\log n}{\log \log n}\right)$
ratio approximation algorithms for the non-parameterized k-SetCover problem
with $k$ as small as $O\left(\frac{\log n}{\log \log n}\right)^3$, assuming
W[1]$\neq$FPT. We highlight that our proof does not depend on the well-known
PCP theorem, and only involves simple combinatorial objects.",-0.3515091,-0.117833525,0.025812894,B
2147,"29
7 Conclusion and open problems

Let us conclude the paper with pointing out some direction for further research.","Since

W  M C is NP-hard and, assuming the ETH, cannot be solved in subexponential time in

complete graphs [3], which can be realized as intersection graphs of any geometric objects, we obtain an

analogous lower bound for WH (H).",Algorithms for unit disk graphs.,2022-02-17 20:58:16+00:00,Computing list homomorphisms in geometric intersection graphs,cs.DS,"['cs.DS', 'cs.CC']","[arxiv.Result.Author('Sándor Kisfaludi-Bak'), arxiv.Result.Author('Karolina Okrasa'), arxiv.Result.Author('Paweł Rzążewski')]","A homomorphism from a graph $G$ to a graph $H$ is an edge-preserving mapping
from $V(G)$ to $V(H)$. Let $H$ be a fixed graph with possible loops. In the
list homomorphism problem, denoted by \textsc{LHom}($H$), the instance is a
graph $G$, whose every vertex is equipped with a subset of $V(H)$, called list.
We ask whether there exists a homomorphism from $G$ to $H$, such that every
vertex from $G$ is mapped to a vertex from its list.
  We study the complexity of the \textsc{LHom}($H$) problem in intersection
graphs of various geometric objects. In particular, we are interested in
answering the question for what graphs $H$ and for what types of geometric
objects, the \textsc{LHom}($H$) problem can be solved in time subexponential in
the number of vertices of the instance.
  We fully resolve this question for string graphs, i.e., intersection graphs
of continuous curves in the plane. Quite surprisingly, it turns out that the
dichotomy exactly coincides with the analogous dichotomy for graphs excluding a
fixed path as an induced subgraph [Okrasa, Rz\k{a}\.zewski, STACS 2021].
  Then we turn our attention to subclasses of string graphs, defined as
intersections of fat objects. We observe that the (non)existence of
subexponential-time algorithms in such classes is closely related to the size
$\mathrm{mrc}(H)$ of a maximum reflexive clique in $H$, i.e., maximum number of
pairwise adjacent vertices, each of which has a loop. We study the maximum
value of $\mathrm{mrc}(H)$ that guarantees the existence of a
subexponential-time algorithm for \textsc{LHom}($H$) in intersection graphs of
(i) convex fat objects, (ii) fat similarly-sized objects, and (iii) disks. In
the first two cases we obtain optimal results, by giving matching algorithms
and lower bounds.
  Finally, we discuss possible extensions of our results to weighted
generalizations of \textsc{LHom}($H$).",-0.3003375,0.038314078,-0.20560928,A
3155,"In [13], it is also noted that determining

exactly the complexity of maintaining a d out-orientation for d ∈ [α, 2α] is a ’theoretically

interesting direction for further research’.","In the dynamic case, the out-orientation with the lowest bound on

the out-degree with O(poly(log n, α)) update time seem to be the algorithm of Brodal &

Fagerberg [13] that achieves 2(αmax + 1) out-degree.","We make some progress in this direction by showing

how to maintain a (1 + ε)α + 2 out-orientation with poly(log n, α, ε−1) update time.",2022-03-11 16:10:37+00:00,Fully-dynamic $α+ 2$ Arboricity Decomposition and Implicit Colouring,cs.DS,['cs.DS'],"[arxiv.Result.Author('Aleksander B. G. Christiansen'), arxiv.Result.Author('Eva Rotenberg')]","In the implicit dynamic colouring problem, the task is to maintain a
representation of a proper colouring as a dynamic graph is subject to
insertions and deletions of edges, while facilitating interspersed queries to
the colours of vertices. The goal is to use few colours, while still
efficiently handling edge-updates and responding to colour-queries. For an
n-vertex dynamic graph of arboricity $\alpha$, we present an algorithm that
maintains an implicit vertex colouring with $4\cdot2^\alpha$ colours, in
amortised poly-$(\log n)$ update time, and with $O({\alpha} log n)$ worst-case
query time. The previous best implicit dynamic colouring algorithm uses
$2^{40\alpha}$) colours, and has a more efficient update time of $O(\log^3 n)$
and the same query time of $O({\alpha} log n)$ [Henzinger et al'20].
  For graphs undergoing arboricity $\alpha$ preserving updates, we give a
fully-dynamic $\alpha+2$ arboricity decomposition in poly$(\log n,\alpha)$
time, which matches the number of forests in the best near-linear static
algorithm by Blumenstock and Fischer [2020] who obtain $\alpha+2$ forests in
near-linear time. Our construction goes via dynamic bounded out-degree
orientations, where we present a fully-dynamic explicit, deterministic,
worst-case algorithm for $\lfloor (1+\varepsilon)\alpha \rfloor + 2$ bounded
out-degree orientation with update time $O(\varepsilon^{-6}\alpha^2 \log^3 n)$.
The state-of-the-art explicit, deterministic, worst-case algorithm for bounded
out-degree orientations maintains a $\beta\cdot \alpha + \log_{\beta} n$
out-orientation in $O(\beta^2\alpha^2+\beta\alpha\log_{\beta} n)$ time
[Kopelowitz et al'13].",0.041691065,0.12585187,0.109099776,C
3520,"The paper is organized as follows: this introduction terminates with Section
1.1, which gives some basic terminology and notation; in Section 2 we give our
formulations for CVC and prove their correctness; the branch and bound algo-
rithm is described in Section 3; numerical experiments are given in Section 4;
ﬁnally, we conclude with some further research directions in Section 5.","This is interesting since, for the general Vertex
Cover problem, combinatorial algorithms usually outperform linear formulations.","1.1 Preliminaries

Throughout the paper we let G = (V, E) be a connected graph.",2022-03-18 11:18:57+00:00,Exact approaches for the Connected Vertex Cover problem,cs.DS,"['cs.DS', 'cs.DM', 'math.CO']",[arxiv.Result.Author('Manuel Aprile')],"Given a graph $G$, the Connected Vertex Cover problem (CVC) asks to find a
minimum cardinality vertex cover of $G$ that induces a connected subgraph. In
this paper we describe some approaches to solve the CVC problem exactly. First,
we give compact mixed-integer extended formulations for CVC: these are the
first formulations proposed for this problem, and can be easily adapted to
variations of the problem such as Tree Cover. Second, we describe a simple
branch and bound algorithm for the CVC problem. Finally, we implement our
algorithm and compare its performance against our best formulation: contrary to
what usually happens for the classical Vertex Cover problem, our formulation
outperforms the branch and bound algorithm.",-0.3076628,-0.08072591,-0.26544896,B_centroid
