Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
523,Section 7 contains a discussion of some directions for further research.,"We prove the observation
                                        from [7] that the Cˇ erny´ conjecture holds for completely reachable automata with two input
                                        letters and give some partial results for completely reachable automata with arbitrary input
                                        alphabets.",2.,2022-01-13 16:58:38+00:00,"Completely reachable automata: an interplay between automata, graphs, and trees",cs.FL,"['cs.FL', '68Q45']","[arxiv.Result.Author('Evgeniya A. Bondar'), arxiv.Result.Author('David Casas'), arxiv.Result.Author('Mikhail V. Volkov')]","A deterministic finite automaton in which every non-empty set of states
occurs as the image of the whole state set under the action of a suitable input
word is called completely reachable. We characterize such automata in terms of
graphs and trees.",-0.09393758,-0.16186696,-0.1239711,B
524,"FURTHER WORK

   The results of the present paper suggest several directions for further research.",7.,"Here we
brieﬂy outline two such directions; many further open problem about completely reachable
automata can be found in the ﬁnal sections of [7, 8].",2022-01-13 16:58:38+00:00,"Completely reachable automata: an interplay between automata, graphs, and trees",cs.FL,"['cs.FL', '68Q45']","[arxiv.Result.Author('Evgeniya A. Bondar'), arxiv.Result.Author('David Casas'), arxiv.Result.Author('Mikhail V. Volkov')]","A deterministic finite automaton in which every non-empty set of states
occurs as the image of the whole state set under the action of a suitable input
word is called completely reachable. We characterize such automata in terms of
graphs and trees.",-0.17565097,-0.10708131,-0.036700197,B
2920,"There are two immediate directions for further research: Try to lift our results to (strong)
Muller conditions and to strengthen the lower bounds by proving them for less succinct
representations of F.

   Recall that our lower bounds for weak Muller conditions rely on gadgets comparing n-bit
strings for some ﬁxed n. This is possible for a ﬁxed number of comparisons by having one
gadget for each string to be compared and then using the formula deﬁning F to implement
the actual comparison.","Thus,
the succinctness of weak Muller conditions (encoded by formulas) yields an exponential
increase in comparison to both safety and parity conditions.","A natural way to lift, say the bad j-pair lower bound game is to just
play this game inﬁnitely often.",2022-03-07 13:56:42+00:00,Weakness Makes Muller Delay Games Hard,cs.FL,"['cs.FL', 'cs.LO']","[arxiv.Result.Author('Sarah Winter'), arxiv.Result.Author('Martin Zimmermann')]","We show that solving delay games with winning conditions given by
deterministic and nondeterministic weak Muller automata is 2EXPTIME-complete
respectively 3EXPTIME-complete. Furthermore, doubly and triply exponential
lookahead is necessary and sufficient to win such games. These results are the
first that show that the succinctness of the automata types used to specify the
winning conditions has an influence on the complexity of these problems.",0.15431252,-0.04187812,-0.20812991,A
2921,"There are two immediate directions for further research: Try to lift our results to (standard) Muller
conditions and to strengthen the lower bounds by proving them for less succinct representations of F.

   Recall that our lower bounds for weak Muller conditions rely on gadgets comparing n-bit strings for
some ﬁxed n. This is possible for a ﬁxed number of comparisons by having one gadget for each string
to be compared and then using the formula deﬁning F to implement the actual comparison.","Thus, the succinctness of weak Muller
conditions (encoded by formulas) yields an exponential increase in comparison to both safety and parity
conditions.","A natural
way to lift, say, the bad j-pair lower bound game is to just play this game inﬁnitely often.",2022-03-07 13:56:42+00:00,Weak Muller Conditions Make Delay Games Hard,cs.FL,"['cs.FL', 'cs.LO']","[arxiv.Result.Author('Sarah Winter'), arxiv.Result.Author('Martin Zimmermann')]","We show that solving delay games with winning conditions given by
deterministic and nondeterministic weak Muller automata is 2EXPTIME-complete
respectively 3EXPTIME-complete. Furthermore, doubly and triply exponential
lookahead is necessary and sufficient to win such games. These results are the
first that show that the succinctness of the automata types used to specify the
winning conditions has an influence on the complexity of these problems.",0.15886419,-0.04303123,-0.20812032,A
3560,"We expect that a further study on closure properties will reveal a
       diﬀerent feature of kSDA.","Since we have discussed in this work
       no closure property of kSDA.",5.,2022-03-18 23:44:27+00:00,Between SC and LOGDCFL: Families of Languages Accepted by Logarithmic-Space Deterministic Auxiliary Depth-k Storage Automata,cs.FL,"['cs.FL', 'cs.CC']",[arxiv.Result.Author('Tomoyuki Yamakami')],"The closure of deterministic context-free languages under logarithmic-space
many-one reductions ($\mathrm{L}$-m-reductions), known as LOGDCFL, has been
studied in depth from an aspect of parallel computability because it is nicely
situated between $\mathrm{L}$ and $\mathrm{AC}^1\cap\mathrm{SC}^2$. By changing
a memory device from pushdown stacks to access-controlled storage tapes, we
introduce a computational model of one-way deterministic depth-$k$ storage
automata ($k$-sda's) whose tape cells are freely modified during the first $k$
accesses and then become blank forever. These $k$-sda's naturally induce the
language family $k\mathrm{SDA}$. Similarly to $\mathrm{LOGDCFL}$, we study the
closure $\mathrm{LOG}k\mathrm{SDA}$ of all languages in $k\mathrm{SDA}$ under
$\mathrm{L}$-m-reductions. We first demonstrate that $\mathrm{DCFL}\subseteq
k\mathrm{SDA}\subseteq \mathrm{SC}^k$ by significantly extending Cook's early
result (1979) of $\mathrm{DCFL}\subseteq \mathrm{SC}^2$. The entire hierarch of
$\mathrm{LOG}k\mathrm{SDA}$ for all $k\geq1$ therefore lies between
$\mathrm{LOGDCFL}$ and $\mathrm{SC}$. As an immediate consequence, we obtain
the same simulation bounds for Hibbard's limited automata. We further
characterize the closure $\mathrm{LOG}k\mathrm{SDA}$ in terms of a new machine
model, called logarithmic-space deterministic auxiliary depth-$k$ storage
automata that run in polynomial time. These machines are as powerful as a
polynomial-time two-way multi-head deterministic depth-$k$ storage automata. We
also provide ""generic"" $\mathrm{LOG}k\mathrm{SDA}$-complete languages under
$\mathrm{L}$-m-reductions by constructing a universal simulator working for all
two-way $k$-sda's.",-0.11946397,-0.021992302,0.5643654,B
8701,"The properties of these model types
is a subject of further research.",We distinguish three types.,• With simple control.,2022-07-08 15:48:38+00:00,Global Cellular Automata GCA -- A Massively Parallel Computing Model,cs.FL,"['cs.FL', 'cs.AR', 'nlin.CG', '68W15', 'C.3']",[arxiv.Result.Author('Rolf Hoffmann')],"The Global Cellular Automata (GCA) Model is a generalization of the Cellular
Automata (CA) Model. The GCA model consists of a collection of cells which
change their states depending on the states of their neighbors, like in the
classical CA model. In generalization of the CA model, the neighbors are no
longer fixed and local, they are variable and global. In the basic GCA model, a
cell is structured into a data part and a pointer part. The pointer part
consists of several pointers that hold addresses to global neighbors. The data
rule defines the new data state, and the pointer rule define the new pointer
states. The cell's state is synchronously or asynchronously updated using the
new data and new pointer states. Thereby the global neighbors can be changed
from generation to generation. Similar to the CA model, only the own cell's
state is modified. Thereby write conflicts cannot occur, all cells can work in
parallel which makes it a massively parallel model. The GCA model is related to
the CROW (concurrent read owners write) model, a specific PRAM (parallel random
access machine) model. Therefore many of the well-studied PRAM algorithms can
be transformed into GCA algorithms. Moreover, the GCA model allows to describe
a large number of data parallel applications in a suitable way. The GCA model
can easily be implemented in software, efficiently interpreted on standard
parallel architectures, and synthesized / configured into special hardware
target architectures. This article reviews the model, applications, and
hardware architectures.",0.030376036,0.07520728,0.40468025,B
8948,"Note that there are two question marks in the closure properties columns in Table 1, which we leave for

further research.",The closure properties depicted in Table 1 hold.,Open Problem 2.,2022-07-15 18:34:06+00:00,Parikh Automata over Infinite Words,cs.FL,"['cs.FL', 'cs.LO']","[arxiv.Result.Author('Shibashis Guha'), arxiv.Result.Author('Ismaël Jecker'), arxiv.Result.Author('Karoliina Lehtinen'), arxiv.Result.Author('Martin Zimmermann')]","Parikh automata extend finite automata by counters that can be tested for
membership in a semilinear set, but only at the end of a run, thereby
preserving many of the desirable algorithmic properties of finite automata.
Here, we study the extension of the classical framework onto infinite inputs:
We introduce reachability, safety, B\""uchi, and co-B\""uchi Parikh automata on
infinite words and study expressiveness, closure properties, and the complexity
of verification problems.
  We show that almost all classes of automata have pairwise incomparable
expressiveness, both in the deterministic and the nondeterministic case; a
result that sharply contrasts with the well-known hierarchy in the
$\omega$-regular setting. Furthermore, emptiness is shown decidable for Parikh
automata with reachability or B\""uchi acceptance, but undecidable for safety
and co-B\""uchi acceptance. Most importantly, we show decidability of model
checking with specifications given by deterministic Parikh automata with safety
or co-B\""uchi acceptance, but also undecidability for all other types of
automata. Finally, solving games is undecidable for all types.",-0.11722131,-0.0701304,0.6838658,B
8949,"Let us conclude with the following problem for further research: If a Parikh automaton with, say safety
acceptance, accepts an ω-regular language, is there then an equivalent safety automaton?","However, let us mention that the lack of closure properties severely
limits to chances for a natural fragment of MSO being equivalent to Parikh automata on inﬁnite words.","Stated diﬀerently,
does Parikhness allow to accept more ω-regular languages?",2022-07-15 18:34:06+00:00,Parikh Automata over Infinite Words,cs.FL,"['cs.FL', 'cs.LO']","[arxiv.Result.Author('Shibashis Guha'), arxiv.Result.Author('Ismaël Jecker'), arxiv.Result.Author('Karoliina Lehtinen'), arxiv.Result.Author('Martin Zimmermann')]","Parikh automata extend finite automata by counters that can be tested for
membership in a semilinear set, but only at the end of a run, thereby
preserving many of the desirable algorithmic properties of finite automata.
Here, we study the extension of the classical framework onto infinite inputs:
We introduce reachability, safety, B\""uchi, and co-B\""uchi Parikh automata on
infinite words and study expressiveness, closure properties, and the complexity
of verification problems.
  We show that almost all classes of automata have pairwise incomparable
expressiveness, both in the deterministic and the nondeterministic case; a
result that sharply contrasts with the well-known hierarchy in the
$\omega$-regular setting. Furthermore, emptiness is shown decidable for Parikh
automata with reachability or B\""uchi acceptance, but undecidable for safety
and co-B\""uchi acceptance. Most importantly, we show decidability of model
checking with specifications given by deterministic Parikh automata with safety
or co-B\""uchi acceptance, but also undecidability for all other types of
automata. Finally, solving games is undecidable for all types.",-0.41445488,-0.39849988,-0.22325823,B
8950,"Note that there is one question mark in the closure properties columns in Table 1, which we leave for
further research.",The closure properties depicted in Table 1 hold.,"6 Decision Problems

In this section, we study the complexity of the nonemptiness and the universality problem, model checking,
and solving games for Parikh automata on inﬁnite words.",2022-07-15 18:34:06+00:00,Parikh Automata over Infinite Words,cs.FL,"['cs.FL', 'cs.LO']","[arxiv.Result.Author('Shibashis Guha'), arxiv.Result.Author('Ismaël Jecker'), arxiv.Result.Author('Karoliina Lehtinen'), arxiv.Result.Author('Martin Zimmermann')]","Parikh automata extend finite automata by counters that can be tested for
membership in a semilinear set, but only at the end of a run, thereby
preserving many of the desirable algorithmic properties of finite automata.
Here, we study the extension of the classical framework onto infinite inputs:
We introduce reachability, safety, B\""uchi, and co-B\""uchi Parikh automata on
infinite words and study expressiveness, closure properties, and the complexity
of verification problems.
  We show that almost all classes of automata have pairwise incomparable
expressiveness, both in the deterministic and the nondeterministic case; a
result that sharply contrasts with the well-known hierarchy in the
$\omega$-regular setting. Furthermore, emptiness is shown decidable for Parikh
automata with reachability or B\""uchi acceptance, but undecidable for safety
and co-B\""uchi acceptance. Most importantly, we show decidability of model
checking with specifications given by deterministic Parikh automata with safety
or co-B\""uchi acceptance, but also undecidability for all other types of
automata. Finally, solving games is undecidable for all types.",-0.24407092,-0.27530405,0.10584488,B_centroid
8951,"Let us conclude with the following problem for further research: If a Parikh automaton with, say safety
acceptance, accepts an ω-regular language, is there then an equivalent ω-regular safety automaton?","However, let us mention that the lack of closure properties severely
limits the chances for a natural fragment of MSO being equivalent to Parikh automata on inﬁnite words.","Stated
diﬀerently, does Parikhness allow to accept more ω-regular languages?",2022-07-15 18:34:06+00:00,Parikh Automata over Infinite Words,cs.FL,"['cs.FL', 'cs.LO']","[arxiv.Result.Author('Shibashis Guha'), arxiv.Result.Author('Ismaël Jecker'), arxiv.Result.Author('Karoliina Lehtinen'), arxiv.Result.Author('Martin Zimmermann')]","Parikh automata extend finite automata by counters that can be tested for
membership in a semilinear set, but only at the end of a run, thereby
preserving many of the desirable algorithmic properties of finite automata.
Here, we study the extension of the classical framework onto infinite inputs:
We introduce reachability, safety, B\""uchi, and co-B\""uchi Parikh automata on
infinite words and study expressiveness, closure properties, and the complexity
of verification problems.
  We show that almost all classes of automata have pairwise incomparable
expressiveness, both in the deterministic and the nondeterministic case; a
result that sharply contrasts with the well-known hierarchy in the
$\omega$-regular setting. Furthermore, emptiness is shown decidable for Parikh
automata with reachability or B\""uchi acceptance, but undecidable for safety
and co-B\""uchi acceptance. Most importantly, we show decidability of model
checking with specifications given by deterministic Parikh automata with safety
or co-B\""uchi acceptance, but also undecidability for all other types of
automata. Finally, solving games is undecidable for all types.",-0.42379484,-0.404389,-0.20963001,B
