Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
16,"To better understand our model and the baseline models’ behavior and why our model improves
both the Q0A and Q1A baselines, we further study the distribution of MRR scores of our model,
Q0A and Q1A baseline models on the test set when user tolerance is 0 and show the distribution in
Figure 3.","Therefore, it has a lower decision error rate than all the
baselines.","From the figure, we can see the reason for each model’s performance clearer.",2022-01-01 19:37:14+00:00,Simulating and Modeling the Risk of Conversational Search,cs.IR,"['cs.IR', 'H.3.3']","[arxiv.Result.Author('Zhenduo Wang'), arxiv.Result.Author('Qingyao Ai')]","In conversational search, agents can interact with users by asking clarifying
questions to increase their chance to find better results. Many recent works
and shared tasks in both NLP and IR communities have focused on identifying the
need of asking clarifying questions and methodologies of generating them. These
works assume asking clarifying questions is a safe alternative to retrieving
results. As existing conversational search models are far from perfect, it's
possible and common that they could retrieve or generate bad clarifying
questions. Asking too many clarifying questions can also drain user's patience
when the user prefers searching efficiency over correctness. Hence, these
models can get backfired and harm user's search experience because of these
risks by asking clarifying questions.
  In this work, we propose a simulation framework to simulate the risk of
asking questions in conversational search and further revise a risk-aware
conversational search model to control the risk. We show the model's robustness
and effectiveness through extensive experiments on three conversations
datasets, including MSDialog, Ubuntu Dialog Corpus, and Opendialkg in which we
compare it with multiple baselines. We show that the risk-control module can
work with two different re-ranker models and outperform all the baselines in
most of our experiments.",-0.109171025,-0.26908997,-0.26162708,A
554,"This paper presents results of an explorative, prototypi-         Semantic Networks (Quillian, 1967), Conceptual Graphs
cal, qualitative and synthetic research, summarizes insights              (Sowa, 1976), Entity-relationship models (Chen, 1976),
from two research projects and, based on this, indicates an out-          Concept Maps (Novak & Gowin, 1984), Topic Maps (Rath
line for further research in the field of entity relationship extrac-     & Pepper, 1999) and the semantic web, all of which overlap
tion from text.","Instances are
mation.",in basic principles but differ in application orientation.,2022-01-14 08:06:58+00:00,The Lokahi Prototype: Toward the automatic Extraction of Entity Relationship Models from Text,cs.IR,['cs.IR'],[arxiv.Result.Author('Michael Kaufmann')],"Entity relationship extraction envisions the automatic generation of semantic
data models from collections of text, by automatic recognition of entities, by
association of entities to form relationships, and by classifying these
instances to assign them to entity sets (or classes) and relationship sets (or
associations). As a first step in this direction, the Lokahi prototype can
extract entities based on the TF*IDF measure, and generate semantic
relationships based on document-level co-occurrence statistics, for example
with likelihood ratios and pointwise mutual information. This paper presents
results of an explorative, prototypical, qualitative and synthetic research,
summarizes insights from two research projects and, based on this, indicates an
outline for further research in the field of entity relationship extraction
from text.",0.16764763,0.4343061,0.011187043,C
555,"This reduces the
extraction is presented, and the insights, implications and
points for further research are discussed.","Also, it is a
purely syntactical approach fitted for extraction from text,
where all labels, even entity sets and relationship sets, are
named entities, that is, entities identified with their syntacti-
cal representation in form of their name.","The Lokahi Prototype for Concept Browsing

  Lokahi is a research prototype that prototypically ex-
plores the automatic generation of knowledge networks.",2022-01-14 08:06:58+00:00,The Lokahi Prototype: Toward the automatic Extraction of Entity Relationship Models from Text,cs.IR,['cs.IR'],[arxiv.Result.Author('Michael Kaufmann')],"Entity relationship extraction envisions the automatic generation of semantic
data models from collections of text, by automatic recognition of entities, by
association of entities to form relationships, and by classifying these
instances to assign them to entity sets (or classes) and relationship sets (or
associations). As a first step in this direction, the Lokahi prototype can
extract entities based on the TF*IDF measure, and generate semantic
relationships based on document-level co-occurrence statistics, for example
with likelihood ratios and pointwise mutual information. This paper presents
results of an explorative, prototypical, qualitative and synthetic research,
summarizes insights from two research projects and, based on this, indicates an
outline for further research in the field of entity relationship extraction
from text.",0.08909845,0.5104757,0.20540944,C
798,"https://doi.org/10.1145/230538.230561
stimulate further research on the investigation of data, algorith-
mic, and cognitive gender biases in IR systems, as well as novel                        [8] Peter Glick and Susan T Fiske.","14, 3 (1996), 330–347.",1999.,2022-01-19 17:50:18+00:00,Grep-BiasIR: A Dataset for Investigating Gender Representation-Bias in Information Retrieval Results,cs.IR,['cs.IR'],"[arxiv.Result.Author('Klara Krieg'), arxiv.Result.Author('Emilia Parada-Cabaleiro'), arxiv.Result.Author('Gertraud Medicus'), arxiv.Result.Author('Oleg Lesota'), arxiv.Result.Author('Markus Schedl'), arxiv.Result.Author('Navid Rekabsaz')]","The provided contents by information retrieval (IR) systems can reflect the
existing societal biases and stereotypes. Such biases in retrieval results can
lead to further establishing and strengthening stereotypes in society and also
in the systems. To facilitate the studies of gender bias in the retrieval
results of IR systems, we introduce Gender Representation-Bias for Information
Retrieval (Grep-BiasIR), a novel thoroughly-audited dataset consisting of 118
bias-sensitive neutral search queries. The set of queries covers a wide range
of gender-related topics, for which a biased representation of genders in the
search result can be considered as socially problematic. Each query is
accompanied with one relevant and one non-relevant documents, where the
document is also provided in three variations of female, male, and neutral. The
dataset is available at https://github.com/KlaraKrieg/GrepBiasIR.",0.21978228,0.0053681573,-0.36359388,B
862,We compare their per-       worth further research.,"However, this is still a challenging problem and
relational fact scoring function (w/o F𝑟𝑒𝑙 ).",formance on KG completion to the full TKGC.,2022-01-21 07:59:16+00:00,Trustworthy Knowledge Graph Completion Based on Multi-sourced Noisy Data,cs.IR,"['cs.IR', 'cs.AI', 'cs.DB']","[arxiv.Result.Author('Jiacheng Huang'), arxiv.Result.Author('Yao Zhao'), arxiv.Result.Author('Wei Hu'), arxiv.Result.Author('Zhen Ning'), arxiv.Result.Author('Qijin Chen'), arxiv.Result.Author('Xiaoxia Qiu'), arxiv.Result.Author('Chengfu Huo'), arxiv.Result.Author('Weijun Ren')]","Knowledge graphs (KGs) have become a valuable asset for many AI applications.
Although some KGs contain plenty of facts, they are widely acknowledged as
incomplete. To address this issue, many KG completion methods are proposed.
Among them, open KG completion methods leverage the Web to find missing facts.
However, noisy data collected from diverse sources may damage the completion
accuracy. In this paper, we propose a new trustworthy method that exploits
facts for a KG based on multi-sourced noisy data and existing facts in the KG.
Specifically, we introduce a graph neural network with a holistic scoring
function to judge the plausibility of facts with various value types. We design
value alignment networks to resolve the heterogeneity between values and map
them to entities even outside the KG. Furthermore, we present a truth inference
model that incorporates data source qualities into the fact scoring function,
and design a semi-supervised learning way to infer the truths from
heterogeneous values. We conduct extensive experiments to compare our method
with the state-of-the-arts. The results show that our method achieves superior
accuracy not only in completing missing facts but also in discovering new
facts.",-0.092540085,0.10384846,0.09001117,A
883,"However, further research should be done to understand
the impact of diﬀerent presentation techniques, chat-based search, and
distributed results presentation (e.g., results on both left and right
panel).","Furthermore, their design supported users interacting with
the search engine with the agent initiating dialogues to support the
search process.",Figure 3.4: A visual example of the Conversational Agent by Kaushik et al.,2022-01-21 18:09:23+00:00,Conversational Information Seeking,cs.IR,"['cs.IR', 'cs.CL', 'cs.HC']","[arxiv.Result.Author('Hamed Zamani'), arxiv.Result.Author('Johanne R. Trippas'), arxiv.Result.Author('Jeff Dalton'), arxiv.Result.Author('Filip Radlinski')]","Conversational information seeking (CIS) is concerned with a sequence of
interactions between one or more users and an information system. Interactions
in CIS are primarily based on natural language dialogue, while they may include
other types of interactions, such as click, touch, and body gestures. This
monograph provides a thorough overview of CIS definitions, applications,
interactions, interfaces, design, implementation, and evaluation. This
monograph views CIS applications as including conversational search,
conversational question answering, and conversational recommendation. Our aim
is to provide an overview of past research related to CIS, introduce the
current state-of-the-art in CIS, highlight the challenges still being faced in
the community. and suggest future directions.",0.25527644,0.23241308,-0.11724535,C
884,"Similarly, the ability for systems
to model uncertainty in user needs requires further study to eﬀec-
tively and eﬃciently clarify needs.","We believe that systems should more accurately
identify opportune moments to initiate the conversation, introduce new
topics, or support disambiguation.","We argue that supporting all these
interactions will enhance the user experience, enable improved informa-
tion seeking interactions, and thus positively impact this collaborative

                                                                 Draft Version 1.0
124  Conclusions and Open Research Directions

process.",2022-01-21 18:09:23+00:00,Conversational Information Seeking,cs.IR,"['cs.IR', 'cs.CL', 'cs.HC']","[arxiv.Result.Author('Hamed Zamani'), arxiv.Result.Author('Johanne R. Trippas'), arxiv.Result.Author('Jeff Dalton'), arxiv.Result.Author('Filip Radlinski')]","Conversational information seeking (CIS) is concerned with a sequence of
interactions between one or more users and an information system. Interactions
in CIS are primarily based on natural language dialogue, while they may include
other types of interactions, such as click, touch, and body gestures. This
monograph provides a thorough overview of CIS definitions, applications,
interactions, interfaces, design, implementation, and evaluation. This
monograph views CIS applications as including conversational search,
conversational question answering, and conversational recommendation. Our aim
is to provide an overview of past research related to CIS, introduce the
current state-of-the-art in CIS, highlight the challenges still being faced in
the community. and suggest future directions.",0.2393222,0.19789863,-0.004846031,C
885,"However, supporting users in long-term information needs, be
it multi-session tasks or the ability for a conversation to be continued
and repeated at a much later date, need further research.","In general, when investigating CIS it is often assumed that
the user is interacting with the system only at the time of information
need.","This implies
that the history and memory of conversations may be stored and used
in future user-system interactions.",2022-01-21 18:09:23+00:00,Conversational Information Seeking,cs.IR,"['cs.IR', 'cs.CL', 'cs.HC']","[arxiv.Result.Author('Hamed Zamani'), arxiv.Result.Author('Johanne R. Trippas'), arxiv.Result.Author('Jeff Dalton'), arxiv.Result.Author('Filip Radlinski')]","Conversational information seeking (CIS) is concerned with a sequence of
interactions between one or more users and an information system. Interactions
in CIS are primarily based on natural language dialogue, while they may include
other types of interactions, such as click, touch, and body gestures. This
monograph provides a thorough overview of CIS definitions, applications,
interactions, interfaces, design, implementation, and evaluation. This
monograph views CIS applications as including conversational search,
conversational question answering, and conversational recommendation. Our aim
is to provide an overview of past research related to CIS, introduce the
current state-of-the-art in CIS, highlight the challenges still being faced in
the community. and suggest future directions.",0.21502054,0.24991477,-0.19831179,C
886,"Thus, further research needs to be
done on how users want this memory to work, including privacy and
transparency of what is stored and how the system retrieves and
identiﬁes relevant past interactions responsibly.","This implies
that the history and memory of conversations may be stored and used
in future user-system interactions.","8.1.2 Result Presentation

Presenting results which the user can incorporate into their personal
“knowledge space,” and how the user interacts with them, can be seen as
part of a broader challenge of information transfer.",2022-01-21 18:09:23+00:00,Conversational Information Seeking,cs.IR,"['cs.IR', 'cs.CL', 'cs.HC']","[arxiv.Result.Author('Hamed Zamani'), arxiv.Result.Author('Johanne R. Trippas'), arxiv.Result.Author('Jeff Dalton'), arxiv.Result.Author('Filip Radlinski')]","Conversational information seeking (CIS) is concerned with a sequence of
interactions between one or more users and an information system. Interactions
in CIS are primarily based on natural language dialogue, while they may include
other types of interactions, such as click, touch, and body gestures. This
monograph provides a thorough overview of CIS definitions, applications,
interactions, interfaces, design, implementation, and evaluation. This
monograph views CIS applications as including conversational search,
conversational question answering, and conversational recommendation. Our aim
is to provide an overview of past research related to CIS, introduce the
current state-of-the-art in CIS, highlight the challenges still being faced in
the community. and suggest future directions.",0.19741493,0.1605973,-0.04430125,C
887,"Furthermore, with the increased interest in multi-
modal and cross-device CIS, further research on when, how, and
on which device users want to receive information is crucial.","This includes what and how the information needs
to be presented.","Questions
such as how CIS systems can/should use sensor data to optimize
result presentation is an open problems (e.g., if a user is close to a
screen, instead of using a smart speaker, should the information be
presented visually?).",2022-01-21 18:09:23+00:00,Conversational Information Seeking,cs.IR,"['cs.IR', 'cs.CL', 'cs.HC']","[arxiv.Result.Author('Hamed Zamani'), arxiv.Result.Author('Johanne R. Trippas'), arxiv.Result.Author('Jeff Dalton'), arxiv.Result.Author('Filip Radlinski')]","Conversational information seeking (CIS) is concerned with a sequence of
interactions between one or more users and an information system. Interactions
in CIS are primarily based on natural language dialogue, while they may include
other types of interactions, such as click, touch, and body gestures. This
monograph provides a thorough overview of CIS definitions, applications,
interactions, interfaces, design, implementation, and evaluation. This
monograph views CIS applications as including conversational search,
conversational question answering, and conversational recommendation. Our aim
is to provide an overview of past research related to CIS, introduce the
current state-of-the-art in CIS, highlight the challenges still being faced in
the community. and suggest future directions.",0.17516467,0.16589089,-0.31321344,C
