Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
732,"Then, a
natural question that arises for further research is whether there is an extension
of CTL (and CTL*) that can be used to reason about both robustness and
quality.","And similarly, Φ should lead to Ψ and Φ should lead to Ψ .","Another promising direction is to study the synthesis problem for rCTL and
rCTL*.",2022-01-18 16:45:08+00:00,Robust Computation Tree Logic,cs.LO,"['cs.LO', 'F.4.1; I.2.4']","[arxiv.Result.Author('Satya Prakash Nayak'), arxiv.Result.Author('Daniel Neider'), arxiv.Result.Author('Rajarshi Roy'), arxiv.Result.Author('Martin Zimmermann')]","It is widely accepted that every system should be robust in that ""small""
violations of environment assumptions should lead to ""small"" violations of
system guarantees, but it is less clear how to make this intuition
mathematically precise. While significant efforts have been devoted to
providing notions of robustness for Linear Temporal Logic (LTL), branching-time
logic, such as Computation Tree Logic (CTL) and CTL*, have received less
attention in this regard. To address this shortcoming, we develop ""robust""
extensions of CTL and CTL*, which we name robust CTL (rCTL) and robust CTL*
(rCTL*). Both extensions are syntactically similar to their parent logics but
employ multi-valued semantics to distinguish between ""large"" and ""small""
violations of the specification. We show that the multi-valued semantics of
rCTL make it more expressive than CTL, while rCTL* is as expressive as CTL*.
Moreover, we devise efficient model checking algorithms for rCTL and rCTL*,
which have the same asymptotic time complexity as the model checking algorithms
for CTL and CTL*, respectively.",0.485583,0.5184,0.22685334,C_centroid
733,"Then, a
natural question that arises for further research is whether there is an extension
of CTL (and CTL*) that can be used to reason about both robustness and
quality.","And similarly, Φ should lead to Ψ and Φ should lead to Ψ .","Another promising direction is to study the synthesis problem for rCTL and
rCTL*.",2022-01-18 16:45:08+00:00,Robust Computation Tree Logic,cs.LO,"['cs.LO', 'F.4.1; I.2.4']","[arxiv.Result.Author('Satya Prakash Nayak'), arxiv.Result.Author('Daniel Neider'), arxiv.Result.Author('Rajarshi Roy'), arxiv.Result.Author('Martin Zimmermann')]","It is widely accepted that every system should be robust in that ""small""
violations of environment assumptions should lead to ""small"" violations of
system guarantees, but it is less clear how to make this intuition
mathematically precise. While significant efforts have been devoted to
providing notions of robustness for Linear Temporal Logic (LTL), branching-time
logic, such as Computation Tree Logic (CTL) and CTL*, have received less
attention in this regard. To address this shortcoming, we develop ""robust""
extensions of CTL and CTL*, which we name robust CTL (rCTL) and robust CTL*
(rCTL*). Both extensions are syntactically similar to their parent logics but
employ multi-valued semantics to distinguish between ""large"" and ""small""
violations of the specification. We show that the multi-valued semantics of
rCTL make it more expressive than CTL, while rCTL* is as expressive as CTL*.
Moreover, we devise efficient model checking algorithms for rCTL and rCTL*,
which have the same asymptotic time complexity as the model checking algorithms
for CTL and CTL*, respectively.",0.485583,0.5184,0.22685334,C
734,"Then, a
natural question that arises for further research is whether there is an extension
of CTL (and CTL*) that can be used to reason about both robustness and
quality.","And similarly, Φ should lead to Ψ and Φ should lead to Ψ .","Another promising direction is to study the synthesis problem for rCTL and
rCTL*.",2022-01-18 16:45:08+00:00,Robust Computation Tree Logic,cs.LO,"['cs.LO', 'F.4.1; I.2.4']","[arxiv.Result.Author('Satya Prakash Nayak'), arxiv.Result.Author('Daniel Neider'), arxiv.Result.Author('Rajarshi Roy'), arxiv.Result.Author('Martin Zimmermann')]","It is widely accepted that every system should be robust in that ""small""
violations of environment assumptions should lead to ""small"" violations of
system guarantees, but it is less clear how to make this intuition
mathematically precise. While significant efforts have been devoted to
providing notions of robustness for Linear Temporal Logic (LTL), branching-time
logic, such as Computation Tree Logic (CTL) and CTL*, have received less
attention in this regard. To address this shortcoming, we develop ""robust""
extensions of CTL and CTL*, which we name robust CTL (rCTL) and robust CTL*
(rCTL*). Both extensions are syntactically similar to their parent logics but
employ multi-valued semantics to distinguish between ""large"" and ""small""
violations of the specification. We show that the multi-valued semantics of
rCTL make it more expressive than CTL, while rCTL* is as expressive as CTL*.
Moreover, we devise efficient model checking algorithms for rCTL and rCTL*,
which have the same asymptotic time complexity as the model checking algorithms
for CTL and CTL*, respectively.",0.485583,0.5184,0.22685334,C
735,"Then, a
natural question that arises for further research is whether there is an extension
of CTL (and CTL*) that can be used to reason about both robustness and
quality.","And similarly, Φ should lead to Ψ and Φ should lead to Ψ .","Another promising direction is to study the synthesis problem for rCTL and
rCTL*.",2022-01-18 16:45:08+00:00,Robust Computation Tree Logic,cs.LO,"['cs.LO', 'F.4.1; I.2.4']","[arxiv.Result.Author('Satya Prakash Nayak'), arxiv.Result.Author('Daniel Neider'), arxiv.Result.Author('Rajarshi Roy'), arxiv.Result.Author('Martin Zimmermann')]","It is widely accepted that every system should be robust in that ""small""
violations of environment assumptions should lead to ""small"" violations of
system guarantees, but it is less clear how to make this intuition
mathematically precise. While significant efforts have been devoted to
providing notions of robustness for Linear Temporal Logic (LTL), branching-time
logics, such as Computation Tree Logic (CTL) and CTL*, have received less
attention in this regard. To address this shortcoming, we develop ""robust""
extensions of CTL and CTL*, which we name robust CTL (rCTL) and robust CTL*
(rCTL*). Both extensions are syntactically similar to their parent logics but
employ multi-valued semantics to distinguish between ""large"" and ""small""
violations of the specification. We show that the multi-valued semantics of
rCTL make it more expressive than CTL, while rCTL* is as expressive as CTL*.
Moreover, we devise efficient model checking algorithms for rCTL and rCTL*,
which have the same asymptotic time complexity as the model checking algorithms
for CTL and CTL*, respectively.",0.485583,0.5184,0.22685334,C
1331,"troduced a call-by-value (CBV) let operator, which would

                                           Programming languages researchers have seen this rise                                          make  the  example  program  be  interpreted  as  1  (0,1)  +  1  (1,0) ,
                                        in interest as an opportunity to further study the interaction                                                                                      2            2
                                        of probability and programming languages, establishing it                                         where is the point mass distribution at .","To get around this limitation the authors have in-
                                        and machine learning, randomness is also used to program
                                        statistical models and do inference on them.","Unfortunately,
                                        as an active subﬁeld within the PL community.",2022-01-31 23:10:38+00:00,A Sampling-Aware Interpretation of Linear Logic: Syntax and Categorical Semantics,cs.LO,"['cs.LO', 'cs.PL']",[arxiv.Result.Author('Pedro H. Azevedo de Amorim')],"The usual resource interpretation of linear logic says that variables have to
be used exactly once. However, there are models of linear logic where this
interpretation is too restrictive. In this work we show how in probabilistic
models of linear logic the correct resource interpretation should be sampling,
i.e. the linear arrow should be read as ""the output may only sample once from
its input"". We accommodate this new interpretation by defining a multilanguage
syntax and its categorical semantics that bridges the Markov kernel and linear
logic interpretations of probabilistic programs.",-0.07791786,0.18712899,-0.19732729,B
1481,"We have presented tableau-based decision procedures that are easily implementable, but
inference systems for reasoning in these logics require further study.","We need sharper technical tools for investigating lower bounds for
bundled fragments.","References

  1 Hajnal Andréka, István Németi, and Johan van Benthem.",2022-02-03 13:35:44+00:00,Are Bundles Good Deals for FOML?,cs.LO,['cs.LO'],"[arxiv.Result.Author('Mo Liu'), arxiv.Result.Author('Anantha Padmanabha'), arxiv.Result.Author('R Ramanujam'), arxiv.Result.Author('Yanjing Wang')]","Bundled products are often offered as good deals to customers. When we bundle
quantifiers and modalities together (as in $\exists x \Box$, $\Diamond \forall
x$ etc.) in first-order modal logic (FOML), we get new logical operators whose
combinations produce interesting fragments of FOML without any restriction on
the arity of predicates, the number of variables, or the modal scope. It is
well-known that finding decidable fragments of FOML is hard, so we may ask: do
bundled fragments that exploit the distinct expressivity of FOML constitute
good deals in balancing the expressivity and complexity? There are a few
positive earlier results on some particular fragments. In this paper, we try to
fully map the terrain of bundled fragments of FOML in (un)decidability, and in
the cases without a definite answer yet, we show that they lack the finite
model property. Moreover, whether the logics are interpreted over constant
domains (across states/worlds) or increasing domains presents another layer of
complexity. We also present the \textit{loosely bundled fragment}, which
generalizes the bundles and yet retain decidability (over increasing domain
models).",-0.059557803,-0.08185467,0.21048334,B
1482,"We have presented tableau-based decision procedures that are easily implementable, but
inference systems for reasoning in these logics require further study.","We need sharper technical tools for investigating lower bounds for
bundled fragments.","References

  1 Hajnal Andréka, István Németi, and Johan van Benthem.",2022-02-03 13:35:44+00:00,Are Bundles Good Deals for FOML?,cs.LO,['cs.LO'],"[arxiv.Result.Author('Mo Liu'), arxiv.Result.Author('Anantha Padmanabha'), arxiv.Result.Author('R Ramanujam'), arxiv.Result.Author('Yanjing Wang')]","Bundled products are often offered as good deals to customers. When we bundle
quantifiers and modalities together (as in $\exists x \Box$, $\Diamond \forall
x$ etc.) in first-order modal logic (FOML), we get new logical operators whose
combinations produce interesting fragments of FOML without any restriction on
the arity of predicates, the number of variables, or the modal scope. It is
well-known that finding decidable fragments of FOML is hard, so we may ask: do
bundled fragments that exploit the distinct expressivity of FOML constitute
good deals in balancing the expressivity and complexity? There are a few
positive earlier results on some particular fragments. In this paper, we try to
fully map the terrain of bundled fragments of FOML in (un)decidability, and in
the cases without a definite answer yet, we show that they lack the finite
model property. Moreover, whether the logics are interpreted over constant
domains (across states/worlds) or increasing domains presents another layer of
complexity. We also present the \textit{loosely bundled fragment}, which
generalizes the bundles and yet retain decidability (over increasing domain
models).",-0.059557803,-0.08185467,0.21048334,B
1733,"6 addresses ∀∃ properties:         (special kind of) KAT and, in addition to embedded unary action-
After sketching a notion of TriKAT that deserves further study, we        s/tests, can be equipped with its own relational primitive actions
develop characterizations in BiKAT and use these to derive proof          and tests.",Sect.,"The agreement [r = r] above is a primitive “bi-test.” Em-
rules for forward and backward simulation.",2022-02-09 04:53:04+00:00,An algebra of alignment for relational verification,cs.LO,"['cs.LO', 'F.3.1']","[arxiv.Result.Author('Timos Antonopoulos'), arxiv.Result.Author('Eric Koskinen'), arxiv.Result.Author('Ton Chanh Le'), arxiv.Result.Author('Ramana Nagasamudram'), arxiv.Result.Author('David A. Naumann'), arxiv.Result.Author('Minh Ngo')]","Relational verification encompasses information flow security, regression
verification, translation validation for compilers, and more. Effective
alignment of the programs and computations to be related facilitates use of
simpler relational invariants which in turn enables automation and modular
reasoning. Alignment has been explored in terms of trace pairs, deductive rules
of relational Hoare logics (RHL), and several forms of product automata. This
article shows how a simple extension of Kleene Algebra with Tests (KAT), called
BiKAT, subsumes prior formulations, including alignment witnesses for
forall-exists properties, which brings to light new RHL rules for such
properties. Alignments can be discovered algorithmically or devised manually
but, in either case, their adequacy with respect to the original programs must
be proved; an explicit algebra enables constructive proof by equational
reasoning. Furthermore our approach inherits algorithmic benefits from existing
KAT-based techniques and tools, which are applicable to a range of semantic
models.",0.037423793,0.024638323,-0.16694358,B
1734,"7 addresses ∀∃ properties: After sketching a notion of TriKAT that
deserves further study, we develop characterizations in BiKAT and use these to derive proof rules
for forward and backward simulation.",Sect.,We also report on explorations for ∃∀ and ∃∃ properties.,2022-02-09 04:53:04+00:00,An algebra of alignment for relational verification,cs.LO,"['cs.LO', 'F.3.1']","[arxiv.Result.Author('Timos Antonopoulos'), arxiv.Result.Author('Eric Koskinen'), arxiv.Result.Author('Ton Chanh Le'), arxiv.Result.Author('Ramana Nagasamudram'), arxiv.Result.Author('David A. Naumann'), arxiv.Result.Author('Minh Ngo')]","Relational verification encompasses information flow security, regression
verification, translation validation for compilers, and more. Effective
alignment of the programs and computations to be related facilitates use of
simpler relational invariants which in turn enables automation and modular
reasoning. Alignment has been explored in terms of trace pairs, deductive rules
of relational Hoare logics (RHL), and several forms of product automata. This
article shows how a simple extension of Kleene Algebra with Tests (KAT), called
BiKAT, subsumes prior formulations, including alignment witnesses for
forall-exists properties, which brings to light new RHL rules for such
properties. Alignments can be discovered algorithmically or devised manually
but, in either case, their adequacy with respect to the original programs must
be proved; an explicit algebra enables constructive proof by equational
reasoning. Furthermore our approach inherits algorithmic benefits from existing
KAT-based techniques and tools, which are applicable to a range of semantic
models.",0.044779174,-0.016091423,-0.14662242,B
3451,"4 Conclusion and further research

We have proposed a fragment of classical stit logic, Losstit , with a non-normal strategic
modality [i]φ .",Follows directly from Deﬁnition 3.7 and Proposition 3.6.,"The neighbourhood semantics for the fragment was presented, as well
as soundness and strong completeness of Losstit w.r.t.",2022-03-17 10:30:44+00:00,Neighbourhood semantics and axioms for strategic fragment of classical stit logic,cs.LO,['cs.LO'],[arxiv.Result.Author('Daniil Khaitovich')],"STIT (sees to it that) semantics is one of the most prominent tools in modal
logic of agency, widely used among both philosophers and responsible AI
scholars. STIT logic surveys the properties of agents seeing to it that some
state of affairs holds without specifying concrete actions by which that state
of affairs is guaranteed. In comparison with other multi-agent modal logics,
the main advantage of STIT theories is expressive power. STIT logic allows to
study not only statements about agents abilities to perform certain actions (as
it is in variations of Coalition Logic or Propositional Dynamic Logic), but
about what choices they make and what they de-facto achieve as well.
  Nevertheless, in some occasions such expressivity may be redundant. This
paper surveys a specific fragment of classical STIT logic, which has only
strategic modal operator, standing for the fact that agent has an ability to
see to it that some state of affairs holds. The neighbourhood semantics for the
fragment is presented, accompanied with the soundness, canoniciy hence strong
completeness results. Furthermore, the paper presents basic considerations on
epistemic extension of the presented fragment.",0.14702974,-0.13484368,-0.10840401,A
