Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
4,"299–310,
from a different distribution to the training data, using domain                    2012.
adversarial training [27], [28] would help to uncover domain
invariant features in the generated samples, and is therefore an              [10] N. Chen, A. Klushyn, R. Kurle, X. Jiang, J. Bayer, and P. Smagt,
interesting avenue for further research.","4, pp.","We have also assumed                       “Metrics for deep generative models,” in International Conference on
that generated samples strictly inherit the label from an origi-                    Artiﬁcial Intelligence and Statistics.",2021-12-31 20:35:46+00:00,Evaluating Deep Music Generation Methods Using Data Augmentation,cs.SD,"['cs.SD', 'cs.LG', 'eess.AS']","[arxiv.Result.Author('Toby Godwin'), arxiv.Result.Author('Georgios Rizos'), arxiv.Result.Author('Alice Baird'), arxiv.Result.Author('Najla D. Al Futaisi'), arxiv.Result.Author('Vincent Brisse'), arxiv.Result.Author('Bjoern W. Schuller')]","Despite advances in deep algorithmic music generation, evaluation of
generated samples often relies on human evaluation, which is subjective and
costly. We focus on designing a homogeneous, objective framework for evaluating
samples of algorithmically generated music. Any engineered measures to evaluate
generated music typically attempt to define the samples' musicality, but do not
capture qualities of music such as theme or mood. We do not seek to assess the
musical merit of generated music, but instead explore whether generated samples
contain meaningful information pertaining to emotion or mood/theme. We achieve
this by measuring the change in predictive performance of a music mood/theme
classifier after augmenting its training data with generated samples. We
analyse music samples generated by three models -- SampleRNN, Jukebox, and DDSP
-- and employ a homogeneous framework across all methods to allow for objective
comparison. This is the first attempt at augmenting a music genre
classification dataset with conditionally generated music. We investigate the
classification performance improvement using deep music generation and the
ability of the generators to make emotional music by using an additional,
emotion annotation of the dataset. Finally, we use a classifier trained on real
data to evaluate the label validity of class-conditionally generated samples.",-0.012943648,0.076899454,-0.14067216,A
282,"Finally,
further study into employing capsule networks in speaker and speech recognition with proven results is required
because capsule networks are currently in development.","In addition, we plan to study speaker
identification performance in emotional environments using different input features, e.g., spectrograms.","Compliance with Ethical Standards

   The authors thank the University of Sharjah for supporting this work through the Machine Learning and Arabic
Language Processing research group.",2022-01-09 12:37:51+00:00,Emotional Speaker Identification using a Novel Capsule Nets Model,cs.SD,"['cs.SD', 'eess.AS']","[arxiv.Result.Author('Ali Bou Nassif'), arxiv.Result.Author('Ismail Shahin'), arxiv.Result.Author('Ashraf Elnagar'), arxiv.Result.Author('Divya Velayudhan'), arxiv.Result.Author('Adi Alhudhaif'), arxiv.Result.Author('Kemal Polat')]","Speaker recognition systems are widely used in various applications to
identify a person by their voice; however, the high degree of variability in
speech signals makes this a challenging task. Dealing with emotional variations
is very difficult because emotions alter the voice characteristics of a person;
thus, the acoustic features differ from those used to train models in a neutral
environment. Therefore, speaker recognition models trained on neutral speech
fail to correctly identify speakers under emotional stress. Although
considerable advancements in speaker identification have been made using
convolutional neural networks (CNN), CNNs cannot exploit the spatial
association between low-level features. Inspired by the recent introduction of
capsule networks (CapsNets), which are based on deep learning to overcome the
inadequacy of CNNs in preserving the pose relationship between low-level
features with their pooling technique, this study investigates the performance
of using CapsNets in identifying speakers from emotional speech recordings. A
CapsNet-based speaker identification model is proposed and evaluated using
three distinct speech databases, i.e., the Emirati Speech Database, SUSAS
Dataset, and RAVDESS (open-access). The proposed model is also compared to
baseline systems. Experimental results demonstrate that the novel proposed
CapsNet model trains faster and provides better results over current
state-of-the-art schemes. The effect of the routing algorithm on speaker
identification performance was also studied by varying the number of
iterations, both with and without a decoder network.",0.2498576,0.078210875,-0.16860077,B
389,"We further study the use of perceptual
                                                                  losses in EVC training to improve the intelligibility of the
                                                                  converted emotion.","Inspired by the successful  into the emotional speech synthesis systems, which moti-
attempts in prosody style control, several studies control        vates our study.","4

2.5 Research Gap (Summary)                                         Source            Linguistic Transplant
                                                                   Speech                                     Linguistic
Below, we summarise the gaps in the literature of emotional        (Neutral)
voice conversion that we aim to address in this paper.",2022-01-10 02:11:25+00:00,Emotion Intensity and its Control for Emotional Voice Conversion,cs.SD,"['cs.SD', 'cs.CL', 'cs.LG', 'eess.AS']","[arxiv.Result.Author('Kun Zhou'), arxiv.Result.Author('Berrak Sisman'), arxiv.Result.Author('Rajib Rana'), arxiv.Result.Author('Björn W. Schuller'), arxiv.Result.Author('Haizhou Li')]","Emotional voice conversion (EVC) seeks to convert the emotional state of an
utterance while preserving the linguistic content and speaker identity. In EVC,
emotions are usually treated as discrete categories overlooking the fact that
speech also conveys emotions with various intensity levels that the listener
can perceive. In this paper, we aim to explicitly characterize and control the
intensity of emotion. We propose to disentangle the speaker style from
linguistic content and encode the speaker style into a style embedding in a
continuous space that forms the prototype of emotion embedding. We further
learn the actual emotion encoder from an emotion-labelled database and study
the use of relative attributes to represent fine-grained emotion intensity. To
ensure emotional intelligibility, we incorporate emotion classification loss
and emotion embedding similarity loss into the training of the EVC network. As
desired, the proposed network controls the fine-grained emotion intensity in
the output speech. Through both objective and subjective evaluations, we
validate the effectiveness of the proposed network for emotional expressiveness
and emotion intensity control.",0.51994497,-0.12687336,-0.21964656,B_centroid
390,"We further study the use of perceptual
                                                                  losses in EVC training to improve the intelligibility of the
                                                                  converted emotion.","Inspired by the successful  into the emotional speech synthesis systems, which moti-
attempts in prosody style control, several studies control        vates our study.","4

2.5 Research Gap (Summary)                                         Source            Linguistic Transplant
                                                                   Speech                                     Linguistic
Below, we summarise the gaps in the literature of emotional        (Neutral)
voice conversion that we aim to address in this paper.",2022-01-10 02:11:25+00:00,Emotion Intensity and its Control for Emotional Voice Conversion,cs.SD,"['cs.SD', 'cs.CL', 'cs.LG', 'eess.AS']","[arxiv.Result.Author('Kun Zhou'), arxiv.Result.Author('Berrak Sisman'), arxiv.Result.Author('Rajib Rana'), arxiv.Result.Author('Björn W. Schuller'), arxiv.Result.Author('Haizhou Li')]","Emotional voice conversion (EVC) seeks to convert the emotional state of an
utterance while preserving the linguistic content and speaker identity. In EVC,
emotions are usually treated as discrete categories overlooking the fact that
speech also conveys emotions with various intensity levels that the listener
can perceive. In this paper, we aim to explicitly characterize and control the
intensity of emotion. We propose to disentangle the speaker style from
linguistic content and encode the speaker style into a style embedding in a
continuous space that forms the prototype of emotion embedding. We further
learn the actual emotion encoder from an emotion-labelled database and study
the use of relative attributes to represent fine-grained emotion intensity. To
ensure emotional intelligibility, we incorporate emotion classification loss
and emotion embedding similarity loss into the training of the EVC network. As
desired, the proposed network controls the fine-grained emotion intensity in
the output speech. Through both objective and subjective evaluations, we
validate the effectiveness of the proposed network for emotional expressiveness
and emotion intensity control.",0.51994497,-0.12687336,-0.21964656,B
763,"Results                                                                                                              can open up a number of possibilities for further research in the
                                                                                                                          areas of SVS.","Opencpop
3.3.","Following [37], evaluation metrics, i.e., F0 Root Mean Square
Error (F0-RMSE), F0 Pearson Correlation Coefﬁcient (F0-PCC),                                                                            5.",2022-01-19 06:12:47+00:00,Opencpop: A High-Quality Open Source Chinese Popular Song Corpus for Singing Voice Synthesis,cs.SD,"['cs.SD', 'cs.DB', 'eess.AS']","[arxiv.Result.Author('Yu Wang'), arxiv.Result.Author('Xinsheng Wang'), arxiv.Result.Author('Pengcheng Zhu'), arxiv.Result.Author('Jie Wu'), arxiv.Result.Author('Hanzhao Li'), arxiv.Result.Author('Heyang Xue'), arxiv.Result.Author('Yongmao Zhang'), arxiv.Result.Author('Lei Xie'), arxiv.Result.Author('Mengxiao Bi')]","This paper introduces Opencpop, a publicly available high-quality Mandarin
singing corpus designed for singing voice synthesis (SVS). The corpus consists
of 100 popular Mandarin songs performed by a female professional singer. Audio
files are recorded with studio quality at a sampling rate of 44,100 Hz and the
corresponding lyrics and musical scores are provided. All singing recordings
have been phonetically annotated with phoneme boundaries and syllable (note)
boundaries. To demonstrate the reliability of the released data and to provide
a baseline for future research, we built baseline deep neural network-based SVS
models and evaluated them with both objective metrics and subjective mean
opinion score (MOS) measure. Experimental results show that the best SVS model
trained on our database achieves 3.70 MOS, indicating the reliability of the
provided corpus. Opencpop is released to the open-source community WeNet, and
the corpus, as well as synthesized demos, can be found on the project homepage.",-0.29336974,-0.38298398,0.15420377,A
764,"Results                                                                                                              can open up a number of possibilities for further research in the
                                                                                                                          areas of SVS.","Opencpop
3.3.","Following [37], evaluation metrics, i.e., F0 Root Mean Square
Error (F0-RMSE), F0 Pearson Correlation Coefﬁcient (F0-PCC),                                                                            5.",2022-01-19 06:12:47+00:00,Opencpop: A High-Quality Open Source Chinese Popular Song Corpus for Singing Voice Synthesis,cs.SD,"['cs.SD', 'cs.DB', 'eess.AS']","[arxiv.Result.Author('Yu Wang'), arxiv.Result.Author('Xinsheng Wang'), arxiv.Result.Author('Pengcheng Zhu'), arxiv.Result.Author('Jie Wu'), arxiv.Result.Author('Hanzhao Li'), arxiv.Result.Author('Heyang Xue'), arxiv.Result.Author('Yongmao Zhang'), arxiv.Result.Author('Lei Xie'), arxiv.Result.Author('Mengxiao Bi')]","This paper introduces Opencpop, a publicly available high-quality Mandarin
singing corpus designed for singing voice synthesis (SVS). The corpus consists
of 100 popular Mandarin songs performed by a female professional singer. Audio
files are recorded with studio quality at a sampling rate of 44,100 Hz and the
corresponding lyrics and musical scores are provided. All singing recordings
have been phonetically annotated with phoneme boundaries and syllable (note)
boundaries. To demonstrate the reliability of the released data and to provide
a baseline for future research, we built baseline deep neural network-based SVS
models and evaluated them with both objective metrics and subjective mean
opinion score (MOS) measure. Experimental results show that the best SVS model
trained on our database achieves 3.70 MOS, indicating the reliability of the
provided corpus. Opencpop is released to the open-source community WeNet, and
the corpus, as well as synthesized demos, can be found on the project homepage.",-0.29336974,-0.38298398,0.15420377,A
850,This work paved the way for further research in the area of genre classiﬁcation.,"The authors deduced three essential features
for musical content, namely timbral texture, rhythm, and pitch content for Western music in various styles, including
classical, jazz, pop and rock.","Either
whole recordings or homogeneous sections within them were used, and a classiﬁcation accuracy of 61% was achieved
for ten genres, using statistical pattern recognition classiﬁers.",2022-01-20 20:48:07+00:00,"Kinit Classification in Ethiopian Chants, Azmaris and Modern Music: A New Dataset and CNN Benchmark",cs.SD,"['cs.SD', 'cs.LG', 'eess.AS']","[arxiv.Result.Author('Ephrem A. Retta'), arxiv.Result.Author('Richard Sutcliffe'), arxiv.Result.Author('Eiad Almekhlafi'), arxiv.Result.Author('Yosef K. Enku'), arxiv.Result.Author('Eyob Alemu'), arxiv.Result.Author('Tigist D. Gemechu'), arxiv.Result.Author('Michael A. Berwo'), arxiv.Result.Author('Mustafa Mhamed'), arxiv.Result.Author('Jun Feng')]","In this paper, we create EMIR, the first-ever Music Information Retrieval
dataset for Ethiopian music. EMIR is freely available for research purposes and
contains 600 sample recordings of Orthodox Tewahedo chants, traditional Azmari
songs and contemporary Ethiopian secular music. Each sample is classified by
five expert judges into one of four well-known Ethiopian Kinits, Tizita, Bati,
Ambassel and Anchihoye. Each Kinit uses its own pentatonic scale and also has
its own stylistic characteristics. Thus, Kinit classification needs to combine
scale identification with genre recognition. After describing the dataset, we
present the Ethio Kinits Model (EKM), based on VGG, for classifying the EMIR
clips. In Experiment 1, we investigated whether Filterbank, Mel-spectrogram,
Chroma, or Mel-frequency Cepstral coefficient (MFCC) features work best for
Kinit classification using EKM. MFCC was found to be superior and was therefore
adopted for Experiment 2, where the performance of EKM models using MFCC was
compared using three different audio sample lengths. 3s length gave the best
results. In Experiment 3, EKM and four existing models were compared on the
EMIR dataset: AlexNet, ResNet50, VGG16 and LSTM. EKM was found to have the best
accuracy (95.00%) as well as the fastest training time. We hope this work will
encourage others to explore Ethiopian music and to experiment with other models
for Kinit classification.",0.07942037,0.16299415,0.5194367,C
1660,"ever, further study is necessary to determine which of these
                                       techniques or technique combinations provide the optimal so-         Xception models have also been used for AED, such as
                                       lution.",How-      the ESC-50 leaderboard at the time of its publication.,"This paper analyzes the effects of knowledge transfer,   in [7, 16], as the model provides high performance with rela-
                                       data augmentation, and pretraining on a popular small dataset,   tively few parameters compared to other top-performing mod-
                                       ESC-50 [3].",2022-02-07 20:57:40+00:00,"Maximizing Audio Event Detection Model Performance on Small Datasets Through Knowledge Transfer, Data Augmentation, And Pretraining: An Ablation Study",cs.SD,"['cs.SD', 'cs.LG', 'eess.AS']","[arxiv.Result.Author('Daniel Tompkins'), arxiv.Result.Author('Kshitiz Kumar'), arxiv.Result.Author('Jian Wu')]","An Xception model reaches state-of-the-art (SOTA) accuracy on the ESC-50
dataset for audio event detection through knowledge transfer from ImageNet
weights, pretraining on AudioSet, and an on-the-fly data augmentation pipeline.
This paper presents an ablation study that analyzes which components contribute
to the boost in performance and training time. A smaller Xception model is also
presented which nears SOTA performance with almost a third of the parameters.",-0.1845313,-0.19703594,-0.13596556,A
2020,"This ﬁrst study sets the basis
                                           For most applications using time-frequency representations,                 and intuition for further research on this idea.","Introduction                                   of-concept examples in a direct comparison to (magnitude)
                                                                                                                       scattering based on the STFT.","only the magnitude of the obtained complex coeﬃcients
                                        is considered as, e.g., in the cases of spectrogram and                           The content of this paper was mainly developed in the Mas-
                                        scalogram [1].",2022-02-15 14:51:58+00:00,Phase-Based Signal Representations for Scattering,cs.SD,"['cs.SD', 'eess.AS', 'eess.SP']","[arxiv.Result.Author('Daniel Haider'), arxiv.Result.Author('Peter Balazs'), arxiv.Result.Author('Nicki Holighaus')]","The scattering transform is a non-linear signal representation method based
on cascaded wavelet transform magnitudes. In this paper we introduce phase
scattering, a novel approach where we use phase derivatives in a scattering
procedure. We first revisit phase-related concepts for representing
time-frequency information of audio signals, in particular, the partial
derivatives of the phase in the time-frequency domain. By putting analytical
and numerical results in a new light, we set the basis to extend the
phase-based representations to higher orders by means of a scattering
transform, which leads to well localized signal representations of large-scale
structures. All the ideas are introduced in a general way and then applied
using the STFT.",-0.23179871,0.08983968,0.21473414,C
2043,"We setup baselines for monolingual and zero-shot
                                        isting work has focused on detecting abusive behaviour in        cross-lingual setting for encouraging further research in this
                                        textual data [1–6].",Majority of the ex-       detection.,Abusive content detection on images and      direction.,2022-02-16 11:09:50+00:00,ADIMA: Abuse Detection In Multilingual Audio,cs.SD,"['cs.SD', 'cs.CL', 'eess.AS']","[arxiv.Result.Author('Vikram Gupta'), arxiv.Result.Author('Rini Sharon'), arxiv.Result.Author('Ramit Sawhney'), arxiv.Result.Author('Debdoot Mukherjee')]","Abusive content detection in spoken text can be addressed by performing
Automatic Speech Recognition (ASR) and leveraging advancements in natural
language processing. However, ASR models introduce latency and often perform
sub-optimally for profane words as they are underrepresented in training
corpora and not spoken clearly or completely. Exploration of this problem
entirely in the audio domain has largely been limited by the lack of audio
datasets. Building on these challenges, we propose ADIMA, a novel,
linguistically diverse, ethically sourced, expert annotated and well-balanced
multilingual profanity detection audio dataset comprising of 11,775 audio
samples in 10 Indic languages spanning 65 hours and spoken by 6,446 unique
users. Through quantitative experiments across monolingual and cross-lingual
zero-shot settings, we take the first step in democratizing audio based content
moderation in Indic languages and set forth our dataset to pave future work.",0.20253739,-0.20770325,-0.04993992,B
