Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
23,"We then evaluate the outcome measures described in
Section 3.5 for the policy of each player i ∈ {1, 2} in their respective training
contexts, Mi(bik (·), b−ki(·), Gk ), and when two learnt policies from two diﬀerent
training contexts are placed in the new, third context, Mi(bik (·), b−ki (·), Gk ).7 We
further study the policies learnt in more detail to understand the underlying

    6In principle, we can search for price cycles of any length.","To evaluate the policies, we consider a third context k with
the same paramterization as contexts k and k , and a random initial state
and new random seed.","However, in practice we limit
ourselves to a search for cycles with a maximum length of 15 to avoid costly computations.",2022-01-02 12:10:26+00:00,Robust Algorithmic Collusion,econ.GN,"['econ.GN', 'q-fin.EC']","[arxiv.Result.Author('Nicolas Eschenbaum'), arxiv.Result.Author('Filip Melgren'), arxiv.Result.Author('Philipp Zahn')]","This paper develops a formal framework to assess policies of learning
algorithms in economic games. We investigate whether reinforcement-learning
agents with collusive pricing policies can successfully extrapolate collusive
behavior from training to the market. We find that in testing environments
collusion consistently breaks down. Instead, we observe static Nash play. We
then show that restricting algorithms' strategy space can make algorithmic
collusion robust, because it limits overfitting to rival strategies. Our
findings suggest that policy-makers should focus on firm behavior aimed at
coordinating algorithm design in order to make collusive policies robust.",-0.13480885,0.37328306,0.12328042,B
24,"We further study a policies’ performance in a new context when the context
diﬀers in the parameterization of the environment.","But it continues to take a long time for
algorithms to converge, making it likely infeasible in practice (see Figure A3 in
the Appendix).","Suppose two pairs of algo-
rithms train in contexts that diﬀer in the marginal cost level.",2022-01-02 12:10:26+00:00,Robust Algorithmic Collusion,econ.GN,"['econ.GN', 'q-fin.EC']","[arxiv.Result.Author('Nicolas Eschenbaum'), arxiv.Result.Author('Filip Melgren'), arxiv.Result.Author('Philipp Zahn')]","This paper develops a formal framework to assess policies of learning
algorithms in economic games. We investigate whether reinforcement-learning
agents with collusive pricing policies can successfully extrapolate collusive
behavior from training to the market. We find that in testing environments
collusion consistently breaks down. Instead, we observe static Nash play. We
then show that restricting algorithms' strategy space can make algorithmic
collusion robust, because it limits overfitting to rival strategies. Our
findings suggest that policy-makers should focus on firm behavior aimed at
coordinating algorithm design in order to make collusive policies robust.",-0.18559629,0.19641727,0.2716703,B
25,"We then evaluate the outcome measures described in
Section 3.5 for the policy of each player i ∈ {1, 2} in their respective training
contexts, Mi(bik (·), b−ki(·), Gk ), and when two learnt policies from two diﬀerent
training contexts are placed in the new, third context, Mi(bik (·), b−ki (·), Gk ).7 We
further study the policies learnt in more detail to understand the underlying

    6In principle, we can search for price cycles of any length.","To evaluate the policies, we consider a third context k with
the same paramterization as contexts k and k , and a random initial state
and new random seed.","However, in practice we limit
ourselves to a search for cycles with a maximum length of 15 to avoid costly computations.",2022-01-02 12:10:26+00:00,Robust Algorithmic Collusion,econ.GN,"['econ.GN', 'q-fin.EC']","[arxiv.Result.Author('Nicolas Eschenbaum'), arxiv.Result.Author('Filip Mellgren'), arxiv.Result.Author('Philipp Zahn')]","This paper develops a formal framework to assess policies of learning
algorithms in economic games. We investigate whether reinforcement-learning
agents with collusive pricing policies can successfully extrapolate collusive
behavior from training to the market. We find that in testing environments
collusion consistently breaks down. Instead, we observe static Nash play. We
then show that restricting algorithms' strategy space can make algorithmic
collusion robust, because it limits overfitting to rival strategies. Our
findings suggest that policy-makers should focus on firm behavior aimed at
coordinating algorithm design in order to make collusive policies robust.",-0.13480885,0.37328306,0.12328042,B
26,"We further study a policies’ performance in a new context when the context
diﬀers in the parameterization of the environment.","But it continues to take a long time for
algorithms to converge, making it likely infeasible in practice (see Figure A3 in
the Appendix).","Suppose two pairs of algo-
rithms train in contexts that diﬀer in the marginal cost level.",2022-01-02 12:10:26+00:00,Robust Algorithmic Collusion,econ.GN,"['econ.GN', 'q-fin.EC']","[arxiv.Result.Author('Nicolas Eschenbaum'), arxiv.Result.Author('Filip Mellgren'), arxiv.Result.Author('Philipp Zahn')]","This paper develops a formal framework to assess policies of learning
algorithms in economic games. We investigate whether reinforcement-learning
agents with collusive pricing policies can successfully extrapolate collusive
behavior from training to the market. We find that in testing environments
collusion consistently breaks down. Instead, we observe static Nash play. We
then show that restricting algorithms' strategy space can make algorithmic
collusion robust, because it limits overfitting to rival strategies. Our
findings suggest that policy-makers should focus on firm behavior aimed at
coordinating algorithm design in order to make collusive policies robust.",-0.18559629,0.19641727,0.2716703,B
256,"The findings in business administration need transparent research methods and data analyses,
justifications of the research methodology and empirical context, a clear description of the process for
obtaining findings, suggestions for further research, acknowledgment of limitations, and others.","Business
research requires routines that use statistical and mathematical formulas to process and forecast data.","Although statistical tools should use the same formulas, the practice with which they execute the data
processing and visualizing, the results do not always ease the researcher.",2022-01-08 04:28:12+00:00,Bibliometric analysis of the scientific production found in Scopus and Web of Science about business administration,econ.GN,"['econ.GN', 'cs.DL', 'q-fin.EC']","[arxiv.Result.Author('Félix Lirio-Loli'), arxiv.Result.Author('William Dextre-Martínez')]","Introduction: This study analyzes the scientific production in business
administration in scientific articles based on modeling partial least squares
structural equations (Partial Least Squares Structural Equation Modeling
PLS-SEM) in the 2011-2020 period. Methodology: The study is exploratory -
descriptive and has three phases: a) Selection of keywords and search criteria;
(b) Search and refinement of information; c) information analysis. A method of
bibliometric review of the specific literature has been used based on the
analysis of predefined indicators and completed with a qualitative content
synthesis. Results: A total of 167 publications were analyzed, making
correlations from the year, search criteria, authors, impact factor by
quartile, and by citation variables. More outstanding scientific production
comes from Scopus under the search criteria ((pls AND sem) OR ""partial least
squares"") AND (business OR management), being the figure of 4,870 scientific
articles, while Web of Science accumulates 3,946 articles Conclusion: There has
been a progressive growth in scientific articles with the PLS-SEM technique
from 2011 to 2020. Scopus, compared to WoS, presents a more significant number
of scientific productions with this statistical approach. The authors who
register scientific articles demonstrate a high H index; in addition, there is
an important number of scientific articles with a PLS-SEM approach in
universities in Malaysia that could be related to the expansion of higher
education in that country, as well as in Singapore, Taiwan, and Indonesia.
Finally, business administration, accounting, and economics are outstanding
scientific production.",-0.19713302,-0.28825474,-0.089324266,C
587,"These estimates present evidence that
EIP-1559 affects sibling appearance mainly through block size with                                                  sibling indicator
other unknown channels for further research.",significantly negative effect.,"block size (kbyte)      (3)               (4)
                                                                                        London Hardfork     0.0034∗∗∗
                                                                                        EIP-1559 adoption    (0.0003)         0.0036∗∗∗
                                                                                        Intercept                              (0.0003)
                                                                                                            -3.2573∗∗∗         0.0704∗
                                                                                                             (0.0249)          (0.0400)
                                                                                                                              -0.2257∗∗∗
                                                                                                                               (0.0764)
                                                                                                                              -3.2608∗∗∗
                                                                                                                               (0.0263)

5.4.2 Network load.",2022-01-14 17:33:39+00:00,"Empirical Analysis of EIP-1559: Transaction Fees, Waiting Time, and Consensus Security",econ.GN,"['econ.GN', 'cs.CR', 'cs.DC', 'cs.GT', 'q-fin.EC']","[arxiv.Result.Author('Yulin Liu'), arxiv.Result.Author('Yuxuan Lu'), arxiv.Result.Author('Kartik Nayak'), arxiv.Result.Author('Fan Zhang'), arxiv.Result.Author('Luyao Zhang'), arxiv.Result.Author('Yinhong Zhao')]","Transaction fee mechanism (TFM) is an essential component of a blockchain
protocol. However, a systematic evaluation of the real-world impact of TFMs is
still absent. Using rich data from the Ethereum blockchain, mempool, and
exchanges, we study the effect of EIP-1559, one of the first deployed TFMs that
depart from the traditional first-price auction paradigm. We conduct a rigorous
and comprehensive empirical study to examine its causal effect on blockchain
transaction fee dynamics, transaction waiting time and security. Our results
show that EIP-1559 improves the user experience by making fee estimation
easier, mitigating intra-block difference of gas price paid, and reducing
users' waiting times. However, EIP-1559 has only a small effect on gas fee
levels and consensus security. In addition, we found that when Ether's price is
more volatile, the waiting time is significantly higher. We also verify that a
larger block size increases the presence of siblings. These findings suggest
new directions for improving TFM.",-0.0143212285,0.20847276,-0.21374902,B
588,"EIP-1559 affects sibling appearance mainly through block size with
other unknown channels for further research.",The data frequency is by block.,"sibling indicator

                                                                                        block size (kbyte)      (3)               (4)
                                                                                        London Hardfork     0.0034∗∗∗
                                                                                        EIP-1559 adoption    (0.0003)         0.0036∗∗∗
                                                                                        Intercept                              (0.0003)
                                                                                                            -3.2573∗∗∗         0.0704∗
                                                                                                             (0.0249)          (0.0400)
                                                                                                                              -0.2257∗∗∗
                                                                                                                               (0.0764)
                                                                                                                              -3.2608∗∗∗
                                                                                                                               (0.0263)

5.4.2 Network load.",2022-01-14 17:33:39+00:00,"Empirical Analysis of EIP-1559: Transaction Fees, Waiting Time, and Consensus Security",econ.GN,"['econ.GN', 'cs.CR', 'cs.DC', 'cs.GT', 'q-fin.EC']","[arxiv.Result.Author('Yulin Liu'), arxiv.Result.Author('Yuxuan Lu'), arxiv.Result.Author('Kartik Nayak'), arxiv.Result.Author('Fan Zhang'), arxiv.Result.Author('Luyao Zhang'), arxiv.Result.Author('Yinhong Zhao')]","Transaction fee mechanism (TFM) is an essential component of a blockchain
protocol. However, a systematic evaluation of the real-world impact of TFMs is
still absent. Using rich data from the Ethereum blockchain, mempool, and
exchanges, we study the effect of EIP-1559, one of the first deployed TFMs that
depart from the traditional first-price auction paradigm. We conduct a rigorous
and comprehensive empirical study to examine its causal effect on blockchain
transaction fee dynamics, transaction waiting time and security. Our results
show that EIP-1559 improves the user experience by making fee estimation
easier, mitigating intra-block difference of gas price paid, and reducing
users' waiting times. However, EIP-1559 has only a small effect on gas fee
levels and consensus security. In addition, we found that when Ether's price is
more volatile, the waiting time is significantly higher. We also verify that a
larger block size increases the presence of siblings. These findings suggest
new directions for improving TFM.",-0.03540481,0.18739222,-0.09795341,B
589,"These estimates present evidence that EIP-1559 affects sibling ap-                                                       sibling indicator
pearance mainly through block size with other unknown channels
to be investigated in further research.",is negative with three asterisks) has a significantly negative effect.,"block size (kbyte)         (3)                (4)
                                                                                             London Hardfork        0.0034∗∗∗
5.4.2 Network load.",2022-01-14 17:33:39+00:00,"Empirical Analysis of EIP-1559: Transaction Fees, Waiting Time, and Consensus Security",econ.GN,"['econ.GN', 'cs.CR', 'cs.DC', 'cs.GT', 'q-fin.EC']","[arxiv.Result.Author('Yulin Liu'), arxiv.Result.Author('Yuxuan Lu'), arxiv.Result.Author('Kartik Nayak'), arxiv.Result.Author('Fan Zhang'), arxiv.Result.Author('Luyao Zhang'), arxiv.Result.Author('Yinhong Zhao')]","A transaction fee mechanism (TFM) is an essential component of a blockchain
protocol. However, a systematic evaluation of the real-world impact of TFMs is
still absent. Using rich data from the Ethereum blockchain, the mempool, and
exchanges, we study the effect of EIP-1559, one of the earliest-deployed TFMs
that depart from the traditional first-price auction paradigm. We conduct a
rigorous and comprehensive empirical study to examine its causal effect on
blockchain transaction fee dynamics, transaction waiting times, and consensus
security. Our results show that EIP-1559 improves the user experience by
mitigating intrablock differences in the gas price paid and reducing users'
waiting times. However, EIP-1559 has only a small effect on gas fee levels and
consensus security. In addition, we find that when Ether's price is more
volatile, the waiting time is significantly higher. We also verify that a
larger block size increases the presence of siblings. These findings suggest
new directions for improving TFMs.",-0.03972929,0.1661288,-0.11499654,B
913,"Investigating this stage is essential to
know the quantitative measures taken into account in selecting projects other than the
PSC; further research is needed in this area.","Hence, one cannot be definite about the decision-
making process during the selection stage of PPPs.","Second, this study did not apply the
suggested analytical framework of forming public policies to a genuine life case, but that
seems much outside the present paper size (and aims).",2022-01-22 14:44:06+00:00,An Intergenerational Issue: The Equity Issues due to Public-Private Partnerships. The Critical Aspect of the Social Discount Rate Choice for Future Generations,econ.GN,"['econ.GN', 'q-fin.EC']","[arxiv.Result.Author('Abeer Al Yaqoobi'), arxiv.Result.Author('Marcel Ausloos')]","This paper investigates the impact of Social Discount Rate (SDR) choice on
intergenerational equity issues caused by Public-Private Partnerships (PPPs)
projects. Indeed, more PPPs mean more debt being accumulated for future
generations leading to a fiscal deficit crisis. The paper draws on how the SDR
level taken today distributes societies on the Social Welfare Function (SWF).
This is done by answering two sub-questions: (i) What is the risk of PPPs debts
being off-balance sheet? (ii) How do public policies, based on the envisaged
SDR, position society within different ethical perspectives? The answers are
obtained from a discussion of the different SDRs (applied in the UK for
examples) according to the merits of the pertinent ethical theories, namely
libertarian, egalitarian, utilitarian and Rawlsian. We find that public
policymakers can manipulate the SDR to make PPPs looking like a better option
than the traditional financing form. However, this antagonises the Value for
Money principle. We also point out that public policy is not harmonised with
ethical theories. We find that at present (in the UK), the SDR is somewhere
between weighted utilitarian and Rawlsian societies in the trade-off curve.
Alas, our study finds no evidence that the (UK) government is using a
sophisticated system to keep pace with the accumulated off-balance sheet debts.
Thus, the exact prediction of the final state is hardly made because of the
uncertainty factor. We conclude that our study hopefully provides a good
analytical framework for policymakers in order to draw on the merits of ethical
theories before initiating public policies like PPPs.",-0.1296535,-0.08641496,-0.15267015,C
914,We suggest lines for further research.,"In Section 5, we provide conclusions pointing to the weak evolution of indices
over the considered time interval.","7
2 Economic Freedom Indices

We position our paper within the scholarly contributions having investigated, on one
hand ”measures of Economic Freedom”, in modern times, and the link between EF
and EG.",2022-01-22 15:16:49+00:00,"Economic Freedom: The Top, the Bottom, and the Reality. I. 1997-2007",econ.GN,"['econ.GN', 'q-fin.EC']","[arxiv.Result.Author('Marcel Ausloos'), arxiv.Result.Author('Philippe Bronlet')]","We recall the historically admitted prerequisites of Economic Freedom (EF).
We have examined 908 data points for the Economic Freedom of the World (EFW)
index and 1884 points for the Index of Economic Freedom (IEF); the studied
periods are 2000-2006 and 1997-2007, respectively, thereby following the Berlin
wall collapse, and including Sept. 11, 2001. After discussing EFW index and
IEF, in order to compare the indices, one needs to study their overlap in time
and space. That leaves 138 countries to be examined over a period extending
from 2000 to 2006, thus 2 sets of 862 data points. The data analysis pertains
to the rank-size law technique. It is examined whether the distributions obey
an exponential or a power law. A correlation with the country Gross Domestic
Product (GDP), an admittedly major determinant of EF, follows, distinguishing
regional aspects, i.e. defining 6 continents. Semi-log plots show that the
EFW-rank relationship is exponential for countries of high rank ($\ge 20$);
overall the log-log plots point to a behaviour close to a power law. In
contrast, for the IEF, the overall ranking has an exponential behaviour; but
the log-log plots point to the existence of a transitional point between two
different power laws, i.e., near rank 10. Moreover, log-log plots of the EFW
index relationship to country GDP is characterised by a power law, with a
rather stable exponent ($\gamma \simeq 0.674$) as a function of time. In
contrast, log-log plots of the IEF relationship with the country's gross
domestic product point to a downward evolutive power law as a function of time.
Markedly the two studied indices provide different aspects of EF.",0.21841726,0.096692376,0.1380471,B
