Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
387,"The signiﬁcant WER differences observed         Gumbel-Softmax searched TDNN-F and CNN TDNN-F sys-
       between these two systems suggest further research is       tems (Sys (9) & (11)) on the CHM subset of Hub5’00 test set
       required to improve the transferability and generalization  and Rt03S test sets when compared with the other hybrid and
       of NAS methods across different data sets and quantities.",V).,end-to-end systems (Sys (1)-(7) in Tab.,2022-01-08 07:52:01+00:00,Neural Architecture Search For LF-MMI Trained Time Delay Neural Networks,eess.AS,"['eess.AS', 'cs.SD']","[arxiv.Result.Author('Shoukang Hu'), arxiv.Result.Author('Xurong Xie'), arxiv.Result.Author('Mingyu Cui'), arxiv.Result.Author('Jiajun Deng'), arxiv.Result.Author('Shansong Liu'), arxiv.Result.Author('Jianwei Yu'), arxiv.Result.Author('Mengzhe Geng'), arxiv.Result.Author('Xunying Liu'), arxiv.Result.Author('Helen Meng')]","State-of-the-art automatic speech recognition (ASR) system development is
data and computation intensive. The optimal design of deep neural networks
(DNNs) for these systems often require expert knowledge and empirical
evaluation. In this paper, a range of neural architecture search (NAS)
techniques are used to automatically learn two types of hyper-parameters of
factored time delay neural networks (TDNN-Fs): i) the left and right splicing
context offsets; and ii) the dimensionality of the bottleneck linear projection
at each hidden layer. These techniques include the differentiable neural
architecture search (DARTS) method integrating architecture learning with
lattice-free MMI training; Gumbel-Softmax and pipelined DARTS methods reducing
the confusion over candidate architectures and improving the generalization of
architecture selection; and Penalized DARTS incorporating resource constraints
to balance the trade-off between performance and system complexity. Parameter
sharing among TDNN-F architectures allows an efficient search over up to 7^28
different systems. Statistically significant word error rate (WER) reductions
of up to 1.2% absolute and relative model size reduction of 31% were obtained
over a state-of-the-art 300-hour Switchboard corpus trained baseline LF-MMI
TDNN-F system featuring speed perturbation, i-Vector and learning hidden unit
contribution (LHUC) based speaker adaptation as well as RNNLM rescoring.
Performance contrasts on the same task against recent end-to-end systems
reported in the literature suggest the best NAS auto-configured system achieves
state-of-the-art WERs of 9.9% and 11.1% on the NIST Hub5' 00 and Rt03s test
sets respectively with up to 96% model size reduction. Further analysis using
Bayesian learning shows that ...",-0.3169089,0.045977306,-0.0028789311,B
706,"Nonetheless, our work uncovers promising observations
                                          and possibilities for further research.","We
                                          show that the human perceptual ambiguity and other challenges, such as class imbalance and lack of training data, currently
                                          limit the opportunities of these technologies for oral history archives.","Keywords: emotion recognition, sentiment analysis, language, oral history, speech emotion recognition, facial emotion
                                          recognition, annotation, ambiguity

                                                          1.",2022-01-18 10:53:07+00:00,A Study on the Ambiguity in Human Annotation of German Oral History Interviews for Perceived Emotion Recognition and Sentiment Analysis,eess.AS,"['eess.AS', 'cs.CL', 'cs.SD']","[arxiv.Result.Author('Michael Gref'), arxiv.Result.Author('Nike Matthiesen'), arxiv.Result.Author('Sreenivasa Hikkal Venugopala'), arxiv.Result.Author('Shalaka Satheesh'), arxiv.Result.Author('Aswinkumar Vijayananth'), arxiv.Result.Author('Duc Bach Ha'), arxiv.Result.Author('Sven Behnke'), arxiv.Result.Author('Joachim Köhler')]","For research in audiovisual interview archives often it is not only of
interest what is said but also how. Sentiment analysis and emotion recognition
can help capture, categorize and make these different facets searchable. In
particular, for oral history archives, such indexing technologies can be of
great interest. These technologies can help understand the role of emotions in
historical remembering. However, humans often perceive sentiments and emotions
ambiguously and subjectively. Moreover, oral history interviews have
multi-layered levels of complex, sometimes contradictory, sometimes very subtle
facets of emotions. Therefore, the question arises of the chance machines and
humans have capturing and assigning these into predefined categories. This
paper investigates the ambiguity in human perception of emotions and sentiment
in German oral history interviews and the impact on machine learning systems.
Our experiments reveal substantial differences in human perception for
different emotions. Furthermore, we report from ongoing machine learning
experiments with different modalities. We show that the human perceptual
ambiguity and other challenges, such as class imbalance and lack of training
data, currently limit the opportunities of these technologies for oral history
archives. Nonetheless, our work uncovers promising observations and
possibilities for further research.",0.2747178,0.05621579,-0.10103533,A
1823,"To further research the effect of

                                           T                                       incorporating noisy signal in the diffusion model, in Sec.","(1):
                                                                                   process that is theoretically sound.","3.3, we will

        pθ(x0, · · · , xT −1|xT ) = pθ(xt−1|xt),                              (3)  set δt according to Eq.",2022-02-10 18:58:01+00:00,Conditional Diffusion Probabilistic Model for Speech Enhancement,eess.AS,"['eess.AS', 'cs.LG', 'cs.SD']","[arxiv.Result.Author('Yen-Ju Lu'), arxiv.Result.Author('Zhong-Qiu Wang'), arxiv.Result.Author('Shinji Watanabe'), arxiv.Result.Author('Alexander Richard'), arxiv.Result.Author('Cheng Yu'), arxiv.Result.Author('Yu Tsao')]","Speech enhancement is a critical component of many user-oriented audio
applications, yet current systems still suffer from distorted and unnatural
outputs. While generative models have shown strong potential in speech
synthesis, they are still lagging behind in speech enhancement. This work
leverages recent advances in diffusion probabilistic models, and proposes a
novel speech enhancement algorithm that incorporates characteristics of the
observed noisy speech signal into the diffusion and reverse processes. More
specifically, we propose a generalized formulation of the diffusion
probabilistic model named conditional diffusion probabilistic model that, in
its reverse process, can adapt to non-Gaussian real noises in the estimated
speech signal. In our experiments, we demonstrate strong performance of the
proposed approach compared to representative generative models, and investigate
the generalization capability of our models to other datasets with noise
characteristics unseen during training.",-0.25082207,-0.2928237,-0.20396341,B
1835,"MobileNetV2           5       24       (1, 1) 0.3M                        For use cases where even less energy per inference is targeted, we
Identity              3       -        (1, 1) -                           suggest further research into expanding the search space to use 1D
MobileNetV1           -       40       (1, 1) 0.2M                        convolutional blocks and/or combining this approach with model
MobileNetV2           3       32       (1, 1) 0.9M                        compression techniques (e.g.","We also find 1D convolutional networks
MobileNetV2-Avg-Pool  3       24       (2, 2) 1.4M                        to be significantly more energy efficient but poor in task accuracy.",weight pruning).,2022-02-09 06:10:18+00:00,Neural Architecture Search for Energy Efficient Always-on Audio Models,eess.AS,"['eess.AS', 'cs.LG', 'cs.SD']","[arxiv.Result.Author('Daniel T. Speckhard'), arxiv.Result.Author('Karolis Misiunas'), arxiv.Result.Author('Sagi Perel'), arxiv.Result.Author('Tenghui Zhu'), arxiv.Result.Author('Simon Carlile'), arxiv.Result.Author('Malcolm Slaney')]","Mobile and edge computing devices for always-on audio classification require
energy-efficient neural network architectures. We present a neural architecture
search (NAS) that optimizes accuracy, energy efficiency and memory usage. The
search is run on Vizier, a black-box optimization service. We present a search
strategy that uses both Bayesian and regularized evolutionary search with
particle swarms, and employs early-stopping to reduce the computational burden.
The search returns architectures for a sound-event classification dataset based
upon AudioSet with similar accuracy to MobileNetV1/V2 implementations but with
an order of magnitude less energy per inference and a much smaller memory
footprint.",-0.11725549,0.053721346,0.23635025,A
2280,"Nonethe-
less, the results of Table 5.1 demonstrated the need to perform further research of
speech recognition in collaborative learning environments.","In the case that this was not the outcome, we
considered replacing PCA with Independent Component Analysis (ICA) since it is
known to successfully remove statistical dependence between features [67].","Table 5.1: Speech recognition accuracy obtained from DeepSpeech and SVM-PCA
Classiﬁer on TIMIT and AOLME.",2022-02-21 21:25:41+00:00,Spanish and English Phoneme Recognition by Training on Simulated Classroom Audio Recordings of Collaborative Learning Environments,eess.AS,"['eess.AS', 'cs.SD']",[arxiv.Result.Author('Mario Esparza')],"Audio recordings of collaborative learning environments contain a constant
presence of cross-talk and background noise. Dynamic speech recognition between
Spanish and English is required in these environments. To eliminate the
standard requirement of large-scale ground truth, the thesis develops a
simulated dataset by transforming audio transcriptions into phonemes and using
3D speaker geometry and data augmentation to generate an acoustic simulation of
Spanish and English speech. The thesis develops a low-complexity neural network
for recognizing Spanish and English phonemes (available at
github.com/muelitas/keywordRec). When trained on 41 English phonemes, 0.099 PER
is achieved on Speech Commands. When trained on 36 Spanish phonemes and tested
on real recordings of collaborative learning environments, a 0.7208 LER is
achieved. Slightly better than Google's Speech-to-text 0.7272 LER, which used
anywhere from 15 to 1,635 times more parameters and trained on 300 to 27,500
hours of real data as opposed to 13 hours of simulated audios.",0.14065447,0.032836072,-0.13170208,B
2856,"With       racy, the model corresponding to the 12th epoch is chosen
increase in x around the change point, the CD measure           for further study.","Therefore it is hypothesized that, the ldvt distri-      ter observing the training and validation loss and accu-
bution has higher values than the ldvf distribution.","for both the measure should increase, as with increase in
number of voiced frames.",2022-03-05 08:44:59+00:00,Language vs Speaker Change: A Comparative Study,eess.AS,"['eess.AS', 'cs.SD', 'eess.SP']","[arxiv.Result.Author('Jagabandhu Mishra'), arxiv.Result.Author('S. R. Mahadeva Prasanna')]","Spoken language change detection (LCD) refers to detecting language switching
points in a multilingual speech signal. Speaker change detection (SCD) refers
to locating the speaker change points in a multispeaker speech signal. The
objective of this work is to understand the challenges in LCD task by comparing
it with SCD task. Human subjective study for change detection is performed for
LCD and SCD. This study demonstrates that LCD requires larger duration
spectro-temporal information around the change point compared to SCD. Based on
this, the work explores automatic distance based and model based LCD
approaches. The model based ones include Gaussian mixture model and universal
background model (GMM-UBM), attention, and Generative adversarial network (GAN)
based approaches. Both the human and automatic LCD tasks infer that the
performance of the LCD task improves by incorporating more and more
spectro-temporal duration.",-0.19075021,-0.034992296,-0.058856428,B
3363,"Architecture               Channels        Blocks            ASC                  UST    ASD
                                                        macro-ACC          macro-AUPRC   AUC

CNN9                 64/128/256/512        4                0.550              0.678     0.703

CNN4-Trans                 64/128          2                0.589              0.678     0.712

SE-Trans                   64/128          2                0.609              0.699     0.721

    To further study the eﬀectiveness of the Transformer encoder and SE mod-
ules, ablation experiments have been performed.","Analysis of SE and Transformer modules

Table 3: Results of ablation experiments of SE and Transformer modules.","Table 3 compares three dif-
ferent architectures with diﬀerent numbers of CNN channels and blocks, and
macro-ACC, macro-AUPRC, and AUC are implemented as evaluation measure-
ments for ASC, UST, and ASD.",2022-03-16 02:07:02+00:00,A Squeeze-and-Excitation and Transformer based Cross-task System for Environmental Sound Recognition,eess.AS,"['eess.AS', 'cs.SD']","[arxiv.Result.Author('Jisheng Bai'), arxiv.Result.Author('Jianfeng Chen'), arxiv.Result.Author('Mou Wang'), arxiv.Result.Author('Muhammad Saad Ayub')]","Environmental sound recognition (ESR) is an emerging research topic in audio
pattern recognition. Many tasks are presented to resort to computational
systems for ESR in real-life applications. However, current systems are usually
designed for individual tasks, and are not robust and applicable to other
tasks. Cross-task systems, which promote unified knowledge modeling across
various tasks, have not been thoroughly investigated. In this paper, we propose
a cross-task system for three different tasks of ESR: acoustic scene
classification, urban sound tagging, and anomalous sound detection. An
architecture named SE-Trans is presented that uses attention mechanism-based
Squeeze-and-Excitation and Transformer encoder modules to learn channel-wise
relationship and temporal dependencies of the acoustic features. FMix is
employed as the data augmentation method that improves the performance of ESR.
Evaluations for the three tasks are conducted on the recent databases of DCASE
challenges. The experimental results show that the proposed cross-task system
achieves state-of-the-art performance on all tasks. Further analysis
demonstrates that the proposed cross-task system can effectively utilize
acoustic knowledge across different ESR tasks.",-0.30655092,0.01058341,-0.044286277,B
3364,"Analysis of acoustic scene classiﬁcation

To further study the aforementioned contribution of Transformer and SE

modules for ASC in Sec.","xxiv
5.2.1.","5.1.2, the confusion matrices achieved by CNN9,

CNN4-Trans, and SE-Trans are shown in Fig.",2022-03-16 02:07:02+00:00,A Squeeze-and-Excitation and Transformer based Cross-task System for Environmental Sound Recognition,eess.AS,"['eess.AS', 'cs.SD']","[arxiv.Result.Author('Jisheng Bai'), arxiv.Result.Author('Jianfeng Chen'), arxiv.Result.Author('Mou Wang'), arxiv.Result.Author('Muhammad Saad Ayub')]","Environmental sound recognition (ESR) is an emerging research topic in audio
pattern recognition. Many tasks are presented to resort to computational
systems for ESR in real-life applications. However, current systems are usually
designed for individual tasks, and are not robust and applicable to other
tasks. Cross-task systems, which promote unified knowledge modeling across
various tasks, have not been thoroughly investigated. In this paper, we propose
a cross-task system for three different tasks of ESR: acoustic scene
classification, urban sound tagging, and anomalous sound detection. An
architecture named SE-Trans is presented that uses attention mechanism-based
Squeeze-and-Excitation and Transformer encoder modules to learn channel-wise
relationship and temporal dependencies of the acoustic features. FMix is
employed as the data augmentation method that improves the performance of ESR.
Evaluations for the three tasks are conducted on the recent databases of DCASE
challenges. The experimental results show that the proposed cross-task system
achieves state-of-the-art performance on all tasks. Further analysis
demonstrates that the proposed cross-task system can effectively utilize
acoustic knowledge across different ESR tasks.",0.07143252,-0.053030387,-0.15879816,B
4124,"The
                                         ported by NSFC 61976122.                                              comparison under these frameworks are left for further study.",This work is sup-  based encoder-decoder (AED) and RNN-transducer could be used.,2.,2022-03-31 02:28:11+00:00,Exploiting Single-Channel Speech for Multi-Channel End-to-End Speech Recognition: A Comparative Study,eess.AS,"['eess.AS', 'cs.CL']","[arxiv.Result.Author('Keyu An'), arxiv.Result.Author('Ji Xiao'), arxiv.Result.Author('Zhijian Ou')]","Recently, the end-to-end training approach for multi-channel ASR has shown
its effectiveness, which usually consists of a beamforming front-end and a
recognition back-end. However, the end-to-end training becomes more difficult
due to the integration of multiple modules, particularly considering that
multi-channel speech data recorded in real environments are limited in size.
This raises the demand to exploit the single-channel data for multi-channel
end-to-end ASR. In this paper, we systematically compare the performance of
three schemes to exploit external single-channel data for multi-channel
end-to-end ASR, namely back-end pre-training, data scheduling, and data
simulation, under different settings such as the sizes of the single-channel
data and the choices of the front-end. Extensive experiments on CHiME-4 and
AISHELL-4 datasets demonstrate that while all three methods improve the
multi-channel end-to-end speech recognition performance, data simulation
outperforms the other two, at the cost of longer training time. Data scheduling
outperforms back-end pre-training marginally but nearly consistently,
presumably because that in the pre-training stage, the back-end tends to
overfit on the single-channel data, especially when the single-channel data
size is small.",-0.09114808,-0.041801017,-0.10215318,B
4131,We further study the technique         the paradigm.,"Furthermore, there is a uniﬁed inference process
                                          tion tasks with fewer trainable parameters than ﬁne-tuning spe-    with the original pre-trained LM for all downstream tasks in
                                          cialized downstream models.","Hence, less human labor is required in model au-
                                          in challenging sequence generation tasks.",2022-03-31 03:26:55+00:00,An Exploration of Prompt Tuning on Generative Spoken Language Model for Speech Processing Tasks,eess.AS,"['eess.AS', 'cs.CL', 'cs.LG', 'cs.SD']","[arxiv.Result.Author('Kai-Wei Chang'), arxiv.Result.Author('Wei-Cheng Tseng'), arxiv.Result.Author('Shang-Wen Li'), arxiv.Result.Author('Hung-yi Lee')]","Speech representations learned from Self-supervised learning (SSL) models
have been found beneficial for various speech processing tasks. However,
utilizing SSL representations usually requires fine-tuning the pre-trained
models or designing task-specific downstream models and loss functions, causing
much memory usage and human labor. On the other hand, prompting in Natural
Language Processing (NLP) is an efficient and widely used technique to leverage
pre-trained language models (LMs). Nevertheless, such a paradigm is little
studied in the speech community. We report in this paper the first exploration
of the prompt tuning paradigm for speech processing tasks based on Generative
Spoken Language Model (GSLM). Experiment results show that the prompt tuning
technique achieves competitive performance in speech classification tasks with
fewer trainable parameters than fine-tuning specialized downstream models. We
further study the technique in challenging sequence generation tasks. Prompt
tuning also demonstrates its potential, while the limitation and possible
research directions are discussed in this paper.",-0.29134512,-0.1634855,0.5403116,A
