Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
13,"However, there are no
such public datasets of other imaging modalities available for further research
and development of AI solutions for multi-modality datasets.","Other than DFU images, researchers have used
other imaging modalities such as infrared, Magnetic Resonance Imaging (MRI),
and ﬂuorescence imaging for the management of DFU.","In many research studies, thermal infrared imaging has been proven to be a
useful technique in the clinical management of DFU.",2022-01-01 10:45:07+00:00,Development of Diabetic Foot Ulcer Datasets: An Overview,eess.IV,"['eess.IV', 'cs.CV']","[arxiv.Result.Author('Moi Hoon Yap'), arxiv.Result.Author('Connah Kendrick'), arxiv.Result.Author('Neil D. Reeves'), arxiv.Result.Author('Manu Goyal'), arxiv.Result.Author('Joseph M. Pappachan'), arxiv.Result.Author('Bill Cassidy')]","This paper provides conceptual foundation and procedures used in the
development of diabetic foot ulcer datasets over the past decade, with a
timeline to demonstrate progress. We conduct a survey on data capturing methods
for foot photographs, an overview of research in developing private and public
datasets, the related computer vision tasks (detection, segmentation and
classification), the diabetic foot ulcer challenges and the future direction of
the development of the datasets. We report the distribution of dataset users by
country and year. Our aim is to share the technical challenges that we
encountered together with good practices in dataset development, and provide
motivation for other researchers to participate in data sharing in this domain.",-0.16526942,0.004547038,0.17237142,C
123,"patches with a sliding stride of 12 × 128 × 128 to get the           To further study the impact of domain difference on the
prediction for the whole CT. Data augmentation in the training       performance of transfer learning, we conduct an ablation study
stage includes random cropping, ﬂipping and re-scaling, and          on our proposed SVD-Net.",Visual comparison of our proposed methods with competing pre-training methods and training from scratch on the LITS dataset.,"Speciﬁcally, by keeping the pre-
no test-time augmentation is implemented.",2022-01-05 03:11:21+00:00,Advancing 3D Medical Image Analysis with Variable Dimension Transform based Supervised 3D Pre-training,eess.IV,"['eess.IV', 'cs.CV']","[arxiv.Result.Author('Shu Zhang'), arxiv.Result.Author('Zihao Li'), arxiv.Result.Author('Hong-Yu Zhou'), arxiv.Result.Author('Jiechao Ma'), arxiv.Result.Author('Yizhou Yu')]","The difficulties in both data acquisition and annotation substantially
restrict the sample sizes of training datasets for 3D medical imaging
applications. As a result, constructing high-performance 3D convolutional
neural networks from scratch remains a difficult task in the absence of a
sufficient pre-training parameter. Previous efforts on 3D pre-training have
frequently relied on self-supervised approaches, which use either predictive or
contrastive learning on unlabeled data to build invariant 3D representations.
However, because of the unavailability of large-scale supervision information,
obtaining semantically invariant and discriminative representations from these
learning frameworks remains problematic. In this paper, we revisit an
innovative yet simple fully-supervised 3D network pre-training framework to
take advantage of semantic supervisions from large-scale 2D natural image
datasets. With a redesigned 3D network architecture, reformulated natural
images are used to address the problem of data scarcity and develop powerful 3D
representations. Comprehensive experiments on four benchmark datasets
demonstrate that the proposed pre-trained models can effectively accelerate
convergence while also improving accuracy for a variety of 3D medical imaging
tasks such as classification, segmentation and detection. In addition, as
compared to training from scratch, it can save up to 60% of annotation efforts.
On the NIH DeepLesion dataset, it likewise achieves state-of-the-art detection
performance, outperforming earlier self-supervised and fully-supervised
pre-training approaches, as well as methods that do training from scratch. To
facilitate further development of 3D medical models, our code and pre-trained
model weights are publicly available at https://github.com/urmagicsmine/CSPR.",-0.018299397,0.27143386,0.09932627,A
245,"Our plug-and-play GP-module
                                                                    can also be applied to existing segmentation methods to fur-
                                                                    ther improve their performance with fewer parameters and
                                                                    fewer FLOPs, which shed the light on the further research.","We test our method on three dataset
                                                                    and visualize several feature maps to proof the effectiveness
                                                                    and efﬁciency of our method.",4.3.,2022-01-07 19:53:15+00:00,GPU-Net: Lightweight U-Net with more diverse features,eess.IV,"['eess.IV', 'cs.CV']","[arxiv.Result.Author('Heng Yu'), arxiv.Result.Author('Di Fan'), arxiv.Result.Author('Weihu Song')]","Image segmentation is an important task in the medical image field and many
convolutional neural networks (CNNs) based methods have been proposed, among
which U-Net and its variants show promising performance. In this paper, we
propose GP-module and GPU-Net based on U-Net, which can learn more diverse
features by introducing Ghost module and atrous spatial pyramid pooling (ASPP).
Our method achieves better performance with more than 4 times fewer parameters
and 2 times fewer FLOPs, which provides a new potential direction for future
research. Our plug-and-play module can also be applied to existing segmentation
methods to further improve their performance.",0.10576069,0.044838175,-0.20934397,A
423,"However, it is beyond the scope of this work and
   The penalty function formulated for this work consists of              calls for further research.",DISCUSSION                                 problems.,L1-norm continuity term and L2-norm data term.,2022-01-12 08:58:19+00:00,ALTRUIST: Alternating Direction Method of Multipliers for Total Variation Regularization in Ultrasound Strain Imaging,eess.IV,"['eess.IV', 'physics.med-ph']","[arxiv.Result.Author('Md Ashikuzzaman'), arxiv.Result.Author('Hassan Rivaz')]","Ultrasound strain imaging, which delineates mechanical properties to detect
tissue abnormalities, involves estimating the time-delay between two
radio-frequency (RF) frames collected before and after tissue deformation. The
existing regularized optimization-based time-delay estimation (TDE) techniques
suffer from at least one of the following drawbacks: 1) The regularizer is not
aligned with tissue deformation physics due to taking only the first-order
displacement derivative into account. 2) The L2-norm of the displacement
derivatives, which oversmoothes the estimated time-delay, is utilized as the
regularizer. 3) The absolute value function's sharp corner should be
approximated by a smooth function to facilitate the optimization of L1-norm.
Herein, to resolve these shortcomings, we propose employing the alternating
direction method of multipliers (ADMM) for optimizing a novel cost function
consisting of L2-norm data fidelity term, L1-norm first- and second-order
spatial continuity terms. ADMM empowers the proposed algorithm to use different
techniques for optimizing different parts of the cost function and obtain
high-contrast strain images with smooth background and sharp boundaries. We
name our technique ADMM for totaL variaTion RegUlarIzation in ultrasound STrain
imaging (ALTRUIST). In extensive simulation, phantom, and in vivo experiments,
ALTRUIST substantially outperforms GLUE, OVERWIND, and L1-SOUL, three
recently-published TDE algorithms, both qualitatively and quantitatively.
ALTRUIST yields 89%, 88%, and 26% improvements of contrast-to-noise ratio over
L1-SOUL for simulated, phantom, and in vivo liver cancer datasets,
respectively. We will publish the ALTRUIST code after the acceptance of this
paper at http://code.sonography.ai.",0.17004293,-0.14827359,-0.15696886,B
424,"However, these modiﬁcations
are beyond the scope of this work and call for further research.","Another option is to acquire RF frames
with known loading conditions and incorporate FEM in an al-
ternating optimization process.","This work adopts a manual parameter-selection scheme to
optimize the performance of ALTRUIST.",2022-01-12 08:58:19+00:00,Ultrasound Strain Imaging using ADMM,eess.IV,"['eess.IV', 'physics.med-ph']","[arxiv.Result.Author('Md Ashikuzzaman'), arxiv.Result.Author('Hassan Rivaz')]","Ultrasound strain imaging, which delineates mechanical properties to detect
tissue abnormalities, involves estimating the time-delay between two
radio-frequency (RF) frames collected before and after tissue deformation. The
existing regularized optimization-based time-delay estimation (TDE) techniques
suffer from at least one of the following drawbacks: 1) The regularizer is not
aligned with tissue deformation physics due to taking only the first-order
displacement derivative into account. 2) The L2-norm of the displacement
derivatives, which oversmooths the estimated time-delay, is utilized as the
regularizer. 3) The absolute value function should be approximated by a smooth
function to facilitate the optimization of L1-norm. Herein, to resolve these
shortcomings, we propose employing the alternating direction method of
multipliers (ADMM) for optimizing a novel cost function consisting of L2-norm
data fidelity term and L1-norm first- and second-order spatial continuity
terms. ADMM empowers the proposed algorithm to use different techniques for
optimizing different parts of the cost function and obtain high-contrast strain
images with smooth background and sharp boundaries. We name our technique ADMM
for totaL variaTion RegUlarIzation in ultrasound STrain imaging (ALTRUIST). In
extensive simulation, phantom, and in vivo experiments, ALTRUIST substantially
outperforms GLUE, OVERWIND, and L1-SOUL, three recently-published TDE
algorithms, both qualitatively and quantitatively. ALTRUIST yields 118%, 104%,
and 72% improvements of contrast-to-noise ratio over L1-SOUL for simulated,
phantom, and in vivo liver cancer datasets, respectively. We will publish the
ALTRUIST code after the acceptance of this paper at http://code.sonography.ai.",0.3230493,-0.114161715,-0.14409325,B
879,"Improving
marker localization might need changes to the forward model         Additionally, we set the x and y components of the deforma-
used, an aspect that needs further research; however, in our        tion ﬁeld to zero.","These small weighted
markers were removed with a further thresholding step, where         Dt,z(r, P ) = (P0 + P1x + P2y + P3x2 + P4y2 + P5xy)t (31)
markers with weights less than 0.1 were discarded.","It is probable that our assumed deformation
experiments, marker localization did not have a signiﬁcant          ﬁeld was insufﬁcient to model sample deformation in the
effect on deformation estimation accuracy, as seen from the         experimental data.",2022-01-21 14:03:32+00:00,SparseAlign: A Super-Resolution Algorithm for Automatic Marker Localization and Deformation Estimation in Cryo-Electron Tomography,eess.IV,"['eess.IV', 'cs.CV', 'cs.NA', 'math.NA', 'math.OC', 'q-bio.QM', '65K10, 65M32']","[arxiv.Result.Author('Poulami Somanya Ganguly'), arxiv.Result.Author('Felix Lucka'), arxiv.Result.Author('Holger Kohr'), arxiv.Result.Author('Erik Franken'), arxiv.Result.Author('Hermen Jan Hupkes'), arxiv.Result.Author('K Joost Batenburg')]","Tilt-series alignment is crucial to obtaining high-resolution reconstructions
in cryo-electron tomography. Beam-induced local deformation of the sample is
hard to estimate from the low-contrast sample alone, and often requires
fiducial gold bead markers. The state-of-the-art approach for deformation
estimation uses (semi-)manually labelled marker locations in projection data to
fit the parameters of a polynomial deformation model. Manually-labelled marker
locations are difficult to obtain when data are noisy or markers overlap in
projection data. We propose an alternative mathematical approach for
simultaneous marker localization and deformation estimation by extending a
grid-free super-resolution algorithm first proposed in the context of
single-molecule localization microscopy. Our approach does not require labelled
marker locations; instead, we use an image-based loss where we compare the
forward projection of markers with the observed data. We equip this marker
localization scheme with an additional deformation estimation component and
solve for a reduced number of deformation parameters. Using extensive numerical
studies on marker-only samples, we show that our approach automatically finds
markers and reliably estimates sample deformation without labelled marker data.
We further demonstrate the applicability of our approach for a broad range of
model mismatch scenarios, including experimental electron tomography data of
gold markers on ice.",0.0472762,-0.16467445,0.11386917,C
928,"Considering the need for a critical
approach to chest classiﬁcation and analysis of biases[23],[22],[20], we carry out
further research into the analysis of the deep learning model decisions using the
COVIDx dataset.","They create a map of lung areas important for COVID-19 detec-
tion and claim a production-ready solution.","Recently, a new patch-based learning technique [3], [10], [25] emerged as a
successful method for robust model learning and generalization.",2022-01-23 20:35:45+00:00,POTHER: Patch-Voted Deep Learning-based Chest X-ray Bias Analysis for COVID-19 Detection,eess.IV,"['eess.IV', 'cs.CV', 'cs.LG']","[arxiv.Result.Author('Tomasz Szczepański'), arxiv.Result.Author('Arkadiusz Sitek'), arxiv.Result.Author('Tomasz Trzciński'), arxiv.Result.Author('Szymon Płotka')]","A critical step in the fight against COVID-19, which continues to have a
catastrophic impact on peoples lives, is the effective screening of patients
presented in the clinics with severe COVID-19 symptoms. Chest radiography is
one of the promising screening approaches. Many studies reported detecting
COVID-19 in chest X-rays accurately using deep learning. A serious limitation
of many published approaches is insufficient attention paid to explaining
decisions made by deep learning models. Using explainable artificial
intelligence methods, we demonstrate that model decisions may rely on
confounding factors rather than medical pathology. After an analysis of
potential confounding factors found on chest X-ray images, we propose a novel
method to minimise their negative impact. We show that our proposed method is
more robust than previous attempts to counter confounding factors such as ECG
leads in chest X-rays that often influence model classification decisions. In
addition to being robust, our method achieves results comparable to the
state-of-the-art. The source code and pre-trained weights are publicly
available (https://github.com/tomek1911/POTHER).",-0.28895766,0.44306034,-0.10442303,A_centroid
929,"Considering the need for a critical
approach to chest classiﬁcation and analysis of biases[23],[22],[20], we carry out
further research into the analysis of the deep learning model decisions using the
COVIDx dataset.","They create a map of lung areas important for COVID-19 detec-
tion and claim a production-ready solution.","Recently, a new patch-based learning technique [3], [10], [25] emerged as a
successful method for robust model learning and generalization.",2022-01-23 20:35:45+00:00,POTHER: Patch-Voted Deep Learning-based Chest X-ray Bias Analysis for COVID-19 Detection,eess.IV,"['eess.IV', 'cs.CV', 'cs.LG']","[arxiv.Result.Author('Tomasz Szczepański'), arxiv.Result.Author('Arkadiusz Sitek'), arxiv.Result.Author('Tomasz Trzciński'), arxiv.Result.Author('Szymon Płotka')]","A critical step in the fight against COVID-19, which continues to have a
catastrophic impact on peoples lives, is the effective screening of patients
presented in the clinics with severe COVID-19 symptoms. Chest radiography is
one of the promising screening approaches. Many studies reported detecting
COVID-19 in chest X-rays accurately using deep learning. A serious limitation
of many published approaches is insufficient attention paid to explaining
decisions made by deep learning models. Using explainable artificial
intelligence methods, we demonstrate that model decisions may rely on
confounding factors rather than medical pathology. After an analysis of
potential confounding factors found on chest X-ray images, we propose a novel
method to minimise their negative impact. We show that our proposed method is
more robust than previous attempts to counter confounding factors such as ECG
leads in chest X-rays that often influence model classification decisions. In
addition to being robust, our method achieves results comparable to the
state-of-the-art. The source code and pre-trained weights are publicly
available (https://github.com/tomek1911/POTHER).",-0.28895766,0.44306034,-0.10442303,A
930,"Considering the need for a critical
approach to chest classiﬁcation and analysis of biases[23],[22],[20], we carry out
further research into the analysis of the deep learning model decisions using the
COVIDx dataset.","They create a map of lung areas important for COVID-19 detec-
tion and claim a production-ready solution.","Recently, a new patch-based learning technique [3], [10], [25] emerged as a
successful method for robust model learning and generalization.",2022-01-23 20:35:45+00:00,POTHER: Patch-Voted Deep Learning-based Chest X-ray Bias Analysis for COVID-19 Detection,eess.IV,"['eess.IV', 'cs.CV', 'cs.LG']","[arxiv.Result.Author('Tomasz Szczepański'), arxiv.Result.Author('Arkadiusz Sitek'), arxiv.Result.Author('Tomasz Trzciński'), arxiv.Result.Author('Szymon Płotka')]","A critical step in the fight against COVID-19, which continues to have a
catastrophic impact on peoples lives, is the effective screening of patients
presented in the clinics with severe COVID-19 symptoms. Chest radiography is
one of the promising screening approaches. Many studies reported detecting
COVID-19 in chest X-rays accurately using deep learning. A serious limitation
of many published approaches is insufficient attention paid to explaining
decisions made by deep learning models. Using explainable artificial
intelligence methods, we demonstrate that model decisions may rely on
confounding factors rather than medical pathology. After an analysis of
potential confounding factors found on chest X-ray images, we propose a novel
method to minimise their negative impact. We show that our proposed method is
more robust than previous attempts to counter confounding factors such as ECG
leads in chest X-rays that often influence model classification decisions. In
addition to being robust, our method achieves results comparable to the
state-of-the-art. The source code and pre-trained weights are publicly
available at (https://github.com/tomek1911/POTHER).",-0.28895766,0.44306034,-0.10442303,A
931,"Considering the need for a critical
approach to chest classiﬁcation and analysis of biases[23],[22],[20], we carry out
further research into the analysis of the deep learning model decisions using the
COVIDx dataset.","They create a map of lung areas important for COVID-19 detec-
tion and claim a production-ready solution.","Recently, a new patch-based learning technique [3], [10], [25] emerged as a
successful method for robust model learning and generalization.",2022-01-23 20:35:45+00:00,POTHER: Patch-Voted Deep Learning-Based Chest X-ray Bias Analysis for COVID-19 Detection,eess.IV,"['eess.IV', 'cs.CV', 'cs.LG']","[arxiv.Result.Author('Tomasz Szczepański'), arxiv.Result.Author('Arkadiusz Sitek'), arxiv.Result.Author('Tomasz Trzciński'), arxiv.Result.Author('Szymon Płotka')]","A critical step in the fight against COVID-19, which continues to have a
catastrophic impact on peoples lives, is the effective screening of patients
presented in the clinics with severe COVID-19 symptoms. Chest radiography is
one of the promising screening approaches. Many studies reported detecting
COVID-19 in chest X-rays accurately using deep learning. A serious limitation
of many published approaches is insufficient attention paid to explaining
decisions made by deep learning models. Using explainable artificial
intelligence methods, we demonstrate that model decisions may rely on
confounding factors rather than medical pathology. After an analysis of
potential confounding factors found on chest X-ray images, we propose a novel
method to minimise their negative impact. We show that our proposed method is
more robust than previous attempts to counter confounding factors such as ECG
leads in chest X-rays that often influence model classification decisions. In
addition to being robust, our method achieves results comparable to the
state-of-the-art. The source code and pre-trained weights are publicly
available at (https://github.com/tomek1911/POTHER).",-0.28895766,0.44306034,-0.10442303,A
