Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
228,"As a con-                                                                                        23
sequence and if conﬁrmed by further study, IP2 could
indeed house one, common multipurpose detector serv-         Fig.","The consid-
conﬁgurations in the same interaction point.","24 Side view of a ﬁrst design of the LHeC detector
ing for all of these, mostly related physics programs, of    for both eh and hh collisions, where the detector coverage
ep, pp, eA, pA and AA interactions, with high preci-         of the backward (electron) direction is extended to match
sion and large acceptance, and the unique advantage          that for the forward (hadron) direction.",2022-01-07 12:48:50+00:00,An Experiment for Electron-Hadron Scattering at the LHC,hep-ex,"['hep-ex', 'hep-ph', 'nucl-ex']","[arxiv.Result.Author('K. D. J. André'), arxiv.Result.Author('L. Aperio Bella'), arxiv.Result.Author('N. Armesto'), arxiv.Result.Author('S. A. Bogacz'), arxiv.Result.Author('D. Britzger'), arxiv.Result.Author('O. S. Brüning'), arxiv.Result.Author(""M. D'Onofrio""), arxiv.Result.Author('E. G. Ferreiro'), arxiv.Result.Author('O. Fischer'), arxiv.Result.Author('C. Gwenlan'), arxiv.Result.Author('B. J. Holzer'), arxiv.Result.Author('M. Klein'), arxiv.Result.Author('U. Klein'), arxiv.Result.Author('F. Kocak'), arxiv.Result.Author('P. Kostka'), arxiv.Result.Author('M. Kumar'), arxiv.Result.Author('B. Mellado'), arxiv.Result.Author('J. G. Milhano'), arxiv.Result.Author('P. R. Newman'), arxiv.Result.Author('K. Piotrzkowski'), arxiv.Result.Author('A. Polini'), arxiv.Result.Author('X. Ruan'), arxiv.Result.Author('S. Russenschuk'), arxiv.Result.Author('C. Schwanenberger'), arxiv.Result.Author('E. Vilella-Figueras'), arxiv.Result.Author('Y. Yamazaki')]","Novel considerations are presented on the physics, apparatus and accelerator
designs for a future, luminous, energy frontier electron-hadron ($eh$)
scattering experiment at the LHC in the thirties for which key physics topics
and their relation to the hadron-hadron HL-LHC physics programme are discussed.
Demands are derived set by these physics topics on the design of the LHeC
detector, a corresponding update of which is described. Optimisations on the
accelerator design, especially the interaction region (IR), are presented.
Initial accelerator considerations indicate that a common IR is possible to be
built which alternately could serve $eh$ and $hh$ collisions while other
experiments would stay on $hh$ in either condition. A forward-backward
symmetrised option of the LHeC detector is sketched which would permit
extending the LHeC physics programme to also include aspects of hadron-hadron
physics. The vision of a joint $eh$ and $hh$ physics experiment is shown to
open new prospects for solving fundamental problems of high energy heavy-ion
physics including the partonic structure of nuclei and the emergence of
hydrodynamics in quantum field theory while the genuine TeV scale DIS physics
is of unprecedented rank.",-0.05855537,0.1283864,0.057614062,C
808,Jets with pT > 30 GeV and |η| < 2.4 are selected for further study.,"Jets are calibrated in simula-
tion and separately in data, accounting for energy depositions from pileup and from imprecise
detector response [52].","To
prevent overlap between selected jets and selected leptons, jets that are found within a cone
of ∆R < 0.4 around any of the selected leptons are removed from the selected set of jets.",2022-01-19 20:53:29+00:00,Search for charged-lepton flavor violation in top quark production and decay in pp collisions at $\sqrt{s}$ = 13 TeV,hep-ex,['hep-ex'],[arxiv.Result.Author('CMS Collaboration')],">Results are presented from a search for charged-lepton flavor violating
(CLFV) interactions in top quark production and decay in pp collisions at a
center-of-mass energy of 13 TeV. The events are required to contain one
oppositely charged electron-muon pair in the final state, along with at least
one jet identified as originating from a bottom quark. The data correspond to
an integrated luminosity of 138 fb$^{-1}$, collected by the CMS experiment at
the LHC. This analysis includes both the production (q $\to$ e$\mu$t) and decay
(t $\to$ e$\mu$q) modes of the top quark through CLFV interactions, with q
referring to an u or c quark. These interactions are parametrized using an
effective field theory approach. With no significant excess over the standard
model expectation, the results are interpreted in terms of vector-, scalar-,
and tensor-like CLFV four-fermion effective interactions. Finally, observed
exclusion limits are set at 95% confidence levels on the respective branching
fractions of a top quark to an e$\mu$ pair and an up (charm) quark of 0.13
$\times$ 10$^{-6}$ (1.31 $\times$ 10$^{-6}$), 0.07 $\times$ 10$^{-6}$ (0.89
$\times$ 10$^{-6}$), and 0.25 $\times$ 10$^{-6}$ (2.59 $\times$ 10$^{-6}$) for
vector, scalar, and tensor CLFV interactions, respectively.",0.10496893,0.18451236,0.021701809,C
809,Jets with pT > 30 GeV and |η| < 2.4 are selected for further study.,"Jets are calibrated in simula-
tion and separately in data, accounting for energy depositions from pileup and from imprecise
detector response [53].","To
prevent overlap between selected jets and selected leptons, jets that are found within a cone
of ∆R < 0.4 around any of the selected leptons are removed from the selected set of jets.",2022-01-19 20:53:29+00:00,Search for charged-lepton flavor violation in top quark production and decay in pp collisions at $\sqrt{s} =$ 13 TeV,hep-ex,['hep-ex'],[arxiv.Result.Author('CMS Collaboration')],"Results are presented from a search for charged-lepton flavor violating
(CLFV) interactions in top quark production and decay in pp collisions at a
center-of-mass energy of 13 TeV. The events are required to contain one
oppositely charged electron-muon pair in the final state, along with at least
one jet identified as originating from a bottom quark. The data correspond to
an integrated luminosity of 138 fb$^{-1}$, collected by the CMS experiment at
the LHC. This analysis includes both the production (q $\to$ e$\mu$t) and decay
(t $\to$ e$\mu$q) modes of the top quark through CLFV interactions, with q
referring to a u or c quark. These interactions are parametrized using an
effective field theory approach. With no significant excess over the standard
model expectation, the results are interpreted in terms of vector-, scalar-,
and tensor-like CLFV four-fermion effective interactions. Finally, observed
exclusion limits are set at 95% confidence levels on the respective branching
fractions of a top quark to an e$\mu$ pair and an up (charm) quark of 0.13
$\times$ 10$^{-6}$ (1.31 $\times$ 10$^{-6}$), 0.07 $\times$ 10$^{-6}$ (0.89
$\times$ 10$^{-6}$), and 0.25 $\times$ 10$^{-6}$ (2.59 $\times$ 10$^{-6}$) for
vector, scalar, and tensor CLFV interactions, respectively.",0.10666979,0.18421611,0.020198215,C
831,"This will allow to test the

                                                          4
MEG II experiment status and prospect  Manuel Meucci

subdetectors fully equipped for the ﬁrst time in the 2021 run and to further study the performance
of the whole detector.","The full readout electronics was installed during the ﬁrst half of 2021, followed by the com-
plete Trigger and Data AcQuisition (TDAQ) system commissioning.","The ﬁnal goal of this run is to take the ﬁrst physics data of the experiment
and to test the preliminary setup for the X(17) measurement [11].",2022-01-20 14:28:33+00:00,MEG II experiment status and prospect,hep-ex,"['hep-ex', 'physics.ins-det']",[arxiv.Result.Author('Manuel Meucci')],"The MEG II experiment at Paul Scherrer Institute (PSI) in Switzerland aims to
achieve a sensitivity of $6\times10^{-14}$ on the charged lepton flavor
violating decay $\mu^+\to e^+\gamma$. The current upper limit on this decay is
$4.2\times10^{-13}$ at 90% Confidence Level (CL), set by the first phase of
MEG. This result was achieved using the PSI muon beam at a reduced intensity,
$3\times10^7~\mu^+/$s, to keep the background at a manageable level. The
upgraded detectors in MEG~II can cope with a higher intensity, thus the
experiment is expected to run at a $7\times10^7~\mu^+/$s intensity. The new low
mass, single volume, high granularity tracker, together with a new highly
segmented timing counter, guarantees better resolutions for the positron
detection. Moreover, the replacement of the old PhotoMultiplier Tubes (PMTs)
with Multi-Pixel Photon Counters (MPPCs) in the inner face of the liquid xenon
photon detector improved its performance. The details of the upgraded detectors
and their present status will be discussed, together with the latest results
from last year's pre-engineering run and the perspective for the 2021 run, the
first with all the detectors and electronics installed.",-0.0716974,0.22814646,0.07460223,C
832,"The goal of the 2021 run is to repeat the CEX calibration with the full
electronics and to further study the PDE degradation to optimize the solution to adopt for the full
MEG II data taking period.","In the same run the ﬁrst CEX calibration took place, and it was possible to estimate the energy
and absolute time resolution of the subdetector at 𝐸𝛾 = 55 MeV using the small amount of read
out channels available.","The RDC proved to be able to eﬃciently tag RMD events during 2020 run and is then ready to
take physics data in 2021.",2022-01-20 14:28:33+00:00,MEG II experiment status and prospect,hep-ex,"['hep-ex', 'physics.ins-det']",[arxiv.Result.Author('Manuel Meucci')],"The MEG II experiment at Paul Scherrer Institute (PSI) in Switzerland aims to
achieve a sensitivity of $6\times10^{-14}$ on the charged lepton flavor
violating decay $\mu^+\to e^+\gamma$. The current upper limit on this decay is
$4.2\times10^{-13}$ at 90% Confidence Level (CL), set by the first phase of
MEG. This result was achieved using the PSI muon beam at a reduced intensity,
$3\times10^7~\mu^+/$s, to keep the background at a manageable level. The
upgraded detectors in MEG~II can cope with a higher intensity, thus the
experiment is expected to run at a $7\times10^7~\mu^+/$s intensity. The new low
mass, single volume, high granularity tracker, together with a new highly
segmented timing counter, guarantees better resolutions for the positron
detection. Moreover, the replacement of the old PhotoMultiplier Tubes (PMTs)
with Multi-Pixel Photon Counters (MPPCs) in the inner face of the liquid xenon
photon detector improved its performance. The details of the upgraded detectors
and their present status will be discussed, together with the latest results
from last year's pre-engineering run and the perspective for the 2021 run, the
first with all the detectors and electronics installed.",-0.05669622,0.06014973,0.0450717,C
1369,"In particular, we may suggest further research directions:
(1) real-world datasets are imbalanced, so either self-supervised learning, class- or mass-speciﬁc data augmentation,
or (parametric) generative models may provide a major improvement in classiﬁcation performance; (2) the signal is
generated at few discrete mass hypotheses, what about parametrizing on the whole, continuous mass range?","We believe more
properties and extensions to what is presented here to exist.","Lastly, (3)

                                                         14
              Improving Parametric Neural Networks                                IN PREPARATION

              Model                              Mass (GeV)                Average (%)
                  mA Distribution
Kind                               500 750 1000 1250 1500 AUC σratio

    pNN       identical (sampled)  76.65  76.66  93.93       97.92  98.93  88.82  83.48
 pNN (full)   identical (sampled)  73.77  74.08  88.06       92.37  89.14  88.36  84.84
Afﬁne (full)  identical (sampled)  76.88  73.69  93.85       98.21  99.17  90.50  85.01
                                   74.30  75.21  88.40       93.58  92.73
                                   76.20  84.68  94.87       97.87  98.89
                                   73.96  80.26  89.03       92.75  89.05

Table 4: Interpolation on HEPMASS-IMB: the missing hypotheses are M¯ = {750, 1000, 1250}.",2022-02-01 14:18:43+00:00,Improving Parametric Neural Networks for High-Energy Physics (and Beyond),hep-ex,"['hep-ex', 'cs.LG']","[arxiv.Result.Author('Luca Anzalone'), arxiv.Result.Author('Tommaso Diotalevi'), arxiv.Result.Author('Daniele Bonacorsi')]","Signal-background classification is a central problem in High-Energy Physics,
that plays a major role for the discovery of new fundamental particles. A
recent method -- the Parametric Neural Network (pNN) -- leverages multiple
signal mass hypotheses as an additional input feature to effectively replace a
whole set of individual classifier, each providing (in principle) the best
response for a single mass hypothesis. In this work we aim at deepening the
understanding of pNNs in light of real-world usage. We discovered several
peculiarities of parametric networks, providing intuition, metrics, and
guidelines to them. We further propose an alternative parametrization scheme,
resulting in a new parametrized neural network architecture: the AffinePNN;
along with many other generally applicable improvements. Finally, we
extensively evaluate our models on the HEPMASS dataset, along its imbalanced
version (called HEPMASS-IMB) we provide here for the first time to further
validate our approach. Provided results are in terms of the impact of the
proposed design decisions, classification performance, and interpolation
capability as well.",0.7636901,-0.33629715,-0.17408544,A
1370,"In particular, we may suggest further research directions:
(1) real-world datasets are imbalanced, so either self-supervised learning, class- or mass-speciﬁc data augmentation,
or (parametric) generative models may provide a major improvement in classiﬁcation performance; (2) the signal is
generated at few discrete mass hypotheses, what about parametrizing on the whole, continuous mass range?","We believe more
properties and extensions to what is presented here to exist.","Lastly, (3)

                                                         14
              Improving Parametric Neural Networks                                IN PREPARATION

              Model                              Mass (GeV)                Average (%)
                  mA Distribution
Kind                               500 750 1000 1250 1500 AUC σratio

    pNN       identical (sampled)  76.65  76.66  93.93       97.92  98.93  88.82  83.48
 pNN (full)   identical (sampled)  73.77  74.08  88.06       92.37  89.14  88.36  84.84
Afﬁne (full)  identical (sampled)  76.88  73.69  93.85       98.21  99.17  90.50  85.01
                                   74.30  75.21  88.40       93.58  92.73
                                   76.20  84.68  94.87       97.87  98.89
                                   73.96  80.26  89.03       92.75  89.05

Table 4: Interpolation on HEPMASS-IMB: the missing hypotheses are M¯ = {750, 1000, 1250}.",2022-02-01 14:18:43+00:00,Improving Parametric Neural Networks for High-Energy Physics (and Beyond),hep-ex,"['hep-ex', 'cs.LG']","[arxiv.Result.Author('Luca Anzalone'), arxiv.Result.Author('Tommaso Diotalevi'), arxiv.Result.Author('Daniele Bonacorsi')]","Signal-background classification is a central problem in High-Energy Physics,
that plays a major role for the discovery of new fundamental particles. A
recent method -- the Parametric Neural Network (pNN) -- leverages multiple
signal mass hypotheses as an additional input feature to effectively replace a
whole set of individual classifier, each providing (in principle) the best
response for a single mass hypothesis. In this work we aim at deepening the
understanding of pNNs in light of real-world usage. We discovered several
peculiarities of parametric networks, providing intuition, metrics, and
guidelines to them. We further propose an alternative parametrization scheme,
resulting in a new parametrized neural network architecture: the AffinePNN;
along with many other generally applicable improvements. Finally, we
extensively evaluate our models on the HEPMASS dataset, along its imbalanced
version (called HEPMASS-IMB) we provide here for the first time to further
validate our approach. Provided results are in terms of the impact of the
proposed design decisions, classification performance, and interpolation
capability as well.",0.7636901,-0.33629715,-0.17408544,A
1371,"In particular, we may suggest further research directions:
(1) real-world datasets are imbalanced, so either self-supervised learning, class- or mass-speciﬁc data augmentation,
or (parametric) generative models may provide a major improvement in classiﬁcation performance; (2) the signal is
generated at few discrete mass hypotheses, what about parametrizing on the whole, continuous mass range?","We believe more
properties and extensions to what is presented here to exist.","Lastly, (3)
the output of a pNN is a single number, why not letting the network output or discover a classiﬁcation rule that can be
easily interpreted by physicists to further increase their knowledge about a certain phenomena?",2022-02-01 14:18:43+00:00,Improving Parametric Neural Networks for High-Energy Physics (and Beyond),hep-ex,"['hep-ex', 'cs.LG']","[arxiv.Result.Author('Luca Anzalone'), arxiv.Result.Author('Tommaso Diotalevi'), arxiv.Result.Author('Daniele Bonacorsi')]","Signal-background classification is a central problem in High-Energy Physics,
that plays a major role for the discovery of new fundamental particles. A
recent method -- the Parametric Neural Network (pNN) -- leverages multiple
signal mass hypotheses as an additional input feature to effectively replace a
whole set of individual classifier, each providing (in principle) the best
response for a single mass hypothesis. In this work we aim at deepening the
understanding of pNNs in light of real-world usage. We discovered several
peculiarities of parametric networks, providing intuition, metrics, and
guidelines to them. We further propose an alternative parametrization scheme,
resulting in a new parametrized neural network architecture: the AffinePNN;
along with many other generally applicable improvements. Finally, we
extensively evaluate our models on the HEPMASS dataset, along its imbalanced
version (called HEPMASS-IMB) we provide here for the first time to further
validate our approach. Provided results are in terms of the impact of the
proposed design decisions, classification performance, and interpolation
capability as well.",0.7185189,-0.24702644,-0.123503774,A_centroid
1372,"In particular, we may suggest further research directions:

        • Real-world datasets are imbalanced, so either self-supervised learning, class- or mass-speciﬁc data augmenta-
          tion, or (parametric) generative models may provide a major improvement in classiﬁcation performance.","We believe more
properties and extensions to what is presented here to exist.","• The signal is generated at few discrete mass hypotheses, what about parametrizing on the whole, continuous
          mass range?",2022-02-01 14:18:43+00:00,Improving Parametric Neural Networks for High-Energy Physics (and Beyond),hep-ex,"['hep-ex', 'cs.LG']","[arxiv.Result.Author('Luca Anzalone'), arxiv.Result.Author('Tommaso Diotalevi'), arxiv.Result.Author('Daniele Bonacorsi')]","Signal-background classification is a central problem in High-Energy Physics
(HEP), that plays a major role for the discovery of new fundamental particles.
A recent method -- the Parametric Neural Network (pNN) -- leverages multiple
signal mass hypotheses as an additional input feature to effectively replace a
whole set of individual classifiers, each providing (in principle) the best
response for the corresponding mass hypothesis. In this work we aim at
deepening the understanding of pNNs in light of real-world usage. We discovered
several peculiarities of parametric networks, providing intuition, metrics, and
guidelines to them. We further propose an alternative parametrization scheme,
resulting in a new parametrized neural network architecture: the AffinePNN;
along with many other generally applicable improvements, like the balanced
training procedure. Finally, we extensively and empirically evaluate our models
on the HEPMASS dataset, along its imbalanced version (called HEPMASS-IMB) we
provide here for the first time, to further validate our approach. Provided
results are in terms of the impact of the proposed design decisions,
classification performance, and interpolation capability, as well.",0.80353796,-0.31565186,-0.13315535,A
1373,"In particular, we may
suggest further research directions:

    • Real-world datasets are imbalanced, so either self-supervised learning, class- or mass-speciﬁc

                                      23
       data augmentation, or (parametric) generative models may provide a major improvement in
       classiﬁcation performance.",We believe more properties and extensions to what is presented here to exist.,"• The signal is generated at few discrete mass hypotheses, what about parametrizing on the
       whole, continuous mass range?",2022-02-01 14:18:43+00:00,Improving Parametric Neural Networks for High-Energy Physics (and Beyond),hep-ex,"['hep-ex', 'cs.LG']","[arxiv.Result.Author('Luca Anzalone'), arxiv.Result.Author('Tommaso Diotalevi'), arxiv.Result.Author('Daniele Bonacorsi')]","Signal-background classification is a central problem in High-Energy Physics
(HEP), that plays a major role for the discovery of new fundamental particles.
A recent method -- the Parametric Neural Network (pNN) -- leverages multiple
signal mass hypotheses as an additional input feature to effectively replace a
whole set of individual classifiers, each providing (in principle) the best
response for the corresponding mass hypothesis. In this work we aim at
deepening the understanding of pNNs in light of real-world usage. We discovered
several peculiarities of parametric networks, providing intuition, metrics, and
guidelines to them. We further propose an alternative parametrization scheme,
resulting in a new parametrized neural network architecture: the AffinePNN;
along with many other generally applicable improvements, like the balanced
training procedure. Finally, we extensively and empirically evaluate our models
on the HEPMASS dataset, along its imbalanced version (called HEPMASS-IMB) we
provide here for the first time, to further validate our approach. Provided
results are in terms of the impact of the proposed design decisions,
classification performance, and interpolation capability, as well.",0.79513574,-0.29250842,-0.12612207,A
