Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
108,"By considering this point, a more

556 reasonable revision of (1.3) would be
           ∂u(∂xt, t) = d11∆u(x, t) + f (u(x, t), v(x, t), u(x, t − σ), v(x, t − σ)) ,
           ∂v(∂xt, t) = d22∆v(x, t) − d21 (v(x, t)ux(x, t − τ ))x + g (u(x, t), v(x, t), u(x, t − σ), v(x, t − σ)) ,

     which needs further research, where σ > 0 is the general delay appears in the reaction term, and τ = σ or

558 τ = σ.

     Acknowledgments

560  The author is grateful to the anonymous referees for their useful suggestions which improve the contents

     of this article.","554  It is also worth mentioning that in this paper, we assume that the memory delay is equal to the general

     delay, but diﬀerent memory delay and general delay are more real.","562 Declarations

     This research did not involve human participants and animals.",2022-01-04 15:28:39+00:00,The spatially homogeneous Hopf bifurcation induced jointly by memory and general delays in a diffusive system,math.AP,['math.AP'],[arxiv.Result.Author('Yehu Lv')],"In this paper, by incorporating the general delay to the reaction term in the
memory-based diffusive system, we propose a diffusive system with memory delay
and general delay (e.g., digestion, gestation, hunting, migration and
maturation delays, etc.). We first derive an algorithm for calculating the
normal form of Hopf bifurcation in a diffusive system with memory and general
delays. The developed algorithm for calculating the normal form can be used to
investigate the direction and stability of Hopf bifurcation. Then, we consider
a diffusive predator-prey model with ratio-dependent Holling type-3 functional
response, which includes with memory and digestion delays. The Hopf bifurcation
analysis without considering digestion delay is first studied, then the Hopf
bifurcation analysis with memory and digestion delays is studied. Furthermore,
by using the developed algorithm for calculating the normal form, the
supercritical and stable spatially homogeneous periodic solutions induced
jointly by memory and general delays are found theoretically. The stable
spatially homogeneous periodic solutions are also found by the numerical
simulations which confirms our analytic result.",0.41513595,-0.21601862,0.3540054,C
109,"It is worth

598 mentioning that when the memory delay and the general delay are diﬀerent, i.e.,
           ∂u(∂xt, t) = d11∆u(x, t) + f (u(x, t), v(x, t), u(x, t − σ), v(x, t − σ)) ,
           ∂v(∂xt, t) = d22∆v(x, t) − d21 (v(x, t)ux(x, t − τ ))x + g (u(x, t), v(x, t), u(x, t − σ), v(x, t − σ)) ,

     which needs further research, where σ > 0 is the general delay, and τ = σ or τ = σ.","In this paper, we assume that the memory delay and the general delay are the same.","600 Acknowledgments

          The author is grateful to the anonymous referees for their useful suggestions which improve the contents
602 of this article.",2022-01-04 15:28:39+00:00,The spatially homogeneous Hopf bifurcation induced jointly by memory and general delays in a diffusive system,math.AP,['math.AP'],[arxiv.Result.Author('Yehu Lv')],"In this paper, by incorporating the general delay to the reaction term in the
memory-based diffusive system, we propose a diffusive system with memory delay
and general delay (e.g., digestion, gestation, hunting, migration and
maturation delays, etc.). We first derive an algorithm for calculating the
normal form of Hopf bifurcation in the proposed system. The developed algorithm
for calculating the normal form of Hopf bifurcation can be used to investigate
the direction and stability of Hopf bifurcation. As a real application, we
consider a diffusive predator-prey model with ratio-dependent Holling type-3
functional response, which includes with memory and gestation delays. The Hopf
bifurcation analysis without gestation delay is first studied, then the Hopf
bifurcation analysis with memory and gestation delays is studied. By using the
developed algorithm for calculating the normal form of Hopf bifurcation, the
supercritical and stable spatially homogeneous periodic solutions induced
jointly by memory and general delays are found. The stable spatially
homogeneous periodic solutions are also found by the numerical simulations
which confirms our analytic result.",0.24035254,-0.23853773,0.41780502,C
110,"It is worth

598 mentioning that when the memory delay and the general delay are diﬀerent, i.e.,
           ∂u(∂xt, t) = d11∆u(x, t) + f (u(x, t), v(x, t), u(x, t − σ), v(x, t − σ)) ,
           ∂v(∂xt, t) = d22∆v(x, t) − d21 (v(x, t)ux(x, t − τ ))x + g (u(x, t), v(x, t), u(x, t − σ), v(x, t − σ)) ,

     which needs further research, where σ > 0 is the general delay, and τ = σ or τ = σ.","In this paper, we assume that the memory delay and the general delay are the same.","600 Acknowledgments

          The author is grateful to the anonymous referees for their useful suggestions which improve the contents
602 of this article.",2022-01-04 15:28:39+00:00,The spatially homogeneous Hopf bifurcation induced jointly by memory and general delays in a diffusive system,math.AP,['math.AP'],[arxiv.Result.Author('Yehu Lv')],"In this paper, by incorporating the general delay to the reaction term in the
memory-based diffusive system, we propose a diffusive system with memory delay
and general delay (e.g., digestion, gestation, hunting, migration and
maturation delays, etc.). We first derive an algorithm for calculating the
normal form of Hopf bifurcation in the proposed system. The developed algorithm
for calculating the normal form of Hopf bifurcation can be used to investigate
the direction and stability of Hopf bifurcation. As a real application, we
consider a diffusive predator-prey model with ratio-dependent Holling type-3
functional response, which includes with memory and gestation delays. The Hopf
bifurcation analysis without gestation delay is first studied, then the Hopf
bifurcation analysis with memory and gestation delays is studied. By using the
developed algorithm for calculating the normal form of Hopf bifurcation, the
supercritical and stable spatially homogeneous periodic solutions induced
jointly by memory and general delays are found. The stable spatially
homogeneous periodic solutions are also found by the numerical simulations
which confirms our analytic result.",0.24035254,-0.23853773,0.41780502,C
668,"• If the unbounded convex domain Ω Rn is a half space, the unique-
                                                    ness fails but all solutions form a one-parameter family, whose graphs
                                                    form a foliation of Ω × R.

                                             This interpretation motivates us to further study the stability of the
                                          Edelen-Wang’s theorem.","Here we would like to interpret the Edelen-Wang’s theorem from the view
                                          of partial diﬀerential equations, and the situation can be divided into two
                                          cases:

                                                 • If the unbounded convex domain Ω Rn is not a half space, the
                                                    Edelen-Wang’s theorem can be understood as the existence and
                                                    uniqueness for solutions of the minimal surface equation in Ω with
                                                    a linear boundary value.","We are going to show that the existence, unique-
                                          ness and foliation structure are preserved even if the linear boundary value
                                          is perturbed by a bounded and uniformly continuous function.",2022-01-17 14:55:00+00:00,Stability of Bernstein type theorem for the minimal surface equation,math.AP,"['math.AP', '35A09, 35B50, 35B53, 35J93, 53A10']","[arxiv.Result.Author('Guosheng Jiang'), arxiv.Result.Author('Zhehui Wang'), arxiv.Result.Author('Jintian Zhu')]","Let $ \Omega \subsetneq \mathbf{R}^n\,(n\geq 2)$ be an unbounded convex
domain. We study the minimal surface equation in $\Omega$ with boundary value
given by the sum of a linear function and a bounded uniformly continuous
function in $ \mathbf{R}^n$. If $ \Omega $ is not a half space, we prove that
the solution is unique. If $ \Omega $ is a half space, we prove that graphs of
all solutions form a foliation of $\Omega\times\mathbf{R}$. This can be viewed
as a stability type theorem for Edelen-Wang's Bernstein type theorem in
\cite{EW2021}. We also establish a comparison principle for the minimal surface
equation in $\Omega$.",-0.22998604,-0.02610901,-0.13706496,B
672,"0

                                         13
To further study the asymptotic expansion of η2, we require the explicit formula of A′, which
is of order |A|3 by (3.5) and (3.6):

            A′ = 2−Ωi ϕ 44 3|A|2A + A3e2iΩt + 3|A|2A¯e−2iΩt + A¯3e−4iΩt + Q5 + E(7), (3.9)

where Q5 is a combination of quintic terms of A and A¯, and E(7) consists of terms of order
O(|A|7) and terms that decay suﬃciently fast.","Via integration by parts, we
have

Bkl = i                      Akl − eiBtAk(0)A¯l(0) +      t                              (3.8)
               B − (k − l)Ω
                                                           eiB(t−s)ei(k−l)Ωs(AkA¯l)′ .","Substitute (3.9) into (3.8), we have the following relation when k + l ≥ 3:

                    i               c
     Bkl = B − (k − l)Ω Akl + B − (k − l)Ω [k(Bk+2,l + 3Bk+1,l+1 + 3Bk,l+2 + Bk−1,l+3)

             −l(Bk+3,l−1 + 3Bk+2,l + 3Bk+1,l+1 + Bk,l+2)] + Bk,l,+4 + E(k9l),                                (3.10)

where  c  =  −1  ϕ  44, Bk,l,+4 is a combination of terms  B      1  )Ω  Bij  ,  i  +  j  =  k  +  l  +  4,  and  E(k9l)
             2Ω                                               −(k−l

consists of terms of order O(|A|9) and terms that decay suﬃciently fast.",2022-01-17 16:03:59+00:00,"Energy transfer, weak resonance, and Fermi's golden rule in Hamiltonian nonlinear Klein-Gordon equations",math.AP,['math.AP'],"[arxiv.Result.Author('Zhen Lei'), arxiv.Result.Author('Jie Liu'), arxiv.Result.Author('Zhaojie Yang')]","This paper focuses on a class of nonlinear Klein-Gordon equations in three
dimensions, which are Hamiltonian and perturbations of the linear Klein-Gordon
equation with potential. In quantum mechanics, metastable states, which last
longer than expected, have been observed. The unperturbed dynamical system has
a bound state with frequency $\Omega$, a spatially localized and time periodic
solution. These metastable states are a consequence of the instability of the
bound state under the nonlinear Fermi's Golden Rule. In 1999, Soffer and
Weinstein began exploring the underlying mathematical instability mechanism
from the bound state to these metastable states in their work \cite{SW1999}.
They found that the rate of energy transfer from discrete to continuum modes
was anomalously slow at $1/(1 + t)^{\frac{1}{4}}$, when the discrete spectrum
was close to the continuous spectrum ($ \sigma_c(\sqrt{H}) = [m, \infty)$,
$3\Omega > m$) of $H= -\Delta + V + m^2 $. Since then, many efforts have been
focused on the mechanism and the rate of energy transfer when $0 < 3\Omega <
m$, where the discrete spectrum is farther from the continuous spectrum of $H$.
  In this study, we explore the decay mechanism of the metastable states by
employing the conservation of energy and the generalized or higher order
Fermi's Golden Rule in the weak resonance regime $0 < 3\Omega < m$, which was
conjectured by Soffer and Weinstein \cite{SW1999}. We further explore the
hidden non-resonance structure of nonlinearities when projected to the
continuous spectrum. Then, along with certain weighted dispersive estimates, we
can obtain the sharp decay rate of the energy transfer from discrete to
continuum modes. This confirms the conjecture raised in Soffer-Weinstein
\cite{SW1999}, where the eigenspace of $H$ is one-dimensional.",0.120960034,-0.082856044,-0.108682506,C
673,"To further study the asymptotic behavior of
A, we introduce the following two ODE type estimates.",Deﬁne γ −Re(b(534)).,Theorem 5.1.,2022-01-17 16:03:59+00:00,"Energy transfer, weak resonance, and Fermi's golden rule in Hamiltonian nonlinear Klein-Gordon equations",math.AP,['math.AP'],"[arxiv.Result.Author('Zhen Lei'), arxiv.Result.Author('Jie Liu'), arxiv.Result.Author('Zhaojie Yang')]","This paper focuses on a class of nonlinear Klein-Gordon equations in three
dimensions, which are Hamiltonian and perturbations of the linear Klein-Gordon
equation with potential. In quantum mechanics, metastable states, which last
longer than expected, have been observed. The unperturbed dynamical system has
a bound state with frequency $\Omega$, a spatially localized and time periodic
solution. These metastable states are a consequence of the instability of the
bound state under the nonlinear Fermi's Golden Rule. In 1999, Soffer and
Weinstein began exploring the underlying mathematical instability mechanism
from the bound state to these metastable states in their work \cite{SW1999}.
They found that the rate of energy transfer from discrete to continuum modes
was anomalously slow at $1/(1 + t)^{\frac{1}{4}}$, when the discrete spectrum
was close to the continuous spectrum ($ \sigma_c(\sqrt{H}) = [m, \infty)$,
$3\Omega > m$) of $H= -\Delta + V + m^2 $. Since then, many efforts have been
focused on the mechanism and the rate of energy transfer when $0 < 3\Omega <
m$, where the discrete spectrum is farther from the continuous spectrum of $H$.
  In this study, we explore the decay mechanism of the metastable states by
employing the conservation of energy and the generalized or higher order
Fermi's Golden Rule in the weak resonance regime $0 < 3\Omega < m$, which was
conjectured by Soffer and Weinstein \cite{SW1999}. We further explore the
hidden non-resonance structure of nonlinearities when projected to the
continuous spectrum. Then, along with certain weighted dispersive estimates, we
can obtain the sharp decay rate of the energy transfer from discrete to
continuum modes. This confirms the conjecture raised in Soffer-Weinstein
\cite{SW1999}, where the eigenspace of $H$ is one-dimensional.",-0.016518071,-0.2556994,-0.1097642,C
829,"We omit a further study on the precise localization of the spectrum of the damped-
wave Baouendi-Grushin operator since this is irrelevant for the sharp resolvent estimate (1.7).","In our setting, in the subelliptic regime the vertical ﬂow plays the role of subprincipal (selfadjoint)
perturbation, and the pseudo-spectrum appears since this vertical ﬂow is transversal to the level sets of
the damping term.","We
refer to [23] for a discussion of this non-selfadjoint phenomenon and for references to one dimensional
examples.",2022-01-20 14:09:25+00:00,Sharp resolvent estimate for the Baouendi-Grushin operator and applications,math.AP,"['math.AP', 'math.OC', 'math.SP']","[arxiv.Result.Author('Victor Arnaiz'), arxiv.Result.Author('Chenmin Sun')]","In this article we study the semiclassical resolvent estimate for the
non-selfadjoint Baouendi-Grushin operator on the two-dimensional torus
$\T^2=\R^2/(2\pi\Z)^2$ with H\""older dampings. The operator is subelliptic
degenerating along the vertical direction at $x=0$. We exhibit three different
situations:
  (i) the damping region verifies the geometric control condition with respect
to both the non-degenerate Hamiltonian flow and the vertical subelliptic flow;
  (ii) the undamped region contains a horizontal strip;
  (iii) the undamped part is a line. In all of these situations, we obtain
sharp resolvent estimates. Consequently, we prove the optimal energy decay rate
for the associated damped waved equations. For (i) and (iii), our results are
in sharp contrast to the Laplace resolvent since the optimal bound is governed
by the quasimodes in the subelliptic regime. While for (ii), the optimality is
governed by the quasimodes in the elliptic regime, and the optimal energy decay
rate is the same as for the classical damped wave equation on $\T^2$.
  Our analysis contains the study of adapted two-microlocal semiclassical
measures, construction of quasimodes and refined Birkhoff normal-form
reductions in different regions of the phase-space. Of independent interest, we
also obtain the propagation theorem for semiclassical measures of quasimodes
microlocalized in the subelliptic regime.",-0.09546838,0.05498527,0.09605734,C
830,"We omit a further study on the precise localization
of the spectrum of the damped-wave Baouendi-Grushin operator since this is irrelevant for the sharp
resolvent estimate (1.7).","In our setting, in the subelliptic regime the vertical ﬂow plays the role of the ﬂow generated by the
subprincipal (selfadjoint) perturbation, and the pseudo-spectrum appears since this vertical ﬂow is
transversal to the level sets of the damping term.","We refer to [25] for a discussion of this non-selfadjoint phenomenon and for
references to one dimensional examples.",2022-01-20 14:09:25+00:00,Sharp resolvent estimate for the Baouendi-Grushin operator and applications,math.AP,"['math.AP', 'math.OC', 'math.SP']","[arxiv.Result.Author('Victor Arnaiz'), arxiv.Result.Author('Chenmin Sun')]","In this article we study the semiclassical resolvent estimate for the
non-selfadjoint Baouendi-Grushin operator on the two-dimensional torus
$\mathbb{T}^2=\mathbb{R}^2/(2\pi\mathbb{Z})^2$ with H\""older dampings. The
operator is subelliptic degenerating along the vertical direction at $x=0$. We
exhibit three different situations:
  (i) the damping region verifies the geometric control condition with respect
to both the non-degenerate Hamiltonian flow and the vertical subelliptic flow;
  (ii) the undamped region contains a horizontal strip;
  (iii) the undamped part is a line. In all of these situations, we obtain
sharp resolvent estimates. Consequently, we prove the optimal energy decay rate
for the associated damped waved equations. For (i) and (iii), our results are
in sharp contrast to the Laplace resolvent since the optimal bound is governed
by the quasimodes in the subelliptic regime. While for (ii), the optimality is
governed by the quasimodes in the elliptic regime, and the optimal energy decay
rate is the same as for the classical damped wave equation on $\mathbb{T}^2$.
  Our analysis contains the study of adapted two-microlocal semiclassical
measures, construction of quasimodes and refined Birkhoff normal-form
reductions in different regions of the phase-space. Of independent interest, we
also obtain the propagation theorem for semiclassical measures of quasimodes
microlocalized in the subelliptic regime.",-0.09747668,0.047729697,0.09887695,C
900,"In this paper, we further study the boundary concentration of the transmission eigen-
functions and extend the related studies in [15, 16] to more general setups.","More intriguingly, the geometric properties have been used to pro-
duce super-resolution imaging schemes for inverse acoustic and electromagnetic scattering
problems [15, 25], artiﬁcial mirage [21], and pseudo surface plasmon resonance [21].","Speciﬁcally,
in [15, 16], the theoretical justiﬁcations are mainly concerned with the case that σ ≡ 1, n
is constant and Ω is smooth and convex, though the general case with variable medium
parameter n and non-convex and non-smooth Ω is numerically investigated.",2022-01-22 06:04:36+00:00,Boundary localization of transmission eigenfunctions in spherically stratified media,math.AP,"['math.AP', 'math-ph', 'math.MP', 'math.SP']","[arxiv.Result.Author('Yan Jiang'), arxiv.Result.Author('Hongyu Liu'), arxiv.Result.Author('Jiachuan Zhang'), arxiv.Result.Author('Kai Zhang')]","Consider the transmission eigenvalue problem for $u \in H^1(\Omega)$ and
$v\in H^1(\Omega)$ associated with $(\Omega; \sigma, \mathbf{n}^2)$, where
$\Omega$ is a ball in $\mathbb{R}^N$, $N=2,3$. If $\sigma$ and $\mathbf{n}$ are
both radially symmetric, namely they are functions of the radial parameter $r$
only, we show that there exists a sequence of transmission eigenfunctions
$\{u_m, v_m\}_{m\in\mathbb{N}}$ associated with $k_m\rightarrow+\infty$ as
$m\rightarrow+\infty$ such that the $L^2$-energies of $v_m$'s are concentrated
around $\partial\Omega$. If $\sigma$ and $\mathbf{n}$ are both constant, we
show the existence of transmission eigenfunctions $\{u_j,
v_j\}_{j\in\mathbb{N}}$ such that both $u_j$ and $v_j$ are localized around
$\partial\Omega$. Our results extend the recent studies in [15,16]. Through
numerics, we also discuss the effects of the medium parameters, namely $\sigma$
and $\mathbf{n}$, on the geometric patterns of the transmission eigenfunctions.",-0.1008911,0.25917628,0.054098062,B
917,"This deﬁnition of learning may be too broad for further study, however,
since it is does not allow one to distinguish a genuine “learning process” from other phenomena.","On the other hand, distributed delays with a strong kernel
include an implicit learning process.","This can
be problematic in at least two diﬀerent ways.",2022-01-23 00:24:00+00:00,PDE guidance for cognitive animal movement,math.AP,"['math.AP', 'q-bio.PE', '35-XX, 92-10, 92B05']","[arxiv.Result.Author('Hao Wang'), arxiv.Result.Author('Yurij Salmaniw')]","The inclusion of cognitive processes, such as perception, learning and
memory, are inevitable in mechanistic animal movement modelling. Cognition is
the unique feature that distinguishes animal movement from mere particle
movement in chemistry or physics. Hence, it is essential to incorporate such
knowledge-based processes into animal movement models. We summarize popular
deterministic mathematical models derived from first principles and their
rigorous analyses. Mathematical rules of thumb will be provided to judge the
model rationality. We will briefly present available mathematical techniques
and introduce useful measures of success to compare and contrast the possible
outcomes. Throughout the review, we propose future mathematical challenges and
development in the form of open questions. This topic is timely and
cutting-edge in applied mathematics with many intriguing directions to be
explored.",0.3815573,0.029551793,0.33319807,A
