Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
2507,"Based on this
result, in Section 3, we further study when DT is semi-complete.","Mao [22] constructed a complete duality
pair DT of T -modules using duality pairs in A-Mod and B-Mod respectively.","Then we characterize when a
left T -module is Gorenstein DT -projective, Gorenstein DT -injective or Gorenstein DT -ﬂat (see
Theorems 3.4, 3.8 and 3.11).",2022-02-26 14:25:06+00:00,Gorenstein and duality pair over triangular matrix rings,math.CT,['math.CT'],"[arxiv.Result.Author('Haiyu Liu'), arxiv.Result.Author('Rongmin Zhu')]","Let $A$, $B$ be two rings and $T=\left(\begin{smallmatrix} A & M \\ 0 & B
\\\end{smallmatrix}\right)$ with $M$ an $A$-$B$-bimodule. We first construct a
semi-complete duality pair $\mathcal{D}_{T}$ of $T$-modules using duality pairs
in $A$-Mod and $B$-Mod respectively. Then we characterize when a left
$T$-module is Gorenstein $D_{T}$-projective, Gorenstein $D_{T}$-injective or
Gorenstein $D_{T}$-flat. These three class of $T$-modules will induce model
structures on $T$-Mod. Finally we show that the homotopy category of each of
model structures above admits a recollement relative to corresponding stable
categories. Our results give new characterizations to earlier results in this
direction.",0.21777391,-0.019095099,-0.22304818,A
5632,"In addition to telling us something about the nature of optics and
comb diagrams, our results suggest that the free cornering is worthy of further study in its own right.","The graphical calculus of the free cornering allows one to
work with these structures more easily.","1 Double Categories and the Free Cornering

In this section we set up the rest of our development by presenting the theory of single object double
categories and the free cornering of a monoidal category.",2022-05-02 12:12:52+00:00,Cornering Optics,math.CT,"['math.CT', 'cs.LO']","[arxiv.Result.Author('Guillaume Boisseau'), arxiv.Result.Author('Chad Nester'), arxiv.Result.Author('Mario Roman')]","We show that the category of optics in a monoidal category arises naturally
from the free cornering of that category. Further, we show that the free
cornering of a monoidal category is a natural setting in which to work with
comb diagrams over that category. The free cornering admits an intuitive
graphical calculus, which in light of our work may be used to reason about
optics and comb diagrams.",0.17540407,0.0864015,0.23792224,C
7055,"Hence this article is not so much ﬁnished work as an invitation to
                                         further research.","Much has been
                                         accomplished in this style, but we still do not know the full scope of such geometric
                                         mathematics.",Section 11 discusses aspects of this.,2022-06-02 15:55:12+00:00,"Generalized point-free spaces, pointwise",math.CT,"['math.CT', '03G30 (Primary) 18F10, 18F70 (Secondary)']",[arxiv.Result.Author('Steven Vickers')],"We survey foundational principles of Grothendieck's generalized spaces,
including a critical glossary of the various, and often conflicting,
terminological usages. Known results using generalized points support a fully
pointwise notation for these essentially point-free structures. This includes
some from dependent type theory to deal with bundles as continuous space-valued
maps, mapping base point to fibre.",0.5430128,0.37905586,0.13715352,C
7056,"Conclusions

   This article is not so much ﬁnished work as an invitation to further research.",11.,"We have explained how, if one’s mathematics is geometric, then it can be expressed
in terms of point-free spaces (even generalized ones) and conducted in a pointwise
manner.",2022-06-02 15:55:12+00:00,"Generalized point-free spaces, pointwise",math.CT,"['math.CT', '03G30 (Primary) 18F10, 18F70 (Secondary)']",[arxiv.Result.Author('Steven Vickers')],"We survey foundational principles of Grothendieck's generalized spaces,
including a critical glossary of the various, and often conflicting,
terminological usages. Known results using generalized points support a fully
pointwise notation for these essentially point-free structures. This includes
some from dependent type theory to deal with bundles as continuous space-valued
maps, mapping base point to fibre.",0.30803096,0.3883064,0.22263877,C_centroid
8810,"Although it is beyond the scope of this paper, investigating the connections

between these two notions is an interesting direction for further study.","These provide an operadic view on a con-

struction which is very similar to what we would call                           -valued structured decom-

positions.","Finally we note that there have been two other categoriﬁcations of tree-width to

date.",2022-07-13 10:00:52+00:00,Structured Decompositions: Structural and Algorithmic Compositionality,math.CT,"['math.CT', 'cs.DS', 'math.CO', '18B10, 05C75 (Primary) 68W40 (Secondary)', 'F.2.m; G.0']","[arxiv.Result.Author('Benjamin Merlin Bumpus'), arxiv.Result.Author('Zoltan A. Kocsis'), arxiv.Result.Author('Jade Edenstar Master')]","We introduce structured decompositions: category-theoretic generalizations of
many combinatorial invariants -- including tree-width, layered tree-width,
co-tree-width and graph decomposition width -- which have played a central role
in the study of structural and algorithmic compositionality in both graph
theory and parameterized complexity. Structured decompositions allow us to
generalize combinatorial invariants to new settings (for example decompositions
of matroids) in which they describe algorithmically useful structural
compositionality. As an application of our theory we prove an algorithmic meta
theorem for the Sub_P-composition problem which, when instantiated in the
category of graphs, yields compositional algorithms for NP-hard problems such
as: Maximum Bipartite Subgraph, Maximum Planar Subgraph and Longest Path.",-0.37094522,0.041700356,-0.18744299,B_centroid
8811,"(We note that, although this is an impor-
tant step towards developing eﬃcient algorithms for this computation, a full algorithm
for this task is beyond the scope of this paper and it is instead left as an exciting and
challenging [9, 8] direction for further study.)","However, since we would like to actually compute this Kan extension in a reasonable

amount of time, we devote Section 4.2 to ﬁnding a way to compute this Kan extension
via a colimit of a simpler and smaller diagram.","To achieve this result (Theorem 4.6) we will have to make a small sacriﬁce in gen-
erality: rather than obtaining the Kan extension Lan Ω, we will show how to deﬁne
Lan m Ω where m( ) is the following full subcategory of ( ).",2022-07-13 10:00:52+00:00,Structured Decompositions: Structural and Algorithmic Compositionality,math.CT,"['math.CT', 'cs.DS', 'math.CO', '18B10, 05C75 (Primary) 68W40 (Secondary)', 'F.2.m; G.0']","[arxiv.Result.Author('Benjamin Merlin Bumpus'), arxiv.Result.Author('Zoltan A. Kocsis'), arxiv.Result.Author('Jade Edenstar Master')]","We introduce structured decompositions: category-theoretic generalizations of
many combinatorial invariants -- including tree-width, layered tree-width,
co-tree-width and graph decomposition width -- which have played a central role
in the study of structural and algorithmic compositionality in both graph
theory and parameterized complexity. Structured decompositions allow us to
generalize combinatorial invariants to new settings (for example decompositions
of matroids) in which they describe algorithmically useful structural
compositionality. As an application of our theory we prove an algorithmic meta
theorem for the Sub_P-composition problem which, when instantiated in the
category of graphs, yields compositional algorithms for NP-hard problems such
as: Maximum Bipartite Subgraph, Maximum Planar Subgraph and Longest Path.",0.05264574,-0.39996108,-0.23339221,A_centroid
8812,This is an interesting direction for further study.,"Note that our deﬁnition of (, Ω)-width immediately extends Carmesin’s Deﬁni-

tion 5.11 to directed graphs as well since the categoy  of reﬂexive, directed multi-

graphs has all colimits.","Complemented tree-width Another combinatorial instance of (, Ω)-width comes
from the notion of complemented tree-width.",2022-07-13 10:00:52+00:00,Structured Decompositions: Structural and Algorithmic Compositionality,math.CT,"['math.CT', 'cs.DS', 'math.CO', '18B10, 05C75 (Primary) 68W40 (Secondary)', 'F.2.m; G.0']","[arxiv.Result.Author('Benjamin Merlin Bumpus'), arxiv.Result.Author('Zoltan A. Kocsis'), arxiv.Result.Author('Jade Edenstar Master')]","We introduce structured decompositions: category-theoretic generalizations of
many combinatorial invariants -- including tree-width, layered tree-width,
co-tree-width and graph decomposition width -- which have played a central role
in the study of structural and algorithmic compositionality in both graph
theory and parameterized complexity. Structured decompositions allow us to
generalize combinatorial invariants to new settings (for example decompositions
of matroids) in which they describe algorithmically useful structural
compositionality. As an application of our theory we prove an algorithmic meta
theorem for the Sub_P-composition problem which, when instantiated in the
category of graphs, yields compositional algorithms for NP-hard problems such
as: Maximum Bipartite Subgraph, Maximum Planar Subgraph and Longest Path.",-0.43173844,0.072291486,-0.2466976,B
8813,"Comparing the resulting

width measure to Hliněný and Whittle’s matroid tree-width [37] is a promising avenue

for further study.","This means that we can deﬁne the (, )-width

of matroids for various choices of decomposition shapes .","Finally, although we will not treat this in the present paper, we note that further

interesting application ares for structured decompositions include Petri nets, chemical

reaction networks and other kinds of ‘typed graphs’.",2022-07-13 10:00:52+00:00,Structured Decompositions: Structural and Algorithmic Compositionality,math.CT,"['math.CT', 'cs.DS', 'math.CO', '18B10, 05C75 (Primary) 68W40 (Secondary)', 'F.2.m; G.0']","[arxiv.Result.Author('Benjamin Merlin Bumpus'), arxiv.Result.Author('Zoltan A. Kocsis'), arxiv.Result.Author('Jade Edenstar Master')]","We introduce structured decompositions: category-theoretic generalizations of
many combinatorial invariants -- including tree-width, layered tree-width,
co-tree-width and graph decomposition width -- which have played a central role
in the study of structural and algorithmic compositionality in both graph
theory and parameterized complexity. Structured decompositions allow us to
generalize combinatorial invariants to new settings (for example decompositions
of matroids) in which they describe algorithmically useful structural
compositionality. As an application of our theory we prove an algorithmic meta
theorem for the Sub_P-composition problem which, when instantiated in the
category of graphs, yields compositional algorithms for NP-hard problems such
as: Maximum Bipartite Subgraph, Maximum Planar Subgraph and Longest Path.",-0.41503763,0.26742816,-0.1279927,B
8814,"7.2 Further questions

Structured decompositions open many fascinating directions for further research which

can be roughly partitioned in accordance to the branches of mathematics each is inspired

by.","47
triangulation functors, revealed formidable technical diﬃculties: resolving these ulti-
mately required (and led us to) the more intricate theory of structured decompositions
presented above.","On the category-theoretic side, there are at least two main lines of inquiry which

deserve explicit study.",2022-07-13 10:00:52+00:00,Structured Decompositions: Structural and Algorithmic Compositionality,math.CT,"['math.CT', 'cs.DS', 'math.CO', '18B10, 05C75 (Primary) 68W40 (Secondary)', 'F.2.m; G.0']","[arxiv.Result.Author('Benjamin Merlin Bumpus'), arxiv.Result.Author('Zoltan A. Kocsis'), arxiv.Result.Author('Jade Edenstar Master')]","We introduce structured decompositions: category-theoretic generalizations of
many combinatorial invariants -- including tree-width, layered tree-width,
co-tree-width and graph decomposition width -- which have played a central role
in the study of structural and algorithmic compositionality in both graph
theory and parameterized complexity. Structured decompositions allow us to
generalize combinatorial invariants to new settings (for example decompositions
of matroids) in which they describe algorithmically useful structural
compositionality. As an application of our theory we prove an algorithmic meta
theorem for the Sub_P-composition problem which, when instantiated in the
category of graphs, yields compositional algorithms for NP-hard problems such
as: Maximum Bipartite Subgraph, Maximum Planar Subgraph and Longest Path.",-0.100635886,0.031018566,-0.057777714,B
8815,"Although it is beyond the scope of this paper, investigating the connections

between these two notions is an interesting direction for further study.","These provide an operadic view on a con-

struction which is very similar to what we would call  -valued structured decom-

positions.","Finally we note that there have been two other categoriﬁcations of tree-width to

date.",2022-07-13 10:00:52+00:00,Structured Decompositions: Structural and Algorithmic Compositionality,math.CT,"['math.CT', 'cs.DS', 'math.CO', '18B10, 05C75 (Primary) 68W40 (Secondary)', 'F.2.m; G.0']","[arxiv.Result.Author('Benjamin Merlin Bumpus'), arxiv.Result.Author('Zoltan A. Kocsis'), arxiv.Result.Author('Jade Edenstar Master')]","We introduce structured decompositions: category-theoretic generalizations of
many combinatorial invariants -- including tree-width, layered tree-width,
co-tree-width and graph decomposition width -- which have played a central role
in the study of structural and algorithmic compositionality in both graph
theory and parameterized complexity. Structured decompositions allow us to
generalize combinatorial invariants to new settings (for example decompositions
of matroids) in which they describe algorithmically useful structural
compositionality. As an application of our theory we prove an algorithmic meta
theorem for the Sub_P-composition problem which, when instantiated in the
category of graphs, yields compositional algorithms for NP-hard problems such
as: Maximum Bipartite Subgraph, Maximum Planar Subgraph and Longest Path.",-0.37094522,0.041700356,-0.18744299,B
