Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
897,"We further study the situation where Y is a subset of another metric space (Z, dZ).","This states that, with

                                                                              2
appropriate conditions on X and Y , a family F of locally uniformly ω-continuous mappings
is relatively compact in C(X, Y ) if and only if there is some point x0 ∈ X with a relatively
compact orbit F (x0) in Y .","Indeed,
this will always be the case, since Y ⊂ Sn.",2022-01-21 23:09:55+00:00,Normal families and quasiregular mappings,math.CV,"['math.CV', 'math.MG']","[arxiv.Result.Author('Alastair N. Fletcher'), arxiv.Result.Author('Daniel A. Nicks')]","Beardon and Minda gave a characterization of normal families of holomorphic
and meromorphic functions in terms of a locally uniform Lipschitz condition.
Here, we generalize this viewpoint to families of mappings in higher dimensions
that are locally uniformly continuous with respect to a given modulus of
continuity. Our main application is to the normality of families of
quasiregular mappings through a locally uniform H\""older condition. This
provides a unified framework in which to consider families of quasiregular
mappings, both recovering known results of Miniowitz, Vuorinen and others, and
yielding new results. In particular, normal quasimeromorphic mappings, Yosida
quasiregular mappings and Bloch quasiregular mappings can be viewed as classes
of quasiregular mappings which arise through consideration of various metric
spaces for the domain and range. We give several characterizations of these
classes and obtain upper bounds on the rate of growth in each class.",-0.27039984,-0.19458008,-0.10948533,A
1475,"Thirteen open problems are given to motivate the
                                         readers for further research in these topics.","The role of exponential polynomials and their quotients in the theories of
                                         linear/non-linear diﬀerential equations, oscillation theory and diﬀerential-diﬀerence
                                         equations will also be discussed.","Key Words: Complex diﬀerential equation, complex oscillation, diﬀerential-diﬀerence
                                         equation, exponential polynomial, exponential sum, value distribution.",2022-02-03 13:17:15+00:00,Value distribution of exponential polynomials and their role in the theories of complex differential equations and oscillation theory,math.CV,"['math.CV', 'Primary 30D15, 34M03, Secondary 30D35, 34A34, 34M10']","[arxiv.Result.Author('Janne Heittokangas'), arxiv.Result.Author('Katsuya Ishizaki'), arxiv.Result.Author('Kazuya Tohge'), arxiv.Result.Author('Zhi-Tao Wen')]","An exponential polynomial is a finite linear sum of terms $P(z)e^{Q(z)}$,
where $P(z)$ and $Q(z)$ are polynomials. The early results on the value
distribution of exponential polynomials can be traced back to Georg P\'olya's
paper published in 1920, while the latest results have come out in 2021.
Despite of over a century of research work, many intriguing problems on value
distribution of exponential polynomials still remain unsolved. The role of
exponential polynomials and their quotients in the theories of
linear/non-linear differential equations, oscillation theory and
differential-difference equations will also be discussed. Thirteen open
problems are given to motivate the readers for further research in these
topics.",-0.05738709,0.6743777,0.21310917,C
1476,"Further, this survey includes thirteen open
problems to motivate the reader for further research in these topics.","For the
convenience of the reader, four appendices are included at the back of the paper covering

                                                         3
the fundamentals on the following topics: Nevanlinna theory, convex sets, Riemann zeta-
function, and complex diﬀerential equations.","The basic building block for any transcendental exponential polynomial is of course the
exponential function.",2022-02-03 13:17:15+00:00,Value distribution of exponential polynomials and their role in the theories of complex differential equations and oscillation theory,math.CV,"['math.CV', 'Primary 30D15, 34M03, Secondary 30D35, 34A34, 34M10']","[arxiv.Result.Author('Janne Heittokangas'), arxiv.Result.Author('Katsuya Ishizaki'), arxiv.Result.Author('Kazuya Tohge'), arxiv.Result.Author('Zhi-Tao Wen')]","An exponential polynomial is a finite linear sum of terms $P(z)e^{Q(z)}$,
where $P(z)$ and $Q(z)$ are polynomials. The early results on the value
distribution of exponential polynomials can be traced back to Georg P\'olya's
paper published in 1920, while the latest results have come out in 2021.
Despite of over a century of research work, many intriguing problems on value
distribution of exponential polynomials still remain unsolved. The role of
exponential polynomials and their quotients in the theories of
linear/non-linear differential equations, oscillation theory and
differential-difference equations will also be discussed. Thirteen open
problems are given to motivate the readers for further research in these
topics.",-0.047786288,0.55991066,0.22683911,C_centroid
1477,"Thirteen open problems are given to motivate the
                                          readers for further research in these topics.","The role of exponential polynomials and their quotients in the theories of
                                          linear/non-linear diﬀerential equations, oscillation theory and diﬀerential-diﬀerence
                                          equations will also be discussed.","Key Words: Complex diﬀerential equation, complex oscillation, diﬀerential-diﬀerence
                                          equation, exponential polynomial, exponential sum, value distribution.",2022-02-03 13:17:15+00:00,Value distribution of exponential polynomials and their role in the theories of complex differential equations and oscillation theory,math.CV,"['math.CV', 'Primary 30D15, 34M03, Secondary 30D35, 34A34, 34M10']","[arxiv.Result.Author('Janne Heittokangas'), arxiv.Result.Author('Katsuya Ishizaki'), arxiv.Result.Author('Kazuya Tohge'), arxiv.Result.Author('Zhi-Tao Wen')]","An exponential polynomial is a finite linear sum of terms $P(z)e^{Q(z)}$,
where $P(z)$ and $Q(z)$ are polynomials. The early results on the value
distribution of exponential polynomials can be traced back to Georg P\'olya's
paper published in 1920, while the latest results have come out in 2021.
Despite of over a century of research work, many intriguing problems on value
distribution of exponential polynomials still remain unsolved. The role of
exponential polynomials and their quotients in the theories of
linear/non-linear differential equations, oscillation theory and
differential-difference equations will also be discussed. Thirteen open
problems are given to motivate the readers for further research in these
topics.",-0.05738709,0.6743777,0.21310917,C
1478,"Further, this survey includes thirteen open
problems to motivate the reader for further research in these topics.","For the
convenience of the reader, four appendices are included at the back of the paper covering
the fundamentals on the following topics: Nevanlinna theory, convex sets, Riemann zeta-
function, and complex diﬀerential equations.","The basic building block for any transcendental exponential polynomial is of course the
exponential function.",2022-02-03 13:17:15+00:00,Value distribution of exponential polynomials and their role in the theories of complex differential equations and oscillation theory,math.CV,"['math.CV', 'Primary 30D15, 34M03, Secondary 30D35, 34A34, 34M10']","[arxiv.Result.Author('Janne Heittokangas'), arxiv.Result.Author('Katsuya Ishizaki'), arxiv.Result.Author('Kazuya Tohge'), arxiv.Result.Author('Zhi-Tao Wen')]","An exponential polynomial is a finite linear sum of terms $P(z)e^{Q(z)}$,
where $P(z)$ and $Q(z)$ are polynomials. The early results on the value
distribution of exponential polynomials can be traced back to Georg P\'olya's
paper published in 1920, while the latest results have come out in 2021.
Despite of over a century of research work, many intriguing problems on value
distribution of exponential polynomials still remain unsolved. The role of
exponential polynomials and their quotients in the theories of
linear/non-linear differential equations, oscillation theory and
differential-difference equations will also be discussed. Thirteen open
problems are given to motivate the readers for further research in these
topics.",-0.049851637,0.56151193,0.22902124,C
2932,"Moreover, we use our
approach to further study the Fueter-Sce-Qian mapping (see Sections 5 and 6).","In this manuscript, however, we provide
a more general and systematic approach for this procedure (see Theorems 4.2 and 4.7).","Indeed, as a direct application
of our results, we are able to provide explicit expressions for the actions of the Fueter-Sce-Qian mapping on
monomials of the form (x0 + x)k, k ∈ N. This is done by showing that the polynomials τm (x0 + x)k coincide
(up to constant coeﬃcients) with a well-known family of monogenic Appell polynomials introduced in [4] (see
Section 4.3).",2022-03-07 16:10:29+00:00,On the connection between the Fueter-Sce-Qian theorem and the generalized CK-extension,math.CV,"['math.CV', '30G35']","[arxiv.Result.Author('Antonino De Martino'), arxiv.Result.Author('Kamal Diki'), arxiv.Result.Author('Alí Guzmán Adán')]","The Fueter-Sce-Qian theorem provides a way of inducing axial monogenic
functions in $\mathbb{R}^{m+1}$ from holomorphic intrinsic functions of one
complex variable. This result was initially proved by Fueter and Sce for the
cases where the dimension $m$ is odd using pointwise differentiation, while the
extension to the cases where $m$ is even was proved by Qian using the
corresponding Fourier multipliers.
  In this paper, we provide an alternative description of the Fueter-Sce-Qian
theorem in terms of the generalized CK-extension. The latter characterizes
axial null solutions of the Cauchy-Riemann operator in $\mathbb{R}^{m+1}$ in
terms of their restrictions to the real line. This leads to a one-to-one
correspondence between the space of axially monogenic functions in
$\mathbb{R}^{m+1}$ and the space of analytic functions of one real variable.
  We provide explicit expressions for the Fueter-Sce-Qian map in terms of the
generalized CK-extension for both cases, $m$ even and $m$ odd. These
expressions allow for a plane wave decomposition of the Fueter-Sce-Qian map or,
more in particular, a factorization of this mapping in terms of the dual Radon
transform. In turn, this decomposition provides a new possibility for extending
the Coherent State Transform (CST) to Clifford Analysis. In particular, we
construct an axial CST defined through the Fueter-Sce-Qian mapping, and show
how it is related to the axial and slice CSTs already studied in the
literature.",-0.060153663,0.34186906,0.0058541405,C
4234,"The case of multiply
connected domains seems to oﬀer problems for further research.",In that case we have to use the hyperbolic metric.,2.,2022-04-02 00:38:51+00:00,Numerical computation of preimage domain and condenser capacity for a strip with rectilinear slits,math.CV,"['math.CV', 'Primary 30C85, 31A15, Secondary 65E05']","[arxiv.Result.Author('El Mostafa Kalmoun'), arxiv.Result.Author('Mohamed M. S. Nasser'), arxiv.Result.Author('Matti Vuorinen')]","Let $S$ be a strip in ${\mathbb{C}}$ and let $E\subset S$ be a union of
disjoint segments. For the domain $S \setminus E$, we construct a numerical
conformal mapping onto a domain bordered by smooth Jordan curves. To this aim,
we use the boundary integral equation method from [19]. In particular, we apply
this method to study the conformal capacity of the condenser $(S, E).$
Numerical experiments on several model problems show that our method is able to
reach a very high level of precision when estimating the condenser capacity.",-0.33135915,-0.44473928,0.5258352,A
4235,"The case of multiply
connected domains seems to oﬀer problems for further research.",In that case we have to use the hyperbolic metric.,"In the second application, we consider computing the complex potential for a uniform inviscid
and incompressible ﬂow past multiple disjoint segment obstacles in the strip S in the case
when the circulations around the segments are zeros.",2022-04-02 00:38:51+00:00,Numerical computation of a preimage domain for an infinite strip with rectilinear slits,math.CV,"['math.CV', 'Primary 30C85, 31A15, Secondary 65E05']","[arxiv.Result.Author('El Mostafa Kalmoun'), arxiv.Result.Author('Mohamed M. S. Nasser'), arxiv.Result.Author('Matti Vuorinen')]","Let $\Omega$ be the multiply connected domain in the extended complex plane
$\overline{\C}$ obtained by removing $m$ non-overlapping rectilinear segments
from the infinite strip $S=\{z\,:\, \left|\Im z\right|<\pi/2\}$. In this paper,
we present an iterative method for numerical computation of a conformally
equivalent bounded multiply connected domain $G$ in the interior of the unit
disk $\D$ and the exterior of $m$ non-overlapping smooth Jordan curves. We
demonstrate the utility of the proposed method through two applications. First,
we estimate the capacity of condensers of the form $(S,E)$ where $E\subset S$
be a union of disjoint segments. Second, we determine the streamlines
associated with uniform incompressible, inviscid and irrotational flow past
disjoint segments in the strip $S$.",-0.28129417,-0.39527613,0.61018014,A
4236,"The case of multiply connected domains
seems to oﬀer problems for further research.","In that case
we have to use the hyperbolic metric.","In the second application, we consider computing the complex potential
for a uniform inviscid and incompressible ﬂow past multiple disjoint segment
obstacles in the strip S in the case when the circulations around the segments
are zeros.",2022-04-02 00:38:51+00:00,Numerical computation of a preimage domain for an infinite strip with rectilinear slits,math.CV,"['math.CV', 'Primary 30C85, 31A15, Secondary 65E05']","[arxiv.Result.Author('El Mostafa Kalmoun'), arxiv.Result.Author('Mohamed M. S. Nasser'), arxiv.Result.Author('Matti Vuorinen')]","Let $\Omega$ be the multiply connected domain in the extended complex plane
$\overline{\C}$ obtained by removing $m$ non-overlapping rectilinear segments
from the infinite strip $S=\{z\,:\, \left|\Im z\right|<\pi/2\}$. In this paper,
we present an iterative method for numerical computation of a conformally
equivalent bounded multiply connected domain $G$ in the interior of the unit
disk $\D$ and the exterior of $m$ non-overlapping smooth Jordan curves. We
demonstrate the utility of the proposed method through two applications. First,
we estimate the capacity of condensers of the form $(S,E)$ where $E\subset S$
be a union of disjoint segments. Second, we determine the streamlines
associated with uniform incompressible, inviscid and irrotational flow past
disjoint segments in the strip $S$.",-0.28129417,-0.39527613,0.61018014,A
4825,see [12]) had a signiﬁcant impact on further research.,"Moreover the tools
                                          developed and used (e.g.","For
                                          more about motivations and some history we refer to [1] and [10].",2022-04-13 19:04:32+00:00,Geometry of uniqueness varieties for a three-point Pick problem in $\mathbb{D}^3$,math.CV,"['math.CV', '32D15, 32E30']",[arxiv.Result.Author('Krzysztof Maciaszek')],"Motivated by the recent progress of research on extending holomorphic
functions defined on subvarieties of classical domains and its connections to
the 3-point Pick interpolation, we study a special class of two-dimensional
algebraic subvarieties $M_\alpha$ of the unit tridisc, defined as the sets
$$\lbrace (z_1,z_2,z_3)\in
\mathbb{D}^3:\alpha_1z_1+\alpha_2z_2+\alpha_3z_3=\overline{\alpha}_1z_2z_3+\overline{\alpha}_2z_1z_3+\overline{\alpha}_3z_1z_2\rbrace.$$
In this paper we show that given non-degenerated extremal maximal $3$-point
Pick problem there exists an $\alpha$ such that $M_\alpha$ appears as its
uniqueness variety. We also describe several geometric properties of $M_\alpha$
and show the biholomorphic equivalence between any two surfaces $M_\alpha$ and
$M_\beta$, where the triples $\alpha$ and $\beta$ satisfy the so called
triangle inequality.",0.08523315,0.039242912,-0.036097664,B
