Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
91,"|χ(Sg,n)|

   Another direction of further research is to study the complements of the n
chained links with p half-twists.","For ﬁxed g, do we have L(k, g, n)  (k + 1) log n
                                                                in general ?","In an upcoming paper of the second and the
fourth authors, they compute the unit Thurston norm balls and Teichmu¨ller
polynomials in these settings.",2022-01-04 06:55:19+00:00,Topological entropy of pseudo-Anosov maps on punctured surfaces vs. homology of mapping tori,math.GT,"['math.GT', '57M99 (Primary), 37E30 (Secondary)']","[arxiv.Result.Author('Hyungryul Baik'), arxiv.Result.Author('Juhun Baik'), arxiv.Result.Author('Changsub Kim'), arxiv.Result.Author('Philippe Tranchida')]","We investigate the relation between the topological entropy of pseudo-Anosov
maps on surfaces with punctures and the rank of the first homology of their
mapping tori. On the surface $S$ of genus $g$ with $n$ punctures, we show that
the entropy of a pseudo-Anosov map is bounded from above by
$\dfrac{(k+1)\log(k+3)}{|\chi(S)|}$ up to a constant multiple when the rank of
the first homology of the mapping torus is $k+1$ and $k, g, n$ satisfy a
certain assumption. This is a partial generalization of precedent works of Tsai
and Agol-Leininger-Margalit.",-0.011890127,-0.15977986,-0.08470907,B
2694,"In Section 10, we discuss questions for further research.","We show that for each ﬁnite G, the limiting
probability of a random 3-manifold group having a G-cover with positive ﬁrst Betti number is
0.",1.3.,2022-03-02 14:36:32+00:00,Finite quotients of 3-manifold groups,math.GT,"['math.GT', 'math.GR', 'math.NT', 'math.PR']","[arxiv.Result.Author('Will Sawin'), arxiv.Result.Author('Melanie Matchett Wood')]","For $G$ and $H_1,\dots, H_n$ finite groups, does there exist a $3$-manifold
group with $G$ as a quotient but no $H_i$ as a quotient? We answer all such
questions in terms of the group cohomology of finite groups. We prove
non-existence with topological results generalizing the theory of
semicharacteristics. To prove existence of 3-manifolds with certain finite
quotients but not others, we use a probabilistic method, by first proving a
formula for the distribution of the (profinite completion of) the fundamental
group of a random 3-manifold in the Dunfield-Thurston model of random Heegaard
splittings as the genus goes to infinity. We believe this is the first
construction of a new distribution of random groups from its moments.",-0.25241092,0.21608248,-0.11716171,B
4209,"It would be
interesting if the sign-coupling phenomenon can be revealed in a further study.","At the moment the meaning
of this coupling is not clear but this is quite remarkable since the interrelation between all
irreducible components of a character variety is rare, while many known properties about
a character variety are essentially related to a single irreducible component.","Remark that
another example interrelating all irreducible components of character variety is the vanishing
property of adjoint Reidemeister torsion.",2022-04-01 09:58:47+00:00,Parabolic representations and generalized Riley polynomials,math.GT,"['math.GT', '57K31, 57K32, 57M50']","[arxiv.Result.Author('Yunhi Cho'), arxiv.Result.Author('Hyuk Kim'), arxiv.Result.Author('Seonhwa Kim'), arxiv.Result.Author('Seokbeom Yoon')]","We generalize R. Riley's study about parabolic representations of two bridge
knot groups to the general knots in $S^3$. We utilize the parabolic quandle
method for general knot diagrams and adopt symplectic quandle for better
investigation. For any knot diagram with a specified crossing $\text{c}$, we
define a generalized Riley polynomial $R_\text{c}(y) \in \mathbb{Q}[y]$ whose
roots correspond to the conjugacy classes of parabolic representations of the
knot group. The $\text{sign-type}$ of parabolic quandle is newly introduced and
we obtain a formula for the obstruction class to lift a boundary unipotent
$\text{SL}_2 \mathbb{C}$-representation. Moreover, we define another polynomial
$g_\text{c}(u)\in\mathbb{Q}[u]$, called {$u$-polynomial}, and prove that
$R_\text{c}(u^2)=\pm g_\text{c}(u)g_\text{c}(-u)$. Based on this result, we
introduce $\text{Riley field}$ and $\text{$u$-field}$ which are closely related
to the invariant trace field. Finally, we present thorough computations of
parabolic representations by our method for the examples of knots, $4_1$,
$7_4$, $8_{18}$, $9_{29}$, and the link $5_1^2$, along with the complex volume
and cusp shape for each representation.",0.58830833,0.047604322,0.018169839,C
4210,"As seeing the computation of 818 in
Section 8, the canonical u-polynomials have more sensitive properties than Riley polynomials
concerning the symmetry of knot, and hence they seem to deserve further study.",",  +1)
    c

Therefore, with the deﬁnition of crossing u-value in Remark 4.8, we can deﬁne canonical u-
polynomial at a crossing c without a speciﬁed sign-type.",We also often omit the symbol if there is no need to specify a sign-type.,2022-04-01 09:58:47+00:00,Parabolic representations and generalized Riley polynomials,math.GT,"['math.GT', '57K31, 57K32, 57M50']","[arxiv.Result.Author('Yunhi Cho'), arxiv.Result.Author('Hyuk Kim'), arxiv.Result.Author('Seonhwa Kim'), arxiv.Result.Author('Seokbeom Yoon')]","We generalize R. Riley's study about parabolic representations of two bridge
knot groups to the general knots in $S^3$. We utilize the parabolic quandle
method for general knot diagrams and adopt symplectic quandle for better
investigation. For any knot diagram with a specified crossing $\text{c}$, we
define a generalized Riley polynomial $R_\text{c}(y) \in \mathbb{Q}[y]$ whose
roots correspond to the conjugacy classes of parabolic representations of the
knot group. The $\text{sign-type}$ of parabolic quandle is newly introduced and
we obtain a formula for the obstruction class to lift a boundary unipotent
$\text{SL}_2 \mathbb{C}$-representation. Moreover, we define another polynomial
$g_\text{c}(u)\in\mathbb{Q}[u]$, called {$u$-polynomial}, and prove that
$R_\text{c}(u^2)=\pm g_\text{c}(u)g_\text{c}(-u)$. Based on this result, we
introduce $\text{Riley field}$ and $\text{$u$-field}$ which are closely related
to the invariant trace field. Finally, we present thorough computations of
parabolic representations by our method for the examples of knots, $4_1$,
$7_4$, $8_{18}$, $9_{29}$, and the link $5_1^2$, along with the complex volume
and cusp shape for each representation.",0.3255279,-0.25980663,-0.18066283,B
4211,"This phenomenon with factor-sharing Riley polynomials is observed very often and
the geometric interpretation seems worthy of further study.","π2
                                        volC(ρ) ≡ volC(41) mod 6 ,
                                        cusp(ρ) ≡ cusp(41) mod Z,
where ρ is a representation of the factor of y2+y+1 which is the same as the Riley polynomial
of 41.",7.3.,2022-04-01 09:58:47+00:00,Parabolic representations and generalized Riley polynomials,math.GT,"['math.GT', '57K31, 57K32, 57M50']","[arxiv.Result.Author('Yunhi Cho'), arxiv.Result.Author('Hyuk Kim'), arxiv.Result.Author('Seonhwa Kim'), arxiv.Result.Author('Seokbeom Yoon')]","We generalize R. Riley's study about parabolic representations of two bridge
knot groups to the general knots in $S^3$. We utilize the parabolic quandle
method for general knot diagrams and adopt symplectic quandle for better
investigation. For any knot diagram with a specified crossing $\text{c}$, we
define a generalized Riley polynomial $R_\text{c}(y) \in \mathbb{Q}[y]$ whose
roots correspond to the conjugacy classes of parabolic representations of the
knot group. The $\text{sign-type}$ of parabolic quandle is newly introduced and
we obtain a formula for the obstruction class to lift a boundary unipotent
$\text{SL}_2 \mathbb{C}$-representation. Moreover, we define another polynomial
$g_\text{c}(u)\in\mathbb{Q}[u]$, called {$u$-polynomial}, and prove that
$R_\text{c}(u^2)=\pm g_\text{c}(u)g_\text{c}(-u)$. Based on this result, we
introduce $\text{Riley field}$ and $\text{$u$-field}$ which are closely related
to the invariant trace field. Finally, we present thorough computations of
parabolic representations by our method for the examples of knots, $4_1$,
$7_4$, $8_{18}$, $9_{29}$, and the link $5_1^2$, along with the complex volume
and cusp shape for each representation.",0.5262282,-0.06716903,0.59243965,C_centroid
4212,"It
would be interesting if the sign-coupling phenomenon can be revealed in a further study.","At the moment
the meaning of this coupling is not clear but this is quite remarkable since the interrelation
between all irreducible components of a character variety is rare, while many known prop-
erties about a character variety are essentially related to a single irreducible component.","Remark that another example interrelating all irreducible components of character variety
is the vanishing property of adjoint Reidemeister torsion.",2022-04-01 09:58:47+00:00,Parabolic representations and generalized Riley polynomials,math.GT,"['math.GT', '57K31, 57K32, 57K10, 57M50']","[arxiv.Result.Author('Yunhi Cho'), arxiv.Result.Author('Hyuk Kim'), arxiv.Result.Author('Seonhwa Kim'), arxiv.Result.Author('Seokbeom Yoon')]","We generalize R. Riley's study about parabolic representations of two bridge
knot groups to the general knots in $S^3$. We utilize the parabolic quandle
method for general knot diagrams and adopt symplectic quandle for better
investigation, which gives such representations and their complex volumes
explicitly. For any knot diagram with a specified crossing $c$, we define a
generalized Riley polynomial $R_c(y) \in \mathbb{Q}[y]$ whose roots correspond
to the conjugacy classes of parabolic representations of the knot group. The
sign-type of parabolic quandle is newly introduced and we obtain a formula for
the obstruction class to lift to a boundary unipotent $\text{SL}_2
\mathbb{C}$-representation. Moreover, we define another polynomial
$g_c(u)\in\mathbb{Q}[u]$, called $u$-polynomial, and prove that $R_c(u^2)=\pm
g_c(u)g_c(-u)$. Based on this result, we introduce and investigate Riley field
and $u$-field which are closely related to the invariant trace field. This
method eventually leads to the complete classification of parabolic
representations of knot groups along with their complex volumes and cusp shapes
up to 12 crossings.",0.5880141,0.041240513,0.01826499,C
4213,"As seeing the computation of 818 in
Section 8, the canonical u-polynomials have more sensitive properties than Riley polynomials
concerning the symmetry of knot, and hence they seem to deserve further study.",",  +1)
c

Therefore, with the deﬁnition of crossing u-value in Remark 4.8, we can deﬁne canonical u-
polynomial at a crossing c without a speciﬁed sign-type.",We also often omit the symbol if there is no need to specify a sign-type.,2022-04-01 09:58:47+00:00,Parabolic representations and generalized Riley polynomials,math.GT,"['math.GT', '57K31, 57K32, 57K10, 57M50']","[arxiv.Result.Author('Yunhi Cho'), arxiv.Result.Author('Hyuk Kim'), arxiv.Result.Author('Seonhwa Kim'), arxiv.Result.Author('Seokbeom Yoon')]","We generalize R. Riley's study about parabolic representations of two bridge
knot groups to the general knots in $S^3$. We utilize the parabolic quandle
method for general knot diagrams and adopt symplectic quandle for better
investigation, which gives such representations and their complex volumes
explicitly. For any knot diagram with a specified crossing $c$, we define a
generalized Riley polynomial $R_c(y) \in \mathbb{Q}[y]$ whose roots correspond
to the conjugacy classes of parabolic representations of the knot group. The
sign-type of parabolic quandle is newly introduced and we obtain a formula for
the obstruction class to lift to a boundary unipotent $\text{SL}_2
\mathbb{C}$-representation. Moreover, we define another polynomial
$g_c(u)\in\mathbb{Q}[u]$, called $u$-polynomial, and prove that $R_c(u^2)=\pm
g_c(u)g_c(-u)$. Based on this result, we introduce and investigate Riley field
and $u$-field which are closely related to the invariant trace field. This
method eventually leads to the complete classification of parabolic
representations of knot groups along with their complex volumes and cusp shapes
up to 12 crossings.",0.3255279,-0.25980663,-0.18066283,B
4214,"This phenomenon with factor-sharing Riley polynomials is observed very often and
the geometric interpretation seems worthy of further study.","π2
                                        volC(ρ) ≡ volC(41) mod 6 ,
                                        cusp(ρ) ≡ cusp(41) mod Z,
where ρ is a representation of the factor of y2+y+1 which is the same as the Riley polynomial
of 41.","36                         Y.CHO, H.KIM, S.KIM, AND S.YOON

7.3.",2022-04-01 09:58:47+00:00,Parabolic representations and generalized Riley polynomials,math.GT,"['math.GT', '57K31, 57K32, 57K10, 57M50']","[arxiv.Result.Author('Yunhi Cho'), arxiv.Result.Author('Hyuk Kim'), arxiv.Result.Author('Seonhwa Kim'), arxiv.Result.Author('Seokbeom Yoon')]","We generalize R. Riley's study about parabolic representations of two bridge
knot groups to the general knots in $S^3$. We utilize the parabolic quandle
method for general knot diagrams and adopt symplectic quandle for better
investigation, which gives such representations and their complex volumes
explicitly. For any knot diagram with a specified crossing $c$, we define a
generalized Riley polynomial $R_c(y) \in \mathbb{Q}[y]$ whose roots correspond
to the conjugacy classes of parabolic representations of the knot group. The
sign-type of parabolic quandle is newly introduced and we obtain a formula for
the obstruction class to lift to a boundary unipotent $\text{SL}_2
\mathbb{C}$-representation. Moreover, we define another polynomial
$g_c(u)\in\mathbb{Q}[u]$, called $u$-polynomial, and prove that $R_c(u^2)=\pm
g_c(u)g_c(-u)$. Based on this result, we introduce and investigate Riley field
and $u$-field which are closely related to the invariant trace field. This
method eventually leads to the complete classification of parabolic
representations of knot groups along with their complex volumes and cusp shapes
up to 12 crossings.",0.5303974,-0.06784623,0.59676015,C
5262,"For some further study of the structure of the Riley slice boundary using Lyndon and
Ullman’s result, see Section 4.2 of [44].",Then R is contained in C \ LU.,"Beardon has given improvements of some
of the other results of Lyndon and Ullman on the set of free groups of the form Γρ
[17].",2022-04-25 03:45:32+00:00,Concrete one complex dimensional moduli spaces of hyperbolic manifolds and orbifolds,math.GT,"['math.GT', '20H10, 30F40, 30F60, 57K32, 57R18']","[arxiv.Result.Author('Alex Elzenaar'), arxiv.Result.Author('Gaven Martin'), arxiv.Result.Author('Jeroen Schillewaert')]","The Riley slice is arguably the simplest example of a moduli space of
Kleinian groups; it is naturally embedded in $ \mathbb{C} $, and has a natural
coordinate system (introduced by Linda Keen and Caroline Series in the early
1990s) which reflects the geometry of the underlying 3-manifold deformations.
The Riley slice arises in the study of arithmetic Kleinian groups, the theory
of two-bridge knots, the theory of Schottky groups, and the theory of
hyperbolic 3-manifolds; because of its simplicity it provides an easy source of
examples and deep questions related to these subjects. We give an introduction
for the non-expert to the Riley slice and much of the related background
material, assuming only graduate level complex analysis and topology; we review
the history of and literature surrounding the Riley slice; and we announce some
results of our own, extending the work of Keen and Series to the one complex
dimensional moduli spaces of Kleinian groups isomorphic to
$\mathbb{Z}_p*\mathbb{Z}_q$ acting on the Riemann sphere, $2\leq p,q \leq
\infty$. The Riley slice is the case $p=q=\infty$ (i.e. two parabolic
generators).",-0.100367345,0.19732541,-0.09952247,B
5357,In the last section we formulate questions for further research.,For a pair of generalised Alexander quandles on G we get a similar result.,2.,2022-04-26 20:17:03+00:00,Multiplication of quandle structures,math.GT,"['math.GT', 'math.GR']","[arxiv.Result.Author('Valeriy G. Bardakov'), arxiv.Result.Author('Denis A. Fedoseev')]","We generalise the construction of $Q$-family of quandles and $G$-family of
quandles which were introduced in the paper of A. Ishii, M. Iwakiri, Y. Jang,
K. Oshiro, and find connection with other constructions of quandles. We define
a composition of quandl's structures, which are defined on the same set and
find conditions under which this composition gives a quandle. Further we prove
that under this multiplication we get a group and show that this group is
abelian.",-0.18520178,0.095250815,-0.13055475,B_centroid
