Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
152,"This paper only considers OpenMP and CUDA implementations for the proposed
parallel GS algorithm and further research will be conducted for MPI parallelism.","In the future,
parallel performance of the adaptive SETUP multi-stage preconditioners needs to be further
Li Zhao, Chunsheng Feng, Chensong Zhang and Shi Shu  17

improved.",Acknowledgments.,2022-01-06 08:38:13+00:00,Parallel Multi-Stage Preconditioners with Adaptive Setup for the Black Oil Model,math.NA,"['math.NA', 'cs.NA', 'math-ph', 'math.MP', '49M20, 65F10, 68W10, 76S05', 'F.2.1']","[arxiv.Result.Author('Li Zhao'), arxiv.Result.Author('Chunsheng Feng'), arxiv.Result.Author('Chensong Zhang'), arxiv.Result.Author('Shi Shu')]","The black oil model is widely used to describe multiphase porous media flow
in the petroleum industry. The fully implicit method features strong stability
and weak constraints on time step-sizes; hence, commonly used in the current
mainstream commercial reservoir simulators. In this paper, a CPR-type
preconditioner with an adaptive ""setup phase"" is developed to improve parallel
efficiency of petroleum reservoir simulation. Furthermore, we propose a
multi-color Gauss-Seidel (GS) algorithm for algebraic multigrid method based on
the coefficient matrix of strong connections. Numerical experiments show that
the proposed preconditioner can improve the parallel performance for both
OpenMP and CUDA implements. Moreover, the proposed algorithm yields good
parallel speedup as well as same convergence behavior as the corresponding
single-threaded algorithm. In particular, for a three-phase benchmark problem,
the parallel speedup of the OpenMP version is over 6.5 with 16 threads and the
CUDA version reaches more than 9.5.",-0.27382523,0.11585212,-0.22205521,A
153,"This paper
only considered OpenMP and CUDA implementations for the proposed parallel GS algorithm,
so further research will be conducted for MPI parallelism.","In the future, the parallel performance of
the adaptive SETUP multi-stage preconditioners needs to be further improved.",Acknowledgments.,2022-01-06 08:38:13+00:00,Parallel Multi-Stage Preconditioners with Adaptive Setup for the Black Oil Model,math.NA,"['math.NA', 'cs.NA', 'math-ph', 'math.MP', '49M20, 65F10, 68W10, 76S05', 'F.2.1']","[arxiv.Result.Author('Li Zhao'), arxiv.Result.Author('Chunsheng Feng'), arxiv.Result.Author('Chensong Zhang'), arxiv.Result.Author('Shi Shu')]","The black oil model is widely used to describe multiphase porous media flow
in the petroleum industry. The fully implicit method features strong stability
and weak constraints on time step-sizes; hence, commonly used in the current
mainstream commercial reservoir simulators. In this paper, a CPR-type
preconditioner with an adaptive ""setup phase"" is developed to improve parallel
efficiency of petroleum reservoir simulation. Furthermore, we propose a
multi-color Gauss-Seidel (GS) algorithm for algebraic multigrid method based on
the coefficient matrix of strong connections. Numerical experiments show that
the proposed preconditioner can improve the parallel performance for both
OpenMP and CUDA implements. Moreover, the proposed algorithm yields good
parallel speedup as well as same convergence behavior as the corresponding
single-threaded algorithm. In particular, for a three-phase benchmark problem,
the parallel speedup of the OpenMP version is over 6.5 with 16 threads and the
CUDA version reaches more than 9.5.",-0.2866565,0.12241782,-0.21980877,A
322,"In this case, maybe manually tuning the Robin parameter αROB to achieve optimal
convergence can be a better idea, in order to drop the dependence on ∆T : further research
in this direction needs to be carried out.","This idea is presented for example in [64] for a monolithic
scheme, but it represents an interesting starting point for a future work within partitioned
schemes.","Acknowledgements

   We acknowledge the support by European Union Funding for Research and Innovation –
Horizon 2020 Program – in the framework of European Research Council Executive Agency:
Consolidator Grant H2020 ERC CoG 2015 AROMA-CFD project 681447 “Advanced Reduced
Order Methods with Applications in Computational Fluid Dynamics” (PI Prof. Gianluigi
Rozza).",2022-01-10 09:40:28+00:00,Projection based semi--implicit partitioned Reduced Basis Method for non parametrized and parametrized Fluid--Structure Interaction problems,math.NA,"['math.NA', 'cs.NA', '65Z05, 65Y9, 65M99']","[arxiv.Result.Author('Monica Nonino'), arxiv.Result.Author('Francesco Ballarin'), arxiv.Result.Author('Gianluigi Rozza'), arxiv.Result.Author('Yvon Maday')]","We present a partitioned Model Order Reduction method for multiphysics
problems, that is based on a semi-implicit treatment of the coupling
conditions, and on a projection scheme. The proposed Reduced Order Method is
based on the Proper Orthogonal Decomposition and on a Galerkin projection onto
the reduced basis spaces; we aim of addressing both time-dependent and
time-dependent, parametrized Fluid-Structure Interaction problems, where the
fluid is incompressible and the structure is linear, elastic and two
dimensional.",-0.009409146,-0.09791213,-0.2394964,C
391,"However, it there
is not an obvious relation between and k, so further research may be necessary to ﬁnd a more eﬃcient
doubly adaptive algorithm.","An algorithm that adapts and k

                                                                                       20
independently may be inferior to one that relates the step size to the penalty parameter.","The pressure recovered directly from the continuity equation, ∇ · u + p = 0
(1.2) is not good estimate to the pressure from coupled system.",2022-01-11 14:44:43+00:00,A Doubly Adaptive Penalty Method for the Navier Stokes Equations,math.NA,"['math.NA', 'cs.NA']","[arxiv.Result.Author('Xihui Xie'), arxiv.Result.Author('Kiera Kean'), arxiv.Result.Author('Shuxian Xu')]","We develop, analyze and test adaptive penalty parameter methods. We prove
unconditional stability for velocity when adapting the penalty parameter,
$\epsilon,$ and stability of the velocity time derivative under a condition on
the change of the penalty parameter, $\epsilon(t_{n+1})-\epsilon(t_n)$. The
analysis and tests show that adapting $\epsilon(t_{n+1})$ in response to
$\nabla\cdot u(t_n)$ removes the problem of picking $\epsilon$ and yields good
approximations for the velocity. We provide error analysis and numerical tests
to support these results. We supplement the adaptive-$\epsilon$ method by also
adapting the time-step. The penalty parameter $\epsilon$ and time-step are
adapted independently. We further compare first, second and variable order
time-step algorithms. Accurate recovery of pressure remains an open problem.",0.099708326,-0.014848412,-0.20200302,B
392,"The ﬁnite element
discretization has a maximal mesh width of hmax = 0.0347224.

is not an obvious relation between and k, so further research may be necessary to ﬁnd a more eﬃcient
doubly adaptive algorithm.","Tests
without penalty use 320 mesh points around the outer circle and 80 mesh points around the inner circle.","The pressure recovered directly from the continuity equation, ∇ · u + p = 0
(1.2) is not good estimate to the pressure from coupled system.",2022-01-11 14:44:43+00:00,A Doubly Adaptive Penalty Method for the Navier Stokes Equations,math.NA,"['math.NA', 'cs.NA']","[arxiv.Result.Author('Kiera Kean'), arxiv.Result.Author('Xihui Xie'), arxiv.Result.Author('Shuxian Xu')]","We develop, analyze and test adaptive penalty parameter methods. We prove
unconditional stability for velocity when adapting the penalty parameter,
$\epsilon,$ and stability of the velocity time derivative under a condition on
the change of the penalty parameter, $\epsilon(t_{n+1})-\epsilon(t_n)$. The
analysis and tests show that adapting $\epsilon(t_{n+1})$ in response to
$\nabla\cdot u(t_n)$ removes the problem of picking $\epsilon$ and yields good
approximations for the velocity. We provide error analysis and numerical tests
to support these results. We supplement the adaptive-$\epsilon$ method by also
adapting the time-step. The penalty parameter $\epsilon$ and time-step are
adapted independently. We further compare first, second and variable order
time-step algorithms. Accurate recovery of pressure remains an open problem.",0.1380938,0.006370548,-0.09448609,B
442,"The
analysis of applicability of the iterative algorithm in such problems refers to prospects
for further research.","This is especially important in three-dimensional inverse prob-
lems, an example of which is the nonadiabatic mode tomography of ocean [17].","18

5 Acknowledgement

The reported study was funded by RFBR and CNRS, project number 20-51-15004.",2022-01-12 16:32:28+00:00,Numerical comparison of iterative and functional-analytical algorithms for inverse acoustic scattering,math.NA,"['math.NA', 'cs.NA', 'physics.comp-ph', 'physics.med-ph', '35R30, 65N21']",[arxiv.Result.Author('A. S. Shurup')],"In this work the numerical solution of acoustic tomography problem based on
the iterative and functional-analytical algorithms is considered. The
mathematical properties of these algorithms were previously described in works
of R.G.Novikov for the case of the Schr\""odinger equation. In the present work,
for the case of two-dimensional scalar Helmholtz equation, the efficiency of
the iterative algorithm in reconstruction of middle strength scatterers and
advantages of the functional-analytical approach in recovering strong
scatterers are demonstrated. A filtering procedure is considered in the space
of wave vectors, which additionally increases the convergence of the iterative
algorithm. Reconstruction results of sound speed perturbations demonstrate the
comparable noise immunity and resolution of the considered algorithms when
reconstructing middle strength scatterers. A comparative numerical
investigation of the iterative and functional-analytical algorithms in inverse
acoustic scattering problems is implemented in this work for the first time.",-0.0772559,0.04855641,0.0031528287,A
591,"The numerical results we present above make a strong case for further study of
the approach.","The use of SW-ELM as a surrogate in the context of variance based GSA
allows the user to completely eschew Monte Carlo integration which is a perennial bottleneck
in this ﬁeld.","In particular, there is in general very little known theoretically regarding the
link from (4.1) (accurate surrogate) to (4.2) (accurate GSA).",2022-01-14 18:16:23+00:00,Extreme learning machines for variance-based global sensitivity analysis,math.NA,"['math.NA', 'cs.NA', 'math.ST', 'stat.TH']","[arxiv.Result.Author('John Darges'), arxiv.Result.Author('Alen Alexanderian'), arxiv.Result.Author('Pierre Gremaud')]","Variance-based global sensitivity analysis (GSA) can provide a wealth of
information when applied to complex models. A well-known Achilles' heel of this
approach is its computational cost which often renders it unfeasible in
practice. An appealing alternative is to analyze instead the sensitivity of a
surrogate model with the goal of lowering computational costs while maintaining
sufficient accuracy. Should a surrogate be ""simple"" enough to be amenable to
the analytical calculations of its Sobol' indices, the cost of GSA is
essentially reduced to the construction of the surrogate. We propose a new
class of sparse weight Extreme Learning Machines (SW-ELMs) which, when
considered as surrogates in the context of GSA, admit analytical formulas for
their Sobol' indices and, unlike the standard ELMs, yield accurate
approximations of these indices. The effectiveness of this approach is
illustrated through both traditional benchmarks in the field and on a chemical
reaction network.",-0.16323544,0.103839226,0.111846216,C
1013,"In Section 6, we draw
conclusions and make suggestions for further research.","We then extend our formulation to a non-linear application in Section 5, and
study the impact of necessary simpliﬁcations on the solution quality.",2.,2022-01-25 17:20:24+00:00,Variationally consistent mass scaling for explicit time-integration schemes of lower- and higher-order finite element methods,math.NA,"['math.NA', 'cs.NA']","[arxiv.Result.Author('Stein K. F. Stoter'), arxiv.Result.Author('Thi-Hoa Nguyen'), arxiv.Result.Author('René R. Hiemstra'), arxiv.Result.Author('Dominik Schillinger')]","In this paper, we propose a variationally consistent technique for decreasing
the maximum eigenfrequencies of structural dynamics related finite element
formulations. Our approach is based on adding a symmetric positive-definite
term to the mass matrix that follows from the integral of the traction jump
across element boundaries. The added term is weighted by a small factor, for
which we derive a suitable, and simple, element-local parameter choice. For
linear problems, we show that our mass-scaling method produces no adverse
effects in terms of spatial accuracy and orders of convergence. We illustrate
these properties in one, two and three spatial dimension, for quadrilateral
elements and triangular elements, and for up to fourth order polynomials basis
functions. To extend the method to non-linear problems, we introduce a linear
approximation and show that a sizeable increase in critical time-step size can
be achieved while only causing minor (even beneficial) influences on the
dynamic response.",0.21685934,0.08529033,-0.09510255,C
1044,We further study the collapse of the localized EKI ensemble in this example.,"Moreover, localization accelerates the convergence
of EKI with respect to the ensemble size (at any ﬁxed dimension).","We now ﬁx the dimension to du = dy = 50 and consider the rate at which the
ensemble collapses and at which error is reduced during the iteration.",2022-01-26 08:53:12+00:00,Localized Ensemble Kalman inversion,math.NA,"['math.NA', 'cs.NA', 'stat.CO']","[arxiv.Result.Author('Xin T. Tong'), arxiv.Result.Author('Matthias Morzfeld')]","Ensemble Kalman inversion (EKI) is a technique for the numerical solution of
inverse problems. A great advantage of the EKI's ensemble approach is that
derivatives are not required in its implementation. But theoretically speaking,
EKI's ensemble size needs to surpass the dimension of the problem. This is
because of EKI's ""subspace property"", i.e., that the EKI solution is a linear
combination of the initial ensemble it starts off with. We show that the
ensemble can break out of this initial subspace when ``localization'' is
applied. In essence, localization enforces an assumed correlation structure
onto the problem, and is heavily used in ensemble Kalman filtering and data
assimilation. We describe and analyze how to apply localization to the EKI, and
how localization helps the EKI ensemble break out of the initial subspace.
Specifically, we show that the localized EKI (LEKI) ensemble will collapse to a
single point (as intended) and that the LEKI ensemble mean will converge to the
global optimum at a sublinear rate. Under strict assumptions on the
localization procedure and observation process, we further show that the data
misfit decays uniformly. We illustrate our ideas and theoretical developments
with numerical examples with simplified toy problems, a Lorenz model, and an
inversion of electromagnetic data, where some of our mathematical assumptions
may only be approximately valid.",0.12716478,-0.010457372,0.24795699,B
1045,We further study the collapse of the localized EKI ensemble in this example.,"Moreover, localization accelerates the convergence
of EKI with respect to the ensemble size (at any ﬁxed dimension).","We now ﬁx the dimension to du = dy = 50 and consider the rate at which the
ensemble collapses and at which error is reduced during the iteration.",2022-01-26 08:53:12+00:00,Localization in Ensemble Kalman inversion,math.NA,"['math.NA', 'cs.NA', 'stat.CO']","[arxiv.Result.Author('Xin T. Tong'), arxiv.Result.Author('Matthias Morzfeld')]","Ensemble Kalman inversion (EKI) is a technique for the numerical solution of
inverse problems. A great advantage of the EKI's ensemble approach is that
derivatives are not required in its implementation. But theoretically speaking,
EKI's ensemble size needs to surpass the dimension of the problem. This is
because of EKI's ""subspace property"", i.e., that the EKI solution is a linear
combination of the initial ensemble it starts off with. We show that the
ensemble can break out of this initial subspace when ""localization"" is applied.
In essence, localization enforces an assumed correlation structure onto the
problem, and is heavily used in ensemble Kalman filtering and data
assimilation. We describe and analyze how to apply localization to the EKI, and
how localization helps the EKI ensemble break out of the initial subspace.
Specifically, we show that the localized EKI (LEKI) ensemble will collapse to a
single point (as intended) and that the LEKI ensemble mean will converge to the
global optimum at a sublinear rate. Under strict assumptions on the
localization procedure and observation process, we further show that the data
misfit decays uniformly. We illustrate our ideas and theoretical developments
with numerical examples with simplified toy problems, a Lorenz model, and an
inversion of electromagnetic data, where some of our mathematical assumptions
may only be approximately valid.",0.12716478,-0.010457372,0.24795699,B
