Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
2396,"We brieﬂy conclude with a sample of avenues for further research arising from
diagram modules.","Diagram modules
thus provide a universal framework not only for known 0-Hecke modules arising from
notable bases of QSym, but many further notable families of 0-Hecke modules in
addition.","There are two overarching directions to follow: ﬁrstly in better
understanding the structure of the diagram modules themselves, and secondly in
applying the diagram modules framework to obtain new families of functions in Peak,
and to determine their properties and connections to known structures.",2022-02-24 11:06:11+00:00,Diagram supermodules for $0$-Hecke-Clifford algebras,math.RT,"['math.RT', 'math.CO', 'Primary 05E10, 20C08, Secondary 05E05']",[arxiv.Result.Author('Dominic Searles')],"We introduce a general method for constructing modules for $0$-Hecke algebras
and supermodules for $0$-Hecke-Clifford algebras from diagrams of boxes in the
plane, and give formulas for the images of these modules in the algebras of
quasisymmetric functions and peak functions under the relevant characteristic
map. As initial applications, we resolve a question of Jing and Li (2015),
introduce a new basis of the peak algebra analogous to the quasisymmetric Schur
functions, uncover a new connection between Schur $Q$-functions and
quasisymmetric Schur functions, give a representation-theoretic interpretation
of families of tableaux used in constructing certain functions in the peak
algebra, and establish a common framework for known $0$-Hecke module
interpretations of bases of quasisymmetric functions.",-0.0031293412,-0.24364752,0.033385497,B
2985,"Research on the centralizer and the centre of centralizer of nilpotent elements in simple Lie algebras
                                         has been developed over the years since Springer [20] considered the centralizer Gu of a unipotent
                                         element u in a simple algebraic group G. For G is of exceptional type, further study of Gu was carried
                                         out in [2], [21], [18], [19], [12] and[13].","In this paper, we deal with Lie superalgebras sl(m|n) and osp(m|2n), while the other
                                         deals with exceptional Lie superalgebras D(2, 1; α), G(3) and F (4).","A description of the structure of the centralizer ge of nilpotent
                                         elements in classical Lie algebras can be found in Jantzen’s monograph, [8].",2022-03-08 16:27:19+00:00,Centres of centralizers of nilpotent elements in Lie superalgebras $\mathfrak{sl}(m|n)$ or $\mathfrak{osp}(m|2n)$,math.RT,['math.RT'],[arxiv.Result.Author('Leyu Han')],"Let $\bar{G}$ be the simple algebraic supergroup $\mathrm{SL}(m|n)$ or
$\mathrm{OSp}(m|2n)$ over $\mathbb{C}$. Let
$\mathfrak{g}=\mathrm{Lie}(\bar{G})=\mathfrak{g}_{\bar{0}}\oplus\mathfrak{g}_{\bar{1}}$
and let $G=\bar{G}(\mathbb{C})$ where $\mathbb{C}$ is considered as a
superalgebra concentrated in even degree. Suppose $e\in\mathfrak{g}_{\bar{0}}$
is nilpotent. We describe the centralizer $\mathfrak{g}^{e}$ of $e$ in
$\mathfrak{g}$ and its centre $\mathfrak{z}(\mathfrak{g}^{e})$. In particular,
we give bases for $\mathfrak{g}^{e}$, $\mathfrak{z}(\mathfrak{g}^{e})$ and
$\left(\mathfrak{z}(\mathfrak{g}^{e})\right)^{G^{e}}$. We also determine the
labelled Dynkin diagram $\varDelta$ with respect to $e$ and subsequently
describe the relation between
$\left(\mathfrak{z}(\mathfrak{g}^{e})\right)^{G^{e}}$ and $\varDelta$.",-0.21479005,0.427722,-0.2200191,C_centroid
4577,"In Section 7, we further study the K-
matrix operators for oKLR algebra corresponding to the quiver A∞ with no framing
and no ﬁxed point and provide explicit formulae for modules associated to segments.",6.3.1).,"In Section 8, we construct an isomorphism `a la Brundan-Kleshev-Rouquier (BKR)
between suitable completions of oKLR algebras and aﬃne Hecke algebras of type C
(Thm.",2022-04-08 15:26:18+00:00,Generalized Schur-Weyl dualities for quantum affine symmetric pairs and orientifold KLR algebras,math.RT,"['math.RT', 'math.QA']","[arxiv.Result.Author('Andrea Appel'), arxiv.Result.Author('Tomasz Przezdziecki')]","We define a boundary analogue of the Kang-Kashiwara-Kim-Oh generalized
Schur-Weyl dualities between quantum affine algebras and
Khovanov-Lauda-Rouquier (KLR) algebras. Let $\mathfrak{g}$ be a complex simple
Lie algebra and $U_qL\mathfrak{g}$ the corresponding quantum affine algebra. We
construct a functor ${}^{\theta}{\sf F}$ between finite-dimensional modules
over a quantum symmetric pair of affine type $U_q\mathfrak{k}\subset
U_qL{\mathfrak{g}}$ and an orientifold KLR ($o$KLR) algebra arising from a
framed quiver with a contravariant involution, whose nodes are indexed by
finite-dimensional $U_qL{\mathfrak{g}}$-modules. With respect to the
Kang-Kashiwara-Kim-Oh construction, our combinatorial model is further enriched
with the poles of the trigonometric K-matrices (that is trigonometric solutions
of a generalized reflection equation) intertwining the action of
$U_q\mathfrak{k}$ on finite-dimensional $U_qL{\mathfrak{g}}$-modules. By
construction, ${}^{\theta}{\sf F}$ is naturally compatible with the
Kang-Kashiwara-Kim-Oh functor in that, while the latter is a functor of
monoidal categories, ${}^{\theta}{\sf F}$ is a functor of module categories.
Relying on an isomorphism between suitable completions of $o$KLR algebras and
affine Hecke algebras of type $\sf C$, we prove that ${}^{\theta}{\sf F}$
recovers the Schur-Weyl dualities due to Fan-Lai-Li-Luo-Wang-Watanabe in
quasi-split type $\sf AIII$. Finally, we construct spectral K-matrices for
orientifold KLR algebras, yielding a meromorphic braiding on its category of
finite-dimensional representations. We prove that, in the case of the ${\sf
A}_{\infty}$ quiver with no fixed points and no framing, the functor
${}^{\theta}{\sf F}$ is exact, factors through a suitable localization, and
takes values in a boundary analogue of the Hernandez-Leclerc category.",-0.15614882,-0.39435697,-0.119693205,B
4578,"In Section 7, we further study the K-
matrix operators for oKLR algebra corresponding to the quiver A∞ with no framing
and no ﬁxed point and provide explicit formulae for modules associated to segments.",6.3.1).,"In Section 8, we construct an isomorphism `a la Brundan-Kleshchev-Rouquier (BKR)
between suitable completions of oKLR algebras and aﬃne Hecke algebras of type C
(Thm.",2022-04-08 15:26:18+00:00,Generalized Schur-Weyl dualities for quantum affine symmetric pairs and orientifold KLR algebras,math.RT,"['math.RT', 'math.QA']","[arxiv.Result.Author('Andrea Appel'), arxiv.Result.Author('Tomasz Przezdziecki')]","Let $\mathfrak{g}$ be a complex simple Lie algebra and $U_qL\mathfrak{g}$ the
corresponding quantum affine algebra. We construct a functor ${}^{\theta}{\sf
F}$ between finite-dimensional modules over a quantum symmetric pair of affine
type $U_q\mathfrak{k}\subset U_qL{\mathfrak{g}}$ and an orientifold KLR algebra
arising from a framed quiver with a contravariant involution, providing a
boundary analogue of Kang-Kashiwara-Kim-Oh generalized Schur-Weyl duality. With
respect to their construction, our combinatorial model is further enriched with
the poles of a trigonometric K-matrix intertwining the action of
$U_q\mathfrak{k}$ on finite-dimensional $U_qL{\mathfrak{g}}$-modules. By
construction, ${}^{\theta}{\sf F}$ is naturally compatible with the
Kang-Kashiwara-Kim-Oh functor in that, while the latter is a functor of
monoidal categories, ${}^{\theta}{\sf F}$ is a functor of module categories.
Relying on a suitable isomorphism \`a la Brundan-Kleshchev-Rouquier, we prove
that ${}^{\theta}{\sf F}$ recovers the Schur-Weyl dualities due to
Fan-Lai-Li-Luo-Wang-Watanabe in quasi-split type $\sf AIII$. We construct
spectral K-matrices for orientifold KLR algebras, yielding a meromorphic
braided module structure on its category of finite-dimensional representations.
Finally, we prove that in the case of the ${\sf A}_{\infty}$ quiver with no
fixed points and no framing the functor ${}^{\theta}{\sf F}$ is exact.",-0.16126454,-0.39725608,-0.12351943,B
4609,We think this could be an interesting algebra for further study.,"One can give a combinatorial rule for how to

multiply strings.","Next, let M = C(R) and consider End(M⊗n).",2022-04-09 18:30:18+00:00,Oligomorphic groups and tensor categories,math.RT,"['math.RT', 'math.CO', 'math.LO']","[arxiv.Result.Author('Nate Harman'), arxiv.Result.Author('Andrew Snowden')]","Given an oligomorphic group $G$ and a measure $\mu$ for $G$ (in a sense that
we introduce), we define a rigid tensor category $\underline{\mathrm{Perm}}(G;
\mu)$ of ""permutation modules,"" and, in certain cases, an abelian envelope
$\underline{\mathrm{Rep}}(G; \mu)$ of this category. When $G$ is the infinite
symmetric group, this recovers Deligne's interpolation category, while other
choices for $G$ lead to fundamentally new tensor categories. In particular, we
give the first example (so far as we know) of a $\mathbf{C}$-linear rigid
tensor category that bears no obvious relation to finite dimensional
representations. One interesting aspect of our construction is that, unlike
much previous work in this direction, our categories are concrete: the objects
are modules over a ring, and the tensor product receives a universal bi-linear
map. Central to our constructions is a novel theory of integration on
oligomorphic groups, which could be of more general interest. Classifying the
measures on an oligomorphic group appears to be a difficult problem, which we
solve in only a few cases.",-0.12616885,0.07932305,-0.09392828,B
6190,"Several open questions related with further study of the Lie superalgebras introduced and
                                                    with their possible applications to dynamical systems, such as KdV, are formulated.","Completely
                                                    diﬀerent new types of super versions of gl(∞) are introduced in this paper: these are Lie
                                                    superalgebras of supermatrices inﬁnite in all directions with non-zero elements of each matrix
                                                    occupying a region around the main diagonal bounded by certain curves, not straight ligns.",§1.,2022-05-14 12:04:13+00:00,How to superize $\mathfrak{gl}(\infty)$,math.RT,"['math.RT', '17B10, 17B65']",[arxiv.Result.Author('George Egorov')],"Penkov with co-authors stdied several types of Lie algebra
$\mathfrak{gl}(\infty)$. Completely different new types of super versions of
$\mathfrak{gl}(\infty)$ are introduced in this paper: these are Lie
superalgebras of supermatrices infinite in all directions with non-zero
elements of each matrix occupying a region around the main diagonal bounded by
certain curves, not straight ligns. Several open questions related with further
study of the Lie superalgebras introduced and with their possible applications
to dynamical systems, such as KdV, are formulated.",-0.09043957,0.16236165,-0.06733314,C
6937,"We leave further study of the representation
theory of the multi-layer algebras in the future.","We also ﬁnd
the module category of Γ is equivalent the module category of certain diagram of
a quiver of type A˜n+1 with only one arrow in the opposite direction, assigning to
each vertex the category of Γ-modules.","For higher slice algebra Γ of inﬁnite type, using the multi-layer quiver construc-
tion, with Γ(0) = Γ and Γ(t + 1) = Γ(t), we get an iterated way of constructing a
tower of higher slice algebras of inﬁnite type.",2022-05-31 00:49:35+00:00,Multi-layer quivers and higher slice algebras,math.RT,"['math.RT', 'math.RA', '16G20, 16G70, 16S37']","[arxiv.Result.Author('Jin Yun Guo'), arxiv.Result.Author('Yanping Hu'), arxiv.Result.Author('Deren Luo')]","In this paper, we introduce multi-layer quiver and show how to construct an
$(n+1)$-slice algebras of infinite type from an $n$-slice algebra of infinite
type using the bound quivers. This leads to constructing $(n+1)$-slice algebras
of infinite type as matrix algebra and as tensor algebra of an $n$-slice
algebra and equivalences of their module categories as the module categories of
diagram of some quiver of type $\widetilde{A}_{n+1}$.",-0.22946256,-0.39805314,-0.18310778,B_centroid
6938,"We leave further study of the representation theory of multi-layer quivers and
algebras in the future.","The representation theory of Λ and Γ are related to the morphism
categories Morn(Λ) and Morn(Γ) (see [33, 10]).",7.,2022-05-31 00:49:35+00:00,Multi-layer quivers and higher slice algebras,math.RT,"['math.RT', 'math.RA', '16G20, 16G70, 16S37']","[arxiv.Result.Author('Jin Yun Guo'), arxiv.Result.Author('Yanping Hu'), arxiv.Result.Author('Deren Luo')]","In this paper, we introduce multi-layer quiver and show how to construct an
$(n+1)$-slice algebras of infinite type from an $n$-slice algebra of infinite
type using the bound quivers. This leads to constructing $(n+1)$-slice algebras
of infinite type as matrix algebra and as tensor algebra of an $n$-slice
algebra and equivalences of their module categories as the module categories of
diagram of some quiver of type $\widetilde{A}_{n+1}$.",-0.28561223,-0.38024247,-0.20840348,B
6988,"Therefore, for general reductive algebraic group G,
the category C (G) may be a good category for further study.","However the representation M he constructed in [3] is not in the
category C (SL2(F¯q)).",Acknowledgements.,2022-06-01 02:06:35+00:00,Certain complex representations of $SL_2(\bar{\mathbb{F}}_q)$,math.RT,['math.RT'],[arxiv.Result.Author('Junbin Dong')],"We introduce the representation category $\mathscr{C}({\bf G})$ for a
connected reductive algebraic group ${\bf G}$ which is defined over a finite
field. We show that this category has many good properties for ${\bf
G}=SL_2(\bar{\mathbb{F}}_q)$. In particular, it is an abelian category and a
highest weight category. Moreover, we classify the simple objects in
$\mathscr{C}({\bf G})$ for ${\bf G}=SL_2(\bar{\mathbb{F}}_q)$.",-0.21292308,0.22751464,-0.41680813,B
6989,"Therefore, for general reductive algebraic group G,
the category C (G) may be a good category for further study.","However the representation M he constructed in [3] is not in the
category C (SL2(F¯q)).",Acknowledgements.,2022-06-01 02:06:35+00:00,Certain complex representations of $SL_2(\bar{\mathbb{F}}_q)$,math.RT,['math.RT'],[arxiv.Result.Author('Junbin Dong')],"We introduce the representation category $\mathscr{C}({\bf G})$ for a
connected reductive algebraic group ${\bf G}$ which is defined over a finite
field $\mathbb{F}_q$ of $q$ elements. We show that this category has many good
properties for ${\bf G}=SL_2(\bar{\mathbb{F}}_q)$. In particular, it is an
abelian category and a highest weight category. Moreover, we classify the
simple objects in $\mathscr{C}({\bf G})$ for ${\bf
G}=SL_2(\bar{\mathbb{F}}_q)$.",-0.21292308,0.22751464,-0.41680813,B
