Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
408,We discuss now possible avenues for further research.,"We stress that the present work is to be considered only
as the ﬁrst step towards using the tools from TDA to develop statistical tests for slice-based datasets.","First, motivated by the shape of the speciﬁc dataset, we established the asymptotic normality for
domains that are largein the x- and y-direction but are ﬁxed in the z-direction.",2022-01-11 17:26:41+00:00,Topology-based goodness-of-fit tests for sliced spatial data,math.ST,"['math.ST', 'cs.CG', 'math.AT', 'stat.TH', '60F05']","[arxiv.Result.Author('Alessandra Cipriani'), arxiv.Result.Author('Christian Hirsch'), arxiv.Result.Author('Martina Vittorietti')]","In materials science and many other application domains, 3D information can
often only be extrapolated by taking 2D slices. In topological data analysis,
persistence vineyards have emerged as a powerful tool to take into account
topological features stretching over several slices. In the present paper, we
illustrate how persistence vineyards can be used to design rigorous statistical
hypothesis tests for 3D microstructure models based on data from 2D slices.
More precisely, by establishing the asymptotic normality of suitable
longitudinal and cross-sectional summary statistics, we devise goodness-of-fit
tests that become asymptotically exact in large sampling windows. We illustrate
the testing methodology through a detailed simulation study and provide a
prototypical example from materials science.",-0.12730187,-0.021145023,-0.14307755,B
1204,"But it can be

reasonably conjectured and deserves further study.","Thus the optimal rate of divergence of p is

still unknown for our weighted residual empirical process with random design.",Remark 1.,2022-01-29 09:31:45+00:00,"Weighted residual empirical processes, martingale transformations and model checking for regressions",math.ST,"['math.ST', 'stat.TH']","[arxiv.Result.Author('Falong Tan'), arxiv.Result.Author('Xu Guo'), arxiv.Result.Author('Lixing Zhu')]","In this paper we propose a new methodology for testing the parametric forms
of the mean and variance functions based on weighted residual empirical
processes and their martingale transformations in regression models. The
dimensions of the parameter vectors can be divergent as the sample size goes to
infinity. We then study the convergence of weighted residual empirical
processes and their martingale transformation under the null and alternative
hypotheses in the diverging dimension setting. The proposed tests based on
weighted residual empirical processes can detect local alternatives distinct
from the null at the fastest possible rate of order $n^{-1/2}$ but are not
asymptotically distribution-free. While the tests based on martingale
transformed weighted residual empirical processes can be asymptotically
distribution-free, yet, unexpectedly, can only detect the local alternatives
converging to the null at a much slower rate of order $n^{-1/4}$, which is
somewhat different from existing asymptotically distribution-free tests based
on martingale transformations. As the tests based on the residual empirical
process are not distribution-free, we propose a smooth residual bootstrap and
verify the validity of its approximation in diverging dimension settings.
Simulation studies and a real data example are conducted to illustrate the
effectiveness of our tests.",-0.31980526,-0.09356468,-0.023768917,B
1205,"This is beyond the scope of this paper and
deserves further research.","Thus we conjecture that the classic residual bootstrap is still valid when
the dimension of the parameter vector diverges.","22
Table 1: Empirical sizes and powers of T CvMnd and T CvMn for H11 with diﬀerent bandwidths.",2022-01-29 09:31:45+00:00,"Weighted residual empirical processes, martingale transformations and model checking for regressions",math.ST,"['math.ST', 'stat.TH']","[arxiv.Result.Author('Falong Tan'), arxiv.Result.Author('Xu Guo'), arxiv.Result.Author('Lixing Zhu')]","In this paper we propose a new methodology for testing the parametric forms
of the mean and variance functions based on weighted residual empirical
processes and their martingale transformations in regression models. The
dimensions of the parameter vectors can be divergent as the sample size goes to
infinity. We then study the convergence of weighted residual empirical
processes and their martingale transformation under the null and alternative
hypotheses in the diverging dimension setting. The proposed tests based on
weighted residual empirical processes can detect local alternatives distinct
from the null at the fastest possible rate of order $n^{-1/2}$ but are not
asymptotically distribution-free. While the tests based on martingale
transformed weighted residual empirical processes can be asymptotically
distribution-free, yet, unexpectedly, can only detect the local alternatives
converging to the null at a much slower rate of order $n^{-1/4}$, which is
somewhat different from existing asymptotically distribution-free tests based
on martingale transformations. As the tests based on the residual empirical
process are not distribution-free, we propose a smooth residual bootstrap and
verify the validity of its approximation in diverging dimension settings.
Simulation studies and a real data example are conducted to illustrate the
effectiveness of our tests.",-0.291547,0.014308221,0.07913581,C
1378,"A lead for further research would be to consider such wider classes
of algorithms, for which various stability hypotheses replace advantageously the assumption
of ﬁnite VC dimension (see e.g.","2013, where the variance of the K-fold CV is shown to be K-times smaller than
that of the empirical risk.","Kearns and Ron 1999; Bousquet and Elisseeﬀ 2001, 2002).",2022-02-01 15:40:53+00:00,Cross Validation for Rare Events,math.ST,"['math.ST', 'stat.TH']","[arxiv.Result.Author('Anass Aghbalou'), arxiv.Result.Author('Patrice Bertail'), arxiv.Result.Author('François Portier'), arxiv.Result.Author('Anne Sabourin')]","We derive sanity-check bounds for the cross-validation (CV) estimate of the
generalization risk for learning algorithms dedicated to extreme or rare
events. We consider classification on extreme regions of the covariate space, a
problem analyzed in Jalalzai et al. 2018. The risk is then a probability of
error conditional to the norm of the covariate vector exceeding a high
quantile. Establishing sanity-check bounds consist in recovering bounds
regarding the CV estimate that are of the same nature as the ones regarding the
empirical risk. We achieve this goal both for K-fold CV with an exponential
bound and for leave-p-out CV with a polynomial bound, thus extending the
state-of-the-art results to the modified version of the risk which is adapted
to extreme value analysis.",-0.21160804,0.036540687,-0.0180655,C
1392,"It is interesting to further study the above posterior distributions for the particular
cases where the mixing density (i.e., V or K) of the MMN model is of the form

                                        g(k) ∝ e−c1k2/2−c2k I(0,∞)(k),                         (3.22)

with c1 > 0, c2 ∈ R or c1 = 0, c2 > 0.",Example 3.3.,"Several of these distributions were presented in Example 2.1,
but we recall that the cases c1 > 0 for instance, which correspond to truncated normal distributions
on (0, ∞), lead to skew-normal densities (2.4) for c2 = 0.",2022-02-01 18:22:37+00:00,Bayesian inference and prediction for mean-mixtures of normal distributions,math.ST,"['math.ST', 'stat.TH', '62C20, 62C25 (Primary), 62C10 (Secondary)']","[arxiv.Result.Author('Pankaj Bhagwat'), arxiv.Result.Author('Eric Marchand')]","We study frequentist risk properties of predictive density estimators for
mean mixtures of multivariate normal distributions, involving an unknown
location parameter $\theta \in \mathbb{R}^d$, and which include multivariate
skew normal distributions. We provide explicit representations for Bayesian
posterior and predictive densities, including the benchmark minimum risk
equivariant (MRE) density, which is minimax and generalized Bayes with respect
to an improper uniform density for $\theta$. For four dimensions or more, we
obtain Bayesian densities that improve uniformly on the MRE density under
Kullback-Leibler loss. We also provide plug-in type improvements, investigate
implications for certain type of parametric restrictions on $\theta$, and
illustrate and comment the findings based on numerical evaluations.",-0.2572877,0.042684108,-0.2742389,B
1564,"As supported by both
theoretical guarantees and empirical supports, we believe that the (M, k)-NN rules, especially for k = 1, can
be widely deployed in practical systems and deserve further study including an optimally weighted version of
the classiﬁer as studied in (Duan et al., 2020).","We also removed the logarithmic factors by the distance-selective aggregation and exhibited some
level of performance boost in experimental results; it is an open question whether the logarithmic factor is
fundamental for the vanilla (M, k)-NN rules or can be removed by a tighter analysis.","We conclude with remarks on a seeming connection between the proposed distance-selective aggregation
and the k-NN based outlier detection methods.",2022-02-05 01:59:09+00:00,One-Nearest-Neighbor Search is All You Need for Minimax Optimal Regression and Classification,math.ST,"['math.ST', 'cs.DC', 'cs.IT', 'cs.LG', 'math.IT', 'stat.TH']","[arxiv.Result.Author('J. Jon Ryu'), arxiv.Result.Author('Young-Han Kim')]","Recently, Qiao, Duan, and Cheng~(2019) proposed a distributed
nearest-neighbor classification method, in which a massive dataset is split
into smaller groups, each processed with a $k$-nearest-neighbor classifier, and
the final class label is predicted by a majority vote among these groupwise
class labels. This paper shows that the distributed algorithm with $k=1$ over a
sufficiently large number of groups attains a minimax optimal error rate up to
a multiplicative logarithmic factor under some regularity conditions, for both
regression and classification problems. Roughly speaking, distributed
1-nearest-neighbor rules with $M$ groups has a performance comparable to
standard $\Theta(M)$-nearest-neighbor rules. In the analysis, alternative rules
with a refined aggregation method are proposed and shown to attain exact
minimax optimal rates.",-0.09418697,-0.04011397,-0.007357989,C
1565,"As supported by both theoretical guarantees
and empirical supports, we believe that the (M, k)-NN rules, especially for k = 1, can be widely deployed
in practical systems and deserve further study including an optimally weighted version of the classiﬁer as
studied in (Duan et al., 2020).","We also
removed the logarithmic factors by the distance-selective aggregation and exhibited some level of performance
boost in experimental results; it is an open question whether the logarithmic factor is fundamental for the
vanilla (M, k)-NN rules or can be removed by a tighter analysis.","It would be also interesting if the current divide-and-conquer framework
can be modiﬁed to be universally consistent for any general metric space, whenever such a consistent rule
exists (Hanneke et al., 2020; Gy¨orﬁ & Weiss, 2021).",2022-02-05 01:59:09+00:00,One-Nearest-Neighbor Search is All You Need for Minimax Optimal Regression and Classification,math.ST,"['math.ST', 'cs.DC', 'cs.IT', 'cs.LG', 'math.IT', 'stat.TH']","[arxiv.Result.Author('J. Jon Ryu'), arxiv.Result.Author('Young-Han Kim')]","Recently, Qiao, Duan, and Cheng~(2019) proposed a distributed
nearest-neighbor classification method, in which a massive dataset is split
into smaller groups, each processed with a $k$-nearest-neighbor classifier, and
the final class label is predicted by a majority vote among these groupwise
class labels. This paper shows that the distributed algorithm with $k=1$ over a
sufficiently large number of groups attains a minimax optimal error rate up to
a multiplicative logarithmic factor under some regularity conditions, for both
regression and classification problems. Roughly speaking, distributed
1-nearest-neighbor rules with $M$ groups has a performance comparable to
standard $\Theta(M)$-nearest-neighbor rules. In the analysis, alternative rules
with a refined aggregation method are proposed and shown to attain exact
minimax optimal rates.",-0.020439822,0.07364541,0.09698608,C
2731,The spectrahedra we have identiﬁed deserve further study.,"These include linear
concentration models such as Gaussian models on undirected graphs as well as Gaussian
models on DAGs.","The case of bivariate correlation models is quite interesting since they provide the ﬁrst small
instance where logarithmic Voronoi cells need not have to be semi-algebraic.",2022-03-03 02:24:21+00:00,Logarithmic Voronoi Cells for Gaussian Models,math.ST,"['math.ST', 'math.AG', 'math.MG', 'stat.TH', '62R01, 52A40']","[arxiv.Result.Author('Yulia Alexandr'), arxiv.Result.Author('Serkan Hoşten')]","We extend the theory of logarithmic Voronoi cells to Gaussian statistical
models. In general, a logarithmic Voronoi cell at a point on a Gaussian model
is a convex set contained in its log-normal spectrahedron. We show that for
models of ML degree one and linear covariance models the two sets coincide. In
particular, they are equal for both directed and undirected graphical models.
We introduce decomposition theory of logarithmic Voronoi cells for the latter
family. We also study covariance models, for which logarithmic Voronoi cells
are, in general, strictly contained in log-normal spectrahedra. We give an
explicit description of logarithmic Voronoi cells for the bivariate correlation
model and show that they are semi-algebraic sets. Finally, we state a
conjecture that logarithmic Voronoi cells for unrestricted correlation models
are not semi-algebraic.",-0.23335004,0.5547707,-0.25268734,C
2732,The spectrahedra we have identiﬁed deserve further study.,"These include linear
concentration models such as Gaussian models on undirected graphs as well as Gaussian
models on DAGs.","The case of bivariate correlation models is quite interesting since they provide the ﬁrst small
instance where logarithmic Voronoi cells need not have to be semi-algebraic.",2022-03-03 02:24:21+00:00,Logarithmic Voronoi Cells for Gaussian Models,math.ST,"['math.ST', 'math.AG', 'math.MG', 'stat.TH', '62R01, 52A40']","[arxiv.Result.Author('Yulia Alexandr'), arxiv.Result.Author('Serkan Hoşten')]","We extend the theory of logarithmic Voronoi cells to Gaussian statistical
models. In general, a logarithmic Voronoi cell at a point on a Gaussian model
is a convex set contained in its log-normal spectrahedron. We show that for
models of ML degree one and linear covariance models the two sets coincide. In
particular, they are equal for both directed and undirected graphical models.
We introduce decomposition theory of logarithmic Voronoi cells for the latter
family. We also study covariance models, for which logarithmic Voronoi cells
are, in general, strictly contained in log-normal spectrahedra. We give an
explicit description of logarithmic Voronoi cells for the bivariate correlation
model and show that they are semi-algebraic sets. Finally, we state a
conjecture that logarithmic Voronoi cells for unrestricted correlation models
are not semi-algebraic.",-0.23335004,0.5547707,-0.25268734,C
2733,The spectrahedra we have identiﬁed deserve further study.,"These include linear
concentration models such as Gaussian models on undirected graphs as well as Gaussian
models on DAGs.","The case of bivariate correlation models is quite interesting since they provide the ﬁrst small
instance where logarithmic Voronoi cells need not have to be semi-algebraic.",2022-03-03 02:24:21+00:00,Logarithmic Voronoi Cells for Gaussian Models,math.ST,"['math.ST', 'math.AG', 'math.MG', 'stat.TH', '62R01, 52A40']","[arxiv.Result.Author('Yulia Alexandr'), arxiv.Result.Author('Serkan Hoşten')]","We extend the theory of logarithmic Voronoi cells to Gaussian statistical
models. In general, a logarithmic Voronoi cell at a point on a Gaussian model
is a convex set contained in its log-normal spectrahedron. We show that for
models of ML degree one and linear covariance models the two sets coincide. In
particular, they are equal for both directed and undirected graphical models.
We introduce decomposition theory of logarithmic Voronoi cells for the latter
family. We also study covariance models, for which logarithmic Voronoi cells
are, in general, strictly contained in log-normal spectrahedra. We give an
explicit description of logarithmic Voronoi cells for the bivariate correlation
model and show that they are semi-algebraic sets. Finally, we prove that
boundaries of logarithmic Voronoi cells for unrestricted correlation models
cannot be described by polynomials over $\bar{\mathbb{Q}}$.",-0.23335004,0.5547707,-0.25268734,C
