Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
2607,"This led to further study
of high-dimensional chaos in the Mackey-Glass equation [27, 31], as well as related
equations such as the Ikeda DDE [21].","He also observed that
the attractor dimension increases linearly with the delay.","Mensour and Longtin [31] study power
spectra in detail for the Mackey-Glass and Ikeda DDEs and hence demonstrate the
connections between the power spectra, Lyapunov dimension, and the linearisation
about the steady state which lead to the dimension increasing linearly with the
delay τ .",2022-03-01 02:12:36+00:00,"Bistability, Bifurcations and Chaos in the Mackey-Glass Equation",nlin.CD,"['nlin.CD', 'math.DS', 'Primary: 34K18, 34K60. Secondary: 34K13, 34K23, 37G15, 37L30, 37N25']","[arxiv.Result.Author('Valentin Duruisseaux'), arxiv.Result.Author('Antony R. Humphries')]","Numerical bifurcation analysis, and in particular two-parameter continuation,
is used in consort with numerical simulation to reveal complicated dynamics in
the Mackey-Glass equation for moderate values of the delay close to the onset
of chaos. In particular a cusp bifurcation of periodic orbits and resulting
branches of folds of periodic orbits effectively partitions the parameter space
into regions where different behaviours are seen. The cusp bifurcation leads
directly to bistability between periodic orbits, and subsequently to
bistability between a periodic orbit and a chaotic attractor. This leads to two
different global bifurcations by which the chaotic attractor is destroyed in a
bifurcation with a periodic orbit. In another part of parameter space a
sequence of subcritical period-doublings is found to give rise to bistability
between a periodic orbit and a chaotic attractor. Torus bifurcations, and a
codimension-two fold-flip bifurcation are also identified, and Lyapunov
exponent computations are used to determine chaotic regions and attractor
dimension.",-0.21823746,0.49193406,-0.12000829,B
2608,"This led to further study
of high-dimensional chaos in the Mackey-Glass equation [28, 32], as well as related
equations such as the Ikeda DDE [22].","He also observed that
the attractor dimension increases linearly with the delay.","Mensour and Longtin [32] study power
spectra in detail for the Mackey-Glass and Ikeda DDEs and hence demonstrate the
connections between the power spectra, Lyapunov dimension, and the linearisation
about the steady state which lead to the dimension increasing linearly with the
delay τ .",2022-03-01 02:12:36+00:00,"Bistability, Bifurcations and Chaos in the Mackey-Glass Equation",nlin.CD,"['nlin.CD', 'math.DS', 'Primary: 34K18, 34K60. Secondary: 34K13, 34K23, 37G15, 37L30, 37N25']","[arxiv.Result.Author('Valentin Duruisseaux'), arxiv.Result.Author('Antony R. Humphries')]","Numerical bifurcation analysis, and in particular two-parameter continuation,
is used in consort with numerical simulation to reveal complicated dynamics in
the Mackey-Glass equation for moderate values of the delay close to the onset
of chaos. In particular a cusp bifurcation of periodic orbits and resulting
branches of folds of periodic orbits effectively partition the parameter space
into regions where different behaviours are seen. The cusp bifurcation leads
directly to bistability between periodic orbits, and subsequently to
bistability between a periodic orbit and a chaotic attractor. This leads to two
different mechanisms by which the chaotic attractor is destroyed in a global
bifurcation with a periodic orbit in either an interior crisis or a boundary
crisis. In another part of parameter space a sequence of subcritical
period-doublings is found to give rise to bistability between a periodic orbit
and a chaotic attractor. Torus bifurcations, and a codimension-two fold-flip
bifurcation are also identified, and Lyapunov exponent computations are used to
determine chaotic regions and attractor dimension.",-0.21932137,0.4909007,-0.12191214,B
2623,"3 Disordered nonlinear system

Having considered the behavior of the system in the linear limit, we further study the
fully nonlinear system as described by Eqs.","4(d), showing that indeed the system is eﬀectively a 1D linear disordered KG
chain.",(2)-(3).,2022-03-01 12:10:10+00:00,Wave-packet spreading in disordered soft architected structures,nlin.CD,['nlin.CD'],"[arxiv.Result.Author('Arnold Ngapasare'), arxiv.Result.Author('Georgios Theocharis'), arxiv.Result.Author('Olivier Richoux'), arxiv.Result.Author('Charalampos'), arxiv.Result.Author('Skokos'), arxiv.Result.Author('Vassos Achilleos')]","We study the dynamical and chaotic behavior of a disordered one-dimensional
elastic mechanical lattice which supports translational and rotational waves.
The model used in this work is motivated by the recent experimental results of
B. Deng et al., Nat. Commun. 9, 3410 (2018). This lattice is characterized by
strong geometrical nonlinearities and the coupling of two degrees-of-freedom
(DoFs) per site. Although the linear limit of the structure consists of a
linear Fermi-Pasta-Ulam-Tsingou lattice and a linear Klein-Gordon (KG) lattice
whose DoFs are uncoupled, by using single site initial excitations on the
rotational DoF, we evoke the nonlinear coupling between the system's
translational and rotational DoFs. Our results reveal that such coupling
induces rich wave-packet spreading behavior in the presence of strong disorder.
In the weakly nonlinear regime, we observe energy spreading only due to the
coupling of the two DoFs (per site) which is in contrast to what is known for
KG lattices with a single DoF per lattice site, where the spreading occurs due
to chaoticity. Additionally, for strong nonlinearities, we show that initially
localized wave-packets attain near ballistic behavior in contrast to other
known models. We also reveal persistent chaos during energy spreading, although
its strength decreases in time as quantified by the evolution of the system's
finite-time maximum Lyapunov exponent. Our results show that flexible,
disordered and strongly nonlinear lattices are a viable platform to study
energy transport in combination with multiple DoFs (per site), also present an
alternative way to control energy spreading in heterogeneous media.",-0.08443452,0.4073081,0.07365787,B
2624,"3 Disordered nonlinear system

Having considered the behavior of the system in the linear limit, we further study the
fully nonlinear system as described by Eqs.","4(d), showing that indeed the system is eﬀectively a 1D linear disordered KG
chain.",(2)-(3).,2022-03-01 12:10:10+00:00,Wave-packet spreading in disordered soft architected structures,nlin.CD,['nlin.CD'],"[arxiv.Result.Author('Arnold Ngapasare'), arxiv.Result.Author('Georgios Theocharis'), arxiv.Result.Author('Olivier Richoux'), arxiv.Result.Author('Charalampos Skokos'), arxiv.Result.Author('Vassos Achilleos')]","We study the dynamical and chaotic behavior of a disordered one-dimensional
elastic mechanical lattice which supports translational and rotational waves.
The model used in this work is motivated by the recent experimental results of
B. Deng et al., Nat. Commun. 9, 3410 (2018). This lattice is characterized by
strong geometrical nonlinearities and the coupling of two degrees-of-freedom
(DoFs) per site. Although the linear limit of the structure consists of a
linear Fermi-Pasta-Ulam-Tsingou lattice and a linear Klein-Gordon (KG) lattice
whose DoFs are uncoupled, by using single site initial excitations on the
rotational DoF, we evoke the nonlinear coupling between the system's
translational and rotational DoFs. Our results reveal that such coupling
induces rich wave-packet spreading behavior in the presence of strong disorder.
In the weakly nonlinear regime, we observe energy spreading only due to the
coupling of the two DoFs (per site) which is in contrast to what is known for
KG lattices with a single DoF per lattice site, where the spreading occurs due
to chaoticity. Additionally, for strong nonlinearities, we show that initially
localized wave-packets attain near ballistic behavior in contrast to other
known models. We also reveal persistent chaos during energy spreading, although
its strength decreases in time as quantified by the evolution of the system's
finite-time maximum Lyapunov exponent. Our results show that flexible,
disordered and strongly nonlinear lattices are a viable platform to study
energy transport in combination with multiple DoFs (per site), also present an
alternative way to control energy spreading in heterogeneous media.",-0.08443452,0.4073081,0.07365787,B
4280,"These are the principal directions of further research that are suggested by the results of the present
investigation.","Constructing Beltrami ﬁelds in a fundamental tetrahedrical rather than cubic cell might lead to a new
quality of solutions and in particular one might study complex three dimensional geometries in terms
of symplexes.","The construction, testing and validation of the two MATHEMATICA CODES described
in the Appendices is to be regarded as an achievement since they constitute the essential basis for all
the further investigations outlined above and the starting point for all possible future applications.",2022-04-03 09:34:14+00:00,"Chaos from Symmetry: Navier Stokes equations, Beltrami fields and the Universal Classifying Crystallographic Group",nlin.CD,"['nlin.CD', 'hep-th', 'math-ph', 'math.MP', 'math.SG']","[arxiv.Result.Author('Pietro G. Fré'), arxiv.Result.Author('Mario Trigiante')]","In this report-article, the general setup to classify and construct
Arnold-Beltrami Flows on three-dimensional torii, previously introduced by one
of us, is further pursued. The idea of a Universal Classifying Group (UCG) is
improved. In particular, we construct for the first time such group for the
hexagonal lattice. Mastering the cubic and hexagonal instances, we can cover
all cases. We upgrade Beltrami flows to a special type of periodic solutions of
the NS equations, presenting the relation between the classification of these
flows with the classification of contact structures. The recent developments in
contact and symplectic geometry, considering singular contact structures, in
the framework of b-manifolds, is also reviewed and we show that the choice of
the critical surface for the b-deformation seems to be strongly related to its
group-theoretical structures. This opens directions of investigation towards a
classification of the critical surfaces or boundaries in terms of the UCG and
subgroups. Furthermore, as a result of this research programme a complete set
of MATHEMATICA Codes (for the cubic and hexagonal cases) have been produced
that are able to construct Beltrami Flows with an arbitrarily large number of
parameters and analyze their hidden symmetry structures. Indeed the main goal
is the systematic organization of the parameter space into group irreps. The
two Codes are a further result, being the unavoidable basis for further
investigations. The presented exact solutions illustrate the new conceptions
and ideas here discussed. The main message is: the more symmetric is the
Beltrami Flow, the highest the probability of an on-set of chaotic
trajectories. In various applications we need chaos on small scales and a more
orderly motion on larger ones. Merging elementary chaotic solutions with large
directional ordered flows is the target for future research.",0.1692301,-0.47875994,-0.1227756,A
4326,"Semiclassical ap-
further study.",II.,proximation.,2022-04-04 13:40:46+00:00,Finite M results for time delay moments in all symmetry classes,nlin.CD,['nlin.CD'],[arxiv.Result.Author('Marcel Novaes')],"Within a random matrix theory approach, we obtain spectral statistics of the
Wigner time delay matrix $Q$, for arbitrary channels number $M$ and for all
symmetry classes, in fact for general Dyson parameter $\beta$. For small values
of $M$, the observables develop singularities at fractional values of $\beta$
which may be of physical consequence in situations of partial breaking of the
time-reversal symmetry. We also put forth two conjectures: one is related to
the large-$M$ expansion of joint cumulants of traces of powers of $Q$, which
generalizes and implies a previous conjecture of Cunden, Mezzadri, Vivo and
Simm; the other concerns the tail of the distribution of traces of powers of
$Q$.",0.04756009,-0.3954931,0.588132,C
4327,This topic deserves further study.,"fact, this connection has already been stablished for the
α = 1 case in [35].","[16] C. Texier, S. N. Majumdar, Wigner time-delay distribu-
                                                                          tion in chaotic cavities and freezing transition.",2022-04-04 13:40:46+00:00,Time delay statistics for finite number of channels in all symmetry classes,nlin.CD,['nlin.CD'],[arxiv.Result.Author('Marcel Novaes')],"Within a random matrix theory approach, we obtain spectral statistics of the
Wigner time delay matrix $Q$, for arbitrary channels number $M$ and for all
symmetry classes, in fact for general Dyson parameter $\beta$. We also put
forth two conjectures: one is related to the large-$M$ expansion of joint
cumulants of traces of powers of $Q$, which generalizes and implies a previous
conjecture of Cunden, Mezzadri, Vivo and Simm; the other concerns the tail of
the distribution of traces of powers of $Q$.",-0.17415416,-0.011921189,0.026886085,C
5751,"(12) by introducing a
            X(t) ≡        δ(t − q)           (5)              “matryoshka” setting, which will also be useful for the
                                                              further study.",It is convenient to interpret Eq.,"In this setting, the network of N neurons
                    q=−∞                                      is considered as a part of a larger network of N+ neurons,
                                                              where N+ → ∞ while N is kept ﬁnite, see Fig.",2022-05-04 10:32:38+00:00,Shot noise in next-generation neural mass models,nlin.CD,['nlin.CD'],"[arxiv.Result.Author('Vladimir Klinshov'), arxiv.Result.Author('Sergey Kirillov')]","Recently, the so-called next-generation neural mass models have received a
lot of attention of the researchers in the field of mathematical neuroscience.
The ability of these models to account for the degree of synchrony in neural
populations proved useful in many contexts such as the modeling of brain
rhythms, working memory and spatio-temporal patterns of activity. In the
present Letter we study the effects of finite size on the collective behaviour
of neural networks and show that they can be captured by appropriately modified
neural mass models. Namely, the finite size of the network leads to the
emergence of the shot noise appearing as a stochastic term in the neural mass
model. We calculate the power spectrum of the shot noise and show that it might
demonstrate pronounced peaks in the frequencies comparable to the mean firing
rate. Although the shot noise is weak in large massively connected networks,
its impact on the collective dynamics might be crucial due to resonance
effects.",-0.04764504,0.0048045376,0.43051314,C
5805,"A future direction, tying into applications and personalized assessments, is to further study between-
subject diﬀerences in synchronization proﬁle and threshold eﬀects.","This study shows how our abstract mathematical approach can be used to capture the link
between weak connections and brain synchronization patterns.","As Figures 12 and 13 show, there is
variability between the number of synchronization clusters for diﬀerent subjects for any given threshold.",2022-05-05 01:23:15+00:00,Synchronization and clustering in complex quadratic networks,nlin.CD,['nlin.CD'],"[arxiv.Result.Author('Anca Radulescu'), arxiv.Result.Author('Danae Evans'), arxiv.Result.Author('Amani-Daisa Augustin'), arxiv.Result.Author('Anthony Cooper'), arxiv.Result.Author('Johan Nakuci'), arxiv.Result.Author('Sarah Muldoon')]","In continuation of prior work, we investigate ties between a network's
connectivity and ensemble dynamics. This relationship is notoriously difficult
to approach mathematically in natural, complex networks. In our work, we aim to
understand it in a canonical framework, using complex quadratic node dynamics,
coupled in networks which we call complex quadratic networks (CQNs).
  After previously defining extensions of the Mandelbrot and Julia sets for
networks, we currently focus on the behavior of the node-wise projections of
these sets, and on defining and analyzing the phenomena of node clustering and
synchronization. We investigate the mechanisms that lead to nodes exhibiting
identical or different Mandelbrot set. We propose that clustering is strongly
determined by the network connectivity patterns, with the geometry of these
clusters further controlled by the connection weights. We then illustrate the
concept of synchronization in an existing set of whole brain,
tractography-based networks obtained from 197 human subjects using diffusion
tensor imaging.
  Synchronization and clustering are well-studied in the context of networks of
oscillators, such as neural networks. Understanding the similarities to how
these concepts apply to CQNs contributes to our understanding of universal
principles in dynamic networks, and may help extend theoretical results to
natural, complex systems.",-0.13026914,-0.2790178,0.36767492,C
7211,"Problems of how
vibrations impact a material, such as changing the entire vibrational behavior of a simple spring-mass system due to
an external force, are grounds for further study.","Introduction

    The study of mechanical vibrations is one of the classic fields of mechanical engineering.","A simple change in initial conditions can lead to abrupt changes in
vibration amplitudes, which is one of the characteristics of a nonlinear system, such as pointed by researches made
by ”Nayfeh” in [1, 2].",2022-06-06 20:04:58+00:00,Discussion on Nonlinear Dynamic Behavior of Suspension Based Bridge Model,nlin.CD,['nlin.CD'],"[arxiv.Result.Author('Marcus Varanis'), arxiv.Result.Author('Felipe Lima de Abreu'), arxiv.Result.Author('Pedro Augusto Beck'), arxiv.Result.Author('Clivaldo de Oliveira'), arxiv.Result.Author('Mauricio Aparecido Ribeiro'), arxiv.Result.Author('José Manoel Balthazar')]","In this paper we explore the numerical study. of the Nonlinear Behavior of
Suspension Bridge Models. The study of suspension bridges is one of the classic
problems of mechanical vibrations, one of the most famous collapses of which
was that of the Tacoma Narrows Bridge. This paper covers an initial explanation
of vibrations in a suspension bridge. To do this, three different systems are
going to be simulated: The first being a system where only the vertical
vibrations of the bridge deck are taken into account, the second covering the
vibrations of the main cable and the roadbed, and lastly, a system that takes
both vertical and torsional vibrations into account. A time-frequency analysis
will also be done on all systems with temporal response, Fast Fourier Transform
(FFT) and Continuous Wavelet Transform (CWT), plus in a specific case the use
of Hilbert-Huang transform (HHT). Poincare maps and Lyapunov exponents are used
to characterize the dynamics of the system. In particular, in the vertical and
torsional system, an explanation of why the Tacoma Bridge oscillations have
undergone an abrupt change from vertical to torsional oscillations. Thus,
extremely rich dynamic behaviors are studied by numerical simulation in the
time and frequency domains.",0.28373224,0.21895522,0.16354604,A
