Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
17,"Besides, the eﬀect of a time delay and
                                                                phase diﬀerence in the feedback loop is an interesting
                                                                topic and deserves further study.","Looking
                                                                for better feedback strategies, especially with the help of
                                                                the fast-developing machine learning models, is a promis-
                                                                ing direction [42].","0

0.95  1  1.05                                                   Appendix A: Comparison of our model and
                                                                                     Fr¨ohlich’s model

FIG.",2022-01-01 22:53:48+00:00,Phonon condensation and cooling via nonlinear feedback,physics.app-ph,['physics.app-ph'],"[arxiv.Result.Author('Xu Zheng'), arxiv.Result.Author('Baowen Li')]","We show that in multimode mechanical systems, the amplification of the lowest
mode and the damping of all the other modes can be realized simultaneously via
nonlinear feedback. The feedback-induced dynamics of the multimode system is
related to the formation of phonon condensation. The phonon statistics of the
lowest mode are similar to those of a phonon laser. Finally, we show the
coherence of the lowest mode can be improved by an order of magnitude.",-0.23292714,0.052691225,0.0666043,A
209,"Therefore, further study of its polarization
switching mechanism and dynamics is necessary and is a subject of our ongoing investigations.",For AlScN the study of this effect is nascent.,"Beyond 5000 cycles, both MW and ON/OFF gradually decrease again and abruptly disappear in
the end.",2022-01-06 17:46:00+00:00,Scalable CMOS-BEOL compatible AlScN/2D Channel FE-FETs,physics.app-ph,"['physics.app-ph', 'cond-mat.mes-hall', 'cond-mat.mtrl-sci']","[arxiv.Result.Author('Kwan-Ho Kim'), arxiv.Result.Author('Seyong Oh'), arxiv.Result.Author('Merrilyn Mercy Adzo Fiagbenu'), arxiv.Result.Author('Jeffrey Zheng'), arxiv.Result.Author('Pariasadat Musavigharavi'), arxiv.Result.Author('Pawan Kumar'), arxiv.Result.Author('Nicholas Trainor'), arxiv.Result.Author('Areej Aljarb'), arxiv.Result.Author('Yi Wan'), arxiv.Result.Author('Hyong Min Kim'), arxiv.Result.Author('Keshava Katti'), arxiv.Result.Author('Zichen Tang'), arxiv.Result.Author('Vincent C. Tung'), arxiv.Result.Author('Joan Redwing'), arxiv.Result.Author('Eric A. Stach'), arxiv.Result.Author('Roy H. Olsson III'), arxiv.Result.Author('Deep Jariwala')]","Intimate integration of memory devices with logic transistors is a frontier
challenge in computer hardware. This integration is essential for augmenting
computational power concurrently with enhanced energy efficiency in big-data
applications such as artificial intelligence. Despite decades of efforts,
reliable, compact, energy efficient and scalable memory devices are elusive.
Ferroelectric Field Effect Transistors (FE-FETs) are a promising candidate but
their scalability and performance in a back-end-of-line (BEOL) process remain
unattained. Here, we present scalable BEOL compatible FE-FETs using
two-dimensional (2D) MoS2 channel and AlScN ferroelectric dielectric. We have
fabricated a large array of FE-FETs with memory windows larger than 7.8 V,
ON/OFF ratios of greater than 10^7, and ON current density greater than 250
uA/um, all at ~80 nm channel lengths. Our devices show stable retention up to
20000 secs and endurance up to 20000 cycles in addition to 4-bit pulse
programmable memory features thereby opening a path towards scalable 3D
hetero-integration of 2D semiconductor memory with Si CMOS logic.",-0.20226142,0.11511774,0.012323051,A
269,"In particular, the “covering layer” phe-
nomenon observed concurrently with knees in many studies deserves further study.","Both experimental and modeling eﬀorts
can improve our understanding of knee fundamentals and reveal other knee pathways and
internal state trajectories not captured in this work.","Second,
larger battery aging datasets over a variety of cell designs and use cases will aid fundamen-

                                                         64
tal, modeling, and prediction eﬀorts to capture a variety of knee pathways and internal state
trajectories.",2022-01-08 21:58:19+00:00,"""Knees"" in lithium-ion battery aging trajectories",physics.app-ph,"['physics.app-ph', 'cond-mat.mtrl-sci']","[arxiv.Result.Author('Peter M. Attia'), arxiv.Result.Author('Alexander Bills'), arxiv.Result.Author('Ferran Brosa Planella'), arxiv.Result.Author('Philipp Dechent'), arxiv.Result.Author('Gonçalo dos Reis'), arxiv.Result.Author('Matthieu Dubarry'), arxiv.Result.Author('Paul Gasper'), arxiv.Result.Author('Richard Gilchrist'), arxiv.Result.Author('Samuel Greenbank'), arxiv.Result.Author('David Howey'), arxiv.Result.Author('Ouyang Liu'), arxiv.Result.Author('Edwin Khoo'), arxiv.Result.Author('Yuliya Preger'), arxiv.Result.Author('Abhishek Soni'), arxiv.Result.Author('Shashank Sripad'), arxiv.Result.Author('Anna G. Stefanopoulou'), arxiv.Result.Author('Valentin Sulzer')]","Lithium-ion batteries can last many years but sometimes exhibit rapid,
nonlinear degradation that severely limits battery lifetime. In this work, we
review prior work on ""knees"" in lithium-ion battery aging trajectories. We
first review definitions for knees and three classes of ""internal state
trajectories"" (termed snowball, hidden, and threshold trajectories) that can
cause a knee. We then discuss six knee ""pathways"", including lithium plating,
electrode saturation, resistance growth, electrolyte and additive depletion,
percolation-limited connectivity, and mechanical deformation -- some of which
have internal state trajectories with signals that are electrochemically
undetectable. We also identify key design and usage sensitivities for knees.
Finally, we discuss challenges and opportunities for knee modeling and
prediction. Our findings illustrate the complexity and subtlety of lithium-ion
battery degradation and can aid both academic and industrial efforts to improve
battery lifetime.",0.053892717,0.22058234,-0.029827848,A
839,"We carried out several additional fabrications for further research
on this issue and successfully removed the side peak without reducing the spatial tolerance
          Fig.","3(b), suggesting
some difference of significance between the simulation and experiment (e.g., only the
fundamental mode of the fiber is considered in the simulations, while higher order modes may
have some real effect [23]).","5 (a), setup for fiber-chip-glue testing; (b), the packaged fiber-chip module.",2022-01-18 17:55:10+00:00,Packaging-enhanced optical fiber-chip interconnect with enlarged grating coupler and multimode fiber,physics.app-ph,"['physics.app-ph', 'physics.optics']","[arxiv.Result.Author('Chao Wang'), arxiv.Result.Author('Chingwen Chang'), arxiv.Result.Author('Jason Midkiff'), arxiv.Result.Author('Aref Asghari'), arxiv.Result.Author('James Fan'), arxiv.Result.Author('Jianying Zhou'), arxiv.Result.Author('Xiaochuan Xu'), arxiv.Result.Author('Huiping Tian'), arxiv.Result.Author('Ray T. Chen')]","Optical I/O plays a crucial role in the lifespan of lab-on-a-chip systems,
from preliminary testing to operation in the target environment. However, due
to the precise alignments required, efficient and reliable fiber-to-chip
connections remain challenging, yielding inconsistent test results and unstable
packaged performance. To overcome this issue, for use in single mode on-chip
systems, we propose the incorporation of area-enlarged grating couplers working
in conjunction with multimode fibers. This combination enables simpler, faster,
and more reliable connections than the traditional small area grating coupler
with single-mode fiber. In this work, we experimentally demonstrate a 3dB
in-plane (X, Y) spatial tolerance of (10.2 {\mu}m, 17.3 {\mu}m) for the large
area configuration, being at least (2.49, 3.33) times that of the small area
one, and agreeing well with theoretical calculations. The simple concept is
readily applicable to a range of photonic systems where cheaper more robust
optical I/O is desired.",-0.07966906,-0.22423092,-0.081496574,C
960,"Z. Duan, X. Tang, Z. Wang, Y. Zhang, X. Chen, M. Chen, and Y.
particle manipulation which not only fueled further research
interest in accelerating beams, but also added a new tool in the                    Gong, ""Observation of the reversed Cherenkov radiation,"" Nat.","Perhaps one of the most exciting
applications of accelerating wave in Smith Purcell radiation is                5.","arena of optical trapping and manipulation, where light-induced
forces play a crucial role.",2022-01-21 08:53:37+00:00,Generation of Accelerating Waves in Smith-Purcell Radiation,physics.app-ph,"['physics.app-ph', 'physics.optics']","[arxiv.Result.Author('Liqiao Jing'), arxiv.Result.Author('Dashuang Liao'), arxiv.Result.Author('Jie Tao'), arxiv.Result.Author('Hongsheng Chen'), arxiv.Result.Author('Zuojia Wang')]","Metasurface has recently emerged as a powerful platform to engineer wave
packets of free electron radiation at the mesoscale. Here, we propose that
accelerating waves can be generated when moving electrons interact with an
array of bianisotropic meta-atoms. By changing the intrinsic coupling strength,
we show full amplitude coverage and 0-to-{\pi} phase switching of Smith-Purcell
radiation from bianistropic meta-atoms. This unusual property leads to the
creation of Airy beams that shifts along a parabolic trajectory during
propagation. Experimental implementation displays that evanescent fields
bounded at slotted waveguides can be coupled into accelerating waves via
Smith-Purcell radiation from a designer bianisotropic metasuface. Our results
offer an alternative route towards free electron lasers with diffraction-free,
self-accelerating, and self-healing beam properties.",-0.35519516,-0.026806617,-0.039618447,A
1195,"An important point to be addressed here is the thickness
of carbon coating on NPs, which is the subject of further research.","[84] It is also noteworthy that the surface area of the composite (M‐Nb2O5@C/RGO) has been
increased by two times after the dual carbon coating than M‐Nb2O5@C[87], which may reflect
on the higher charge‐storage capacity.","Figure 6: X-ray diffraction pattern, high-resolution transmission electron micrographs and half-cell Li+-storage
performance of (A) MoO2-based QD/RGO and (B) MoS2-based NPs/RGO.",2022-01-29 00:56:45+00:00,Nanoparticle-enhanced Multifunctional Nanocarbons as Metal-ion Battery and Capacitor Anodes and Supercapacitor Electrodes -- Review,physics.app-ph,"['physics.app-ph', 'cond-mat.mtrl-sci', 'physics.chem-ph']","[arxiv.Result.Author('Subrata Ghosh'), arxiv.Result.Author('S. R. Polaki'), arxiv.Result.Author('Andrea Macrelli'), arxiv.Result.Author('Carlo S. Casari'), arxiv.Result.Author('Suelen Barg'), arxiv.Result.Author('Sang Mun Jeong'), arxiv.Result.Author('Kostya'), arxiv.Result.Author('Ostrikov')]","As renewable energy is becoming a critical energy source to meet the global
demand, electrochemical energy storage devices become indispensable for the
efficient energy storage and reliable supply. The electrode material is the key
factor determining the energy storage capacity and the power delivery of the
devices. Carbon-based materials are emerging as a viable candidate for
electrodes, yet their low energy densities impede the development of advanced
energy storage materials. Nanoparticle decoration of the carbon structures is
one of the most promising and easy-to-implement a strategy to enhance the
charge-storage performance of carbon-based electrodes. Decoration by
nanoparticles of metals, metal oxides, nitrides, carbides, phosphides,
chalcogenides, and bimetallic components lead to significant enhancements in
the structural and electronic properties, pore refinement, charge storage, and
charge transfer kinetics of both pristine and doped carbon structures, thereby
making their performance promising for next-generation energy storage devices.
This review covers the state-of-art nanoparticle decorated nanocarbons for
battery, supercapacitor, and metal-ion capacitor applications. A critical
analysis of the elemental composition, structure, associated physico-chemical
properties and performance relationships of nanoparticle-decorated nanocarbon
electrodes is provided as well to inform the future development of the next
generation of advanced energy storage materials, devices, and systems.",0.558521,0.029259356,0.22801766,B_centroid
1196,"In spite of significant advances on other metal‐ion batteries, the improvement
in the ion storage performance is still a subject of further research and developments.","Remarkably, the cycle life of the composites is found to better in the case of Na+‐ion
storage (Table 3).","25
       Topical Review

       Table 3: Half-cell post Li+-ion storage performances of NPs/NC composite and their comparison with Li+-ion storage
       performances.",2022-01-29 00:56:45+00:00,Nanoparticle-enhanced Multifunctional Nanocarbons as Metal-ion Battery and Capacitor Anodes and Supercapacitor Electrodes -- Review,physics.app-ph,"['physics.app-ph', 'cond-mat.mtrl-sci', 'physics.chem-ph']","[arxiv.Result.Author('Subrata Ghosh'), arxiv.Result.Author('S. R. Polaki'), arxiv.Result.Author('Andrea Macrelli'), arxiv.Result.Author('Carlo S. Casari'), arxiv.Result.Author('Suelen Barg'), arxiv.Result.Author('Sang Mun Jeong'), arxiv.Result.Author('Kostya'), arxiv.Result.Author('Ostrikov')]","As renewable energy is becoming a critical energy source to meet the global
demand, electrochemical energy storage devices become indispensable for the
efficient energy storage and reliable supply. The electrode material is the key
factor determining the energy storage capacity and the power delivery of the
devices. Carbon-based materials are emerging as a viable candidate for
electrodes, yet their low energy densities impede the development of advanced
energy storage materials. Nanoparticle decoration of the carbon structures is
one of the most promising and easy-to-implement a strategy to enhance the
charge-storage performance of carbon-based electrodes. Decoration by
nanoparticles of metals, metal oxides, nitrides, carbides, phosphides,
chalcogenides, and bimetallic components lead to significant enhancements in
the structural and electronic properties, pore refinement, charge storage, and
charge transfer kinetics of both pristine and doped carbon structures, thereby
making their performance promising for next-generation energy storage devices.
This review covers the state-of-art nanoparticle decorated nanocarbons for
battery, supercapacitor, and metal-ion capacitor applications. A critical
analysis of the elemental composition, structure, associated physico-chemical
properties and performance relationships of nanoparticle-decorated nanocarbon
electrodes is provided as well to inform the future development of the next
generation of advanced energy storage materials, devices, and systems.",0.49840146,0.11045086,0.046233892,B
1197,"[24] However, the understanding of the
magnetic field induced charge‐storage mechanism is the subject of further research aimed at
considering the structural changes of the electrode and bulk electrolyte.","[24] The improved energy density in the presence of a magnetic field was
attributed to the Lorentz force induced electrolyte convection in the bulk electrolyte, which
pushes the electrolyte ions deeper inside the electrode.","All of these results

                                                         39
Topical Review

ensure that Fe3O4 NPs/NC composite can be a better choice as a negative electrode.",2022-01-29 00:56:45+00:00,Nanoparticle-enhanced Multifunctional Nanocarbons as Metal-ion Battery and Capacitor Anodes and Supercapacitor Electrodes -- Review,physics.app-ph,"['physics.app-ph', 'cond-mat.mtrl-sci', 'physics.chem-ph']","[arxiv.Result.Author('Subrata Ghosh'), arxiv.Result.Author('S. R. Polaki'), arxiv.Result.Author('Andrea Macrelli'), arxiv.Result.Author('Carlo S. Casari'), arxiv.Result.Author('Suelen Barg'), arxiv.Result.Author('Sang Mun Jeong'), arxiv.Result.Author('Kostya'), arxiv.Result.Author('Ostrikov')]","As renewable energy is becoming a critical energy source to meet the global
demand, electrochemical energy storage devices become indispensable for the
efficient energy storage and reliable supply. The electrode material is the key
factor determining the energy storage capacity and the power delivery of the
devices. Carbon-based materials are emerging as a viable candidate for
electrodes, yet their low energy densities impede the development of advanced
energy storage materials. Nanoparticle decoration of the carbon structures is
one of the most promising and easy-to-implement a strategy to enhance the
charge-storage performance of carbon-based electrodes. Decoration by
nanoparticles of metals, metal oxides, nitrides, carbides, phosphides,
chalcogenides, and bimetallic components lead to significant enhancements in
the structural and electronic properties, pore refinement, charge storage, and
charge transfer kinetics of both pristine and doped carbon structures, thereby
making their performance promising for next-generation energy storage devices.
This review covers the state-of-art nanoparticle decorated nanocarbons for
battery, supercapacitor, and metal-ion capacitor applications. A critical
analysis of the elemental composition, structure, associated physico-chemical
properties and performance relationships of nanoparticle-decorated nanocarbon
electrodes is provided as well to inform the future development of the next
generation of advanced energy storage materials, devices, and systems.",0.41202313,0.11162871,-0.10723283,B
1630,"In §VI, we give concluding remarks and propose directions for
further study.","In §V, we numerically explore the absorption characteristics
of large metasurfaces, comparing both ‘tuned’ (critically coupled) and ‘detuned’ (low-loss)
metasurfaces to their inﬁnite counterparts and attempt to qualitatively explain some of the
observed characteristics.","4
II.",2022-02-04 15:25:42+00:00,Absorption characteristics of large acoustic metasurfaces,physics.app-ph,"['physics.app-ph', 'physics.flu-dyn']","[arxiv.Result.Author('Ory Schnitzer'), arxiv.Result.Author('Rodolfo Brandão')]","Metasurfaces formed of arrays of subwavelength resonators are often tuned to
'critically couple' with incident radiation, so that at resonance dissipative
and radiative damping are balanced and absorption is maximised. Such design
criteria are typically derived assuming an infinite metasurface, whereas the
absorption characteristics of finite metasurfaces, even very large ones, can be
markedly different in certain frequency intervals. This is due to the
excitation of surface waves, intrinsic to resonant metasurfaces, and especially
meta-resonances, namely collective resonances where the surface waves form
standing-wave patterns over the planar metasurface domain. We illustrate this
issue using a detailed model of a Helmholtz-type acoustic metasurface formed of
cavity-neck pairs embedded into a rigid substrate, with geometric and
dissipation effects included from first principles (R. Brand\~ao and O.
Schnitzer, Wave Motion, 97 102583, 2020).",-0.27280694,-0.38319695,-0.06928083,C_centroid
1631,"In §VI, we give concluding remarks and propose directions for
further study.","In §V, we numerically explore the absorption characteristics
of large metasurfaces, comparing both ‘tuned’ (critically coupled) and ‘detuned’ (low-loss)
metasurfaces to their inﬁnite counterparts and attempt to qualitatively explain some of the
observed characteristics.","4
II.",2022-02-04 15:25:42+00:00,Absorption characteristics of large acoustic metasurfaces,physics.app-ph,"['physics.app-ph', 'physics.flu-dyn']","[arxiv.Result.Author('Ory Schnitzer'), arxiv.Result.Author('Rodolfo Brandão')]","Metasurfaces formed of arrays of subwavelength resonators are often tuned to
'critically couple' with incident radiation, so that at resonance dissipative
and radiative damping are balanced and absorption is maximised. Such design
criteria are typically derived assuming an infinite metasurface, whereas the
absorption characteristics of finite metasurfaces, even very large ones, can be
markedly different in certain frequency intervals. This is due to the
excitation of surface waves, intrinsic to resonant metasurfaces, and especially
meta-resonances, namely collective resonances where the surface waves form
standing-wave patterns over the planar metasurface domain. We illustrate this
issue using a detailed model of a Helmholtz-type acoustic metasurface formed of
cavity-neck pairs embedded into a rigid substrate, with geometric and
dissipation effects included from first principles (R. Brand\~ao and O.
Schnitzer, Wave Motion, 97 102583, 2020).",-0.27280694,-0.38319695,-0.06928083,C
