Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
220,"Proposed phases for electrolysis systems scale-up: in parallel, we need to scale and commission
the most mature systems based on water electrolysis and perform further research on energy-efficient
alternatives described in this perspective.",3.,"This will allow in future to quickly adopt already deployed
electrolyzers once better alternatives are developed and save time as opposed to a classical, consecutive
scale-up approach.",2022-01-07 06:00:01+00:00,Towards an accelerated decarbonization of chemical industry by electrolysis,physics.chem-ph,['physics.chem-ph'],[arxiv.Result.Author('Magda H. Barecka')],"The transition towards carbon-neutral chemicals production is challenging due
to the fundamental reliance of the chemical sector on petrochemical feedstocks
inputs. Electrolysis-based manufacturing, powered by renewables, is a rapidly
evolving technology that might be capable of a drastic reduction of CO2
emissions from the chemical sector. However, will it be possible to scale-up
electrolysis systems to an extent necessary to entirely decarbonize all
chemical plants? Applying a forward looking scenario, this perspective
estimates how much energy will be needed to power full-scale electrolysis based
chemical manufacturing by 2050. A significant gap is identified between the
currently planned renewable energy expansion, and the energy input necessary to
electrify the chemical production. To cover this gap, several strategies
enabling a meaningful reduction of energy input to electrolysis are being
discussed from the perspective of both a single electrolysis system and an
integrated electro-plant. Several scale-up oriented research priorities are
formulated to underpin timely development and commercial availability of
described technologies, as well as to explore synergies and support further
growth of the renewable energy sector, essential to realize described paradigm
shift in chemical manufacturing.",0.70181364,0.28072348,0.28681964,C_centroid
221,"Proposed phases for electrolysis systems scale-up: in parallel, we need to scale and
commission the most mature systems based on water electrolysis and perform further research on
energy-efficient alternatives described in this perspective.",3.,"This will allow in future to quickly adopt
already deployed electrolyzers once better alternatives are developed and save time as opposed to a
classical, consecutive scale-up approach.",2022-01-07 06:00:01+00:00,Towards an accelerated decarbonization of chemical industry by electrolysis,physics.chem-ph,['physics.chem-ph'],"[arxiv.Result.Author('Magda H. Barecka'), arxiv.Result.Author('Joel W. Ager')]","The transition towards carbon-neutral chemical production is challenging due
to the fundamental reliance of the chemical sector on petrochemical feedstocks.
Electrolysis-based manufacturing, powered by renewables, is a rapidly evolving
technology that might be capable of drastically reducing CO2 emissions from the
chemical sector. However, will it be possible to scale up electrolysis systems
to the extent necessary to entirely decarbonize all chemical plants? Applying a
forward-looking scenario, this perspective estimates how much energy will be
needed to power full-scale electrolysis based chemical manufacturing by 2050. A
significant gap is identified between the currently planned renewable energy
expansion and the energy input necessary to electrify the chemical production:
at minimum, the energy required for production of hydrogen and electrolysis of
CO2 corresponds to > 50% of all renewable energy that is planned to be
available. To cover this gap, strategies enabling a meaningful reduction of the
energy input to electrolysis are being discussed from the perspective of both a
single electrolysis system and an integrated electro-plant. Several scale-up
oriented research priorities are formulated to underpin timely development and
commercial availability of described technologies, as well as to explore
synergies and support further growth of the renewable energy sector, essential
to realize described paradigm shift in chemical manufacturing.",0.70181364,0.28072348,0.28681964,C
362,"This ad-         In summary, the present work provides a foundation
ditional term is especially important because it allows      for further research into the capture of multi-reference
us to treat static correlation in molecular systems with-    correlation through the inclusion of fractional 1-RDMs
                                                                                                                    6

in a DFT framework.","we also add a quadratic 1-RDM-based term to DFT’s
density-based exchange-correlation functional.",The functional developed in this         https://aip.scitation.org/doi/pdf/10.1063/1.1390175 .,2022-01-11 01:41:53+00:00,Density Functional Theory Transformed into a One-electron Reduced Density Matrix Functional Theory for the Capture of Static Correlation,physics.chem-ph,"['physics.chem-ph', 'physics.comp-ph', 'quant-ph']","[arxiv.Result.Author('Daniel Gibney'), arxiv.Result.Author('Jan-Niklas Boyn'), arxiv.Result.Author('David A. Mazziotti')]","Density functional theory (DFT), the most widely adopted method in modern
computational chemistry, fails to describe accurately the electronic structure
of strongly correlated systems. Here we show that DFT can be formally and
practically transformed into a one-electron reduced-density-matrix (1-RDM)
functional theory, which can address the limitations of DFT while retaining
favorable computational scaling compared to wavefunction-based approaches. In
addition to relaxing the idempotency restriction on the 1-RDM in the kinetic
energy term, we add a quadratic 1-RDM-based term to DFT's density-based
exchange-correlation functional. Our approach, which we implement by quadratic
semidefinite programming at DFT's computational scaling of $O(r^{3})$, yields
substantial improvements over traditional DFT in the description of static
correlation in chemical structures and processes such as singlet biradicals and
bond dissociations.",-0.1645624,-0.12741624,0.10152686,B
462,"though this seems to be an undesired result, it is a ﬁrst
                                                                          direct approach to solve the DM using a QUBO eigen-
   Using the previously explained procedure to compute                    solver and deserves some further study.","Even
bounds of H respectively.","eigenvectors, the density matrix is constructed as ex-
plained before; using a straightforward summation of                      C. DFT calculations
eigenvector outer products up to the number of occupied
states.",2022-01-12 22:30:17+00:00,QUBO-based density matrix electronic structure method,physics.chem-ph,['physics.chem-ph'],"[arxiv.Result.Author('Christian F. A. Negre'), arxiv.Result.Author('Alejandro Lopez-Bezanilla'), arxiv.Result.Author('Yu Zhang'), arxiv.Result.Author('Prosper D. Akrobotu'), arxiv.Result.Author('Susan M. Mniszewski'), arxiv.Result.Author('Sergei Tretiak'), arxiv.Result.Author('Pavel A. Dub')]","Density matrix electronic structure theory is used in many quantum chemistry
methods to ""alleviate"" the computational cost that arises from directly using
wave functions. Although density matrix based methods are computationally more
efficient than wave functions based methods, yet significant computational
effort is involved. Since the Schr\""odinger equation needs to be solved as an
eigenvalue problem, the time-to-solution scales cubically with the system size,
and is solved as many times in order to reach charge or field self-consistency.
We hereby propose and study a method to compute the density matrix by using a
quadratic unconstrained binary optimization (QUBO) solver. This method could be
useful to solve the problem with quantum computers, and more specifically,
quantum annealers. The method hereby proposed is based on a direct construction
of the density matrix using a QUBO eigensolver. We explore the main parameters
of the algorithm focusing on precision and efficiency. We show that, while
direct construction of the density matrix using a QUBO formulation is possible,
the efficiency and precision have room for improvement. Moreover, calculations
performing Quantum Annealing with the D-Wave's new Advantage quantum processing
units is compared with classical Simulated annealing, further highlighting some
problems of the proposed method. We also show some alternative methods that
could lead to a better performance of the density matrix construction.",-0.21386996,-0.13390729,-0.14646277,B
1172,"1(d).43,44 The
correlated vibrational mode coupling in polyatomic molecules may shed light on the VSC-
induced phenomena in energy transfer and reaction kinetics and is an interesting subject for
further study.","The application of gRET to cavity-assisted VET provides a quantitative explanation
of intriguing phenomena including cooperativity, resonance, and anharmonicity, as shown
in a recent simulation.¸[teli21 Though demonstrated in cavity-assisted intermolecular VER,
the gRET formalism can apply equally well to intramolecular vibrational relaxation (IVR)
in cavities, as exempliﬁed by the solvated ABA model illustrated in Fig.","∗ Electronic address: jianshu@mit.edu
 1 T. F¨orster, in Modern Quantum Chemistry.",2022-01-27 17:34:04+00:00,Generalized resonance energy transfer theory: Applications to vibrational energy flow in optical cavities,physics.chem-ph,"['physics.chem-ph', 'quant-ph']",[arxiv.Result.Author('Jianshu Cao')],"A general rate theory for resonance energy transfer is formulated to
incorporate any degrees of freedom (e.g., rotation, vibration, exciton, and
polariton) as well as coherently-coupled composite states. The compact rate
expression allows us to establish useful relationships: (i) detailed balance
condition when the donor and acceptor are at the same temperature; (ii)
proportionality to the overlap between donor's emission and acceptor's
absorption spectra; (iii) scaling with the effective coherent size, i.e., the
number of coherently coupled molecules; (iv) spatial and orientational
dependences as derived from the interaction potential. When applied to
cavity-assisted vibrational energy transfer, the rate formalism provides an
intuitive and quantitative explanation of intriguing phenomena such as
cooperativity, resonance, and nonlinearity in the collective vibrational strong
coupling regime, as demonstrated in recent simulations.",-0.31524038,0.25834575,0.08891909,B
1200,"We plan to further research the multi-step template-free retrosynthesis planning
problem using Retroformer as the single-step retrosynthesis prediction backbone.","Being aware of the reaction center also encourages the model to generate reactants with improved molecule validity,
reaction validity, and interpretability.","References

 [1] Rdkit: Open-source cheminformatics.",2022-01-29 02:03:55+00:00,Retroformer: Pushing the Limits of Interpretable End-to-end Retrosynthesis Transformer,physics.chem-ph,"['physics.chem-ph', 'cs.LG']","[arxiv.Result.Author('Yue Wan'), arxiv.Result.Author('Benben Liao'), arxiv.Result.Author('Chang-Yu Hsieh'), arxiv.Result.Author('Shengyu Zhang')]","Retrosynthesis prediction is one of the fundamental challenges in organic
synthesis. The task is to predict the reactants given a core product. With the
advancement of machine learning, computer-aided synthesis planning has gained
increasing interest. Numerous methods were proposed to solve this problem with
different levels of dependency on additional chemical knowledge. In this paper,
we propose Retroformer, a novel Transformer-based architecture for
retrosynthesis prediction without relying on any cheminformatics tools for
molecule editing. Via the proposed local attention head, the model can jointly
encode the molecular sequence and graph, and efficiently exchange information
between the local reactive region and the global reaction context. Retroformer
reaches the new state-of-the-art accuracy for the end-to-end template-free
retrosynthesis, and improves over many strong baselines on better molecule and
reaction validity. In addition, its generative procedure is highly
interpretable and controllable. Overall, Retroformer pushes the limits of the
reaction reasoning ability of deep generative models.",0.19025654,-0.18162641,0.43523335,B
1827,This deserves further study.,"Future work would focus on studying the impact        of the bath controls the entanglement between diﬀerent
of light on B850, taking into consideration eﬀects stem-     sites [22], in the case of the Frenkel-Holstein model, the
ming from the varying alignments of the site-local dipole    presence of the bath actually serves to slightly increase
vectors and spatial inhomogeneity of the light-BChl in-      the entanglement.",teraction.,2022-02-10 22:13:43+00:00,Tensor Network Path Integral Study of Dynamics in B850 LH2 Ring with Atomistically Derived Vibrations,physics.chem-ph,['physics.chem-ph'],"[arxiv.Result.Author('Amartya Bose'), arxiv.Result.Author('Peter L. Walters')]","The recently introduced multisite tensor network path integral (MS-TNPI)
allows simulation of extended quantum systems coupled to dissipative media. We
use MS-TNPI to simulate the exciton transport and the absorption spectrum of a
B850 bacteriochlorophyll (BChl) ring. The MS-TNPI network is extended to
account for the ring topology of the B850 system. Accurate molecular
dynamics-based description of the molecular vibrations and the protein scaffold
is incorporated through the framework of Feynman-Vernon influence functional.
To relate the present work with the excitonic picture, an exploration of the
absorption spectrum is done by simulating it using approximate and
topologically consistent transition dipole moment vectors. Comparison of these
numerically exact MS-TNPI absorption spectra are shown with second-order
cumulant approximations. The effect of temperature on both the exact and the
approximate spectra is also explored.",-0.14720638,0.19026451,-0.25800106,A
2374,"In fact, there are lots of further researches to be conducted in this area.","As a result, the effects of interlayer interaction on the in-plane
NPR are still not clear.","For instance, graphene film is usually used in reality instead of graphene, which involves
multiple layers.",2022-02-23 15:54:32+00:00,The consistent behavior of negative Poissons ratio with interlayer interactions,physics.chem-ph,['physics.chem-ph'],"[arxiv.Result.Author('Yancong Wang'), arxiv.Result.Author('Linfeng Yu'), arxiv.Result.Author('Fa Zhang'), arxiv.Result.Author('Qiang Chen'), arxiv.Result.Author('Yuqi Zhan'), arxiv.Result.Author('Xiong Zheng'), arxiv.Result.Author('Huimin Wang'), arxiv.Result.Author('Zhenzhen Qin'), arxiv.Result.Author('Guangzhao Qin')]","Negative Poissons ratio (NPR) is of great interest due to the novel
applications in lots of fields. Films are the most commonly used form in
practical applications, which involves multiple layers. However, the effect of
interlayer interactions on the NPR is still unclear. In this study, based on
first principles calculations, we systematically investigate the effect of
interlayer interactions on the NPR by comparably studying single-layer
graphene, few-layer graphene, h-BN, and graphene-BN heterostructure. It is
found that they almost have the same geometry-strain response. Consequently,
the NPR in bilayer graphene, triple-layer graphene, and graphene-BN
heterostructure are consistent with that in single-layer graphene and h-BN. The
fundamental mechanism lies in that the response to strain of the orbital
coupling are consistent under the effect of interlayer interactions. The deep
understanding of the NPR with the effect of interlayer interactions as achieved
in this study is beneficial for the future design and development of
micro-/nanoscale electromechanical devices with novel functions based on
nanostructures.",-0.10919153,0.31881654,0.049395286,A
2375,"To get insight into the fundamental mechanism, we further study the evolution of orbital
projected density of states (pDOS).","(a, d, g, j), (b, e, h, k), and (c, f, i, l) illustrate the situation of AA bilayer, AB bilayer and single-
                                                   lawyer graphene, respectively.","It is well known that the C-C σ bonds come from the
hybridized C- px /py orbitals, and the solo C- pz orbital forms the π bonds and electronic Dirac
cone.1 Thus, we study px, py and pz for bilayer and single-layer graphene when strain is applied.",2022-02-23 15:54:32+00:00,The consistent behavior of negative Poissons ratio with interlayer interactions,physics.chem-ph,['physics.chem-ph'],"[arxiv.Result.Author('Yancong Wang'), arxiv.Result.Author('Linfeng Yu'), arxiv.Result.Author('Fa Zhang'), arxiv.Result.Author('Qiang Chen'), arxiv.Result.Author('Yuqi Zhan'), arxiv.Result.Author('Xiong Zheng'), arxiv.Result.Author('Huimin Wang'), arxiv.Result.Author('Zhenzhen Qin'), arxiv.Result.Author('Guangzhao Qin')]","Negative Poissons ratio (NPR) is of great interest due to the novel
applications in lots of fields. Films are the most commonly used form in
practical applications, which involves multiple layers. However, the effect of
interlayer interactions on the NPR is still unclear. In this study, based on
first principles calculations, we systematically investigate the effect of
interlayer interactions on the NPR by comparably studying single-layer
graphene, few-layer graphene, h-BN, and graphene-BN heterostructure. It is
found that they almost have the same geometry-strain response. Consequently,
the NPR in bilayer graphene, triple-layer graphene, and graphene-BN
heterostructure are consistent with that in single-layer graphene and h-BN. The
fundamental mechanism lies in that the response to strain of the orbital
coupling are consistent under the effect of interlayer interactions. The deep
understanding of the NPR with the effect of interlayer interactions as achieved
in this study is beneficial for the future design and development of
micro-/nanoscale electromechanical devices with novel functions based on
nanostructures.",-0.1061575,0.19691937,-0.023424212,A
2887,"This polaritonic broadening is more signiﬁcant than the broadening of the O H stretch
band outside the cavity, and further study is needed to investigate its origin.","Compared with the classical results, a quantum simulation predicts no change in
the Rabi splitting but predicts broadening of the polariton linewidths by roughly a factor of
two.","Moreover, by

                                                         10
combining path-integral techniques and CavMD, we have demonstrated a numerical ap-
proach for distinguishing between quantum and classical VSC eﬀects.",2022-03-06 16:21:04+00:00,Quantum Simulations of Vibrational Strong Coupling via Path Integrals,physics.chem-ph,"['physics.chem-ph', 'cond-mat.mes-hall']","[arxiv.Result.Author('Tao E. Li'), arxiv.Result.Author('Abraham Nitzan'), arxiv.Result.Author('Sharon Hammes-Schiffer'), arxiv.Result.Author('Joseph E. Subotnik')]","A quantum simulation of vibrational strong coupling (VSC) in the collective
regime via thermostatted ring-polymer molecular dynamics (TRPMD) is reported.
For a collection of liquid-phase water molecules resonantly coupled to a single
lossless cavity mode, the simulation shows that, as compared with a fully
classical calculation, the inclusion of nuclear and photonic quantum effects
does not lead to a change in the Rabi splitting but does broaden polaritonic
linewidths roughly by a factor of two. Moreover, under thermal equilibrium,
both quantum and classical simulations predict that the static dielectric
constant of liquid water is largely unchanged inside versus outside the cavity.
This result disagrees with a recent experiment demonstrating that the static
dielectric constant of liquid water can be resonantly enhanced under VSC,
suggesting either limitations of our approach or perhaps other experimental
factors that have not yet been explored.",-0.3095867,0.19617361,-0.14485088,B
