Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
1296,"This requires further study, beyond the scope of this paper, but we will attempt to coarsely quantify
this possibility in Section 5.","If the typical
number of random steps is large enough, one can imagine the overall square-norm flow becoming
disordered, departing from purely radial and threatening the viability of Equations (2.1) and (2.2).","In any case, this underscores the importance of examining real data.",2022-01-27 13:55:23+00:00,Measured distribution of cloud chamber tracks from radioactive decay: a new empirical approach to investigating the quantum measurement problem,physics.gen-ph,['physics.gen-ph'],[arxiv.Result.Author('Jonathan F. Schonfeld')],"Using publicly available video of a diffusion cloud chamber with a very small
radioactive source, I measure the spatial distribution of where tracks start,
and consider possible implications. This is directly relevant to the quantum
measurement problem and its possible resolution, and appears never to have been
done before. The raw data are relatively uncontrolled, leading to caveats that
should guide future, more tailored experiments. Aspects of the results may
suggest a modification to Born's rule at very small wavefunction, with possibly
profound implications for the detection of extremely rare events such as proton
decay, but other explanations are not ruled out. Speculatively, I introduce two
candidate small-wavefunction Born rule modifications, a hard cutoff, and an
offset model with a stronger underlying physical rationale. Track distributions
from decays in cloud chambers represent a previously unappreciated way to probe
the foundations of quantum mechanics, and a novel case of wavefunctions with
macroscopic signatures.",0.45982236,0.090920754,0.2555165,B
1297,"This does not seem like a large number, but further study
could show otherwise.","Using =6x10-5Å for a 5.3 MeV
alpha particle, this is ~0.03 radian ~ 2º.",The video itself seems at odds with the idea that the needle point lies above the sensitive layer.,2022-01-27 13:55:23+00:00,Measured distribution of cloud chamber tracks from radioactive decay: a new empirical approach to investigating the quantum measurement problem,physics.gen-ph,['physics.gen-ph'],[arxiv.Result.Author('Jonathan F. Schonfeld')],"Using publicly available video of a diffusion cloud chamber with a very small
radioactive source, I measure the spatial distribution of where tracks start,
and consider possible implications. This is directly relevant to the quantum
measurement problem and its possible resolution, and appears never to have been
done before. The raw data are relatively uncontrolled, leading to caveats that
should guide future, more tailored experiments. Aspects of the results may
suggest a modification to Born's rule at very small wavefunction, with possibly
profound implications for the detection of extremely rare events such as proton
decay, but other explanations are not ruled out. Speculatively, I introduce two
candidate small-wavefunction Born rule modifications, a hard cutoff, and an
offset model with a stronger underlying physical rationale. Track distributions
from decays in cloud chambers represent a previously unappreciated way to probe
the foundations of quantum mechanics, and a novel case of wavefunctions with
macroscopic signatures.",0.60340774,0.3307187,-0.46722606,B
1964,"In the
          future studies, it is going to further study the relationship between the magnetic
          induction intensity and magnetization intensity, within the electromagnetic me-
          dia.","Similarly, in the gravitational media, the gravitational
          precessional-angular-velocity ﬁeld and angular momentum may accord with the de-
          mands of the Gauss’s law for gravitational precessional-angular-velocity ﬁeld.","Meanwhile, we shall explore further the interrelation between the gravitational
          precessional-angular-velocity ﬁeld and angular momentum, within the gravitational
          media.",2022-02-11 08:28:01+00:00,Frequencies of astrophysical jets and gravitational strengths in the octonion spaces,physics.gen-ph,['physics.gen-ph'],[arxiv.Result.Author('Zi-Hua Weng')],"The paper focuses on applying the octonions to explore the electromagnetic
and gravitational equations in the presence of some material media, exploring
the frequencies of astrophysical jets. Maxwell was the first to use the algebra
of quaternions to describe the electromagnetic equations. This method
encourages scholars in adopting the quaternions and octonions to study the
physical properties of electromagnetic and gravitational fields, including the
field strength, field source, linear momentum, and angular momentum and so
forth. In the paper, the field strength and angular momentum in the vacuum can
be combined together to become one new physical quantity, that is, the
composite field strength within the material media. Substituting the latter for
the field strength in the vacuum will deduce the field equations within
material media, including the electromagnetic and gravitational equations in
the presence of some material media. In terms of the electromagnetic fields,
the electromagnetic equations in the presence of some electromagnetic media are
able to explore a few new physical properties of electromagnetic media.
Especially, in case the magnetic flux density and magnetization intensity both
fluctuate at a single-frequency, their frequencies must be identical to each
other within electromagnetic media. In some extreme cases, the electromagnetic
equations within electromagnetic media will be degenerated into the Maxwell's
equations in the vacuum. The above reveals that the electromagnetic equations
within electromagnetic media are capable of extending the scope of application
of electromagnetic theory. For the gravitational fields, there are some similar
inferences and conclusions within gravitational media. Further they can be
utilized to research the frequencies of astrophysical jets.",-0.0008968562,-0.21848325,-0.26790982,C
4740,"grom’s theory, further research should extend the RBW                    µ ∂xµ  µ              ∂y         y
model to asymmetric situations.","To ensure that the RBW model is as successful as Mil-                eA = ∂XA = δA,    yA = ∂XA = δA.","Now, the metric on the hypersurface has the form
    The “missing matter” explanation of the RBW model
and the MOND hypothesis depends on the position un-                      γAB = GAB − nAnB, γµν = γABeAµ eBν .",2022-04-08 13:39:57+00:00,$Λ$CDM $\cup$ MOND,physics.gen-ph,['physics.gen-ph'],[arxiv.Result.Author('Christian Henke')],"It has been demonstrated that the difference between the Renormalised Brane
World (RBW) model and the Lambda Cold Dark Matter ($\Lambda$CDM) model occurs
only at sufficiently distant times. In this paper, it is shown that for
spherically symmetric situations an analog deviation between the RBW model and
Newton's theory occurs at large distances. More precisely, this deviation of
the RBW model is nothing other than the explanation of Milgrom's hypothesis and
follows from itself. Therefore, the results of this paper explains flat
rotation curves of galaxies without dark matter.",0.2702652,-0.31954288,0.5324611,B_centroid
4741,"To ensure that the RBW model is as successful as Mil-                µ ∂xµ  µ          ∂y             y
grom’s theory, further research should extend the RBW
model to asymmetric situations.","eA = ∂XA = δA,    yA = ∂XA = δA.","The “missing matter” explanation of the RBW model
requires an inhomogeneous metric.",2022-04-08 13:39:57+00:00,$Λ$CDM $\cup$ MOND,physics.gen-ph,['physics.gen-ph'],[arxiv.Result.Author('Christian Henke')],"It has been demonstrated that the difference between the Renormalised Brane
World (RBW) model and the Lambda Cold Dark Matter ($\Lambda$CDM) model occurs
only at sufficiently distant times. In this paper, it is shown that for
spherically symmetric situations an analog deviation between the RBW model and
Newton's theory occurs at large distances. More precisely, this deviation of
the RBW model is nothing other than the explanation of Milgrom's hypothesis and
follows from itself. Therefore, the results of this paper explains flat
rotation curves of galaxies without dark matter.",0.27862883,-0.30481607,0.6035641,B
5823,can be evaluated in further research works.,"85, 180 (1952).","[16] A. Ashtekar and J. Pullin, Loop Quantum Gravity (World Sci-

   ∗ skizhakk@gitam.edu                                                     entiﬁc, 2017).",2022-04-28 21:03:18+00:00,Alcubierre Warp Drive in Bohmian Quantum Gravity,physics.gen-ph,"['physics.gen-ph', 'gr-qc', 'quant-ph']",[arxiv.Result.Author('Sijo K. Joseph')],"Alcubierre warp drive metric is coupled to quantum mechanical scalar matter
field. The requirement of the exotic matter for the warp drive is mapped into a
conformal wave equation. This result into a fourth order partial differential
equation in terms of the quantum mechanical density. Finding a proper quantum
mechanical density obeying the proposed partial differential equation will be a
resolution to the exotic matter problem of Alcubierre warp drive in Bohmian
Quantum Gravity context.",-0.094479285,0.044923943,-0.1817613,C
12352,"These relations need further study to ﬁnd out what new can the proposed new insight into the
internal space of fermions and bosons bring into understanding the second quantized fermion and boson
ﬁelds.","f fα                                     f                            fα

    In this article the properties of the Cliﬀord even ”basis vectors” in relation to the Cliﬀord odd ”basis
vectors”, and correspondingly the transfer of the commutativity and anticommutativity from the Cliﬀord
”basis vectors” to the creation and annihilation operators for boson and fermion ﬁelds, respectively, are
demonstrated, oﬀering the explanation for the second quantization postulates for boson and fermion
ﬁelds.","35
    The Einstein gravity is known as a gauge theory based on the Abelian group of local translations, for
which vielbein is the corresponding gauge ﬁeld.",2022-10-07 13:06:58+00:00,How Clifford algebra can help understand second quantization of fermion and boson fields,physics.gen-ph,"['physics.gen-ph', 'hep-ph', 'hep-th']",[arxiv.Result.Author('Norma Susana Mankoc Borstnik')],"In the review article in Progress in Particle and Nuclear Physics
(vol.121(2021) 103890)) the authors present the achievements so far of the
spin-charge-family theory, which offers the explanation for all the so far
observed properties of elementary fermion and boson fields, if the space-time
is higher than d=(3+1), it must be $d\ge (13+1)$. Fermions interact with
gravity only. Ref. PPNP (vol.121(2021) 103890)) presents, in addition to a
rather detailed review of all the achievements of this theory so far, also an
explanation for the postulates of the second quantization for fermionic fields:
The internal space of fermions described with ""basis vectors"" represented by
the Clifford odd objects manifests all the properties of fermion fields,
including the anticommutativity of their creation and annihilation operators.
This paper shows that even Clifford algebra objects provide a description of
the internal space of boson fields manifesting all known properties of boson
fields, explaining as well the reasons for the second quantization postulates
for boson fields. Properties of fermion and boson fields with the internal
spaces described by the Clifford odd and Clifford even objects are demonstrated
on the toy model with $d=(5+1)$.",-0.5773128,0.3326304,0.1092529,A
12367,The presented results encourage further research in this ﬁeld.,"It should be emphasized, that the presented fractional approach is not just one
more method to describe a smooth transition from surface to volume dependence, it
is the only one up to now which fulﬁls the claim for an appropriate treatment of the
problem and of course, may be and will be applied to other research ﬁelds as well.","A necessary next
step will be to use the presented fractional potentials to serve as a basis for the
interpretation of experimental cross-sections and also an extension of the formalism
to projectile/target combinations beyond nucleon/nucleus combinations.",2022-09-28 16:18:45+00:00,Fractional calculus within the optical model used in nuclear and particle physics,physics.gen-ph,['physics.gen-ph'],[arxiv.Result.Author('Richard Herrmann')],"The optical model is a fundamental tool to describe scattering processes in
nuclear physics. The basic input is an optical model potential, which describes
the refraction and absorption processes more or less schematically. Of special
interest is the form of the absorption potential. With increasing energy of the
incident projectile, a derivation of this potential must take into account the
observed energy dependent transition from surface to volume type. The classic
approach has weaknesses in this regard. We will discuss these deficiencies and
will propose an alternative method based on concepts developed within the
framework of fractional calculus, which allows to describe a smooth transition
from surface to volume absorption in an appropriate way.",0.55511963,0.22290683,-0.32257882,B
12421,"Although the properties of the Cliﬀord odd and even ”basis vectors” and correspondingly of the
creation and annihilation operators for fermion and boson ﬁelds are, hopefully, clearly demonstrated
in this article, yet the proposed way of the second quantization of ﬁelds, the fermion and the boson
ones, needs further study to ﬁnd out what new can the description of the internal space of fermions and
bosons bring in understanding of the second quantized ﬁelds.","(1) with

    p0α = pα −                I Aˆmf †I Cfmα −          I  ˆ m†                    I  C  m     ,
                                                           A
                                                                             f         fα

                mf                              mf

where the relation among I Aˆ mf †I Cfmα and II Aˆ mf † II Cfmα with respect to ωabα and ω˜abα, not discussed directly
in this article, needs additional study and explanation.","It looks like that this study, showing up that the Cliﬀord algebra can be used to describe the internal
spaces of fermion and boson ﬁelds in an equivalent way, oﬀering correspondingly the explanation for
the second quantization postulates for fermion and boson ﬁelds, is opening the new insight into the
quantum ﬁeld theory, since studies of the interaction of fermion ﬁelds with boson ﬁelds and of boson
ﬁelds with boson ﬁelds so far looks very promising.",2022-09-29 09:55:41+00:00,"Clifford odd and even objects offer the description of the internal space of fermions and bosons, respectively, opening new insight into the second quantization of fields",physics.gen-ph,"['physics.gen-ph', 'hep-th']",[arxiv.Result.Author('Norma Susana Mankoč Borštnik')],"In a long series of works the author has demonstrated that the model named
the {\it spin-charge-family} theory offers the explanation for all in the {\it
standard model} assumed properties of the fermion and boson fields, as well as
for many of their so far observed properties if the space-time is $\ge (13 +1)$
while fermions interact with gravity only. In this paper, I briefly report on
the so far achievements of the theory. The main contribution demonstrates the
offer of the Clifford odd and even objects for the description of the internal
spaces of fermion (Clifford odd) and boson (Clifford even) fields, which is
opening up a new understanding of the second quantization postulates for the
fermion and boson fields: The ""basis vectors"" determined by the Clifford odd
objects demonstrate all the properties of the internal space of fermions and
transfer their anticommutativity to their creation and annihilation operators,
while the ""basis vectors"" determined by the Clifford even objects demonstrate
all the properties of the internal space of boson fields and transfer their
commutativity to their creation and annihilation operators. The toy model with
$d=(5+1)$ illustrates the statements.",-0.3920572,0.666,0.25808892,A_centroid
13743,"We touch on this only brieﬂy at
November 15, 2022 1:43 WSPC/INSTRUCTION FILE TSSv12a

     Tangent space symmetries in general relativity and teleparallelism 7

the end of this paper and note that it is an area worthy of further study.","However, it may not preclude teleparallel gravity being a gauge theory of
               translations expressed as point transformations.","Secondly, these theories are particularly useful for calculations concerning con-

servation of energy density, due to the way in which the energy-momentum density
of the gravitation ﬁeld may be separated out from inertial eﬀects.",2022-11-09 13:55:17+00:00,Tangent space symmetries in general relativity and teleparallelism,physics.gen-ph,['physics.gen-ph'],[arxiv.Result.Author('Tom Lawrence')],"This paper looks at how changes of coordinates on a pseudo-Riemannian
manifold induce homogeneous linear transformations on its tangent spaces. We
see that a pseudo-orthonormal frame in a given tangent space is the basis for a
set of Riemann normal coordinates. A Lorentz subgroup of the general linear
transformations preserves this pseudo-orthonormality. We borrow techniques from
the methodology of non-linear realizations to analyze this group-subgroup
structure.
  `Parallel maps' are used to relate tangent space at different points.
`Parallelisms' across a finite region of the manifold may be built up from
them. These are used to define Weitzenb\""{o}ck connections and Levi-Civita
connections.
  This provides a new formulation of teleparallel gravity, in which the tetrad
field is viewed as a field-valued group element relating the coordinate basis
to the frame basis used in defining a parallelism. This formulation separates
the metric degrees of freedom from those associated with the choice of
parallelism. The group element can be combined by matrix multiplication with
Lorentz transformations of frame or with other Jacobian matrices. We show how
this facilitates a new understanding of inertial forces and local Lorentz
transformations.
  The analysis is also applied to translations of the coordinates. If they are
constant across spacetime, this has no effect on the tangent space bases. If
the translation parameters become fields, they induce general linear
transformations of the coordinate basis; however, the tetrad components can
only be expressed in terms of translations on a flat spacetime.",-0.39654565,-0.16262588,-0.238474,C
