Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
30,"The question why both models yield
diﬀerent behaviors is left open for further research.","They introduce a parameter ∆ which stands for that diﬀerence and had
found via simulations that a larger ∆ increase the diﬀerence between νx and νy.","ACKNOWLEDGMENTS

   This work was supported by the Israel Science Foundation, (Grant No.",2022-01-02 16:01:13+00:00,Percolation on spatial anisotropic networks,physics.soc-ph,"['physics.soc-ph', 'physics.app-ph']","[arxiv.Result.Author('Ouriel Gotesdyner'), arxiv.Result.Author('Bnaya Gross'), arxiv.Result.Author('Dana Vaknin Ben Porath'), arxiv.Result.Author('Shlomo Havlin')]","Many realistic systems such as infrastructures are characterized by spatial
structure and anisotropic alignment. Here we propose and study a model for
dealing with such characteristics by introducing a parameter that controls the
strength of the anisotropy in the spatial network. This parameter is added to
an existing isotropic model used to describe networks under spatial
constraints, thus generalizing the spatial model to take into account both
spatial and anisotropic features. We study the resilience of such networks by
using a percolation process and find that anisotropy has a negative impact on a
network's robustness. In addition, our results suggest that the anisotropy in
this model does not affect the critical exponent of the correlation length,
$\nu$, which remains the same as the known $\nu$ in 2D isotropic lattices.",0.031170368,-0.20443971,0.0317334,A
144,"We hope our work will motivate further study
many networks with an abundance of triangles, in con-         in this direction, and with a larger variety of generative
tradiction to what is commonly assumed to be possible         models within or beyond the SBM family.","For the other kinds of    ended, as there is no short supply of possible network de-
networks the agreement tends to be fairly good, even for      scriptors.",with this class of models.,2022-01-05 15:28:37+00:00,Systematic assessment of the quality of fit of the stochastic block model for empirical networks,physics.soc-ph,"['physics.soc-ph', 'physics.data-an', 'stat.AP', 'stat.ML']","[arxiv.Result.Author('Felipe Vaca-Ramírez'), arxiv.Result.Author('Tiago P. Peixoto')]","We perform a systematic analysis of the quality of fit of the stochastic
block model (SBM) for 275 empirical networks spanning a wide range of domains
and orders of size magnitude. We employ posterior predictive model checking as
a criterion to assess the quality of fit, which involves comparing networks
generated by the inferred model with the empirical network, according to a set
of network descriptors. We observe that the SBM is capable of providing an
accurate description for the majority of networks considered, but falls short
of saturating all modeling requirements. In particular, networks possessing a
large diameter and slow-mixing random walks tend to be badly described by the
SBM. However, contrary to what is often assumed, networks with a high abundance
of triangles can be well described by the SBM in many cases. We demonstrate
that simple network descriptors can be used to evaluate whether or not the SBM
can provide a sufficiently accurate representation, potentially pointing to
possible model extensions that can systematically improve the expressiveness of
this class of models.",0.40923983,-0.11570738,-0.07312795,A_centroid
335,and subjective safety implications of intersection approach design call for further research.,"Investigating both the OSM data quality and the objective
14                                                                                             VYBORNOVA et al.","Bridges
There are 3 gaps classiﬁed as bridge within the top 105 gaps: gap 1 on Knippelsbro (see Fig.",2022-01-10 15:35:14+00:00,Automated Detection of Missing Links in Developed Bicycle Networks,physics.soc-ph,"['physics.soc-ph', 'cs.CY']","[arxiv.Result.Author('Anastassia Vybornova'), arxiv.Result.Author('Tiago Cunha'), arxiv.Result.Author('Astrid Gühnemann'), arxiv.Result.Author('Michael Szell')]","Cycling is an effective solution for making urban transport more sustainable.
However, bicycle networks are typically developed in a slow, piecewise process
that leaves open a large number of gaps, even in well developed cycling cities
like Copenhagen. Here, we develop the IPCC procedure (Identify, Prioritize,
Cluster, Classify) for finding the most important missing links in developed
urban bicycle networks, by analyzing street networks from OpenStreetMap. We
apply the IPCC procedure to Copenhagen and report the 105 top priority gaps.
For evaluation, we compare these gaps with the city's most recent Cycle Path
Prioritization Plan and find considerable overlaps. Our results show how
network analysis with minimal data requirements can serve as a cost-efficient
support tool for bicycle network planning. The IPCC procedure takes into
account the whole city network for consolidating urban bicycle networks and can
therefore well complement localized, manual planning processes, providing a
data-driven framework for more effective, city-wide decision-making.",-0.053464483,0.18705441,-0.0035276413,C
336,"Investigating both the OSM data quality and the objective
and subjective safety implications of intersection approach design call for further research.","right-turns that have not been identiﬁed as gaps by the IPDC procedure
because they are tagged as “protected bicycle track” in OSM.",VYBORNOVA et al.,2022-01-10 15:35:14+00:00,Automated Detection of Missing Links in Bicycle Networks,physics.soc-ph,"['physics.soc-ph', 'cs.CY']","[arxiv.Result.Author('Anastassia Vybornova'), arxiv.Result.Author('Tiago Cunha'), arxiv.Result.Author('Astrid Gühnemann'), arxiv.Result.Author('Michael Szell')]","Cycling is an effective solution for making urban transport more sustainable.
However, bicycle networks are typically developed in a slow, piecewise process
that leaves open a large number of gaps, even in well developed cycling cities
like Copenhagen. Here, we develop the IPDC procedure (Identify, Prioritize,
Decluster, Classify) for finding the most important missing links in urban
bicycle networks, using data from OpenStreetMap. In this procedure we first
identify all possible gaps following a multiplex network approach, prioritize
them according to a flow-based metric, decluster emerging gap clusters, and
manually classify the types of gaps. We apply the IPDC procedure to Copenhagen
and report the 105 top priority gaps. For evaluation, we compare these gaps
with the city's most recent Cycle Path Prioritization Plan and find
considerable overlaps. Our results show how network analysis with minimal data
requirements can serve as a cost-efficient support tool for bicycle network
planning. By taking into account the whole city network for consolidating urban
bicycle infrastructure, our data-driven framework can complement localized,
manual planning processes for more effective, city-wide decision-making.",-0.080424994,0.2953222,0.03497959,C
508,"We hope our work will inspire applications
outperforms other approximation methods over a range                                                   as well as further research in this direction.","For                                              estimating an appropriate hyperstub degree distribution
                                                                                                       is another important problem, as an identiﬁability prob-
the SIS dynamics (3, 4) in Figure 3, our approximation                                                 lem arises from counting larger motifs that will include
                                                                                                       smaller motifs.","of (hyperstub) degree distributions and dynamics param-                                                   This work has been funded by the LOEWE initiative
                                                                                                       (Hesse, Germany) within the emergenCITY center.",2022-01-13 14:27:51+00:00,Motif-based mean-field approximation of interacting particles on clustered networks,physics.soc-ph,"['physics.soc-ph', 'cond-mat.dis-nn', 'cond-mat.stat-mech']","[arxiv.Result.Author('Kai Cui'), arxiv.Result.Author('Wasiur R. KhudaBukhsh'), arxiv.Result.Author('Heinz Koeppl')]","Interacting particles on graphs are routinely used to study magnetic
behaviour in physics, disease spread in epidemiology, and opinion dynamics in
social sciences. The literature on mean-field approximations of such systems
for large graphs is limited to cluster-free graphs for which standard
approximations based on degrees and pairs are often reasonably accurate. Here,
we propose a motif-based mean-field approximation that considers higher-order
subgraph structures in large clustered graphs. Numerically, our equations agree
with stochastic simulations where existing methods fail.",0.18773717,-0.33625352,0.119738035,A
623,"Because the analysis indicates where effects play
geographically, and with the knowledge of local issues and characteristics in mind,
hypotheses about actual causes can be drawn up for testing in further research.","Diverging policies
and a lack of governance coordination and integration across institutional boundaries can
of course play a major role.","3.2 Second analytical step: relating boundary effects to employment scaling
      residuals

Now that municipal boundary effects on spatial interaction (commuter flows) are localized,
we can measure to which degree these local effects are related to local employment.",2022-01-15 15:54:22+00:00,Urban Scaling and Effects of Municipal Boundaries,physics.soc-ph,"['physics.soc-ph', '91D10', 'J.4']","[arxiv.Result.Author('Pieter P. Tordoir'), arxiv.Result.Author('Anthony F. J. van Raan')]","Urban scaling, the superlinear increase of social and economic measures with
increasing population, is an ubiquitous and well-researched phenomenon. This
article is focused on socio-economic performance scaling, which could possibly
be driven by increasing returns of the spatial size and density of interaction
networks. If this is indeed the case, we should also find that spatial barriers
to interaction affect scaling and cause local performance deviations. Possible
barring effects of municipal boundaries are particularly interesting from the
perspective of urban area governance policy and regional cooperation. To our
best knowledge, this is the first study on this politically relevant and
strongly disputed subject. We test the hypothesis of possible barring effects
of municipal boundaries by correlating municipal boundaries with the structure
of commuter networks within a large densely urbanized region, the Randstad in
The Netherlands. The measured network impacts of these boundaries are
subsequently correlated with local employment deviations. In order to spatially
pinpoint correlations, we apply advanced spatially weighted modelling
technique. We find that municipal borders have significant effects on
inter-municipal commuting. Moreover we can indicate the specific effect of
individual municipal borders precisely on the map. The results show
particularly significant correlations along dividing lines between large urban
agglomerations and rural communities. The southern part of the Randstad is more
fragmented by such dividing lines than the northern part, which could partly
explain the diverging economic development between the two parts.",-0.166468,0.39430583,0.022571273,C
624,"With the technique of
spatially weighted regression fitting microdata, it is possible to test this hypothesis in
further research.","Such divides could of course also cut through municipalities, causing local
employment deviations that relate less with municipal boundaries.","On a more general level we see a striking coincidence between employment
underperformance and pronounced negative effects of municipal boundaries in the
Randstad South Wing, a coincidence that is lacking in the North Wing.",2022-01-15 15:54:22+00:00,Urban Scaling and Effects of Municipal Boundaries,physics.soc-ph,"['physics.soc-ph', '91D10', 'J.4']","[arxiv.Result.Author('Pieter P. Tordoir'), arxiv.Result.Author('Anthony F. J. van Raan')]","Urban scaling, the superlinear increase of social and economic measures with
increasing population, is an ubiquitous and well-researched phenomenon. This
article is focused on socio-economic performance scaling, which could possibly
be driven by increasing returns of the spatial size and density of interaction
networks. If this is indeed the case, we should also find that spatial barriers
to interaction affect scaling and cause local performance deviations. Possible
barring effects of municipal boundaries are particularly interesting from the
perspective of urban area governance policy and regional cooperation. To our
best knowledge, this is the first study on this politically relevant and
strongly disputed subject. We test the hypothesis of possible barring effects
of municipal boundaries by correlating municipal boundaries with the structure
of commuter networks within a large densely urbanized region, the Randstad in
The Netherlands. The measured network impacts of these boundaries are
subsequently correlated with local employment deviations. In order to spatially
pinpoint correlations, we apply advanced spatially weighted modelling
technique. We find that municipal borders have significant effects on
inter-municipal commuting. Moreover we can indicate the specific effect of
individual municipal borders precisely on the map. The results show
particularly significant correlations along dividing lines between large urban
agglomerations and rural communities. The southern part of the Randstad is more
fragmented by such dividing lines than the northern part, which could partly
explain the diverging economic development between the two parts.",-0.15912779,0.2800902,0.07210068,C
667,"The computer simulations have motivated to further study the impact of the model parameter
β instead of γ.","The points and the shaded area are the average and the standard

    deviation of the time of convergence for 100 trajectories of 50 initial conﬁgurations for a given γ.","The latter only indirectly determines group eﬀects on the opinion dynamics by

     10/24
  N. Papanikolaou, G. Vaccario, E. Hormann, R. Lambiotte, F. Schweitzer:
Consensus from group interactions: An adaptive voter model on hypergraphs

                                  (Submitted for publication)

specifying whether inﬂuence takes place.",2022-01-17 14:18:39+00:00,Consensus from group interactions: An adaptive voter model on hypergraphs,physics.soc-ph,"['physics.soc-ph', 'cond-mat.stat-mech', 'cs.MA', 'nlin.AO']","[arxiv.Result.Author('Nikos Papanikolaou'), arxiv.Result.Author('Giacomo Vaccario'), arxiv.Result.Author('Erik Hormann'), arxiv.Result.Author('Renaud Lambiotte'), arxiv.Result.Author('Frank Schweitzer')]","We study the effect of group interactions on the emergence of consensus in a
spin system. Agents with discrete opinions $\{0,1\}$ form groups. They can
change their opinion based on their group's influence (voter dynamics), but
groups can also split and merge (adaptation). In a hypergraph, these groups are
represented by hyperedges of different sizes. The heterogeneity of group sizes
is controlled by a parameter $\beta$. To study the impact of $\beta$ on
reaching consensus, we provide extensive computer simulations and compare them
with an analytic approach for the dynamics of the average magnetization. We
find that group interactions amplify small initial opinion biases, accelerate
the formation of consensus and lead to a drift of the average magnetization.
The conservation of the initial magnetization, known for basic voter models, is
no longer obtained.",0.19338252,-0.10182712,0.28036147,A
701,These studies all suggest useful directions for further research.,"Furthermore, O’Brien and Gleeson
(2021) propose an alternative way to analyze snooker player rankings, based on complex
networks.","As a final note, in the year 1935, when Zipf first described his findings of an inverse
relationship between word frequency and rank, there was only one professional snooker
tournament held: the world championship.",2022-01-18 08:40:52+00:00,Snooker Statistics and Zipf's Law,physics.soc-ph,['physics.soc-ph'],[arxiv.Result.Author('Wim Hordijk')],"Zipf's law is well known in linguistics: the frequency of a word is inversely
proportional to its rank. This is a special case of a more general power law, a
common phenomenon in many kinds of real-world statistical data. Here, it is
shown that snooker statistics also follow such a mathematical pattern, but with
varying (estimated) parameter values. Two types of rankings (prize money earned
and centuries scored), and three time-frames (all-time, decade, and year) are
considered. The results indicate that the power law parameter values depend on
the type of ranking used as well as the time-frame considered. Furthermore, in
some cases the resulting parameter values vary significantly over time, for
which a plausible explanation is provided.",-0.052340392,-0.26511675,0.13149849,B
702,These studies all suggest useful directions for further research.,"Furthermore, O’Brien and Gleeson
(2021) propose an alternative way to analyze snooker player rankings, based on complex
networks.","As a final note, in the year 1935, when Zipf first described his findings of an inverse
relationship between word frequency and rank (Zipf 1935), there was only one
professional snooker tournament held: the world championship.",2022-01-18 08:40:52+00:00,Snooker Statistics and Zipf's Law,physics.soc-ph,['physics.soc-ph'],[arxiv.Result.Author('Wim Hordijk')],"Zipf's law is well known in linguistics: the frequency of a word is inversely
proportional to its rank. This is a special case of a more general power law, a
common phenomenon in many kinds of real-world statistical data. Here, it is
shown that snooker statistics also follow such a mathematical pattern, but with
varying (estimated) parameter values. Two types of rankings (prize money earned
and centuries scored), and three time-frames (all-time, decade, and year) are
considered. The results indicate that the power law parameter values depend on
the type of ranking used as well as the time-frame considered. Furthermore, in
some cases the resulting parameter values vary significantly over time, for
which a plausible explanation is provided.",-0.03762644,-0.2604879,0.13130495,B
