Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
1709,"A further study that compared docked structures of
peptide-Mpro complexes generated from AutoDock CrankPep (a popular automated docking program),

                                                            10
Pymol, and IMD-VR showed that bound structures from all three methods were in good agreement with
each other [130].","The docked structures
generated from apo Mpros remained stable in MD.",This was extremely encouraging.,2022-02-08 16:03:32+00:00,Interactivity: the missing link between virtual reality technology and drug discovery pipelines,q-bio.BM,['q-bio.BM'],"[arxiv.Result.Author('Rebecca K. Walters'), arxiv.Result.Author('Ella M. Gale'), arxiv.Result.Author('Jonathan Barnoud'), arxiv.Result.Author('David R. Glowacki'), arxiv.Result.Author('Adrian J. Mulholland')]","The potential of virtual reality (VR) to contribute to drug design and
development has been recognised for many years. Hardware and software
developments now mean that this potential is beginning to be realised, and VR
methods are being actively used in this sphere. A recent advance is to use VR
not only to visualise and interact with molecular structures, but also to
interact with molecular dynamics simulations of 'on the fly' (interactive
molecular dynamics in VR, IMD-VR), which is useful not only for flexible
docking but also to examine binding processes and conformational changes.
iMD-VR has been shown to be useful for creating complexes of ligands bound to
target proteins, e.g., recently applied to peptide inhibitors of the SARS-CoV-2
main protease. In this review, we use the term 'interactive VR' to refer to
software where interactivity is an inherent part of the user VR experience
e.g., in making structural modifications or interacting with a physically
rigorous molecular dynamics (MD) simulation, as opposed to simply using VR
controllers to rotate and translate the molecule for enhanced visualisation.
Here, we describe these methods and their application to problems relevant to
drug discovery, highlighting the possibilities that they offer in this arena.
We suggest that the ease of viewing and manipulating molecular structures and
dynamics, and the ability to modify structures on the fly (e.g., adding or
deleting atoms) makes modern interactive VR a valuable tool to add to the
armoury of drug development methods.",-0.20229104,-0.3608755,-0.106393956,A
5233,"by bioinformatics technology, and to provide a theoretical basis for
                     further study.","M175

                   Jiahao Ma1*, Guotong Xu1, Le Ao1, Siqi Song1, Jingze Liu2
                   1Harbin Institute of Technology, Weihai, China
                   2Qingdao University, Qingdao, China
                   2190790308@stu.hit.edu.cn

                     Abstract ： Objective: To predict structure and function of Glutamine synthetase (GS) from
                     Pseudoalteromonas sp.","Methods: Open reading frame (ORF) of GS sequence from Pseudoalteromonas
                     sp.",2022-04-23 09:02:20+00:00,Bioinformatic analysis for structure and function of Glutamine synthetase(GS),q-bio.BM,['q-bio.BM'],"[arxiv.Result.Author('Jiahao Ma'), arxiv.Result.Author('Guotong Xu'), arxiv.Result.Author('Le Ao'), arxiv.Result.Author('Siqi Chen'), arxiv.Result.Author('Jingze Liu')]","Objective: To predict structure and function of Glutamine synthetase (GS)
from Pseudoalteromonas sp. by bioinformatics technology, and to provide a
theoretical basis for further study. Methods: Open reading frame (ORF) of GS
sequence from Pseudoalteromonas sp. was obtained by ORF finder and was
translated into amino acid residue. The structure domain was analyzed by Blast.
By the method of analysis tools: Protparam, ProtScale, SignalP-4.0, TMHMM,
SOPMA, SWISS-MODEL, NCBI SMART-BLAST and MAGA 7.0, the structure and function
of the protein were predicted and analyzed. Results: The results showed that
the sequence was GS with 468 amino acid residues, theoretical molecular weight
was 51986.64 Da. The protein has the closest evolutionary status with
Shewanella oneidensis. Then it had no signal peptide site and transmembrane
domain. Secondary structure of GS contained 35.04% alpha-helix, 16.67% Extended
chain, 5.34% beta-turn, 42.95% RandomCoil. Conclusions: This GU was a variety
of biological functions of protein that may be used as a molecular samples of
microbial nitrogen metabolism in extreme environments.",-0.33253914,-0.30636835,-0.03556276,A
5234,"To sum up, the SWISS-MODEL modeling results and the sequence alignment is most valuable part of
this work and it can be a reference for further research and it still have many shorten need to be
completed.","Additionally, it is meaningful to
analysis more Antarctic sea ice bacteria and more protein type have a whole view of marine microbe
cold-adaption mechanism.","Conflict of interest statement
We declare that we have no conflict of interest.",2022-04-23 09:02:20+00:00,Bioinformatic analysis for structure and function of Glutamine synthetase(GS),q-bio.BM,['q-bio.BM'],"[arxiv.Result.Author('Jiahao Ma'), arxiv.Result.Author('Guotong Xu'), arxiv.Result.Author('Le Ao'), arxiv.Result.Author('Siqi Chen'), arxiv.Result.Author('Jingze Liu')]","Objective: To predict structure and function of Glutamine synthetase (GS)
from Pseudoalteromonas sp. by bioinformatics technology, and to provide a
theoretical basis for further study. Methods: Open reading frame (ORF) of GS
sequence from Pseudoalteromonas sp. was obtained by ORF finder and was
translated into amino acid residue. The structure domain was analyzed by Blast.
By the method of analysis tools: Protparam, ProtScale, SignalP-4.0, TMHMM,
SOPMA, SWISS-MODEL, NCBI SMART-BLAST and MAGA 7.0, the structure and function
of the protein were predicted and analyzed. Results: The results showed that
the sequence was GS with 468 amino acid residues, theoretical molecular weight
was 51986.64 Da. The protein has the closest evolutionary status with
Shewanella oneidensis. Then it had no signal peptide site and transmembrane
domain. Secondary structure of GS contained 35.04% alpha-helix, 16.67% Extended
chain, 5.34% beta-turn, 42.95% RandomCoil. Conclusions: This GU was a variety
of biological functions of protein that may be used as a molecular samples of
microbial nitrogen metabolism in extreme environments.",-0.06799335,-0.40437633,-0.5299356,A
5360,"This finding suggests the potential for cross-reactive T
cell recognition between SARS-CoV-2 and pre-existing circulating HCoV that are responsible for
the “common cold” [128], but further research is required.","In
another study, T cell reactivity to SARS-CoV-2 epitopes was also detected in some individuals
never been exposed to SARS-CoV-2.","Therefore, whether T cells will provide
a more stable measure through which to assess prior infection remains unknown.",2022-04-26 21:22:40+00:00,Molecular and Serologic Diagnostic Technologies for SARS-CoV-2,q-bio.BM,['q-bio.BM'],"[arxiv.Result.Author('Halie M. Rando'), arxiv.Result.Author('Christian Brueffer'), arxiv.Result.Author('Ronan Lordan'), arxiv.Result.Author('Anna Ada Dattoli'), arxiv.Result.Author('David Manheim'), arxiv.Result.Author('Jesse G. Meyer'), arxiv.Result.Author('Ariel I. Mundo'), arxiv.Result.Author('Dimitri Perrin'), arxiv.Result.Author('David Mai'), arxiv.Result.Author('Nils Wellhausen'), arxiv.Result.Author('Anthony Gitter'), arxiv.Result.Author('Casey S. Greene')]","The COVID-19 pandemic has presented many challenges that have spurred
biotechnological research to address specific problems. Diagnostics is one area
where biotechnology has been critical. Diagnostic tests play a vital role in
managing a viral threat by facilitating the detection of infected and/or
recovered individuals. From the perspective of what information is provided,
these tests fall into two major categories, molecular and serological.
Molecular diagnostic techniques assay whether a virus is present in a
biological sample, thus making it possible to identify individuals who are
currently infected. Additionally, when the immune system is exposed to a virus,
it responds by producing antibodies specific to the virus. Serological tests
make it possible to identify individuals who have mounted an immune response to
a virus of interest and therefore facilitate the identification of individuals
who have previously encountered the virus. These two categories of tests
provide different perspectives valuable to understanding the spread of
SARS-CoV-2. Within these categories, different biotechnological approaches
offer specific advantages and disadvantages. Here we review the categories of
tests developed for the detection of the SARS-CoV-2 virus or antibodies against
SARS-CoV-2 and discuss the role of diagnostics in the COVID-19 pandemic.",0.8381337,-0.15154943,0.07847825,C_centroid
5361,"This finding suggests the potential for cross-reactive T
cell recognition between SARS-CoV-2 and pre-existing circulating HCoV that are responsible for
the “common cold” [128], but further research is required.","In
another study, T cell reactivity to SARS-CoV-2 epitopes was also detected in some individuals
never been exposed to SARS-CoV-2.","Therefore, whether T cells will provide
a more stable measure through which to assess prior infection remains unknown.",2022-04-26 21:22:40+00:00,Molecular and Serologic Diagnostic Technologies for SARS-CoV-2,q-bio.BM,['q-bio.BM'],"[arxiv.Result.Author('Halie M. Rando'), arxiv.Result.Author('Christian Brueffer'), arxiv.Result.Author('Ronan Lordan'), arxiv.Result.Author('Anna Ada Dattoli'), arxiv.Result.Author('David Manheim'), arxiv.Result.Author('Jesse G. Meyer'), arxiv.Result.Author('Ariel I. Mundo'), arxiv.Result.Author('Dimitri Perrin'), arxiv.Result.Author('David Mai'), arxiv.Result.Author('Nils Wellhausen'), arxiv.Result.Author('COVID-19 Review Consortium'), arxiv.Result.Author('Anthony Gitter'), arxiv.Result.Author('Casey S. Greene')]","The COVID-19 pandemic has presented many challenges that have spurred
biotechnological research to address specific problems. Diagnostics is one area
where biotechnology has been critical. Diagnostic tests play a vital role in
managing a viral threat by facilitating the detection of infected and/or
recovered individuals. From the perspective of what information is provided,
these tests fall into two major categories, molecular and serological.
Molecular diagnostic techniques assay whether a virus is present in a
biological sample, thus making it possible to identify individuals who are
currently infected. Additionally, when the immune system is exposed to a virus,
it responds by producing antibodies specific to the virus. Serological tests
make it possible to identify individuals who have mounted an immune response to
a virus of interest and therefore facilitate the identification of individuals
who have previously encountered the virus. These two categories of tests
provide different perspectives valuable to understanding the spread of
SARS-CoV-2. Within these categories, different biotechnological approaches
offer specific advantages and disadvantages. Here we review the categories of
tests developed for the detection of the SARS-CoV-2 virus or antibodies against
SARS-CoV-2 and discuss the role of diagnostics in the COVID-19 pandemic.",0.8381337,-0.15154943,0.07847825,C
9976,"Our work presents insights for modeling antibody-antigen interactions in
further research.",afﬁnity optimization.,"References

 [1] J. Adolf-Bryfogle, O. Kalyuzhniy, M. Kubitz, B. D. Weitzner, X. Hu, Y. Adachi, W. R. Schief,
      and R. L. Dunbrack Jr. Rosettaantibodydesign (rabd): A general framework for computational
      antibody design.",2022-08-12 01:00:59+00:00,Conditional Antibody Design as 3D Equivariant Graph Translation,q-bio.BM,"['q-bio.BM', 'cs.LG']","[arxiv.Result.Author('Xiangzhe Kong'), arxiv.Result.Author('Wenbing Huang'), arxiv.Result.Author('Yang Liu')]","Antibody design is valuable for therapeutic usage and biological research.
Existing deep-learning-based methods encounter several key issues: 1)
incomplete context for Complementarity-Determining Regions (CDRs) generation;
2) incapable of capturing the entire 3D geometry of the input structure; 3)
inefficient prediction of the CDR sequences in an autoregressive manner. In
this paper, we propose Multi-channel Equivariant Attention Network (MEAN), an
end-to-end model that is able to co-design 1D sequences and 3D structures of
CDRs. To be specific, MEAN formulates antibody design as a conditional graph
translation problem by importing extra components including the target antigen
and the light chain of the antibody. Then, MEAN resorts to E(3)-equivariant
message passing along with a proposed attention mechanism to better capture the
geometrical correlation between different components. Finally, it outputs both
the 1D sequences and 3D structure via a multi-round progressive full-shot
scheme, which enjoys more efficiency against previous autoregressive
approaches. Our method significantly surpasses state-of-the-art models in
sequence and structure modeling, antigen-binding antibody design, and binding
affinity optimization. Specifically, the relative improvement to baselines is
about 22% in antigen-binding CDR design and 34% for affinity optimization.",-0.02508391,0.57500327,-0.13927352,B
9977,"Our work presents insights for modeling antibody-antigen interactions in
further research.","Our model outperforms baselines by a large margin in terms of three generation task in-
cluding distribution learning on 1D sequences and 3D structures, antigen-binding CDR-H3 design,
and afﬁnity optimization.","REFERENCES

Jared Adolf-Bryfogle, Oleks Kalyuzhniy, Michael Kubitz, Brian D Weitzner, Xiaozhen Hu, Yumiko
   Adachi, William R Schief, and Roland L Dunbrack Jr. Rosettaantibodydesign (rabd): A general
   framework for computational antibody design.",2022-08-12 01:00:59+00:00,Conditional Antibody Design as 3D Equivariant Graph Translation,q-bio.BM,"['q-bio.BM', 'cs.LG']","[arxiv.Result.Author('Xiangzhe Kong'), arxiv.Result.Author('Wenbing Huang'), arxiv.Result.Author('Yang Liu')]","Antibody design is valuable for therapeutic usage and biological research.
Existing deep-learning-based methods encounter several key issues: 1)
incomplete context for Complementarity-Determining Regions (CDRs) generation;
2) incapable of capturing the entire 3D geometry of the input structure; 3)
inefficient prediction of the CDR sequences in an autoregressive manner. In
this paper, we propose Multi-channel Equivariant Attention Network (MEAN), an
end-to-end model that is able to co-design 1D sequences and 3D structures of
CDRs. To be specific, MEAN formulates antibody design as a conditional graph
translation problem by importing extra components including the target antigen
and the light chain of the antibody. Then, MEAN resorts to E(3)-equivariant
message passing along with a proposed attention mechanism to better capture the
geometrical correlation between different components. Finally, it outputs both
the 1D sequences and 3D structure via a multi-round progressive full-shot
scheme, which enjoys more efficiency against previous autoregressive
approaches. Our method significantly surpasses state-of-the-art models in
sequence and structure modeling, antigen-binding antibody design, and binding
affinity optimization. Specifically, the relative improvement to baselines is
about 23% in antigen-binding CDR design and 34% for affinity optimization.",-0.079279676,0.6442692,-0.06954245,B_centroid
9978,"Our work presents insights for modeling antibody-antigen interactions in
further research.","Our model outperforms baselines by a large margin in terms of three generation task in-
cluding distribution learning on 1D sequences and 3D structures, antigen-binding CDR-H3 design,
and afﬁnity optimization.","REPRODUCIBILITY

The codes for our MEAN are available at https://anonymous.4open.science/r/
MEAN-conditional-antibody-translation-FB99/.",2022-08-12 01:00:59+00:00,Conditional Antibody Design as 3D Equivariant Graph Translation,q-bio.BM,"['q-bio.BM', 'cs.LG']","[arxiv.Result.Author('Xiangzhe Kong'), arxiv.Result.Author('Wenbing Huang'), arxiv.Result.Author('Yang Liu')]","Antibody design is valuable for therapeutic usage and biological research.
Existing deep-learning-based methods encounter several key issues: 1)
incomplete context for Complementarity-Determining Regions (CDRs) generation;
2) incapable of capturing the entire 3D geometry of the input structure; 3)
inefficient prediction of the CDR sequences in an autoregressive manner. In
this paper, we propose Multi-channel Equivariant Attention Network (MEAN), an
end-to-end model that is able to co-design 1D sequences and 3D structures of
CDRs. To be specific, MEAN formulates antibody design as a conditional graph
translation problem by importing extra components including the target antigen
and the light chain of the antibody. Then, MEAN resorts to E(3)-equivariant
message passing along with a proposed attention mechanism to better capture the
geometrical correlation between different components. Finally, it outputs both
the 1D sequences and 3D structure via a multi-round progressive full-shot
scheme, which enjoys more efficiency against previous autoregressive
approaches. Our method significantly surpasses state-of-the-art models in
sequence and structure modeling, antigen-binding antibody design, and binding
affinity optimization. Specifically, the relative improvement to baselines is
about 23% in antigen-binding CDR design and 34% for affinity optimization.",-0.04914742,0.5999024,-0.08078308,B
11254,"To further study the chemical distributions of the
generated molecules and existed active compounds, T-SNE plots of generated molecules and existing inhibitors
were performed and shown in Figure 1.","It indicated that our
generative model can design molecules for specific target.","Here, the molecules are sample by RL using the predictor with the best
performance (Kiba for GSK3β and EGFR, and BindingDB for 5HT1A and D3R).",2022-08-14 10:41:52+00:00,Widely Used and Fast De Novo Drug Design by a Protein Sequence-Based Reinforcement Learning Model,q-bio.BM,"['q-bio.BM', 'cs.LG']","[arxiv.Result.Author('Yaqin Li'), arxiv.Result.Author('Lingli Li'), arxiv.Result.Author('Yongjin Xu'), arxiv.Result.Author('Yi Yu')]","De novo molecular design has facilitated the exploration of large chemical
space to accelerate drug discovery. Structure-based de novo method can overcome
the data scarcity of active ligands by incorporating drug-target interaction
into deep generative architectures. However, these strategies are bottlenecked
by the small fraction of experimentally determined protein or complex
structures. In addition, the cost of molecular generation is computationally
expensive due to 3D representations of both molecule and protein. Here, we
demonstrate a widely used and fast protein sequence-based reinforcement
learning (RL) model for drug discovery. In the generative model, one of the
reward components, a binding affinity predictor, is based on 1D protein
sequence and molecular SMILES. As a proof of concept, the RL model was utilized
to design molecules for four targets. The generated compounds showed
bioactivities by the validation of both QSAR and molecular docking with
experimental 3D binding pockets. We also found that the performance of
generated molecules depends on the selection of data source training for the
binding predictor. Furthermore, drug design for a kinase without any
experimental structure, CDK20, was studied by our model. With only 1D protein
sequence as input, the generated novel compounds showed favorable binding
affinity based on the AlphaFold predicted structure.",-0.18422538,-0.07859817,0.5993232,A
12261,"However, having had to wait for
more than ~60 years to understand how a sequence codes their folding may well be a price to pay,
and, perhaps, it may help to open new avenues for further research in the protein folding field.","Solving the protein folding
                                                                                                                              5

problem following this approach is, no doubt, a daunting task.","Acknowledgments
         The author acknowledges support from the IMASL-CONICET-UNSL and ANPCyT

(PICT-02212), Argentina.",2022-10-10 20:22:38+00:00,Rethinking the protein folding problem from a new perspective,q-bio.BM,['q-bio.BM'],[arxiv.Result.Author('Jorge A. Vila')],"One of the main concerns of Anfinsen was to reveal the connection between the
amino acid sequence and their biologically active conformation. This search
gave rise to two crucial questions in structural biology, namely, why the
proteins fold and how a sequence encodes its folding. As to the why, he
proposes a plausible answer, namely, at a given milieu a protein folds into its
functional form -- native state -- because such structure represents the lowest
free-energy minimum among all feasible conformations -- the thermodynamic
hypothesis or Anfinsen dogma. As to the how, this remains as an unsolved
challenge and, hence, this inquiry is examined here from a new perspective of
protein folding, namely, as an analytic whole -- a notion proposed by Leibnitz
and Kant. This new perspective forces us to discuss in detail why the
theoretical force-field-based approaches have failed in both their ability to
predict the three-dimensional structure of a protein accurately and in their
capacity to answer one of the most critical questions in structural biology:
how a sequence encodes its folding.",-0.32472056,-0.21094993,-0.22208202,A_centroid
