Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
574,"The authors
demonstrated that a hierarchical LSTM can discover an underlying spatiotemporal struc-
ture in sequential data, facilitating further research into this area.","(2017) introduced Hierarchical
Multiscale Recurrent Neural Networks (HM-RNNs) that employed a discrete-space long
short term memory (LSTM) model with a parametrised boundary detector.","Notably, HM-RNNs were
not probabilistic models and therefore did not operate over Bayesian belief states.",2022-01-14 14:05:30+00:00,Bayesian sense of time in biological and artificial brains,q-bio.NC,"['q-bio.NC', 'cs.AI', 'stat.ML']","[arxiv.Result.Author('Zafeirios Fountas'), arxiv.Result.Author('Alexey Zakharov')]","Enquiries concerning the underlying mechanisms and the emergent properties of
a biological brain have a long history of theoretical postulates and
experimental findings. Today, the scientific community tends to converge to a
single interpretation of the brain's cognitive underpinnings -- that it is a
Bayesian inference machine. This contemporary view has naturally been a strong
driving force in recent developments around computational and cognitive
neurosciences. Of particular interest is the brain's ability to process the
passage of time -- one of the fundamental dimensions of our experience. How can
we explain empirical data on human time perception using the Bayesian brain
hypothesis? Can we replicate human estimation biases using Bayesian models?
What insights can the agent-based machine learning models provide for the study
of this subject? In this chapter, we review some of the recent advancements in
the field of time perception and discuss the role of Bayesian processing in the
construction of temporal models.",-0.17580748,-0.17031606,0.10049765,B
2178,"In a further study of the primate entorhi-       be accounted for by ﬁlters that operate over multiple time
nal cortex, Bright et al.","(2019) ﬁnd that the
speciﬁcally using a multi-scale temporal representation as a      behaviour of the adaptive responses that they observe can
temporal memory.",(2020) conclude that the that this      scales.,2022-02-18 14:15:11+00:00,A time-causal and time-recursive scale-covariant scale-space representation of temporal signals and past time,q-bio.NC,['q-bio.NC'],[arxiv.Result.Author('Tony Lindeberg')],"This article presents an overview of a theory for performing temporal
smoothing on temporal signals in such a way that: (i) temporally smoothed
signals at coarser temporal scales are guaranteed to constitute simplifications
of corresponding temporally smoothed signals at any finer temporal scale
(including the original signal) and (ii) the temporal smoothing process is both
time-causal and time-recursive, in the sense that it does not require access to
future information and can be performed with no other temporal memory buffer of
the past than the resulting smoothed temporal scale-space representations
themselves.
  For specific subsets of parameter settings for the classes of linear and
shift-invariant temporal smoothing operators that obey this property, it is
shown how temporal scale covariance can be additionally obtained, guaranteeing
that if the temporal input signal is rescaled by a uniform scaling factor, then
also the resulting temporal scale-space representations of the rescaled
temporal signal will constitute mere rescalings of the temporal scale-space
representations of the original input signal, complemented by a shift along the
temporal scale dimension. The resulting time-causal limit kernel that obeys
this property constitutes a canonical temporal kernel for processing temporal
signal in real-time scenarios when the regular Gaussian kernel cannot be used
because of its non-causal access to information from the future and we cannot
additionally require the temporal smoothing process to comprise a complementary
memory of the past beyond the information contained in the temporal smoothing
process itself, which in this way also serves as a multi-scale temporal memory
of the past.
  This theory is generally applicable for both: (i) modelling continuous
temporal phenomena over multiple temporal scales and (ii) digital processing of
measured temporal signals in real time.",-0.064241625,-0.1150487,-0.14580177,B
2179,"In a further study of the primate entorhi-       be accounted for by ﬁlters that operate over multiple time
nal cortex, Bright et al.","(2019) ﬁnd that the
speciﬁcally using a multi-scale temporal representation as a      behaviour of the adaptive responses that they observe can
temporal memory.",(2020) conclude that the that this      scales.,2022-02-18 14:15:11+00:00,A time-causal and time-recursive scale-covariant scale-space representation of temporal signals and past time,q-bio.NC,['q-bio.NC'],[arxiv.Result.Author('Tony Lindeberg')],"This article presents an overview of a theory for performing temporal
smoothing on temporal signals in such a way that: (i) temporally smoothed
signals at coarser temporal scales are guaranteed to constitute simplifications
of corresponding temporally smoothed signals at any finer temporal scale
(including the original signal) and (ii) the temporal smoothing process is both
time-causal and time-recursive, in the sense that it does not require access to
future information and can be performed with no other temporal memory buffer of
the past than the resulting smoothed temporal scale-space representations
themselves.
  For specific subsets of parameter settings for the classes of linear and
shift-invariant temporal smoothing operators that obey this property, it is
shown how temporal scale covariance can be additionally obtained, guaranteeing
that if the temporal input signal is rescaled by a uniform scaling factor, then
also the resulting temporal scale-space representations of the rescaled
temporal signal will constitute mere rescalings of the temporal scale-space
representations of the original input signal, complemented by a shift along the
temporal scale dimension. The resulting time-causal limit kernel that obeys
this property constitutes a canonical temporal kernel for processing temporal
signal in real-time scenarios when the regular Gaussian kernel cannot be used
because of its non-causal access to information from the future and we cannot
additionally require the temporal smoothing process to comprise a complementary
memory of the past beyond the information contained in the temporal smoothing
process itself, which in this way also serves as a multi-scale temporal memory
of the past.
  This theory is generally applicable for both: (i) modelling continuous
temporal phenomena over multiple temporal scales and (ii) digital processing of
measured temporal signals in real time.",-0.064241625,-0.1150487,-0.14580177,B
2180,"In a further study of the primate entorhi-
                                                                    nal cortex, Bright et al.","(2018) show how temporal information in
                                                                    the lateral entorhinal cortex is robustly encoded over a wide
    In the second-stage model of spectro-temporal receptive         range of temporal scales, from time scales of seconds to
ﬁelds in this theory, the idealized form of auditory receptive      hours, where speciﬁcally the brain handles multiple scales
ﬁelds are from theoretical arguments constrained to be of the       in parallel, consistent with the underlying construction of
form                                                                a multi-scale representation over the temporal domain, and
                                                                    speciﬁcally using a multi-scale temporal representation as a
A(t, ν; Σ) = ∂tα ∂νβ (g(ν − vt; s) T (t; τa))  (82)                 temporal memory.","(2020) experimentally model time
where                                                               cells in this brain area as single truncated exponentials, in
                                                                    line with theoretical model in Equation (16), although also
 – ∂tα represents a temporal derivative operator of order           complemented with a Gaussian smoothing step that leads
    α with respect to time t which could alternatively be re-       to the ex-Gaussian model, and conclude that the time cells
    placed by a glissando-adapted temporal derivative of the        in the entorhinal cortex use a spectrum of time constants to
    form ∂t = ∂t + v ∂ν ,                                           construct a temporal record of the past in support of episodic
                                                                    memory.",2022-02-18 14:15:11+00:00,A time-causal and time-recursive scale-covariant scale-space representation of temporal signals and past time,q-bio.NC,['q-bio.NC'],[arxiv.Result.Author('Tony Lindeberg')],"This article presents an overview of a theory for performing temporal
smoothing on temporal signals in such a way that: (i) temporally smoothed
signals at coarser temporal scales are guaranteed to constitute simplifications
of corresponding temporally smoothed signals at any finer temporal scale
(including the original signal) and (ii) the temporal smoothing process is both
time-causal and time-recursive, in the sense that it does not require access to
future information and can be performed with no other temporal memory buffer of
the past than the resulting smoothed temporal scale-space representations
themselves.
  For specific subsets of parameter settings for the classes of linear and
shift-invariant temporal smoothing operators that obey this property, it is
shown how temporal scale covariance can be additionally obtained, guaranteeing
that if the temporal input signal is rescaled by a uniform scaling factor, then
also the resulting temporal scale-space representations of the rescaled
temporal signal will constitute mere rescalings of the temporal scale-space
representations of the original input signal, complemented by a shift along the
temporal scale dimension. The resulting time-causal limit kernel that obeys
this property constitutes a canonical temporal kernel for processing temporal
signal in real-time scenarios when the regular Gaussian kernel cannot be used
because of its non-causal access to information from the future and we cannot
additionally require the temporal smoothing process to comprise a complementary
memory of the past beyond the information contained in the temporal smoothing
process itself, which in this way also serves as a multi-scale temporal memory
of the past.
  This theory is generally applicable for both: (i) modelling continuous
temporal phenomena over multiple temporal scales and (ii) digital processing of
measured temporal signals in real time.",-0.098461896,-0.17331699,-0.098007604,B
2492,"Like the disintegrated sys-
tem, the integrated system is non-ergodic, so not every          Dissociated and organotypic cultures have been a
state each reachable from every other state - the extent to   highly productive model system for research into infor-
which properties such as ergodicity, system size, etc, in-    mation dynamics and “computation” in biological sys-
ﬂuence the distribution of integrated information atoms       tems: for example, see studies of the relationship between
remains an area of further study.",of lower-level dependencies.,"criticality and information-theoretic complexity [12, 36],
                                                              network structure and synergy [37–39], changes to com-
                       3.",2022-02-25 21:46:51+00:00,Decomposing past and future: Integrated information decomposition based on shared probability mass exclusions,q-bio.NC,"['q-bio.NC', 'math.PR']",[arxiv.Result.Author('Thomas F. Varley')],"A core feature of complex systems is that the interactions between elements
in the present causally constrain each-other as the system evolves through
time. To fully model all of these interactions (between elements, as well as
ensembles of elements), we can decompose the total information flowing from
past to future into a set of non-overlapping temporal interactions that
describe all the different modes by which information can flow. To achieve
this, we propose a novel information-theoretic measure of temporal dependency
($I_{\tau sx}$) based on informative and misinformative local probability mass
exclusions. To demonstrate the utility of this framework, we apply the
decomposition to spontaneous spiking activity recorded from dissociated neural
cultures of rat cerebral cortex to show how different modes of information
processing are distributed over the system. Furthermore, being a localizable
analysis, we show that $I_{\tau sx}$ can provide insight into the computational
structure of single moments. We explore the time-resolved computational
structure of neuronal avalanches and find that different types of information
atoms have distinct profiles over the course of an avalanche, with the majority
of non-trivial information dynamics happening before the first half of the
cascade is completed. These analyses allow us to move beyond the historical
focus on single measures of dependency such as information transfer or
information integration, and explore a panoply of different relationships
between elements (and groups of elements) in complex systems.",-0.22276756,-0.41775882,0.17481801,A_centroid
2493,"Like the disintegrated sys-
tem, the integrated system is non-ergodic, so not every          Dissociated and organotypic cultures have been a
state each reachable from every other state - the extent to   highly productive model system for research into infor-
which properties such as ergodicity, system size, etc, in-    mation dynamics and “computation” in biological sys-
ﬂuence the distribution of integrated information atoms       tems: for example, see studies of the relationship between
remains an area of further study.",of lower-level dependencies.,"criticality and information-theoretic complexity [12, 36],
                                                              network structure and synergy [37–39], changes to com-
                       3.",2022-02-25 21:46:51+00:00,Decomposing past and future: Integrated information decomposition based on shared probability mass exclusions,q-bio.NC,"['q-bio.NC', 'math.PR']",[arxiv.Result.Author('Thomas F. Varley')],"A core feature of complex systems is that the interactions between elements
in the present causally constrain each-other as the system evolves through
time. To fully model all of these interactions (between elements, as well as
ensembles of elements), we can decompose the total information flowing from
past to future into a set of non-overlapping temporal interactions that
describe all the different modes by which information can flow. To achieve
this, we propose a novel information-theoretic measure of temporal dependency
($I_{\tau sx}$) based on informative and misinformative local probability mass
exclusions. To demonstrate the utility of this framework, we apply the
decomposition to spontaneous spiking activity recorded from dissociated neural
cultures of rat cerebral cortex to show how different modes of information
processing are distributed over the system. Furthermore, being a localizable
analysis, we show that $I_{\tau sx}$ can provide insight into the computational
structure of single moments. We explore the time-resolved computational
structure of neuronal avalanches and find that different types of information
atoms have distinct profiles over the course of an avalanche, with the majority
of non-trivial information dynamics happening before the first half of the
cascade is completed. These analyses allow us to move beyond the historical
focus on single measures of dependency such as information transfer or
information integration, and explore a panoply of different relationships
between elements (and groups of elements) in complex systems.",-0.22276756,-0.41775882,0.17481801,A
4299,"The design of intrinsic (or curiosity-based)
reward signals for reinforcement learning is an increasingly important area for further research [67],
and may beneﬁt from computational insights into human behavior, such as those derived from our
analyses here.","In such
sparse reward environments, curiosity-like intrinsic motivations can lead to improved exploration
and, by extension, improved task performance [65, 66].",Methodological considerations.,2022-04-03 23:39:59+00:00,"Curiosity as filling, compressing, and reconfiguring knowledge networks",q-bio.NC,['q-bio.NC'],"[arxiv.Result.Author('Shubhankar P. Patankar'), arxiv.Result.Author('Dale Zhou'), arxiv.Result.Author('Christopher W. Lynn'), arxiv.Result.Author('Jason Z. Kim'), arxiv.Result.Author('Mathieu Ouellet'), arxiv.Result.Author('Harang Ju'), arxiv.Result.Author('Perry Zurn'), arxiv.Result.Author('David M. Lydon-Staley'), arxiv.Result.Author('Dani S. Bassett')]","Due to the significant role that curiosity plays in our lives, several
theoretical constructs, such as the information gap theory and compression
progress theory, have sought to explain how we engage in its practice.
According to the former, curiosity is the drive to acquire information that is
missing from our understanding of the world. According to the latter, curiosity
is the drive to construct an increasingly parsimonious mental model of the
world. To complement the densification processes inherent to these theories, we
propose the conformational change theory, wherein we posit that curiosity
results in mental models with marked conceptual flexibility. We formalize
curiosity as the process of building a growing knowledge network to
quantitatively investigate information gap theory, compression progress theory,
and the conformational change theory of curiosity. In knowledge networks, gaps
can be identified as topological cavities, compression progress can be
quantified using network compressibility, and flexibility can be measured as
the number of conformational degrees of freedom. We leverage data acquired from
the online encyclopedia Wikipedia to determine the degree to which each theory
explains the growth of knowledge networks built by individuals and by
collectives. Our findings lend support to a pluralistic view of curiosity,
wherein intrinsically motivated information acquisition fills knowledge gaps
and simultaneously leads to increasingly compressible and flexible knowledge
networks. Across individuals and collectives, we determine the contexts in
which each theoretical account may be explanatory, thereby clarifying their
complementary and distinct explanations of curiosity. Our findings offer a
novel network theoretical perspective on intrinsically motivated information
acquisition that may harmonize with or compel an expansion of the traditional
taxonomy of curiosity.",-0.20719235,-0.021145567,-0.030210093,C
5892,"For
example, VGG GEN appears to use feature sizes between 32 × 32 and 64 × 64 pixels, as its
accuracy drop when we pass this threshold (see Figure 10), but further study is needed to
quantify this size.","So the
size of the features needed to perform such a task varies with the depth of the network.","In a future application, we could extract features from these low-level layers
to better understand the features needed to perform this task.",2022-05-07 11:19:40+00:00,Ultrafast image categorization in vivo and in silico,q-bio.NC,"['q-bio.NC', 'cs.CV']","[arxiv.Result.Author('Jean-Nicolas Jérémie'), arxiv.Result.Author('Laurent U Perrinet')]","Humans are able to categorize images very efficiently, in particular to
detect very rapidly the presence of an animal. Recently, deep learning
algorithms have achieved higher accuracy than humans for a large set of visual
recognition tasks. However, the tasks on which these artificial networks are
usually trained and evaluated are usually very specialized which do not
generalize well, for example with an accuracy drop following a rotation of the
image. In this regard, biological visual systems are more flexible and
efficient than artificial systems for more generic tasks, such as detecting an
animal. To further the comparison between biological and artificial neural
networks, we retrained the standard VGG16 convolutional neural network (CNN) on
two independent tasks that are ecologically relevant to humans: detecting the
presence of an animal or an artifact. We show that retraining the network
achieves a human-like level of performance, comparable to what is reported in
psychophysical tasks. Moreover, we show that categorization is better when
combining the models' outputs. Indeed, animals (e.g. lions) tend to be less
present in photographs containing artifacts (e.g. buildings). Furthermore,
these re-trained models were able to reproduce some unexpected behavioral
observations of human psychophysics, such as robustness to rotations (e.g., an
upside-down or tilted image) or to a grayscale transformation. Finally, we
quantified the number of CNN layers needed to achieve such performance, showing
that good accuracy for ultrafast image categorization could be achieved with
only a few layers, challenging the belief that image recognition would require
a deep sequential analysis of visual objects.",0.028490601,0.030569006,0.13539796,B
7022,"This manuscript additionally
functions as an open invitation to members of the community with an interest in applying differentiable
programming to brain mapping to contribute to further research and development of hypercoil.","All experiments were implemented using the PyTorch-based
hypercoil software library that we introduce and freely release.","We must remark that a substantial prior body of work has established limited utility for deep neural
networks in the setting of brain mapping (e.g., [8], [43]–[45], but see also [46]).",2022-05-31 10:53:31+00:00,Differentiable programming for functional connectomics,q-bio.NC,"['q-bio.NC', 'cs.LG']","[arxiv.Result.Author('Rastko Ciric'), arxiv.Result.Author('Armin W. Thomas'), arxiv.Result.Author('Oscar Esteban'), arxiv.Result.Author('Russell A. Poldrack')]","Mapping the functional connectome has the potential to uncover key insights
into brain organisation. However, existing workflows for functional
connectomics are limited in their adaptability to new data, and principled
workflow design is a challenging combinatorial problem. We introduce a new
analytic paradigm and software toolbox that implements common operations used
in functional connectomics as fully differentiable processing blocks. Under
this paradigm, workflow configurations exist as reparameterisations of a
differentiable functional that interpolates them. The differentiable program
that we envision occupies a niche midway between traditional pipelines and
end-to-end neural networks, combining the glass-box tractability and domain
knowledge of the former with the amenability to optimisation of the latter. In
this preliminary work, we provide a proof of concept for differentiable
connectomics, demonstrating the capacity of our processing blocks both to
recapitulate canonical knowledge in neuroscience and to make new discoveries in
an unsupervised setting. Our differentiable modules are competitive with
state-of-the-art methods in problem domains including functional parcellation,
denoising, and covariance modelling. Taken together, our results and software
demonstrate the promise of differentiable programming for functional
connectomics.",0.0996618,0.030859519,-0.0638983,B
7184,"We leave it for further research to

                                                                      2Also taken from the CMU database from subject 12, trial 4 (thai chi) and
                                                                   subject 5, trial 2 (modern dance).","Overall, the results imply that the model ﬁnds a stable

                                                                   internal attractor state even if the dynamics of the observed

                                                                   data differs from the learned motion (in the case of the

                                                                   unknown walker data).",TABLE I: Model hyperparameters for performed experiments.,2022-06-01 22:01:29+00:00,Binding Dancers Into Attractors,q-bio.NC,"['q-bio.NC', 'cs.AI', 'cs.CV', 'cs.LG']","[arxiv.Result.Author('Franziska Kaltenberger'), arxiv.Result.Author('Sebastian Otte'), arxiv.Result.Author('Martin V. Butz')]","To effectively perceive and process observations in our environment, feature
binding and perspective taking are crucial cognitive abilities. Feature binding
combines observed features into one entity, called a Gestalt. Perspective
taking transfers the percept into a canonical, observer-centered frame of
reference. Here we propose a recurrent neural network model that solves both
challenges. We first train an LSTM to predict 3D motion dynamics from a
canonical perspective. We then present similar motion dynamics with novel
viewpoints and feature arrangements. Retrospective inference enables the
deduction of the canonical perspective. Combined with a robust mutual-exclusive
softmax selection scheme, random feature arrangements are reordered and
precisely bound into known Gestalt percepts. To corroborate evidence for the
architecture's cognitive validity, we examine its behavior on the silhouette
illusion, which elicits two competitive Gestalt interpretations of a rotating
dancer. Our system flexibly binds the information of the rotating figure into
the alternative attractors resolving the illusion's ambiguity and imagining the
respective depth interpretation and the corresponding direction of rotation. We
finally discuss the potential universality of the proposed mechanisms.",-0.23500824,-0.19261573,0.25512475,A
