Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
8,"For further study this kind
                                          of nonlocality, it is interesting to investigate the locally irreducibility and the strong quantum nonlocality for OPSs.",An OPS is said to be strongly nonlocal if it is locally irreducible in every bipartition.,Halder et al.,2022-01-01 01:18:37+00:00,Strong quantum nonlocality for unextendible product bases in heterogeneous systems,quant-ph,['quant-ph'],"[arxiv.Result.Author('Fei Shi'), arxiv.Result.Author('Mao-Sheng Li'), arxiv.Result.Author('Lin Chen'), arxiv.Result.Author('Xiande Zhang')]","A set of multipartite orthogonal product states is strongly nonlocal if it is
locally irreducible in every bipartition, which shows the phenomenon of strong
quantum nonlocality without entanglement. It is known that unextendible product
bases (UPBs) can show the phenomenon of quantum nonlocality without
entanglement. Thus it is interesting to investigate the strong quantum
nonlocality for UPBs. Most of the UPBs with the minimum size cannot demonstrate
strong quantum nonlocality. In this paper, we construct a series of UPBs with
different large sizes in $d_A\otimes d_B\otimes d_C$ and $d_A\otimes d_B\otimes
d_C\otimes d_D$ for $d_A, d_B, d_C, d_D\geq 3$, and we also show that these
UPBs have strong quantum nonlocality, which answers an open question given by
Halder \emph{et al.} [Phys. Rev. Lett. \textbf{122}, 040403 (2019)] and Yuan
\emph{et al.} [Phys. Rev. A \textbf{102}, 042228 (2020)] for any possible three
and four-partite systems. Furthermore, we propose an entanglement-assisted
protocol to locally discriminate the UPB in $3\otimes 3\otimes 4$, and it
consumes less entanglement resource than the teleportation-based protocol. Our
results build the connection between strong quantum nonlocality and UPBs.",0.17039225,0.245392,-0.10677835,B
218,"Making use of the
of simplicity, we restrict our attention to integer angu-        ﬁltration property of the 2π-periodic delta function (58)
lar momentum, the generalization to the fractional an-           on the interval of the length 2π, one can show easily
gular momenta being deferred for further research.","For the sake            of an operator (or function) A(n, α).","The           that the Fourier transformation (70) fulﬁls the following
                                                                 analogue of the Parseval formula:

               π                                                  π

                  dφ(F A)(l, φ)(F B)†(l, φ) =                            dαA(n, α)B†(n, α),             (71)

          l∈Z −π                                                 n∈Z −π

where the symbol † stands for the Hermitian conjugate.",2022-01-06 20:12:02+00:00,Angle and angular momentum -- new twist for an old pair,quant-ph,['quant-ph'],"[arxiv.Result.Author('Ladislav Mišta Jr.'), arxiv.Result.Author('Hubert de Guise'), arxiv.Result.Author('Jaroslav Řeháček'), arxiv.Result.Author('Zdeněk Hradil')]","Reaching ultimate performance of quantum technologies requires the use of
detection at quantum limits and access to all resources of the underlying
physical system. We establish a full quantum analogy between the pair of
angular momentum and exponential angular variable, and the structure of
canonically conjugate position and momentum. This includes the notion of
optimal simultaneous measurement of the angular momentum and angular variable,
the identification of Einstein-Podolsky-Rosen-like variables and states, and
finally a phase-space representation of quantum states. Our construction is
based on close interconnection of the three concepts and may serve as a
template for the treatment of other observables. This theory also provides a
new testbed for implementation of quantum technologies combining discrete and
continuous quantum variables.",0.37092817,0.00697919,0.027238563,A
262,"[Ajagekar and You, 2020] However, to date such approaches have been only applied to
benchmark simulation models and their real use-case application in this sector requires further research.","[Ajagekar and You, 2020, 2021a,b] This
is a domain where hybrid machine-learning and quantum assisted algorithms can be developed for process monitoring,
fault diagnosis and control.","A tree-search based quantum-classical algorithm has been implemented to solve a scheduling problem by dissecting the
problem into a master formulation and multiple sub-problems.",2022-01-08 12:49:57+00:00,"Quantum Computing: Fundamentals, Trends and Perspectives for Chemical and Biochemical Engineers",quant-ph,['quant-ph'],"[arxiv.Result.Author('Amirhossein Nourbakhsh'), arxiv.Result.Author('Mark Nicholas Jones'), arxiv.Result.Author('Kaur Kristjuhan'), arxiv.Result.Author('Deborah Carberry'), arxiv.Result.Author('Jay Karon'), arxiv.Result.Author('Christian Beenfeldt'), arxiv.Result.Author('Kyarash Shahriari'), arxiv.Result.Author('Martin P. Andersson'), arxiv.Result.Author('Mojgan A. Jadidi'), arxiv.Result.Author('Seyed Soheil Mansouri')]","We use the benefits and components of classical computers every day. However,
there are many types of problems which, as they grow in size, their
computational complexity grows larger than classical computers will ever be
able to solve. Quantum computing (QC) is a computation model that uses quantum
physical properties to solve such problems. QC is at the early stage of
large-scale adoption in various industry domains to take advantage of the
algorithmic speed-ups it has to offer. It can be applied in a variety of areas,
such as computer science, mathematics, chemical and biochemical engineering,
and the financial industry. The main goal of this paper is to give an overview
to chemical and biochemical researchers and engineers who may not be familiar
with quantum computation. Thus, the paper begins by explaining the fundamental
concepts of QC. The second contribution this publication tries to tackle is the
fact that the chemical engineering literature still lacks a comprehensive
review of the recent advances of QC. Therefore, this article reviews and
summarizes the state of the art to gain insight into how quantum computation
can benefit and optimize chemical engineering issues. A bibliography analysis
covers the comprehensive literature in QC and analyzes quantum computing
research in chemical engineering on various publication topics, using Clarivate
analytics covering the years 1990 to 2020. After the bibliographic analysis,
relevant applications of QC in chemical and biochemical engineering are
highlighted and a conclusion offers an outlook of future directions within the
field.",-0.35500997,-0.097541645,0.118545085,C
305,"The aim of this brief note is to show the possibility
                                                of solving challenges towards large-scale quantum devices, and to encourage further research in incorporating
                                                long-range inter-qubit coupling into scalable quantum information processing with superconducting qubits.","The inter-module gate operations are promising to be implemented with gate performance
                                                comparable with that of intra-module gate operations.",I.,2022-01-10 06:29:35+00:00,Tunable coupling of widely separated superconducting qubits: A possible application towards a modular quantum device,quant-ph,['quant-ph'],"[arxiv.Result.Author('Peng Zhao'), arxiv.Result.Author('Yingshan Zhang'), arxiv.Result.Author('Guangming Xue'), arxiv.Result.Author('Yirong Jin'), arxiv.Result.Author('Haifeng Yu')]","Besides striving to assemble more and more qubits in a single monolithic
quantum device, taking a modular design strategy may mitigate numerous
engineering challenges for achieving large-scalable quantum processors with
superconducting qubits. Nevertheless, a major challenge in the modular quantum
device is how to realize high-fidelity entanglement operations on qubits housed
in different modules while preserving the desired isolation between modules. In
this brief note, we propose a conceptual design of a modular quantum device,
where nearby modules are spatially separated by centimeters. In principle, each
module can contain tens of superconducting qubits, and can be separately
fabricated, characterized, packaged, and replaced. By introducing a bridge
module between nearby qubit modules and taking coupling scheme utilizing
tunable bus (a simple extension of the coupling scheme recently proposed in
arXiv:2110.12570), tunable coupling of qubits that are housed in nearby qubit
modules, could be realized. Given physically reasonable assumptions, we expect
that sub-100-ns two-qubit gates for qubits housed in nearby modules which are
spatially separated by more than two centimeters could be obtained. The
inter-module gate operations are promising to be implemented with gate
performance comparable with that of intra-module gate operations. The aim of
this brief note is to show the possibility of solving challenges towards
large-scale quantum devices, and to encourage further research in incorporating
long-range inter-qubit coupling into scalable quantum information processing
with superconducting qubits.",-0.36269188,-0.19077617,-0.11589785,C
306,"The aim of this brief note is to show the possibility
                                                of solving challenges towards large-scale quantum devices, and to encourage further research in incorporating
                                                long-range inter-qubit coupling into scalable quantum information processing with superconducting qubits.","The inter-module gate operations are promising to be implemented with gate performance
                                                comparable with that of intra-module gate operations.",I.,2022-01-10 06:29:35+00:00,Tunable coupling of widely separated superconducting qubits: A possible application towards a modular quantum device,quant-ph,['quant-ph'],"[arxiv.Result.Author('Peng Zhao'), arxiv.Result.Author('Yingshan Zhang'), arxiv.Result.Author('Guangming Xue'), arxiv.Result.Author('Yirong Jin'), arxiv.Result.Author('Haifeng Yu')]","Besides striving to assemble more and more qubits in a single monolithic
quantum device, taking a modular design strategy may mitigate numerous
engineering challenges for achieving large-scalable quantum processors with
superconducting qubits. Nevertheless, a major challenge in the modular quantum
device is how to realize high-fidelity entanglement operations on qubits housed
in different modules while preserving the desired isolation between modules. In
this brief note, we propose a conceptual design of a modular quantum device,
where nearby modules are spatially separated by centimeters. In principle, each
module can contain tens of superconducting qubits, and can be separately
fabricated, characterized, packaged, and replaced. By introducing a bridge
module between nearby qubit modules and taking coupling scheme utilizing
tunable bus (a simple extension of the coupling scheme recently proposed in
arXiv:2110.12570), tunable coupling of qubits that are housed in nearby qubit
modules, could be realized. Given physically reasonable assumptions, we expect
that sub-100-ns two-qubit gates for qubits housed in nearby modules which are
spatially separated by more than two centimeters could be obtained. The
inter-module gate operations are promising to be implemented with gate
performance comparable with that of intra-module gate operations. The aim of
this brief note is to show the possibility of solving challenges towards
large-scale quantum devices, and to encourage further research in incorporating
long-range inter-qubit coupling into scalable quantum information processing
with superconducting qubits.",-0.36269188,-0.19077617,-0.11589785,C
307,"The aim of this brief note is to show the possibility
                                                of solving challenges towards large-scale quantum devices, and to encourage further research in incorporating
                                                long-range inter-qubit coupling into scalable quantum information processing with superconducting qubits.","The inter-module gate operations are promising to be implemented with gate performance
                                                comparable with that of intra-module gate operations.",I.,2022-01-10 06:29:35+00:00,Tunable coupling of widely separated superconducting qubits: A possible application towards a modular quantum device,quant-ph,['quant-ph'],"[arxiv.Result.Author('Peng Zhao'), arxiv.Result.Author('Yingshan Zhang'), arxiv.Result.Author('Guangming Xue'), arxiv.Result.Author('Yirong Jin'), arxiv.Result.Author('Haifeng Yu')]","Besides striving to assemble more and more qubits in a single monolithic
quantum device, taking a modular design strategy may mitigate numerous
engineering challenges for achieving large-scalable quantum processors with
superconducting qubits. Nevertheless, a major challenge in the modular quantum
device is how to realize high-fidelity entanglement operations on qubits housed
in different modules while preserving the desired isolation between modules. In
this brief note, we propose a conceptual design of a modular quantum device,
where nearby modules are spatially separated by centimeters. In principle, each
module can contain tens of superconducting qubits, and can be separately
fabricated, characterized, packaged, and replaced. By introducing a bridge
module between nearby qubit modules and taking coupling scheme utilizing
tunable bus (a simple extension of the coupling scheme recently proposed in
arXiv:2110.12570), tunable coupling of qubits that are housed in nearby qubit
modules, could be realized. Given physically reasonable assumptions, we expect
that sub-100-ns two-qubit gates for qubits housed in nearby modules which are
spatially separated by more than two centimeters could be obtained. The
inter-module gate operations are promising to be implemented with gate
performance comparable with that of intra-module gate operations. The aim of
this brief note is to show the possibility of solving challenges towards
large-scale quantum devices, and to encourage further research in incorporating
long-range inter-qubit coupling into scalable quantum information processing
with superconducting qubits.",-0.36269188,-0.19077617,-0.11589785,C
376,"In this paper, we further study the visibility and SNRSU using ID
and BHD with both losses 𝑙 and 𝜂 because these two losses are always exist simultaneously in
practical application.","In previous paper [14], we theoretically studied the SNRSU using homodyne detection only
considering optical loss 𝑙.","We ﬁnd that whether with optical input seed or initial atomic seed, the
optimization condition for best SNRSU using ID is same as that of largest visibility, but diﬀerent
with that using BHD.",2022-01-11 07:55:46+00:00,Sensing performance enhancement via asymmetric gain optimization in the atom-light hybrid interferometer,quant-ph,['quant-ph'],"[arxiv.Result.Author('Zhifei Yu'), arxiv.Result.Author('Bo Fang'), arxiv.Result.Author('Shuying Chen'), arxiv.Result.Author('Pan Liu'), arxiv.Result.Author('Guzhi Bao'), arxiv.Result.Author('Chun-hua Yuan'), arxiv.Result.Author('L. Q Chen')]","The SU (1,1)-type atom-light hybrid interferometer (SALHI) is a kind of
interferometer that is sensitive to both the optical phase and atomic phase.
However, the loss has been an unavoidable problem in practical applications and
greatly limits the use of interferometers. Visibility is an important parameter
to evaluate the sensing performance of interferometers. Here, we experimentally
demonstrate the mitigating effect of the loss on visibility of the SALHI via
asymmetric gain optimization, where the maximum threshold of loss to visibility
close to $100\%$ is increased. Furthermore, we theoretically find that the
optimal condition for the largest visibility is the same as that for the
enhancement of signal-to-noise ratio (SNR) to the best value in the presence of
losses using the intensity detection, indicating that the visibility can act as
an experimental operational criterion for SNR improvement in practical
applications. Improvement of the interference visibility means achievement of
SNR enhancement. Our results provide a significant foundation for practical
application of the SALHI in radar and ranging measurements.",-0.08651532,-0.089672334,0.13484469,C
394,"For the sake of completeness, we here want to
further study the Schwinger effect of quantum correlations of continuous-variable boson-boson
systems.","The authors in references [11, 12] re-
vealed the inﬂuence of Schwinger effect to the pairwise quantum correlations of fermion-fermion
system and qubit-boson systems respectively.","Our main motivation is to reveal the relationship between the Schwinger effects of quan-
tum correlations of boson and fermion ﬁelds, and the relationship between Schwinger effect and
Unruh effect or Hawking effect of quantum correlations.",2022-01-11 15:27:03+00:00,Schwinger effect of Gaussian correlations in constant electric fields,quant-ph,['quant-ph'],"[arxiv.Result.Author('Shu-Min Wu'), arxiv.Result.Author('Hao-Sheng Zeng')]","We study the Schwinger effect of Gaussian correlations (quantum entanglement,
discord and mutual information) of the continuous-variable two-mode squeezed
states shared by Alice and Bob, paying special attention to the difference of
the Schwinger effect of correlations between modes of fermion-fermion and
qubit-bosonic fields studied previously. We also study the redistribution and
conservativeness of the correlations under the Schwinger effect.",0.022041509,0.100943185,-0.22503096,B
411,"hopefully stimulate further research in this direction,  [12] C. Karrasch, J. H. Bardarson, and J. E. Moore,
New Journal of Physics 15, 083031 (2013).","This will           mann, arXiv preprint arXiv:2004.05177 (2020).","6

[13] J. Hauschild, E. Leviatan, J. H. Bardarson, E. Alt-             2 accounts for the two branches of the Keldysh con-
                                                                     tour).",2022-01-11 19:00:03+00:00,Overcoming the entanglement barrier in quantum many-body dynamics via space-time duality,quant-ph,"['quant-ph', 'cond-mat.str-el']","[arxiv.Result.Author('Alessio Lerose'), arxiv.Result.Author('Michael Sonner'), arxiv.Result.Author('Dmitry A. Abanin')]","Describing non-equilibrium properties of quantum many-body systems is
challenging due to high entanglement in the wavefunction. We take an
open-quantum-system viewpoint and describe evolution of local observables in
terms of the influence matrix (IM), which encodes the effects of a many-body
system as an environment for a local subsystem. Recent works found that in many
dynamical regimes the IM of an infinite system has low temporal entanglement
and can be efficiently represented as a matrix-product state (MPS). Yet, direct
iterative constructions of the IM encounter highly entangled intermediate
states - a temporal entanglement barrier (TEB). We argue that TEB is
ubiquitous, and elucidate its physical origin via a semiclassical quasiparticle
picture that captures the exact behavior of integrable spin chains. Further, we
show that a TEB also arises in chaotic spin chains, which lack well-defined
quasiparticles. Based on these insights, we formulate an alternative light-cone
growth algorithm, which provably avoids TEB, thus providing an efficient
construction of the thermodynamic-limit IM as a MPS. This work demonstrates the
efficiency of the IM approach to studying thermalization and transport in
strongly interacting quantum systems.",0.25018787,-0.092721656,-0.041973516,A
601,"Here, we are interested
                                           in ﬁnding other Hamiltonian conjugates by further studying the boundary conditions.",One possible solution is the time of arrival operator.,"A modiﬁed form
                                           of the time kernel equation is also considered which gives an even bigger solution space.",2022-01-15 07:23:38+00:00,Conjugates to One Particle Hamiltonians in 1-Dimension in Differential Form,quant-ph,['quant-ph'],"[arxiv.Result.Author('Ralph Adrian E. Farrales'), arxiv.Result.Author('Herbert B. Domingo'), arxiv.Result.Author('Eric A. Galapon')]","A time operator is a Hermitian operator that is canonically conjugate to a
given Hamiltonian. For a particle in 1-dimension, a Hamiltonian conjugate
operator in position representation can be obtained by solving a hyperbolic
second-order partial differential equation, known as the time kernel equation,
with some boundary conditions. One possible solution is the time of arrival
operator. Here, we are interested in finding other Hamiltonian conjugates by
further studying the boundary conditions. A modified form of the time kernel
equation is also considered which gives an even bigger solution space.",0.26348913,0.035644643,0.0061465697,A
