,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
48,"This allowed us to
Given these ﬁndings, one can ask oneself whether the gas          identify the most relevant gas phases and radial apertures
azimuthal distribution can also trace the overall cluster dy-     to further study the azimuthal distribution of the gas in
namics and its recent mass-assembly history, as well as DM.",centric distances and cluster masses.,clusters.,2022-01-03 11:35:52+00:00,Gas distribution from clusters to filaments in IllustrisTNG,astro-ph.CO,"['astro-ph.CO', 'astro-ph.GA']","[arxiv.Result.Author('C. Gouin'), arxiv.Result.Author('S. Gallo'), arxiv.Result.Author('N. Aghanim')]","Matter distribution in the environment of galaxy clusters, from their cores
to their connected cosmic filaments, must be in principle related to the
underlying cluster physics and it evolutionary state. We aim to investigate how
radial and azimuthal distribution of gas is affected by cluster environments,
and how it can be related to cluster mass assembly history. Radial physical
properties of gas (velocity, temperature, and density) is first analysed around
415 galaxy cluster environments from IllustrisTNG simulation at z=0. Whereas
hot plasma is virialised inside clusters (< R200), the dynamics of warm hot
inter-galactic medium (WHIM) can be separated in two regimes: accumulating and
slowly infalling gas at cluster peripheries (~ R200) and fast infalling motions
outside clusters (> 1.5 R200). The azimuthal distribution of dark matter (DM),
hot and warm gas phases is secondly statistically probed by decomposing their
2-D distribution in harmonic space. Inside clusters, the azimuthal symmetries
of DM and hot gas are well tracing cluster structural properties, such as their
center offsets, substructure fractions and elliptical shapes. Beyond cluster
virialised regions, we found that WHIM gas follows the azimuthal distribution
of DM by tracing cosmic filament patterns. Azimuthal symmetries of hot and warm
gas distribution is finally shown to be imprints of cluster mass assembly
history, by strongly correlating with the formation time, mass accretion rate,
and dynamical state of clusters. Azimuthal mode decomposition of 2-D gas
distribution is a promising probe to assess the 3-D physical and dynamical
cluster properties up to their connected cosmic filaments."
49,"This allowed us to             not represent the overall gas distribution inside groups,
identify the most relevant gas phases and radial apertures            but is rather concentrated in group cores and must be
to further study the azimuthal distribution of the gas in             subject to distortion by anisotropic accretion processes.","We relate this to the fact that the hot gas does
cluster-centric distance and the mass.",clusters.,2022-01-03 11:35:52+00:00,Gas distribution from clusters to filaments in IllustrisTNG,astro-ph.CO,"['astro-ph.CO', 'astro-ph.GA']","[arxiv.Result.Author('C. Gouin'), arxiv.Result.Author('S. Gallo'), arxiv.Result.Author('N. Aghanim')]","Matter distribution in the environment of galaxy clusters, from their cores
to their connected cosmic filaments, must be in principle related to the
underlying cluster physics and it evolutionary state. We aim to investigate how
radial and azimuthal distribution of gas is affected by cluster environments,
and how it can be related to cluster mass assembly history. Radial physical
properties of gas (velocity, temperature, and density) is first analysed around
415 galaxy cluster environments from IllustrisTNG simulation at z = 0
(TNG300-1). Whereas hot plasma is virialised inside clusters (< R200), the
dynamics of warm hot inter-galactic medium (WHIM) can be separated in two
regimes: accumulating and slowly infalling gas at cluster peripheries and fast
infalling motions outside clusters (> 1.5R200). The azimuthal distribution of
dark matter (DM), hot and warm gas phases is secondly statistically probed by
decomposing their 2-D distribution in harmonic space. Inside clusters, the
azimuthal symmetries of DM and hot gas are well tracing cluster structural
properties, such as their center offsets, substructure fractions and elliptical
shapes. Beyond cluster virialised regions, we find that WHIM gas follows the
azimuthal distribution of DM thus tracing cosmic filament patterns. Azimuthal
symmetries of hot and warm gas distribution are finally shown to be imprints of
cluster mass assembly history, strongly correlated with the formation time,
mass accretion rate, and dynamical state of clusters. Azimuthal mode
decomposition of 2-D gas distribution is a promising probe to assess the 3-D
physical and dynamical cluster properties up to their connected cosmic
filaments."
60,Future work can be directed along at least three lines of further research.,"In principle, one can investigate the eﬀect of nonextensive statistical
mechanics by comparing the results in the standard statistical mechanics and Tsallis sta-
tistical mechanics.","Firstly, black-
body radiation satiﬁes Bose-Einstein distribution, it is natural to investigate Fermi-Dirac
distribution in nonextensive statistical mechanics.",2021-12-29 14:06:23+00:00,Modifications of CMB spectrum by nonextensive statistical mechanics,astro-ph.CO,"['astro-ph.CO', 'gr-qc', 'hep-th']",[arxiv.Result.Author('Yang Liu')],"Cosmic microwave background radiation can supply us some most significant
parts of the information on the universe. Some researchers believe that The
gravitational system cannot be decribed by the standard statistical mechanics.
In this article we apply Tsallis nonextensive statistical mechanics to
investigate CMB spectrum and related cosmological processes. Based on recent
observational data we find that the nonextensive statistical mechanics can
modify the values of related physical quantites. Since the value of physical
quantites have changed, some processes, such as recombination, can be affected.
We have investigated the anisotropy of the CMB for two effects: the dipole
anisotropy of CMB and the Sunyaev-Zel'dovich effect. We find that the dipole
anisotropy of CMB cannot be modified by the nonextensive statistical mechanics.
However, the standard result of the Sunyaev-Zel'dovich effect should be
modified by nonextensive statistical mechanics. In principle, future work can
distinguish these effects."
292,(2021) and thus requires further study in subsequent work to improve.,"(2018)

                                                                                               red

and Qin et al.","600                                            Bx                  By                  Bz

               400

B (km s 1)     200

               0

               200

               400

               600

                       40 60 80 100 120 140 40 60 80 100 120 140 40 60 80 100 120 140

                                                                     Depth (h 1Mpc)

Figure 18.",2022-01-09 23:52:46+00:00,The Sloan Digital Sky Survey Peculiar Velocity Catalogue,astro-ph.CO,"['astro-ph.CO', 'astro-ph.GA']","[arxiv.Result.Author('Cullan Howlett'), arxiv.Result.Author('Khaled Said'), arxiv.Result.Author('John R. Lucey'), arxiv.Result.Author('Matthew Colless'), arxiv.Result.Author('Fei Qin'), arxiv.Result.Author('Yan Lai'), arxiv.Result.Author('R. Brent Tully'), arxiv.Result.Author('Tamara M. Davis')]","We present a new catalogue of distances and peculiar velocities (PVs) of
$34,059$ early-type galaxies derived from Fundamental Plane (FP) measurements
using data from the Sloan Digital Sky Survey (SDSS). This
$7016\,\mathrm{deg}^{2}$ sample comprises the largest set of peculiar
velocities produced to date and extends the reach of PV surveys up to a
redshift limit of $z=0.1$. Alongside the data, we produce an ensemble of
$2,048$ mock galaxy catalogues that reproduce the data selection function, and
are used to validate our fitting pipelines and check for systematics. We
uncover a significant trend between group richness and mean surface brightness
within the sample, which hints at an environmental dependence within the FP and
can result in biased peculiar velocities. This is removed using multiple FP
fits as function of group richness, a procedure made tractable through a new
analytic derivation for the integral of a 3D Gaussian over non-trivial limits.
Our catalogue is calibrated to the zero-point of the CosmicFlows-III sample
with an uncertainty of $0.004$ dex, which is cross-validated using the
independent, predicted zero-point from the 2M++ reconstruction of our local
velocity field. We achieve a mean uncertainty on the PVs of $\sim23\%$ compared
to the CMB-frame redshift. Finally, as an example of what is possible with our
new catalogue, we obtain preliminary bulk flow measurements up to a depth of
$135\,h^{-1}\mathrm{Mpc}$. We find a slightly larger-than-expected bulk flow,
although this could be caused by the presence of the Shapley supercluster lying
just beyond the bounds of our data."
293,"This hence provides an interesting avenue for further study,
               20.0%                  10.8%                                      either with improved techniques for measuring the bulk ﬂow (such as
                                                                                 the Minimum Variance estimator; Watkins et al.","𝑃(> 𝜒2)
               139                    139                                        what would be expected given the gravitational inﬂuence from this
                                                                                 structure.","2009) such that we
high to rule out the null hypothesis (that our ﬁducial ΛCDM model is             can avoid having to correct the observational uncertainties as done
correct).",2022-01-09 23:52:46+00:00,The Sloan Digital Sky Survey Peculiar Velocity Catalogue,astro-ph.CO,"['astro-ph.CO', 'astro-ph.GA']","[arxiv.Result.Author('Cullan Howlett'), arxiv.Result.Author('Khaled Said'), arxiv.Result.Author('John R. Lucey'), arxiv.Result.Author('Matthew Colless'), arxiv.Result.Author('Fei Qin'), arxiv.Result.Author('Yan Lai'), arxiv.Result.Author('R. Brent Tully'), arxiv.Result.Author('Tamara M. Davis')]","We present a new catalogue of distances and peculiar velocities (PVs) of
$34,059$ early-type galaxies derived from Fundamental Plane (FP) measurements
using data from the Sloan Digital Sky Survey (SDSS). This
$7016\,\mathrm{deg}^{2}$ sample comprises the largest set of peculiar
velocities produced to date and extends the reach of PV surveys up to a
redshift limit of $z=0.1$. Alongside the data, we produce an ensemble of
$2,048$ mock galaxy catalogues that reproduce the data selection function, and
are used to validate our fitting pipelines and check for systematics. We
uncover a significant trend between group richness and mean surface brightness
within the sample, which hints at an environmental dependence within the FP and
can result in biased peculiar velocities. This is removed using multiple FP
fits as function of group richness, a procedure made tractable through a new
analytic derivation for the integral of a 3D Gaussian over non-trivial limits.
Our catalogue is calibrated to the zero-point of the CosmicFlows-III sample
with an uncertainty of $0.004$ dex, which is cross-validated using the
independent, predicted zero-point from the 2M++ reconstruction of our local
velocity field. We achieve a mean uncertainty on the PVs of $\sim23\%$ compared
to the CMB-frame redshift. Finally, as an example of what is possible with our
new catalogue, we obtain preliminary bulk flow measurements up to a depth of
$135\,h^{-1}\mathrm{Mpc}$. We find a slightly larger-than-expected bulk flow,
although this could be caused by the presence of the Shapley supercluster lying
just beyond the bounds of our data."
294,(2021) and thus requires further study in subsequent work to improve.,"(2018)

                                                                                               red

and Qin et al.",Table 3.,2022-01-09 23:52:46+00:00,The Sloan Digital Sky Survey Peculiar Velocity Catalogue,astro-ph.CO,"['astro-ph.CO', 'astro-ph.GA']","[arxiv.Result.Author('Cullan Howlett'), arxiv.Result.Author('Khaled Said'), arxiv.Result.Author('John R. Lucey'), arxiv.Result.Author('Matthew Colless'), arxiv.Result.Author('Fei Qin'), arxiv.Result.Author('Yan Lai'), arxiv.Result.Author('R. Brent Tully'), arxiv.Result.Author('Tamara M. Davis')]","We present a new catalogue of distances and peculiar velocities (PVs) of
$34,059$ early-type galaxies derived from Fundamental Plane (FP) measurements
using data from the Sloan Digital Sky Survey (SDSS). This
$7016\,\mathrm{deg}^{2}$ homogeneous sample comprises the largest set of
peculiar velocities produced to date and extends the reach of PV surveys up to
a redshift limit of $z=0.1$. Our SDSS-based FP distance measurements have a
mean uncertainty of 23%. Alongside the data, we produce an ensemble of 2,048
mock galaxy catalogues that reproduce the data selection function, and are used
to validate our fitting pipelines and check for systematic errors. We uncover a
significant trend between group richness and mean surface brightness within the
sample, which may hint at an environmental dependence within the FP or the
presence of unresolved systematics, and can result in biased peculiar
velocities. This is removed using multiple FP fits as function of group
richness, a procedure made tractable through a new analytic derivation for the
integral of a 3D Gaussian over non-trivial limits. Our catalogue is calibrated
to the zero-point of the CosmicFlows-III sample with an uncertainty of $0.004$
dex (not including cosmic variance or the error within CosmicFlows-III itself),
which is validated using independent cross-checks with the predicted zero-point
from the 2M++ reconstruction of our local velocity field. Finally, as an
example of what is possible with our new catalogue, we obtain preliminary bulk
flow measurements up to a depth of $135\,h^{-1}\mathrm{Mpc}$. We find a
slightly larger-than-expected bulk flow at high redshift, although this could
be caused by the presence of the Shapley supercluster which lies outside the
SDSS PV footprint."
295,"This hence provides an interesting avenue for further study,
only a small change in the 𝑥 and 𝑧-direction bulk ﬂow compared to       either with improved techniques for measuring the bulk ﬂow (such as
the 𝑦-direction.","It is in this direction that any zero-point  whether the amplitude of our measurement is in agreement with
calibration errors would be mostly conﬁned — as can be seen in          what would be expected given the gravitational inﬂuence from this
Fig 18, a change to the zero-point of +0.01 dex (a 2.5𝜎 change) causes  structure.",the Minimum Variance estimator; Watkins et al.,2022-01-09 23:52:46+00:00,The Sloan Digital Sky Survey Peculiar Velocity Catalogue,astro-ph.CO,"['astro-ph.CO', 'astro-ph.GA']","[arxiv.Result.Author('Cullan Howlett'), arxiv.Result.Author('Khaled Said'), arxiv.Result.Author('John R. Lucey'), arxiv.Result.Author('Matthew Colless'), arxiv.Result.Author('Fei Qin'), arxiv.Result.Author('Yan Lai'), arxiv.Result.Author('R. Brent Tully'), arxiv.Result.Author('Tamara M. Davis')]","We present a new catalogue of distances and peculiar velocities (PVs) of
$34,059$ early-type galaxies derived from Fundamental Plane (FP) measurements
using data from the Sloan Digital Sky Survey (SDSS). This
$7016\,\mathrm{deg}^{2}$ homogeneous sample comprises the largest set of
peculiar velocities produced to date and extends the reach of PV surveys up to
a redshift limit of $z=0.1$. Our SDSS-based FP distance measurements have a
mean uncertainty of 23%. Alongside the data, we produce an ensemble of 2,048
mock galaxy catalogues that reproduce the data selection function, and are used
to validate our fitting pipelines and check for systematic errors. We uncover a
significant trend between group richness and mean surface brightness within the
sample, which may hint at an environmental dependence within the FP or the
presence of unresolved systematics, and can result in biased peculiar
velocities. This is removed using multiple FP fits as function of group
richness, a procedure made tractable through a new analytic derivation for the
integral of a 3D Gaussian over non-trivial limits. Our catalogue is calibrated
to the zero-point of the CosmicFlows-III sample with an uncertainty of $0.004$
dex (not including cosmic variance or the error within CosmicFlows-III itself),
which is validated using independent cross-checks with the predicted zero-point
from the 2M++ reconstruction of our local velocity field. Finally, as an
example of what is possible with our new catalogue, we obtain preliminary bulk
flow measurements up to a depth of $135\,h^{-1}\mathrm{Mpc}$. We find a
slightly larger-than-expected bulk flow at high redshift, although this could
be caused by the presence of the Shapley supercluster which lies outside the
SDSS PV footprint."
370,"Galaxies within clusters                indication of cosmological scale axis that does not go
are aligned (Tovmassian, 2021), and galaxies inside the             directly through Earth, but further research with larger
local ﬁlament might be aligned in their spin direction              datasets of high-redshift galaxies will be required to
(Tempel and Libeskind, 2013; Pahwa et al., 2016; An-                study it further.","The change out-
might not provide an observation that can be consid-                side of the local neighborhood might provide a certain
ered of cosmological scale.","Instruments such as the Dark Energy
tipova et al., 2021).",2022-01-11 02:58:45+00:00,New evidence and analysis of cosmological-scale asymmetry in galaxy spin directions,astro-ph.CO,"['astro-ph.CO', 'astro-ph.GA']",[arxiv.Result.Author('Lior Shamir')],"In the past several decades, multiple cosmological theories that are based on
the contention that the Universe has a major axis have been proposed. Such
theories can be based on the geometry of the Universe, or multiverse theories
such as black hole cosmology. The contention of a cosmological-scale axis is
supported by certain evidence such as the dipole axis formed by the CMB
distribution. Here I study another form of cosmological-scale axis, based on
the distribution of the spin direction of spiral galaxies. Data from four
different telescopes is analyzed, showing nearly identical axis profiles when
the distribution of the redshifts of the galaxies is similar."
371,"Clearly, further research will be required to fully      Orientation of the spins of ﬂat galaxies relative to
proﬁle the nature of the asymmetry.",verse.,ﬁlaments of a large-scale structure of the universe.,2022-01-11 02:58:45+00:00,New evidence and analysis of cosmological-scale asymmetry in galaxy spin directions,astro-ph.CO,"['astro-ph.CO', 'astro-ph.GA']",[arxiv.Result.Author('Lior Shamir')],"In the past several decades, multiple cosmological theories that are based on
the contention that the Universe has a major axis have been proposed. Such
theories can be based on the geometry of the Universe, or multiverse theories
such as black hole cosmology. The contention of a cosmological-scale axis is
supported by certain evidence such as the dipole axis formed by the CMB
distribution. Here I study another form of cosmological-scale axis, based on
the distribution of the spin direction of spiral galaxies. Data from four
different telescopes is analyzed, showing nearly identical axis profiles when
the distribution of the redshifts of the galaxies is similar."
440,"(5)x                           the constant coupling scenario, but note that it would certainly be
                        s,x x 1 + wx x c xb xb                           interesting to further study cases where the DE-baryon coupling
                                                                         is time-dependent, particularly as this might enhance the detection
In the above Eqs.","2020), we shall keep investigating
θ˙ = −H(1 − 3c2 )θ + c2s,xk2 δ − τ−1α Θ .","(2–5), h is the usual synchronous gauge metric         prospects of the DE-baryon scattering signatures.",2022-01-12 15:56:47+00:00,Cosmological direct detection of dark energy: non-linear structure formation signatures of dark energy scattering with visible matter,astro-ph.CO,"['astro-ph.CO', 'gr-qc', 'hep-ph']","[arxiv.Result.Author('Fulvio Ferlito'), arxiv.Result.Author('Sunny Vagnozzi'), arxiv.Result.Author('David F. Mota'), arxiv.Result.Author('Marco Baldi')]","We consider the recently proposed possibility that dark energy (DE) and
baryons may scatter through a pure momentum exchange process, leaving the
background evolution unaffected. Earlier work has shown that, even for
barn-scale cross-sections, the imprints of this scattering process on linear
cosmological observables is too tiny to be observed. We therefore turn our
attention to non-linear scales, and for the first time investigate the
signatures of DE-baryon scattering on the non-linear formation of cosmic
structures, by running a suite of large N-body simulations. The observables we
extract include the non-linear matter power spectrum, halo mass function, and
density and baryon fraction profiles of halos. We find that in the non-linear
regime the signatures of DE-baryon scattering are significantly larger than
their linear counterparts, due to the important role of angular momentum in
collapsing structures, and potentially observable. The most promising
observables in this sense are the baryon density and baryon fraction profiles
of halos, which can potentially be constrained by a combination of kinetic
Sunyaev-Zeldovich (SZ), thermal SZ, and weak lensing measurements. Overall, our
results indicate that future prospects for cosmological and astrophysical
direct detection of non-gravitational signatures of dark energy are extremely
bright."
