,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
76,"It would be in-
                                                   ∗ danweizhang@m.scnu.edu.cn                                  teresting to further study the disorder-induced TAIs in
                                                                                                                non-Hermitian quasiperiodic systems.",[30–35].,"In this work, we explore the interplay of topology and
                                                                                                               2

localization in the Hermitian and non-Hermitian SSH         (a)               (b)
chains with quasiperiodic hopping disorders.",2022-01-04 05:32:43+00:00,Topological Anderson insulators with different bulk states in quasiperiodic chains,cond-mat.mes-hall,"['cond-mat.mes-hall', 'cond-mat.dis-nn', 'cond-mat.quant-gas', 'quant-ph']","[arxiv.Result.Author('Ling-Zhi Tang'), arxiv.Result.Author('Shu-Na Liu'), arxiv.Result.Author('Guo-Qing Zhang'), arxiv.Result.Author('Dan-Wei Zhang')]","We investigate the topology and localization of the one-dimensional Hermitian
and non-Hermitian Su-Schrieffer-Heeger chains with quasiperiodic hopping
modulations. In the Hermitian case, phase diagrams are obtained by numerically
and analytically calculating various topological and localization characters.
We show the presence of topological extend, intermediate, and localized phases
due to the coexistence of topological and localization phase transitions. In
particular, we uncover three types of disorder-induced topological Anderson
insulators (TAIs) with extended, intermediate, and localized bulk states in
this chiral chain. Moreover, we study the non-Hermitian effects on the TAIs by
considering two kinds of non-Hermiticities from the non-conjugate hopping phase
and asymmetric hopping strength, respectively. We demonstrate that three types
of TAIs can preserve under the non-Hermition perturbations with some unique
localization and topological properties, such as the non-Hermition real-complex
and localization transitions and their topological nature."
77,"It would be in-
                                                                                                                 teresting to further study the disorder-induced TAIs in
                                                    ∗ danweizhang@m.scnu.edu.cn                                  non-Hermitian quasiperiodic systems.",[31–36].,"In this work, we explore the interplay of topology and
                                                                                                               2

localization in Hermitian and non-Hermitian SSH chains      (a)               (b)
with quasiperiodic hopping disorders.",2022-01-04 05:32:43+00:00,Topological Anderson insulators with different bulk states in quasiperiodic chains,cond-mat.mes-hall,"['cond-mat.mes-hall', 'cond-mat.dis-nn', 'cond-mat.quant-gas', 'quant-ph']","[arxiv.Result.Author('Ling-Zhi Tang'), arxiv.Result.Author('Shu-Na Liu'), arxiv.Result.Author('Guo-Qing Zhang'), arxiv.Result.Author('Dan-Wei Zhang')]","We investigate the topology and localization of one-dimensional Hermitian and
non-Hermitian Su-Schrieffer-Heeger chains with quasiperiodic hopping
modulations. In the Hermitian case, phase diagrams are obtained by numerically
and analytically calculating various topological and localization characters.
We show the presence of topological extended, intermediate, and localized
phases due to the coexistence of topological and localization phase transitions
driven by the quasiperiodic disorder. In particular, we uncover three types of
disorder-induced topological Anderson insulators (TAIs) with extended,
intermediate, and localized bulk states in this chiral chain. Moreover, we
study the non-Hermitian effects on the TAIs by considering two kinds of
non-Hermiticities from the non-conjugate complex hopping phase and asymmetric
hopping strength, respectively. We demonstrate that three types of TAIs
preserve under the non-Hermitian perturbations with some unique localization
and topological properties, such as the non-Hermitian real-complex and
localization transitions and their topological nature."
78,"Consid-             In this section, we further study the localization prop-
ering the symmetry of the Hamiltonian, the self-energy       erties of bulk states in this quasiperiodic SSH chain.","In our model, the quasiperiodic disorder follows       B. Localization properties of bulk states
the form V (n)σx with V (n) = W cos(2παn), thus the
eﬀective Hamiltonian Heﬀ = Hq(k) + V (n)σx.","Fol-
is simpliﬁed as Σ(W ) = Σx(W )σx.",2022-01-04 05:32:43+00:00,Topological Anderson insulators with different bulk states in quasiperiodic chains,cond-mat.mes-hall,"['cond-mat.mes-hall', 'cond-mat.dis-nn', 'cond-mat.quant-gas', 'quant-ph']","[arxiv.Result.Author('Ling-Zhi Tang'), arxiv.Result.Author('Shu-Na Liu'), arxiv.Result.Author('Guo-Qing Zhang'), arxiv.Result.Author('Dan-Wei Zhang')]","We investigate the topology and localization of one-dimensional Hermitian and
non-Hermitian Su-Schrieffer-Heeger chains with quasiperiodic hopping
modulations. In the Hermitian case, phase diagrams are obtained by numerically
and analytically calculating various topological and localization characters.
We show the presence of topological extended, intermediate, and localized
phases due to the coexistence of independent topological and localization phase
transitions driven by the quasiperiodic disorder. Unlike the gapless and
localized TAI phase in one-dimensional random disordered systems, we uncover
three types of quasiperiodic-disorder-induced gapped topological Anderson
insulators (TAIs) with extended, intermediate (with mobility edges), and
localized bulk states in this chiral chain. Moreover, we study the
non-Hermitian effects on the TAIs by considering two kinds of non-Hermiticities
from the non-conjugate complex hopping phase and asymmetric hopping strength,
respectively. We demonstrate that three types of TAIs preserve under the
non-Hermitian perturbations with some unique localization and topological
properties, such as the non-Hermitian real-complex and localization transitions
and their topological nature. Our work demonstrates that the disorder-induced
TAIs in Hermitian and non-Hermitian quasiperiodic systems are not tied to
Anderson transitions and have various localization properties."
136,"Our results can thus motivate further research to reduce non-
magnetic signals in the electrical readout and enable the reliable, all-electrical control of the
antiferromagnetic Néel order, which is key to develop future spintronic devices based on
AFMs.","This consistency strongly supports the presence of a magnetic SMR
signal in the transverse resistance changes associated with current-induced switching of the
antiferromagnetic Néel vector.","Acknowledgments

L.B acknowledges the European Union’s Horizon 2020 research and innovation program
under the Marie Skłodowska-Curie grant agreements ARTES number 793159.",2022-01-05 12:27:09+00:00,Magnetic sensitivity distribution of Hall devices in antiferromagnetic switching experiments,cond-mat.mes-hall,"['cond-mat.mes-hall', 'cond-mat.mtrl-sci']","[arxiv.Result.Author('F. Schreiber'), arxiv.Result.Author('H. Meer'), arxiv.Result.Author('C. Schmitt'), arxiv.Result.Author('R. Ramos'), arxiv.Result.Author('E. Saitoh'), arxiv.Result.Author('L. Baldrati'), arxiv.Result.Author('M. Kläui')]","We analyze the complex impact of the local magnetic spin texture on the
transverse Hall-type voltage in device structures utilized to measure
magnetoresistance effects. We find a highly localized and asymmetric magnetic
sensitivity in the eight-terminal geometries that are frequently used in
current-induced switching experiments, for instance to probe antiferromagnetic
materials. Using current-induced switching of antiferromagnetic NiO/Pt as an
example, we estimate the change in the spin Hall magnetoresistance signal
associated with switching events based on the domain switching patterns
observed via direct imaging. This estimate correlates with the actual
electrical data after subtraction of a non-magnetic contribution. Here, the
consistency of the correlation across three measurement geometries with
fundamentally different switching patterns strongly indicates a magnetic origin
of the measured and analyzed electrical signals."
937,"TQCs are thus formed on the surface of Bi2Te3 films for further study of
trapping behaviors of TSS as discussed below.","Therefore, there is a
mismatch between the Dirac energies across the interface along   K directions
between Bi2Te3 and Bi/Bi2Te3 regions, in addition to the potential barriers caused by
the steps.",We note that the peaks shown in the spectrum taken at the TQC center (Fig.,2022-01-24 03:56:13+00:00,Selective Trapping of Hexagonally Warped Topological Surface States in a Triangular Quantum Corral,cond-mat.mes-hall,"['cond-mat.mes-hall', 'cond-mat.mtrl-sci']","[arxiv.Result.Author('Mu Chen'), arxiv.Result.Author('Yeping Jiang'), arxiv.Result.Author('Junping Peng'), arxiv.Result.Author('Huimin Zhang'), arxiv.Result.Author('Cui-Zu Chang'), arxiv.Result.Author('Xiao Feng'), arxiv.Result.Author('Zhenguo Fu'), arxiv.Result.Author('Fawei Zheng'), arxiv.Result.Author('Ping Zhang'), arxiv.Result.Author('Lili Wang'), arxiv.Result.Author('Ke He'), arxiv.Result.Author('Xu-Cun Ma'), arxiv.Result.Author('Qi-Kun Xue')]","The surface of a three-dimensional topological insulator (TI) hosts
two-dimensional massless Dirac fermions (DFs), the gapless and spin-helical
nature of which yields many exotic phenomena, such as the immunity of
topological surface states (TSS) to back-scattering. This leads to their high
transmission through surface defects or potential barriers. Quantum corrals,
previously elaborated on metal surfaces, can act as nanometer-sized electronic
resonators to trap Schr\""odinger electrons by quantum confinement. It is thus
intriguing, concerning their peculiar nature, to put the Dirac electrons of TSS
to the test in similar circumstances. Here, we report the behaviors of TSS in a
triangular quantum corral (TQC) fabricated by epitaxially growing Bi bilayer
nanostructures on the surfaces of Bi2Te3 films. Unlike a circular corral, the
TQC is supposed to be totally transparent for DFs. By mapping the electronic
structure of TSS inside TQCs through a low-temperature scanning tunneling
microscope in the real space, both the trapping and de-trapping behaviors of
the TSS electrons are observed. The selection rules are found to be governed by
the geometry and spin texture of the constant energy contour of TSS upon the
strong hexagonal warping in Bi2Te3. Careful analysis of the quantum
interference patterns of quasi-bound states yields the corresponding wave
vectors of trapped TSS, through which two trapping mechanisms favoring momenta
in different directions are uncovered. Our work indicates the extended nature
of TSS and elucidates the selection rules of the trapping of TSS in the
presence of a complicated surface state structure, giving insights into the
effective engineering of DFs in TIs."
1274,"This, in particular, could be seen through the           Pauli limit (towards integer magnetic ﬂux) is a subject
re-emergence of very ﬂat bands at the magic angle dis-           for further research.","The behavior
fects, that at such ﬁelds the magic-angle phenomena re-          of superﬂuid order parameter beyond the conventional
emerge.","tinct from Landau levels, while beyond the magic angle
this physics breaks down, similar to the zero-ﬂux case.22           Acknowledgments.",2022-01-31 08:33:07+00:00,Re-entrant magic-angle phenomena in twisted bilayer graphene in integer magnetic fluxes,cond-mat.mes-hall,"['cond-mat.mes-hall', 'cond-mat.str-el', 'cond-mat.supr-con']","[arxiv.Result.Author('Yifei Guan'), arxiv.Result.Author('Oleg V. Yazyev'), arxiv.Result.Author('Alexander Kruchkov')]","In this work we address the re-entrance of magic-angle phenomena (band
flatness and quantum-geometric transport) in twisted bilayer graphene (TBG)
subjected to strong magnetic fluxes $\pm \Phi_0$, $\pm 2 \Phi_0$, $\pm 3
\Phi_0$... ($\Phi_0 = h/e$ is the flux quantum per moir\'e cell). The moir\'e
translation invariance is restored at the integer fluxes, for which we
calculate the TBG band structure using accurate atomistic models with lattice
relaxations. Similarly to the zero-flux physics outside the magic angle
condition, the reported effect breaks down rapidly with the twist. We conclude
that the magic-angle physics re-emerges in high magnetic fields, witnessed by
the appearance of flat electronic bands distinct from Landau levels, and
manifesting non-trivial quantum geometry. We further discuss the possible
flat-band quantum geometric contribution to the superfluid weight in strong
magnetic fields (28 T at 1.08$^\circ$ twist), according to Peotta-Torma
mechanism."
1275,"The order-of-magnitude esti-
gle this physics breaks down, similar to the zero-ﬂux                                                                                     5
case.23,25 These ﬂat bands at half ﬁlling carry nontrivial
Chern numbers (|C|=2) and nontrivial quantum geome-              ter beyond the conventional Pauli limit (towards integer
try (Fubini-Study metrics), and are fundamentally diﬀer-         magnetic ﬂux) is a subject for further research.","We can further make estimates for the BKT transi-
tion temperature,33–35 indicating the disappearing of the

phase coherence of superconducting order from expres-
sion π 2D(T∗)/8e2T∗ = 1.",ent from conventional Landau levels.,2022-01-31 08:33:07+00:00,Re-entrant magic-angle phenomena in twisted bilayer graphene in integer magnetic fluxes,cond-mat.mes-hall,"['cond-mat.mes-hall', 'cond-mat.str-el', 'cond-mat.supr-con']","[arxiv.Result.Author('Yifei Guan'), arxiv.Result.Author('Oleg V. Yazyev'), arxiv.Result.Author('Alexander Kruchkov')]","In this work we address the re-entrance of magic-angle phenomena (band
flatness and quantum-geometric transport) in twisted bilayer graphene (TBG)
subjected to strong magnetic fluxes $\pm \Phi_0$, $\pm 2 \Phi_0$, $\pm 3
\Phi_0$... ($\Phi_0 = h/e$ is the flux quantum per moir\'e cell). The moir\'e
translation invariance is restored at the integer fluxes, for which we
calculate the TBG band structure using accurate atomistic models with lattice
relaxations. Similarly to the zero-flux physics outside the magic angle
condition, the reported effect breaks down rapidly with the twist. We conclude
that the magic-angle physics re-emerges in high magnetic fields, witnessed by
the appearance of flat electronic bands distinct from Landau levels, and
manifesting non-trivial quantum geometry. We further discuss the possible
flat-band quantum geometric contribution to the superfluid weight in strong
magnetic fields (28 T at 1.08$^\circ$ twist), according to Peotta-T\""{o}rm\""{a}
mechanism."
1286,"We further study
                                                        in detail how a ﬁeld gradient can modify the EDSR Rabi frequency of a silicon spin qubit.","We show that our theoretical modeling can quantitatively reproduce results of experimental
                                                        measurements of qubit relaxation in silicon in the presence of a micromagnet.","While
                                                        this strongly depends on the details of the interface roughness, interestingly, we ﬁnd that adding a
                                                        micromagnet on top of a spin qubit with an ideal interface can even reduce the EDSR frequency
                                                        within some interval of the external magnetic ﬁeld strength.",2022-01-31 12:35:33+00:00,Theory of Silicon Spin Qubit Relaxation in a Synthetic Spin-Orbit Field,cond-mat.mes-hall,"['cond-mat.mes-hall', 'quant-ph']","[arxiv.Result.Author('Amin Hosseinkhani'), arxiv.Result.Author('Guido Burkard')]","We develop the theory of single-electron silicon spin qubit relaxation in the
presence of a magnetic field gradient. Such field gradients are routinely
generated by on-chip micromagnets to allow for electrically controlled quantum
gates on spin qubits. We build on a valley-dependent envelope function theory
that enables the analysis of the electron wave function in a silicon quantum
dot with an arbitrary roughness at the interface. We assume the presence of
single-layer atomic steps at a Si/SiGe interface and study how the presence of
a gradient field modifies the spin-mixing mechanisms. We show that our
theoretical modeling can quantitatively reproduce results of experimental
measurements of qubit relaxation in silicon in the presence of a micromagnet.
We further study in detail how a field gradient can modify the EDSR Rabi
frequency of a silicon spin qubit. While this strongly depends on the details
of the interface roughness, interestingly, we find that adding a micromagnet on
top of a spin qubit with an ideal interface can even reduce the EDSR frequency
within some interval of the external magnetic field strength."
1287,"We further study
                                                       in detail how a ﬁeld gradient can modify the EDSR Rabi frequency of a silicon spin qubit.","We show that our theoretical modeling can quantitatively reproduce results of experimental
                                                       measurements of qubit relaxation in silicon in the presence of a micromagnet.","While
                                                       this strongly depends on the details of the interface roughness, interestingly, we ﬁnd that adding a
                                                       micromagnet on top of a spin qubit with an ideal interface can even reduce the EDSR frequency
                                                       within some interval of the external magnetic ﬁeld strength.",2022-01-31 12:35:33+00:00,Theory of Silicon Spin Qubit Relaxation in a Synthetic Spin-Orbit Field,cond-mat.mes-hall,"['cond-mat.mes-hall', 'quant-ph']","[arxiv.Result.Author('Amin Hosseinkhani'), arxiv.Result.Author('Guido Burkard')]","We develop the theory of single-electron silicon spin qubit relaxation in the
presence of a magnetic field gradient. Such field gradients are routinely
generated by on-chip micromagnets to allow for electrically controlled quantum
gates on spin qubits. We build on a valley-dependent envelope function theory
that enables the analysis of the electron wave function in a silicon quantum
dot with an arbitrary roughness at the interface. We assume the presence of
single-layer atomic steps at a Si/SiGe interface and study how the presence of
a gradient field modifies the spin-mixing mechanisms. We show that our
theoretical modeling can quantitatively reproduce results of experimental
measurements of qubit relaxation in silicon in the presence of a micromagnet.
We further study in detail how a field gradient can modify the EDSR Rabi
frequency of a silicon spin qubit. While this strongly depends on the details
of the interface roughness, interestingly, we find that adding a micromagnet on
top of a spin qubit with an ideal interface can even reduce the EDSR frequency
within some interval of the external magnetic field strength."
1379,"To further study the temperature dependence
of the thermal conductance, JQ is plotted as a function of TM2 − T02 at several values of the
bath temperature for ν = 2/3 in Fig.",2(f).,3(a) and for 3/5 in Fig.,2022-02-01 15:41:43+00:00,Experimental control over thermal conductance quantization in fractional quantum Hall states,cond-mat.mes-hall,['cond-mat.mes-hall'],"[arxiv.Result.Author('Saurabh Kumar Srivastav'), arxiv.Result.Author('Ravi Kumar'), arxiv.Result.Author('Christian Spånslätt'), arxiv.Result.Author('K. Watanabe'), arxiv.Result.Author('T. Taniguchi'), arxiv.Result.Author('Alexander D. Mirlin'), arxiv.Result.Author('Yuval Gefen'), arxiv.Result.Author('Anindya Das')]","To determine the topological quantum numbers of quantum Hall (QH) states
hosting counter-propagating (CP) downstream ($N_d$) and upstream ($N_u$) edge
modes, it is pivotal to study quantized transport both in the presence and
absence of edge mode equilibration. While reaching the non-equilibrated regime
is challenging for charge transport, we target here the thermal conductance
$G_{Q}$, which is governed by quantum numbers $N_d$ and $N_u$. Our experimental
setup, realized with a hBN encapsulated graphite gated monolayer graphene
device, facilitates experimental control over $G_{Q}$ quantization: For
temperatures up to $35mK$, our measured $G_{Q}$ at $\nu = $ 2/3 and 3/5 (with
CP modes) match the quantized values of non-equilibrated regime $(N_d +
N_u)\kappa_{0}T$, where $\kappa_{0}T$ is a quanta of $G_{Q}$. With increasing
temperature, $G_{Q}$ decreases and eventually takes the value of equilibrated
regime $|N_d - N_u|\kappa_{0}T$. By contrast, at $\nu = $1/3 and 2/5 (no CP
modes), $G_Q$ remains robustly quantized at $N_d\kappa_{0}T$ independent of the
temperature. Our work opens a new route for finding the topological order of
non-Abelian QH states and for accurately characterizing reconstructed edges."
