,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
229,"While the possibility of divalent A-site cations
and their relation to the maximum vacancy concentration is interesting and merits further study,
this will not be discussed further in this manuscript.","However, certain transition metal ions have been postulated
to occupy both the A- and M-site, such as Cu[Fe(CN)6]0.5,24 which means that the actual vacancy
concentration of such structures is less than 50%.","A-site composition The tendency for tilting not only depends on the concentration of A-site
cations, but also on the A-site ionic radius [Fig.",2022-01-07 14:29:51+00:00,Octahedral tilting in Prussian blue analogues,cond-mat.mtrl-sci,['cond-mat.mtrl-sci'],"[arxiv.Result.Author('Hanna L. B. Boström'), arxiv.Result.Author('William R. Brant')]","Octahedral tilting is key to the structure and functionality of perovskites.
Here we show how these distortions manifest in the related Prussian blue
analogues (PBAs): cyanide versions of double perovskites with formula
A$_x$M[M$^{\prime}$(CN)$_6$]$_{1-y}\Box _y\cdot n$H$_2$O (A = alkali metal, M
and M$^{\prime}$ = transition metals, $\Box$ = vacancy/defect). Tilts are
favoured by high values of $x$ if A = Na or K, whereas the transition metals
play a less important role. External hydrostatic pressure can induce tilt
transitions nearly irrespective of the stoichiometry, whereas thermal
transitions are only reported for $x>1$. Interstitial water can alter the
transitions induced by a different stimulus, but (de)hydration \textit{per se}
does not lead to tilts. Implications for rational design of critical
functionality -- including improper ferroelectricity and electrochemical
performance -- are discussed. The results are important for a fundamental
understanding of phase transitions as well as for the development of functional
materials based on PBAs."
230,Our results identify avenues for further research within the PBA community.,"Naturally, it cannot be excluded that even these higher-energy modes may
condense under certain conditions.","Correct tilt
assignment can be challenging—tilt patterns manifest in the position of the linkers and due to the
low X-ray scattering power of light elements, locating cyanide using X-ray diffraction is difﬁcult.",2022-01-07 14:29:51+00:00,Octahedral tilting in Prussian blue analogues,cond-mat.mtrl-sci,['cond-mat.mtrl-sci'],"[arxiv.Result.Author('Hanna L. B. Boström'), arxiv.Result.Author('William R. Brant')]","Octahedral tilting is key to the structure and functionality of perovskites.
Here we show how these distortions manifest in the related Prussian blue
analogues (PBAs): cyanide versions of double perovskites with formula
A$_x$M[M$^{\prime}$(CN)$_6$]$_{1-y}\Box _y\cdot n$H$_2$O (A = alkali metal, M
and M$^{\prime}$ = transition metals, $\Box$ = vacancy/defect). Tilts are
favoured by high values of $x$ if A = Na or K, whereas the transition metals
play a less important role. External hydrostatic pressure can induce tilt
transitions nearly irrespective of the stoichiometry, whereas thermal
transitions are only reported for $x>1$. Interstitial water can alter the
transitions induced by a different stimulus, but (de)hydration \textit{per se}
does not lead to tilts. Implications for rational design of critical
functionality -- including improper ferroelectricity and electrochemical
performance -- are discussed. The results are important for a fundamental
understanding of phase transitions as well as for the development of functional
materials based on PBAs."
296,"Incorporating the nanoscopic model
for mesocopic simulations will require further study to            θ=2:N
determine the possibility of using increased computa-
tional interface width to reduce computational expense,       + dM f m + dI f i + dP f p
while also maintaining the required quantitative IB en-            dφ          dφ dφ
ergy and solute excess.","How-
ever, mesoscopic phase-ﬁeld simulations are typically                          dM                dP
performed at the microstructure level with multiple pre-      =           µθ1  dφ (cθi − cθm) + dφ (cθi − cθp)
cipitates or grains.","In addition to chemical thermo-
dynamics, IB segregation in many experimental alloys          = fm − fi −                                dM
are governed by the interface crystallography [59, 60],                            (cθm − cθi)µθ1
structure [61, 62], elastic energy contribution [63] and                       θ=2:N dφ
kinetic factors.",2022-01-10 00:05:19+00:00,Phase Boundary Segregation in Multicomponent Alloys: A Diffuse-Interface Thermodynamic Model,cond-mat.mtrl-sci,['cond-mat.mtrl-sci'],"[arxiv.Result.Author('Sourabh Bhagwan Kadambi'), arxiv.Result.Author('Srikanth Patala')]","Microalloying elements tend to segregate to the matrix-precipitate phase
boundaries to reduce the interfacial energy. The segregation mechanism is
emerging as a novel design strategy for developing precipitation-hardened
alloys with significantly improved coarsening resistance for high temperature
applications. In this paper, we report a nanoscopic diffuse-interface
thermodynamic model that describes multicomponent segregation behavior in
two-phase substitutional alloys. Following classical approaches for grain
boundaries, we employ the regular solution thermodynamics to establish
segregation isotherms. We show that the model recovers the Guttmann
multicomponent isotherm describing local interfacial concentrations, and the
generalized Gibbs adsorption isotherm that governs the total solute excess and
interfacial energy. A variety of multicomponent segregation behaviors are
demonstrated for a model two-phase quaternary alloy. The nature of interfacial
parameters and the resulting analytic solutions make the model amenable for
parameterization and comparison with atomistic calculations and experimental
characterizations."
300,"Therefore, 2D materials with

                                                                                      12
similar puckering lattice to black phosphorene may have similar U-edge reconstruction, which certainly
deserves further study.","U-edge is formed through the small
structural reconstruction of puckering lattice of bilayer black phosphorene.","Beyond, we indicate ZZ(U) bring nearly edgeless carriers, which may provide new
applications features of PNRs in electric, thermal, optoelectric and catalysis.",2022-01-10 01:50:26+00:00,Eliminating edge electronic and phonon states of phosphorene nanoribbon by unique edge reconstruction,cond-mat.mtrl-sci,['cond-mat.mtrl-sci'],"[arxiv.Result.Author('Shi-Qi LI'), arxiv.Result.Author('Xiangjun Liu'), arxiv.Result.Author('Xujun Wang'), arxiv.Result.Author('Hongsheng Liu'), arxiv.Result.Author('Gang Zhang'), arxiv.Result.Author('Jijun Zhao'), arxiv.Result.Author('Junfeng Gao')]","Edge termination plays a vital role in determining the properties of 2D
materials. By performing compelling ab initio simulations, a lowest-energy
U-edge [ZZ(U)] reconstruction is revealed in the bilayer phosphorene. Such
reconstruction reduces 60% edge energy compared with the pristine one and
occurs almost without energy barrier, implying it should be the dominating edge
in reality. The electronic band structure of phosphorene nanoribbon with such
reconstruction resembles that of intrinsic 2D layer, exhibiting nearly edgeless
band characteristics. Although ZZ(U) changes the topology of phosphorene
nanoribbon (PNR), simulated TEM, STEM and STM images indicates it is very hard
to be identified. One possible identify method is IR/Raman analyses because
ZZ(U) edge alters vibrational modes dramatically. Beyond, it also increases the
thermal conductivity of PNR 1.4 and 2.3 times than the pristine and Klein
edges."
420,"These examples provide as useful        a promising material platform for studying the funda-
                                                    starting points for further research into unique charac-      mental physics of fully spin-polarized nodal-chain, which
                                                                                                                  also possesses great potential for future spintronics ap-
plications.","Hence, our work reveals
                                                    = Cr, Cu, Z = Cl, I).","2

       II.",2022-01-12 04:31:06+00:00,Computational discovery of spin-polarized semimetals in spinel materials,cond-mat.mtrl-sci,['cond-mat.mtrl-sci'],"[arxiv.Result.Author('Shenda He'), arxiv.Result.Author('Ruirong Kang'), arxiv.Result.Author('Pan Zhou'), arxiv.Result.Author('Zehou Li'), arxiv.Result.Author('Yi Yang'), arxiv.Result.Author('Lizhong Sun')]","The materials with spin-polarized electronic states have attracted a huge
amount of interest due to their potential applications in spintronics. Based on
first-principles calculations, we study the electronic characteristics of a
series of AB2X4 chalcogeniden spinel structures and propose two promising
candidates, VZn2O4 and VCd2S4, are spin-polarized semimetal materials. Both of
them have ferromagnetic ground states. Their bands near the Fermi level are
completely spin-polarized and form two types of nodal rings in the spin-up
channel, and the large gaps in the spin-down channel prevent the spin-flip.
Further symmetry analysis reveals that the nodal rings are protected by the
glide mirror or mirror symmetries. Significantly, these nodal rings connect
with each other and form a nodal chain structure, which can be well described
by a simple four-band tight-binding (TB) model. The two ternary chalcogeniden
spinel materials with a fully spin polarized nodal chain can serve as a
prominent platform in the future applications of spintronic."
422,"This echo with a dip at the same
field only appears in NS but not in NSe that needs further study.","In addition, NS departs from the linear relationship from
E⊥=-1 V/Å and manifests as a dip cantered at -1.3 V/Å.",IV.,2022-01-12 06:42:17+00:00,Electrically tunable magnetism and unique intralayer charge transfer in Janus monolayer MnSSe for spintronics applications,cond-mat.mtrl-sci,"['cond-mat.mtrl-sci', 'physics.app-ph']","[arxiv.Result.Author('Yu Chen'), arxiv.Result.Author('Qiang Fan'), arxiv.Result.Author('Yiding Liu'), arxiv.Result.Author('Gang Yao')]","Controlling magnetism and electronic properties of two-dimensional (2D)
materials by purely electrical means is crucial and highly sought for
high-efficiency spintronics devices since electric field can be easily applied
locally compared with magnetic field. The recently discover 2D Janus crystals
has provide a new platform for nanoscale electronics and spintronics due to
their broken inversion symmetry nature. The intrinsic ferromagnetic Jauns
monolayer, and hence the tunable physical properties, is therefore of great
interest. Here, through comprehensive density functional theory calculations
and Monte Carlo simulations, we unveil that single-layer MnSSe is an intrinsic
ferromagnetic half-metal with a direct band gap of 1.14 eV in spin-down channel
and a Curie temperature of about 72 K. The exchange coupling can be
significantly enhanced or quenched by hole and electron doping, respectively.
In particular, a small amount of hole doping MnSSe can tune its magnetization
easy axis in between out-of-plane and in-plane directions, which is conducive
to designing 2D spin field-effect transistor for spin-dependent transport. We
also find a reversible longitudinal interlayer charge transfer between S and Se
layers for the first time that is highly sensitive to the applied external
electric field. Interestingly, the directions of charge flow and the applied
field are the same. The behavior originates from the coexistence and/or the
competition of external and built-in fields. These findings, together with the
excellent stability and large in-plane stiffness, can greatly facilitate the
development of nanoscale electronics and spintronics devices based on 2D MnSSe
crystal."
453,"Intermixing
                                                              of any additional orbital character will introduce two ad-
   Let us further study the angular dependence of lin-        ditional Coulomb wavelets that participate in ﬁnal state
ear dichroism in a system with similar out- and in            interference, and if hybridization to heavy elements, e.g.,
plane orbital mixing: the 2D honeycomb monolayer              to a metallic substrate is involved, Coulomb scattering
AgTe/Ag(111) [20].",PWA problematic in more complex systems.,Its occupied low energy electronic         will become signiﬁcant.,2022-01-12 17:09:34+00:00,The Huygens Principle of Angle-Resolved Photoemission,cond-mat.mtrl-sci,"['cond-mat.mtrl-sci', 'cond-mat.mes-hall']",[arxiv.Result.Author('Simon Moser')],"Angle-resolved photoemission spectroscopy (ARPES) measures the interference
of dipole allowed Coulomb wavelets from the individual orbital emitters that
contribute to an electronic band. If Coulomb scattering of the outgoing
electron is neglected, this Huygens view of ARPES simplifies to a Fraunhofer
diffraction experiment, and the relevant cross-sections to orbital
Fouriertransforms. This plane wave approximation (PWA) is surprisingly
descriptive of photoelectron distributions, but fails to reproduce kinetic
energy dependent final state effects like dichroism. Yet, Huygens principle of
ARPES can be easily adapted to allow for distortion and phase shift of the
outgoing Coulomb wave. This retains the strong physical intuition and low
computational cost of the PWA, but naturally captures momentum dependent
interference effects in systems that so far required treatment at the ab initio
level, such as linear dichroism in Rashba systems BiAg2 and AgTe."
494,"  Steam Degradation of Ytterbium Disilicate Environmental Barrier Coatings:
                 Effect of Composition, Microstructure and Temperature

  Daniel Tejero-Martin*1, Mingwen Bai2, Acacio R. Romero1, Richard G. Wellman3, Tanvir Hussain1*
1 Faculty of Engineering, University of Nottingham, University Park, Nottingham, NG7 2RD
2 Institute for Future Transport and Cities, Coventry University, Priory St, Coventry, CV1 5FB, UK
3 Surface Engineering, Rolls-Royce Plc, Derby, DE24 8BJ

                                              * daniel.tejero@nottingham.ac.uk
                               * tanvir.hussain@nottingham.ac.uk; +44 115 951 3795
Abstract

Recession of environmental barrier coatings (EBC) in environments containing steam is a pressing
concern that requires further research before their implementation in gas turbine engines can be
realized.",https://doi.org/10.1016/j.surfcoat.2015.08.069.,"In this work, free-standing plasma sprayed Yb2Si2O7 coatings were exposed to flowing steam
at 1350 °C and 1400 °C for 96 h. Three samples were investigated, one coating with a low porosity
level (< 3 %) and 1 wt.% Al2O3 representing traditional EBCs; and two coatings with higher porosity
levels (~20 %) representing abradable EBCs.",2021-12-23 18:19:22+00:00,"Steam Degradation of Ytterbium Disilicate Environmental Barrier Coatings: Effect of Composition, Microstructure and Temperature",cond-mat.mtrl-sci,['cond-mat.mtrl-sci'],"[arxiv.Result.Author('Daniel Tejero-Martin'), arxiv.Result.Author('Mingwen Bai'), arxiv.Result.Author('Acacio R. Romero'), arxiv.Result.Author('Richard G. Wellman'), arxiv.Result.Author('Tanvir Hussain')]","Recession of environmental barrier coatings (EBC) in environments containing
steam is a pressing concern that requires further research before their
implementation in gas turbine engines can be realized. In this work,
free-standing plasma sprayed Yb2Si2O7 coatings were exposed to flowing steam at
1350 {\deg}C and 1400 {\deg}C for 96 h. Three samples were investigated, one
coating with a low porosity level (< 3 %) and 1 wt.% Al2O3 representing
traditional EBCs; and two coatings with higher porosity levels (~20 %)
representing abradable EBCs. Phase composition and microstructural evolution
were studied in order to reveal the underlying mechanism for the interaction
between high temperature steam and ytterbium disilicate. The results show
depletion of Yb2SiO5 near the surface and formation of ytterbium garnet
(Yb3Al5O12) on top of all three coatings due to the reaction with gaseous
Al-containing impurities coming from the alumina furnace tubes. The 1 wt.%
Al2O3 added to the EBC sample exacerbated the formation of garnet at 1400
{\deg}C compared to the abradable samples, which presented lower quantities of
garnet. Additionally, inter-splat boundaries were visible after exposure,
indicating preferential ingress of gaseous Al-containing impurities through the
splat boundaries"
605,"The lattice
parameter of Zr0.75Ti0.25Co and Zr0.75Hf0.25Co are smaller than ZrCo, the improved
anti-disproportionation properties may be mainly introduced by the decrease of lattice parameter as
previous experiments proposed [18, 24], which need further research.","The results suggest that substitution of Zr with Hf in ZrCo improve
the thermodynamic stability of ZrCo alloy [15, 16], but substitution of Zr with Ti doesn’t.","To understand the chemical bonding of Zr0.75Ti0.25Co and Zr0.75Hf0.25Co, the total density of states
spectrum of Zr0.75Ti0.25Co and Zr0.75Hf0.25Co as well as its constituent elements were calculated and were
plotted in Figure 3 and Figure 4, respectively.",2022-01-15 09:24:07+00:00,The Properties of doping ZrCo,cond-mat.mtrl-sci,['cond-mat.mtrl-sci'],[arxiv.Result.Author('Gan Ren')],"ZrCo alloy is promising to substitute uranium for handling hydrogen isotope
storage in thermonuclear reactor. The alloying substitution of Zr in ZrCo with
Hf or Ti can enhance the ability of anti-disproportionation. In this work,
Zr$_{0.75}$Hf$_{0.25}$Co and Zr$_{0.75}$Ti$_{0.25}$Co were considered in the
framework of density functional theory, aimed to investigate the properties of
the alloying substitution of Zr with Hf or Ti in ZrCo. Our results found that
the optimized lattice constants of the alloying substitutions,
Zr$_{0.75}$Hf$_{0.25}$Co and Zr$_{0.75}$Ti$_{0.25}$Co, are smaller than ZrCo.
The thermodynamic stability reduces in the order Zr$_{0.75}$Hf$_{0.25}$Co >
ZrCo > Zr$_{0.75}$Ti$_{0.25}$Co, as demonstrated by the enthalpy of formation.
The valence electrons are mainly localized at the ion core and the chemical
bonds are polarized in Zr$_{0.75}$Hf$_{0.25}$Co and Zr$_{0.75}$Ti$_{0.25}$Co
analogous to ZrCo."
654,"Because we separately

considered spin-dependent scattering and the host-lattice contribution, a further study on their cross-

term is desirable.","These results highlight the

importance of alloy engineering of FMs as spin sources in spintronic devices.","To optimize the alloy constitution, an ab initio calculation using coherent potential

approximation is also a possible future work.",2022-01-17 05:38:05+00:00,Perpendicularly Polarized Spin Hall Effects Induced by Spin-Dependent Scattering in Ferromagnetic Metals,cond-mat.mtrl-sci,"['cond-mat.mtrl-sci', 'cond-mat.mes-hall']","[arxiv.Result.Author('Yuta Yahagi'), arxiv.Result.Author('Daisuke Miura'), arxiv.Result.Author('Akimasa Sakuma')]","Ferromagnetic metals are prospective candidates for highly controllable spin
current sources because the spin current can be polarized in an arbitrary
direction depending on the magnetization direction. In this study, we apply the
electron theory to evaluate the extrinsic spin Hall effects due to magnetic
impurity scattering in ferromagnetic metals. We show that spin-dependent
scattering can provide a significantly high spin current polarized
perpendicularly to the magnetization direction. In addition, we demonstrate
that the spin-dependent s-d scattering mechanism governs the perpendicularly
polarized spin current in a wide range of ferromagnetic metals in the
moderate-conductivity regime (smaller than 10^5 {\Omega}^(-1) cm^(-1)). We
discuss the validity of the perpendicularly polarized spin currents in
ferromagnets, where the superposition of a spin-conserve channel and spin-flip
channel is found to be responsible for such spin currents. These findings
emphasize that optimization of alloy composition is an effective strategy to
control the spin Hall effect in ferromagnetic metals."
