,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
247,By further studying the peak posi-              .,"momentum excitation modes thanks to its privileged dy-
namical softening to imaginary energies, indicative of an      In dDFGs, the DDI competes with the Fermi energy,
unstable roton mode.","2 kF2
tion and the time evolution of its population, the authors     EF =           The ﬁgure of merit is given by the ratio
demonstrated the characteristic scalings krot ∼ 1/ℓz and             2m
ωrot ∝ (a − a∗)1/2 for the unstable regime (a < a∗); see       nS2d2/EF, corresponding to the ratio η = Edip/Ek also
Fig.",2022-01-07 20:43:34+00:00,Dipolar physics: A review of experiments with magnetic quantum gases,cond-mat.quant-gas,"['cond-mat.quant-gas', 'physics.atom-ph', 'quant-ph']","[arxiv.Result.Author('Lauriane Chomaz'), arxiv.Result.Author('Igor Ferrier-Barbut'), arxiv.Result.Author('Francesca Ferlaino'), arxiv.Result.Author('Bruno Laburthe-Tolra'), arxiv.Result.Author('Benjamin L. Lev'), arxiv.Result.Author('Tilman Pfau')]","Since the achievement of quantum degeneracy in gases of chromium atoms in
2004, the experimental investigation of ultracold gases made of highly magnetic
atoms has blossomed. The field has yielded the observation of many
unprecedented phenomena, in particular those in which long-range and
anisotropic dipole-dipole interactions play a crucial role. In this review, we
aim to present the aspects of the magnetic quantum-gas platform that make it
unique for exploring ultracold and quantum physics as well as to give a
thorough overview of experimental achievements."
248,"By further studying the peak posi-
                              0c                                                                                      tion and the time evolution of its population, the authors
                                                                                                                      demonstrated the characteristic scalings krot ∼ 1/ℓz and
                             100                                                                                      ωrot ∝ (a − a∗)1/2 for the unstable regime (a < a∗); see
                                                                                                                      Fig.","Based on a Bo-
                             -5                                                                                       goliubov picture relevant for the short-time dynamics,
                                                                                                                      this was interpreted as the coherent population of ﬁnite-
                                 -8 -4 0 4 8                                                                          momentum excitation modes thanks to its privileged dy-
                                        ky(µm-1)                                                                      namical softening to imaginary energies, indicative of an
                                                                                                                      unstable roton mode.",19(b-c).,2022-01-07 20:43:34+00:00,Dipolar physics: A review of experiments with magnetic quantum gases,cond-mat.quant-gas,"['cond-mat.quant-gas', 'physics.atom-ph', 'quant-ph']","[arxiv.Result.Author('Lauriane Chomaz'), arxiv.Result.Author('Igor Ferrier-Barbut'), arxiv.Result.Author('Francesca Ferlaino'), arxiv.Result.Author('Bruno Laburthe-Tolra'), arxiv.Result.Author('Benjamin L. Lev'), arxiv.Result.Author('Tilman Pfau')]","Since the achievement of quantum degeneracy in gases of chromium atoms in
2004, the experimental investigation of ultracold gases made of highly magnetic
atoms has blossomed. The field has yielded the observation of many
unprecedented phenomena, in particular those in which long-range and
anisotropic dipole-dipole interactions play a crucial role. In this review, we
aim to present the aspects of the magnetic quantum-gas platform that make it
unique for exploring ultracold and quantum physics as well as to give a
thorough overview of experimental achievements."
2316,"The physics of the high-frequency chiral surface waves de-
   The frequency of the surface waves is ﬁxed by the coupling       serves further study.",radius of the circular droplet.,"Can one write down an effective edge
g , which is the only energy scale in the LLL approxima-            theory of the outer layer that captures the essential features
tion.",2022-02-22 14:29:45+00:00,Surface waves and bulk Ruderman mode of a bosonic superfluid vortex crystal in the lowest Landau level,cond-mat.quant-gas,"['cond-mat.quant-gas', 'nlin.PS', 'physics.atom-ph', 'quant-ph']","[arxiv.Result.Author('Bhilahari Jeevanesan'), arxiv.Result.Author('Claudio Benzoni'), arxiv.Result.Author('Sergej Moroz')]","We determine and analyze collective normal modes of a finite disk-shaped
two-dimensional vortex crystal formed in a compressible bosonic superfluid in
an artificial magnetic field. Using the microscopic Gross-Pitaevskii theory in
the lowest Landau level approximation, we generate vortex crystal ground states
and solve the Bogoliubov-de Gennes equations for small amplitude collective
oscillations. We find chiral surface waves that propagate at frequencies larger
than those of the bulk Tkachenko modes. Furthermore, we study low frequency
bulk excitations and identify a torsional Ruderman mode, which we find is
well-described by a previously developed low-energy effective field theory."
2317,"that for many values of Nv our numerical microscopic results
have reasonable agreement with the predictions of the leading-         The physics of the high-frequency chiral surface waves de-
order low-energy effective theory of quadratically-dispersing       serves further study.",It is reassuring      tion for future investigations.,"Can one write down an effective edge
                                                                    theory of the outer layer that captures the essential features
                                                                    of the waves?",2022-02-22 14:29:45+00:00,Surface waves and bulk Ruderman mode of a bosonic superfluid vortex crystal in the lowest Landau level,cond-mat.quant-gas,"['cond-mat.quant-gas', 'nlin.PS', 'physics.atom-ph', 'quant-ph']","[arxiv.Result.Author('Bhilahari Jeevanesan'), arxiv.Result.Author('Claudio Benzoni'), arxiv.Result.Author('Sergej Moroz')]","We determine and analyze collective normal modes of a finite disk-shaped
two-dimensional vortex crystal formed in a compressible bosonic superfluid in
an artificial magnetic field. Using the microscopic Gross-Pitaevskii theory in
the lowest Landau level approximation, we generate vortex crystal ground states
and solve the Bogoliubov-de Gennes equations for small amplitude collective
oscillations. We find chiral surface waves that propagate at frequencies larger
than those of the bulk Tkachenko modes. Furthermore, we study low frequency
bulk excitations and identify a torsional Ruderman mode, which we find is
well-described by a previously developed low-energy effective field theory."
2335,"It should be emphasized at this point that the role of thermal ﬂuctuations
and their adequate modelling including their impact on the LHY term is certainly an issue
that deserves further study.",40.,"Independently, the quench dynamics of a quasi-1D repulsively interacting binary bosonic
mixture was investigated in (Cidrim et al., 2021).",2022-02-22 17:57:20+00:00,Cold atoms in low dimensions -- a laboratory for quantum dynamics,cond-mat.quant-gas,"['cond-mat.quant-gas', 'cond-mat.other', 'physics.atom-ph', 'quant-ph']","[arxiv.Result.Author('S. I. Mistakidis'), arxiv.Result.Author('A. G. Volosniev'), arxiv.Result.Author('R. E. Barfknecht'), arxiv.Result.Author('T. Fogarty'), arxiv.Result.Author('Th. Busch'), arxiv.Result.Author('A. Foerster'), arxiv.Result.Author('P. Schmelcher'), arxiv.Result.Author('N. T. Zinner')]","Cold atomic gases have become a paradigmatic system for exploring fundamental
physics, while at the same time allowing to explore applications in quantum
technologies. The accelerating developments in the field have led to a highly
advanced set of engineering techniques that, among others, can tune
interactions, shape the external geometry, select among a large set of atomic
species with different properties, as well as control the number of atoms. In
particular, it is possible to operate in lower dimensions and drive atomic
systems in the strongly correlated regime. In this review, we discuss recent
advances in few-body cold atom systems confined in low dimensions from a
theoretical viewpoint. We mainly focus on bosonic systems in one dimension and
provide an introduction to the well-known static properties before we discuss
the state-of-the-art quantum dynamical processes stimulated by the presence of
correlations. Besides describing the fundamental physical phenomena arising in
these systems, we also provide an overview of the tools and methods that are
commonly used, thus delivering a balanced and comprehensive overview of the
field. We conclude by giving an outlook on possible future directions that are
interesting to explore in these correlated systems."
2336,"Let us ﬁnally indicate a number of further research directions for many of the systems
discussed in the review.","It might even pave the way to prepare novel metastable states
with unseen properties or even functionalities.","This is by no means an exhaustive list of topics, but merely a
selection mainly based on our own interests.",2022-02-22 17:57:20+00:00,Cold atoms in low dimensions -- a laboratory for quantum dynamics,cond-mat.quant-gas,"['cond-mat.quant-gas', 'cond-mat.other', 'physics.atom-ph', 'quant-ph']","[arxiv.Result.Author('S. I. Mistakidis'), arxiv.Result.Author('A. G. Volosniev'), arxiv.Result.Author('R. E. Barfknecht'), arxiv.Result.Author('T. Fogarty'), arxiv.Result.Author('Th. Busch'), arxiv.Result.Author('A. Foerster'), arxiv.Result.Author('P. Schmelcher'), arxiv.Result.Author('N. T. Zinner')]","Cold atomic gases have become a paradigmatic system for exploring fundamental
physics, while at the same time allowing to explore applications in quantum
technologies. The accelerating developments in the field have led to a highly
advanced set of engineering techniques that, among others, can tune
interactions, shape the external geometry, select among a large set of atomic
species with different properties, as well as control the number of atoms. In
particular, it is possible to operate in lower dimensions and drive atomic
systems in the strongly correlated regime. In this review, we discuss recent
advances in few-body cold atom systems confined in low dimensions from a
theoretical viewpoint. We mainly focus on bosonic systems in one dimension and
provide an introduction to the well-known static properties before we discuss
the state-of-the-art quantum dynamical processes stimulated by the presence of
correlations. Besides describing the fundamental physical phenomena arising in
these systems, we also provide an overview of the tools and methods that are
commonly used, thus delivering a balanced and comprehensive overview of the
field. We conclude by giving an outlook on possible future directions that are
interesting to explore in these correlated systems."
3418,"Our results enable the further study
to the DSF results, due to nonlinear response.","The two sound modes and their coupling can aﬀect
excitation show excellent agreement, the results of the      the dynamics, such as the propagation of deterministic
driven response show a systematic deviation, compared        vortex colliders [40].","If the        of these phenomena, as they provide an in-depth insight
probing strength is small, the driven response recovers      into the key probing techniques of the ﬁeld.",2022-03-16 18:00:02+00:00,First and second sound in a dilute Bose gas across the BKT transition,cond-mat.quant-gas,"['cond-mat.quant-gas', 'quant-ph']","[arxiv.Result.Author('Vijay Pal Singh'), arxiv.Result.Author('Ludwig Mathey')]","We study the propagation of the two sound modes in two-dimensional Bose gases
across the Berezinksii-Kosterlitz-Thouless (BKT) transition using
classical-field dynamics, which is motivated by recent measurements of
Christodoulou et al. Nature 594, 191 (2021). Based on the dynamic structure
factor, we identify the two sound modes as the Bogoliubov (B) and the
non-Bogoliubov (NB) sound mode below the transition, and as the diffusive and
the normal sound mode above the transition. The NB sound mode velocity is
higher than the B sound mode velocity, which we refer to as the weak-coupling
regime of the sound modes. We excite the sound modes by driving the system as
in the experiment and by perturbing the density with a step-pulse perturbation,
as a secondary comparison. The driven response depends on the driving strength
and results in higher velocities for the B sound mode at high temperatures near
the transition, compared to the sound results of the dynamic structure factor
and step-pulse excitation. We show that the higher mode velocity has a weak
temperature dependence across the transition, which is consistent with the
experimental observation."
3474,"The spatially-uniform driving
                                                    associated with vortex turbulence in 2D Bose gases [13, 14],      force, F = F0 sin(ωFt), with ωF = c π/L, where c = µ/m
                                                    and opens possibilities for further research, ranging from the    is the speed of sound, resonantly injects energy into a longest-
                                                    interplay of wave and vortex turbulence [15] to quantum sim-      wavelength phonon mode, with wavevector kF = (π/L, 0).",1(c).,"ulation of processes believed to have taken place in the early    Our energy-injection scale is thus set by the system size,
                                                    universe [16].",2022-03-17 17:59:30+00:00,Emergence of isotropy and dynamic scaling in 2D wave turbulence in a homogeneous Bose gas,cond-mat.quant-gas,"['cond-mat.quant-gas', 'cond-mat.stat-mech', 'physics.atom-ph', 'physics.flu-dyn']","[arxiv.Result.Author('Maciej Gałka'), arxiv.Result.Author('Panagiotis Christodoulou'), arxiv.Result.Author('Martin Gazo'), arxiv.Result.Author('Andrey Karailiev'), arxiv.Result.Author('Nishant Dogra'), arxiv.Result.Author('Julian Schmitt'), arxiv.Result.Author('Zoran Hadzibabic')]","We realise a turbulent cascade of wave excitations in a homogeneous 2D Bose
gas, and probe on all relevant time and length scales how it builds up from
small to large momenta, until the system reaches a steady state with matching
energy injection and dissipation. This all-scales view directly reveals the two
theoretically expected cornerstones of turbulence formation -- the emergence of
statistical momentum-space isotropy under anisotropic forcing, and the
spatiotemporal scaling of the momentum distribution at times before any energy
is dissipated."
4313,"To further study this topic, we may                                                                                   5
prepare two hyperﬁne states in the normal side, for ex-
ample, |3 and |4 with two Rabi couplings: Ω↑,3 and              [9] Y. Asano, Andreev Reﬂection in Superconducting Junc-
Ω↓,4.","Since the tunneling process is

                                                                              momentum-conserved, the hole is reﬂected with exactly

                                                                              the opposite momentum to the incident particle (hole),

                                                                              which ensures that the same information is teleported to
the reﬂected one.","In this case, we can consider an incident particle at          tions (Springer, 2021).",2022-04-04 09:58:49+00:00,Dominant Andreev Reflection through Nonlinear Radio-Frequency Transport,cond-mat.quant-gas,"['cond-mat.quant-gas', 'cond-mat.supr-con', 'gr-qc', 'nucl-th', 'physics.atom-ph']","[arxiv.Result.Author('Tingyu Zhang'), arxiv.Result.Author('Hiroyuki Tajima'), arxiv.Result.Author('Yuta Sekino'), arxiv.Result.Author('Shun Uchino'), arxiv.Result.Author('Haozhao Liang')]","We theoretically propose the laser-induced Andreev reflection between
two-component Fermi superfluid and normal states via spatially-uniform Rabi
couplings. By analyzing the tunneling current between the superfluid and normal
states up to the fourth order in the Rabi couplings, we find that the Andreev
current exhibits unconventional non-Ohmic transport at zero temperature.
Remarkably, the Andreev current gives the only contribution in the synthetic
junction system at zero detunings regardless of the ratio of the chemical
potential bias to the superfluid gap, which is in sharp contrast to that in the
conventional superconductor-normal metal junction. Our result may also pave a
way for understanding the black hole information paradox through the Andreev
reflection as a quantum-information mirror."
4314,"To further study this topic, we may                                                                                   5
prepare two hyperﬁne states in the normal side, for ex-
ample, |3 and |4 with two Rabi couplings: Ω↑,3 and              [9] Y. Asano, Andreev Reﬂection in Superconducting Junc-
Ω↓,4.","Since the tunneling process is

                                                                              momentum-conserved, the hole is reﬂected with exactly

                                                                              the opposite momentum to the incident particle (hole),

                                                                              which ensures that the same information is teleported to
the reﬂected one.","In this case, we can consider an incident particle at          tions (Springer, 2021).",2022-04-04 09:58:49+00:00,Dominant Andreev Reflection through Nonlinear Radio-Frequency Transport,cond-mat.quant-gas,"['cond-mat.quant-gas', 'cond-mat.supr-con', 'gr-qc', 'nucl-th', 'physics.atom-ph']","[arxiv.Result.Author('Tingyu Zhang'), arxiv.Result.Author('Hiroyuki Tajima'), arxiv.Result.Author('Yuta Sekino'), arxiv.Result.Author('Shun Uchino'), arxiv.Result.Author('Haozhao Liang')]","We theoretically propose the laser-induced Andreev reflection between
two-component Fermi superfluid and normal states via spatially-uniform Rabi
couplings. By analyzing the tunneling current between the superfluid and normal
states up to the fourth order in the Rabi couplings, we find that the Andreev
current exhibits unconventional non-Ohmic transport at zero temperature.
Remarkably, the Andreev current gives the only contribution in the synthetic
junction system at zero detunings regardless of the ratio of the chemical
potential bias to the superfluid gap, which is in sharp contrast to that in the
conventional superconductor-normal metal junction. Our result may also pave a
way for understanding the black hole information paradox through the Andreev
reflection as a quantum-information mirror."
