,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
11,"These findings lead to the novel principle
for the high-performance low-energy photodetectors operated irrespective of the band
gap and even stimulate the further research for hitherto unexplored topological quantum
phenomena with promising functionality.","The phonon excitation may be strongly coupled to the
topological electronic structure in particular materials, which will open up a new avenue
to control the topological nature of matter40,41.","9
References

1.",2022-01-01 06:56:50+00:00,Photovoltaic effect by soft phonon excitation,cond-mat.str-el,['cond-mat.str-el'],"[arxiv.Result.Author('Yoshihiro Okamura'), arxiv.Result.Author('Takahiro Morimoto'), arxiv.Result.Author('Naoki Ogawa'), arxiv.Result.Author('Yoshio Kaneko'), arxiv.Result.Author('Guang-Yu Guo'), arxiv.Result.Author('Masao Nakamura'), arxiv.Result.Author('Masashi Kawasaki'), arxiv.Result.Author('Naoto Nagaosa'), arxiv.Result.Author('Yoshinori Tokura'), arxiv.Result.Author('Youtarou Takahashi')]","Photodetection is an indispensable function of optoelectronic devices in
modern communication and sensing systems. Contrary to the near-infrared/visible
regions, the fast and sensitive photodetectors operated at room temperature for
the far-infrared/terahertz regions are not well developed despite a possibly
vast range of applications. The bulk photovoltaic effect (BPVE) in single-phase
noncentrosymmetric materials based on the shift current mechanism enables
less-dissipative energy conversion endowed with instantaneous responsivity
owing to the quantum-mechanical geometric phase of electronic states.
Nevertheless, the small-band-gap material for the low-energy BPVE inevitably
suffers from the thermal noise due to the intrinsically high conductivity.
Here, we demonstrate the shift current induced by soft-phonon excitations
without creation of electron-hole pairs in the archetypal ferroelectric BaTiO3
by using the terahertz light, whose energy scale is three orders of magnitude
smaller than the electronic band gap. At and above room temperature, we observe
appreciable photocurrents caused by the soft-phonon excitation as large as that
for electronic excitation and their strong phonon-mode dependence. The observed
phonon-driven BPVE can be well accounted for by the shift current model
considering the electron-phonon coupling in the displacement-type
ferroelectrics as supported by the first-principles calculation. Our findings
establish the efficient quantum BPVE arising from low-energy elementary
excitations, suggesting the novel principle for the high-performance terahertz
photodetectors."
66,"(L-K) expression, oscillation amplitude in Δρxx is given by        To further study the topological properties of the surface
                                                                   states, we estimated the Berry phase value from the Landau
Δρxx = ρT ρD                                                       level fan diagram, that is given by n = F/2πH+, where n
                                                                   is the nth Landau level, F is the SdH oscillation period, H is
where 𝜌𝑇 =    2𝜋2𝑘𝐵𝑇           ,              − 2𝜋2𝑘𝐵𝑇𝐷            the magnetic field.",According to the Lifshitz - Kosevich         calculated from Hall measurement.,The inset of Fig.,2022-01-03 19:18:55+00:00,Magneto-Transport and High-Resolution Angle-Resolved Photoelectron Spectroscopy Studies of Palladium Doped Bi$_{2}$Te$_{3}$,cond-mat.str-el,"['cond-mat.str-el', 'cond-mat.mtrl-sci']","[arxiv.Result.Author('Shailja Sharma'), arxiv.Result.Author('Shiv Kumar'), arxiv.Result.Author('G. C. Tewari'), arxiv.Result.Author('Girish Sharma'), arxiv.Result.Author('Eike F. Schwier'), arxiv.Result.Author('Kenya Shimada'), arxiv.Result.Author('A. Taraphder'), arxiv.Result.Author('C. S. Yadav')]","We have performed magneto-transport and high-resolution angle-resolved
photoelectron spectroscopy (ARPES) measurements on palladium (Pd) doped
topological insulator Pd$_{x}$Bi$_{2}$Te$_{3}$ (0 $\leq$ x $\leq$ 0.20) single
crystals. We have observed unusually high values of magnetoresistance ($\sim$
1500%) and mobility ($\sim$ 93000 cm$^{2}$V$^{-1}$s$^{-1}$) at low temperatures
for pristine Bi2Te3 that decrease on Pd doping. The Shubnikov-de Haas (SdH)
oscillations have been detected for x = 0.05, 0.10, confirming the presence of
2D topological surface states (TSSs) for these samples. The Hall measurement
shows the crossover from n-type charge carriers in pristine Bi$_{2}$Te$_{3}$ to
p-type charge carriers upon Pd doping. The ARPES measurements show that the
conduction band crosses the Fermi level for pristine Bi$_{2}$Te$_{3}$ , and the
Dirac point of the TSSs and bulk-derived valence bands indicated shift to lower
binding energy upon Pd doping in a rigid-band-like way up to x $\sim$0.10.
Based on the comparison of the parameters obtained from the SdH and ARPES
measurements, the reduction in the kF value in the magneto-transport
measurements likely due to the band bending induced by the Schottky barrier."
130,"We brieﬂy summarize the main
results of the paper and discuss further research projects in Sec.","IV, we
provide the numerical solutions for G(p) and analyze the inﬂuence of the interplay of EPI and
Coulomb interaction on the renormalization of fermion velocity.","V. A detailed functional analysis
of the interaction vertex function and the derivation of the DS equations of fermion and boson
propagators are presented in Appendix A and Appendix B, respectively.",2022-01-05 06:23:03+00:00,A non-perturbative study of the interplay between electron-phonon interaction and Coulomb interaction in undoped graphene,cond-mat.str-el,"['cond-mat.str-el', 'cond-mat.dis-nn', 'cond-mat.quant-gas']","[arxiv.Result.Author('Zhao-Kun Yang'), arxiv.Result.Author('Xiao-Yin Pan'), arxiv.Result.Author('Guo-Zhu Liu')]","In condensed-matter systems, electrons are subjected to two different
interactions under certain conditions. Even if both interactions are weak, it
is difficult to perform perturbative calculations due to the complexity caused
by the interplay of two interactions. When one or two interactions are strong,
ordinary perturbation theory may become invalid. Here we consider undoped
graphene as an example and provide a non-perturbative quantum-field-theoretic
analysis of the interplay of electron-phonon interaction and Coulomb
interaction. We treat these two interactions on an equal footing and derive the
exact Dyson-Schwinger integral equation of the full Dirac-fermion propagator.
This equation depends on several complicated correlation functions and thus is
difficult to handle. Fortunately, we find that these correlation functions obey
a number of exact identities, which allows us to prove that the Dyson-Schwinger
equation of the full fermion propagator is self-closed. After solving this
self-closed equation, we obtain the renormalized velocity of Dirac fermions and
show that its energy (momentum) dependence is dominantly determined by the
electron-phonon (Coulomb) interaction. In particular, the renormalized velocity
exhibits a logarithmic momentum dependence and a non-monotonic energy
dependence."
421,"The thermodynamic limit behavior can be examined by                                                                                           1                                           1

further studying the derivative of the correlation ratio                                                                ( 1)L                                       ( 1)L
with respect to Γ, i.e., RC′ = ∂RC /∂Γ, which is plotted
in Fig.",3(a).,3(b).,2022-01-12 05:14:46+00:00,Order parameter for the multichannel Kondo model at quantum criticality,cond-mat.str-el,['cond-mat.str-el'],"[arxiv.Result.Author('Ru Zheng'), arxiv.Result.Author('Rong-Qiang He'), arxiv.Result.Author('Zhong-Yi Lu')]","A multichannel Kondo model, where two or more equivalent but independent
channels of electrons compete to screen a spin-1/2 impurity, shows
overcompensation of the impurity spin, leading to the non-Fermi-liquid behavior
in various thermodynamic and transport properties. However, when the channel
symmetry is broken, an impurity quantum phase transition can occur at zero
temperature. Identification of an order parameter describing the impurity
quantum phase transition is very difficult since it is beyond the conventional
Landau-Ginzburg-Wilson theory. By employing the natural orbitals
renormalization group method, we study both two-channel and threechannel Kondo
models, from the perspective of spin correlation between the impurity and
electrons in electronic channels. Here we demonstrate that by introducing the
spin-correlation ratio as an order parameter we can characterize impurity
quantum phase transitions driven by channel asymmetry. In particular, the
universal critical exponents $\beta$ of the spin-correlation ratio and $\nu$ of
the correlation length are explicitly determined by finite-sizescaling
analysis, namely, $\beta = 0.10(1), \nu = 2.0(1)$, and $\beta = 0.10(1), \nu =
2.5(1)$ for the two-channel and three-channel Kondo models, respectively."
512,"Finally, an important aspect for further study
                                                            is the impact of a magnetic substrate — which induces
                                                            magnetic exchange ﬁelds as considered in Refs.","Our results point to the edge ﬁlling as
                                                            yet another key ingredient, since structural defects or
   To answer the ﬁrst question, we considered an intra-     chemisorbed adatoms may eﬀectively change the ﬁlling of
orbital Hubbard U interaction, which we treated at the      the edge.","[76–78] —
                                                            on the edge-magnetism of zTMDNRs.",2022-01-13 16:02:46+00:00,Edge-magnetism in Transition-metal Dichalcogenide Nanoribbons: Mean Field Theory and Determinant Quantum Monte Carlo,cond-mat.str-el,['cond-mat.str-el'],"[arxiv.Result.Author('Francisco M. O. Brito'), arxiv.Result.Author('Linhu Li'), arxiv.Result.Author('João M. V. P. Lopes'), arxiv.Result.Author('Eduardo V. Castro')]","Edge-magnetism in zigzag transition-metal dichalcogenide nanoribbons is
studied using a three-band tight-binding model with local electron-electron
interactions. Both mean field theory and the unbiased, numerically exact
determinant quantum Monte Carlo method are applied. Depending on the edge
filling, mean field theory predicts different phases: gapped spin dimer and
antiferromagnetic phases appear for two specific fillings, with a tendency
towards metallic edge-ferromagnetism away from those fillings. Determinant
quantum Monte Carlo simulations confirm the stability of the antiferromagnetic
gapped phase at the same edge filling as mean field theory, despite being
sign-problematic for other fillings. The obtained results point to edge filling
as yet another key ingredient to understand the observed magnetism in
nanosheets. Moreover, the filling dependent edge-magnetism gives rise to
spin-polarized edge currents in zigzag nanoribbons which could be tuned through
a back gate voltage, with possible applications to spintronics."
513,"between the TMDs, our general qualitative conclusions
Finally, an important aspect for further study is the im-   do not change.","Even though there are slight diﬀerences in
key ingredient, since structural defects or chemisorbed     the speciﬁc values of the order parameters on each edge
adatoms may eﬀectively change the ﬁlling of the edge.","We illustrate this for the AF1 phase in
pact of a magnetic substrate — which induces magnetic       the top panel of Fig.",2022-01-13 16:02:46+00:00,Edge magnetism in transition metal dichalcogenide nanoribbons: Mean field theory and determinant quantum Monte Carlo,cond-mat.str-el,['cond-mat.str-el'],"[arxiv.Result.Author('Francisco M. O. Brito'), arxiv.Result.Author('Linhu Li'), arxiv.Result.Author('João M. V. P. Lopes'), arxiv.Result.Author('Eduardo V. Castro')]","Edge magnetism in zigzag transition metal dichalcogenide nanoribbons is
studied using a three-band tight-binding model with local electron-electron
interactions. Both mean field theory and the unbiased, numerically exact
determinant quantum Monte Carlo method are applied. Depending on the edge
filling, mean field theory predicts different phases: gapped spin dimer and
antiferromagnetic phases appear for two specific fillings, with a tendency
towards metallic edge-ferromagnetism away from those fillings. Determinant
quantum Monte Carlo simulations confirm the stability of the antiferromagnetic
gapped phase at the same edge filling as mean field theory, despite being
sign-problematic for other fillings. The obtained results point to edge filling
as yet another key ingredient to understand the observed magnetism in
nanosheets. Moreover, the filling dependent edge magnetism gives rise to
spin-polarized edge currents in zigzag nanoribbons which could be tuned through
a back gate voltage, with possible applications to spintronics."
552,"B 86, 155129
is well helpful to further studying magnetic impurities in
quantum spin Hall insulators.",Rev.,(2012).,2022-01-14 05:18:13+00:00,An Anderson impurity interacting with the helical edge states in a quantum spin Hall insulator,cond-mat.str-el,['cond-mat.str-el'],"[arxiv.Result.Author('Ru Zheng'), arxiv.Result.Author('Rong-Qiang He'), arxiv.Result.Author('Zhong-Yi Lu')]","Using the natural orbitals renormalization group (NORG) method, we have
investigated the screening of the local spin of an Anderson impurity
interacting with the helical edge states in a quantum spin Hall insulator. We
find that there is a local spin formed at the impurity site and the local spin
is completely screened by electrons in the quantum spin Hall insulator.
Meanwhile, the local spin is screened dominantly by a single active natural
orbital. We then show that the Kondo screening mechanism becomes transparent
and simple in the framework of natural orbitals formalism. We project the
active natural orbital respectively into real space and momentum space to
characterize its structure. And we confirm the spin-momentum locking property
of the edge states based on the occupancy of a Bloch state in the edge to which
the impurity couples. Furthermore, we study the dynamical property of the
active natural orbital represented by the local density of states, from which
we observe the Kondo resonance peak."
595,"some
                                                                   degree of non-ergodicity, which deserve further study.","fact have certain features analogous to spin glasses, e.g.","V. CONCLUSIONS
                                                                      We have also found localization of one-particle hole and
   The Hartree-Fock approach yields a multiplicity of self-        electron states just below and just above half-ﬁlling, at strong
consistent solutions of surprising complexity; more complex-       repulsion, with IPR values which again depend on the partic-
ity than one might expect from a single Slater determinant,        ular solution obtained from the particular initialization.",2022-01-15 03:44:22+00:00,Visualization of the Hartree-Fock ground state of the two-dimensional Hubbard model,cond-mat.str-el,"['cond-mat.str-el', 'cond-mat.dis-nn', 'hep-lat']","[arxiv.Result.Author('Kazue Matsuyama'), arxiv.Result.Author('Jeff Greensite')]","We explore certain properties of the Hartree-Fock approximation to the ground
state of the two-dimensional Hubbard model, emphasizing the fact that in the
Hartree approach there is an enormous multiplicity of self-consistent solutions
which are nearly degenerate in energy, reminiscent of a spin glass, but which
may differ substantially in other bulk properties. In this framework we compute
various observables, and find that some regions of the phase diagram exhibit
patterns which include not only stripes but also other types of periodicity,
and that different self-consistent solutions, at the same set of parameters,
may be associated with different types of patterns. We find pair correlation
near half-filling, association of magnetic order with an energy gap, and also,
at strong repulsion (U/t >> 1), localization of either particle or hole states,
depending on the filling fraction."
596,"some degree of non-ergodicity, which deserve further study.","If
that is so, then the 2D Hubbard model may have other features analogous to spin
glasses, e.g.","We have also found localization of one-particle hole and electron states just
below and just above half-ﬁlling, at strong repulsion, with IPR values which again
depend on the particular solution obtained from the particular initialization.",2022-01-15 03:44:22+00:00,"Multiplicity, localization, and domains in the Hartree-Fock ground state of the two-dimensional Hubbard model",cond-mat.str-el,"['cond-mat.str-el', 'cond-mat.dis-nn', 'hep-lat']","[arxiv.Result.Author('Kazue Matsuyama'), arxiv.Result.Author('Jeff Greensite')]","We explore certain properties of the Hartree-Fock approximation to the ground
state of the two-dimensional Hubbard model, emphasizing the fact that in the
Hartree approach there is an enormous multiplicity of self-consistent solutions
which are nearly degenerate in energy, reminiscent of a spin glass, but which
may differ substantially in other bulk properties. It is argued that this
multiplicity is physically relevant at low temperatures. We study the
localization properties of the one-particle wavefunctions comprising the
Hartree-Fock states, and find that these are unlocalized at small and moderate
values of U/t, in particular in the stripe region, but become highly localized
at values corresponding to strong repulsion. We also find rectangular domains
as well as stripes in the stripe region of the phase diagram, and study pair
correlations in the neighborhood of half-filling."
696,"Here with numerical simula-                      A                                          A                  R
tion method, we further study the magnetic correlation
between two Kondo impurities interacting with the heli-                     t                                          t
cal edge states, not yet reported in literatures.","by the Quantum Monte Carlo simulation at ﬁnite tem-
peratures47, which shows that the in-plane components         (a)                     JR J               (b)                       J
of correlations favor ferromagnetism but the out-of-plane                                                                                  J
correlation can be tuned from ferromagnetism to antifer-         B                                          B
romagnetism by the SOC.","OSO                                       OSO
   In the study, we calculated the magnetic correlation
between two Kondo impurities in a QSHI, described by                                 a                                          a
ground state of the KM model1 deﬁned in a ﬁnite ZGNR,         y                                          y
by using the newly developed NORG method48.",2022-01-18 07:39:21+00:00,Magnetic correlation between two local spins in a quantum spin Hall insulator,cond-mat.str-el,['cond-mat.str-el'],"[arxiv.Result.Author('Ru Zheng'), arxiv.Result.Author('Rong-Qiang He'), arxiv.Result.Author('Zhong-Yi Lu')]","Two spins located at the edge of a quantum spin Hall insulator may interact
with each other via indirect spin-exchange interaction mediated by the helical
edge states, namely the RKKY interaction, which can be measured by the magnetic
correlation between the two spins. By means of the newly developed natural
orbitals renormalization group (NORG) method, we investigated the magnetic
correlation between two Kondo impurities interacting with the helical edge
states, based on the Kane-Mele model defined in a finite zigzag graphene
nanoribbon with spin-orbital coupling (SOC). We find that the SOC effect breaks
the symmetry in spatial distribution of the magnetic correlation, leading to
anisotropy in the RKKY interaction. Specifically, the total correlation is
always ferromagnetic (FM) when the two impurities are located at the same
sublattice, while it is always antiferromagnetic (AFM) when at the different
sublattices. Meanwhile, the behavior of the in-plane correlation is consistent
with that of the total correlation. However, the out-of-plane correlation can
be tuned from FM to AFM by manipulating either the Kondo coupling or the
interimpurity distance. Furthermore, the magnetic correlation is tunable by the
SOC, especially that the out-of-plane correlation can be adjusted from FM to
AFM by increasing the strength of SOC. Dynamic properties of the system,
represented by the spin-staggered excitation spectrum and the spin-staggered
susceptibility at the two impurity sites, are finally explored. It is shown
that the spin-staggered susceptibility is larger when the two impurities are
located at the different sublattices than at the same sublattice, which is
consistent with the behavior of the out-of-plane correlation. On the other
hand, our study further demonstrates that the NORG is an effective numerical
method for studying the quantum impurity systems."
