,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
39,These results highlight that further research is required for scaling sOoO cores to larger instruction windows.,"This is because larger instruction windows offer more ILP opportunities to OoO execution, thus widening
the performance gap with Ideal-sOoO which only extracts MLP.","Furthermore, given that MLP’s contribution to overall performance reduces at large windows and that Freeway already
extracts a large portion of the available MLP, the research in scaling sOoO cores should focus on ILP rather than
capturing the MLP opportunities missed by Freeway.",2022-01-03 05:46:31+00:00,Freeway to Memory Level Parallelism in Slice-Out-of-Order Cores,cs.AR,['cs.AR'],"[arxiv.Result.Author('Rakesh Kumar'), arxiv.Result.Author('Mehdi Alipour'), arxiv.Result.Author('David Black-Schaffer')]","Exploiting memory level parallelism (MLP) is crucial to hide long memory and
last level cache access latencies. While out-of-order (OoO) cores, and
techniques building on them, are effective at exploiting MLP, they deliver poor
energy efficiency due to their complex and energy-hungry hardware. This work
revisits slice-out-of-order (sOoO) cores as an energy efficient alternative for
MLP exploitation. sOoO cores achieve energy efficiency by constructing and
executing \textit{slices} of MLP generating instructions out-of-order only with
respect to the rest of instructions; the slices and the remaining instructions,
by themselves, execute in-order. However, we observe that existing sOoO cores
miss significant MLP opportunities due to their dependence-oblivious in-order
slice execution, which causes dependent slices to frequently block MLP
generation. To boost MLP generation, we introduce Freeway, a sOoO core based on
a new dependence-aware slice execution policy that tracks dependent slices and
keeps them from blocking subsequent independent slices and MLP extraction. The
proposed core incurs minimal area and power overheads, yet approaches the MLP
benefits of fully OoO cores. Our evaluation shows that Freeway delivers 12%
better performance than the state-of-the-art sOoO core and is within 7% of the
MLP limits of full OoO execution."
425,"This study will spark further research
a set of operations to update the age bits of blocks for                             in designing more advanced thermal-aware replacement
each cache access and to ﬁnd the suitable victim for each                            policies for STT-MRAM caches.","Moreover, LRU conducts                                 higher performance.",cache miss.,2022-01-12 09:11:12+00:00,TA-LRW: A Replacement Policy for Error Rate Reduction in STT-MRAM Caches,cs.AR,['cs.AR'],"[arxiv.Result.Author('Elham Cheshmikhani'), arxiv.Result.Author('Hamed Farbeh'), arxiv.Result.Author('Seyed Ghassem Miremadi'), arxiv.Result.Author('Hossein Asadi')]","As technology process node scales down, on-chip SRAM caches lose their
efficiency because of their low scalability, high leakage power, and increasing
rate of soft errors. Among emerging memory technologies, Spin-Transfer Torque
Magnetic RAM (STT-MRAM) is known as the most promising replacement for
SRAM-based cache memories. The main advantages of STT-MRAM are its
non-volatility, near-zero leakage power, higher density, soft-error immunity,
and higher scalability. Despite these advantages, the high error rate in
STT-MRAM cells due to retention failure, write failure, and read disturbance
threatens the reliability of cache memories built upon STT-MRAM technology. The
error rate is significantly increased in higher temperatures, which further
affects the reliability of STT-MRAM-based cache memories. The major source of
heat generation and temperature increase in STT-MRAM cache memories is write
operations, which are managed by cache replacement policy. In this paper, we
first analyze the cache behavior in the conventional LRU replacement policy and
demonstrate that the majority of consecutive write operations (more than 66%)
are committed to adjacent cache blocks. These adjacent write operations cause
accumulated heat and increased temperature, which significantly increases the
cache error rate. To eliminate heat accumulation and the adjacency of
consecutive writes, we propose a cache replacement policy, named Thermal-Aware
Least-Recently Written (TA-LRW), to smoothly distribute the generated heat by
conducting consecutive write operations in distant cache blocks. TA-LRW
guarantees the distance of at least three blocks for each two consecutive write
operations in an 8-way associative cache. This distant write scheme reduces the
temperature-induced error rate by 94.8%, on average, compared with the
conventional LRU policy, which results in 6.9x reduction in cache error rate."
519,"Our SparseP software package is freely and publicly available [49] to enable further research
 on SpMV in current and future PIM systems.","(4) Design high-speed communication channels and optimized libraries for data transfers
    to/from thousands of DRAM banks of PIM-enabled memory.","The main contributions of this work are as follows:
• We present SparseP, the first open-source SpMV software package for real PIM architectures.",2022-01-13 16:56:57+00:00,SparseP: Towards Efficient Sparse Matrix Vector Multiplication on Real Processing-In-Memory Systems,cs.AR,"['cs.AR', 'cs.DC', 'cs.PF']","[arxiv.Result.Author('Christina Giannoula'), arxiv.Result.Author('Ivan Fernandez'), arxiv.Result.Author('Juan Gómez-Luna'), arxiv.Result.Author('Nectarios Koziris'), arxiv.Result.Author('Georgios Goumas'), arxiv.Result.Author('Onur Mutlu')]","Several manufacturers have already started to commercialize near-bank
Processing-In-Memory (PIM) architectures. Near-bank PIM architectures place
simple cores close to DRAM banks and can yield significant performance and
energy improvements in parallel applications by alleviating data access costs.
Real PIM systems can provide high levels of parallelism, large aggregate memory
bandwidth and low memory access latency, thereby being a good fit to accelerate
the widely-used, memory-bound Sparse Matrix Vector Multiplication (SpMV)
kernel.
  This paper provides the first comprehensive analysis of SpMV on a real-world
PIM architecture, and presents SparseP, the first SpMV library for real PIM
architectures. We make three key contributions. First, we implement a wide
variety of software strategies on SpMV for a multithreaded PIM core and
characterize the computational limits of a single multithreaded PIM core.
Second, we design various load balancing schemes across multiple PIM cores, and
two types of data partitioning techniques to execute SpMV on thousands of PIM
cores: (1) 1D-partitioned kernels to perform the complete SpMV computation only
using PIM cores, and (2) 2D-partitioned kernels to strive a balance between
computation and data transfer costs to PIM-enabled memory. Third, we compare
SpMV execution on a real-world PIM system with 2528 PIM cores to
state-of-the-art CPU and GPU systems to study the performance and energy
efficiency of various devices. SparseP software package provides 25 SpMV
kernels for real PIM systems supporting the four most widely used compressed
matrix formats, and a wide range of data types. Our extensive evaluation
provides new insights and recommendations for software designers and hardware
architects to efficiently accelerate SpMV on real PIM systems."
520,"Our SparseP software package is freely and publicly available [88] to enable further research on
SpMV in current and future PIM systems.","(4) Design high-speed communication channels and optimized libraries for data transfers to/from
       thousands of DRAM banks of PIM-enabled memory.","The main contributions of this work are as follows:
    • We present SparseP, the first open-source SpMV software package for real PIM architectures.",2022-01-13 16:56:57+00:00,SparseP: Towards Efficient Sparse Matrix Vector Multiplication on Real Processing-In-Memory Systems,cs.AR,"['cs.AR', 'cs.DC', 'cs.PF']","[arxiv.Result.Author('Christina Giannoula'), arxiv.Result.Author('Ivan Fernandez'), arxiv.Result.Author('Juan Gómez-Luna'), arxiv.Result.Author('Nectarios Koziris'), arxiv.Result.Author('Georgios Goumas'), arxiv.Result.Author('Onur Mutlu')]","Several manufacturers have already started to commercialize near-bank
Processing-In-Memory (PIM) architectures. Near-bank PIM architectures place
simple cores close to DRAM banks and can yield significant performance and
energy improvements in parallel applications by alleviating data access costs.
Real PIM systems can provide high levels of parallelism, large aggregate memory
bandwidth and low memory access latency, thereby being a good fit to accelerate
the widely-used, memory-bound Sparse Matrix Vector Multiplication (SpMV)
kernel.
  This paper provides the first comprehensive analysis of SpMV on a real-world
PIM architecture, and presents SparseP, the first SpMV library for real PIM
architectures. We make three key contributions. First, we implement a wide
variety of software strategies on SpMV for a multithreaded PIM core and
characterize the computational limits of a single multithreaded PIM core.
Second, we design various load balancing schemes across multiple PIM cores, and
two types of data partitioning techniques to execute SpMV on thousands of PIM
cores: (1) 1D-partitioned kernels to perform the complete SpMV computation only
using PIM cores, and (2) 2D-partitioned kernels to strive a balance between
computation and data transfer costs to PIM-enabled memory. Third, we compare
SpMV execution on a real-world PIM system with 2528 PIM cores to
state-of-the-art CPU and GPU systems to study the performance and energy
efficiency of various devices. SparseP software package provides 25 SpMV
kernels for real PIM systems supporting the four most widely used compressed
matrix formats, and a wide range of data types. Our extensive evaluation
provides new insights and recommendations for software designers and hardware
architects to efficiently accelerate SpMV on real PIM systems."
521,"Our SparseP software package is freely and publicly available [88] to enable further research on
SpMV in current and future PIM systems.","(4) Design high-speed communication channels and optimized libraries for data transfers to/from
       thousands of DRAM banks of PIM-enabled memory.","The main contributions of this work are as follows:
    • We present SparseP, the first open-source SpMV software package for real PIM architectures.",2022-01-13 16:56:57+00:00,SparseP: Towards Efficient Sparse Matrix Vector Multiplication on Real Processing-In-Memory Systems,cs.AR,"['cs.AR', 'cs.DC', 'cs.PF']","[arxiv.Result.Author('Christina Giannoula'), arxiv.Result.Author('Ivan Fernandez'), arxiv.Result.Author('Juan Gómez-Luna'), arxiv.Result.Author('Nectarios Koziris'), arxiv.Result.Author('Georgios Goumas'), arxiv.Result.Author('Onur Mutlu')]","Several manufacturers have already started to commercialize near-bank
Processing-In-Memory (PIM) architectures. Near-bank PIM architectures place
simple cores close to DRAM banks and can yield significant performance and
energy improvements in parallel applications by alleviating data access costs.
Real PIM systems can provide high levels of parallelism, large aggregate memory
bandwidth and low memory access latency, thereby being a good fit to accelerate
the widely-used, memory-bound Sparse Matrix Vector Multiplication (SpMV)
kernel.
  This paper provides the first comprehensive analysis of SpMV on a real-world
PIM architecture, and presents SparseP, the first SpMV library for real PIM
architectures. We make three key contributions. First, we implement a wide
variety of software strategies on SpMV for a multithreaded PIM core and
characterize the computational limits of a single multithreaded PIM core.
Second, we design various load balancing schemes across multiple PIM cores, and
two types of data partitioning techniques to execute SpMV on thousands of PIM
cores: (1) 1D-partitioned kernels to perform the complete SpMV computation only
using PIM cores, and (2) 2D-partitioned kernels to strive a balance between
computation and data transfer costs to PIM-enabled memory. Third, we compare
SpMV execution on a real-world PIM system with 2528 PIM cores to
state-of-the-art CPU and GPU systems to study the performance and energy
efficiency of various devices. SparseP software package provides 25 SpMV
kernels for real PIM systems supporting the four most widely used compressed
matrix formats, and a wide range of data types. Our extensive evaluation
provides new insights and recommendations for software designers and hardware
architects to efficiently accelerate SpMV on real PIM systems."
522,"Our SparseP software package is freely and publicly available [88] to enable further research on
SpMV in current and future PIM systems.","(4) Design high-speed communication channels and optimized libraries for data transfers to/from
       thousands of DRAM banks of PIM-enabled memory.","The main contributions of this work are as follows:
    • We present SparseP, the first open-source SpMV software package for real PIM architectures.",2022-01-13 16:56:57+00:00,SparseP: Towards Efficient Sparse Matrix Vector Multiplication on Real Processing-In-Memory Systems,cs.AR,"['cs.AR', 'cs.DC', 'cs.PF']","[arxiv.Result.Author('Christina Giannoula'), arxiv.Result.Author('Ivan Fernandez'), arxiv.Result.Author('Juan Gómez-Luna'), arxiv.Result.Author('Nectarios Koziris'), arxiv.Result.Author('Georgios Goumas'), arxiv.Result.Author('Onur Mutlu')]","Several manufacturers have already started to commercialize near-bank
Processing-In-Memory (PIM) architectures. Near-bank PIM architectures place
simple cores close to DRAM banks and can yield significant performance and
energy improvements in parallel applications by alleviating data access costs.
Real PIM systems can provide high levels of parallelism, large aggregate memory
bandwidth and low memory access latency, thereby being a good fit to accelerate
the widely-used, memory-bound Sparse Matrix Vector Multiplication (SpMV)
kernel.
  This paper provides the first comprehensive analysis of SpMV on a real-world
PIM architecture, and presents SparseP, the first SpMV library for real PIM
architectures. We make three key contributions. First, we implement a wide
variety of software strategies on SpMV for a multithreaded PIM core and
characterize the computational limits of a single multithreaded PIM core.
Second, we design various load balancing schemes across multiple PIM cores, and
two types of data partitioning techniques to execute SpMV on thousands of PIM
cores: (1) 1D-partitioned kernels to perform the complete SpMV computation only
using PIM cores, and (2) 2D-partitioned kernels to strive a balance between
computation and data transfer costs to PIM-enabled memory. Third, we compare
SpMV execution on a real-world PIM system with 2528 PIM cores to
state-of-the-art CPU and GPU systems to study the performance and energy
efficiency of various devices. SparseP software package provides 25 SpMV
kernels for real PIM systems supporting the four most widely used compressed
matrix formats, and a wide range of data types. Our extensive evaluation
provides new insights and recommendations for software designers and hardware
architects to efficiently accelerate SpMV on real PIM systems."
821,"The toolbox is open-source       integer approximate multiplier can be deﬁned as:
      and can contribute to further research on approximate
      computing and quantization for DNNs.","Therefore, the average error of an
      approximate multiplication.","In the following sections, we ﬁrstly demonstrate our op-
timization method for the automatic design of approximate
multipliers and describe how to apply this method to the
multiplier for DNNs.",2022-01-20 07:10:48+00:00,HEAM: High-Efficiency Approximate Multiplier Optimization for Deep Neural Networks,cs.AR,"['cs.AR', 'cs.AI']","[arxiv.Result.Author('Su Zheng'), arxiv.Result.Author('Zhen Li'), arxiv.Result.Author('Yao Lu'), arxiv.Result.Author('Jingbo Gao'), arxiv.Result.Author('Jide Zhang'), arxiv.Result.Author('Lingli Wang')]","Deep neural networks (DNNs) are widely applied to artificial intelligence
applications, achieving promising performance at the cost of massive
computation, large power consumption, and high latency. Diverse solutions have
been proposed to cope with the challenge of latency and power consumption,
including light-weight neural networks and efficient hardware accelerators.
Moreover, research on quantization reduces the cost of computation and shows
the error resiliency of DNNs. To improve the latency and power efficiency of
hardware accelerators by exploiting the error resiliency, we propose an
application-specific optimization method for the automatic design of
approximate multipliers for DNNs. The proposed method optimizes an approximate
multiplier by minimizing the error according to the probability distributions
extracted from DNNs. By applying the optimized approximate multiplier to a DNN,
we obtain 1.60%, 15.32%, and 20.19% higher accuracies than the best reproduced
approximate multiplier on the widely used MNIST, FashionMNIST, and CIFAR-10
datasets, respectively, with 12.17% smaller area, 23.38% less power
consumption, and 16.53% lower latency. Compared with an exact multiplier, the
optimized multiplier reduces the area, power consumption, and latency by
36.88%, 52.45%, and 26.63%, respectively. Applied to FPGA-based and ASIC-based
DNN accelerator modules, our approximate multiplier obtains low LUT utilization
and small area respectively with competitive max frequency and power
consumption, which shows the effectiveness of the proposed method in reducing
the hardware cost of DNN accelerators."
2729,This plot shows variants of the Small model with         WNNs warrant further research in this area.,"The low
value b increases to compensate for the larger number of hash       latency and low energy beneﬁts that can be obtained from
functions.",up to 128 hash functions per Bloom ﬁlter.,2022-03-03 01:46:05+00:00,Weightless Neural Networks for Efficient Edge Inference,cs.AR,"['cs.AR', 'cs.LG']","[arxiv.Result.Author('Zachary Susskind'), arxiv.Result.Author('Aman Arora'), arxiv.Result.Author('Igor Dantas Dos Santos Miranda'), arxiv.Result.Author('Luis Armando Quintanilla Villon'), arxiv.Result.Author('Rafael Fontella Katopodis'), arxiv.Result.Author('Leandro Santiago de Araujo'), arxiv.Result.Author('Diego Leonel Cadette Dutra'), arxiv.Result.Author('Priscila Machado Vieira Lima'), arxiv.Result.Author('Felipe Maia Galvao Franca'), arxiv.Result.Author('Mauricio Breternitz Jr.'), arxiv.Result.Author('Lizy K. John')]","Weightless Neural Networks (WNNs) are a class of machine learning model which
use table lookups to perform inference. This is in contrast with Deep Neural
Networks (DNNs), which use multiply-accumulate operations. State-of-the-art WNN
architectures have a fraction of the implementation cost of DNNs, but still lag
behind them on accuracy for common image recognition tasks. Additionally, many
existing WNN architectures suffer from high memory requirements. In this paper,
we propose a novel WNN architecture, BTHOWeN, with key algorithmic and
architectural improvements over prior work, namely counting Bloom filters,
hardware-friendly hashing, and Gaussian-based nonlinear thermometer encodings
to improve model accuracy and reduce area and energy consumption. BTHOWeN
targets the large and growing edge computing sector by providing superior
latency and energy efficiency to comparable quantized DNNs. Compared to
state-of-the-art WNNs across nine classification datasets, BTHOWeN on average
reduces error by more than than 40% and model size by more than 50%. We then
demonstrate the viability of the BTHOWeN architecture by presenting an
FPGA-based accelerator, and compare its latency and resource usage against
similarly accurate quantized DNN accelerators, including Multi-Layer Perceptron
(MLP) and convolutional models. The proposed BTHOWeN models consume almost 80%
less energy than the MLP models, with nearly 85% reduction in latency. In our
quest for efficient ML on the edge, WNNs are clearly deserving of additional
attention."
2831,"These ndings support the                         Microprocessor,” in ISLPED, 2012.
adoption of AW in future CPUs targeting servers in datacen-
ters running microservices and calls for further research that        [14] R. Schöne, D. Molka, and M. Werner, “Wake-up Laten-
                                                                             cies for Processor Idle States on Current x86 Processors,”
                                                                             Computer Science-Research and Development, 2015.","Our detailed evaluation reveals that AW has the potential             [13] A. Rogers, D. Kaplan, E. Quinnell, and B. Kwan, “The
to realize power savings up to 71% per core at a worst-case                  Core-C6 (CC6) Sleep State of the AMD Bobcat x86
1% performance degradation.","13
[15] R. Schöne, T. Ilsche, M. Bielert, A. Gocht, and                  [28] CPUbenchmark, “AMD vs Intel Market Share,” ac-
      D. Hackenberg, “Energy E ciency Features of the In-                   cessed Nov 2020, https://bit.ly/3kV6kWY.",2022-03-04 19:56:56+00:00,AgileWatts: An Energy-Efficient CPU Core Idle-State Architecture for Latency-Sensitive Server Applications,cs.AR,['cs.AR'],"[arxiv.Result.Author('Jawad Haj Yahya'), arxiv.Result.Author('Haris Volos'), arxiv.Result.Author('Davide B. Bartolini'), arxiv.Result.Author('Georgia Antoniou'), arxiv.Result.Author('Jeremie S. Kim'), arxiv.Result.Author('Zhe Wang'), arxiv.Result.Author('Kleovoulos Kalaitzidis'), arxiv.Result.Author('Tom Rollet'), arxiv.Result.Author('Zhirui Chen'), arxiv.Result.Author('Ye Geng'), arxiv.Result.Author('Onur Mutlu'), arxiv.Result.Author('Yiannakis Sazeides')]","User-facing applications running in modern datacenters exhibit irregular
request patterns and are implemented using a multitude of services with tight
latency requirements. These characteristics render ineffective existing energy
conserving techniques when processors are idle due to the long transition time
from a deep idle power state (C-state). While prior works propose management
techniques to mitigate this inefficiency, we tackle it at its root with
AgileWatts (AW): a new deep C-state architecture optimized for datacenter
server processors targeting latency-sensitive applications. AW is based on
three key ideas. First, AW eliminates the latency overhead of saving/restoring
the core context (i.e., micro-architectural state) when powering-off/-on the
core in a deep idle power state by i) implementing medium-grained power-gates,
carefully distributed across the CPU core, and ii) retaining context in the
power-ungated domain. Second, AW eliminates the flush latency overhead (several
tens of microseconds) of the L1/L2 caches when entering a deep idle power state
by keeping L1/L2 cache content power-ungated. A minimal control logic also
remains power-ungated to serve cache coherence traffic (i.e., snoops)
seamlessly. AW implements sleep-mode in caches to reduce caches leakage power
consumption and lowers a core voltage to the minimum operational voltage level
to minimize the leakage power of the power-ungated domain. Third, using a
state-of-the-art power efficient all-digital phase-locked loop (ADPLL) clock
generator, AW keeps the PLL active and locked during the idle state, further
cutting precious microseconds of wake-up latency at a negligible power cost.
Our evaluation with an accurate simulator calibrated against an Intel Skylake
server shows that AW reduces the energy consumption of Memcached by up to 71%
(35% on average) with up to 1% performance degradation."
2832,"Be-                       latency-critical applications and calls for further research into
sides C-states, the other major power-management feature of            lowering the latency of deep idle states.","These results support
                                                                       the adoption of AW in future datacenter server CPUs running
Fine-grained, Latency-Aware DVFS Management.","modern processors is dynamic voltage and frequency scaling
(DVFS).",2022-03-04 19:56:56+00:00,AgileWatts: An Energy-Efficient CPU Core Idle-State Architecture for Latency-Sensitive Server Applications,cs.AR,['cs.AR'],"[arxiv.Result.Author('Jawad Haj Yahya'), arxiv.Result.Author('Haris Volos'), arxiv.Result.Author('Davide B. Bartolini'), arxiv.Result.Author('Georgia Antoniou'), arxiv.Result.Author('Jeremie S. Kim'), arxiv.Result.Author('Zhe Wang'), arxiv.Result.Author('Kleovoulos Kalaitzidis'), arxiv.Result.Author('Tom Rollet'), arxiv.Result.Author('Zhirui Chen'), arxiv.Result.Author('Ye Geng'), arxiv.Result.Author('Onur Mutlu'), arxiv.Result.Author('Yiannakis Sazeides')]","User-facing applications running in modern datacenters exhibit irregular
request patterns and are implemented using a multitude of services with tight
latency requirements. These characteristics render ineffective existing energy
conserving techniques when processors are idle due to the long transition time
from a deep idle power state (C-state). While prior works propose management
techniques to mitigate this inefficiency, we tackle it at its root with
AgileWatts (AW): a new deep C-state architecture optimized for datacenter
server processors targeting latency-sensitive applications. AW is based on
three key ideas. First, AW eliminates the latency overhead of saving/restoring
the core context (i.e., micro-architectural state) when powering-off/-on the
core in a deep idle power state by i) implementing medium-grained power-gates,
carefully distributed across the CPU core, and ii) retaining context in the
power-ungated domain. Second, AW eliminates the flush latency overhead (several
tens of microseconds) of the L1/L2 caches when entering a deep idle power state
by keeping L1/L2 cache content power-ungated. A minimal control logic also
remains power-ungated to serve cache coherence traffic (i.e., snoops)
seamlessly. AW implements sleep-mode in caches to reduce caches leakage power
consumption and lowers a core voltage to the minimum operational voltage level
to minimize the leakage power of the power-ungated domain. Third, using a
state-of-the-art power efficient all-digital phase-locked loop (ADPLL) clock
generator, AW keeps the PLL active and locked during the idle state, further
cutting precious microseconds of wake-up latency at a negligible power cost.
Our evaluation with an accurate simulator calibrated against an Intel Skylake
server shows that AW reduces the energy consumption of Memcached by up to 71%
(35% on average) with up to 1% performance degradation."
