,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
894,"While these considerations will not be important for the complexity-theoretic statements of
    the main theorem, further research on the complexity of ksat-prob≥δ could address these
    questions.","It is,
    however, not clear whether such a family exists as the natural way of searching for packings
    or sunﬂowers involves color coding, which seems to need a quadratic size for derandomization.","4.2 Lower Complexity Bounds for the Strictly-Greater-Than Problem

    We now show that ksat-prob>δ is NL- or NP-hard for certain values of k and δ.",2022-01-21 21:31:20+00:00,On the Satisfaction Probability of $k$-CNF Formulas,cs.CC,"['cs.CC', 'cs.LO', 'F.1.3; F.4.1; F.2.2']",[arxiv.Result.Author('Till Tantau')],"The satisfaction probability $\sigma(\phi) := \Pr_{\beta:\mathrm{vars}(\phi)
\to \{0,1\}}[\beta\models \phi]$ of a propositional formula $\phi$ is the
likelihood that a random assignment $\beta$ makes the formula true. We study
the complexity of the problem $k$sat-prob$_{>\delta} = \{ \phi$ is a
$k\mathrm{cnf}$ formula $\mid \sigma(\phi) > \delta\}$ for fixed $k$ and
$\delta$. While 3sat-prob$_{>0}$ = 3sat is NP-complete and sat-prob$_{>1/2}$ is
PP-complete, Akmal and Williams recently showed 3sat-prob$_{>1/2} \in$ P and
4sat-prob$_{>1/2} \in$ NP-complete; but the methods used to prove these
striking results stay silent about, say, 4sat-prob$_{>1/3}$, leaving the
computational complexity of $k$sat-prob$_{>\delta}$ open for most $k$ and
$\delta$. In the present paper we give a complete characterization in the form
of a trichotomy: $k$sat-prob$_{>\delta}$ lies in AC$^0$, is NL-complete, or is
NP-complete; and given $k$ and $\delta$ we can decide which of the three
applies. The proof of the trichotomy hinges on a new order-theoretic insight:
Every set of $k$cnf formulas contains a formula of maximum satisfaction
probability. This deceptively simple result allows us to (1) kernelize
$k$sat-prob$_{\ge \delta}$, (2) show that the variables of the kernel form a
strong backdoor set when the trichotomy states membership in AC$^0$ or NL, and
(3) prove a new locality property for the models of second-order formulas that
describe problems like $k$sat-prob$_{\ge \delta}$. The locality property will
allow us to prove a conjecture of Akmal and Williams: The majority-of-majority
satisfaction problem for $k$cnfs lies in P for all $k$."
895,"While these considerations will not be important for the complexity-theoretic statements of
    the main theorem, further research on the complexity of ksat-prob≥δ could address these
    questions.","It is,
    however, not clear whether such a family exists as the natural way of searching for packings
    or sunﬂowers involves color coding, which seems to need a quadratic size for derandomization.","4.2 Lower Complexity Bounds for the Strictly-Greater-Than Problem

    We now show that ksat-prob>δ is NL- or NP-hard for certain values of k and δ.",2022-01-21 21:31:20+00:00,On the Satisfaction Probability of $k$-CNF Formulas,cs.CC,"['cs.CC', 'cs.LO', 'F.1.3; F.4.1; F.2.2']",[arxiv.Result.Author('Till Tantau')],"The satisfaction probability $\sigma(\phi) := \Pr_{\beta:\mathrm{vars}(\phi)
\to \{0,1\}}[\beta\models \phi]$ of a propositional formula $\phi$ is the
likelihood that a random assignment $\beta$ makes the formula true. We study
the complexity of the problem $k$sat-prob$_{>\delta} = \{ \phi$ is a
$k\mathrm{cnf}$ formula $\mid \sigma(\phi) > \delta\}$ for fixed $k$ and
$\delta$. While 3sat-prob$_{>0}$ = 3sat is NP-complete and sat-prob$_{>1/2}$ is
PP-complete, Akmal and Williams recently showed 3sat-prob$_{>1/2} \in$ P and
4sat-prob$_{>1/2} \in$ NP-complete; but the methods used to prove these
striking results stay silent about, say, 4sat-prob$_{>3/4}$, leaving the
computational complexity of $k$sat-prob$_{>\delta}$ open for most $k$ and
$\delta$. In the present paper we give a complete characterization in the form
of a trichotomy: $k$sat-prob$_{>\delta}$ lies in AC$^0$, is NL-complete, or is
NP-complete; and given $k$ and $\delta$ we can decide which of the three
applies. The proof of the trichotomy hinges on a new order-theoretic insight:
Every set of $k$cnf formulas contains a formula of maximum satisfaction
probability. This deceptively simple result allows us to (1) kernelize
$k$sat-prob$_{\ge \delta}$, (2) show that the variables of the kernel form a
strong backdoor set when the trichotomy states membership in AC$^0$ or NL, and
(3) prove a new locality property for the models of second-order formulas that
describe problems like $k$sat-prob$_{\ge \delta}$. The locality property will
allow us to prove a conjecture of Akmal and Williams: The majority-of-majority
satisfaction problem for $k$cnfs lies in P for all $k$."
904,"We also mention that the existence of algorithms for the
problems Count-IP and Opt-And-Count-IP in the form Standard-Form with
multiplicities, parameterized by k and polynomial by n, is open, and it is a
good direction for further research.","To handle the problems with multiplicities, we just take the com-
plexity bound (13).","Sparse ILP and Applications                                      13

Table 2: New complexity bounds for ILP problems in the form Standard-Form

           Problems:                                               T ime : 1
   Opt-IP without mult.",2022-01-22 08:04:18+00:00,Faster Algorithms for Sparse ILP and Hypergraph Multi-Packing/Multi-Cover Problems,cs.CC,"['cs.CC', 'cs.DS', 'math.CO']","[arxiv.Result.Author('Dmitry Gribanov'), arxiv.Result.Author('Dmitry Malyshev'), arxiv.Result.Author('Nikolai Zolotykh')]","In our paper, we consider the following general problems: check feasibility,
count the number of feasible solutions, find an optimal solution, and count the
number of optimal solutions in $P \cap Z^n$, assuming that $P$ is a polyhedron,
defined by systems $A x \leq b$ or $Ax = b,\, x \geq 0$ with a sparse matrix
$A$. We develop algorithms for these problems that outperform state of the art
ILP and counting algorithms on sparse instances with bounded elements.
  We use known and new methods to develop new exponential algorithms for
Edge/Vertex Multi-Packing/Multi-Cover Problems on graphs and hypergraphs. This
framework consists of many different problems, such as the Stable Multi-set,
Vertex Multi-cover, Dominating Multi-set, Set Multi-cover, Multi-set
Multi-cover, and Hypergraph Multi-matching problems, which are natural
generalizations of the standard Stable Set, Vertex Cover, Dominating Set, Set
Cover, and Maximal Matching problems."
905,"We also mention that the existence of algorithms for the
problems Count-IP and Opt-And-Count-IP in the form Standard-Form with
multiplicities, parameterized by k and polynomial by n, is open, and it is a
good direction for further research.","To handle the problems with multiplicities, we just take the com-
plexity bound (13).","Table 2: New complexity bounds for ILP problems in the form Standard-Form

           Problems:                                               T ime : 1
   Opt-IP without mult.",2022-01-22 08:04:18+00:00,Faster Algorithms for Sparse ILP and Hypergraph Multi-Packing/Multi-Cover Problems,cs.CC,"['cs.CC', 'cs.DS', 'math.CO']","[arxiv.Result.Author('Dmitry Gribanov'), arxiv.Result.Author('Dmitry Malyshev'), arxiv.Result.Author('Nikolai Zolotykh')]","In our paper, we consider the following general problems: check feasibility,
count the number of feasible solutions, find an optimal solution, and count the
number of optimal solutions in $P \cap Z^n$, assuming that $P$ is a polyhedron,
defined by systems $A x \leq b$ or $Ax = b,\, x \geq 0$ with a sparse matrix
$A$. We develop algorithms for these problems that outperform state of the art
ILP and counting algorithms on sparse instances with bounded elements.
  We use known and new methods to develop new exponential algorithms for
Edge/Vertex Multi-Packing/Multi-Cover Problems on graphs and hypergraphs. This
framework consists of many different problems, such as the Stable Multi-set,
Vertex Multi-cover, Dominating Multi-set, Set Multi-cover, Multi-set
Multi-cover, and Hypergraph Multi-matching problems, which are natural
generalizations of the standard Stable Set, Vertex Cover, Dominating Set, Set
Cover, and Maximal Matching problems."
2151,"We advocate for the theory of total search problems (TFNP)
                                                as a unifying language for these connections and discuss how this perspective suggests a whole
                                                programme for further research.","de Rezende1 M. G¨o¨os2 R. Robere3

                                                                                                        Abstract
                                                    We survey lower-bound results in complexity theory that have been obtained via new-
                                                found interconnections between propositional proof complexity, boolean circuit complexity, and
                                                query/communication complexity.","1 Introduction

                                        In recent years there has been a large number of new results in both propositional proof complex-
                                        ity and boolean circuit complexity.",2022-02-17 21:46:43+00:00,"Proofs, Circuits, and Communication",cs.CC,['cs.CC'],"[arxiv.Result.Author('Susanna F. de Rezende'), arxiv.Result.Author('Mika Göös'), arxiv.Result.Author('Robert Robere')]","We survey lower-bound results in complexity theory that have been obtained
via newfound interconnections between propositional proof complexity, boolean
circuit complexity, and query/communication complexity. We advocate for the
theory of total search problems (TFNP) as a unifying language for these
connections and discuss how this perspective suggests a whole programme for
further research."
2152,"5 Perspectives and Open Problems

In this ﬁnal section, we discuss directions for further research inspired by the themes of this survey.","We note that, in contrast to [BEGJ00], for this application it is indeed important that the
communication model of the lifting theorem is real communication protocols and not triangle-dags.","Our main conceptual message is this: We advocate to foster the interplay between the diﬀerent
subﬁelds of complexity theory—circuit complexity, proof complexity, query/communication com-
plexity, and the theory of total search problems.",2022-02-17 21:46:43+00:00,"Proofs, Circuits, and Communication",cs.CC,['cs.CC'],"[arxiv.Result.Author('Susanna F. de Rezende'), arxiv.Result.Author('Mika Göös'), arxiv.Result.Author('Robert Robere')]","We survey lower-bound results in complexity theory that have been obtained
via newfound interconnections between propositional proof complexity, boolean
circuit complexity, and query/communication complexity. We advocate for the
theory of total search problems (TFNP) as a unifying language for these
connections and discuss how this perspective suggests a whole programme for
further research."
3047,"It is precisely
because of this link between the security of LWE and BDD that further study of Eldar and Hallgren’s
algorithm for BDD is so important.","Elsewhere in the paper, they proved the opposite direction of the reduction as well, meaning
that the conjectured hardness of γ-GAP-SVP is equivalent to the hardness of BDD.","2.4 Survey of Quantum Approaches to Lattice Problems

Before Eldar and Hallgren’s algorithm for BDD, a number of other quantum algorithms have been

proposed for diﬀerent lattice problems.",2022-02-18 04:09:41+00:00,Quantum and Classical Algorithms for Bounded Distance Decoding,cs.CC,"['cs.CC', 'cs.DS', 'quant-ph']","[arxiv.Result.Author('Richard Allen'), arxiv.Result.Author('Ratip Emin Berker'), arxiv.Result.Author('Sílvia Casacuberta'), arxiv.Result.Author('Michael Gul')]","In this paper, we provide a comprehensive overview of a recent debate over
the quantum versus classical solvability of bounded distance decoding (BDD).
Specifically, we review the work of Eldar and Hallgren [EH22], [Hal21]
demonstrating a quantum algorithm solving $\lambda_1 2^{-\Omega(\sqrt{k \log
q})}$-BDD in polynomial time for lattices of periodicity $q$, finite group rank
$k$, and shortest lattice vector length $\lambda_1$. Subsequently, we prove the
results of [DvW21a], [DvW21b] with far greater detail and elaboration than in
the original work. Namely, we show that there exists a deterministic, classical
algorithm achieving the same result."
3334,"5 with references to possible future work which focuses on further research
regarding computational complexity and decidability issues on the reachability problems of NN or
deep learning models in a broader sense.",We conclude in Sec.,2.,2022-03-15 14:25:44+00:00,Reachability In Simple Neural Networks,cs.CC,"['cs.CC', 'cs.LG']","[arxiv.Result.Author('Marco Sälzer'), arxiv.Result.Author('Martin Lange')]","We investigate the complexity of the reachability problem for (deep) neural
networks: does it compute valid output given some valid input? It was recently
claimed that the problem is NP-complete for general neural networks and
specifications over the input/output dimension given by conjunctions of linear
inequalities. We recapitulate the proof and repair some flaws in the original
upper and lower bound proofs. Motivated by the general result, we show that
NP-hardness already holds for restricted classes of simple specifications and
neural networks. Allowing for a single hidden layer and an output dimension of
one as well as neural networks with just one negative, zero and one positive
weight or bias is sufficient to ensure NP-hardness. Additionally, we give a
thorough discussion and outlook of possible extensions for this direction of
research on neural network verification."
3335,"5 with references to possible future work which focuses on further research
regarding computational complexity and decidability issues on the reachability problems of NN or
deep learning models in a broader sense.",We conclude in Sec.,2.,2022-03-15 14:25:44+00:00,Reachability In Simple Neural Networks,cs.CC,"['cs.CC', 'cs.LG']","[arxiv.Result.Author('Marco Sälzer'), arxiv.Result.Author('Martin Lange')]","We investigate the complexity of the reachability problem for (deep) neural
networks: does it compute valid output given some valid input? It was recently
claimed that the problem is NP-complete for general neural networks and
specifications over the input/output dimension given by conjunctions of linear
inequalities. We recapitulate the proof and repair some flaws in the original
upper and lower bound proofs. Motivated by the general result, we show that
NP-hardness already holds for restricted classes of simple specifications and
neural networks. Allowing for a single hidden layer and an output dimension of
one as well as neural networks with just one negative, zero and one positive
weight or bias is sufficient to ensure NP-hardness. Additionally, we give a
thorough discussion and outlook of possible extensions for this direction of
research on neural network verification."
3489,"7 Discussion

In this section, we will discuss the importance of the paper by Reingold[1] and some further research
based on the paper.",This is a direct consequence of Theorem 4.1 and Theorem 6.2.,The paper by Reingold has made progress towards discovering the relationship between L and RL.,2022-03-18 04:01:15+00:00,On the Problem of Undirected st-connectivity,cs.CC,"['cs.CC', 'F.1.3']","[arxiv.Result.Author('Shilun Li'), arxiv.Result.Author('Alex Lee')]","In this paper, we discuss an algorithm for the problem of undirected
st-connectivity that is deterministic and log-space, namely that of Reingold
within his 2008 paper ""Undirected Connectivity in Log-Space"". We further
present a separate proof by Rozenman and Vadhan of $\text{USTCONN} \in L$ and
discuss its similarity with Reingold's proof. Undirected st-connectively is
known to be complete for the complexity class SL--problems solvable by
symmetric, non-deterministic, log-space algorithms. Likewise, by Aleliunas et.
al., it is known that undirected st-connectivity is within the RL complexity
class, problems solvable by randomized (probabilistic) Turing machines with
one-sided error in logarithmic space and polynomial time. Finally, our paper
also shows that undirected st-connectivity is within the L complexity class,
problems solvable by deterministic Turing machines in logarithmic space.
Leading from this result, we shall explain why SL = L and discuss why is it
believed that RL = L."
