,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
1020,"This highlights the             two complement each other for assessing systemic risk
importance of further research in this area to further under-       in ﬁnancial networks.","curring will affect the subsequent network structure whilst         [14] explore both community and centrality methods to
accounting for communities and disconnected components              identify nodes that are systemically ‘too interconnected
provides useful insights into the role of network structure         to fail’ or ‘too important to fail’, and they note that the
in the evolution of these networks.","It is also worth noting how both

                                                                 2
                                                                   A PREPRINT - JANUARY 27, 2022

centrality and community detection can be intuitively con-         to indicate bipartivity, as well as presenting methods to
sidered using the concept of a random walk, with a number          evaluate network correlations, such as assortativity, using
of methods for community detection, and also for ﬁnd-              the modularity matrix.",2022-01-25 20:43:39+00:00,Structural importance and evolution: an application to financial transaction networks,cs.CE,['cs.CE'],"[arxiv.Result.Author('Isobel Seabrook'), arxiv.Result.Author('Paolo Barucca'), arxiv.Result.Author('Fabio Caccioli')]","A fundamental problem in the study of networks is the identification of
important nodes. This is typically achieved using centrality metrics, which
rank nodes in terms of their position in the network. This approach works well
for static networks, that do not change over time, but does not consider the
dynamics of the network. Here we propose instead to measure the importance of a
node based on how much a change to its strength will impact the global
structure of the network, which we measure in terms of the spectrum of its
adjacency matrix. We apply our method to the identification of important nodes
in equity transaction networks, and we show that, while it can still be
computed from a static network, our measure is a good predictor of nodes
subsequently transacting. This implies that static representations of temporal
networks can contain information about their dynamics."
1021,"Our ﬁndings present us with a novel
used centrality measures and also to degree, community            insight into the evolutionary behaviour of transaction net-
label and the number of times a node has appeared his-            works for the capital markets, which we hope will motivate
torically, demonstrating that our measure is not simply           further research into the links between structural impor-
acting as a proxy for these key node properties.","For        crisis, enduring stress in the money markets was observed
these networks, which all show complex structures with            due to the interdependence of banks, who rationally sought
both disconnected communities and ‘hub’ nodes, we com-            to protect themselves from infection from other banks by
pare our measures of node importance to two commonly              hoarding liquidity.","When             tance, network evolution and how these relate to market
exploring whether static node importance is able to pre-          stability constraints.",2022-01-25 20:43:39+00:00,Structural importance and evolution: an application to financial transaction networks,cs.CE,['cs.CE'],"[arxiv.Result.Author('Isobel Seabrook'), arxiv.Result.Author('Paolo Barucca'), arxiv.Result.Author('Fabio Caccioli')]","A fundamental problem in the study of networks is the identification of
important nodes. This is typically achieved using centrality metrics, which
rank nodes in terms of their position in the network. This approach works well
for static networks, that do not change over time, but does not consider the
dynamics of the network. Here we propose instead to measure the importance of a
node based on how much a change to its strength will impact the global
structure of the network, which we measure in terms of the spectrum of its
adjacency matrix. We apply our method to the identification of important nodes
in equity transaction networks, and we show that, while it can still be
computed from a static network, our measure is a good predictor of nodes
subsequently transacting. This implies that static representations of temporal
networks can contain information about their dynamics."
1022,"This highlights the
require the ability to identify important players and to un-        importance of further research in this area to further under-
derstand how their actions affect other market participants         stand how network structure relates to stability, particularly
as well as the evolution of the system as a whole.","Keywords

                                        Temporal network, spectral perturbation, node predictability
                                                                    JUNE 23, 2022

1 Introduction                                                      accounting for communities and disconnected components
                                                                    provides useful insights into the role of network structure
Regulating and developing policies for ﬁnancial markets             in the evolution of these networks.",This can         in the context of ﬁnancial networks.,2022-01-25 20:43:39+00:00,Structural importance and evolution: an application to financial transaction networks,cs.CE,['cs.CE'],"[arxiv.Result.Author('Isobel Seabrook'), arxiv.Result.Author('Paolo Barucca'), arxiv.Result.Author('Fabio Caccioli')]","A fundamental problem in the study of networks is the identification of
important nodes. This is typically achieved using centrality metrics, which
rank nodes in terms of their position in the network. This approach works well
for static networks, that do not change over time, but does not consider the
dynamics of the network. Here we propose instead to measure the importance of a
node based on how much a change to its strength will impact the global
structure of the network, which we measure in terms of the spectrum of its
adjacency matrix. We apply our method to the identification of important nodes
in equity transaction networks, and we show that, while it can still be
computed from a static network, our measure is a good predictor of nodes
subsequently transacting. This implies that static representations of temporal
networks can contain information about their dynamics."
1023,"For       works for the capital markets, which we hope will motivate
these networks, which all show complex structures with           further research into the links between structural impor-
both disconnected communities and ‘hub’ nodes, we com-           tance, network evolution and how these relate to market
pare our measures of node importance to two commonly             stability constraints.","Our ﬁndings present us with a novel
of complex structures, which makes our methods particu-          insight into the evolutionary behaviour of transaction net-
larly suited for studying equity transaction networks.","used centrality measures and also to degree, community
label and the number of times a node has appeared his-           It is worth noting that our measure of structural node im-
torically, demonstrating that our measure is not simply          portance, mb, is not suitable for use on random networks,
acting as a proxy for these key node properties.",2022-01-25 20:43:39+00:00,Structural importance and evolution: an application to financial transaction networks,cs.CE,['cs.CE'],"[arxiv.Result.Author('Isobel Seabrook'), arxiv.Result.Author('Paolo Barucca'), arxiv.Result.Author('Fabio Caccioli')]","A fundamental problem in the study of networks is the identification of
important nodes. This is typically achieved using centrality metrics, which
rank nodes in terms of their position in the network. This approach works well
for static networks, that do not change over time, but does not consider the
dynamics of the network. Here we propose instead to measure the importance of a
node based on how much a change to its strength will impact the global
structure of the network, which we measure in terms of the spectrum of its
adjacency matrix. We apply our method to the identification of important nodes
in equity transaction networks, and we show that, while it can still be
computed from a static network, our measure is a good predictor of nodes
subsequently transacting. This implies that static representations of temporal
networks can contain information about their dynamics."
1024,"This highlights the
require the ability to identify important players and to un-        importance of further research in this area to further under-
derstand how their actions affect other market participants         stand how network structure relates to stability, particularly
as well as the evolution of the system as a whole.","SEPTEMBER 9, 2022

1 Motivation                                                        accounting for communities and disconnected components
                                                                    provides useful insights into the role of network structure
Regulating and developing policies for ﬁnancial markets             in the evolution of these networks.",This can         in the context of ﬁnancial networks.,2022-01-25 20:43:39+00:00,Structural importance and evolution: an application to financial transaction networks,cs.CE,['cs.CE'],"[arxiv.Result.Author('Isobel Seabrook'), arxiv.Result.Author('Paolo Barucca'), arxiv.Result.Author('Fabio Caccioli')]","A fundamental problem in the study of networks is the identification of
important nodes. This is typically achieved using centrality metrics, which
rank nodes in terms of their position in the network. This approach works well
for static networks, that do not change over time, but does not consider the
dynamics of the network. Here we propose instead to measure the importance of a
node based on how much a change to its strength will impact the global
structure of the network, which we measure in terms of the spectrum of its
adjacency matrix. We apply our method to the identification of important nodes
in equity transaction networks, and we show that, while it can still be
computed from a static network, our measure is a good predictor of nodes
subsequently transacting. This implies that static representations of temporal
networks can contain information about their dynamics."
1025,"Additional
insight into the evolutionary behaviour of transaction net-     work could also include considering whether the nodes that
works for the capital markets, which we hope will motivate      are changing in these networks do so persistently, as this
further research into the links between structural impor-       would allow us to gain deeper insights into the evolutionary
tance, network evolution and how these relate to market         behaviour of these networks and also an exploration of the
stability constraints.","Our ﬁndings present us with a novel         relation networks [49, 50, 51, 52, 53, 54, 55].","resultant structural changes that occur when an important
                                                                node changes.",2022-01-25 20:43:39+00:00,Structural importance and evolution: an application to financial transaction networks,cs.CE,['cs.CE'],"[arxiv.Result.Author('Isobel Seabrook'), arxiv.Result.Author('Paolo Barucca'), arxiv.Result.Author('Fabio Caccioli')]","A fundamental problem in the study of networks is the identification of
important nodes. This is typically achieved using centrality metrics, which
rank nodes in terms of their position in the network. This approach works well
for static networks, that do not change over time, but does not consider the
dynamics of the network. Here we propose instead to measure the importance of a
node based on how much a change to its strength will impact the global
structure of the network, which we measure in terms of the spectrum of its
adjacency matrix. We apply our method to the identification of important nodes
in equity transaction networks, and we show that, while it can still be
computed from a static network, our measure is a good predictor of nodes
subsequently transacting. This implies that static representations of temporal
networks can contain information about their dynamics."
1254,"Due to the limited amount of data available at locations 3 and 4 and the
space limitiations of this paper these locations are omitted from further study.","Alternatively, one could partly trim stationary parts of a
trajectory, hence keeping all of the more interesting parts.",It can be veriﬁed that the method in Sec.,2022-01-30 19:06:00+00:00,Road User Position Prediction in Urban Environments via Locally Weighted Learning,cs.CE,['cs.CE'],"[arxiv.Result.Author('Angelos Toytziaridis'), arxiv.Result.Author('Paolo Falcone'), arxiv.Result.Author('Jonas Sjöberg')]","Prediction of the future position of a target road user given its current
position, velocity and type is formulated as a weighted average. Weights are
determined from data of previously observed road users, specifically from those
that are most similar to the target. This formulation results in an
interpretable model with few parameters. The model is validated on a dataset of
vehicles, bicycles, and pedestrians in real-world traffic situations. The model
outperforms the baseline constant velocity model, wheras a baseline neural
network model shows comparable performance, but this model lacks the same level
of interpretability. A comparison is made with state-of-the-arts, where these
show superior performance on a sparse dataset, for which it is expected that
the weighted average model works less well. With some further refinements a
weighted average formulation could yield a reliable and interpretable model, in
constrast to one which is difficult to analyze and has a huge number of
uninterpretable parameters."
1765,"Some potential functionalities of this software are concluded as: (1) designing
the non-spherical particle and generating its three-dimensional geometric data, which
can be conveniently imported to other commercial numerical software (e.g., COMSOL
Multiphysics) for further research; (2) visualizing the specified plane wavefield or
piston-like wavefield from a user-customized transducer array; (3) estimating the
acoustic radiation force and torque exerted on the particle designed in (1), and the
incident wavefield is specified in (2); (4) predicting and visualizing the time-variant
dynamic process of the particle designed in (1) under the incident wavefield given in
(2), i.e., illustrating the time-variant acoustophoretic process of the particle.","The host fluid and particle boundary conditions also remain
flexible.","A brief overview of the software, Soundiation, is described in section 2 (more
explanations in how to use the software can refer to the user manual given in the
“Soundiation-Acoustophoresis ./docs/user_manual” folder).",2022-02-06 04:03:01+00:00,Soundiation: A multi-functional GUI-based software in evaluation of the acoustophoresis by the acoustic radiation force and torque on arbitrary axisymmetric objects,cs.CE,"['cs.CE', 'physics.app-ph']","[arxiv.Result.Author('Tianquan Tang'), arxiv.Result.Author('Lixi Huang')]","Acoustic radiation force and torque arising from wave scattering are commonly
used to manipulate micro-objects without contact. We applied the partial wave
expansion series and the conformal transformation approach to estimate the
radiation force and torque exerted on an axisymmetric particle. Meanwhile,
translational and rotational transformations are required to keep the
coordinate system consistent [1]. Although these theoretical derivations have
been well established, coding the required systems, including generation of the
wave function, implementation of the transformations, calculations between
modules, etc., is non-trivial and time-consuming. Here, a new open-source,
MATLAB-based software, called Soundiation, is provided to address the radiation
force and torque while supporting the dynamic prediction of non-spherical
particles. The implementation is basically generic, and its applicability is
demonstrated through the validation of numerical methods. Furthermore, a
graphical user interface is provided so that it can be used and extended
easily."
1904,"A further study revealed that such discrepancy is associated
with the contribution of the continuous circumferential mortar joint, which is spread along the

                    21
entire thickness of the arch in the macroscale description.","The macroscale models, however, overestimate the peak load of about 15% compared to the
mesoscale and experimental results.","In fact, a mesoscale simulation for a
single ring arch with the same geometrical and mechanical characteristics of the analysed two-
ring masonry arch leads to a peak load very close to that predicted by the proposed macroscale
model (Figure 7a).",2022-02-13 11:36:48+00:00,A macro modelling continuum approach with embedded discontinuities for the assessment of masonry arch bridges under earthquake loading,cs.CE,['cs.CE'],"[arxiv.Result.Author('B. Pantò'), arxiv.Result.Author('S. Grosman'), arxiv.Result.Author('L. Macorini'), arxiv.Result.Author('B. A. Izzuddin')]","The paper presents an effective macro-modelling approach, utilising an
anisotropic material model with embedded discontinuities, for masonry arches
and bridges under cyclic loading, including dynamic actions induced by
earthquakes. Realistic numerical simulations of masonry arch bridges under
static and dynamic loading require accurate models representing the
anionotropic nature of masonry and material nonlinearity due to opening and
closure of tensile cracks and shear sliding along mortar joints. The proposed
3D modelling approach allows for masonry bond via simple calibration, and
enables the representation of tensile cracking, crushing and shear damage in
the brickwork. A two-scale representation is adopted, where 3D continuum
elements at the structural scale are linked to embedded nonlinear interfaces
representing the meso-structure of the material. The potential and accuracy of
the proposed approach are shown in numerical examples and comparisons against
physical experiments on masonry arches and bridges under static and dynamic
loading."
2565,"To further study the performance of the trained GPR model, we plot the scaled true energy y¯true

                          13
versus the scaled predicted energy y¯pred.","For this reason, we chose GPR as our surrogate model for the edge update functions.","For consistency, the scaling uses training data as the refer-
ence.",2022-02-24 00:20:28+00:00,Learning the nonlinear dynamics of soft mechanical metamaterials with graph networks,cs.CE,"['cs.CE', 'cs.LG']","[arxiv.Result.Author('Tianju Xue'), arxiv.Result.Author('Sigrid Adriaenssens'), arxiv.Result.Author('Sheng Mao')]","The dynamics of soft mechanical metamaterials provides opportunities for many
exciting engineering applications. Previous studies often use discrete systems,
composed of rigid elements and nonlinear springs, to model the nonlinear
dynamic responses of the continuum metamaterials. Yet it remains a challenge to
accurately construct such systems based on the geometry of the building blocks
of the metamaterial. In this work, we propose a machine learning approach to
address this challenge. A metamaterial graph network (MGN) is used to represent
the discrete system, where the nodal features contain the positions and
orientations the rigid elements, and the edge update functions describe the
mechanics of the nonlinear springs. We use Gaussian process regression as the
surrogate model to characterize the elastic energy of the nonlinear springs as
a function of the relative positions and orientations of the connected rigid
elements. The optimal model can be obtained by ""learning"" from the data
generated via finite element calculation over the corresponding building block
of the continuum metamaterial. Then, we deploy the optimal model to the network
so that the dynamics of the metamaterial at the structural scale can be
studied. We verify the accuracy of our machine learning approach against
several representative numerical examples. In these examples, the proposed
approach can significantly reduce the computational cost when compared to
direct numerical simulation while reaching comparable accuracy. Moreover,
defects and spatial inhomogeneities can be easily incorporated into our
approach, which can be useful for the rational design of soft mechanical
metamaterials."
