,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
4430,"We hope this work will instigate further research
metric oscillator Ising solvers and showed that the system     into the design of physical systems that naturally perform
exactly performs Lagrange multiplier primal-dual opti-         optimization (physical optimizers) of various ﬂavors for
mization.","CONCLUSION                         important optimization problems and are used as analog
                                                               co-processors or accelerators alongside standard digital
   In this paper, we studied the dynamics of coupled para-     chips.",The signal oscillator voltages represent the         important applications like machine learning.,2022-04-05 20:15:13+00:00,Equivalence of coupled parametric oscillator dynamics to Lagrange multiplier primal-dual optimization,cs.ET,"['cs.ET', 'math.OC']","[arxiv.Result.Author('Sri Krishna Vadlamani'), arxiv.Result.Author('Tianyao Patrick Xiao'), arxiv.Result.Author('Eli Yablonovitch')]","There has been a recent surge of interest in physics-based solvers for
combinatorial optimization problems. We present a dynamical solver for the
Ising problem that is comprised of a network of coupled parametric oscillators
and show that it implements Lagrange multiplier constrained optimization. We
show that the pump depletion effect, which is intrinsic to parametric
oscillators, enforces binary constraints and enables the system's continuous
analog variables to converge to the optimal binary solutions to the
optimization problem. Moreover, there is an exact correspondence between the
equations of motion for the coupled oscillators and the update rules in the
primal-dual method of Lagrange multipliers. Though our analysis is performed
using electrical LC oscillators, it can be generalized to any system of coupled
parametric oscillators. We simulate the dynamics of the coupled oscillator
system and demonstrate that the performance of the solver on a set of benchmark
problems is comparable to the best-known results obtained by digital algorithms
in the literature."
4835,"The end result is a methodology that shows at least
modest improvement to DNN model accuracy and generalizability, and one that may be
improved by further study and hyperparameter tuning.","Finally, infusion of a DNN with physics-based information is shown to have
the greatest impact on model accuracy when used to predict behavior for data not within
the scope of the original training sets.","6
2.",2022-04-14 05:44:59+00:00,Supplementation of deep neural networks with simplified physics-based features to increase model prediction accuracy,cs.ET,"['cs.ET', 'cs.LG']","[arxiv.Result.Author('Nicholus R. Clinkinbeard'), arxiv.Result.Author('Prof. Nicole N. Hashemi')]","To improve predictive models for STEM applications, supplemental
physics-based features computed from input parameters are introduced into
single and multiple layers of a deep neural network (DNN). While many studies
focus on informing DNNs with physics through differential equations or
numerical simulation, much may be gained through integration of simplified
relationships. To evaluate this hypothesis, a number of thin rectangular plates
simply-supported on all edges are simulated for five materials. With plate
dimensions and material properties as input features and fundamental natural
frequency as the sole output, predictive performance of a purely data-driven
DNN-based model is compared with models using additional inputs computed from
simplified physical relationships among baseline parameters, namely plate
weight, modulus of rigidity, and shear modulus. To better understand the
benefit to model accuracy, these additional features are injected into various
single and multiple DNN layers, and trained with four different dataset sizes.
When these physics-enhanced models are evaluated against independent data of
the same materials and similar dimensions to the training sets, supplementation
with simplified physics-based parameters provides little reduction in
prediction error over the baseline for models trained with dataset sizes of 60
and greater, although small improvement from 19.3% to 16.1% occurs when trained
with a sparse size of 30. Conversely, notable accuracy gains occur when the
independent test data is of material and dimensions not conforming to the
training set. Specifically, when physics-enhanced data is injected into
multiple DNN layers, reductions in error from 33.2% to 19.6%, 34.9% to 19.9%,
35.8% to 22.4%, and 43.0% to 28.4% are achieved for training dataset sizes of
261, 117, 60, and 30, respectively, demonstrating attainment of a degree of
generalizability."
4896,"The energy for a JJ synapse with an elliptical  further research is still necessary for a fully JJ-based efficient
cross-sectional area of 1.5 × 3.5 μm2 is 3 aJ [63].","Since, a full-scale neuromorphic network based on
number of electrical pulses and the pulse energy can finetune         JJ requires constant current biases with active interconnects,
the critical current.",Contrary to       and scalable neuromorphic network.,2022-03-25 20:44:02+00:00,Cryogenic Neuromorphic Hardware,cs.ET,"['cs.ET', 'cs.AI', 'cs.NE']","[arxiv.Result.Author('Md Mazharul Islam'), arxiv.Result.Author('Shamiul Alam'), arxiv.Result.Author('Md Shafayat Hossain'), arxiv.Result.Author('Kaushik Roy'), arxiv.Result.Author('Ahmedullah Aziz')]","The revolution in artificial intelligence (AI) brings up an enormous storage
and data processing requirement. Large power consumption and hardware overhead
have become the main challenges for building next-generation AI hardware.
Therefore, it is imperative to look for a new architecture capable of
circumventing these bottlenecks of conventional von Neumann architecture. Since
the human brain is the most compact and energy-efficient intelligent device
known, it was intuitive to attempt to build an architecture that could mimic
our brain, and so the chase for neuromorphic computing began. While relentless
research has been underway for years to minimize the power consumption in
neuromorphic hardware, we are still a long way off from reaching the energy
efficiency of the human brain. Besides, design complexity, process variation,
etc. hinder the large-scale implementation of current neuromorphic platforms.
Recently, the concept of implementing neuromorphic computing systems in
cryogenic temperature has garnered immense attention. Several cryogenic devices
can be engineered to work as neuromorphic primitives with ultra-low demand for
power. Cryogenic electronics has therefore become a promising exploratory
platform for an energy-efficient and bio-realistic neuromorphic system. Here we
provide a comprehensive overview of the reported cryogenic neuromorphic
hardware. We carefully classify the existing cryogenic neuromorphic hardware
into different categories and draw a comparative analysis based on several
performance metrics. Finally, we explore the future research prospects to
circumvent the challenges associated with the current technologies."
4897,"Despite the scarce research efforts on SNW-
                                                                                based neuromorphic circuits, their promising characteristics
                                                                                incite further research exploration.","Moreover, its applicability in a full-scale network is
                                                                                yet to be seen.",III.B.,2022-03-25 20:44:02+00:00,Cryogenic Neuromorphic Hardware,cs.ET,"['cs.ET', 'cs.AI', 'cs.NE']","[arxiv.Result.Author('Md Mazharul Islam'), arxiv.Result.Author('Shamiul Alam'), arxiv.Result.Author('Md Shafayat Hossain'), arxiv.Result.Author('Kaushik Roy'), arxiv.Result.Author('Ahmedullah Aziz')]","The revolution in artificial intelligence (AI) brings up an enormous storage
and data processing requirement. Large power consumption and hardware overhead
have become the main challenges for building next-generation AI hardware. To
mitigate this, Neuromorphic computing has drawn immense attention due to its
excellent capability for data processing with very low power consumption. While
relentless research has been underway for years to minimize the power
consumption in neuromorphic hardware, we are still a long way off from reaching
the energy efficiency of the human brain. Furthermore, design complexity and
process variation hinder the large-scale implementation of current neuromorphic
platforms. Recently, the concept of implementing neuromorphic computing systems
in cryogenic temperature has garnered intense interest thanks to their
excellent speed and power metric. Several cryogenic devices can be engineered
to work as neuromorphic primitives with ultra-low demand for power. Here we
comprehensively review the cryogenic neuromorphic hardware. We classify the
existing cryogenic neuromorphic hardware into several hierarchical categories
and sketch a comparative analysis based on key performance metrics. Our
analysis concisely describes the operation of the associated circuit topology
and outlines the advantages and challenges encountered by the state-of-the-art
technology platforms. Finally, we provide insights to circumvent these
challenges for the future progression of research."
4898,"Some CMOS-based digital            field of research and there is a strong need for further research
implementations of neuromorphic chips have already been             exploration and scrutiny.","However, this is still an evolving
cryogenic neuromorphic hardware.","fabricated by Intel and IBM[98], [99].",2022-03-25 20:44:02+00:00,Cryogenic Neuromorphic Hardware,cs.ET,"['cs.ET', 'cs.AI', 'cs.NE']","[arxiv.Result.Author('Md Mazharul Islam'), arxiv.Result.Author('Shamiul Alam'), arxiv.Result.Author('Md Shafayat Hossain'), arxiv.Result.Author('Kaushik Roy'), arxiv.Result.Author('Ahmedullah Aziz')]","The revolution in artificial intelligence (AI) brings up an enormous storage
and data processing requirement. Large power consumption and hardware overhead
have become the main challenges for building next-generation AI hardware. To
mitigate this, Neuromorphic computing has drawn immense attention due to its
excellent capability for data processing with very low power consumption. While
relentless research has been underway for years to minimize the power
consumption in neuromorphic hardware, we are still a long way off from reaching
the energy efficiency of the human brain. Furthermore, design complexity and
process variation hinder the large-scale implementation of current neuromorphic
platforms. Recently, the concept of implementing neuromorphic computing systems
in cryogenic temperature has garnered intense interest thanks to their
excellent speed and power metric. Several cryogenic devices can be engineered
to work as neuromorphic primitives with ultra-low demand for power. Here we
comprehensively review the cryogenic neuromorphic hardware. We classify the
existing cryogenic neuromorphic hardware into several hierarchical categories
and sketch a comparative analysis based on key performance metrics. Our
analysis concisely describes the operation of the associated circuit topology
and outlines the advantages and challenges encountered by the state-of-the-art
technology platforms. Finally, we provide insights to circumvent these
challenges for the future progression of research."
5384,"Nevertheless,
research on hybrid RF/FSO links for maritime networks is still
in the early stages and needs further research.","4, the waves may be
communication between ships and ship to shore.","7

                 TABLE III: Summary of FSO ﬁeld trials and demonstrations.",2022-04-27 10:29:09+00:00,"Maritime Communications: A Survey on Enabling Technologies, Opportunities, and Challenges",cs.ET,['cs.ET'],"[arxiv.Result.Author('Fahad S. Alqurashi'), arxiv.Result.Author('Abderrahmen Trichili'), arxiv.Result.Author('Nasir Saeed'), arxiv.Result.Author('Boon S. Ooi'), arxiv.Result.Author('Mohamed-Slim Alouini')]","Water covers 71% of the Earth's surface, where the steady increase in oceanic
activities has promoted the need for reliable maritime communication
technologies. The existing maritime communication systems involve terrestrial,
aerial, and satellite networks. This paper presents a holistic overview of the
different forms of maritime communications and provides the latest advances in
various marine technologies. The paper first introduces the different
techniques used for maritime communications over the RF and optical bands.
Then, we present the channel models for RF and optical bands, modulation and
coding schemes, coverage and capacity, and radio resource management in
maritime communications. After that, the paper presents some emerging use cases
of maritime networks, such as the Internet of Ships (IoS) and the
ship-to-underwater Internet of things (IoT). Finally, we highlight a few
exciting open challenges and identify a set of future research directions for
maritime communication, including bringing broadband connectivity to the deep
sea, using THz and visible light signals for on-board applications, and
data-driven modeling for radio and optical marine propagation."
5385,"Therefore, ﬁnite-scattering models introduced
still in the early stages and needs further research.","Nevertheless,         from scattering, the assumption of Rayleigh fading is no
research on hybrid RF/FSO links for maritime networks is           longer valid.","for terrestrial RF communication [51], [52] can be used for
                                                                   maritime channel modeling.",2022-04-27 10:29:09+00:00,"Maritime Communications: A Survey on Enabling Technologies, Opportunities, and Challenges",cs.ET,['cs.ET'],"[arxiv.Result.Author('Fahad S. Alqurashi'), arxiv.Result.Author('Abderrahmen Trichili'), arxiv.Result.Author('Nasir Saeed'), arxiv.Result.Author('Boon S. Ooi'), arxiv.Result.Author('Mohamed-Slim Alouini')]","Water covers 71% of the Earth's surface, where the steady increase in oceanic
activities has promoted the need for reliable maritime communication
technologies. The existing maritime communication systems involve terrestrial,
aerial, and satellite networks. This paper presents a holistic overview of the
different forms of maritime communications and provides the latest advances in
various marine technologies. The paper first introduces the different
techniques used for maritime communications over the RF and optical bands.
Then, we present the channel models for RF and optical bands, modulation and
coding schemes, coverage and capacity, and radio resource management in
maritime communications. After that, the paper presents some emerging use cases
of maritime networks, such as the Internet of Ships (IoS) and the
ship-to-underwater Internet of things (IoT). Finally, we highlight a few
exciting open challenges and identify a set of future research directions for
maritime communication, including bringing broadband connectivity to the deep
sea, using THz and visible light signals for on-board applications, and
data-driven modeling for radio and optical marine propagation."
8194,provide a platform for further research.,"simulator and product available to the public, which moti-
                                        vates us to develop an open-source IMR disk simulator to             Figure 1: The different track layouts in HDDs.","In the SMR technology, to maximize the data storage den-
                                           We implement the first public IMR disk simulator, called     sity [8], the tracks overlap like roof tiles to shorten the track
                                        IMRSim, as a block device driver in the Linux kernel, simu-     gap, as shown in figure 1(b).",2022-06-29 02:21:41+00:00,IMRSim: A Disk Simulator for Interlaced Magnetic Recording Technology,cs.ET,['cs.ET'],"[arxiv.Result.Author('Zhimin Zeng'), arxiv.Result.Author('Xinyu Chen'), arxiv.Result.Author('Laurence T Yang'), arxiv.Result.Author('Jinhua Cui')]","The emerging interlaced magnetic recording (IMR) technology achieves a higher
areal density for hard disk drive (HDD) over the conventional magnetic
recording (CMR) technology. IMR-based HDD interlaces top tracks and bottom
tracks, where each bottom track is overlapped with two neighboring top tracks.
Thus, top tracks can be updated without restraint, whereas bottom tracks can be
updated by the time-consuming read-modify-write (RMW) or other novel update
strategy. Therefore, the layout of the tracks between the IMR-based HDD and the
CMR-based HDD is much different. Unfortunately, there has been no related disk
simulator and product available to the public, which motivates us to develop an
open-source IMR disk simulator to provide a platform for further research. We
implement the first public IMR disk simulator, called IMRSim, as a block device
driver in the Linux kernel, simulating the interlaced tracks and implementing
many state-of-the-art data placement strategies. IMRSim is built on the actual
CMR-based HDD to precisely simulate the I/O performance of IMR drives. While
I/O operations in CMR-based HDD are easy to visualize, update strategy and
multi-stage allocation strategy in IMR are inherently dynamic. Therefore, we
further graphically demonstrate how IMRSim processes I/O requests in the
visualization mode. We release IMRSim as an open-source IMR disk simulation
tool and hope to attract more scholars into related research on IMR technology."
9561,"We would like to further study the performance of iOCR to
other standard OCR algorithms and test it on ballots from a current election.","Future work would include using a larger number of ballots
with similar names and testing how other image quality degradation methods
aﬀect performance.","13
Acknowledgment

This material is based upon work supported by the National Science Foundation
Graduate Research Fellowship under Grant No.",2022-08-01 13:50:13+00:00,iOCR: Informed Optical Character Recognition for Election Ballot Tallies,cs.ET,"['cs.ET', 'cs.CY']","[arxiv.Result.Author('Kenneth U. Oyibo'), arxiv.Result.Author('Jean D. Louis'), arxiv.Result.Author('Juan E. Gilbert')]","The purpose of this study is to explore the performance of Informed OCR or
iOCR. iOCR was developed with a spell correction algorithm to fix errors
introduced by conventional OCR for vote tabulation. The results found that the
iOCR system outperforms conventional OCR techniques."
11611,"Here we further study
                           stage        20                                          the impact of the FeFET VTH variation on the delay chain
             32                                                                     operation through Monte Carlo simulations.","This is
                                                                                    because that as long as the resistance ratio between the high-
Capacitors             Inverters                                                    VTH state and low-VTH state is large enough (e.g., >10),
                                                                                    the internal node voltage, Vint, will reach closely to VDD or
(b)                     # of odd    (d)                                             GND depending on the logic output.","We ﬁrst verify the
          stages       activated    Delay time (ms)  Even stage                     robustness of the 2FeFET cell by measuring the internal node
                                                     Odd stage                      voltage Vint by 60 Monte Carlo runs assuming a VTH variation
        C=1nF              index                                                    σVTH.",2022-09-24 09:40:41+00:00,A Homogeneous Processing Fabric for Matrix-Vector Multiplication and Associative Search Using Ferroelectric Time-Domain Compute-in-Memory,cs.ET,"['cs.ET', 'eess.SP']","[arxiv.Result.Author('Xunzhao Yin'), arxiv.Result.Author('Qingrong Huang'), arxiv.Result.Author('Franz Müller'), arxiv.Result.Author('Shan Deng'), arxiv.Result.Author('Alptekin Vardar'), arxiv.Result.Author('Sourav De'), arxiv.Result.Author('Zhouhang Jiang'), arxiv.Result.Author('Mohsen Imani'), arxiv.Result.Author('Cheng Zhuo'), arxiv.Result.Author('Thomas Kämpfe'), arxiv.Result.Author('Kai Ni')]","In this work, we propose a ferroelectric FET(FeFET) time-domain
compute-in-memory (TD-CiM) array as a homogeneous processing fabric for binary
multiplication-accumulation (MAC) and content addressable memory (CAM). We
demonstrate that: i) the XOR(XNOR)/AND logic function can be realized using a
single cell composed of 2FeFETs connected in series; ii) a two-phase
computation in an inverter chain with each stage featuring the XOR/AND cell to
control the associated capacitor loading and the computation results of binary
MAC and CAM are reflected in the chain output signal delay, illustrating full
digital compatibility; iii) comprehensive theoretical and experimental
validation of the proposed 2FeFET cell and inverter delay chains and their
robustness against FeFET variation; iv) the homogeneous processing fabric is
applied in hyperdimensional computing to show dynamic and fine-grain resource
allocation to accommodate different tasks requiring varying demands over the
binary MAC and CAM resources."
