,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
113,"Since our ex-
In this work, we presented Environment Navigation Incompatibility         periments showed mixed results in terms of the correlation between
(ENI) metric, a novel metric for quantifying the navigability of a        ENI scores and navigability measures, we would like to further study
pair of physical and virtual environments, based on their geometric       the ENI metric with a larger set of benchmark environments to get
layouts.","6 CONCLUSION, LIMITATIONS, & FUTURE WORK                                     There are many avenues for future work in this area.","ENI measures the navigability of a PE, VE pair by mea-           a better understanding of the relationship between our ENI metric
suring the similarity (compatibility) of the two environments, since      and the navigability of environment pairs.",2022-01-04 17:49:07+00:00,ENI: Quantifying Environment Compatibility for Natural Walking in Virtual Reality,cs.GR,['cs.GR'],"[arxiv.Result.Author('Niall L. Williams'), arxiv.Result.Author('Aniket Bera'), arxiv.Result.Author('Dinesh Manocha')]","We present a novel metric to analyze the similarity between the physical
environment and the virtual environment for natural walking in virtual reality.
Our approach is general and can be applied to any pair of physical and virtual
environments. We use geometric techniques based on conforming constrained
Delaunay triangulations and visibility polygons to compute the Environment
Navigation Incompatibility (ENI) metric that can be used to measure the
complexity of performing simultaneous navigation. We demonstrate applications
of ENI for highlighting regions of incompatibility for a pair of environments,
guiding the design of the virtual environments to make them more compatible
with a fixed physical environment, and evaluating the performance of different
redirected walking controllers. We validate the ENI metric using simulations
and two user studies. Results of our simulations and user studies show that in
the environment pair that our metric identified as more navigable, users were
able to walk for longer before colliding with objects in the physical
environment. Overall, ENI is the first general metric that can automatically
identify regions of high and low compatibility in physical and virtual
environments. Our project website is available at https://gamma.umd.edu/eni/."
114,"Since our ex-
In this work, we presented Environment Navigation Incompatibility         periments showed mixed results in terms of the correlation between
(ENI) metric, a novel metric for quantifying the navigability of a        ENI scores and navigability measures, we would like to further study
pair of physical and virtual environments, based on their geometric       the ENI metric with a larger set of benchmark environments to get
layouts.","6 CONCLUSION, LIMITATIONS, & FUTURE WORK                                     There are many avenues for future work in this area.","ENI measures the navigability of a PE, VE pair by mea-           a better understanding of the relationship between our ENI metric
suring the similarity (compatibility) of the two environments, since      and the navigability of environment pairs.",2022-01-04 17:49:07+00:00,ENI: Quantifying Environment Compatibility for Natural Walking in Virtual Reality,cs.GR,['cs.GR'],"[arxiv.Result.Author('Niall L. Williams'), arxiv.Result.Author('Aniket Bera'), arxiv.Result.Author('Dinesh Manocha')]","We present a novel metric to analyze the similarity between the physical
environment and the virtual environment for natural walking in virtual reality.
Our approach is general and can be applied to any pair of physical and virtual
environments. We use geometric techniques based on conforming constrained
Delaunay triangulations and visibility polygons to compute the Environment
Navigation Incompatibility (ENI) metric that can be used to measure the
complexity of performing simultaneous navigation. We demonstrate applications
of ENI for highlighting regions of incompatibility for a pair of environments,
guiding the design of the virtual environments to make them more compatible
with a fixed physical environment, and evaluating the performance of different
redirected walking controllers. We validate the ENI metric using simulations
and two user studies. Results of our simulations and user studies show that in
the environment pair that our metric identified as more navigable, users were
able to walk for longer before colliding with objects in the physical
environment. Overall, ENI is the first general metric that can automatically
identify regions of high and low compatibility in physical and virtual
environments. Our project website is available at https://gamma.umd.edu/eni/."
1340,further research.,"interior design guidelines into differentiable functions to quantify
the ergonomic quality of indoor layouts can be a promising topic of       Matthew Fisher, Manolis Savva, Yangyan Li, Pat Hanrahan, and Matthias Nießner.",2015.,2022-02-01 02:25:04+00:00,ATEK: Augmenting Transformers with Expert Knowledge for Indoor Layout Synthesis,cs.GR,"['cs.GR', 'cs.AI', 'cs.CV', 'cs.LG', 'I.3.6; I.2.6; I.4.8']","[arxiv.Result.Author('Kurt Leimer'), arxiv.Result.Author('Paul Guerrero'), arxiv.Result.Author('Tomer Weiss'), arxiv.Result.Author('Przemyslaw Musialski')]","We address the problem of indoor layout synthesis, which is a topic of
continuing research interest in computer graphics. The newest works made
significant progress using data-driven generative methods; however, these
approaches rely on suitable datasets. In practice, desirable layout properties
may not exist in a dataset, for instance, specific expert knowledge can be
missing in the data. We propose a method that combines expert knowledge, for
example, knowledge about ergonomics, with a data-driven generator based on the
popular Transformer architecture. The knowledge is given as differentiable
scalar functions, which can be used both as weights or as additional terms in
the loss function. Using this knowledge, the synthesized layouts can be biased
to exhibit desirable properties, even if these properties are not present in
the dataset. Our approach can also alleviate problems of lack of data and
imperfections in the data. Our work aims to improve generative machine learning
for modeling and provide novel tools for designers and amateurs for the problem
of interior layout creation."
1341,further research [Schwartz 2021].,"We think that the problem of
is expected, since we aim to improve the ergonomic qualities of the                                       translating the vast number of ergonomic rules and interior design
synthesized layouts instead of perfectly recreating the distribution                                      guidelines into differentiable functions can be a promising topic of
of the dataset.","5.2 Room-conditioned Layout Synthesis                                                                        While we have demonstrated that our approach of incorporating
                                                                                                          expert knowledge into the Transformer training process produces
We use our proposed model and its ablations introduced in the                                             promising results, we think that this is only the first step in com-
previous section for layout synthesis and evaluate the results in                                         bining data-driven and rule-based learning using state-of-the-art
terms of both realism and ergonomic loss.",2022-02-01 02:25:04+00:00,LayoutEnhancer: Generating Good Indoor Layouts from Imperfect Data,cs.GR,"['cs.GR', 'cs.AI', 'cs.CV', 'cs.LG', 'I.3.6; I.2.1; I.4.9']","[arxiv.Result.Author('Kurt Leimer'), arxiv.Result.Author('Paul Guerrero'), arxiv.Result.Author('Tomer Weiss'), arxiv.Result.Author('Przemyslaw Musialski')]","We address the problem of indoor layout synthesis, which is a topic of
continuing research interest in computer graphics. The newest works made
significant progress using data-driven generative methods; however, these
approaches rely on suitable datasets. In practice, desirable layout properties
may not exist in a dataset, for instance, specific expert knowledge can be
missing in the data. We propose a method that combines expert knowledge, for
example, knowledge about ergonomics, with a data-driven generator based on the
popular Transformer architecture. The knowledge is given as differentiable
scalar functions, which can be used both as weights or as additional terms in
the loss function. Using this knowledge, the synthesized layouts can be biased
to exhibit desirable properties, even if these properties are not present in
the dataset. Our approach can also alleviate problems of lack of data and
imperfections in the data. Our work aims to improve generative machine learning
for modeling and provide novel tools for designers and amateurs for the problem
of interior layout creation."
2461,"Despite the most prominent methods were developed more
                                                                         than 10 years ago and the field remained quiet for some years, major
   Cai and Tautges [2015] propose an approach that heavily relies        improvements have been proposed in recent years, also opening
on integer programming due to the classification of the edges for        avenues for further research.",2020].,their parameterization.,2022-02-25 13:05:39+00:00,Hex-Mesh Generation and Processing: a Survey,cs.GR,['cs.GR'],"[arxiv.Result.Author('Nico Pietroni'), arxiv.Result.Author('Marcel Campen'), arxiv.Result.Author('Alla Sheffer'), arxiv.Result.Author('Gianmarco Cherchi'), arxiv.Result.Author('David Bommes'), arxiv.Result.Author('Xifeng Gao'), arxiv.Result.Author('Riccardo Scateni'), arxiv.Result.Author('Franck Ledoux'), arxiv.Result.Author('Jean-Francois Remacle'), arxiv.Result.Author('Marco Livesu')]","In this article, we provide a detailed survey of techniques for hexahedral
mesh generation. We cover the whole spectrum of alternative approaches to mesh
generation, as well as post processing algorithms for connectivity editing and
mesh optimization. For each technique, we highlight capabilities and
limitations, also pointing out the associated unsolved challenges. Recent
relaxed approaches, aiming to generate not pure-hex but hex-dominant meshes,
are also discussed. The required background, pertaining to geometrical as well
as combinatorial aspects, is introduced along the way."
2462,"Unfortunately, both questions are still unanswered and demand
further research to understand these geometrical entities at a deeper
level.","not only for practitioners in mesh generation but also for the graph
                                                                              community.","For the characterization of hex-meshable fields, in [Liu et al.",2022-02-25 13:05:39+00:00,Hex-Mesh Generation and Processing: a Survey,cs.GR,['cs.GR'],"[arxiv.Result.Author('Nico Pietroni'), arxiv.Result.Author('Marcel Campen'), arxiv.Result.Author('Alla Sheffer'), arxiv.Result.Author('Gianmarco Cherchi'), arxiv.Result.Author('David Bommes'), arxiv.Result.Author('Xifeng Gao'), arxiv.Result.Author('Riccardo Scateni'), arxiv.Result.Author('Franck Ledoux'), arxiv.Result.Author('Jean-Francois Remacle'), arxiv.Result.Author('Marco Livesu')]","In this article, we provide a detailed survey of techniques for hexahedral
mesh generation. We cover the whole spectrum of alternative approaches to mesh
generation, as well as post processing algorithms for connectivity editing and
mesh optimization. For each technique, we highlight capabilities and
limitations, also pointing out the associated unsolved challenges. Recent
relaxed approaches, aiming to generate not pure-hex but hex-dominant meshes,
are also discussed. The required background, pertaining to geometrical as well
as combinatorial aspects, is introduced along the way."
3778,"(b)                                          We further study the temporal distribution of the cita-
                                                                                    tions over the publication venues (T2), as shown in Fig-
                                       Yingcai Wu - Huamin Qu                       ure 5 (c).","In addition, Cao seems to receive more citations for
                                     Nan Cao - Huamin Qu                            his data mining papers.","We can see that Wu’s citations were mostly ob-
                                                                                    tained for his papers in TVCG, CHI, and TVC, which did not
                                                                                    change much over the years.",2022-03-19 04:44:17+00:00,SD2: Slicing and Dicing Scholarly Data for Interactive Evaluation of Academic Performance,cs.GR,"['cs.GR', 'cs.DL']","[arxiv.Result.Author('Zhichun Guo'), arxiv.Result.Author('Jun Tao'), arxiv.Result.Author('Siming Chen'), arxiv.Result.Author('Nitesh V. Chawla'), arxiv.Result.Author('Chaoli Wang')]","Comprehensively evaluating and comparing researchers' academic performance is
complicated due to the intrinsic complexity of scholarly data. Different
scholarly evaluation tasks often require the publication and citation data to
be investigated in various manners. In this paper, we present an interactive
visualization framework, SD2, to enable flexible data partition and composition
to support various analysis requirements within a single system. SD2 features
the hierarchical histogram, a novel visual representation for flexibly slicing
and dicing the data, allowing different aspects of scholarly performance to be
studied and compared. We also leverage the state-of-the-art set visualization
technique to select individual researchers or combine multiple scholars for
comprehensive visual comparison. We conduct multiple rounds of expert
evaluation to study the effectiveness and usability of SD2 and revise the
design and system implementation accordingly. The effectiveness of SD2 is
demonstrated via multiple usage scenarios with each aiming to answer a
specific, commonly raised question."
4814,"The training data        ation from the ground-truth values suggests mispredicted
(i.e., visualization images conditioned on visual mappings    spatiotemporal regions for further study.","The predicted values’ devi-
exploration of ensemble simulations.",and view parameters) were collected in situ.,2022-04-13 16:42:32+00:00,DL4SciVis: A State-of-the-Art Survey on Deep Learning for Scientific Visualization,cs.GR,"['cs.GR', 'cs.AI', 'cs.CV', 'cs.HC', 'cs.LG']","[arxiv.Result.Author('Chaoli Wang'), arxiv.Result.Author('Jun Han')]","Since 2016, we have witnessed the tremendous growth of artificial
intelligence+visualization (AI+VIS) research. However, existing survey papers
on AI+VIS focus on visual analytics and information visualization, not
scientific visualization (SciVis). In this paper, we survey related deep
learning (DL) works in SciVis, specifically in the direction of DL4SciVis:
designing DL solutions for solving SciVis problems. To stay focused, we
primarily consider works that handle scalar and vector field data but exclude
mesh data. We classify and discuss these works along six dimensions: domain
setting, research task, learning type, network architecture, loss function, and
evaluation metric. The paper concludes with a discussion of the remaining gaps
to fill along the discussed dimensions and the grand challenges we need to
tackle as a community. This state-of-the-art survey guides SciVis researchers
in gaining an overview of this emerging topic and points out future directions
to grow this research."
6011,"Users can ﬁrst utilize well-    plicit representations, such as NeRFs, further studying how
                                        developed mesh-based deformation methods to deform the         to edit the implicit representation has become a new explo-
                                        mesh representation of the scene.","Therefore,
                                        explicit mesh representation and the implicit neural repre-    based on the promising novel view synthesis ability of im-
                                        sentation of the target scene.",Our method then utilizes     ration direction.,2022-05-10 15:35:52+00:00,NeRF-Editing: Geometry Editing of Neural Radiance Fields,cs.GR,"['cs.GR', 'cs.CV']","[arxiv.Result.Author('Yu-Jie Yuan'), arxiv.Result.Author('Yang-Tian Sun'), arxiv.Result.Author('Yu-Kun Lai'), arxiv.Result.Author('Yuewen Ma'), arxiv.Result.Author('Rongfei Jia'), arxiv.Result.Author('Lin Gao')]","Implicit neural rendering, especially Neural Radiance Field (NeRF), has shown
great potential in novel view synthesis of a scene. However, current NeRF-based
methods cannot enable users to perform user-controlled shape deformation in the
scene. While existing works have proposed some approaches to modify the
radiance field according to the user's constraints, the modification is limited
to color editing or object translation and rotation. In this paper, we propose
a method that allows users to perform controllable shape deformation on the
implicit representation of the scene, and synthesizes the novel view images of
the edited scene without re-training the network. Specifically, we establish a
correspondence between the extracted explicit mesh representation and the
implicit neural representation of the target scene. Users can first utilize
well-developed mesh-based deformation methods to deform the mesh representation
of the scene. Our method then utilizes user edits from the mesh representation
to bend the camera rays by introducing a tetrahedra mesh as a proxy, obtaining
the rendering results of the edited scene. Extensive experiments demonstrate
that our framework can achieve ideal editing results not only on synthetic
data, but also on real scenes captured by users."
6498,"To further study this similarity, we deﬁne normalized average diﬀerence e¯
to measure the diﬀerence in ﬂagella nodal conﬁgurations between IMC and IPC:

                1 M−1 N−1 i,IMC i,IPC
                e¯ = MNh           xj − xj ,                   (22)

                          i=0 j=0

The relationship between normalized average diﬀerence e¯ and time t is shown in Fig.","For various time steps, we can
see that the conﬁgurations of the ﬂagella are near identical, indicating that both methods have
comparable accuracy.",4(d).,2022-05-20 17:21:26+00:00,A Fully Implicit Method for Robust Frictional Contact Handling in Elastic Rods,cs.GR,['cs.GR'],"[arxiv.Result.Author('Dezhong Tong'), arxiv.Result.Author('Andrew Choi'), arxiv.Result.Author('Jungseock Joo'), arxiv.Result.Author('M. Khalid Jawed')]","Accurate frictional contact is critical in simulating the assembly of
rod-like structures in the practical world, such as knots, hairs, flagella, and
more. Due to their high geometric nonlinearity and elasticity, rod-on-rod
contact remains a challenging problem tackled by researchers in both
computational mechanics and computer graphics. Typically, frictional contact is
regarded as constraints for the equations of motions of a system. Such
constraints are often computed independently at every time step in a dynamic
simulation, thus slowing down the simulation and possibly introducing numerical
convergence issues. This paper proposes a fully implicit penalty-based
frictional contact method, Implicit Contact Model (IMC), that efficiently and
robustly captures accurate frictional contact responses. We showcase our
algorithm's performance for the challenging and novel contact scenario of
flagella bundling in fluid medium, a significant phenomenon in biology that
motivates novel engineering applications in soft robotics. In addition to this,
we offer a side-by-side comparison with Incremental Potential Contact (IPC), a
state-of-the-art contact handling algorithm. We show that IMC possesses
comparable accuracy to IPC while converging at a faster rate for the flagella
bundling case."
