,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
79,"Hence, while invasive BCIs merit              letting the user select from among different palettes of
further study, most patients and researchers may,              options, sometimes via a menu.","Some
entail expensive surgery, scarring, risk of infection, and     operating protocols allow a much larger vocabulary than
regular medical check-ups, and their long-term stability       most early BCIs, either by presenting many options or by
remains unclear.","understandably,choose noninvasive approaches.",2022-01-04 06:02:33+00:00,A Survey on Brain-Computer Interaction,cs.HC,"['cs.HC', 'cs.NE']","[arxiv.Result.Author('Bosubabu Sambana'), arxiv.Result.Author('Priyanka Mishra')]","Brain-Computer Interface(BCI) systems support communication through direct
measures of neural activity without muscle activity. Brain-Computer Interface
systems need to be validated in long-term studies of real-world use by people
with severe disabilities, and effective and viable models for their widespread
dissemination must be implemented. Finally, the day-to-day and moment-to-moment
reliability of BCI performance must be improved so that approaches the
reliability of natural muscle-based function. This review discusses the
structure and functions of BCI systems, clarifies terminology integration and
progress, and opportunities in the field are also identified and explicated
based on the current availability of invasive recording technologies used for
BCI systems."
80,"Hence, while invasive BCIs merit               BCIs, either by presenting many options or by letting the
further study, most patients and researchers may,               user select from among different palettes of options,
understandably,choose noninvasive approaches.","Some operating
regular medical check-ups, and their long-term stability        protocols allow a much larger vocabulary than most early
remains unclear.",sometimes via a menu.,2022-01-04 06:02:33+00:00,A Survey on Brain-Computer Interaction,cs.HC,"['cs.HC', 'cs.NE']","[arxiv.Result.Author('Bosubabu Sambana'), arxiv.Result.Author('Priyanka Mishra')]","Brain-Computer Interface(BCI) systems support communication through direct
measures of neural activity without muscle activity. Brain-Computer Interface
systems need to be validated in long-term studies of real-world use by people
with severe disabilities, and effective and viable models for their widespread
dissemination must be implemented. Finally, the day-to-day and moment-to-moment
reliability of BCI performance must be improved so that approaches the
reliability of natural muscle-based function. This review discusses the
structure and functions of BCI systems, clarifies terminology integration and
progress, and opportunities in the field are also identified and explicated
based on the current availability of invasive recording technologies used for
BCI systems."
81,"Hence, while invasive BCIs
merit further study, most patients and researchers may,
understandably,choose non-invasive approaches.","Furthermore,
they entail expensive surgery, scarring, risk of infection,
and regular medical check-ups, and their long-term
stability remains unclear.","BCI output devices

After the brain signal features are extracted and
translated, the third component of the BCI, the output
device,implements the messages or commands conveyed
by the translation algorithm.",2022-01-04 06:02:33+00:00,A Survey on Brain-Computer Interaction,cs.HC,"['cs.HC', 'cs.NE']","[arxiv.Result.Author('Bosubabu Sambana'), arxiv.Result.Author('Priyanka Mishra')]","Brain-Computer Interface(BCI) systems support communication through direct
measures of neural activity without muscle activity. Brain-Computer Interface
systems need to be validated in long-term studies of real-world use by people
with severe disabilities, and effective and viable models for their widespread
dissemination must be implemented. Finally, the day-to-day and moment-to-moment
reliability of BCI performance must be improved so that approaches the
reliability of natural muscle-based function. This review discusses the
structure and functions of BCI systems, clarifies terminology integration and
progress, and opportunities in the field are also identified and explicated
based on the current availability of invasive recording technologies used for
BCI systems."
148,"As such, several evaluations on the
Our results also lay groundwork to encourage further study of non-            inﬂuence shadow position and object shape on depth judgements have
photorealistic rendering techniques to improve spatial perception in          been conducted in both mobile AR [6, 59] and in OST AR [14, 22,
XR.",perception in augmented reality.,"25, 48, 54].",2022-01-06 02:00:41+00:00,Stay in Touch! Shape and Shadow Influence Surface Contact in XR Displays,cs.HC,"['cs.HC', 'cs.GR']","[arxiv.Result.Author('Haley Adams'), arxiv.Result.Author('Holly Gagnon'), arxiv.Result.Author('Sarah Creem-Regehr'), arxiv.Result.Author('Jeanine Stefanucci'), arxiv.Result.Author('Bobby Bodenheimer')]","The information provided to a person's visual system by extended reality (XR)
displays is not a veridical match to the information provided by the real
world. Due in part to graphical limitations in XR head-mounted displays (HMDs),
which vary by device, our perception of space may be altered. However, we do
not yet know which properties of virtual objects rendered by HMDs --
particularly augmented reality displays -- influence our ability to understand
space. In the current research, we evaluate how immersive graphics affect
spatial perception across three unique XR displays: virtual reality (VR), video
see-through augmented reality (VST AR), and optical see-through augmented
reality (OST AR). We manipulated the geometry of the presented objects as well
as the shading techniques for objects' cast shadows. Shape and shadow were
selected for evaluation as they play an important role in determining where an
object is in space by providing points of contact between an object and its
environment -- be it real or virtual. Our results suggest that a
non-photorealistic (NPR) shading technique, in this case for cast shadows, may
be used to improve depth perception by enhancing perceived surface contact in
XR. Further, the benefit of NPR graphics is more pronounced in AR than in VR
displays. One's perception of ground contact is influenced by an object's
shape, as well. However, the relationship between shape and surface contact
perception is more complicated."
250,"While further research is warranted, especially into these followers, our results suggest that human
behavior differs.","However,
followers did not seem to lose trust in systems’ suggestions when the supply chain was disrupted.",6.1.3 The Impact of the Manipulation.,2022-01-07 22:21:25+00:00,To Trust or to Stockpile: Modeling Human-Simulation Interaction in Supply Chain Shortages,cs.HC,['cs.HC'],"[arxiv.Result.Author('Omid Mohaddesi'), arxiv.Result.Author('Jacqueline Griffin'), arxiv.Result.Author('Ozlem Ergun'), arxiv.Result.Author('David Kaeli'), arxiv.Result.Author('Stacy Marsella'), arxiv.Result.Author('Casper Harteveld')]","Understanding decision-making in dynamic and complex settings is a challenge
yet essential for preventing, mitigating, and responding to adverse events
(e.g., disasters, financial crises). Simulation games have shown promise to
advance our understanding of decision-making in such settings. However, an open
question remains on how we extract useful information from these games. We
contribute an approach to model human-simulation interaction by leveraging
existing methods to characterize: (1) system states of dynamic simulation
environments (with Principal Component Analysis), (2) behavioral responses from
human interaction with simulation (with Hidden Markov Models), and (3)
behavioral responses across system states (with Sequence Analysis). We
demonstrate this approach with our game simulating drug shortages in a supply
chain context. Results from our experimental study with 135 participants show
different player types (hoarders, reactors, followers), how behavior changes in
different system states, and how sharing information impacts behavior. We
discuss how our findings challenge existing literature."
283,"Therefore, it remains a question for
based cartograms intend to perform tasks that are similar        further research whether legends and grid lines are effective
to those in our experiment.","rated the selectable legend with grid lines to be helpful        We acknowledge that our study was limited in scope to
rather than hindering, we believe that not all users of web-     contiguous cartograms.","Moreover, certain users may          for other cartogram types (e.g., rectangular [38] and mosaic
ﬁnd a selectable legend with grid lines obstructive because      cartograms [39]).",2022-01-09 12:39:07+00:00,Effectiveness of Area-to-Value Legends and Grid Lines in Contiguous Area Cartograms,cs.HC,"['cs.HC', 'cs.CG']","[arxiv.Result.Author('Kelvin L. T. Fung'), arxiv.Result.Author('Simon T. Perrault'), arxiv.Result.Author('Michael T. Gastner')]","A contiguous area cartogram is a geographic map in which the area of each
region is rescaled to be proportional to numerical data (e.g., population size)
while keeping neighboring regions connected. Few studies have investigated
whether readers can make accurate quantitative assessments using contiguous
area cartograms. Therefore, we conducted an experiment to determine the
accuracy, speed, and confidence with which readers infer numerical data values
for the mapped regions. We investigated whether including an area-to-value
legend (in the form of a square symbol next to the value represented by the
square's area) makes it easier for map readers to estimate magnitudes. We also
evaluated the effectiveness of two additional features: grid lines and an
interactive area-to-value legend that allows participants to select the value
represented by the square. Without any legends and only informed about the
total numerical value represented by the whole cartogram, the distribution of
estimates for individual regions was centered near the true value with
substantial spread. Selectable legends with grid lines significantly reduced
the spread but led to a tendency to underestimate the values. When comparing
differences between regions or between cartograms, legends and grid lines made
estimation slower but not more accurate. However, legends and grid lines made
it more likely that participants completed the tasks. We recommend considering
the cartogram's use case and purpose before deciding whether to include grid
lines or an interactive legend."
286,"Again, the older generation particularly those over 55 years are likely to
be less comfortable with adopting M-Banking Apps because of the generation gap, hence
further research focusing primarily on those aged 45+ years is necessary to understand attitudes
of this age group towards mobile banking applications.","The study did not get enough respondents aged 45+ which ultimately may affect observations
made, though initial observations indicate that the older generation has less trust in the security
of M-Banking Apps.","Finally, future research could arrive at a better understanding of the user-perceived security of
M-Banking Apps by integrating cultural dimensions.",2022-01-09 16:45:30+00:00,Measuring User Perceived Security of Mobile Banking Applications,cs.HC,"['cs.HC', 'cs.CR', 'cs.CY']","[arxiv.Result.Author('Richard Apaua'), arxiv.Result.Author('Harjinder Singh Lallie')]","Mobile banking applications have gained popularity and have significantly
revolutionised the banking industry. Despite the convenience offered by
M-Banking Apps, users are often distrustful of the security of the applications
due to an increasing trend of cyber security compromises, cyber-attacks, and
data breaches. Considering the upsurge in cyber security vulnerabilities of
M-Banking Apps and the paucity of research in this domain, this study was
conducted to empirically measure user-perceived security of M-Banking Apps. A
total of 315 responses from study participants were analysed using
covariance-based structural equation modelling (CB-SEM). The results indicated
that most constructs of the baseline Extended Unified Theory of Acceptance and
Use of Technology (UTAUT2) structure were validated. Perceived security,
institutional trust and technology trust were confirmed as factors that affect
user's intention to adopt and use M-Banking Apps. However, perceived risk was
not confirmed as a significant predictor. The current study further revealed
that in the context of M-Banking Apps, the effects of security and trust are
complex. The impact of perceived security and institutional trust on
behavioural intention was moderated by age, gender, experience, income, and
education, while perceived security on use behaviour was moderated by age,
gender, and experience. The effect of technology trust on behavioural intention
was moderated by age, education, and experience. Overall, the proposed
conceptual model achieved acceptable fit and explained 79% of the variance in
behavioural intention and 54.7% in use behaviour of M-Banking Apps, higher than
that obtained in the original UTAUT2. The guarantee of enhanced security,
advanced privacy mechanisms and trust should be considered paramount in future
strategies aimed at promoting M-Banking Apps adoption and use."
363,"The components of this mantra
committee of politicians, enabling further study of the user’s potential  (“overview”, “zoom”, “ﬁlter” and “details-on-demand”) can together
biases in decision making.","This dataset captures       demand” [Shn96]) express common sequences of user interactions
user interactions from a visualization system intended to select a        observed during visual exploration.","We represent our approach in Figure 2.         be represented as a set of non-terminal symbols NS (see Figure 2(4)):
                                                                          NS = {overview, zoom, filter, details_on_demand}
   Brehmer and Munzner classify individual interactions into 11           Other high-level taxonomies can also be represented using
categories, which we represent as a set of terminal symbols ΣBM:          non-terminal symbols in a similar fashion.",2022-01-11 01:59:06+00:00,A Programmatic Approach to Applying Visualization Taxonomies to Interaction Logs,cs.HC,['cs.HC'],"[arxiv.Result.Author('Sneha Gathani'), arxiv.Result.Author('Shayan Monadjemi'), arxiv.Result.Author('Alvitta Ottley'), arxiv.Result.Author('Leilani Battle')]","Researchers collect large amounts of user interaction data with the goal of
mapping user's workflows and behaviors to their higher-level motivations,
intuitions, and goals. Although the visual analytics community has proposed
numerous taxonomies to facilitate this mapping process, no formal methods exist
for systematically applying these existing theories to user interaction logs.
This paper seeks to bridge the gap between visualization task taxonomies and
interaction log data by making the taxonomies more actionable for interaction
log analysis. To achieve this, we leverage structural parallels between how
people express themselves through interactions and language by reformulating
existing theories as regular grammars. We represent interactions as terminals
within a regular grammar, similar to the role of individual words in a
language, and patterns of interactions or non-terminals as regular expressions
over these terminals to capture common language patterns. To demonstrate our
approach, we generate regular grammars for seven visualization taxonomies and
develop code to apply them to three interaction log datasets. In analyzing our
results, we find that existing taxonomies at the low-level (i.e., terminals)
show mixed results in expressing multiple interaction log datasets, and
taxonomies at the high-level (i.e., regular expressions) have limited
expressiveness, due to primarily two challenges: inconsistencies in interaction
log dataset granularity and structure, and under-expressiveness of certain
terminals. Based on our findings, we suggest new research directions for the
visualization community for augmenting existing taxonomies, developing new
ones, and building better interaction log recording processes to facilitate the
data-driven development of user behavior taxonomies."
364,"This dataset captures user interactions      High-level taxonomies such as Shneiderman’s information-
from a visualization system intended to select a committee of           seeking mantra (“overview ﬁrst, zoom and ﬁlter, then details-on-
politicians, enabling further study of the user’s potential biases in   demand” [Shn96]) express common sequences of user interactions
decision making.","We also demonstrate its application on an interaction log dataset
collected by Wall [Wal20].",We represent our approach in Figure 2.                 observed during visual exploration.,2022-01-11 01:59:06+00:00,A Grammar-Based Approach for Applying Visualization Taxonomies to Interaction Logs,cs.HC,['cs.HC'],"[arxiv.Result.Author('Sneha Gathani'), arxiv.Result.Author('Shayan Monadjemi'), arxiv.Result.Author('Alvitta Ottley'), arxiv.Result.Author('Leilani Battle')]","Researchers collect large amounts of user interaction data with the goal of
mapping user's workflows and behaviors to their higher-level motivations,
intuitions, and goals. Although the visual analytics community has proposed
numerous taxonomies to facilitate this mapping process, no formal methods exist
for systematically applying these existing theories to user interaction logs.
This paper seeks to bridge the gap between visualization task taxonomies and
interaction log data by making the taxonomies more actionable for interaction
log analysis. To achieve this, we leverage structural parallels between how
people express themselves through interactions and language by reformulating
existing theories as regular grammars. We represent interactions as terminals
within a regular grammar, similar to the role of individual words in a
language, and patterns of interactions or non-terminals as regular expressions
over these terminals to capture common language patterns. To demonstrate our
approach, we generate regular grammars for seven visualization taxonomies and
develop code to apply them to three interaction log datasets. In analyzing our
results, we find that existing taxonomies at the low-level (i.e., terminals)
show mixed results in expressing multiple interaction log datasets, and
taxonomies at the high-level (i.e., regular expressions) have limited
expressiveness, due to primarily two challenges: inconsistencies in interaction
log dataset granularity and structure, and under-expressiveness of certain
terminals. Based on our findings, we suggest new research directions for the
visualization community for augmenting existing taxonomies, developing new
ones, and building better interaction log recording processes to facilitate the
data-driven development of user behavior taxonomies."
419,"However, users may       imize the impact of these individual differences on the threshold
collide with the physical boundaries of the real space they are in       range, further research considering these differences is needed to
when they attempt to walk towards the perceived movable space            estimate personalized threshold ranges.","First, the perceived movable space should be made larger than the     Although we set the gender ratio between the two groups to be the
adjusted movable space to obtain a wider range of relative translation   same and adjusted the average height between conditions to min-
gain thresholds in constructing virtual scenes.","By considering the effects
with this approach.",2022-01-12 02:17:43+00:00,Effects of Virtual Room Size and Objects on Relative Translation Gain Thresholds in Redirected Walking,cs.HC,['cs.HC'],"[arxiv.Result.Author('Dooyoung Kim'), arxiv.Result.Author('Jinwook Kim'), arxiv.Result.Author('Jae-eun Shin'), arxiv.Result.Author('Boram Yoon'), arxiv.Result.Author('Jeongmi Lee'), arxiv.Result.Author('Woontack Woo')]","This paper investigates how the size of virtual space and objects within it
affect the threshold range of relative translation gains, a Redirected Walking
(RDW) technique that scales the user's movement in virtual space in different
ratios for the width and depth. While previous studies assert that a virtual
room's size affects relative translation gain thresholds on account of the
virtual horizon's location, additional research is needed to explore this
assumption through a structured approach to visual perception in Virtual
Reality (VR). We estimate the relative translation gain thresholds in six
spatial conditions configured by three room sizes and the presence of virtual
objects (3 X 2), which were set according to differing Angles of Declination
(AoDs) between eye-gaze and the forward-gaze. Results show that both size and
virtual objects significantly affect the threshold range, it being greater in
the large-sized condition and furnished condition. This indicates that the
effect of relative translation gains can be further increased by constructing a
perceived virtual movable space that is even larger than the adjusted virtual
movable space and placing objects in it. Our study can be applied to adjust
virtual spaces in synchronizing heterogeneous spaces without coordinate
distortion where real and virtual objects can be leveraged to create realistic
mutual spaces."
