,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
149,"We leave it to further research to ﬁnd
good results for m ≥ 3 in general.","Furthermore we know from Proposition 2.1, as for general

m, that there are precisely q(q − 1) codewords of minimal weight, namely

τ (c(x1 − b) · · · (xm − b)), for q choices of b, and q − 1 choices of non-zero c.

    The case q = 4 is a special case of the trivial case m = q − 1 mentioned

at the end of Section 4, with dr(C3) = 6r for all r.
                        CODES FROM SYMMETRIC POLYNOMIALS                                  13

    In order to illustrate the complexity, we give our only example below, of
a more non-trivial result for m = 3.",Example 6.1.,2022-01-06 05:44:31+00:00,Codes from symmetric polynomials,cs.IT,"['cs.IT', 'math.AG', 'math.IT', '05E45, 94B05, 05B35, 13F55']","[arxiv.Result.Author('Mrinmoy Datta'), arxiv.Result.Author('Trygve Johnsen')]","We define and study a class of Reed-Muller type error-correcting codes
obtained from elementary symmetric functions in finitely many variables. We
determine the code parameters and higher weight spectra in the simplest cases."
150,"We leave it to further research to ﬁnd
good results for m ≥ 3 in general.","Furthermore we know from Proposition 2.1, as for general

m, that there are precisely q(q − 1) codewords of minimal weight, namely

τ (c(x1 − b) · · · (xm − b)), for q choices of b, and q − 1 choices of non-zero c.

    The case q = 4 is a special case of the trivial case m = q − 1 mentioned

at the end of Section 4, with dr(C3) = 6r for all r.
                        CODES FROM SYMMETRIC POLYNOMIALS                                  13

    In order to illustrate the complexity, we give our only example below, of
a more non-trivial result for m = 3.",Example 6.1.,2022-01-06 05:44:31+00:00,Codes from symmetric polynomials,cs.IT,"['cs.IT', 'math.AG', 'math.IT', '05E45, 94B05, 05B35, 13F55']","[arxiv.Result.Author('Mrinmoy Datta'), arxiv.Result.Author('Trygve Johnsen')]","We define and study a class of Reed-Muller type error-correcting codes
obtained from elementary symmetric functions in finitely many variables. We
determine the code parameters and higher weight spectra in the simplest cases."
151,"We leave it to further research to ﬁnd
good results for m ≥ 3 in general.","Furthermore we know from Proposition 2.1, as for general

m, that there are precisely q(q − 1) codewords of minimal weight, namely

ev(c(x1 − b) · · · (xm − b)), for q choices of b, and q − 1 choices of non-zero c.

The case q = 4 is a special case of the trivial case m = q − 1 mentioned

at the end of Section 4, with dr(C3) = 6r for all r.
14                                     DATTA AND JOHNSEN

    In order to illustrate the complexity, we give our only example below, of
a more non-trivial result for m = 3.",Example 6.1.,2022-01-06 05:44:31+00:00,Codes from symmetric polynomials,cs.IT,"['cs.IT', 'math.AG', 'math.IT', '05E45, 94B05, 05B35, 13F55']","[arxiv.Result.Author('Mrinmoy Datta'), arxiv.Result.Author('Trygve Johnsen')]","We define and study a class of Reed-Muller type error-correcting codes
obtained from elementary symmetric functions in finitely many variables. We
determine the code parameters and higher weight spectra in the simplest cases."
255,"In
section 5, we conclude the whole paper and give the further study.","In section 4, a suﬃcient
and necessary condition for the GTRS code with h + t ≤ k − 1 to be self-orthogonal is
obtained, and then several classes of self-orthogonal GTRS codes are constructed.","2 Preliminaries

      Throughout this paper, we ﬁx some nonations as follows for convinience.",2022-01-08 04:12:46+00:00,Self-orthogonal generalized twisted Reed-Solomon codes,cs.IT,"['cs.IT', 'math.IT']","[arxiv.Result.Author('Canze Zhu'), arxiv.Result.Author('Qunying Liao')]","In this paper, by calculating the dual code of the Schur square for the
standard twisted Reed-Solomon code, we give a sufficient and necessary
condition for the generalized twisted Reed-Solomon code with $h+t\le k-1$ to be
self-orthogonal, where $k$ is dimension, $h$ is hook and $t$ is twist. And
then, we show that there is no self-orthogonal generalized twisted Reed-Solomon
code under some conditions. Furthermore, several classes of self-orthogonal
generalized twisted Reed-Solomon codes are constructed, and some of these codes
are non-GRS self-orthogonal MDS codes or NMDS codes."
281,Section 5 concludes the whole paper and gives the further study.,"Basing on this condition and exponential sums, Section 4 obtains a new class of minimal

binary linear codes violating the Ashikhmin-Barg condition from partial spread, and then determines their

weight enumerators.","2 Preliminaries

       In this section we give some deﬁnitions and notations for minimal linear codes.",2022-01-09 10:30:13+00:00,A New Constructions of Minimal Binary Linear Codes,cs.IT,"['cs.IT', 'math.IT', '94B05, 94C10, 94A60']","[arxiv.Result.Author('Haibo Liu'), arxiv.Result.Author('Qunying Liao')]","Recently, minimal linear codes have been extensively studied due to their
applications in secret sharing schemes, secure two-party computations, and so
on. Constructing minimal linear codes violating the Ashikhmin-Barg condition
and then determining their weight distributions have been interesting in coding
theory and cryptography. In this paper, a generic construction for binary
linear codes with dimension $m+2$ is presented, then a necessary and sufficient
condition for this binary linear code to be minimal is derived. Based on this
condition and exponential sums, a new class of minimal binary linear codes
violating the Ashikhmin-Barg condition is obtained, and then their weight
enumerators are determined."
302,required further research.,"Still there are implementation issues
coding.","One issue is the implementation of
                                                                     iterative decoder of the spatiotemporal 2-D codes.",2022-01-10 05:19:23+00:00,Spatiotemporal 2-D Channel Coding for Very Low Latency Reliable MIMO Transmission,cs.IT,"['cs.IT', 'cs.AR', 'math.IT']","[arxiv.Result.Author('Xiaohu You'), arxiv.Result.Author('Chuan Zhang'), arxiv.Result.Author('Bin Sheng'), arxiv.Result.Author('Yongming Huang'), arxiv.Result.Author('Chen Ji'), arxiv.Result.Author('Yifei Shen'), arxiv.Result.Author('Wenyue Zhou'), arxiv.Result.Author('Jian Liu')]","To fully support vertical industries, 5G and its corresponding channel coding
are expected to meet requirements of different applications. However, for
applications of 5G and beyond 5G (B5G) such as URLLC, the transmission latency
is required to be much shorter than that in eMBB. Therefore, the resulting
channel code length reduces drastically. In this case, the traditional 1-D
channel coding suffers a lot from the performance degradation and fails to
deliver strong reliability with very low latency. To remove this bottleneck,
new channel coding scheme beyond the existing 1-D one is in urgent need. By
making full use of the spacial freedom of massive MIMO systems, this paper
devotes itself in proposing a spatiotemporal 2-D channel coding for very low
latency reliable transmission. For a very short time-domain code length
$N^{\text{time}}=16$, $64 \times 128$ MIMO system employing the proposed
spatiotemporal 2-D coding scheme successfully shows more than $3$\,dB
performance gain at $\text{FER}=10^{-3}$, compared to the 1-D time-domain
channel coding. It is noted that the proposed coding scheme is suitable for
different channel codes and enjoys high flexibility to adapt to difference
scenarios. By appropriately selecting the code rate, code length, and the
number of codewords in the time and space domains, the proposed coding scheme
can achieve a good trade-off between the transmission latency and reliability."
308,"The application of RSMA
The signal observed at the receiver is                                          in both use cases require further study.","More speciﬁcally,
                                                                                RSMA can be employed to enable a speciﬁc service in a
by                                                                              network, such as URLLC or mMTC; or it can be employed
                                                                                to enable non-orthogonal multiplexing of different services in
    xk = Pk1sk1 + Pk2sk2, ∀k ∈ K.                                         (21)  heterogeneous networks, as in heterogeneous non-orthogonal
                                                                                multiple access (H-NOMA) [159].","y = hkxk + nr,                                       (22)  D. Multi-cell RSMA

                     k∈K                                                           Next, we increase our scope of RSMA by considering
                                                                                a network comprising multiple cells, each hosting one or
where hk ∈ CM×1 is the channel vector between user-k and                        multiple users.",2022-01-10 07:13:03+00:00,"Rate-Splitting Multiple Access: Fundamentals, Survey, and Future Research Trends",cs.IT,"['cs.IT', 'eess.SP', 'math.IT']","[arxiv.Result.Author('Yijie Mao'), arxiv.Result.Author('Onur Dizdar'), arxiv.Result.Author('Bruno Clerckx'), arxiv.Result.Author('Robert Schober'), arxiv.Result.Author('Petar Popovski'), arxiv.Result.Author('H. Vincent Poor')]","Rate-splitting multiple access (RSMA) has emerged as a novel, general, and
powerful framework for the design and optimization of non-orthogonal
transmission, multiple access (MA), and interference management strategies for
future wireless networks. Through information and communication theoretic
analysis, RSMA has been shown to be optimal (from a Degrees-of-Freedom region
perspective) in several transmission scenarios. Compared to the conventional MA
strategies used in 5G, RSMA enables spectral efficiency (SE), energy efficiency
(EE), coverage, user fairness, reliability, and quality of service (QoS)
enhancements for a wide range of network loads (including both underloaded and
overloaded regimes) and user channel conditions. Furthermore, it enjoys a
higher robustness against imperfect channel state information at the
transmitter (CSIT) and entails lower feedback overhead and complexity. Despite
its great potential to fundamentally change the physical (PHY) layer and media
access control (MAC) layer of wireless communication networks, RSMA is still
confronted with many challenges on the road towards standardization. In this
paper, we present the first comprehensive overview on RSMA by providing a
survey of the pertinent state-of-the-art research, detailing its architecture,
taxonomy, and various appealing applications, as well as comparing with
existing MA schemes in terms of their overall frameworks, performance, and
complexities. An in-depth discussion of future RSMA research challenges is also
provided to inspire future research on RSMA-aided wireless communication for
beyond 5G systems."
309,"Therefore, there is a need for further study
                                                                       on how the user messages are encoded and how the re-
   Despite of all the aforementioned advantages, RSMA in-              transmissions are performed for each user when RSMA
evitably also introduces some disadvantages, which are sum-            is combined with HARQ.","In RSMA framework, this task is less straight-
                                                                       forward due to the message splitting and combining
E. Disadvantages of RSMA                                               operations.",marized as follows.,2022-01-10 07:13:03+00:00,"Rate-Splitting Multiple Access: Fundamentals, Survey, and Future Research Trends",cs.IT,"['cs.IT', 'eess.SP', 'math.IT']","[arxiv.Result.Author('Yijie Mao'), arxiv.Result.Author('Onur Dizdar'), arxiv.Result.Author('Bruno Clerckx'), arxiv.Result.Author('Robert Schober'), arxiv.Result.Author('Petar Popovski'), arxiv.Result.Author('H. Vincent Poor')]","Rate-splitting multiple access (RSMA) has emerged as a novel, general, and
powerful framework for the design and optimization of non-orthogonal
transmission, multiple access (MA), and interference management strategies for
future wireless networks. Through information and communication theoretic
analysis, RSMA has been shown to be optimal (from a Degrees-of-Freedom region
perspective) in several transmission scenarios. Compared to the conventional MA
strategies used in 5G, RSMA enables spectral efficiency (SE), energy efficiency
(EE), coverage, user fairness, reliability, and quality of service (QoS)
enhancements for a wide range of network loads (including both underloaded and
overloaded regimes) and user channel conditions. Furthermore, it enjoys a
higher robustness against imperfect channel state information at the
transmitter (CSIT) and entails lower feedback overhead and complexity. Despite
its great potential to fundamentally change the physical (PHY) layer and media
access control (MAC) layer of wireless communication networks, RSMA is still
confronted with many challenges on the road towards standardization. In this
paper, we present the first comprehensive overview on RSMA by providing a
survey of the pertinent state-of-the-art research, detailing its architecture,
taxonomy, and various appealing applications, as well as comparing with
existing MA schemes in terms of their overall frameworks, performance, and
complexities. An in-depth discussion of future RSMA research challenges is also
provided to inspire future research on RSMA-aided wireless communication for
beyond 5G systems."
310,"The authors [179]
gain over conventional massive MIMO based on MU–LP                further study the joint analog and digital precoder optimization
and it is able to maintain multi-user connectivity in mobile      for the RSMA-aided mmWave model proposed in [95].","32, RSMA yields a signiﬁcant throughput    based on MU–LP and two-stage feedback.","The
deployments.",2022-01-10 07:13:03+00:00,"Rate-Splitting Multiple Access: Fundamentals, Survey, and Future Research Trends",cs.IT,"['cs.IT', 'eess.SP', 'math.IT']","[arxiv.Result.Author('Yijie Mao'), arxiv.Result.Author('Onur Dizdar'), arxiv.Result.Author('Bruno Clerckx'), arxiv.Result.Author('Robert Schober'), arxiv.Result.Author('Petar Popovski'), arxiv.Result.Author('H. Vincent Poor')]","Rate-splitting multiple access (RSMA) has emerged as a novel, general, and
powerful framework for the design and optimization of non-orthogonal
transmission, multiple access (MA), and interference management strategies for
future wireless networks. Through information and communication theoretic
analysis, RSMA has been shown to be optimal (from a Degrees-of-Freedom region
perspective) in several transmission scenarios. Compared to the conventional MA
strategies used in 5G, RSMA enables spectral efficiency (SE), energy efficiency
(EE), coverage, user fairness, reliability, and quality of service (QoS)
enhancements for a wide range of network loads (including both underloaded and
overloaded regimes) and user channel conditions. Furthermore, it enjoys a
higher robustness against imperfect channel state information at the
transmitter (CSIT) and entails lower feedback overhead and complexity. Despite
its great potential to fundamentally change the physical (PHY) layer and media
access control (MAC) layer of wireless communication networks, RSMA is still
confronted with many challenges on the road towards standardization. In this
paper, we present the first comprehensive overview on RSMA by providing a
survey of the pertinent state-of-the-art research, detailing its architecture,
taxonomy, and various appealing applications, as well as comparing with
existing MA schemes in terms of their overall frameworks, performance, and
complexities. An in-depth discussion of future RSMA research challenges is also
provided to inspire future research on RSMA-aided wireless communication for
beyond 5G systems."
311,"By employing RSMA at each

in both use cases require further study.",The application of RSMA                    serves one single-antenna user.,"transmitter-k, the message Wk of user-k is split into two parts

D. Multi-cell RSMA                                                        Wc,k and Wp,k, which are then encoded into two streams
                                                                          sc,k, sp,k and linearly precoded via precoders pc,k, pp,k ∈
   Next, we increase our scope of RSMA by considering                     CM×1.",2022-01-10 07:13:03+00:00,"Rate-Splitting Multiple Access: Fundamentals, Survey, and Future Research Trends",cs.IT,"['cs.IT', 'eess.SP', 'math.IT']","[arxiv.Result.Author('Yijie Mao'), arxiv.Result.Author('Onur Dizdar'), arxiv.Result.Author('Bruno Clerckx'), arxiv.Result.Author('Robert Schober'), arxiv.Result.Author('Petar Popovski'), arxiv.Result.Author('H. Vincent Poor')]","Rate-splitting multiple access (RSMA) has emerged as a novel, general, and
powerful framework for the design and optimization of non-orthogonal
transmission, multiple access (MA), and interference management strategies for
future wireless networks. Through information and communication theoretic
analysis, RSMA has been shown to be optimal (from a Degrees-of-Freedom region
perspective) in several transmission scenarios. Compared to the conventional MA
strategies used in 5G, RSMA enables spectral efficiency (SE), energy efficiency
(EE), coverage, user fairness, reliability, and quality of service (QoS)
enhancements for a wide range of network loads (including both underloaded and
overloaded regimes) and user channel conditions. Furthermore, it enjoys a
higher robustness against imperfect channel state information at the
transmitter (CSIT) and entails lower feedback overhead and complexity. Despite
its great potential to fundamentally change the physical (PHY) layer and media
access control (MAC) layer of wireless communication networks, RSMA is still
confronted with many challenges on the road towards standardization. In this
paper, we present the first comprehensive overview on RSMA by providing a
survey of the pertinent state-of-the-art research, detailing its architecture,
taxonomy, and various appealing applications, as well as comparing with
existing MA schemes in terms of their overall frameworks, performance, and
complexities. An in-depth discussion of future RSMA research challenges is also
provided to inspire future research on RSMA-aided wireless communication for
beyond 5G systems."
