,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
1415,"In the          We hope this work will encourage further research in the
                                                                 direction of regime detection in ﬁnancial markets and the
case of a buy execution parent order, we aim to minimize         study of regime-awareness impact on policies to achieve ﬁ-
                                                                 nancial tasks.",the executed quantity of order oi and Pi its price.,this quantity.,2022-02-02 10:27:12+00:00,CTMSTOU driven markets: simulated environment for regime-awareness in trading policies,cs.MA,"['cs.MA', 'cs.AI', 'econ.GN', 'q-fin.EC', 'q-fin.MF']","[arxiv.Result.Author('Selim Amrouni'), arxiv.Result.Author('Aymeric Moulin'), arxiv.Result.Author('Tucker Balch')]","Market regimes is a popular topic in quantitative finance even though there
is little consensus on the details of how they should be defined. They arise as
a feature both in financial market prediction problems and financial market
task performing problems.
  In this work we use discrete event time multi-agent market simulation to
freely experiment in a reproducible and understandable environment where
regimes can be explicitly switched and enforced.
  We introduce a novel stochastic process to model the fundamental value
perceived by market participants: Continuous-Time Markov Switching Trending
Ornstein-Uhlenbeck (CTMSTOU), which facilitates the study of trading policies
in regime switching markets.
  We define the notion of regime-awareness for a trading agent as well and
illustrate its importance through the study of different order placement
strategies in the context of order execution problems."
1416,"In the          We hope this work will encourage further research in the
                                                                 direction of regime detection in ﬁnancial markets and the
case of a buy execution parent order, we aim to minimize         study of regime-awareness impact on policies to achieve ﬁ-
                                                                 nancial tasks.",the executed quantity of order oi and Pi its price.,this quantity.,2022-02-02 10:27:12+00:00,CTMSTOU driven markets: simulated environment for regime-awareness in trading policies,cs.MA,"['cs.MA', 'cs.AI', 'econ.GN', 'q-fin.EC', 'q-fin.MF']","[arxiv.Result.Author('Selim Amrouni'), arxiv.Result.Author('Aymeric Moulin'), arxiv.Result.Author('Tucker Balch')]","Market regimes is a popular topic in quantitative finance even though there
is little consensus on the details of how they should be defined. They arise as
a feature both in financial market prediction problems and financial market
task performing problems.
  In this work we use discrete event time multi-agent market simulation to
freely experiment in a reproducible and understandable environment where
regimes can be explicitly switched and enforced.
  We introduce a novel stochastic process to model the fundamental value
perceived by market participants: Continuous-Time Markov Switching Trending
Ornstein-Uhlenbeck (CTMSTOU), which facilitates the study of trading policies
in regime switching markets.
  We define the notion of regime-awareness for a trading agent as well and
illustrate its importance through the study of different order placement
strategies in the context of order execution problems."
1493,"Prior work considered bounded ratio-
nality assumptions but found it to be analytically difﬁcult (Mirrlees, 1976) and further research in
this direction is sparse.","Real-world PA experiments have shown that bounded
rationality is key to explaining marked deviations between equilibria reached by human participants
and theoretical predictions (Erlei & Schenk-Mathes, 2017).","We show that RIRL allows us to analyze generalized PA problems that are
analytically intractable, such as a sequential PA problem with multiple Agents and heterogeneous in-
formation channels.",2022-01-18 20:54:00+00:00,Modeling Bounded Rationality in Multi-Agent Simulations Using Rationally Inattentive Reinforcement Learning,cs.MA,"['cs.MA', 'cs.AI']","[arxiv.Result.Author('Tong Mu'), arxiv.Result.Author('Stephan Zheng'), arxiv.Result.Author('Alexander Trott')]","Multi-agent reinforcement learning (MARL) is a powerful framework for
studying emergent behavior in complex agent-based simulations. However, RL
agents are often assumed to be rational and behave optimally, which does not
fully reflect human behavior. Here, we study more human-like RL agents which
incorporate an established model of human-irrationality, the Rational
Inattention (RI) model. RI models the cost of cognitive information processing
using mutual information. Our RIRL framework generalizes and is more flexible
than prior work by allowing for multi-timestep dynamics and information
channels with heterogeneous processing costs. We evaluate RIRL in
Principal-Agent (specifically manager-employee relations) problem settings of
varying complexity where RI models information asymmetry (e.g. it may be costly
for the manager to observe certain information about the employees). We show
that using RIRL yields a rich spectrum of new equilibrium behaviors that differ
from those found under rational assumptions. For instance, some forms of a
Principal's inattention can increase Agent welfare due to increased
compensation, while other forms of inattention can decrease Agent welfare by
encouraging extra work effort. Additionally, new strategies emerge compared to
those under rationality assumptions, e.g., Agents are incentivized to increase
work effort. These results suggest RIRL is a powerful tool towards building AI
agents that can mimic real human behavior."
2274,"We seek to address this lim-
                                        agents without prior coordination (an intricate concept which    itation and help foster further research in AHT.","However, to date there is no
                                        veloping agents capable of cooperating on the ﬂy with other      comprehensive survey on AHT.",we elaborate on in section 3).,2022-02-16 18:16:27+00:00,"A Survey of Ad Hoc Teamwork: Definitions, Methods, and Open Problems",cs.MA,"['cs.MA', 'cs.AI']","[arxiv.Result.Author('Reuth Mirsky'), arxiv.Result.Author('Ignacio Carlucho'), arxiv.Result.Author('Arrasy Rahman'), arxiv.Result.Author('Elliot Fosong'), arxiv.Result.Author('William Macke'), arxiv.Result.Author('Mohan Sridharan'), arxiv.Result.Author('Peter Stone'), arxiv.Result.Author('Stefano V. Albrecht')]","Ad hoc teamwork is the well-established research problem of designing agents
that can collaborate with new teammates without prior coordination. This survey
makes a two-fold contribution. First, it provides a structured description of
the different facets of the ad hoc teamwork problem. Second, it discusses the
progress that has been made in the field so far, and identifies the immediate
and long-term open problems that need to be addressed in the field of ad hoc
teamwork."
2275,"We seek to address this gap in the literature and
help foster further research in AHT.","However, to date there
is no comprehensive survey on AHT.","2 Background

This section provides a basic formulation of the AHT problem.",2022-02-16 18:16:27+00:00,A Survey of Ad Hoc Teamwork Research,cs.MA,"['cs.MA', 'cs.AI']","[arxiv.Result.Author('Reuth Mirsky'), arxiv.Result.Author('Ignacio Carlucho'), arxiv.Result.Author('Arrasy Rahman'), arxiv.Result.Author('Elliot Fosong'), arxiv.Result.Author('William Macke'), arxiv.Result.Author('Mohan Sridharan'), arxiv.Result.Author('Peter Stone'), arxiv.Result.Author('Stefano V. Albrecht')]","Ad hoc teamwork is the research problem of designing agents that can
collaborate with new teammates without prior coordination. This survey makes a
two-fold contribution: First, it provides a structured description of the
different facets of the ad hoc teamwork problem. Second, it discusses the
progress that has been made in the field so far, and identifies the immediate
and long-term open problems that need to be addressed in ad hoc teamwork."
2276,We seek to address this gap in the literature and help foster further research in AHT.,"However, to date there is no comprehensive survey on AHT.","2 Background

This section provides a basic formulation of the AHT problem.",2022-02-16 18:16:27+00:00,A Survey of Ad Hoc Teamwork Research,cs.MA,"['cs.MA', 'cs.AI']","[arxiv.Result.Author('Reuth Mirsky'), arxiv.Result.Author('Ignacio Carlucho'), arxiv.Result.Author('Arrasy Rahman'), arxiv.Result.Author('Elliot Fosong'), arxiv.Result.Author('William Macke'), arxiv.Result.Author('Mohan Sridharan'), arxiv.Result.Author('Peter Stone'), arxiv.Result.Author('Stefano V. Albrecht')]","Ad hoc teamwork is the research problem of designing agents that can
collaborate with new teammates without prior coordination. This survey makes a
two-fold contribution: First, it provides a structured description of the
different facets of the ad hoc teamwork problem. Second, it discusses the
progress that has been made in the field so far, and identifies the immediate
and long-term open problems that need to be addressed in ad hoc teamwork."
2367,"The key message we can draw from this analysis is that further research must take
the presence of passengers with movement limitations into account, especially in regard to situations
involving non-standard exit types.","The inﬂuence of crowd heterogeneity (presence of passengers with limitations) is even more evident
from sensitivity analysis conducted for the third phase of simulations, in which the ratio of agents of
the types with limitations (“Children”, “Carrying a toddler”, “Seniors”, and “With disabilities”, ranged
from 0% to 60%.","The performed analysis indicates that a non-standard exit path during a railcar evacuation is an
important factor inﬂuencing the evacuation time, particularly when the railcar is occupied by a het-
erogeneous population of passengers with respect to their movement abilities.",2022-02-23 12:25:06+00:00,Evacuation trials from a double-deck electric train unit: Experimental data and sensitivity analysis,cs.MA,"['cs.MA', 'physics.soc-ph']","[arxiv.Result.Author('Hana Najmanová'), arxiv.Result.Author('Veronika Pešková'), arxiv.Result.Author('Lukáš Kuklík'), arxiv.Result.Author('Marek Bukáček'), arxiv.Result.Author('Pavel Hrabák'), arxiv.Result.Author('Daniel Vašata')]","Passenger trains represent a challenging environment in emergencies, with
specific evacuation conditions resulting from the typical layout and interior
design inherent to public transportation vehicles. This paper describes a
dataset obtained in a full-scale controlled experiment emulating the emergency
evacuation of a double-deck electric unit railcar carried out in Prague in
2018. 15 evacuation trials involving 91 participants were conducted under
various evacuation scenarios considering different compositions of passenger
crowd, exit widths, and exit types (e.g. egress to a high platform, to an open
rail line using stairs, and a 750 mm jump without any supporting equipment).
The study's main goals were to collect experimental data on the movement
conditions in the railcar and to study the impact of various boundary
conditions on evacuation process and total evacuation time. Movement
characteristics (exit flows, speeds) and human behaviour (pre-movement
activities, exiting behaviours) were also analysed.
  The data obtained was used to validate and adjust a Pathfinder model to
capture important aspects of evacuation from the railcar. Furthermore, a series
of simulations using this model was performed to provide sensitivity analysis
of the influence of crowd composition, exit width, and exit type on total
evacuation time. As a key finding, we can conclude that for the case of a
standard exit path (platform or stairs) the width of the main exit had the
greatest impact on total evacuation time, however, crowd composition played the
prevailing role in evacuation scenarios involving a jump."
2600,Such ideas merit further study.,"As
divorced people may have joint custody of their children and may      the foregoing examples demonstrate, Pippi supports both discov-
thus function together in a MAS, albeit not the same MAS as when      ery and role binding and thus enables the realization of arbitrary
they were married.",applications as a peer-peer system.,2022-02-28 20:44:23+00:00,Pippi: Practical Protocol Instantiation,cs.MA,['cs.MA'],"[arxiv.Result.Author('Samuel H. Christie V'), arxiv.Result.Author('Amit K. Chopra'), arxiv.Result.Author('Munindar P. Singh')]","A protocol specifies interactions between roles, which together constitute a
multiagent system (MAS). Enacting a protocol presupposes that agents are bound
to the its roles. Existing protocol-based approaches, however, do not
adequately treat the practical aspects of how roles bindings come about.
  Pippi addresses this problem of MAS instantiation. It proposes the notion of
a metaprotocol, enacting which instantiates a MAS suitable for enacting a given
protocol. Pippi demonstrates the subtleties involved in instantiating MAS
arising from protocol composition, correlation, and decentralization. To
address these subtleties and further support practical application patterns, we
introduce an enhanced protocol language, with support for parameter types
(including role and protocol typed parameters, for metaprotocols), interface
flexibility, and binding constraints. We discuss the realization of our
approach through an extended agent architecture, including the novel concept of
a MAS adapter for contact management. We evaluate Pippi's expressiveness by
demonstrating common patterns for agent discovery."
3386,"Necessity of Du-PCB (RQ3)

                                                                                                          To address RQ3, we consider whether the positive and nega-
                                                                                                          tive buffers in Du-PCB can be replaced with a normal replay
PMIC: Improving Multi-Agent Reinforcement Learning with Progressive Mutual Information Collaboration

                       &RRSHUDWLYH1DYLJDWLRQ                   other hand, extending PMIC with advanced techniques, like
                                                                hybrid action space (Li et al., 2021), evolutionary RL (Shen
                                                             et al., 2020), or prior human knowledge (Zhang et al., 2020),
                                                                is worth further study.","Due to the space limitation,
                                                                                                          these ablation experiments are put in Appendix E.

                                                                                                          5.4.","
                                                                Acknowledgements
/
                                                                The work is supported by the National Natural Science
/  5HZDUG                                                    Foundation of China (Grant Nos.",2022-03-16 11:28:23+00:00,PMIC: Improving Multi-Agent Reinforcement Learning with Progressive Mutual Information Collaboration,cs.MA,"['cs.MA', 'cs.AI']","[arxiv.Result.Author('Pengyi Li'), arxiv.Result.Author('Hongyao Tang'), arxiv.Result.Author('Tianpei Yang'), arxiv.Result.Author('Xiaotian Hao'), arxiv.Result.Author('Tong Sang'), arxiv.Result.Author('Yan Zheng'), arxiv.Result.Author('Jianye Hao'), arxiv.Result.Author('Matthew E. Taylor'), arxiv.Result.Author('Wenyuan Tao'), arxiv.Result.Author('Zhen Wang')]","Learning to collaborate is critical in Multi-Agent Reinforcement Learning
(MARL). Previous works promote collaboration by maximizing the correlation of
agents' behaviors, which is typically characterized by Mutual Information (MI)
in different forms. However, we reveal sub-optimal collaborative behaviors also
emerge with strong correlations, and simply maximizing the MI can,
surprisingly, hinder the learning towards better collaboration. To address this
issue, we propose a novel MARL framework, called Progressive Mutual Information
Collaboration (PMIC), for more effective MI-driven collaboration. PMIC uses a
new collaboration criterion measured by the MI between global states and joint
actions. Based on this criterion, the key idea of PMIC is maximizing the MI
associated with superior collaborative behaviors and minimizing the MI
associated with inferior ones. The two MI objectives play complementary roles
by facilitating better collaborations while avoiding falling into sub-optimal
ones. Experiments on a wide range of MARL benchmarks show the superior
performance of PMIC compared with other algorithms."
3827,"A further study by UberEats from
February through May 2020 shows that restaurants that used delivery platforms saw ”signiﬁcant
and economically meaningful” increases in orders, which may have kept some restaurants alive [22].","An empirical study indeed
shows that low proﬁt-margin restaurants which did not ﬁnd platform services to be economical pre-
pandemic, turned to these platforms in order to survive [29].","On the other hand, as an increasing number of customers turns to adopt platforms due to the
higher oﬀ-platform transaction costs, platforms possess larger market power, and thus have driven
up the on-platform service and commission fees.",2022-03-25 00:21:41+00:00,Using Reinforcement Learning to Study Platform Economies under Market Shocks,cs.MA,"['cs.MA', 'cs.GT']","[arxiv.Result.Author('Xintong Wang'), arxiv.Result.Author('Gary Qiurui Ma'), arxiv.Result.Author('Alon Eden'), arxiv.Result.Author('Clara Li'), arxiv.Result.Author('Alexander Trott'), arxiv.Result.Author('Stephan Zheng'), arxiv.Result.Author('David C. Parkes')]","Driven by rapid digitization and expansive internet access, market-driven
platforms (e.g., Amazon, DoorDash, Uber, TaskRabbit) are increasingly prevalent
and becoming key drivers of the economy. Across many industries, platforms
leverage digital infrastructure to efficiently match producers and consumers,
dynamically set prices, and enable economies of scale. This increasing
prominence makes it important to understand the behavior of platforms, which
induces complex phenomenon especially in the presence of severe market shocks
(e.g., during pandemics). In this work, we develop a multi-agent simulation
environment to capture key elements of a platform economy, including the kinds
of economic shocks that disrupt a traditional, off-platform market. We use deep
reinforcement learning (RL) to model the pricing and matching behavior of a
platform that optimizes for revenue and various socially-aware objectives. We
start with tractable motivating examples to establish intuitions about the
dynamics and function of optimal platform policies. We then conduct extensive
empirical simulations on multi-period environments, including settings with
market shocks. We characterize the effect of a platform on the efficiency and
resilience of an economic system under different platform design objectives. We
further analyze the consequences of regulation fixing platform fees, and study
the alignment of a revenue-maximizing platform with social welfare under
different platform matching policies. As such, our RL-based framework provides
a foundation for understanding platform economies under different designs and
for yielding new economic insights that are beyond analytical tractability."
5082,"The issue is an intriguing one
which could be usefully explored in further research.","In our future research, we
intend to concentrate on how to choose the appropriate rollout horizon.","9
References

 [1] Zaheer Abbas, Samuel Sokota, Erin Talvitie, and Martha White.",2022-04-20 12:16:27+00:00,Mingling Foresight with Imagination: Model-Based Cooperative Multi-Agent Reinforcement Learning,cs.MA,"['cs.MA', 'cs.AI', 'cs.LG']","[arxiv.Result.Author('Zhiwei Xu'), arxiv.Result.Author('Dapeng Li'), arxiv.Result.Author('Bin Zhang'), arxiv.Result.Author('Yuan Zhan'), arxiv.Result.Author('Yunpeng Bai'), arxiv.Result.Author('Guoliang Fan')]","Recently, model-based agents have achieved better performance than model-free
ones using the same computational budget and training time in single-agent
environments. However, due to the complexity of multi-agent systems, it is
tough to learn the model of the environment. The significant compounding error
may hinder the learning process when model-based methods are applied to
multi-agent tasks. This paper proposes an implicit model-based multi-agent
reinforcement learning method based on value decomposition methods. Under this
method, agents can interact with the learned virtual environment and evaluate
the current state value according to imagined future states in the latent
space, making agents have the foresight. Our approach can be applied to any
multi-agent value decomposition method. The experimental results show that our
method improves the sample efficiency in different partially observable Markov
decision process domains."
5083,"The issue is an intriguing one
which could be usefully explored in further research.","In our future research, we
intend to concentrate on how to choose the appropriate rollout horizon.","Acknowledgments and Disclosure of Funding

The work is supported by the National Defence Foundation Reinforcement Fund.",2022-04-20 12:16:27+00:00,Mingling Foresight with Imagination: Model-Based Cooperative Multi-Agent Reinforcement Learning,cs.MA,"['cs.MA', 'cs.AI', 'cs.LG']","[arxiv.Result.Author('Zhiwei Xu'), arxiv.Result.Author('Dapeng Li'), arxiv.Result.Author('Bin Zhang'), arxiv.Result.Author('Yuan Zhan'), arxiv.Result.Author('Yunpeng Bai'), arxiv.Result.Author('Guoliang Fan')]","Recently, model-based agents have achieved better performance than model-free
ones using the same computational budget and training time in single-agent
environments. However, due to the complexity of multi-agent systems, it is
tough to learn the model of the environment. The significant compounding error
may hinder the learning process when model-based methods are applied to
multi-agent tasks. This paper proposes an implicit model-based multi-agent
reinforcement learning method based on value decomposition methods. Under this
method, agents can interact with the learned virtual environment and evaluate
the current state value according to imagined future states in the latent
space, making agents have the foresight. Our approach can be applied to any
multi-agent value decomposition method. The experimental results show that our
method improves the sample efficiency in different partially observable Markov
decision process domains."
7152,"Whilst this shows the versatility of these al-
gorithms, further research could be placed into the use of deep                                                                                             ANN                                                           6.5
reinforcement learning (DRL) to improve results.","Second is the Roth-Erev algorithm, which is used                                                                                            Roth-Erev                                                     9.7
by 9.7% of papers.","DRL uses deep
neural networks to act as function approximators.",2022-06-05 14:52:26+00:00,Machine learning applications for electricity market agent-based models: A systematic literature review,cs.MA,"['cs.MA', 'cs.LG']","[arxiv.Result.Author('Alexander J. M. Kell'), arxiv.Result.Author('Stephen McGough'), arxiv.Result.Author('Matthew Forshaw')]","The electricity market has a vital role to play in the decarbonisation of the
energy system. However, the electricity market is made up of many different
variables and data inputs. These variables and data inputs behave in sometimes
unpredictable ways which can not be predicted a-priori. It has therefore been
suggested that agent-based simulations are used to better understand the
dynamics of the electricity market. Agent-based models provide the opportunity
to integrate machine learning and artificial intelligence to add intelligence,
make better forecasts and control the power market in better and more efficient
ways. In this systematic literature review, we review 55 papers published
between 2016 and 2021 which focus on machine learning applied to agent-based
electricity market models. We find that research clusters around popular
topics, such as bidding strategies. However, there exists a long-tail of
different research applications that could benefit from the high intensity
research from the more investigated applications."
7241,"Another review in
favour of a synergistic exploitation of MAS and DTs, while recognising the need
for further research along this line, argues that agents and MAS are good ex-
amples of how autonomous decision-making can be modelled and implemented
based on digital representations of physical entities [17]—as DTs are.","Also reference [12] promotes the idea that through a MAS a
set of DTs can create a network named as “asset ﬂeet”, essentially enabling DTs
to obtain information about events that have not aﬀected them yet, as a away
to improve their individual knowledge of the environment.","Another literature review [28], explicitly targeting the supply chain business
domain, sums up well how MAS and DTs are currently mostly exploited in
synergy (emphasis added)—also outside of the supply chain domain:

     “Since supply chains are now building with increasingly complex and col-
     laborative interdependencies, Agent-Based Models are an extremely use-
     ful tool when representing such relationships [.",2022-06-07 13:08:46+00:00,"About Digital Twins, agents, and multiagent systems: a cross-fertilisation journey",cs.MA,"['cs.MA', 'I.2.11; D.2.10; D.2.11']","[arxiv.Result.Author('Stefano Mariani'), arxiv.Result.Author('Marco Picone'), arxiv.Result.Author('Alessandro Ricci')]","Digital Twins (DTs) are rapidly emerging as a fundamental brick of
engineering cyber-physical systems, but their notion is still mostly bound to
specific business domains (e.g. manufacturing), goals (e.g. product design), or
application domains (e.g. the Internet of Things). As such, their value as
general purpose engineering abstractions is yet to be fully revealed. In this
paper, we relate DTs with agents and multiagent systems, as the latter are
arguably the most rich abstractions available for the engineering of complex
socio-technical and cyber-physical systems, and the former could both fill in
some gaps in agent-oriented engineering and benefit from an agent-oriented
interpretation -- in a cross-fertilisation journey."
7837,"Moreover, We plan to open-source the
realistic simulation environments and design of our platform                    [16] M. Hoffman, B. Shahriari, J. Aslanides, G. Barth-Maron, F. Behbahani,
to encourage further research on multi-robot reinforcement                            T. Norman, A. Abdolmaleki, A. Cassirer, F. Yang, K. Baumli et al.,
learning.","abs/1606.01540,
and discuss several challenges in multi-robot reinforcement                           2016.
learning research.","“Acme: A research framework for distributed reinforcement learning,”
                                                                                      CoRR, vol.",2022-06-20 06:36:45+00:00,From Multi-agent to Multi-robot: A Scalable Training and Evaluation Platform for Multi-robot Reinforcement Learning,cs.MA,"['cs.MA', 'cs.AI', 'cs.RO', 'I.2.9; I.2.11']","[arxiv.Result.Author('Zhiuxan Liang'), arxiv.Result.Author('Jiannong Cao'), arxiv.Result.Author('Shan Jiang'), arxiv.Result.Author('Divya Saxena'), arxiv.Result.Author('Jinlin Chen'), arxiv.Result.Author('Huafeng Xu')]","Multi-agent reinforcement learning (MARL) has been gaining extensive
attention from academia and industries in the past few decades. One of the
fundamental problems in MARL is how to evaluate different approaches
comprehensively. Most existing MARL methods are evaluated in either video games
or simplistic simulated scenarios. It remains unknown how these methods perform
in real-world scenarios, especially multi-robot systems. This paper introduces
a scalable emulation platform for multi-robot reinforcement learning (MRRL)
called SMART to meet this need. Precisely, SMART consists of two components: 1)
a simulation environment that provides a variety of complex interaction
scenarios for training and 2) a real-world multi-robot system for realistic
performance evaluation. Besides, SMART offers agent-environment APIs that are
plug-and-play for algorithm implementation. To illustrate the practicality of
our platform, we conduct a case study on the cooperative driving lane change
scenario. Building off the case study, we summarize several unique challenges
of MRRL, which are rarely considered previously. Finally, we open-source the
simulation environments, associated benchmark tasks, and state-of-the-art
baselines to encourage and empower MRRL research."
10040,"We have every conﬁdence that this new domain lays down the blueprints for
much further research in the future.","Thus, we add to the initial SVRP research from
[1,2,3,4].","Our inspiration is in line with multiple programmes across Europe in regard to
emerging VRPs.",2022-08-15 09:53:50+00:00,Fair Division meets Vehicle Routing: Fairness for Drivers with Monotone Profits,cs.MA,['cs.MA'],[arxiv.Result.Author('Martin Damyanov Aleksandrov')],"We propose a new model for fair division and vehicle routing, where drivers
have monotone profit preferences, and their vehicles have feasibility
constraints, for customer requests. For this model, we design two new axiomatic
notions for fairness for drivers: FEQ1 and FEF1. FEQ1 encodes driver pairwise
bounded equitability. FEF1 encodes driver pairwise bounded envy freeness. We
compare FEQ1 and FEF1 with popular fair division notions such as EQ1 and EF1.
We also give algorithms for guaranteeing FEQ1 and FEF1, respectively."
