,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
740,"And it paves the way for
further research on solving Reinforcement Learning problems
with directly-trained SNNs.",games with the directly-trained SNN.,"JOURNAL OF X, VOL.",2021-12-13 09:46:17+00:00,Human-Level Control through Directly-Trained Deep Spiking Q-Networks,cs.NE,"['cs.NE', 'cs.LG']","[arxiv.Result.Author('Guisong Liu'), arxiv.Result.Author('Wenjie Deng'), arxiv.Result.Author('Xiurui Xie'), arxiv.Result.Author('Li Huang'), arxiv.Result.Author('Huajin Tang')]","As the third-generation neural networks, Spiking Neural Networks (SNNs) have
great potential on neuromorphic hardware because of their high
energy-efficiency. However, Deep Spiking Reinforcement Learning (DSRL), i.e.,
the Reinforcement Learning (RL) based on SNNs, is still in its preliminary
stage due to the binary output and the non-differentiable property of the
spiking function. To address these issues, we propose a Deep Spiking Q-Network
(DSQN) in this paper. Specifically, we propose a directly-trained deep spiking
reinforcement learning architecture based on the Leaky Integrate-and-Fire (LIF)
neurons and Deep Q-Network (DQN). Then, we adapt a direct spiking learning
algorithm for the Deep Spiking Q-Network. We further demonstrate the advantages
of using LIF neurons in DSQN theoretically. Comprehensive experiments have been
conducted on 17 top-performing Atari games to compare our method with the
state-of-the-art conversion method. The experimental results demonstrate the
superiority of our method in terms of performance, stability, robustness and
energy-efficiency. To the best of our knowledge, our work is the first one to
achieve state-of-the-art performance on multiple Atari games with the
directly-trained SNN."
741,"And it paves the
way for further research on solving Reinforcement Learning                                      III.",Atari games with the directly-trained SNN.,"METHODS
problems with directly-trained SNNs.",2021-12-13 09:46:17+00:00,Human-Level Control through Directly-Trained Deep Spiking Q-Networks,cs.NE,"['cs.NE', 'cs.LG']","[arxiv.Result.Author('Guisong Liu'), arxiv.Result.Author('Wenjie Deng'), arxiv.Result.Author('Xiurui Xie'), arxiv.Result.Author('Li Huang'), arxiv.Result.Author('Huajin Tang')]","As the third-generation neural networks, Spiking Neural Networks (SNNs) have
great potential on neuromorphic hardware because of their high
energy-efficiency. However, Deep Spiking Reinforcement Learning (DSRL), i.e.,
the Reinforcement Learning (RL) based on SNNs, is still in its preliminary
stage due to the binary output and the non-differentiable property of the
spiking function. To address these issues, we propose a Deep Spiking Q-Network
(DSQN) in this paper. Specifically, we propose a directly-trained deep spiking
reinforcement learning architecture based on the Leaky Integrate-and-Fire (LIF)
neurons and Deep Q-Network (DQN). Then, we adapt a direct spiking learning
algorithm for the Deep Spiking Q-Network. We further demonstrate the advantages
of using LIF neurons in DSQN theoretically. Comprehensive experiments have been
conducted on 17 top-performing Atari games to compare our method with the
state-of-the-art conversion method. The experimental results demonstrate the
superiority of our method in terms of performance, stability, robustness and
energy-efficiency. To the best of our knowledge, our work is the first one to
achieve state-of-the-art performance on multiple Atari games with the
directly-trained SNN."
742,"such as Distributional RL, our work needs further study.","For other Deep Reinforcement Learning algorithms,
and the CDQN and CDSQN are trained on 10M timesteps.","The
The hyperparameters of the Double DQN and CDQN follow               theoretical analysis of LIF neuron’s nature is not particularly
their references [44] and [45] respectively.",2021-12-13 09:46:17+00:00,Human-Level Control through Directly-Trained Deep Spiking Q-Networks,cs.NE,"['cs.NE', 'cs.LG']","[arxiv.Result.Author('Guisong Liu'), arxiv.Result.Author('Wenjie Deng'), arxiv.Result.Author('Xiurui Xie'), arxiv.Result.Author('Li Huang'), arxiv.Result.Author('Huajin Tang')]","As the third-generation neural networks, Spiking Neural Networks (SNNs) have
great potential on neuromorphic hardware because of their high
energy-efficiency. However, Deep Spiking Reinforcement Learning (DSRL), i.e.,
the Reinforcement Learning (RL) based on SNNs, is still in its preliminary
stage due to the binary output and the non-differentiable property of the
spiking function. To address these issues, we propose a Deep Spiking Q-Network
(DSQN) in this paper. Specifically, we propose a directly-trained deep spiking
reinforcement learning architecture based on the Leaky Integrate-and-Fire (LIF)
neurons and Deep Q-Network (DQN). Then, we adapt a direct spiking learning
algorithm for the Deep Spiking Q-Network. We further demonstrate the advantages
of using LIF neurons in DSQN theoretically. Comprehensive experiments have been
conducted on 17 top-performing Atari games to compare our method with the
state-of-the-art conversion method. The experimental results demonstrate the
superiority of our method in terms of performance, stability, robustness and
energy-efficiency. To the best of our knowledge, our work is the first one to
achieve state-of-the-art performance on multiple Atari games with the
directly-trained SNN."
1222,"We anticipate that this study will inspire further research
into automatic design of energy-efﬁcient SNN architectures.","ternational Joint Conference on Neural Networks, 2015.","Ding, M., Lian, X., Yang, L., Wang, P., Jin, X., Lu, Z.,
                                                                  and Luo, P. Hr-nas: Searching efﬁcient high-resolution
References                                                        neural architectures with lightweight transformers.",2022-01-30 06:12:59+00:00,AutoSNN: Towards Energy-Efficient Spiking Neural Networks,cs.NE,"['cs.NE', 'cs.AI', 'cs.LG']","[arxiv.Result.Author('Byunggook Na'), arxiv.Result.Author('Jisoo Mok'), arxiv.Result.Author('Seongsik Park'), arxiv.Result.Author('Dongjin Lee'), arxiv.Result.Author('Hyeokjun Choe'), arxiv.Result.Author('Sungroh Yoon')]","Spiking neural networks (SNNs) that mimic information transmission in the
brain can energy-efficiently process spatio-temporal information through
discrete and sparse spikes, thereby receiving considerable attention. To
improve accuracy and energy efficiency of SNNs, most previous studies have
focused solely on training methods, and the effect of architecture has rarely
been studied. We investigate the design choices used in the previous studies in
terms of the accuracy and number of spikes and figure out that they are not
best-suited for SNNs. To further improve the accuracy and reduce the spikes
generated by SNNs, we propose a spike-aware neural architecture search
framework called AutoSNN. We define a search space consisting of architectures
without undesirable design choices. To enable the spike-aware architecture
search, we introduce a fitness that considers both the accuracy and number of
spikes. AutoSNN successfully searches for SNN architectures that outperform
hand-crafted SNNs in accuracy and energy efficiency. We thoroughly demonstrate
the effectiveness of AutoSNN on various datasets including neuromorphic
datasets."
1223,"We anticipate that this
have eight TBD blocks as described in TABLE VI; both of            study will inspire further research into automatic design of
them include 390,625 architectures (58).","Our results highlighted the importance of architectural
We construct two search spaces, where the macro architectures      conﬁgurations in the SNN domain.",One is the SNN 3-         energy-efﬁcient SNN architectures.,2022-01-30 06:12:59+00:00,AutoSNN: Towards Energy-Efficient Spiking Neural Networks,cs.NE,"['cs.NE', 'cs.AI', 'cs.LG']","[arxiv.Result.Author('Byunggook Na'), arxiv.Result.Author('Jisoo Mok'), arxiv.Result.Author('Seongsik Park'), arxiv.Result.Author('Dongjin Lee'), arxiv.Result.Author('Hyeokjun Choe'), arxiv.Result.Author('Sungroh Yoon')]","Spiking neural networks (SNNs) that mimic information transmission in the
brain can energy-efficiently process spatio-temporal information through
discrete and sparse spikes, thereby receiving considerable attention. To
improve accuracy and energy efficiency of SNNs, most previous studies have
focused solely on training methods, and the effect of architecture has rarely
been studied. We investigate the design choices used in the previous studies in
terms of the accuracy and number of spikes and figure out that they are not
best-suited for SNNs. To further improve the accuracy and reduce the spikes
generated by SNNs, we propose a spike-aware neural architecture search
framework called AutoSNN. We define a search space consisting of architectures
without undesirable design choices. To enable the spike-aware architecture
search, we introduce a fitness that considers both the accuracy and number of
spikes. AutoSNN successfully searches for SNN architectures that outperform
hand-crafted SNNs in accuracy and energy efficiency. We thoroughly demonstrate
the effectiveness of AutoSNN on various datasets including neuromorphic
datasets."
1224,"We               Guerra, G. A. F., Joshi, P., Plank, P., and Risbud, S. R.
anticipate that this study will inspire further research into      Advancing neuromorphic computing with loihi: A survey
automatic design of energy-efﬁcient SNN architectures.","Our results highlighted the importance     Davies, M., Wild, A., Orchard, G., Sandamirskaya, Y.,
of architectural conﬁgurations in the SNN domain.",of results and outlook.,2022-01-30 06:12:59+00:00,AutoSNN: Towards Energy-Efficient Spiking Neural Networks,cs.NE,"['cs.NE', 'cs.AI', 'cs.LG']","[arxiv.Result.Author('Byunggook Na'), arxiv.Result.Author('Jisoo Mok'), arxiv.Result.Author('Seongsik Park'), arxiv.Result.Author('Dongjin Lee'), arxiv.Result.Author('Hyeokjun Choe'), arxiv.Result.Author('Sungroh Yoon')]","Spiking neural networks (SNNs) that mimic information transmission in the
brain can energy-efficiently process spatio-temporal information through
discrete and sparse spikes, thereby receiving considerable attention. To
improve accuracy and energy efficiency of SNNs, most previous studies have
focused solely on training methods, and the effect of architecture has rarely
been studied. We investigate the design choices used in the previous studies in
terms of the accuracy and number of spikes and figure out that they are not
best-suited for SNNs. To further improve the accuracy and reduce the spikes
generated by SNNs, we propose a spike-aware neural architecture search
framework called AutoSNN. We define a search space consisting of architectures
without undesirable design choices. To enable the spike-aware architecture
search, we introduce a fitness that considers both the accuracy and number of
spikes. AutoSNN successfully searches for SNN architectures that outperform
hand-crafted SNNs in accuracy and energy efficiency. We thoroughly demonstrate
the effectiveness of AutoSNN on various datasets including neuromorphic
datasets."
1526,"Secondly, our results are limited to a single system and further research is
needed to apply QD-search methods to a wider variety of creative systems.","However, such simple measures would be unlikely to generalise
to other systems, so further work is needed to ﬁnd high quality aesthetic ﬁtness
measures that work across diﬀerent visual forms and styles.","The
fundamental challenge is in devising suitable computable measures of both qual-
ity and diversity that work for a speciﬁc generative system.",2022-02-04 04:11:21+00:00,Quality-diversity for aesthetic evolution,cs.NE,"['cs.NE', 'cs.HC', 'F.2.3; J.5; I.3.3']","[arxiv.Result.Author('Jon McCormack'), arxiv.Result.Author('Camilo Cruz Gambardella')]","Many creative generative design spaces contain multiple regions with
individuals of high aesthetic value. Yet traditional evolutionary computing
methods typically focus on optimisation, searching for the fittest individual
in a population. In this paper we apply quality-diversity search methods to
explore a creative generative system (an agent-based line drawing model). We
perform a random sampling of genotype space and use individual artist-assigned
evaluations of aesthetic quality to formulate a computable fitness measure
specific to the artist and this system. To compute diversity we use a
convolutional neural network to discriminate features that are dimensionally
reduced into two dimensions. We show that the quality-diversity search is able
to find multiple phenotypes of high aesthetic value. These phenotypes show
greater diversity and quality than those the artist was able to find using
manual search methods."
1535,"However,
such that the area under the KDE curve is 1.                                                                                      we believe that further studying noise in network performance eval-
                                                                                                                                  uation with more advanced NAS techniques, including approaches
Table 1.",The y-axis is normalized                                                                      using partial training can only aggravate this problem.,"Comparison of the best found architectures to al-                                                                        based on supernetworks, is an interesting topic for further research.",2022-02-04 11:20:46+00:00,Heed the Noise in Performance Evaluations in Neural Architecture Search,cs.NE,"['cs.NE', 'cs.CV', 'eess.IV']","[arxiv.Result.Author('Arkadiy Dushatskiy'), arxiv.Result.Author('Tanja Alderliesten'), arxiv.Result.Author('Peter A. N. Bosman')]","Neural Architecture Search (NAS) has recently become a topic of great
interest. However, there is a potentially impactful issue within NAS that
remains largely unrecognized: noise. Due to stochastic factors in neural
network initialization, training, and the chosen train/validation dataset
split, the performance evaluation of a neural network architecture, which is
often based on a single learning run, is also stochastic. This may have a
particularly large impact if a dataset is small. We therefore propose to reduce
the noise by having architecture evaluations comprise averaging of scores over
multiple network training runs using different random seeds and
cross-validation. We perform experiments for a combinatorial optimization
formulation of NAS in which we vary noise reduction levels. We use the same
computational budget for each noise level in terms of network training runs,
i.e., we allow less architecture evaluations when averaging over more training
runs. Multiple search algorithms are considered, including evolutionary
algorithms which generally perform well for NAS. We use two publicly available
datasets from the medical image segmentation domain where datasets are often
limited and variability among samples is often high. Our results show that
reducing noise in architecture evaluations enables finding better architectures
by all considered search algorithms."
1536,"Comparison of the best found architectures to al-                                                                        based on supernetworks, is an interesting topic for further research.","However,
such that the area under the KDE curve is 1.                                                                                      we believe that further studying noise in network performance eval-
                                                                                                                                  uation with more advanced NAS techniques, including approaches
Table 1.",ternative Unet-like architectures.,2022-02-04 11:20:46+00:00,Heed the Noise in Performance Evaluations in Neural Architecture Search,cs.NE,"['cs.NE', 'cs.CV', 'eess.IV']","[arxiv.Result.Author('Arkadiy Dushatskiy'), arxiv.Result.Author('Tanja Alderliesten'), arxiv.Result.Author('Peter A. N. Bosman')]","Neural Architecture Search (NAS) has recently become a topic of great
interest. However, there is a potentially impactful issue within NAS that
remains largely unrecognized: noise. Due to stochastic factors in neural
network initialization, training, and the chosen train/validation dataset
split, the performance evaluation of a neural network architecture, which is
often based on a single learning run, is also stochastic. This may have a
particularly large impact if a dataset is small. We therefore propose to reduce
the noise by having architecture evaluations comprise averaging of scores over
multiple network training runs using different random seeds and
cross-validation. We perform experiments for a combinatorial optimization
formulation of NAS in which we vary noise reduction levels. We use the same
computational budget for each noise level in terms of network training runs,
i.e., we allow less architecture evaluations when averaging over more training
runs. Multiple search algorithms are considered, including evolutionary
algorithms which generally perform well for NAS. We use two publicly available
datasets from the medical image segmentation domain where datasets are often
limited and variability among samples is often high. Our results show that
reducing noise in architecture evaluations enables finding better architectures
by all considered search algorithms."
1537,"However,
EfficientNet-b7-Unet           0.707          0.895                                                                               we believe that further studying noise in network performance eval-
nnUnet                         0.699          0.897                                                                               uation with more advanced NAS techniques, including approaches
Ours, Setup-1Fold (best)       0.723          0.894                                                                               based on supernetworks, is an interesting topic for further research.","Further-
Architecture              Prostate, Dice  ACDC, Dice                                                                              more, we observe that even without partial training (for a fewer
ResNet-18-Unet                 0.690          0.893                                                                               number of epochs) network performance scores are quite noisy, and
EfficientNet-b0-Unet           0.703          0.885                                                                               using partial training can only aggravate this problem.","Ours, Setup-CV (best)          0.723          0.896
Ours, Setup-3CV (best)         0.726          0.897                                                                               7 CONCLUSION

find better networks than the alternatives.",2022-02-04 11:20:46+00:00,Heed the Noise in Performance Evaluations in Neural Architecture Search,cs.NE,"['cs.NE', 'cs.CV', 'eess.IV']","[arxiv.Result.Author('Arkadiy Dushatskiy'), arxiv.Result.Author('Tanja Alderliesten'), arxiv.Result.Author('Peter A. N. Bosman')]","Neural Architecture Search (NAS) has recently become a topic of great
interest. However, there is a potentially impactful issue within NAS that
remains largely unrecognized: noise. Due to stochastic factors in neural
network initialization, training, and the chosen train/validation dataset
split, the performance evaluation of a neural network architecture, which is
often based on a single learning run, is also stochastic. This may have a
particularly large impact if a dataset is small. We therefore propose to reduce
this noise by evaluating architectures based on average performance over
multiple network training runs using different random seeds and
cross-validation. We perform experiments for a combinatorial optimization
formulation of NAS in which we vary noise reduction levels. We use the same
computational budget for each noise level in terms of network training runs,
i.e., we allow less architecture evaluations when averaging over more training
runs. Multiple search algorithms are considered, including evolutionary
algorithms which generally perform well for NAS. We use two publicly available
datasets from the medical image segmentation domain where datasets are often
limited and variability among samples is often high. Our results show that
reducing noise in architecture evaluations enables finding better architectures
by all considered search algorithms."
