,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
393,"on Enterprise Distributed Object Computing Conference
of equal importance for further study.","IEEE
other business-relevant issues including service pricing are           16th Int’l Conf.","(EDOC), Sep. 2012.",2022-01-05 09:25:57+00:00,CDN Slicing over a Multi-Domain Edge Cloud,cs.NI,['cs.NI'],"[arxiv.Result.Author('T. Taleb'), arxiv.Result.Author('P. A. Frangoudis'), arxiv.Result.Author('I. Benkacem'), arxiv.Result.Author('A. Ksentini')]","We present an architecture for the provision of video Content Delivery
Network (CDN) functionality as a service over a multi-domain cloud. We
introduce the concept of a CDN slice, that is, a CDN service instance which is
created upon a content provider's request, is autonomously managed, and spans
multiple potentially heterogeneous edge cloud infrastructures. Our design is
tailored to a 5G mobile network context, building on its inherent
programmability, management flexibility, and the availability of cloud
resources at the mobile edge level, thus close to end users. We exploit Network
Functions Virtualization (NFV) and Multi-access Edge Computing (MEC)
technologies, proposing a system which is aligned with the recent NFV and MEC
standards. To deliver a Quality-of-Experience (QoE) optimized video service, we
derive empirical models of video QoE as a function of service workload, which,
coupled with multi-level service monitoring, drive our slice resource
allocation and elastic management mechanisms. These management schemes feature
autonomic compute resource scaling, and on-the-fly transcoding to adapt video
bit-rate to the current network conditions. Their effectiveness is demonstrated
via testbed experiments."
573,"While the management layer is not less           such, QoS and QoE requirements can be con-
important, further research is motivated in deploy-      tradictory.","As
levels.","Indeed, respecting QoS does not
ing management applications for SFC.",2022-01-05 12:21:46+00:00,Service Function Chaining in 5G & Beyond Networks: Challenges and Open Research Issues,cs.NI,['cs.NI'],"[arxiv.Result.Author('H. Hantouti'), arxiv.Result.Author('N. Benamar'), arxiv.Result.Author('T. Taleb')]","Service Function Chaining (SFC) is a trending paradigm, which has helped to
introduce unseen flexibility in telecom networks. Network service providers, as
well as big network infrastructure providers, are competing to offer
personalized services for their customers. Hence, added value services require
the invocation of various elementary functions called Service Functions (SFs).
The SFC concept composes and imposes the order in which SFs are invoked for a
particular service. Emerging technologies such as Software Defined Networking
and Network Function Virtualization support the dynamic creation and management
of SFC. Even though SFC is an active technical area where several aspects were
already standardized and many SFC architecture flavors are currently deployed,
yet some challenges and open issues are still to be solved. In this paper, we
present different research problems related to SFC and investigate several key
challenges that should be addressed to realize more reliable SFC operations."
712,"On this basis, we further study the selective   message is shown in Figure 1, which includes RPL InstanceID,
forwarding attacks and defense scheme in this work.","The format of a DIO
at the root node.","Unlike        Rank value, DODAG ID, Destination Advertisement Trigger
the blackhole attack model, which blindly drops all packets,      Sequence Number (DTSN), etc.",2022-01-18 12:59:09+00:00,Secure IoT Routing: Selective Forwarding Attacks and Trust-based Defenses in RPL Network,cs.NI,['cs.NI'],"[arxiv.Result.Author('Jun Jiang'), arxiv.Result.Author('Yuhong Liu')]","IPv6 Routing Protocol for Low Power and Lossy Networks (RPL) is an essential
routing protocol to enable communications for IoT networks with low power
devices. RPL uses an objective function and routing constraints to find an
optimized routing path for each node in the network. However, recent research
has shown that topological attacks, such as selective forwarding attacks, pose
great challenges to the secure routing of IoT networks. Many conventional
secure routing solutions, on the other hand, are computationally heavy to be
directly applied in resource-constrained IoT networks. There is an urgent need
to develop lightweight secure routing solutions for IoT networks. In this
paper, we first design and implement a series of advanced selective forwarding
attacks from the attack perspective, which can flexibly select the type and
percentage of forwarding packets in an energy efficient way, and even bad-mouth
other innocent nodes in the network. Experiment results show that the proposed
attacks can maximize the attack consequences (i.e. number of dropped packets)
while maintaining undetected. Moreover, we propose a lightweight trust-based
defense solution to detect and eliminate malicious selective forwarding nodes
from the network. The results show that the proposed defense solution can
achieve high detection accuracy with very limited extra energy usage (i.e.
3.4%)."
715,"The insights offered by this article motivate
sion techniques (such as pruning) have been optimized only          further research that can address the open questions and
for DNN accuracy and without considering device energy              challenges in intelligent 6G-MNs.",Standalone compres-         these issues.,consumption.,2022-01-18 13:15:26+00:00,AI-Aided Integrated Terrestrial and Non-Terrestrial 6G Solutions for Sustainable Maritime Networking,cs.NI,"['cs.NI', 'cs.AI']","[arxiv.Result.Author('Salwa Saafi'), arxiv.Result.Author('Olga Vikhrova'), arxiv.Result.Author('Gábor Fodor'), arxiv.Result.Author('Jiri Hosek'), arxiv.Result.Author('Sergey Andreev')]","The maritime industry is experiencing a technological revolution that affects
shipbuilding, operation of both seagoing and inland vessels, cargo management,
and working practices in harbors. This ongoing transformation is driven by the
ambition to make the ecosystem more sustainable and cost-efficient.
Digitalization and automation help achieve these goals by transforming shipping
and cruising into a much more cost- and energy-efficient, and decarbonized
industry segment. The key enablers in these processes are always-available
connectivity and content delivery services, which can not only aid shipping
companies in improving their operational efficiency and reducing carbon
emissions but also contribute to enhanced crew welfare and passenger
experience. Due to recent advancements in integrating high-capacity and
ultra-reliable terrestrial and non-terrestrial networking technologies,
ubiquitous maritime connectivity is becoming a reality. To cope with the
increased complexity of managing these integrated systems, this article
advocates the use of artificial intelligence and machine learning-based
approaches to meet the service requirements and energy efficiency targets in
various maritime communications scenarios."
716,"The insights offered by this article motivate
sion techniques (such as pruning) have been optimized only          further research that can address the open questions and
for DNN accuracy and without considering device energy              challenges in intelligent 6G-MNs.",Standalone compres-         these issues.,consumption.,2022-01-18 13:15:26+00:00,AI-Aided Integrated Terrestrial and Non-Terrestrial 6G Solutions for Sustainable Maritime Networking,cs.NI,"['cs.NI', 'cs.AI']","[arxiv.Result.Author('Salwa Saafi'), arxiv.Result.Author('Olga Vikhrova'), arxiv.Result.Author('Gábor Fodor'), arxiv.Result.Author('Jiri Hosek'), arxiv.Result.Author('Sergey Andreev')]","The maritime industry is experiencing a technological revolution that affects
shipbuilding, operation of both seagoing and inland vessels, cargo management,
and working practices in harbors. This ongoing transformation is driven by the
ambition to make the ecosystem more sustainable and cost-efficient.
Digitalization and automation help achieve these goals by transforming shipping
and cruising into a much more cost- and energy-efficient, and decarbonized
industry segment. The key enablers in these processes are always-available
connectivity and content delivery services, which can not only aid shipping
companies in improving their operational efficiency and reducing carbon
emissions but also contribute to enhanced crew welfare and passenger
experience. Due to recent advancements in integrating high-capacity and
ultra-reliable terrestrial and non-terrestrial networking technologies,
ubiquitous maritime connectivity is becoming a reality. To cope with the
increased complexity of managing these integrated systems, this article
advocates the use of artificial intelligence and machine learning-based
approaches to meet the service requirements and energy efficiency targets in
various maritime communications scenarios."
768,"In this     cially in the 5 GHz and 6 GHz bands, as a result of favorable
context, we set for further study the adoption of a dynamic       radio propagation conditions.","However, the non-adaptive implementation of the      feature may be complemented by the fact that nodes’ spatial
proposed mechanisms may not be efﬁcient for long-lasting          distribution may create different contention-free links, spe-
ﬂows, as links may change its occupancy very rapidly.","Therefore, trafﬁc with higher
strategy that not only takes into account the instantaneous       QoS requirements can be exclusively exchanged through those
channel occupancy of each interface when a ﬂow becomes            contention-free links, as long as they exist.",2022-01-19 09:49:53+00:00,Multi-link Operation in IEEE 802.11be WLANs,cs.NI,['cs.NI'],"[arxiv.Result.Author('Álvaro López-Raventós'), arxiv.Result.Author('Boris Bellalta')]","The multi-link operation (MLO) is a new feature proposed to be part of the
IEEE 802.11be Extremely High Throughput (EHT) amendment. Such feature
represents a paradigm shift towards multi-link communications, as nodes will be
allowed to transmit and receive data over multiple radio interfaces
concurrently. To make it possible, the 802.11be Task Group has proposed
different modifications in regards to nodes' architecture, transmission
operation, and management functionalities. This article reviews such changes
and tackles the question of how traffic should be distributed over multiple
links, as it is still unresolved. To that end, we evaluate different load
balancing strategies over the active links. Results show that in high load,
dense and complex scenarios, implementing congestion-aware load balancing
policies to significantly enhance next-generation WLAN performance using MLO is
a must."
769,"Percentile                          In this context, we point out some open issues that require
                                                                           further research:
Avg.","10
                                                                                          V. OPEN ISSUES AND CHALLENGES
                            0
                                                                              Although the MLO represents a promising functionality to
                                25th   50th  75th                    95th  be implemented in next generation WLANs, the concurrent
                                                                           use of multiple interfaces brings new challenges to face off.","throughput losses [%]                               Data flows
                            80                                                • non-STR and legacy blindness.",2022-01-19 09:49:53+00:00,Multi-link Operation in IEEE 802.11be WLANs,cs.NI,['cs.NI'],"[arxiv.Result.Author('Álvaro López-Raventós'), arxiv.Result.Author('Boris Bellalta')]","The multi-link operation (MLO) is a new feature proposed to be part of the
IEEE 802.11be Extremely High Throughput (EHT) amendment. Such feature
represents a paradigm shift towards multi-link communications, as nodes will be
allowed to transmit and receive data over multiple radio interfaces
concurrently. To make it possible, the 802.11be Task Group has proposed
different modifications in regards to nodes' architecture, transmission
operation, and management functionalities. This article reviews such changes
and tackles the question of how traffic should be distributed over multiple
links, as it is still unresolved. To that end, we evaluate different load
balancing strategies over the active links. Results show that in high load,
dense and complex scenarios, implementing congestion-aware load balancing
policies to significantly enhance next-generation WLAN performance using MLO is
a must."
770,"Although this has been the main topic of                 [7] Sharan Naribole, Wook Bong Lee, Srinivas Kandala, and Ashok Ran-
      this paper, further research is required to fully understand
      which is the best strategy to balance the trafﬁc in MLO                 ganath.","7

   • Load balancing.","Simultaneous Transmit-Receive Multi-Channel Operation in
      WLANs.",2022-01-19 09:49:53+00:00,Multi-link Operation in IEEE 802.11be WLANs,cs.NI,['cs.NI'],"[arxiv.Result.Author('Álvaro López-Raventós'), arxiv.Result.Author('Boris Bellalta')]","The multi-link operation (MLO) is a new feature proposed to be part of the
IEEE 802.11be Extremely High Throughput (EHT) amendment. Such feature
represents a paradigm shift towards multi-link communications, as nodes will be
allowed to transmit and receive data over multiple radio interfaces
concurrently. To make it possible, the 802.11be Task Group has proposed
different modifications in regards to nodes' architecture, transmission
operation, and management functionalities. This article reviews such changes
and tackles the question of how traffic should be distributed over multiple
links, as it is still unresolved. To that end, we evaluate different load
balancing strategies over the active links. Results show that in high load,
dense and complex scenarios, implementing congestion-aware load balancing
policies to significantly enhance next-generation WLAN performance using MLO is
a must."
771,"However,
further research need to be done to fully understand all new                  Duncan Ho.","framework will allow next generation of APs and stations to
perform concurrent transmissions by using their multiple wire-                IEEE, 2019.
less interfaces in a coordinated way, and therefore, opening the
door to both improve the network performance and achieve                      [9] Abhishek Patil, George Cherian, Alfred Asterjadhi, and
a more efﬁcient use of the spectrum resources.",Multi-Link Operation: Design Discussion.,2022-01-19 09:49:53+00:00,Multi-link Operation in IEEE 802.11be WLANs,cs.NI,['cs.NI'],"[arxiv.Result.Author('Álvaro López-Raventós'), arxiv.Result.Author('Boris Bellalta')]","The multi-link operation (MLO) is a new feature proposed to be part of the
IEEE 802.11be Extremely High Throughput (EHT) amendment. Such feature
represents a paradigm shift towards multi-link communications, as nodes will be
allowed to transmit and receive data over multiple radio interfaces
concurrently. To make it possible, the 802.11be Task Group has proposed
different modifications in regards to nodes' architecture, transmission
operation, and management functionalities. This article reviews such changes
and tackles the question of how traffic should be distributed over multiple
links, as it is still unresolved. To that end, we evaluate different load
balancing strategies over the active links. Results show that in high load,
dense and complex scenarios, implementing congestion-aware load balancing
policies to significantly enhance next-generation WLAN performance using MLO is
a must."
871,"The contribution of latency variation due
to this phenomena (on serializer receivers and SFP modules) needs further study.","Limiting ampliﬁer amplitude to phase modulation eﬀects should be taken into account for
high accuracy absolute calibrated PTP-WR links.","Unfortunately the large oﬀsets µ for all measured combinations ‘A’ to ‘G’ could not yet
be explained satisfactorily and are still an open question for which the authors do not have
a clear answer yet.",2022-01-21 11:02:04+00:00,First electrical White Rabbit absolute calibration inter-comparison,cs.NI,"['cs.NI', 'cs.SY', 'eess.SY', 'physics.ins-det', 'C.2.2; C.2.4']","[arxiv.Result.Author('P. P. M. Jansweijer'), arxiv.Result.Author('N. A. D. Boukadida'), arxiv.Result.Author('K. Hanhijärvi'), arxiv.Result.Author('A. Wallin'), arxiv.Result.Author('B. Eglin'), arxiv.Result.Author('E. Laier English')]","A time transfer link consisting of PTP White Rabbit (PTP-WR) devices can
transfer time with sub-nanosecond accuracy. Originally White Rabbit devices
were calibrated as a set of two devices. Progress in calibration makes
individual absolute calibrated PTP-WR devices possible. This enables exchange
of PTP-WR devices without the need for expensive in-situ end-to-end
calibrations.
  Electrical absolute calibration is the basis of absolute calibration. It
calibrates the time relationship between the internal timestamp and the
external electrical time reference plane. In this paper we examine the
electrical time transfer accuracy when a link is setup using electrical
absolute calibrated PTP-WR devices calibrated by different laboratories."
