,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
106,"We think that developing methods for observational settings where
treatment timing is approximately random, possibly conditional on covariates and lagged
outcomes, is an interesting area for further study in the years ahead.","Shaikh and Toulis (2021) propose a
method for observational settings where treatment timing is random conditional on ﬁxed ob-
servable characteristics.",Sequential random assignment.,2022-01-04 15:21:33+00:00,What's Trending in Difference-in-Differences? A Synthesis of the Recent Econometrics Literature,econ.EM,"['econ.EM', 'stat.ME']","[arxiv.Result.Author('Jonathan Roth'), arxiv.Result.Author(""Pedro H. C. Sant'Anna""), arxiv.Result.Author('Alyssa Bilinski'), arxiv.Result.Author('John Poe')]","This paper synthesizes recent advances in the econometrics of
difference-in-differences (DiD) and provides concrete recommendations for
practitioners. We begin by articulating a simple set of ""canonical"" assumptions
under which the econometrics of DiD are well-understood. We then argue that
recent advances in DiD methods can be broadly classified as relaxing some
components of the canonical DiD setup, with a focus on $(i)$ multiple periods
and variation in treatment timing, $(ii)$ potential violations of parallel
trends, or $(iii)$ alternative frameworks for inference. Our discussion
highlights the different ways that the DiD literature has advanced beyond the
canonical model, and helps to clarify when each of the papers will be relevant
for empirical work. We conclude by discussing some promising areas for future
research."
107,"We think that developing methods for observational settings where
treatment timing is approximately random, possibly conditional on covariates and lagged
outcomes, is an interesting area for further study in the years ahead.","Shaikh and Toulis (2021) propose a
method for observational settings where treatment timing is random conditional on ﬁxed ob-
servable characteristics.","41
Sequential random assignment.",2022-01-04 15:21:33+00:00,What's Trending in Difference-in-Differences? A Synthesis of the Recent Econometrics Literature,econ.EM,"['econ.EM', 'stat.ME']","[arxiv.Result.Author('Jonathan Roth'), arxiv.Result.Author(""Pedro H. C. Sant'Anna""), arxiv.Result.Author('Alyssa Bilinski'), arxiv.Result.Author('John Poe')]","This paper synthesizes recent advances in the econometrics of
difference-in-differences (DiD) and provides concrete recommendations for
practitioners. We begin by articulating a simple set of ""canonical"" assumptions
under which the econometrics of DiD are well-understood. We then argue that
recent advances in DiD methods can be broadly classified as relaxing some
components of the canonical DiD setup, with a focus on $(i)$ multiple periods
and variation in treatment timing, $(ii)$ potential violations of parallel
trends, or $(iii)$ alternative frameworks for inference. Our discussion
highlights the different ways that the DiD literature has advanced beyond the
canonical model, and helps to clarify when each of the papers will be relevant
for empirical work. We conclude by discussing some promising areas for future
research."
569,"We further study the performance of the two-step estimator in settings with structural
breaks of smaller or larger magnitude.","This also means that the most diﬃcult cases (leading to a
non-rejection of the sequential test’s hypothesis) are not considered for the evaluation of the
precision of the likelihood-based approach because in columns two to six of Table 2 only those
cases with the correctly estimated number of breaks can be properly evaluated.","For instance, we apply the factor c = 1.5 to increase
the break magnitude in Equation (11).",2022-01-14 13:01:58+00:00,Efficiently Detecting Multiple Structural Breaks in Systems of Linear Regression Equations with Integrated and Stationary Regressors,econ.EM,['econ.EM'],[arxiv.Result.Author('Karsten Schweikert')],"In this paper, we propose a two-step procedure based on the group LASSO
estimator in combination with a backward elimination algorithm to efficiently
detect multiple structural breaks in linear regressions with multivariate
responses. Applying the two-step estimator, we jointly detect the number and
location of change points, and provide consistent estimates of the
coefficients. Our framework is flexible enough to allow for a mix of integrated
and stationary regressors, as well as deterministic terms. Using simulation
experiments, we show that the proposed two-step estimator performs
competitively against the likelihood-based approach (Qu and Perron, 2007; Li
and Perron, 2017; Oka and Perron, 2018) when trying to detect common breaks in
finite samples. However, the two-step estimator is computationally much more
efficient. An economic application to the identification of structural breaks
in the term structure of interest rates illustrates this methodology."
570,"We further study the performance of the two-step estimator in settings with structural
breaks of smaller or larger magnitude.","This also means that the most diﬃcult cases (leading to a
non-rejection of the sequential test’s hypothesis) are not considered for the evaluation of the
precision of the likelihood-based approach because in columns two to six of Table 2 only those
cases with the correctly estimated number of breaks can be properly evaluated.","For instance, we apply the factor c = 1.5 to increase
the break magnitude in Equation (11).",2022-01-14 13:01:58+00:00,Efficiently Detecting Multiple Structural Breaks in Systems of Linear Regression Equations with Integrated and Stationary Regressors,econ.EM,['econ.EM'],[arxiv.Result.Author('Karsten Schweikert')],"In this paper, we propose a two-step procedure based on the group LASSO
estimator in combination with a backward elimination algorithm to efficiently
detect multiple structural breaks in linear regressions with multivariate
responses. Applying the two-step estimator, we jointly detect the number and
location of change points, and provide consistent estimates of the
coefficients. Our framework is flexible enough to allow for a mix of integrated
and stationary regressors, as well as deterministic terms. Using simulation
experiments, we show that the proposed two-step estimator performs
competitively against the likelihood-based approach (Qu and Perron, 2007; Li
and Perron, 2017; Oka and Perron, 2018) when trying to detect common breaks in
finite samples. However, the two-step estimator is computationally much more
efficient. An economic application to the identification of structural breaks
in the term structure of interest rates illustrates this methodology."
692,"How many moment constraints to incorporate in the
maximum entropy problem, and of what type, is a question worthy of further research.","In particular, the
functional specification of the moment constraints used in the definition of the ET statistic
deserves further exploration.","In
addition, rather than converting composite hypotheses to simple hypotheses through
sample data transformations, as illustrated in this paper, the possibility of formulating an
ET statistic that applies to composite hypotheses directly is worth contemplating.",2022-01-17 22:29:04+00:00,An Entropy-Based Approach for Nonparametrically Testing Simple Probability Distribution Hypotheses,econ.EM,['econ.EM'],"[arxiv.Result.Author('Ron Mittelhammer'), arxiv.Result.Author('George Judge'), arxiv.Result.Author('Miguel Henry')]","In this paper, we introduce a flexible and widely applicable nonparametric
entropy-based testing procedure that can be used to assess the validity of
simple hypotheses about a specific parametric population distribution. The
testing methodology relies on the characteristic function of the population
probability distribution being tested and is attractive in that, regardless of
the null hypothesis being tested, it provides a unified framework for
conducting such tests. The testing procedure is also computationally tractable
and relatively straightforward to implement. In contrast to some alternative
test statistics, the proposed entropy test is free from user-specified kernel
and bandwidth choices, idiosyncratic and complex regularity conditions, and/or
choices of evaluation grids. Several simulation exercises were performed to
document the empirical performance of our proposed test, including a regression
example that is illustrative of how, in some contexts, the approach can be
applied to composite hypothesis-testing situations via data transformations.
Overall, the testing procedure exhibits notable promise, exhibiting appreciable
increasing power as sample size increases for a number of alternative
distributions when contrasted with hypothesized null distributions. Possible
general extensions of the approach to composite hypothesis-testing contexts,
and directions for future work are also discussed."
1267,"We further study nonparametric and
high-dimensional adjustments and provide conditions under which they are weakly more eﬃcient
than all the other adjusted estimators considered in this paper and are as if the correctly speciﬁed
regression adjustments are used.","We fur-
ther construct a new estimator which combines the linearly and nonlinearly adjusted estimators,
and show it is weakly more than both as well as the one without any adjustments, i.e., the fully
saturated estimator proposed by Bugni and Gao (2021).","The ﬁnal contribution of the paper is to provide simulation evidence and empirical support for
the eﬃciency gains achieved by our regression-adjusted LATE estimator.",2022-01-31 05:37:28+00:00,Regression Adjustments under Covariate-Adaptive Randomizations with Imperfect Compliance,econ.EM,"['econ.EM', 'stat.ME']","[arxiv.Result.Author('Liang Jiang'), arxiv.Result.Author('Oliver B. Linton'), arxiv.Result.Author('Haihan Tang'), arxiv.Result.Author('Yichong Zhang')]","We study regression adjustments with additional covariates in randomized
experiments under covariate-adaptive randomizations (CARs) when subject
compliance is imperfect. We develop a regression-adjusted local average
treatment effect (LATE) estimator that is proven to improve efficiency in the
estimation of LATEs under CARs. Our adjustments can be parametric in linear and
nonlinear forms, nonparametric, and high-dimensional. Even when the adjustments
are misspecified, our proposed estimator is still consistent and asymptotically
normal, and their inference method still achieves the exact asymptotic size
under the null. When the adjustments are correctly specified, our estimator
achieves the minimum asymptotic variance. When the adjustments are
parametrically misspecified, we construct a new estimator which is weakly more
efficient than linearly and nonlinearly adjusted estimators, as well as the one
without any adjustments. Simulation evidence and empirical application confirm
efficiency gains achieved by regression adjustments relative to both the
estimator without adjustment and the standard two-stage least squares
estimator."
1268,"We further study nonparametric and
high-dimensional adjustments and provide conditions under which they are weakly more eﬃcient
than all the other adjusted estimators considered in this paper and are as if the correctly speciﬁed
regression adjustments are used.","We further
construct a new estimator which combines the linearly and nonlinearly adjusted estimators, and
show it is weakly more eﬃcient than both as well as the one without any adjustments, i.e., the
fully saturated estimator proposed by Bugni and Gao (2021).","The ﬁnal contribution of the paper is to provide simulation evidence and empirical support for
the eﬃciency gains achieved by our regression-adjusted LATE estimator.",2022-01-31 05:37:28+00:00,Regression Adjustments under Covariate-Adaptive Randomizations with Imperfect Compliance,econ.EM,"['econ.EM', 'stat.ME']","[arxiv.Result.Author('Liang Jiang'), arxiv.Result.Author('Oliver B. Linton'), arxiv.Result.Author('Haihan Tang'), arxiv.Result.Author('Yichong Zhang')]","We study regression adjustments with additional covariates in randomized
experiments under covariate-adaptive randomizations (CARs) when subject
compliance is imperfect. We develop a regression-adjusted local average
treatment effect (LATE) estimator that is proven to improve efficiency in the
estimation of LATEs under CARs. Our adjustments can be parametric in linear and
nonlinear forms, nonparametric, and high-dimensional. Even when the adjustments
are misspecified, our proposed estimator is still consistent and asymptotically
normal, and their inference method still achieves the exact asymptotic size
under the null. When the adjustments are correctly specified, our estimator
achieves the minimum asymptotic variance. When the adjustments are
parametrically misspecified, we construct a new estimator which is weakly more
efficient than linearly and nonlinearly adjusted estimators, as well as the one
without any adjustments. Simulation evidence and empirical application confirm
efficiency gains achieved by regression adjustments relative to both the
estimator without adjustment and the standard two-stage least squares
estimator."
1269,"We further study the nonparametric and high-dimensional adjustments
which are completely new to these two papers.","It is also guaranteed to
be weakly more eﬃcient than the 2SLS estimator with control variables which is commonly used
in empirical researches.","Ren and Liu (2021) studied the regression-adjusted
LATE estimator in completely randomized experiments for a binary outcome using the ﬁnite pop-
ulation asymptotics.",2022-01-31 05:37:28+00:00,Regression Adjustments under Covariate-Adaptive Randomizations with Imperfect Compliance,econ.EM,"['econ.EM', 'stat.ME']","[arxiv.Result.Author('Liang Jiang'), arxiv.Result.Author('Oliver B. Linton'), arxiv.Result.Author('Haihan Tang'), arxiv.Result.Author('Yichong Zhang')]","We study regression adjustments with additional covariates in randomized
experiments under covariate-adaptive randomizations (CARs) when subject
compliance is imperfect. We develop a regression-adjusted local average
treatment effect (LATE) estimator that is proven to improve efficiency in the
estimation of LATEs under CARs. Our adjustments can be parametric in linear and
nonlinear forms, nonparametric, and high-dimensional. Even when the adjustments
are misspecified, our proposed estimator is still consistent and asymptotically
normal, and their inference method still achieves the exact asymptotic size
under the null. When the adjustments are correctly specified, our estimator
achieves the minimum asymptotic variance. When the adjustments are
parametrically misspecified, we construct a new estimator which is weakly more
efficient than linearly and nonlinearly adjusted estimators, as well as the one
without any adjustments. Simulation evidence and empirical application confirm
efficiency gains achieved by regression adjustments relative to both the
estimator without adjustment and the standard two-stage least squares
estimator."
1329,"Therefore, further research is needed to propose suitable statistical methodologies that take into consid-
eration these challenges, especially when testing for the presence of a structural break in nonstationary
time series models.","In particular, despite the large availability of macroeconomic and ﬁnancial variables which can be
included as regressors in predictive regressions (such as ﬁnancial ratios, diﬀusion indices, fundamentals),
practitioners have no prior knowledge regarding the persistence properties of predictors so conventional
estimation and inference methods for model parameters, such as predictability tests, forecast evaluation
tests as well as structural break testing require to handle the nuisance parameter of persistent.","Practically, the extension of structural break tests in nonstationary time series models,
such as predictive regressions, which are particularly useful when information regarding the time series
properties of regressors is not lost by taking the ﬁrst diﬀerence for instance, is crucial for both theoretical
and empirical studies.",2022-01-31 23:10:30+00:00,Partial Sum Processes of Residual-Based and Wald-type Break-Point Statistics in Time Series Regression Models,econ.EM,['econ.EM'],[arxiv.Result.Author('Christis Katsouris')],"We revisit classical asymptotics when testing for a structural break in
linear regression models by obtaining the limit theory of residual-based and
Wald-type processes. First, we establish the Brownian bridge limiting
distribution of these test statistics. Second, we study the asymptotic
behaviour of the partial-sum processes in nonstationary (linear) time series
regression models. Although, the particular comparisons of these two different
modelling environments is done from the perspective of the partial-sum
processes, it emphasizes that the presence of nuisance parameters can change
the asymptotic behaviour of the functionals under consideration. Simulation
experiments verify size distortions when testing for a break in nonstationary
time series regressions which indicates that the Brownian bridge limit cannot
provide a suitable asymptotic approximation in this case. Further research is
required to establish the cause of size distortions under the null hypothesis
of parameter stability."
1330,"Therefore, further research is needed to propose suitable statistical methodologies that take into consid-
eration these challenges, especially when testing for the presence of a structural break in nonstationary
time series models.","In particular, despite the large availability of macroeconomic and ﬁnancial variables which can be
included as regressors in predictive regressions (such as ﬁnancial ratios, diﬀusion indices, fundamentals),
practitioners have no prior knowledge regarding the persistence properties of predictors so conventional
estimation and inference methods for model parameters, such as predictability tests, forecast evaluation
tests as well as structural break testing require to handle the nuisance parameter of persistent.","Practically, the extension of structural break tests in nonstationary time series models,
such as predictive regressions, which are particularly useful when information regarding the time series
properties of regressors is not lost by taking the ﬁrst diﬀerence for instance, is crucial for both theoretical
and empirical studies.",2022-01-31 23:10:30+00:00,Partial Sum Processes of Residual-Based and Wald-type Break-Point Statistics in Time Series Regression Models,econ.EM,['econ.EM'],[arxiv.Result.Author('Christis Katsouris')],"We revisit classical asymptotics when testing for a structural break in
linear regression models by obtaining the limit theory of residual-based and
Wald-type processes. First, we establish the Brownian bridge limiting
distribution of these test statistics. Second, we study the asymptotic
behaviour of the partial-sum processes in nonstationary (linear) time series
regression models. Although, the particular comparisons of these two different
modelling environments is done from the perspective of the partial-sum
processes, it emphasizes that the presence of nuisance parameters can change
the asymptotic behaviour of the functionals under consideration. Simulation
experiments verify size distortions when testing for a break in nonstationary
time series regressions which indicates that the Brownian bridge limit cannot
provide a suitable asymptotic approximation in this case. Further research is
required to establish the cause of size distortions under the null hypothesis
of parameter stability."
