,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
346,"Whether
          analogous results hold in the unbalanced case requires diﬀerent tech-
          niques and further study.","(c) Duality, equilibrium, uniqueness, and decomposition results in Sec-
          tions 5 and 6 are obtained only in the balanced setting.","34
References

Ambrosio, L. (2003).",2022-01-10 17:26:55+00:00,Simultaneous Optimal Transport,econ.TH,"['econ.TH', 'math.PR']","[arxiv.Result.Author('Ruodu Wang'), arxiv.Result.Author('Zhenyuan Zhang')]","We propose a general framework of mass transport between vector-valued
measures, which will be called simultaneous mass transport. The new framework
is motivated by the need to transport resources of different types
simultaneously, i.e., in single trips, from specified origins to destinations.
In terms of matching, one needs to couple two groups, e.g., buyers and sellers,
by equating supplies and demands of different goods at the same time. The
mathematical structure of simultaneous transport is very different from the
classic setting of optimal transport, leading to many new challenges. The Monge
and Kantorovich formulations are contrasted and connected. Existence and
uniqueness of the simultaneous transport and duality formulas are established,
and a notion of Wasserstein distance in this setting is introduced.In
particular, the duality theorem gives rise to a labour market equilibrium model
where each worker has several types of skills and each firm seeks to employ
these skills at different levels."
919,"It is a matter
of further study that, why and how a player without being a member of a coalition of size p can inﬂuence
that coalition to generate the same worth as that of the grand coalition!",It is not clear to what extent one can argue that it represents some social criterion.,"The k-nullifying null player on
the other hand divides the class of coalitions into two groups, in one group it acts as a nullifying player
and in the other, as a null player.",2022-01-23 05:16:41+00:00,Consolidating Marginalism and Egalitarianism: A New Value for Transferable Utility Games,econ.TH,['econ.TH'],"[arxiv.Result.Author('D. Choudhury'), arxiv.Result.Author('S. Borkotokey'), arxiv.Result.Author('Rajnish Kumar'), arxiv.Result.Author('Sudipta Sarangi')]","In cooperative games with transferable utilities, the Shapley value is an
extreme case of marginalism while the Equal Division rule is an extreme case of
egalitarianism. The Shapley value does not assign anything to the
non-productive players and the Equal Division rule does not concern itself to
the relative efficiency of the players in generating a resource. However, in
real life situations neither of them is a good fit for the fair distribution of
resources as the society is neither devoid of solidarity nor it can be
indifferent to rewarding the relatively more productive players. Thus a
trade-off between these two extreme cases has caught attention from many
researchers. In this paper, we obtain a new value for cooperative games with
transferable utilities that adopts egalitarianism in smaller coalitions on one
hand and on the other hand takes care of the players' marginal productivity in
sufficiently large coalitions. Our value is identical with the Shapley value on
one extreme and the Equal Division rule on the other extreme. We provide four
characterizations of the value using variants of standard axioms in the
literature. We have also developed a strategic implementation mechanism of our
value in sub-game perfect Nash equilibrium."
1706,"Last, since we can treat the afﬁr-
mative actions as a generic type-speciﬁc (capacity) constraint, questions like how to identify

                                                             7
the asymptotic equivalence conditions of different type-speciﬁc constraints in other large
market design problems may deserve further research attention.","Compared with
the asymptotic equivalence of the SOSM with afﬁrmative actions in [10], an important policy
implication of our result is that the SOSM is more cost-effective against the TTCM if the poli-
cymaker considers a transition from one afﬁrmative action policy to the other, as it is unnec-
essary to compare the welfare effects of these two afﬁrmative actions under the SOSM when
the matching market contains sufﬁciently many schools.","Acknowledgements

    This research is supported by The National Natural Science Foundation of China (No.",2022-02-08 15:22:30+00:00,Asymptotic non-equivalence of affirmative actions: The top trading cycles mechanism case,econ.TH,['econ.TH'],"[arxiv.Result.Author('Di Feng'), arxiv.Result.Author('Yun Liu')]","This note analyzes the asymptotic performance of two popular affirmative
action policies, majority quota and minority reserve, under the top trading
cycles mechanism (TTCM). These two affirmative actions will induce different
matching outcomes with non-negligible probability under the TTCM even if the
number of reserved seats for minorities grows relatively slow in large markets."
1884,"In particular, we provide an ap-
proach that can be employed in the theoretical analysis of applied algorithms, which in
turn opens to further research towards more eﬀective design and regulation of markets
where AI agents are actual participants, and not only support tools.","We view our paper as contributing to the emerging literature on the interaction be-
tween Artiﬁcial Intelligence and economic systems.","References

Alexander, J. C. and T. I. Seidman (1998): “Sliding modes in intersecting switching sur-
  faces, I: Blending,” Houston J.",2022-02-12 00:50:15+00:00,Games of Artificial Intelligence: A Continuous-Time Approach,econ.TH,"['econ.TH', 'cs.AI', 'cs.GT']","[arxiv.Result.Author('Martino Banchio'), arxiv.Result.Author('Giacomo Mantegazza')]","This paper studies the strategic interaction of algorithms in economic games.
We analyze games where learning algorithms play against each other while
searching for the best strategy. We first establish a fluid approximation
technique that enables us to characterize the learning outcomes in continuous
time. This tool allows to identify the equilibria of games played by Artificial
Intelligence algorithms and perform comparative statics analysis. Thus, our
results bridge a gap between traditional learning theory and applied models,
allowing quantitative analysis of traditionally experimental systems. We
describe the outcomes of a social dilemma, and we provide analytical guidance
for the design of pricing algorithms in a Bertrand game. We uncover a new
phenomenon, the coordination bias, which explains how algorithms may fail to
learn dominant strategies."
2038,There are several avenues for further research.,"24
which transparency is suboptimal.","One
interesting question is: When is complete non-transparency optimal?",2022-02-16 09:17:15+00:00,A case for transparency in principal-agent relationships,econ.TH,['econ.TH'],"[arxiv.Result.Author('Emiliano Catonini'), arxiv.Result.Author('Sergey Stepanov')]","When is transparency optimal for the principal in principal-agent
relationships? We consider the following setting. The principal has private
information that affects the agent's incentives to exert effort. Higher effort
leads to higher material utility for both parties but the agent bears the cost
of effort. The principal can share her information with the agent and can
commit to any information structure. We obtain interpretable and easily
verifiable sufficient conditions for the optimality of full disclosure. With
this, we show that full disclosure is optimal under some modeling assumptions
commonly used in applied principal-agent papers."
3965,"In section 4, we summarise the conclusion, the contribution, the
related works and some suggestions on the further research.","Then we test
whether the results are consistence.","2 Results

2.1 Results from dynamics models

2.1.1 The eigen mode of the evolutionary dynamics

To investigate the dynamic behaviors in laboratory experiment game, we begin with using the

replicator dynamics equations [15]:

                                     x˙ i = xi(Ui − U )              (4)

    1After the experiment of this study carried out, Yao [22] reports the similar result as those found in the existed O’Neill
game experiments reported [20].",2022-03-28 12:02:13+00:00,Dynamic Structure in Four-strategy Game: Theory and Experiment,econ.TH,"['econ.TH', 'nlin.CD']","[arxiv.Result.Author('Zhijian Wang'), arxiv.Result.Author('Shujie Zhou'), arxiv.Result.Author('Qinmei Yao'), arxiv.Result.Author('Yijia Wang')]","Game dynamics theory, as a field of science, the consistency of theory and
experiment is essential. In the past 10 years, important progress has been made
in the merging of the theory and experiment in this field, in which dynamics
cycle is the presentation. However, the merging works have not got rid of the
constraints of Euclidean two-dimensional cycle so far. This paper uses a
classic four-strategy game to study the dynamic structure (non-Euclidean
superplane cycle). The consistency is in significant between the three ways:
(1) the analytical results from evolutionary dynamics equations, (2)
agent-based simulation results from learning models and (3) laboratory results
from human subjects game experiments. The consistency suggests that, game
dynamic structure could be quantitatively predictable, observable and
controllable in general."
6545,"This suggests an avenue for further research concerning the question of how to
manage information ﬂow in dynamic mechanisms.","In this paper, the concept of information ﬂow plays a central role in enabling the identiﬁ-
cation of a gradual mechanism with its unique informationally equivalent immediate gradual
mechanism.","In this regard, issues involving privacy,
conﬁdentiality, credibility, and trust appear pertinent.",2022-05-22 15:02:26+00:00,Information Design of Dynamic Mechanisms,econ.TH,['econ.TH'],"[arxiv.Result.Author('Soo Hong Chew'), arxiv.Result.Author('Wenqian Wang')]","Two dynamic game forms are said to be behaviorally equivalent if they share
the ""same"" profiles of structurally reduced strategies (Battigalli et al.,
2020). In the context of dynamic implementation, behaviorally equivalent game
forms are interchangeable under a wide range of solution concepts for the
purpose of implementing a social choice function. A gradual mechanism (Chew and
Wang, 2022), which designs a procedure of information transmission mediated by
a central administrator, enables a formal definition of information flow. We
provide a characterization of behavioral equivalence between gradual mechanisms
in terms of their informational equivalence -- each agent is designed the
""same"" information flow. Information flow also helps in defining an intuitive
notion of immediacy for gradual mechanisms which is equivalent to their game
structures being minimal. Given that the class of gradual mechanisms serves as
a revelation principle for dynamic implementation (Li, 2017; Akbarpour and Li,
2020; Mackenzie, 2020; Chew and Wang, 2022), the class of immediate gradual
mechanisms provides a refined revelation principle."
6818,"The consumer of information on a social media website could have done further research by going
                                          to a library or checking other reputable digital sources.","For example, a consumer that is suspicious of an email could ask an acquaintance’s
                                          opinion, check a database of known malicious senders, or reach out to the purported sender directly via
                                          telephone.","Of course, all of these actions are costly and the
                                          consumer’s preferences may be such that it is simply not worthwhile to incur such costs.",2022-05-27 15:47:27+00:00,Content Filtering with Inattentive Information Consumers,econ.TH,['econ.TH'],"[arxiv.Result.Author('Ian Ball'), arxiv.Result.Author('James Bono'), arxiv.Result.Author('Justing Grana'), arxiv.Result.Author('Nicole Immorlica'), arxiv.Result.Author('Brendan Lucier'), arxiv.Result.Author('Alex Slivkins')]","We develop and analyze a model of content filtering where the content
consumers incur deliberation costs when deciding the veracity of the content.
Examples of such a scenario include censoring misinformation, information
security (spam and phish filtering, for example) and recommender systems. With
an exogenous attack probability, we show that increasing the quality of the
filter is typically weakly Pareto improving though may sometimes have no impact
on equilibrium outcomes and payoffs. Furthermore, when the filter does not
internalize the consumer's deliberation costs, the filter's lack of commitment
power may render a low-fidelity filter useless and lead to inefficient
outcomes. Consequently, improvements to a moderately effective filter will have
no impact on equilibrium payoffs until the filter is sufficiently accurate.
With an endogenous attacker, improvements to filter quality may lead to
strictly lower equilibrium payoffs since the content consumer increases its
trust in the filter and thus incentivizes the attacker to increase its attack
propensity."
6819,"The consumer of information on a social media website could have done further research by going
                                         to a library or checking other reputable digital sources.","For example, a consumer that is suspicious of an email could ask an acquaintance’s
                                         opinion, check a database of known malicious senders, or reach out to the purported sender directly via
                                         telephone.","Of course, all of these actions are costly and the
                                         consumer’s preferences may be such that it is simply not worthwhile to incur such costs.",2022-05-27 15:47:27+00:00,Content Filtering with Inattentive Information Consumers,econ.TH,['econ.TH'],"[arxiv.Result.Author('Ian Ball'), arxiv.Result.Author('James Bono'), arxiv.Result.Author('Justin Grana'), arxiv.Result.Author('Nicole Immorlica'), arxiv.Result.Author('Brendan Lucier'), arxiv.Result.Author('Alex Slivkins')]","We develop and analyze a model of content filtering where the content
consumers incur deliberation costs when deciding the veracity of the content.
Examples of such a scenario include censoring misinformation, information
security (spam and phish filtering, for example) and recommender systems. With
an exogenous attack probability, we show that increasing the quality of the
filter is typically weakly Pareto improving though may sometimes have no impact
on equilibrium outcomes and payoffs. Furthermore, when the filter does not
internalize the consumer's deliberation costs, the filter's lack of commitment
power may render a low-fidelity filter useless and lead to inefficient
outcomes. Consequently, improvements to a moderately effective filter will have
no impact on equilibrium payoffs until the filter is sufficiently accurate.
With an endogenous attacker, improvements to filter quality may lead to
strictly lower equilibrium payoffs since the content consumer increases its
trust in the filter and thus incentivizes the attacker to increase its attack
propensity."
7289,"However, as
shown in Proposition 1, choosing the optimal partition when φ < 0 is NP-hard, and
further research could identify approximation algorithms to reduce computational difﬁ-
culty.","Therefore,
even in general contexts we expect to have complete and complete balanced bipartite
networks when a social planner is able to choose the network structure.","Finally, since our analysis of the distributional effects in Section 4 largely focuses
on comparisons with the maximally equitable outcome in which all players obtain the
same payoff, our results are also independent of the choice of inequality measure.",2022-06-08 12:56:49+00:00,Welfare and Distributional Effects of Joint Intervention in Networks,econ.TH,['econ.TH'],"[arxiv.Result.Author('Ryan Kor'), arxiv.Result.Author('Junjie Zhou')]","We study a planner's optimal interventions in both the standalone marginal
utilities of players on a network and weights on the links that connect
players. The welfare-maximizing joint intervention exhibits the following
properties: (a) when the planner's budget is moderate (so that optimal
interventions are interior), the change in weight on any link connecting a pair
of players is proportional to the product of eigen-centralities of the pair;
(b) when the budget is sufficiently large, the optimal network takes a simple
form: It is either a complete network under strategic complements or a complete
balanced bipartite network under strategic substitutes. We show that the
welfare effect of joint intervention is shaped by the principal eigenvalue,
while the distributional effect is captured by the dispersion of the
corresponding eigenvalues, i.e., the eigen-centralities. Comparing joint
intervention in our setting with single intervention solely on the standalone
marginal utilities, as studied by Galeotti et al. (2020), we find that joint
intervention always yields a higher aggregate welfare, but may lead to greater
inequality, which highlights a possible trade-off between the welfare and
distributional impacts of joint intervention."
7381,"This presents
an interesting question for further research.","Although the presence of an ambiguous draw within a gamble is associated with a
signiﬁcantly lower certainty equivalent, it remains unclear whether having more am-
biguity, as measured perhaps by the number or proportion of ambiguous draws present
in a gamble, has an additional negative eﬀect on the certainty equivalent.","References

Andreoni, James and Michael A. Kuhn (2019), “Is it safe to measure risk prefer-
  ences?",2022-06-09 16:50:38+00:00,A Two-Ball Esllberg Paradox: Experimental Evidence,econ.TH,"['econ.TH', 'econ.EM']","[arxiv.Result.Author('Brian Jabarian'), arxiv.Result.Author('Simon Lazarus')]","We conduct an incentivized experiment on a nationally representative US
sample (N=708) to test how people prefer to avoid ambiguity even when the
ambiguity improves the probability of receiving a fixed price. We find that
subjects prefer non-ambiguous acts to similar ambiguous acts, even when the
ambiguous acts provide larger win probabilities. Furthermore, this preference
for avoiding ambiguity is not entirely due to a lack of understanding, as
subjects ""correctly"" select the act with a larger win probability when
comparing two similar ambiguous acts. Traditional models of ambiguity aversion
cannot explain such preferences."
7382,"This presents
an interesting question for further research.","Although the presence of an ambiguous draw within a gamble is associated with a
signiﬁcantly lower certainty equivalent, it remains unclear whether having more am-
biguity, as measured perhaps by the number or proportion of ambiguous draws present
in a gamble, has an additional negative eﬀect on the certainty equivalent.","References

Andreoni, James and Michael A. Kuhn (2019), “Is it safe to measure risk prefer-
  ences?",2022-06-09 16:50:38+00:00,A Two-Ball Ellsberg Paradox: Experimental Evidence,econ.TH,"['econ.TH', 'econ.EM']","[arxiv.Result.Author('Brian Jabarian'), arxiv.Result.Author('Simon Lazarus')]","We conduct an incentivized experiment on a nationally representative US
sample (N=708) to test how people prefer to avoid ambiguity even when the
ambiguity improves the probability of receiving a fixed price. We find that
subjects prefer non-ambiguous acts to similar ambiguous acts, even when the
ambiguous acts provide larger win probabilities. Furthermore, this preference
for avoiding ambiguity is not entirely due to a lack of understanding, as
subjects ""correctly"" select the act with a larger win probability when
comparing two similar ambiguous acts. Traditional models of ambiguity aversion
cannot explain such preferences."
