,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
46,"which creates a wide scope for further study in this topic
of area.","IET Microwaves,
also tried to put forth out proposition of smart antennas,      Antennas & Propagation, 15(2), pp.154-162.","We have also tried to study radiation pattern of       [9] Hietpas, K., 2021.",2022-01-03 10:36:46+00:00,Antenna parameterization for effectiveness in horn shaped antenna for 5G communication as future of Antennas,eess.SY,"['eess.SY', 'cs.SY', 'eess.SP']","[arxiv.Result.Author('Sunit Shantanu Digamber Fulari'), arxiv.Result.Author('Harbinder Singh')]","Horn antenna is well documented in our research in this paper. We are trying
our latent method of radiation by antennas which we suppose to reduce to a
significant extent. Why we chose horn antenna is it resonates the sound to
explosion as done by horn shaped matter. Horn by its shape makes the sent
signals to maximum capability by its shape which is required by the receiver
due to the distance separation from sender and receiver. Our research will
contain various implementations leading to improvement of previous designs. We
will use the traditional methods of Bergen to make the antenna behave smartly
in its functioning."
47,"There is lot of scope
for further study in this type of aperture antenna which        [10] R. Chaudhary, A. Jindal, G. S. Aujla, N. Kumar, A.
creates lot of interest for further researchers in this field.",frequency from 2.4GHz to 9.6 GHz.,"K. Das, and N. Saxena, “LSCSH: Lattice-Based Secure
                                                                Cryptosystem for Smart Healthcare in Smart Cities
References:                                                     Environment,” IEEE Commun.",2022-01-03 10:36:46+00:00,Antenna parameterization for effectiveness in horn shaped antenna for 5G communication as future of Antennas,eess.SY,"['eess.SY', 'cs.SY', 'eess.SP']","[arxiv.Result.Author('Sunit Shantanu Digamber Fulari'), arxiv.Result.Author('Harbinder Singh')]","Horn antenna is well documented in our research in this paper. We are trying
our latent method of radiation by antennas which we suppose to reduce to a
significant extent. Why we chose horn antenna is it resonates the sound to
explosion as done by horn shaped matter. Horn by its shape makes the sent
signals to maximum capability by its shape which is required by the receiver
due to the distance separation from sender and receiver. Our research will
contain various implementations leading to improvement of previous designs. We
will use the traditional methods of Bergen to make the antenna behave smartly
in its functioning."
249,"However, further research can be conducted in the following manner to wrap up
all possible outcomes related to these structures:

    • Planar configurations of germanene and 2d-GaP may be used to form a distinct heterobilayer, and
         investigation needs to perform on its properties.","Rayid Hasan Mojumder
This research work was aimed to investigate the basic properties of the aforementioned two
heterostructures.","• Germanene can be sandwiched between 2d-GaP or 2d-AlP or in between 2d-AlP and 2d- GaP
         layers & properties should be looked into.",2022-01-07 20:55:41+00:00,Tunable electronic properties of germanene and two-dimensional group-III phosphides heterobilayers,eess.SY,"['eess.SY', 'cs.SY', 'physics.app-ph', 'physics.atom-ph', 'physics.chem-ph', 'quant-ph']",[arxiv.Result.Author('Md. Rayid Hasan Mojumder')],"In this research work, the 2D structure of the germanene layer is compounded
with 2D group-III phosphides: AlP and GaP. The planar structure of AlP and
low-buckled GaP have been taken to form the bilayer patterns. In each case,
three stacking patterns are considered, and their relaxed interlayer distance
and binding energy have been reported. The binding energy being around in the
range between ~150 to 210 meV shows the existence of weak van der Waals
interactions between the layers. The heterostructures containing germanene and
these two phosphides show an opening of a large indirect bandgap of magnitude
range of ~200 meV to 600 meV, which can be tuned by changing interlayer
distance and by incorporating bi-axial compressive and tensile strain. Although
their normal bandgap, which significantly changes with SOC, is an indirect one,
whilst tunning the interlayer distance band gap jumps from unsymmetrical point
to symmetrical Dirac cones and becomes direct on K points. The charge carrier
mostly concentrates on the p-orbitals of the germanene in the conduction
regions; thus, the electrical properties of germanene will be retained, and the
carrier will provide a much faster device response property. The absence of the
phosphides influence makes them the intended substrate for growing the
germanene layer on top of that. Again, due to the bandgap at Dirac cones being
opened and jumps between the Dirac cones and band gap changes with SOC
tropological insulator can be formed, and Quantum Spin Hall effect may exist."
251,"We suggest some                        [9] H. J. Ferreau, C. Kirches, A. Potschka, H. G. Bock, and M. Diehl,
directions that can be explored for further research:                              “qpoases: A parametric active-set algorithm for quadratic program-
                                                                                   ming,” Mathematical Programming Computation, vol.",ASM and IPM solvers in execution time.,"6, no.",2022-01-07 22:26:56+00:00,Embedded Model Predictive Control Using Robust Penalty Method,eess.SY,"['eess.SY', 'cs.SY']","[arxiv.Result.Author('Abhijith Sharma'), arxiv.Result.Author('Chaitanya Jugade'), arxiv.Result.Author('Shreya Yawalkar'), arxiv.Result.Author('Vaishali Patne'), arxiv.Result.Author('Deepak Ingole'), arxiv.Result.Author('Dayaram Sonawane')]","Model predictive control (MPC) has become a hot cake technology for various
applications due to its ability to handle multi-input multi-output systems with
physical constraints. The optimization solvers require considerable time,
limiting their embedded implementation for real-time control. To overcome the
bottleneck of traditional quadratic programming (QP) solvers, this paper
proposes a robust penalty method (RPM) to solve an optimization problem in a
linear MPC. The main idea of RPM is to solve an unconstrained QP problem using
Broyden Fletcher Goldfarb Shannon (BFGS) algorithm. The beauty of this method
is that it can find optimal solutions even if initial conditions are in an
infeasible region, which makes it robust. Moreover, the RPM is computationally
inexpensive as compared to the traditional QP solvers. The proposed RPM is
implemented on resource-limited embedded hardware (STM32 microcontroller), and
its performance is validated with a case study of a citation aircraft control
problem. We show the hardware-in-the-loop co-simulation results of the proposed
RPM and compared them with the active set method (ASM) and interior point
method (IPM) QP solvers. The performance of MPC with the aforementioned solvers
is compared by considering the optimality, time complexity, and ease of
hardware implementation. Presented results show that the proposed RPM gives the
same optimality as ASM and IPM, and outperforms them in terms of speed."
938,"Although the time-      paper, but the more relaxed parameter selection and
elongation saturation Nussbaum functions may cause the           the robustness of the Nussbaum function based control
system to run in the wrong direction for a bit longer time,      scheme remain to be investigated for further research.","The boundary of the Nussbaum gain Ni(χi) can             noted that the arbitrary non-identical unknown control
be adjusted by changing parameter ai, which in turn af-          directions and control shocks are both handled in this
fects the boundary of the control shock.","it is an aﬀordable price for a better transient performance
with limited control shocks.",2022-01-24 04:42:13+00:00,Novel Nussbaum-Type Function based Safe Adaptive Distributed Consensus Control with Arbitrary Unknown Control Direction,eess.SY,"['eess.SY', 'cs.SY']","[arxiv.Result.Author('Dan Qiao'), arxiv.Result.Author('Zhaoxia Peng'), arxiv.Result.Author('Guoguang Wen'), arxiv.Result.Author('Tingwen Huang')]","Existing Nussbaum function based methods on the consensus of multi-agent
systems require (partial) identical unknown control directions of all agents
and cause dangerous dramatic control shocks. This paper develops a novel
saturated Nussbaum function to relax such limitations and proposes a Nussbaum
function based control scheme for the consensus problem of multi-agent systems
with arbitrary non-identical unknown control directions and safe control
progress. First, a novel type of the Nussbaum function with different
frequencies is proposed in the form of saturated time-elongation functions,
which provides a more smooth and safer transient performance of the control
progress. Furthermore, the novel Nussbaum function is employed to design
distributed adaptive control algorithms for linearly parameterized multi-agent
systems to achieve average consensus cooperatively without dramatic control
shocks. Then, under the undirected connected communication topology, all the
signals of the closed-loop systems are proved to be bounded and asymptotically
convergent. Finally, two comparative numerical simulation examples are carried
out to verify the effectiveness and the superiority of the proposed approach
with smaller control shock amplitudes than traditional Nussbaum methods."
1152,"We further study how the number of VSGs in the grid—a parameter whose
value is uncertain in the future and could vary in real-time—impacts its stability, and whether increasing the
overall system inertia can guarantee stability.","Our results show that instabilities may arise
when VSGs are introduced regardless of the future energy scenario—with the damping ratio worsening with
reducing system inertia—underscoring the need to consider small-signal stability while designing pathways
for the sustainability transition.",Referring to Fig.,2022-01-28 03:03:11+00:00,Coupled power generators require stability buffers in addition to inertia,eess.SY,"['eess.SY', 'cs.SY']","[arxiv.Result.Author('Gurupraanesh Raman'), arxiv.Result.Author('Gururaghav Raman'), arxiv.Result.Author('Jimmy Chih-Hsien Peng')]","Increasing the inertia is widely considered to be the solution to resolving
unstable interactions between coupled oscillators. In power grids, Virtual
Synchronous Generators (VSGs) are proposed to compensate the reducing inertia
as rotating synchronous generators are being phased out. Yet, modeling how VSGs
and rotating generators simultaneously contribute energy and inertia, we
surprisingly find that instabilities of a small-signal nature could arise
despite fairly high system inertia. Importantly, we show there exist both an
optimal and a maximum number of such VSGs that can be safely supported, a
previously unknown result directly useful for power utilities in long-term
planning and prosumer contracting. Meanwhile, to resolve instabilities in the
short term, we argue that the new market should include another commodity that
we call stability storage, whereby -- analogous to energy storage buffering
energy imbalances -- VSGs act as decentralized stability buffers. While
demonstrating the effectiveness of this concept for a wide range of energy
futures, we provide policymakers and utilities with a roadmap towards achieving
a 100% renewable grid."
1217,"To meet this goal, this paper reviews existing studies, delineates
the components of the underlying operational problem (Section 2), discusses computational challenges
(Section 2.2), classifies SRSWL by service configuration (Section 3), and identifies a series of potential
modelling and algorithmic challenges worthy of further research (Section 4).","1.3 Research Goals and Paper Structure

     The overarching goal of this paper is to assess the existing SRSWL literature in order to provide
insights to researchers, TNCs, transit agencies, planners, and policymakers and ultimately identify the
most critical future research directions.","The review focuses on
models and algorithms related to the design, planning, and operation of SRSWL, along with studies
analyzing the societal/system impacts of SRSWL.",2022-01-29 19:28:18+00:00,On Optimizing Shared-ride Mobility Services with Walking Legs,eess.SY,"['eess.SY', 'cs.MA', 'cs.SY']","[arxiv.Result.Author('Zifan Wang'), arxiv.Result.Author('Michael F Hyland'), arxiv.Result.Author('Younghun Bahk'), arxiv.Result.Author('Navjyoth JS Sarma')]","Shared-ride mobility services that incorporate traveler walking legs aim to
reduce vehicle-kilometers-travelled (VKT), vehicle-hours-travelled (VHT),
request rejections, fleet size, or some combination of these factors, compared
to door-to-door (D2D) shared-ride services. This paper provides a review of
shared-ride services with walking legs (SRSWL), particularly the studies in the
literature that model the operational problem(s) associated with SRSWL. The
paper describes the operational and societal benefits of SRSWL as well as
compares the SRSWL to circuitous D2D shared-ride services, ride-hailing
services, and fixed-route transit services, in terms of VKT and traveler
walking distance. The paper then delineates the operational subproblems
associated with the SRSWL and discusses their computational complexity.
Additionally, the review classifies configurations of SRSWL based on
flexibility in assigning travelers to pickup and drop-off locations. The paper
also discusses four modelling challenge: short-distance person trips, drop-off
location choice for a vehicle's last remaining passenger, allowing vehicles to
wait for travelers at pickup locations, and simultaneously reducing VHT/VKT and
improving customer service quality relative to D2D shared-ride services. The
review paper concludes by discussing the most critical areas of future research
related to SRSWL."
1295,"If the components chosen are the best
performing ones is hard to tell and may be subject to further research if more performance is needed.",The chosen message serialization and broker show an overall good performance.,"5.4 Other ﬁndings and considerations

Creating the sample services do help to quickly start a project but are tedious to maintain.",2022-01-31 13:55:45+00:00,FastIoT -- A framework and holistic approach for rapid development of IIoT systems,eess.SY,"['eess.SY', 'cs.SY']","[arxiv.Result.Author('Tilman Klaeger'), arxiv.Result.Author('Konstantin Merker')]","While lots of research has been conducted on the architecture of Industrial
Internet of Things (IIoT) systems, concepts of structuring their development
processes are missing. Therefore, we propose a holistic approach supporting
organizations in rapid development of IIoT systems. It includes the structuring
of the development process into multiple projects sharing project conventions.
Utilizing a single configurable build script for all projects, our goal is to
make the integration of code from various projects into broader IIoT systems
easy and the systems decomposable with minimal effort."
1433,"Although instrumental variable
                                         dynamical properties and brings fundamental knowledge for              is a feasible tool to simplify the subspace method and the
                                         further research such as prediction and control.",System identiﬁcation helps to describe the system           method much more difﬁcult.,"The identiﬁ-          error analysis [16], the use of instrumental variables reduces
                                         cation model can be used to perform parameter correction and           the accuracy [17].",2022-02-02 15:58:13+00:00,System Identification with Variance Minimization via Input Design,eess.SY,"['eess.SY', 'cs.SY']","[arxiv.Result.Author('Xiangyu Mao'), arxiv.Result.Author('Jianping He'), arxiv.Result.Author('Chengcheng Zhao')]","The subspace method is one of the mainstream system identification method of
linear systems, and its basic idea is to estimate the system parameter matrices
by projecting them into a subspace related to input and output. However, most
of the existing subspace methods cannot have the statistic performance
guaranteed since the lack of closed-form expression of the estimation.
Meanwhile, traditional subspace methods cannot deal with the uncertainty of the
noise, and thus stable identification results cannot be obtained. In this
paper, we propose a novel improved subspace method from the perspective of
input design, which guarantees the consistent and stable identification results
with the minimum variance. Specifically, we first obtain a closed-form
estimation of the system matrix, then analyze the statistic performance by
deriving the maximum identification deviation. This identification deviation
maximization problem is non-convex, and is solved by splitting it into two
sub-problems with the optimal solution guaranteed. Next, an input design method
is proposed to deal with the uncertainty and obtain stable identification
results by minimizing the variance. This problem is formulated as a constrained
min-max optimization problem. The optimal solution is obtained from
transforming the cost function into a convex function while ensuring the safety
constraints through the method of predictive control. We prove the consistency
and the convergence of the proposed method. Simulation demonstrates the
effectiveness of our method."
1434,"Contribution                                                   sake of accuracy and stability of identiﬁcation, and also beckon
                                                                  further research to explore more advanced methods for general
   To start with, we analyze a linear time-invariant (LTI)        system models such as nonlinear systems.","The theoretical results
                                                                  can serve as instructions to design the optimal control for the
B.",system and propose a subspace method to identify the Markov          The remainder of this paper is organized as follows.,2022-02-02 15:58:13+00:00,System Identification with Variance Minimization via Input Design,eess.SY,"['eess.SY', 'cs.SY']","[arxiv.Result.Author('Xiangyu Mao'), arxiv.Result.Author('Jianping He'), arxiv.Result.Author('Chengcheng Zhao')]","The subspace method is one of the mainstream system identification method of
linear systems, and its basic idea is to estimate the system parameter matrices
by projecting them into a subspace related to input and output. However, most
of the existing subspace methods cannot have the statistic performance
guaranteed since the lack of closed-form expression of the estimation.
Meanwhile, traditional subspace methods cannot deal with the uncertainty of the
noise, and thus stable identification results cannot be obtained. In this
paper, we propose a novel improved subspace method from the perspective of
input design, which guarantees the consistent and stable identification results
with the minimum variance. Specifically, we first obtain a closed-form
estimation of the system matrix, then analyze the statistic performance by
deriving the maximum identification deviation. This identification deviation
maximization problem is non-convex, and is solved by splitting it into two
sub-problems with the optimal solution guaranteed. Next, an input design method
is proposed to deal with the uncertainty and obtain stable identification
results by minimizing the variance. This problem is formulated as a constrained
min-max optimization problem. The optimal solution is obtained from
transforming the cost function into a convex function while ensuring the safety
constraints through the method of predictive control. We prove the consistency
and the convergence of the proposed method. Simulation demonstrates the
effectiveness of our method."
