,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
333,"where we deﬁned the diquark size parameter r0 through the                                           Finally, we further study the good diquarks by compar-
scale of the exponential decay of the spatial correlation be-                                   ing analogue deﬁnitions of the diquark sizes separately in the
tween the two quarks q and q constituting the diquark with                                      relative radial (r0, φ = π) and tangential (r0⊥, φ = π/2) ori-
rqq .","2                                                                             As such, the good diquark is of hadronic size.",Our results for all available R and mπ are shown in Fig-                                  entations.,2022-01-10 13:22:25+00:00,Good and bad diquark properties and spatial correlations in lattice QCD,hep-lat,"['hep-lat', 'hep-ph']","[arxiv.Result.Author('Anthony Francis'), arxiv.Result.Author('Philippe De Forcrand'), arxiv.Result.Author('Randy Lewis'), arxiv.Result.Author('Kim Maltman')]","We study good, bad and not-even-bad diquarks on the lattice in a
gauge-invariant formalism in full QCD. We establish their spectral masses with
short extrapolations to the physical point, observing agreement with
phenomenological expectations. We find that only the good diquark has
attractive quark-quark spatial correlations, with spherical shape and size
$\sim0.6$ fm. Our results provide quantitative support for modelling the
low-lying baryon spectrum using good light diquark effective degrees of
freedom."
1039,Quantifying this is a topic of further study.,"De La Motte and S. E. Hollitt
                                                                    𝑠

It is assumed for now that additional window selection criteria for ‘good’ windows is currently not
necessary, as the weighting will be small enough that the eﬀect of these wayward measurements
will be minimal.","5.4 Results

                           Figure 5: Heatmap of Bayesian weights against 𝑡𝑚𝑖𝑛 and 𝑡𝑚𝑎𝑥.",2022-01-26 07:04:47+00:00,Measurements of $SU(3)_f$ symmetry breaking in $B$ meson decay constants,hep-lat,['hep-lat'],"[arxiv.Result.Author('S. A. De La Motte'), arxiv.Result.Author('S. E. Hollitt'), arxiv.Result.Author('R. Horsley'), arxiv.Result.Author('P. D. Jackson'), arxiv.Result.Author('Y. Nakamura'), arxiv.Result.Author('H. Perlt'), arxiv.Result.Author('D. Pleiter'), arxiv.Result.Author('P. E. L. Rakow'), arxiv.Result.Author('G. Schierholz'), arxiv.Result.Author('H. Stüben'), arxiv.Result.Author('R. D. Young'), arxiv.Result.Author('J. M. Zanotti')]","We present updates from QCDSF/UKQCD/CSSM on the $SU(3)_f$ breaking in $B$
meson decay constants. The $b$-quarks are generated with an anisotropic
clover-improved action, and are tuned to match properties of the physical $B$
and $B^*$ mesons. Configurations are generated with
$\overline{m}=(1/3)(2m_l+m_s)$ kept constant to control symmetry breaking
effects. Various sources of systematic uncertainty will be discussed, including
those from continuum extrapolations and extrapolations to the physical point.
We also present new efforts to calculate $f_B$ and $f_{B_s}$ using weighted
averages across multiple time fitting regions. The use of an automated weighted
averaging technique over multiple fitting ranges allows for timely tuning of
the $b$-quark and reduces the impact of systematic errors from fitting range
biases in calculations of $f_B$ and $f_{B_s}$"
2591,"This merits further study
noise ratio problem as we go to higher charges, we used a qubit   and is left for a future publication.",In order to avoid a signal-to-     which might be related to this issue.,"O(N ) model, which was shown recently to have a second-
order critical point in universality class of the O(N ) WF ﬁxed-
point [28].",2022-02-28 19:55:22+00:00,Large-charge conformal dimensions at the $O(N)$ Wilson-Fisher fixed point,hep-lat,['hep-lat'],[arxiv.Result.Author('Hersh Singh')],"Recent work using a large-charge expansion for the $O(N)$ Wilson-Fisher
conformal field theory has shown that the anomalous dimensions of large-charge
operators can be expressed in terms of a few low-energy constants (LECs) of a
large-charge effective field theory (EFT). By performing lattice Monte Carlo
computations at the $O(N)$ Wilson-Fisher fixed point, we compute the anomalous
dimensions of large-charge operators up to $N=8$ and charge $Q=10$, and extract
the leading and subleading LECs of the $O(N)$ large-charge EFT. To alleviate
the signal-to-noise ratio problem present in the large-charge sector of
conventional lattice formulations of the $O(N)$ theory, we employ a recently
developed qubit formulation of the $O(N)$ nonlinear sigma models with a worm
algorithm. This enables us to test the validity of the large-charge expansion
and the recent large-$N$ predictions for the coefficients of the large-charge
EFT."
2915,"Finally, a conclusion and possible avenues for further research are explored in Section
5.","Section 4 examines the quality of the reconstruction, its robustness to noise and how well our method works
on genuine lattice QCD data.",2.,2022-03-07 11:13:30+00:00,Neural network approach to reconstructing spectral functions and complex poles of confined particles,hep-lat,"['hep-lat', 'cs.LG', 'hep-ph', 'physics.comp-ph', 'I.2.6; J.2']","[arxiv.Result.Author('Thibault Lechien'), arxiv.Result.Author('David Dudal')]","Reconstructing spectral functions from propagator data is difficult as
solving the analytic continuation problem or applying an inverse integral
transformation are ill-conditioned problems. Recent work has proposed using
neural networks to solve this problem and has shown promising results, either
matching or improving upon the performance of other methods. We generalize this
approach by not only reconstructing spectral functions, but also (possible)
pairs of complex poles or an infrared (IR) cutoff. We train our network on
physically motivated toy functions, examine the reconstruction accuracy and
check its robustness to noise. Encouraging results are found on both toy
functions and genuine lattice QCD data for the gluon propagator, suggesting
that this approach may lead to significant improvements over current
state-of-the-art methods."
2916,"Finally, a conclusion and possible avenues for further research are explored in Section
5.","Section 4 examines the quality of the reconstruction, its robustness to noise and how well our method works
on genuine lattice QCD data.",2.,2022-03-07 11:13:30+00:00,Neural network approach to reconstructing spectral functions and complex poles of confined particles,hep-lat,"['hep-lat', 'cs.LG', 'hep-ph', 'physics.comp-ph', 'I.2.6; J.2']","[arxiv.Result.Author('Thibault Lechien'), arxiv.Result.Author('David Dudal')]","Reconstructing spectral functions from propagator data is difficult as
solving the analytic continuation problem or applying an inverse integral
transformation are ill-conditioned problems. Recent work has proposed using
neural networks to solve this problem and has shown promising results, either
matching or improving upon the performance of other methods. We generalize this
approach by not only reconstructing spectral functions, but also (possible)
pairs of complex poles or an infrared (IR) cutoff. We train our network on
physically motivated toy functions, examine the reconstruction accuracy and
check its robustness to noise. Encouraging results are found on both toy
functions and genuine lattice QCD data for the gluon propagator, suggesting
that this approach may lead to significant improvements over current
state-of-the-art methods."
6196,"Apparently, further research
1/N , O(1/N )          3.8             5.2             6.6                   is required to explain the inconsistencies in the results of
1/N , O(1/N 2)14                                                             works ref.52 and ref.50 using diﬀerent MC algorithms.","The authors note that
PRG, O(g4), PB19       3.91(1)         11.1(6)         14.7(8)               the RG ﬂow around the focus-like ﬁxed point may tem-
PRG, O(g7), PB24       6.4(4)                                                porarily moves from the potential stability region, that
Pseudo-ε, O(τ 6), P28  6.23(21)        9.9(3)          13.2(6)               seems in ﬁnite-lattice studies as a ﬁrst-order transition,
Pseudo-ε, O(τ 6), P15  6.22(12)                                              sings of which disappear in the thermodynamic limit (so-
                                                                             called pseudo-ﬁrst order).","NPRG, LPA33            5.3             7.3             9.2
NPRG, LPA’38                                                                    Note that the perturbative RG predicts the focus-type
CB39                   4.7                                                   ﬁxed point for N = 3 as well as for N = 2, but for the
                                                                             later case MC simulations observe a ﬁrst-order transition.",2022-05-15 06:46:33+00:00,Phase transition in the three-dimensional $O(N)\otimes O(M)$ model: a Monte Carlo study,hep-lat,['hep-lat'],[arxiv.Result.Author('A. O. Sorokin')],"Using Monte Carlo simulations, we consider the lattice version of the
$O(N)\otimes O(M)$ sigma model for $2\leq M\leq4$ and $M\leq N \leq8$. We find
a continuous transition for $N\geq M+4$. Estimates of the critical exponents
for cases of second-order and weak first-order transitions are found. For $M=2$
our estimates of the exponents and marginal dimensionality $N_c^+(M)$ are in
good agreement with the results of the non-perturbative renormalization group
approach. For $M\geq2$ we find estimates of the exponents and marginal
dimensionality between the values obtained in the first and second orders of
the large-N expansion. To complete the picture, we also consider the usual
$O(N)$ model ($M=1$)."
7212,"A further study with a large statistics and
more control over systematics is now called-for to con-        ∆H = −c1  (∆(2))2  + c2  i        (∇ · E˜ − E˜ · ∇)
clude about the binding nature of this state, and if a posi-
tive result is found from such a study there will be enough              8(amb)3        8(amb)3
motivation for searching this dibaryon experimentally.","The NRQCD Hamiltonian is given
a conclusive evidence for the existence of Hbcs(bcsbcs),
this pilot study deﬁnitely indicates that if there is any      by H = H0 + ∆H, where the interaction term, ∆H, as
deeply bound three-ﬂavor dibaryon, then it has to be           used here, is given by,
Hbcs(bcsbcs).","−c3 8(m1b)2 σ · (∇ × E˜ − E˜ × ∇) − c4 2a1mb σ · B˜
   The paper is organized as below.",2022-06-06 23:09:08+00:00,Study of three-flavored heavy dibaryons using lattice QCD,hep-lat,"['hep-lat', 'hep-ex', 'hep-ph', 'nucl-th']","[arxiv.Result.Author('Parikshit Junnarkar'), arxiv.Result.Author('Nilmani Mathur')]","We present results of the first lattice QCD calculation of three-flavored
heavy dibaryons both in the flavor-symmetric and antisymmetric channels. These
dibaryons have spin zero, and are constructed using various possible
combinations of quark flavors with at least one of them as the charm or the
bottom quark, i.e., namely, $H_c(cudcud), H_b(budbud), H_{bcs}(bcsbcs)$,
$H_{csl}(cslcsl), H_{bsl}(bslbsl)$ and $H_{bcl}(bclbcl)$; $l\in u,d$. We
compute the ground state masses of these dibaryons and the calculations are
performed on three $N_f=2+1+1$ HISQ gauge ensembles of the MILC collaboration,
with lattice spacings $a =$ 0.1207, 0.0888 and 0.0582 fm. A relativistic
overlap action is employed for the valence light to charm quarks while a
non-relativistic-QCD Hamiltonian with improved coefficients is used for the
bottom quarks. Unlike the doubly heavy tetraquarks, one and two-flavored heavy
dibaryons, for which lattice QCD calculations have predicted deeply bound
strong-interactions-stable states, for these $H_c, H_b, H_{csl},H_{bsl}$
dibaryons we do not find any such deeply bound state. However, for $H_{bcs}$,
our results indicate the presence of an energy level $29\pm 24$ MeV below the
lowest two-baryon threshold, which could be relevant for its future
experimental searches. Moreover, we find that the energy difference between the
ground state of $H_{bcl}$ and its lowest threshold increases when $m_l>m_s$.
Taken together, our findings indicate the possibility of the existence of the
$H_{bcs}$ dibaryon while all other physical three-flavored dibaryons are much
closer to their thresholds suggesting either they are weakly bound or unbound,
resolving which requires further detail study. Our results also point that the
binding of a dibaryon configuration becomes stronger with the increase of its
valence quark masses which suggests an interesting aspect of strong
interactions at multiple scales."
7213,"A further study with a large statistics and      ∆H = −c1  (∆(2))2  + c2  i        (∇ · E˜ − E˜ · ∇)
more control over systematics is now called-for to con-
clude about the binding nature of this state, and if a posi-             8(amb)3        8(amb)3
tive result is found from such a study there will be enough
motivation for searching this dibaryon experimentally.","The NRQCD Hamiltonian is given
a conclusive evidence for the existence of Hbcs(bcsbcs),       by H = H0 + ∆H, where the interaction term, ∆H, as
this pilot study deﬁnitely indicates that if there is any      used here, is given by,
deeply bound three-ﬂavor dibaryon, then it has to be
Hbcs(bcsbcs).","−c3 8(m1b)2 σ · (∇ × E˜ − E˜ × ∇) − c4 2a1mb σ · B˜

   The paper is organized as below.",2022-06-06 23:09:08+00:00,Study of three-flavored heavy dibaryons using lattice QCD,hep-lat,"['hep-lat', 'hep-ex', 'hep-ph', 'nucl-th']","[arxiv.Result.Author('Parikshit Junnarkar'), arxiv.Result.Author('Nilmani Mathur')]","We present results of the first lattice QCD calculation of three-flavored
heavy dibaryons both in the flavor-symmetric and antisymmetric channels. These
dibaryons have spin zero, and are constructed using various possible
combinations of quark flavors with at least one of them as the charm or the
bottom quark, i.e., namely, $H_c(cudcud), H_b(budbud), H_{bcs}(bcsbcs)$,
$H_{csl}(cslcsl), H_{bsl}(bslbsl)$ and $H_{bcl}(bclbcl)$; $l\in u,d$. We
compute the ground state masses of these dibaryons and the calculations are
performed on three $N_f=2+1+1$ HISQ gauge ensembles of the MILC collaboration,
with lattice spacings $a =$ 0.1207, 0.0888 and 0.0582 fm. A relativistic
overlap action is employed for the valence light to charm quarks while a
non-relativistic-QCD Hamiltonian with improved coefficients is used for the
bottom quarks. Unlike the doubly heavy tetraquarks, one and two-flavored heavy
dibaryons, for which lattice QCD calculations have predicted deeply bound
strong-interactions-stable states, for these $H_c, H_b, H_{csl},H_{bsl}$
dibaryons we do not find any such deeply bound state. However, for $H_{bcs}$,
our results indicate the presence of an energy level $29\pm 24$ MeV below the
lowest two-baryon threshold, which could be relevant for its future
experimental searches. Moreover, we find that the energy difference between the
ground state of $H_{bcl}$ and its lowest threshold increases when $m_l>m_s$.
Taken together, our findings indicate the possibility of the existence of the
$H_{bcs}$ dibaryon while all other physical three-flavored dibaryons are much
closer to their thresholds suggesting either they are weakly bound or unbound,
resolving which requires further detail study. Our results also point that the
binding of a dibaryon configuration becomes stronger with the increase of its
valence quark masses which suggests an interesting aspect of strong
interactions at multiple scales."
7989,"Simply tracing the den-         further research: Explicitly being based on center charges
sity operator over the sector with qV = e mod 3, without         and ﬂuxes with their local Z3-Gauss law the construction
constraining the dynamics as well, is not suﬃcient because       can be used to study the percolation properties of the
qV = e mod 3 must be maintained at all Euclidean times           deconﬁnement transition [37].","(anti-)diquarks to hop in and out of V , or to be created
and destroyed in hadronic clusters across the interface             Our work oﬀers several interesting opportunities for
between V and its complement V .","Starting from our ﬂux-tube
in the path-integral representation of the corresponding         model for heavy-dense QCD, one could revisit the idea
partition function.",2022-06-23 13:40:49+00:00,Quarks and Triality in a Finite Volume,hep-lat,['hep-lat'],"[arxiv.Result.Author('Milad Ghanbarpour'), arxiv.Result.Author('Lorenz von Smekal')]","In order to understand the puzzle of the free energy of an individual quark
in QCD, we explicitly construct ensembles with quark numbers $N_V\neq 0\!\mod
3$, corresponding to non-zero triality in a finite subvolume $V$ on the
lattice. We first illustrate the basic idea in an effective Polyakov-loop
theory for the heavy-dense limit of QCD, and then extend the construction to
full Lattice QCD, where the electric center flux through the surface of $V$ has
to be fixed at all times to account for Gauss's law. This requires introducing
discrete Fourier transforms over closed center-vortex sheets around the spatial
volume $V$ between all subsequent time slices, and generalizes the construction
of 't Hooft's electric fluxes in the purge gauge theory. We derive this same
result from a dualization of the Wilson fermion action, and from the transfer
matrix formulation with a local $\mathbb Z_3$-Gauss law to restrict the
dynamics to sectors with the required center charge in $V$."
9231,"26

V Discussion of results and directions for further research  27

VI Appendixes                                                30

               3
                                               Duality between lattice theories                                                  A PREPRINT

Part I

Summary of the method and the results obtained

We start with the Euclidean theory |φ|n for n > 2 with the action in arbitrary dimension d:

                                 S[φ] = ddx 1 (∇φ)2 + m2 φ2 + gn |φ|n , (1)
                                                            2                2                n
                                               V

where V - some ﬁnite volume (and then we also study the limit of V −→ ∞ and we will consider V to be a cube).",.,"For even n, the module in potential can be omitted.",2022-07-23 12:11:00+00:00,Calculation of connected contributions to the S-matrix using duality between lattice theories,hep-lat,"['hep-lat', 'hep-th']","[arxiv.Result.Author('Nikita A. Ignatyuk'), arxiv.Result.Author('Daniel V. Sklyannyi')]","The main aim of this work - to calculate 2- and 4-point connected
contributions to the $S$-matrix and correlation functions for the euclidean
scalar field on the lattice with self-action $|\phi|^{n}$ for $n>2$, and
coupling constant renormalised in a special way for arbitrary dimension. It is
shown that the considering theory has a nontrivial continuous limit. A new
method is proposed without the use of perturbation theory and diagrams, using
the explored duality between different lattice field theories. After its
application, it turns out that it is possible to apply the saddle-point method
to the generating functional, where the concentration of nodes of the initial
lattice approximation acts as a large parameter. In addition to the connected
contributions to the $S$-matrix, the beta function is calculated and a critical
point for the theory of $\phi^{4k}$ with rescaled coupling in arbitrary
dimension, a nontrivial mass gap of the interacting massless theory, as well as
the masses of bound and single-particle states of the interacting theory are
obtained. The proposed method can be extended for application to QED and gauge
theories, as well as generalized to the arbitrary geometry of space. Though the
way of coupling rescaling is specific, it gives nontrivial theory with the
majority of perturbatively expected effects."
