,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
51,"Having said all these, we consider that the particular 3-5-1 electro-weak uniﬁcation
with no exotic charges is a viable SM-extension candidate, so that it truly deserves
attention and further study for deepening its phenomenological investigation.","Thus, such eluding particles could
naturally have escaped to any observation up to date and their relic density can be in
principle estimated.","References

 [1] A. Palcu, Prog.",2022-01-03 12:16:39+00:00,Weak charges in $SU(5)_{L} \times U(1)_{Y}$ gauge models,hep-ph,['hep-ph'],[arxiv.Result.Author('Adrian Palcu')],"Within the framework of a renormalizable $SU(5)_{L} \times U(1)_{Y}$
electro-weak gauge model with no exotic electric charges, we obtain all the
neutral weak charge operators and their quantization, once the diagonalization
of the neutral boson mass matrix is properly performed. Our results open up the
path to a rich and promising phenomenological outcome. All the Standard Model
phenomenology is recovered by simply decoupling the latter's scale
($v_{SM}=246$ GeV) from the higher scale ($V\sim$ 10 TeV) specific to our new
electro-weak unification."
128,"However, the damping       or may have some residual impact on cosmological or astro-
                                                                     physical parameters may be worthy of further study.","Whether the latter period
If the ﬁeld were merely oscillating and not redshifting, then        of time-varying CP violation is merely an interesting curiosity,
oscillations in θ¯ would average to zero.",of oscillations implies that this will not be the case.,2022-01-05 04:38:46+00:00,"Axions, Time Varying CP Violation, and Baryogenesis",hep-ph,"['hep-ph', 'astro-ph.CO']",[arxiv.Result.Author('Lawrence M. Krauss')],"We derive two features of axion cosmology that may have cosmological
implications, whether or not axions are dark matter: For the full range of
allowed axion masses, the evolution of a cosmic axion background allows large
CP violation until temperatures as low as $\sim$ 2 GeV, and once the axion
field begins to oscillate, the cosmological axion field's relaxation to its
ground state can briefly provide a new departure from thermal equilibrium, via
time-varying CP violation. During both of these periods, the Strong CP
violating parameter $\bar\theta$ can be as large as O(1)."
129,"However, the damping       or may have some residual impact on cosmological or astro-
                                                                     physical parameters may be worthy of further study.","Whether the latter period
If the ﬁeld were merely oscillating and not redshifting, then        of time-varying CP violation is merely an interesting curiosity,
oscillations in θ¯ would average to zero.",of oscillations implies that this will not be the case.,2022-01-05 04:38:46+00:00,"Axions, Time Varying CP Violation, and Baryogenesis",hep-ph,"['hep-ph', 'astro-ph.CO']",[arxiv.Result.Author('Lawrence M. Krauss')],"We derive two features of axion cosmology that may have cosmological
implications, whether or not axions are dark matter: For the full range of
allowed axion masses, the evolution of a cosmic axion background allows large
CP violation until temperatures as low as $\sim$ 2 GeV, and once the axion
field begins to oscillate, the cosmological axion field's relaxation to its
ground state can briefly provide a new departure from thermal equilibrium, via
time-varying CP violation. During both of these periods, the Strong CP
violating parameter $\bar\theta$ can be as large as O(1)."
134,In this paper we further study zero dimensional case.,"Recently we have suggested a simple zero dimensional model
which satisﬁes both unitarity conditions [46].","In Section 2 we discuss the relation of the model
of [46] with a t-channel unitary model introduced in [11] and later in [47] and studied in detail in [43].",2022-01-05 11:30:34+00:00,Nuclei in the toy world: beyond the Pomeron in zero transverse dimensions,hep-ph,['hep-ph'],"[arxiv.Result.Author('A. Kovner'), arxiv.Result.Author('E. Levin'), arxiv.Result.Author('M. Lublinsky')]","We explore possible extensions of the $t$-channel and $s$-channel unitary
model of high energy evolution in zero transverse dimensions appropriate to
very high energy/atomic number where the dipole density in a toy hadron is
parametrically high.We suggest that the appropriate generalization is to allow
emission of more than one dipole in a single step of energy evolution. We
construct explicitly such a model that preserves the $t$-channel and s-channel
unitarity and have the correct low density limit, and study the particle
multiplicity distribution resulting from this evolution. We consider initial
conditions of a single dipole and many dipoles at initial rapidity. We observe
that the saturation regime in this model is preceded by a parametric range of
rapidities
$\frac{1}{\alpha_s}\ln\frac{1}{\alpha_s}<Y<\frac{1}{\alpha_s}\ln\frac{1}{\alpha_s^2}$,
where the saturation effects are still unimportant, but multiple emissions
determine the properties of the evolution. We also discuss the influence of the
saturation on the parton cascade and, in particular, find that in the
saturation regime the entropy of partons becomes $S \approx \h \ln N$ where $N$
is the mean multiplicity."
135,In this paper we further study zero dimensional case.,"Recently we have suggested a simple zero dimensional model
which satisﬁes both unitarity conditions [46].","In Section 2 we discuss the relation of the model
of [46] with a t-channel unitary model introduced in [11] and later in [47] and studied in detail in [43].",2022-01-05 11:30:34+00:00,Nuclei in the toy world: beyond the Pomeron in zero transverse dimensions,hep-ph,['hep-ph'],"[arxiv.Result.Author('A. Kovner'), arxiv.Result.Author('E. Levin'), arxiv.Result.Author('M. Lublinsky')]","We explore possible extensions of the $t$-channel and $s$-channel unitary
model of high energy evolution in zero transverse dimensions appropriate to
very high energy/atomic number where the dipole density in a toy hadron is
parametrically high.We suggest that the appropriate generalization is to allow
emission of more than one dipole in a single step of energy evolution. We
construct explicitly such a model that preserves the $t$-channel and s-channel
unitarity and have the correct low density limit, and study the particle
multiplicity distribution resulting from this evolution. We consider initial
conditions of a single dipole and many dipoles at initial rapidity. We observe
that the saturation regime in this model is preceded by a parametric range of
rapidities
$\frac{1}{\alpha_s}\ln\frac{1}{\alpha_s}<Y<\frac{1}{\alpha_s}\ln\frac{1}{\alpha_s^2}$,
where the saturation effects are still unimportant, but multiple emissions
determine the properties of the evolution. We also discuss the influence of the
saturation on the parton cascade and, in particular, find that in the
saturation regime the entropy of partons becomes $S \approx \h \ln N$ where $N$
is the mean multiplicity."
354,"We further study the constraints on new physics contributions to b → uu¯q (q = s, d).","Moreover, the data suggest that these eﬀects are dominated by factorizable contributions.","New
                                         physics that is minimally ﬂavor violating (MFV) cannot be distinguished from the Standard
                                         Model (SM) in these decays.",2022-01-10 19:00:01+00:00,Lessons from the LHCb measurement of CP violation in $B_s\to K^+K^-$,hep-ph,"['hep-ph', 'hep-ex']","[arxiv.Result.Author('Yosef Nir'), arxiv.Result.Author('Inbar Savoray'), arxiv.Result.Author('Yehonatan Viernik')]","The LHCb experiment measured the time-dependent CP asymmetries $C_{KK}$ and
$S_{KK}$ in $B_s\to K^+K^-$ decay. Combining with the corresponding CP
asymmetries $C_{\pi\pi}$ and $S_{\pi\pi}$ in $B\to \pi^+\pi^-$ decay, we find
that the size of $U$-spin breaking in this system is of order $20\%$. Moreover,
the data suggest that these effects are dominated by factorizable
contributions. We further study the constraints on new physics contributions to
$b\to u\bar uq$ ($q=s,d$). New physics that is minimally flavor violating (MFV)
cannot be distinguished from the Standard Model (SM) in these decays. However,
new physics that is not MFV can mimic large $U$-spin breaking. Requiring that
the $U$-spin breaking parameters remain below the size implied by the data
leads to a lower bound of $5-10$ TeV on the scale of generic new physics. If
the new physics is subject to the selection rules that follow from the
Froggatt-Nielsen (FN) mechanism or from General Minimal Flavor Violation
(GMFV), the bound is relaxed to 2 TeV."
355,"We further study the constraints on new physics contributions to b → uu¯q (q = s, d).","Moreover, the data suggest that these eﬀects are dominated by factorizable contributions.","New
                                         physics that is minimally ﬂavor violating (MFV) cannot be distinguished from the Standard
                                         Model (SM) in these decays.",2022-01-10 19:00:01+00:00,Lessons from the LHCb measurement of CP violation in $B_s\to K^+K^-$,hep-ph,"['hep-ph', 'hep-ex']","[arxiv.Result.Author('Yosef Nir'), arxiv.Result.Author('Inbar Savoray'), arxiv.Result.Author('Yehonatan Viernik')]","The LHCb experiment measured the time-dependent CP asymmetries $C_{KK}$ and
$S_{KK}$ in $B_s\to K^+K^-$ decay. Combining with the corresponding CP
asymmetries $C_{\pi\pi}$ and $S_{\pi\pi}$ in $B\to \pi^+\pi^-$ decay, we find
that the size of $U$-spin breaking in this system is of order $20\%$. Moreover,
the data suggest that these effects are dominated by factorizable
contributions. We further study the constraints on new physics contributions to
$b\to u\bar uq$ ($q=s,d$). New physics that is minimally flavor violating (MFV)
cannot be distinguished from the Standard Model (SM) in these decays. However,
new physics that is not MFV can mimic large $U$-spin breaking. Requiring that
the $U$-spin breaking parameters remain below the size implied by the data
leads to a lower bound of $5-10$ TeV on the scale of generic new physics. If
the new physics is subject to the selection rules that follow from the
Froggatt-Nielsen (FN) mechanism or from General Minimal Flavor Violation
(GMFV), the bound is relaxed to 2 TeV."
388,"The existence
of such a behaviors, as well as a deeper theoretical substantiation of the possibility of
taking into account the interactions of mesons in the ﬁnal state by means of meson loops
using the NJL model, can be the subject of further research.","Namely, with an increase in the contribution from the diagrams
with the ﬁrst radial excitations in the intermediate state, the contributions from the
corrections taking into account the interactions in the ﬁnal state decreased.","57
Acknowledgments

We are grateful to prof. A.B.",2022-01-11 13:56:37+00:00,Low-energy interactions of mesons with participation of the first radially excited states in $U(3) \times U(3)$ NJL model,hep-ph,['hep-ph'],"[arxiv.Result.Author('M. K. Volkov'), arxiv.Result.Author('A. A. Pivovarov'), arxiv.Result.Author('K. Nurlan')]","The $U(3) \times U(3)$ chiral symmetric NJL model describing pseudoscalar,
vector, and axial vector mesons in both the ground state and first radially
excited states is shortly presented in this review. In this model, it is
possible to describe a large number of low-energy interactions of mesons,
$\tau$ lepton decays into mesons and processes of meson production in
electron-positron annihilations in satisfactory agreement with the experiments.
In describing a number of processes, it turned out to be necessary to take into
account the interactions of mesons in the final state."
429,This possibility might deserve further study.,"This could
explain our assumptions, the presence of the bulk messenger mass term and the absence of
the bulk Higgs mass term.","Acknowledgments

This work was supported in part by JSPS KAKENHI Grant No.",2022-01-12 11:51:01+00:00,Dirac gaugino from grand gauge-Higgs unification,hep-ph,"['hep-ph', 'hep-th']","[arxiv.Result.Author('Hiroaki Nakano'), arxiv.Result.Author('Masamichi Sato'), arxiv.Result.Author('Osamu Seto'), arxiv.Result.Author('Toshifumi Yamashita')]","We show that models of the Dirac gaugino can naturally be embedded into a
kind of the grand unified theory (GUT), the grand gauge-Higgs unification
(gGHU) model, with the gauge group SU(5)\times SU(5)/Z_2 on an S^1/Z_2
orbifold. The supersymmetric gGHU is known to posess a light chiral adjoint
supermultiplet after the GUT breaking, thank to the exchange symmetry of two
SU(5) groups. Identifying the `predicted' adjoint fermion with the Dirac
partner of the gaugino, we argue that the supersoft term, responsible for the
Dirac gaugino mass, can be obtained from the supersymmetric Chern-Simons (CS)
like term in the gGHU setup. Although the latter term does not respect the
exchange symmetry, we propose a novel way to introduce its breaking effect
within a consistent orbifold construction. We also give a concrete setup of
fermion field contents (bulk and boundary-localized fermions) that induce the
requisite CS-like term, and calculate its coefficient from the bulk profile of
chiral fermion zero modes. Our gGHU setup may be regarded as an
extra-dimensional realization of the Goldstone gaugino scenario that was
proposed before as a solution to the problem of the adjoint scalar masses."
430,This possibility might deserve further study.,"This could
explain our assumptions, the presence of the bulk messenger mass term and the absence of
the bulk Higgs mass term.","Acknowledgments

This work was supported in part by JSPS KAKENHI Grant No.",2022-01-12 11:51:01+00:00,Dirac gaugino from grand gauge-Higgs unification,hep-ph,"['hep-ph', 'hep-th']","[arxiv.Result.Author('Hiroaki Nakano'), arxiv.Result.Author('Masamichi Sato'), arxiv.Result.Author('Osamu Seto'), arxiv.Result.Author('Toshifumi Yamashita')]","We show that models of the Dirac gaugino can naturally be embedded into a
kind of the grand unified theory (GUT), the grand gauge-Higgs unification
(gGHU) model, with the gauge group SU(5)\times SU(5)/Z_2 on an S^1/Z_2
orbifold. The supersymmetric gGHU is known to posess a light chiral adjoint
supermultiplet after the GUT breaking, thank to the exchange symmetry of two
SU(5) groups. Identifying the `predicted' adjoint fermion with the Dirac
partner of the gaugino, we argue that the supersoft term, responsible for the
Dirac gaugino mass, can be obtained from the supersymmetric Chern-Simons (CS)
like term in the gGHU setup. Although the latter term does not respect the
exchange symmetry, we propose a novel way to introduce its breaking effect
within a consistent orbifold construction. We also give a concrete setup of
fermion field contents (bulk and boundary-localized fermions) that induce the
requisite CS-like term, and calculate its coefficient from the bulk profile of
chiral fermion zero modes. Our gGHU setup may be regarded as an
extra-dimensional realization of the Goldstone gaugino scenario that was
proposed before as a solution to the problem of the adjoint scalar masses."
