,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
54,Future work can be directed along at least four lines of further research.,"[31] In the real model, ΩD and b2 are independent
parameters, whereas in the complex model, we found an interrelationship between these
two parameters.","Firstly, we can
establish the correspondence between the complex quintessence ﬁeld and other dark energy
scenarios.",2021-12-31 14:49:08+00:00,Interacting Ghost Dark Energy in Complex Quintessence Theory,hep-th,['hep-th'],[arxiv.Result.Author('Yang Liu')],"We employ a ghost model of interacting dark energy to obtain the equation of
state \omega for ghost energy density in an FRW universe in complex
quintessence theory. We reconstruct the potential and study the dynamics of the
scalar field that describes complex quintessence cosmology. We perform
\omega-\omega' analysis and stability analysis for both non-interacting and
interacting cases and find that the same basic conclusion as for the real
model, where \omega' = d\omega/dlna. Taking account of the effect of the
complex part and assuming the real part of the quintessence field to be a
""slow-rolling"" field, we conclude that the non-interacting model cannot
describe the real universe since this will lead to fractional energy density
\Omega_D > 1, where \Omega_D can be defined as the ratio of \rho_D to
\rho_{cr}. However, for the interacting case, if we take present \Omega_D =
0.73, then we can determine that b^2 = 0.0849, where b^2 is the interaction
coupling parameter between matter and dark energy. In the real quintessence
model, \Omega_D and b^2 are independent parameters, whereas in the complex
quintessence model, we conclude that there is a relationship between these two
parameters."
115,Future work can be directed along at least three lines of further research.,"For F-JNW solution, we found that σl(ω) monotonically
increases with the increase of a(b) for ﬁxed b(a).","Firstly, the
solutions of other metric in double ﬁeld theory should be obtained.",2021-12-31 14:27:42+00:00,Hawking temperature and the bound on greybody factors in $D = 4$ double field theory,hep-th,['hep-th'],[arxiv.Result.Author('Yang Liu')],"We investigate the basic properties of Hawking radiation for spherical
solutions in $D = 4$ double field theory. We give the expression of the Hawking
temperature for the solution and then discuss the results of various limits. We
find that for all these limits only Schwarzschild solution and F-JNW solution
can generate Hawking radiation. Moreover, we obtain the lower bound on greybody
factors $\sigma_l(\omega)$ for the spherical solutions in $D = 4$ double field
theory. In particular, we calculate the bound on greybody factors
$\sigma_l(\omega)$ for F-JNW solution. For F-JNW solution, $\sigma_l(\omega)$
monotonically increases with the increase of $a(b)$ for fixed $b(a)$."
116,"(5.5)

The meaning of this relationship and the eﬀect of Rényi entropy on Hawking radiation
should be studied in further research.","(5.4)

                  2D−1πD/2Γ(D/2)                      j

Therefore, if x 1 and TBωH 1, then we obtain

                                      SR = xSBH .","6 Summary and discussion

It is widely believed that Hawking radiation originates from the excitations near the horizons
of black holes.",2021-12-31 14:15:30+00:00,The Effect of Rényi Entropy on Hawking Radiation,hep-th,['hep-th'],[arxiv.Result.Author('Yang Liu')],"It is widely believed that Hawking radiation originates from excitations near
the horizons of black holes. However, Giddings proposed that the Hawking
radiation spectrum that characterizes evaporating semi-classical black holes
originates from a quantum atmosphere, which extends beyond the horizon of a
black hole. Although several research projects have been conducted in this
field, they have not yet taken into account the effect of R\'enyi entropy. In
the present article, we will therefore consider the effect of R\'enyi entropy
on Hawking radiation power. We assume that if the effect of R\'enyi entropy is
very small, we suggest that the Hawking radiation should originate from the
quantum atmosphere which extends beyond the black hole's horizon for finite
dimensions. That is, that Giddings' suggestion is the more likely of the above
possibilities. However, for infinite dimensions, both suggestions are equally
credible. We briefly consider the very large effect of R\'enyi entropy on
Hawking radiation power as well. We find that if the effect of R\'enyi entropy
is very large and {\omega}/T_{BH} is very small, then the power spectral
density S_R is proportional to the power spectral density S_{BH}."
119,This feature deﬁnitely makes the quarton theory worth further study.,"protected
by symmetry.","Second, it turns out that the low-energy expansion of the eﬀective action of the quarton
theory is dominated by interaction terms with exactly two spatial derivatives per ﬁeld.",2022-01-05 00:24:43+00:00,Nonrelativistic effective field theories with enhanced symmetries and soft behavior,hep-th,"['hep-th', 'gr-qc']","[arxiv.Result.Author('Martin A. Mojahed'), arxiv.Result.Author('Tomáš Brauner')]","We systematically explore the landscape of nonrelativistic effective field
theories with a local $S$-matrix and enhanced symmetries and soft behavior. The
exploration is carried out using both conventional quantum field theory methods
based on symmetry arguments, and recently developed on-shell recursion
relations. We show that, in contrary to relativistic theories, enhancement of
the soft limit of scattering amplitudes in nonrelativistic theories is
generally not a byproduct of symmetry alone, but requires additional low-energy
data. Sufficient conditions for enhanced scattering amplitudes can be derived
by combining symmetries and dispersion relations of the scattered particles.
This has direct consequences for the infrared dynamics that different types of
nonrelativistic Nambu-Goldstone bosons can exhibit. We then use a bottom-up
soft bootstrap approach to narrow down the landscape of nonrelativistic
effective field theories that possess a consistent low-energy $S$-matrix. We
recover two exceptional theories of a complex Schr\""odinger-type scalar, namely
the $\mathbb{C} P^1$ nonlinear sigma model and the
Schr\""odinger-Dirac-Born-Infeld theory. Moreover, we use soft recursion to
prove a no-go theorem ruling out the existence of other exceptional
Schr\""odinger-type theories. We also prove that all exceptional theories of a
single real scalar with a linear dispersion relation are necessarily
Lorentz-invariant. Soft recursion allows us to obtain some further general
bounds on the landscape of nonrelativistic effective theories with enhanced
soft limits. Finally, we present a novel theory of a complex scalar with a
technically natural quartic dispersion relation. Altogether, our work
represents the first step of a program to extend the developments in the study
of scattering amplitudes to theories without Lorentz invariance."
120,"Apart from extending the present study to theories with multiple NG boson ﬂavors [36],
some natural directions for further study include other kinematical limits than the single
soft limit, theories of particles with nonzero spin, or scattering amplitudes in nonrelativistic
string theory.","There are however many other aspects of nonrelativistic
scattering amplitudes that await being explored.","More ambitiously, one could use the bottom-up bootstrap approach to search
for hidden structures in nonrelativistic ﬁeld theories that may or may not resemble known

                                                       – 47 –
relations and dualities among relativistic theories.",2022-01-05 00:24:43+00:00,Nonrelativistic effective field theories with enhanced symmetries and soft behavior,hep-th,"['hep-th', 'gr-qc']","[arxiv.Result.Author('Martin A. Mojahed'), arxiv.Result.Author('Tomáš Brauner')]","We systematically explore the landscape of nonrelativistic effective field
theories with a local $S$-matrix and enhanced symmetries and soft behavior. The
exploration is carried out using both conventional quantum field theory methods
based on symmetry arguments, and recently developed on-shell recursion
relations. We show that, in contrary to relativistic theories, enhancement of
the soft limit of scattering amplitudes in nonrelativistic theories is
generally not a byproduct of symmetry alone, but requires additional low-energy
data. Sufficient conditions for enhanced scattering amplitudes can be derived
by combining symmetries and dispersion relations of the scattered particles.
This has direct consequences for the infrared dynamics that different types of
nonrelativistic Nambu-Goldstone bosons can exhibit. We then use a bottom-up
soft bootstrap approach to narrow down the landscape of nonrelativistic
effective field theories that possess a consistent low-energy $S$-matrix. We
recover two exceptional theories of a complex Schr\""odinger-type scalar, namely
the $\mathbb{C} P^1$ nonlinear sigma model and the
Schr\""odinger-Dirac-Born-Infeld theory. Moreover, we use soft recursion to
prove a no-go theorem ruling out the existence of other exceptional
Schr\""odinger-type theories. We also prove that all exceptional theories of a
single real scalar with a linear dispersion relation are necessarily
Lorentz-invariant. Soft recursion allows us to obtain some further general
bounds on the landscape of nonrelativistic effective theories with enhanced
soft limits. Finally, we present a novel theory of a complex scalar with a
technically natural quartic dispersion relation. Altogether, our work
represents the first step of a program to extend the developments in the study
of scattering amplitudes to theories without Lorentz invariance."
154,"(10)
ﬁrst-order phase transition, is an interesting direction
for further study.","f (r)

   Dedicating to a precise characterization of QCD            together with
matter, particularly the properties and diﬀerences of
the quark-gluon plasma and hadronic phases along the                         φ = φ(r), At = At(r) .",We have set up the preliminary hQCD        We denote the event horizon as rh at which f vanishes.,2022-01-06 10:38:14+00:00,Probing QCD critical point and induced gravitational wave by black hole physics,hep-th,"['hep-th', 'gr-qc', 'hep-ph']","[arxiv.Result.Author('Rong-Gen Cai'), arxiv.Result.Author('Song He'), arxiv.Result.Author('Li Li'), arxiv.Result.Author('Yuan-Xu Wang')]","Locating the critical endpoint of QCD and the region of a first-order phase
transition at finite baryon chemical potential is an active research area for
QCD matter. We provide a gravitational dual description of QCD matter at finite
baryon chemical potential and finite temperature using the non-perturbative
approach from gauge/gravity duality. After fixing all model parameters using
state-of-the-art lattice QCD data at zero chemical potential, the predicted
equations of state and QCD trace anomaly relation are in quantitative agreement
with the latest lattice results. We then give the exact location of the
critical endpoint as well as the first-order transition line, which is within
the coverage of many upcoming experimental measurements. Moreover, using the
data from our model at finite baryon chemical potential, we calculate the
spectrum of the stochastic gravitational wave background associated with the
first-order QCD transition in the early universe, which could be observable via
pulsar timing in the future."
155,"(10)
ﬁrst-order phase transition, is an interesting direction
for further study.","f (r)

   Dedicating to a precise characterization of QCD            together with
matter, particularly the properties and diﬀerences of
the quark-gluon plasma and hadronic phases along the                         φ = φ(r), At = At(r) .",We have set up the preliminary hQCD        We denote the event horizon as rh at which f vanishes.,2022-01-06 10:38:14+00:00,Probing QCD critical point and induced gravitational wave by black hole physics,hep-th,"['hep-th', 'gr-qc', 'hep-ph']","[arxiv.Result.Author('Rong-Gen Cai'), arxiv.Result.Author('Song He'), arxiv.Result.Author('Li Li'), arxiv.Result.Author('Yuan-Xu Wang')]","Locating the critical endpoint of QCD and the region of a first-order phase
transition at finite baryon chemical potential is an active research area for
QCD matter. We provide a gravitational dual description of QCD matter at finite
baryon chemical potential and finite temperature using the non-perturbative
approach from gauge/gravity duality. After fixing all model parameters using
state-of-the-art lattice QCD data at zero chemical potential, the predicted
equations of state and QCD trace anomaly relation are in quantitative agreement
with the latest lattice results. We then give the exact location of the
critical endpoint as well as the first-order transition line, which is within
the coverage of many upcoming experimental measurements. Moreover, using the
data from our model at finite baryon chemical potential, we calculate the
spectrum of the stochastic gravitational wave background associated with the
first-order QCD transition in the early universe, which could be observable via
pulsar timing in the future."
210,"We leave comments on this
interesting point to further study.","We will not discuss
topologies of divisors given by linear combinations of the Hi|X .","The knowledge of the divisors’ topology is truly essential
in the context of global model building in IIB.",2022-01-06 18:09:17+00:00,Divisor topologies of CICY 3-folds and their applications to phenomenology,hep-th,['hep-th'],"[arxiv.Result.Author('Federico Carta'), arxiv.Result.Author('Alessandro Mininno'), arxiv.Result.Author('Pramod Shukla')]","In this article, we present a classification for the divisor topologies of
the projective complete intersection Calabi-Yau (pCICY) 3-folds realized as
hypersurfaces in the product of complex projective spaces. There are 7890 such
pCICYs of which 7820 are favorable, and can be subsequently useful for
phenomenological purposes. To our surprize we find that the whole pCICY
database results in only 11 (so-called coordinate) divisors $(D)$ of distinct
topology and we classify those surfaces with their possible deformations inside
the pCICY 3-fold, which turns out to be satisfying $1 \leq h^{2,0}(D) \leq 7$.
We also present a classification of the so-called ample divisors for all the
favorable pCICYs which can be useful for fixing all the (saxionic) K\""ahler
moduli through a single non-perturbative term in the superpotential. We argue
that this relatively unexplored pCICY dataset equipped with the necessary model
building ingredients, can be used for a systematic search of physical vacua. To
illustrate this for model building in the context of type IIB CY orientifold
compactifications, we present moduli stabilization with some preliminary
analysis of searching possible vacua in simple models, as a template to be
adopted for analyzing models with a larger number of K\""ahler moduli."
211,"We leave comments on this
interesting point to further study.","We will not discuss
topologies of divisors given by linear combinations of the Hi|X .","The knowledge of the divisors’ topology is truly essential
in the context of global model building in IIB.",2022-01-06 18:09:17+00:00,Divisor topologies of CICY 3-folds and their applications to phenomenology,hep-th,['hep-th'],"[arxiv.Result.Author('Federico Carta'), arxiv.Result.Author('Alessandro Mininno'), arxiv.Result.Author('Pramod Shukla')]","In this article, we present a classification for the divisor topologies of
the projective complete intersection Calabi-Yau (pCICY) 3-folds realized as
hypersurfaces in the product of complex projective spaces. There are 7890 such
pCICYs of which 7820 are favorable, and can be subsequently useful for
phenomenological purposes. To our surprise we find that the whole pCICY
database results in only 11 (so-called coordinate) divisors $(D)$ of distinct
topology and we classify those surfaces with their possible deformations inside
the pCICY 3-fold, which turn out to be satisfying $1 \leq h^{2,0}(D) \leq 7$.
We also present a classification of the so-called ample divisors for all the
favorable pCICYs which can be useful for fixing all the (saxionic) K\""ahler
moduli through a single non-perturbative term in the superpotential. We argue
that this relatively unexplored pCICY dataset equipped with the necessary model
building ingredients, can be used for a systematic search of physical vacua. To
illustrate this for model building in the context of type IIB CY orientifold
compactifications, we present moduli stabilization with some preliminary
analysis of searching possible vacua in simple models, as a template to be
adopted for analyzing models with a larger number of K\""ahler moduli."
455,"We hope this can be achieved by
       a further study of the 3d-3d correspondence and better understanding of the
       relation between the category of log VOA modules and the algebraic structure
       MTC[X] of line operators in 3d theory T [X], along the lines of [7, 8, 15, 79, 85,
       86].","other conformal
       blocks, directly from the data of a 3-manifold.","67
• The relations between non-traditional (“exotic”) forms of modularity, logarith-
   mic vertex algebras, and q-series invariants of 3-manifolds also involve quantum
   groups at generic values of q and their various specializations:

                                                   log VOAs

Z -invariants  quantum  (7.1)
                groups

                                                                        quantum
                                                                    modular forms

   In this work we focused on the upper and the left, and the lower to a lesser
   extent, nodes in this diagram.",2022-01-12 19:00:02+00:00,3-Manifolds and VOA Characters,hep-th,"['hep-th', 'math.GT', 'math.QA', 'math.RT']","[arxiv.Result.Author('Miranda C. N. Cheng'), arxiv.Result.Author('Sungbong Chun'), arxiv.Result.Author('Boris Feigin'), arxiv.Result.Author('Francesca Ferrari'), arxiv.Result.Author('Sergei Gukov'), arxiv.Result.Author('Sarah M. Harrison'), arxiv.Result.Author('Davide Passaro')]","By studying the properties of $q$-series $\widehat Z$-invariants, we develop
a dictionary between 3-manifolds and vertex algebras. In particular, we
generalize previously known entries in this dictionary to Lie groups of higher
rank, to 3-manifolds with toral boundaries, and to BPS partition functions with
line operators. This provides a new physical realization of logarithmic vertex
algebras in the framework of the 3d-3d correspondence and opens new avenues for
their future study. For example, we illustrate how invoking a knot-quiver
correspondence for $\widehat{Z}$-invariants leads to many infinite families of
new fermionic formulae for VOA characters."
