,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
454,The present work opens the door for further researchs.,"The result was an expression for the eigenvalues of these Heun
operators, and by extension for the spectrum of the time and band limiting operators, as
functions of the solutions of Bethe equations.","There exist many diﬀerent Heun
operators and their connection with integrable systems remains an interesting open question.",2022-01-12 17:30:42+00:00,Time and band limiting operator and Bethe ansatz,math-ph,"['math-ph', 'math.MP']","[arxiv.Result.Author('P. -A. Bernard'), arxiv.Result.Author('N. Crampe'), arxiv.Result.Author('L. Vinet')]","The time and band limiting operator is introduced to optimize the
reconstruction of a signal from only a partial part of its spectrum. In the
discrete case, this operator commutes with the so-called algebraic Heun
operator which appears in the context of the quantum integrable systems. The
construction of both operators and the proof of their commutativity is
recalled. A direct connection between their spectra is obtained. Then, the
Bethe ansatz, a well-known method to diagonalize integrable quantum
Hamiltonians, is used to diagonalize the Heun operator and to obtain insights
on the spectrum of the time and band limiting operator."
575,"Before further studying the relation between both approaches, let us briefly
review the assumptions B. Simon and J. Kisyński made to prove the existence
of a unitary propagator.","For the rest of this section we are
going to assume that this equality holds.","There are two main ingredients playing a central role
in their proofs: the (uniform) equivalence of the norms ∥ · ∥+,t := √︁⟨·, ·⟩+,t
and the regularity of the generators H(t).",2022-01-14 14:37:28+00:00,Quantum Control at the Boundary,math-ph,"['math-ph', 'math.FA', 'math.MP', 'math.OC', 'quant-ph']",[arxiv.Result.Author('Aitor Balmaseda')],"This dissertation presents and prove the viability of a non-standard method
for controlling the state of a quantum system by modifying its boundary
conditions instead of relying on the action of external fields. The standard
approach to quantum control bases on the use of an external field to manipulate
the system. Some technological difficulties appear when controlling a quantum
system in this way, due to the complications of manipulating a system made of
few particles while maintaining the quantum correlations. As a consequence the
systems need to be kept at very low temperatures and the interactions have to
be performed very fast. The Quantum Control at the Boundary approach is
radically different to the standard one. Instead of seeking the control of the
quantum system by directly interacting with it through an external field, the
control is achieved by manipulating the boundary conditions of the system. The
spectrum of a quantum system, for instance an electron moving in a box, depends
on the boundary conditions imposed on it. Hence, a modification of such
boundary conditions modifies the state of the system allowing for its
manipulation and, eventually, its control. This kind of interaction is weaker,
which makes one to expect that it may help maintaining the quantum
correlations. For showing the viability of the Quantum Control at the Boundary
method, a family of boundary control systems on Quantum Circuits (a
generalization of quantum grahs) is introduced. Before being able to address
the problem of controllability, the problem of existence of solutions for the
Schr\""odinger equation with time-dependent boundary conditions is addressed.
The approximate controllability of the systems under study is proven using a
controllability result by T. Chambrion et al. (2009) and a stability result
which constitutes another original contribution of this dissertation."
576,"Before further studying the relation between both approaches, let us briefly
review the assumptions B. Simon and J. Kisyński made to prove the existence
of a unitary propagator.","For the rest of this section we are
going to assume that this equality holds.","There are two main ingredients playing a central role
in their proofs: the (uniform) equivalence of the norms ∥ · ∥+,t := √︁⟨·, ·⟩+,t
and the regularity of the generators H(t).",2022-01-14 14:37:28+00:00,Quantum Control at the Boundary,math-ph,"['math-ph', 'math.FA', 'math.MP', 'math.OC', 'quant-ph']",[arxiv.Result.Author('Aitor Balmaseda')],"This dissertation presents and prove the viability of a non-standard method
for controlling the state of a quantum system by modifying its boundary
conditions instead of relying on the action of external fields. The standard
approach to quantum control bases on the use of an external field to manipulate
the system. Some technological difficulties appear when controlling a quantum
system in this way, due to the complications of manipulating a system made of
few particles while maintaining the quantum correlations. As a consequence the
systems need to be kept at very low temperatures and the interactions have to
be performed very fast. The Quantum Control at the Boundary approach is
radically different to the standard one. Instead of seeking the control of the
quantum system by directly interacting with it through an external field, the
control is achieved by manipulating the boundary conditions of the system. The
spectrum of a quantum system, for instance an electron moving in a box, depends
on the boundary conditions imposed on it. Hence, a modification of such
boundary conditions modifies the state of the system allowing for its
manipulation and, eventually, its control. This kind of interaction is weaker,
which makes one to expect that it may help maintaining the quantum
correlations. For showing the viability of the Quantum Control at the Boundary
method, a family of boundary control systems on Quantum Circuits (a
generalization of quantum grahs) is introduced. Before being able to address
the problem of controllability, the problem of existence of solutions for the
Schr\""odinger equation with time-dependent boundary conditions is addressed.
The approximate controllability of the systems under study is proven using a
controllability result by T. Chambrion et al. (2009) and a stability result
which constitutes another original contribution of this dissertation."
979,"The lack of relevance to phase transition notwithstanding, Ericksen’s
study was thought provoking and opened up a fertile area for further study
in nonlinear elasticity.","Erick-
sen’s study reveals that there are equilibrium states of a purely elastic rod,
wherein the deformation gradient could be discontinuous, no more and no
less.","There are two important attributes to an elastic body, it is incapable of
dissipating energy, that is, converting work into energy in its thermal form
(heat), and it has an unique “natural conﬁguration”.",2022-01-25 02:18:16+00:00,"On evolving natural curvature for an inextensible, unshearable, viscoelastic rod",math-ph,"['math-ph', 'cond-mat.soft', 'math.CA', 'math.MP']","[arxiv.Result.Author('K. R. Rajagopal'), arxiv.Result.Author('Casey Rodriguez')]","Phase transition in continua is, by its very definition, a dynamic process.
Micro-structural changes take place, entropy is produced, and the body's
natural configuration (the configuration the body would take when all external
stimuli are removed) evolves in time.
  Motivated by these considerations, we formulate and consider the problem of
an inextensible, unshearable, viscoelastic rod, with evolving natural
configuration, moving on a plane. We prove that the dynamic equations
describing quasistatic motion of an Eulerian strut, an infinite dimensional
dynamical system, are globally well-posed. For every value of the terminal
thrust, these equations contain a smooth embedded curve of static solutions
(equilibrium points). We characterize the spectrum of the linearized equations
about an arbitrary equilibrium point, and using this information and a
convergence result for dynamical systems due to Brunovsk\'y and Pol\'acik, we
prove that every solution to the quasistatic equations of motion converges to
an equilibrium point as time goes to infinity."
980,"The lack of relevance to phase transition notwithstanding, Ericksen’s
study was thought provoking and opened up a fertile area for further study
in nonlinear elasticity.","Erick-
sen’s study reveals that there are equilibrium states of a purely elastic rod,
wherein the deformation gradient could be discontinuous, no more and no
less.","There are two important attributes to an elastic body, it is incapable of
dissipating energy, that is, converting work into energy in its thermal form
(heat), and it has a unique “natural conﬁguration”.",2022-01-25 02:18:16+00:00,"On evolving natural curvature for an inextensible, unshearable, viscoelastic rod",math-ph,"['math-ph', 'cond-mat.soft', 'math.CA', 'math.MP']","[arxiv.Result.Author('K. R. Rajagopal'), arxiv.Result.Author('Casey Rodriguez')]","We formulate and consider the problem of an inextensible, unshearable,
viscoelastic rod, with evolving natural configuration, moving on a plane. We
prove that the dynamic equations describing quasistatic motion of an Eulerian
strut, an infinite dimensional dynamical system, are globally well-posed. For
every value of the terminal thrust, these equations contain a smooth embedded
curve of static solutions (equilibrium points). We characterize the spectrum of
the linearized equations about an arbitrary equilibrium point, and using this
information and a convergence result for dynamical systems due to Brunovsk\'y
and Pol\'acik, we prove that every solution to the quasistatic equations of
motion converges to an equilibrium point as time goes to infinity."
1237,"These examples
therefore encapsulate well some of the motivations of this work and understanding how to include
them in the formalism introduced here constitutes an interesting direction for further research.",We explain more concretely why we believe so in Section 0.1.,"It is relatively straightforward to deﬁne the duality map for the case of closed combinatorial cell
complexes and verify that it deﬁnes an involution, which is part of the content of Chapter 1.",2022-01-30 15:29:45+00:00,"Combinatorial Cell Complexes: Duality, reconstruction and causal cobordisms",math-ph,"['math-ph', 'hep-th', 'math.MP']",[arxiv.Result.Author('Maxime Savoy')],"This thesis proposes a framework based on a notion of combinatorial cell
complex (cc) whose cells are defined simply as finite sets of vertices. The
cells of a cc are subject to four axioms involving a rank function that assigns
a rank (or a dimension) to each cell. Our framework focuses on classes of cc
admitting an inclusion-reversing duality map. We introduce a combinatorial
notion of cobordism that allows us to single out a category whose morphisms are
cobordisms having a causal structure. Our aim is to offer an approach to look
for a combinatorial notion of quantum field theory having a built-in duality
operation acting on the underlying space and not relying on any manifold
structure. The introduction includes links with fields in Theoretical and
Mathematical Physics related to Quantum Gravity and motivating our framework.
We start by introducing cc and the duality map on a class of cc with empty
boundary called closed cc. We then focus on the problem of reconstructing a
certain class of cc from their cells of rank 2 and lower. Such cc are in
particular duals to simplicial complexes with no boundary and their
reconstruction is realized using a discrete notion of connection. Our next main
result extends the duality map we defined on closed cc to a class of cc with
boundary. An important by-product of the study of this extended duality map is
the combinatorial notion of cobordism used in this work. We also introduce a
general notion of subdivision of a cc via a map called reduction, as well as
the dual notion of reduction called collapse. These two types of map
characterize the structure of certain cc called slices, using sequences of maps
called slice sequences. Slices are the basic building blocs of our definition
of causal cobordisms and the dual of a slice sequence defines the composition
of cobordisms, providing us with a category whose morphisms are causal
cobordisms."
1238,"These examples
therefore encapsulate well some of the motivations of this work and understanding how to include
them in the formalism introduced here constitutes an interesting direction for further research.",We explain more concretely why we believe so in Section 0.1.,"It is relatively straightforward to deﬁne the duality map for the case of closed combinatorial cell
complexes and verify that it deﬁnes an involution, which is part of the content of Chapter 1.",2022-01-30 15:29:45+00:00,"Combinatorial Cell Complexes: Duality, reconstruction and causal cobordisms",math-ph,"['math-ph', 'hep-th', 'math.MP']",[arxiv.Result.Author('Maxime Savoy')],"This thesis proposes a framework based on a notion of combinatorial cell
complex (cc) whose cells are defined simply as finite sets of vertices. The
cells of a cc are subject to four axioms involving a rank function that assigns
a rank (or a dimension) to each cell. Our framework focuses on classes of cc
admitting an inclusion-reversing duality map. We introduce a combinatorial
notion of cobordism that allows us to single out a category whose morphisms are
cobordisms having a causal structure. Our aim is to offer an approach to look
for a combinatorial notion of quantum field theory having a built-in duality
operation acting on the underlying space and not relying on any manifold
structure. The introduction includes links with fields in Theoretical and
Mathematical Physics related to Quantum Gravity and motivating our framework.
We start by introducing cc and the duality map on a class of cc with empty
boundary called closed cc. We then focus on the problem of reconstructing a
certain class of cc from their cells of rank 2 and lower. Such cc are in
particular duals to simplicial complexes with no boundary and their
reconstruction is realized using a discrete notion of connection. Our next main
result extends the duality map we defined on closed cc to a class of cc with
boundary. An important by-product of the study of this extended duality map is
the combinatorial notion of cobordism used in this work. We also introduce a
general notion of subdivision of a cc via a map called reduction, as well as
the dual notion of reduction called collapse. These two types of map
characterize the structure of certain cc called slices, using sequences of maps
called slice sequences. Slices are the basic building blocs of our definition
of causal cobordisms and the dual of a slice sequence defines the composition
of cobordisms, providing us with a category whose morphisms are causal
cobordisms."
1283,"Understanding these results and reconciling them with the hydrodynamic
projection ideas would certainly deserve further study.","We observed that the numerical results
for the current correlations at long times coincide with the TBA results only for certain
time evolution, namely Tn with suﬃciently large n. This suggests that Tn for small
n is insuﬃciently mixing and the observed correlations in this regime still escape our
understanding.","We also stress that a number of these results could be generalized to a larger family
of (non i.i.d.)",2022-01-31 11:13:22+00:00,"Current correlations, Drude weights and large deviations in a box-ball system",math-ph,"['math-ph', 'cond-mat.stat-mech', 'math.MP', 'nlin.SI']","[arxiv.Result.Author('Atsuo Kuniba'), arxiv.Result.Author('Grégoire Misguich'), arxiv.Result.Author('Vincent Pasquier')]","We explore several aspects of the current fluctuations and correlations in
the box-ball system (BBS), an integrable cellular automaton in one space
dimension. The state we consider is an ensemble of microscopic configurations
where the box occupancies are independent random variables (i.i.d. state), with
a given mean ball density. We compute several quantities exactly in such
homogeneous stationary state: the mean value and the variance of the number of
balls $N_t$ crossing the origin during time $t$, and the scaled cumulants
generating function associated to $N_t$. We also compute two spatially
integrated current-current correlations. The first one, involving the long-time
limit of the current-current correlations, is the so-called Drude weight and is
obtained with thermodynamic Bethe Ansatz (TBA). The second one, involving equal
time current-current correlations is calculated using a transfer matrix
approach. A family of generalized currents, associated to the conserved charges
and to the different time evolutions of the models are constructed. The
long-time limits of their correlations generalize the Drude weight and the
second cumulant of $N_t$ and are found to obey nontrivial symmetry relations.
They are computed using TBA and the results are found to be in good agreement
with microscopic simulations of the model. TBA is also used to compute
explicitly the whole family of flux Jacobian matrices. Finally, some of these
results are extended to a (non-i.i.d.) two-temperatures generalized Gibbs state
(with one parameter coupled to the total number of balls, and another one
coupled to the total number of solitons)."
1284,"Understanding
these results and reconciling them with the hydrodynamic projection ideas would certainly
deserve further study.","We observed that the numerical results for the current correlations
at long times coincide with the TBA results only for certain time evolution, namely Tn
with suﬃciently large n. This suggests that Tn for small n is insuﬃciently mixing and
the observed correlations in this regime still escape our understanding.","We also stress that a number of these results could be generalized to a larger family
of (non i.i.d.)",2022-01-31 11:13:22+00:00,"Current correlations, Drude weights and large deviations in a box-ball system",math-ph,"['math-ph', 'cond-mat.stat-mech', 'math.MP', 'nlin.SI']","[arxiv.Result.Author('Atsuo Kuniba'), arxiv.Result.Author('Grégoire Misguich'), arxiv.Result.Author('Vincent Pasquier')]","We explore several aspects of the current fluctuations and correlations in
the box-ball system (BBS), an integrable cellular automaton in one space
dimension. The state we consider is an ensemble of microscopic configurations
where the box occupancies are independent random variables (i.i.d. state), with
a given mean ball density. We compute several quantities exactly in such
homogeneous stationary state: the mean value and the variance of the number of
balls $N_t$ crossing the origin during time $t$, and the scaled cumulants
generating function associated to $N_t$. We also compute two spatially
integrated current-current correlations. The first one, involving the long-time
limit of the current-current correlations, is the so-called Drude weight and is
obtained with thermodynamic Bethe Ansatz (TBA). The second one, involving equal
time current-current correlations is calculated using a transfer matrix
approach. A family of generalized currents, associated to the conserved charges
and to the different time evolutions of the models are constructed. The
long-time limits of their correlations generalize the Drude weight and the
second cumulant of $N_t$ and are found to obey nontrivial symmetry relations.
They are computed using TBA and the results are found to be in good agreement
with microscopic simulations of the model. TBA is also used to compute
explicitly the whole family of flux Jacobian matrices. Finally, some of these
results are extended to a (non-i.i.d.) two-temperatures generalized Gibbs state
(with one parameter coupled to the total number of balls, and another one
coupled to the total number of solitons)."
1468,"The result raises some potentially interesting questions for further study in the hyper-
bolic setting.","In particular, the proof of the main result does not
require recent advances on rigorous implementation of Bogoliubov’s heuristic.","(i) Our result on BEC is proved without identifying even the leading order of the
energy asymptotics in the dilute limit.",2022-02-03 11:43:25+00:00,Bose-Einstein condensation on hyperbolic spaces,math-ph,"['math-ph', 'cond-mat.quant-gas', 'math.MP']","[arxiv.Result.Author('Marius Lemm'), arxiv.Result.Author('Oliver Siebert')]","A well-known conjecture in mathematical physics asserts that the interacting
Bose gas exhibits condensation in the thermodynamic limit. We prove the analog
of this conjecture in hyperbolic spaces. The existence of a volume-independent
spectral gap of the hyperbolic Laplacian plays a key role in the proof."
