,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
65,"The geometric meaning of the injectivity of the map (19) is mysterious and requires
further study.","18        M. APRODU, G. FARKAS, C. RAICU, AND J. WEYMAN

Furthermore, for each EC ∈ SU C(2, ω, r + 2) \ j Wr1+2(C) the map
(19) H1 C, Symr+1 MEC → Symr+1 H0(C, EC ) ⊗ H1(C, OC )
is injective.",In what follows we will prove Theorem 1.5.,2022-01-03 19:03:36+00:00,Koszul modules with vanishing resonance in algebraic geometry,math.AG,"['math.AG', 'math.AC']","[arxiv.Result.Author('Marian Aprodu'), arxiv.Result.Author('Gavril Farkas'), arxiv.Result.Author('Claudiu Raicu'), arxiv.Result.Author('Jerzy Weyman')]","We discuss various applications of a uniform vanishing result for the graded
components of the finite length Koszul module associated to a subspace in the
second wedge product of a vector space. Previously Koszul modules of finite
length have been used to give a proof of Green's Conjecture on syzygies of
generic canonical curves. We now give applications to effective stabilization
of cohomology of thickenings of algebraic varieties, divisors on moduli spaces
of curves, enumerative geometry of curves on K3 surfaces and to skew-symmetric
degeneracy loci. We also show that the stability of sufficiently positive rank
2 vector bundles on curves is governed by resonance."
320,"Inspired by this, we aim to reformulate test conﬁgurations
                                         via valuations (more precisely via divisorial valuations induced by lc places) for Calabi-Yau
                                         varieties, and expect to further study the degeneration of Calabi-Yau varieties in the moduli
                                         theory.","In the realm of Calabi-Yau variety, K-stability
                                         theory could be translated into singularity theory via [Oda13] (see also [BHJ17, Section 9]),
                                         in other words, people are mainly interested in Calabi-Yau varieties with log canonical or
                                         semi-log canonical singularities.","We say that a projective log pair (X, ∆) is a log canonical (resp.",2022-01-10 09:14:22+00:00,Degeneration of log Calabi-Yau pairs via log canonical places,math.AG,['math.AG'],"[arxiv.Result.Author('Guodu Chen'), arxiv.Result.Author('Chuyu Zhou')]","Let $(X, \Delta)$ be a projective log canonical Calabi-Yau pair and $L$ an
ample $\mathbb{Q}$-line bundle on $X$, we show that there is a correspondence
between lc places of $(X, \Delta)$ and weakly special test configurations of
$(X, \Delta;L)$."
321,"Inspired by this, we aim to reformulate test
                                          conﬁgurations via valuations (more precisely via divisorial valuations induced by lc places) for
                                          Calabi-Yau varieties, and expect to further study the degenerations of Calabi-Yau varieties
                                          in the moduli theory.","In the realm of Calabi-Yau
                                          varieties, K-stability theory could be translated into singularity theory by [Oda13] (see also
                                          [BHJ17, Section 9]), in other words, people are mainly interested in Calabi-Yau varieties with
                                          log canonical or semi-log canonical singularities.","2010 Mathematics Subject Classiﬁcation: 14E30, 14J17.",2022-01-10 09:14:22+00:00,Degeneration of log Calabi-Yau pairs via log canonical places,math.AG,['math.AG'],"[arxiv.Result.Author('Guodu Chen'), arxiv.Result.Author('Chuyu Zhou')]","Let $(X, \Delta)$ be a projective log canonical Calabi-Yau pair and $L$ an
ample $\mathbb{Q}$-line bundle on $X$, we show that there is a correspondence
between lc places of $(X, \Delta)$ and weakly special test configurations of
$(X, \Delta;L)$."
359,"[9] took a step further studying geometric rank systematically, giving results on
                                          tensors with geometric rank at most 3.","1 Introduction

                                          1.1 Geometric Rank

                                          Geometric rank of tensors is introduced in [11] as an extension of analytic rank from ﬁnite ﬁelds to
                                          algebraically closed ﬁelds, and as a tool to ﬁnd upper bounds on border subrank and lower bounds
                                          on slice rank.","[6] showed that the partition rank is at most 2n−1 times of
                                          the geometric rank for n-part tensors.",2022-01-10 19:51:42+00:00,Geometric Rank and Linear Determinantal Varieties,math.AG,"['math.AG', 'cs.CC']",[arxiv.Result.Author('Runshi Geng')],"There are close relations between tripartite tensors with bounded geometric
ranks and linear determinantal varieties with bounded codimensions. We study
linear determinantal varieties with bounded codimensions, and prove upper
bounds of the dimensions of the ambient spaces. Using those results, we
classify tensors with geometric rank 3, find upper bounds of multilinear ranks
of primitive tensors with geometric rank 4, and prove the existence of such
upper bounds in general. We extend results of tripartite tensors to n-part
tensors, showing the equivalence between geometric rank 1 and partition rank 1."
360,"[10] took a step further studying geometric rank systematically, giving results on tensors
                                          with geometric rank at most 3.","Geometric rank was introduced in [13] as an extension of analytic rank from ﬁnite ﬁelds to alge-
                                          braically closed ﬁelds, and as a tool to ﬁnd upper bounds on border subrank and lower bounds on
                                          slice rank.","[7] showed that the partition rank is at most 2n−1 times of the

                                              ∗Texas A&M University, ORCID: 0000-0003-3440-5148, runshi.geng@gmail.com

                                                                                                          1
geometric rank for n-part tensors.",2022-01-10 19:51:42+00:00,Geometric Rank and Linear Determinantal Varieties,math.AG,"['math.AG', 'cs.CC']",[arxiv.Result.Author('Runshi Geng')],"There are close relations between tripartite tensors with bounded geometric
ranks and linear determinantal varieties with bounded codimensions. We study
linear determinantal varieties with bounded codimensions, and prove upper
bounds of the dimensions of the ambient spaces. Using those results, we
classify tensors with geometric rank 3, find upper bounds of multilinear ranks
of primitive tensors with geometric rank 4, and prove the existence of such
upper bounds in general. We extend results of tripartite tensors to n-part
tensors, showing the equivalence between geometric rank 1 and partition rank 1."
418,"Understanding whether additional problematic subsets
of V×(F) always exist in the triangular setting is left to further research.","As depicted in Example 27, triangularity
guarantees only one type of proper subset of V×(F) which causes the sparse trace tests to erro-

neously succeed (compare to Example 23).","Although the sparse trace tests may not be applied to lacunary or triangular supports, there are
settings in which these properties are advantageous.",2022-01-12 01:55:48+00:00,Sparse trace tests,math.AG,"['math.AG', 'cs.SC', '65H14, 14Q65, 14M25, 68W30']","[arxiv.Result.Author('Taylor Brysiewicz'), arxiv.Result.Author('Michael Burr')]","We establish how the coefficients of a sparse polynomial system influence the
sum (or the trace) of its zeros. As an application, we develop numerical tests
for verifying whether a set of solutions to a sparse system is complete. These
algorithms extend the classical trace test in numerical algebraic geometry. Our
results rely on both the analysis of the structure of sparse resultants as well
as an extension of Esterov's results on monodromy groups of sparse systems."
468,"Then we consider the following key proposition for our further study:

Proposition 4.3.6.","This is basically an A-relative version of the corresponding result in [KL15, Corollary
6.3.4].","(After Kedlaya-Liu [KL15, Theorem 6.3.9]) Now let M again be a ϕa-bundle
over ΠR,A.",2022-01-13 04:22:57+00:00,Geometric and Representation Theoretic Aspects of $p$-adic Motives,math.AG,"['math.AG', 'math.NT']",[arxiv.Result.Author('Xin Tong')],"In this dissertation, we discuss mainly the corresponding geometric and
representation theoretic aspects of relative $p$-adic Hodge theory and $p$-adic
motives. To be more precise, we study the corresponding analytic geometry of
the corresponding spaces over and attached to period rings in the relative
$p$-adic Hodge theory, including derived topological de Rham complexes and
derived topological logarithmic de Rham complexes after Bhatt, Gabber, Guo and
Illusie which is in some sense equivalent to the derived prismatic cohomology
of Bhatt-Scholze as shown in the work of Li-Liu,
$\mathcal{O}\mathbb{B}_\mathrm{dR}$-sheaves after Scholze,
$\varphi$-$\widetilde{C}_X$-sheaves and relative-$B$-pairs after Kedlaya-Liu,
multidimensional rings after Carter-Kedlaya-Z\'abr\'adi and Pal-Z\'abr\'adi and
many other possible general universal motivic rings or sheaves. Many contexts
are expected to be sheafified, such as over Scholze's pro-\'etale sites of the
considered analytic spaces by using perfectoids or the quasisyntomic sites by
using quasiregular semiperfectoids as in the work of Bhatt-Morrow-Scholze and
Bhatt-Scholze."
469,"Note that we deﬁned key cate-

gories in the previous subsection for our further study on the Hodge-Iwasawa theory in the

integral setting:

                   Dcpoenrfst,smooth(X, T) ⊂ Dcpoenrfst(X, T) ⊂ Dperf(X, T).","4.4.2 Noncommutative-Equivariant K-Theory in Waldhausen C ategories

Witte used K-theory to have had formulated some conjectures related to the corresponding
Fukaya-Kato’s key conjectures in Deligne’s virtual category.","Also we have the following pro-étale version of the corresponding categories:

                     Dcpoenrfst,smooth(Xproét, T) ⊂ Dcpoenrfst(Xproét, T) ⊂ Dperf(Xproét, T).",2022-01-13 04:22:57+00:00,Geometric and Representation Theoretic Aspects of $p$-adic Motives,math.AG,"['math.AG', 'math.NT']",[arxiv.Result.Author('Xin Tong')],"In this dissertation, we discuss mainly the corresponding geometric and
representation theoretic aspects of relative $p$-adic Hodge theory and $p$-adic
motives. To be more precise, we study the corresponding analytic geometry of
the corresponding spaces over and attached to period rings in the relative
$p$-adic Hodge theory, including derived topological de Rham complexes and
derived topological logarithmic de Rham complexes after Bhatt, Gabber, Guo and
Illusie which is in some sense equivalent to the derived prismatic cohomology
of Bhatt-Scholze as shown in the work of Li-Liu,
$\mathcal{O}\mathbb{B}_\mathrm{dR}$-sheaves after Scholze,
$\varphi$-$\widetilde{C}_X$-sheaves and relative-$B$-pairs after Kedlaya-Liu,
multidimensional rings after Carter-Kedlaya-Z\'abr\'adi and Pal-Z\'abr\'adi and
many other possible general universal motivic rings or sheaves. Many contexts
are expected to be sheafified, such as over Scholze's pro-\'etale sites of the
considered analytic spaces by using perfectoids or the quasisyntomic sites by
using quasiregular semiperfectoids as in the work of Bhatt-Morrow-Scholze and
Bhatt-Scholze."
470,"The
corresponding relationship we established above could show us the corresponding Iwasawa
theory of the relative Frobenius modules over the pro-étale site is equivalent to that of the
corresponding B-pairs (we will also discuss this more in our further study).","4.4.4 Higher Homotopical Geometrized Tamagawa-Iwasawa Theory of Hodge-Iwasawa
         Modules

The structure of the corresponding Hodge-Iwasawa modules in our mind has the potential
to give us the chance to use them to study the corresponding rational Iwasawa theory.","For instance the
latter gives us directly some kind of family version of exponential maps and dual-exponential
maps in the higher dimensional situation.",2022-01-13 04:22:57+00:00,Geometric and Representation Theoretic Aspects of $p$-adic Motives,math.AG,"['math.AG', 'math.NT']",[arxiv.Result.Author('Xin Tong')],"In this dissertation, we discuss mainly the corresponding geometric and
representation theoretic aspects of relative $p$-adic Hodge theory and $p$-adic
motives. To be more precise, we study the corresponding analytic geometry of
the corresponding spaces over and attached to period rings in the relative
$p$-adic Hodge theory, including derived topological de Rham complexes and
derived topological logarithmic de Rham complexes after Bhatt, Gabber, Guo and
Illusie which is in some sense equivalent to the derived prismatic cohomology
of Bhatt-Scholze as shown in the work of Li-Liu,
$\mathcal{O}\mathbb{B}_\mathrm{dR}$-sheaves after Scholze,
$\varphi$-$\widetilde{C}_X$-sheaves and relative-$B$-pairs after Kedlaya-Liu,
multidimensional rings after Carter-Kedlaya-Z\'abr\'adi and Pal-Z\'abr\'adi and
many other possible general universal motivic rings or sheaves. Many contexts
are expected to be sheafified, such as over Scholze's pro-\'etale sites of the
considered analytic spaces by using perfectoids or the quasisyntomic sites by
using quasiregular semiperfectoids as in the work of Bhatt-Morrow-Scholze and
Bhatt-Scholze."
471,"We have not made it to add the corresponding discussion on the noncom-
mutative setting, but this will be pushed to our further study.","7.1.3 Future Study

The current geometric discussion covered in this paper is basically around the commutative
analytic geometry.","Certainly the corresponding
noncommutative deformation will require some further well-established understanding on the
foundational issues, such as the corresponding noncommutative descent as in the commutative
situation from [KL1] and [KL2].",2022-01-13 04:22:57+00:00,Geometric and Representation Theoretic Aspects of $p$-adic Motives,math.AG,"['math.AG', 'math.NT']",[arxiv.Result.Author('Xin Tong')],"In this dissertation, we discuss mainly the corresponding geometric and
representation theoretic aspects of relative $p$-adic Hodge theory and $p$-adic
motives. To be more precise, we study the corresponding analytic geometry of
the corresponding spaces over and attached to period rings in the relative
$p$-adic Hodge theory, including derived topological de Rham complexes and
derived topological logarithmic de Rham complexes after Bhatt, Gabber, Guo and
Illusie which is in some sense equivalent to the derived prismatic cohomology
of Bhatt-Scholze as shown in the work of Li-Liu,
$\mathcal{O}\mathbb{B}_\mathrm{dR}$-sheaves after Scholze,
$\varphi$-$\widetilde{C}_X$-sheaves and relative-$B$-pairs after Kedlaya-Liu,
multidimensional rings after Carter-Kedlaya-Z\'abr\'adi and Pal-Z\'abr\'adi and
many other possible general universal motivic rings or sheaves. Many contexts
are expected to be sheafified, such as over Scholze's pro-\'etale sites of the
considered analytic spaces by using perfectoids or the quasisyntomic sites by
using quasiregular semiperfectoids as in the work of Bhatt-Morrow-Scholze and
Bhatt-Scholze."
