,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
212,The above lower bound gives rise to several lines of further research.,where b is an arbitrary constant such that a + b < 1.,"First,
we conjecture that w.r.t.",2022-01-06 18:38:26+00:00,The splitting power of branching programs of bounded repetition and CNFs of bounded width,math.CO,"['math.CO', 'cs.CC']",[arxiv.Result.Author('Igor Razgon')],"In this paper we study syntactic branching programs of bounded repetition
representing CNFs of bounded treewidth. For this purpose we introduce two new
structural graph parameters $d$-pathwidth and clique preserving $d$-pathwidth
denoted by $d-pw(G)$ and $d-cpw(G)$ where $G$ is a graph. We show that
$2-cpw(G) \leq O(tw(G) \Delta(G))$ where $tw(G)$ and $\Delta(G)$ are,
respectively the treewidth and maximal degree of $G$. Using this upper bound,
we demonstrate that each CNF $\psi$ can be represented as a conjunction of two
OBDDs of size $2^{O(\Delta(\psi)*tw(\psi)^2)}$ where $tw(\psi)$ is the
treewidth of the primal graph of $\psi$ and each variable occurs in $\psi$ at
most $\Delta(\psi)$ times.
  Next we use $d$-pathwdith to obtain lower bounds for monotone branching
programs. In particular, we consider the monotone version of syntactic
nondeterministic read $d$ times branching programs (just forbidding negative
literals as edge labels) and introduce a further restriction that each
computational path can be partitioned into at most $d$ read-once subpaths. We
call the resulting model separable monotone read $d$ times branching programs
and abbreviate them $d$-SMNBPs. For each graph $G$ without isolated vertices,
we introduce a CNF $\psi(G)$ whsose clauses are $(u \vee e \vee v)$ for each
edge $e=\{u,v\}$ of $G$. We prove that a $d$-SMNBP representing $\psi(G)$ is of
size at least $\Omega(c^{d-pw(G)})$ where $c=(8/7)^{1/12}$. We use this
'generic' lower bound to obtain an exponential lower bound for a 'concrete'
class of CNFs $\psi(K_n)$. In particular, we demonstrate that for each $0<a<1$,
the size of $n^{a}$-SMNBP representing $\psi(K_n)$ is at least $c^{n^b}$ where
$b$ is an arbitrary constant such that $a+b<1$. This lower bound is tight in
the sense $\psi(K_n)$ can be represented by a poly-sized $n$-SMNBP."
213,Let us discuss two directions of further research.,"As Z is connected , |Z| ≥ |V (Z)| − 1 and hence the statement follows.","Open Question 1 Does Theorem 5 hold for d-MNBP (that is, without the
separability assumption)?",2022-01-06 18:38:26+00:00,The splitting power of branching programs of bounded repetition and CNFs of bounded width,math.CO,"['math.CO', 'cs.CC']",[arxiv.Result.Author('Igor Razgon')],"In this paper we study syntactic branching programs of bounded repetition
representing CNFs of bounded treewidth. For this purpose we introduce two new
structural graph parameters $d$-pathwidth and clique preserving $d$-pathwidth
denoted by $d-pw(G)$ and $d-cpw(G)$ where $G$ is a graph. We show that
$2-cpw(G) \leq O(tw(G) \Delta(G))$ where $tw(G)$ and $\Delta(G)$ are,
respectively the treewidth and maximal degree of $G$. Using this upper bound,
we demonstrate that each CNF $\psi$ can be represented as a conjunction of two
OBDDs of size $2^{O(\Delta(\psi)*tw(\psi)^2)}$ where $tw(\psi)$ is the
treewidth of the primal graph of $\psi$ and each variable occurs in $\psi$ at
most $\Delta(\psi)$ times.
  Next we use $d$-pathwdith to obtain lower bounds for monotone branching
programs. In particular, we consider the monotone version of syntactic
nondeterministic read $d$ times branching programs (just forbidding negative
literals as edge labels) and introduce a further restriction that each
computational path can be partitioned into at most $d$ read-once subpaths. We
call the resulting model separable monotone read $d$ times branching programs
and abbreviate them $d$-SMNBPs. For each graph $G$ without isolated vertices,
we introduce a CNF $\psi(G)$ whsose clauses are $(u \vee e \vee v)$ for each
edge $e=\{u,v\}$ of $G$. We prove that a $d$-SMNBP representing $\psi(G)$ is of
size at least $\Omega(c^{d-pw(G)})$ where $c=(8/7)^{1/12}$. We use this
'generic' lower bound to obtain an exponential lower bound for a 'concrete'
class of CNFs $\psi(K_n)$. In particular, we demonstrate that for each $0<a<1$,
the size of $n^{a}$-SMNBP representing $\psi(K_n)$ is at least $c^{n^b}$ where
$b$ is an arbitrary constant such that $a+b<1$. This lower bound is tight in
the sense $\psi(K_n)$ can be represented by a poly-sized $n$-SMNBP."
259,"Via the structural between H and

G − E(H), we further study the neighbor full sum distinguishing total chromatic number of 3-regular

graphs.","m

Lemma 6 implies that every 3-regular graph G contains a maximal bipartite spanning subgraph

H such that G − E(H) is either isolated vertices or isolated edges.","For the sake of narrative, we ﬁx some natation.",2022-01-08 07:01:27+00:00,An extension on neighbor sum distinguishing total coloring of graphs,math.CO,"['math.CO', '05C15']","[arxiv.Result.Author('Jing-zhi Chang'), arxiv.Result.Author('Chao Yang'), arxiv.Result.Author('Zhi-xiang Yin'), arxiv.Result.Author('Bing Yao')]","Let $f: V(G)\cup E(G)\rightarrow \{1,2,\dots,k\}$ be a non-proper total
$k$-coloring of $G$. Define a weight function on total coloring as
$$\phi(x)=f(x)+\sum\limits_{e\ni x}f(e)+\sum\limits_{y\in N(x)}f(y),$$ where
$N(x)=\{y\in V(G)|xy\in E(G)\}$. If $\phi(x)\neq \phi(y)$ for any edge $xy\in
E(G)$, then $f$ is called a neighbor full sum distinguishing total $k$-coloring
of $G$. The smallest value $k$ for which $G$ has such a coloring is called the
neighbor full sum distinguishing total chromatic number of $G$ and denoted by
fgndi$_{\sum}(G)$. The coloring is an extension of neighbor sum distinguishing
non-proper total coloring. In this paper we conjecture that
fgndi$_{\sum}(G)\leq 3$ for any connected graph $G$ of order at least three. We
prove that the conjecture is true for (i) paths and cycles; (ii) 3-regular
graphs and (iii) stars, complete graphs, trees, hypercubes, bipartite graphs
and complete $r$-partite graphs. In particular, complete graphs can achieve the
upper bound for the above conjecture."
338,"In
                                          dimensions 4 and 5, there are 348 and 50 polytopes, respectively, yielding many new examples
                                          for further study.","We derive a new method for generating
                                          the combinatorial type of these polytopes via the classiﬁcation of point set order types.","We furthermore provide new upper bounds on the dimension d of compact hyperbolic Cox-
                                          eter polytopes with d + k facets for k ≤ 10.",2022-01-10 16:32:49+00:00,Near Classification of Compact Hyperbolic Coxeter $d$-Polytopes with $d+4$ Facets and Related Dimension Bounds,math.CO,"['math.CO', 'math.GT', 'math.MG', '51F15, 51M20, 20F55']",[arxiv.Result.Author('Amanda Burcroff')],"We complete the classification of compact hyperbolic Coxeter $d$-polytopes
with $d+4$ facets for $d=4$ and $5$. By previous work of Felikson and Tumarkin,
the only remaining dimension where new polytopes may arise is $d=6$. We derive
a new method for generating the combinatorial type of these polytopes via the
classification of point set order types. In dimensions $4$ and $5$, there are
$348$ and $50$ polytopes, respectively, yielding many new examples for further
study.
  We furthermore provide new upper bounds on the dimension $d$ of compact
hyperbolic Coxeter polytopes with $d+k$ facets for $k \leq 10$. It was shown by
Vinberg in 1985 that for any $k$, we have $d \leq 29$, and no better bounds
have previously been published for $k \geq 5$. As a consequence of our bounds,
we prove that a compact hyperbolic Coxeter $29$-polytope has at least $40$
facets."
339,"It may be interesting to further study the properties of many of these polytopes, especially
those that are essential.","This includes the ﬁrst known example in dimension higher than three with a dihedral angle of
less than 1π0 , as well as the ﬁrst known example in dimension higher than three with an angle of
COMPACT HYPERBOLIC COXETER POLYTOPES WITH FEW FACETS  46

π7 .","In Section 10, we provide improved upper bounds on the dimension of compact Coxeter d-
polytopes with d + k facets for 5 ≤ k ≤ 10.",2022-01-10 16:32:49+00:00,Near Classification of Compact Hyperbolic Coxeter $d$-Polytopes with $d+4$ Facets and Related Dimension Bounds,math.CO,"['math.CO', 'math.GT', 'math.MG', '51F15, 51M20, 20F55']",[arxiv.Result.Author('Amanda Burcroff')],"We complete the classification of compact hyperbolic Coxeter $d$-polytopes
with $d+4$ facets for $d=4$ and $5$. By previous work of Felikson and Tumarkin,
the only remaining dimension where new polytopes may arise is $d=6$. We derive
a new method for generating the combinatorial type of these polytopes via the
classification of point set order types. In dimensions $4$ and $5$, there are
$348$ and $50$ polytopes, respectively, yielding many new examples for further
study.
  We furthermore provide new upper bounds on the dimension $d$ of compact
hyperbolic Coxeter polytopes with $d+k$ facets for $k \leq 10$. It was shown by
Vinberg in 1985 that for any $k$, we have $d \leq 29$, and no better bounds
have previously been published for $k \geq 5$. As a consequence of our bounds,
we prove that a compact hyperbolic Coxeter $29$-polytope has at least $40$
facets."
340,"In
                                          dimensions 4 and 5, there are 348 and 51 polytopes, respectively, yielding many new examples
                                          for further study.","We derive a new method for generating
                                          the combinatorial type of these polytopes via the classiﬁcation of point set order types.","We furthermore provide new upper bounds on the dimension d of compact hyperbolic Cox-
                                          eter polytopes with d + k facets for k ≤ 10.",2022-01-10 16:32:49+00:00,Near Classification of Compact Hyperbolic Coxeter $d$-Polytopes with $d+4$ Facets and Related Dimension Bounds,math.CO,"['math.CO', 'math.GT', 'math.MG', '51F15, 51M20, 20F55']",[arxiv.Result.Author('Amanda Burcroff')],"We complete the classification of compact hyperbolic Coxeter $d$-polytopes
with $d+4$ facets for $d=4$ and $5$. By previous work of Felikson and Tumarkin,
the only remaining dimension where new polytopes may arise is $d=6$. We derive
a new method for generating the combinatorial type of these polytopes via the
classification of point set order types. In dimensions $4$ and $5$, there are
$348$ and $51$ polytopes, respectively, yielding many new examples for further
study.
  We furthermore provide new upper bounds on the dimension $d$ of compact
hyperbolic Coxeter polytopes with $d+k$ facets for $k \leq 10$. It was shown by
Vinberg in 1985 that for any $k$, we have $d \leq 29$, and no better bounds
have previously been published for $k \geq 5$. As a consequence of our bounds,
we prove that a compact hyperbolic Coxeter $29$-polytope has at least $40$
facets."
341,"It may be interesting to further study the properties of many of these polytopes, especially
those that are essential.","This includes the ﬁrst known example in dimension higher than three with a dihedral angle of
less than 1π0 , as well as the ﬁrst known example in dimension higher than three with an angle of
π7 .","In Section 10, we provide improved upper bounds on the dimension of compact Coxeter d-
polytopes with d + k facets for 5 ≤ k ≤ 10.",2022-01-10 16:32:49+00:00,Near Classification of Compact Hyperbolic Coxeter $d$-Polytopes with $d+4$ Facets and Related Dimension Bounds,math.CO,"['math.CO', 'math.GT', 'math.MG', '51F15, 51M20, 20F55']",[arxiv.Result.Author('Amanda Burcroff')],"We complete the classification of compact hyperbolic Coxeter $d$-polytopes
with $d+4$ facets for $d=4$ and $5$. By previous work of Felikson and Tumarkin,
the only remaining dimension where new polytopes may arise is $d=6$. We derive
a new method for generating the combinatorial type of these polytopes via the
classification of point set order types. In dimensions $4$ and $5$, there are
$348$ and $51$ polytopes, respectively, yielding many new examples for further
study.
  We furthermore provide new upper bounds on the dimension $d$ of compact
hyperbolic Coxeter polytopes with $d+k$ facets for $k \leq 10$. It was shown by
Vinberg in 1985 that for any $k$, we have $d \leq 29$, and no better bounds
have previously been published for $k \geq 5$. As a consequence of our bounds,
we prove that a compact hyperbolic Coxeter $29$-polytope has at least $40$
facets."
487,"We
leave them for further research.","Furthermore, what happens if the minimum degree is ﬁxed?","We will also consider maximum signless laplacian (p-Laplacian) spectral
radius version of the problem among the same family of graphs in the near future.",2022-01-13 11:13:44+00:00,Spectral radius and the $2$-power of Hamilton cycles,math.CO,"['math.CO', '05C35', 'G.2.0']","[arxiv.Result.Author('Xinru Yan'), arxiv.Result.Author('Xiaocong He'), arxiv.Result.Author('Lihua Feng'), arxiv.Result.Author('Weijun Liu')]","Let $G$ be a graph of order $n$ and spectral radius be the largest eigenvalue
of its adjacency matrix, denoted by $\mu(G)$. In this paper, we determine the
unique graph with maximum spectral radius among all graphs of order $n$ without
containing the $2$-power of a Hamilton cycle."
584,"We

ﬁnish the paper giving simple examples and some open problems which could be of interest for

further research.",The proof of Theorem 1.1 is in Section 10.,"2 Preliminaries

An (undirected) graph Γ is a pair (X, R), where X is a nonempty set and R is a collection
of one or two element subsets of X.",2022-01-14 17:23:55+00:00,On (almost) $2$-$Y$-homogeneous distance-biregular graphs,math.CO,['math.CO'],"[arxiv.Result.Author('Blas Fernandez'), arxiv.Result.Author('Safet Penjic')]","Let $\Gamma$ denote a bipartite graph with vertex set $X$, color partitions
$Y$, $Y'$, and assume that every vertex in $Y$ has eccentricity $D\ge 3$. For
$z\in X$ and a non-negative integer $i$, let $\Gamma_{i}(z)$ denote the set of
vertices in $X$ that are at distance $i$ from $z$. Graph $\Gamma$ is almost
$2$-$Y$-homogeneous whenever for all $i \; (1\leq i \leq D-2)$ and for all
$x\in Y$, $y \in \Gamma_2(x)$ and $z \in \Gamma_{i}(x)\cap\Gamma_i(y)$, the
number of common neighbours of $x$ and $y$ which are at distance $i-1$ from $z$
is independent of the choice of $x$, $y$ and $z$. In addition, if the above
condition holds also for $i=D-1$, then we say that $\Gamma$ is
$2$-$Y$-homogeneous.
  Now, let $\Gamma$ denote a distance-biregular graph. In this paper we study
the intersection arrays of $\Gamma$ and we give sufficient and necessary
conditions under which $\Gamma$ is (almost) $2$-$Y$-homogeneous. In the case
when $\Gamma$ is $2$-$Y$-homogeneous we write the intersection numbers of the
color class $Y$ in terms of three parameters."
585,"We refer to [9, 13, 17, 18, 34, 37] for further research on
distance-biregular graphs.","The subdivision graph of the
Petersen graph is an example of 2-Y -homogeneous distance-biregular graph (here Y is the set
of vertices of the Petersen graph).","Let Γ denote a (Y, Y ′)-distance-biregular graph with vertex set X.",2022-01-14 17:23:55+00:00,On (almost) $2$-$Y$-homogeneous distance-biregular graphs,math.CO,['math.CO'],"[arxiv.Result.Author('Blas Fernandez'), arxiv.Result.Author('Safet Penjic')]","Let $\Gamma$ denote a bipartite graph with vertex set $X$, color partitions
$Y$, $Y'$, and assume that every vertex in $Y$ has eccentricity $D\ge 3$. For
$z\in X$ and a non-negative integer $i$, let $\Gamma_{i}(z)$ denote the set of
vertices in $X$ that are at distance $i$ from $z$. Graph $\Gamma$ is almost
$2$-$Y$-homogeneous whenever for all $i \; (1\leq i \leq D-2)$ and for all
$x\in Y$, $y \in \Gamma_2(x)$ and $z \in \Gamma_{i}(x)\cap\Gamma_i(y)$, the
number of common neighbours of $x$ and $y$ which are at distance $i-1$ from $z$
is independent of the choice of $x$, $y$ and $z$. In addition, if the above
condition holds also for $i=D-1$, then we say that $\Gamma$ is
$2$-$Y$-homogeneous.
  Now, let $\Gamma$ denote a distance-biregular graph. In this paper we study
the intersection arrays of $\Gamma$ and we give sufficient and necessary
conditions under which $\Gamma$ is (almost) $2$-$Y$-homogeneous. In the case
when $\Gamma$ is $2$-$Y$-homogeneous we write the intersection numbers of the
color class $Y$ in terms of three parameters."
