,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
659,"While these arguments do not constitute a ‘proof’ that p is
a discrete scalar curvature and κ a discrete Ricci curvature, we believe that they make a strong
case and hope that this will provide a good starting point for further research.","A brief summary of the arguments is given below and each argument is then presented in more
detail in the following subsections.","The arguments
can be summarized as follows:

  (1) The resistance curvatures are constant and of the correct sign for a number of graphs
       associated to constant curvature spaces.",2022-01-17 12:49:57+00:00,Discrete curvature on graphs from the effective resistance,math.DG,"['math.DG', 'math.CO', 'math.MG', 'physics.soc-ph', '53A70, 52C99, 05C10, 05C50, 53Z50, 05C90']","[arxiv.Result.Author('Karel Devriendt'), arxiv.Result.Author('Renaud Lambiotte')]","This article introduces a new approach to discrete curvature based on the
concept of effective resistances. We propose a curvature on the nodes and links
of a graph and present the evidence for their interpretation as a curvature.
Notably, we find a relation to a number of well-established discrete curvatures
(Ollivier, Forman, combinatorial curvature) and show evidence for convergence
to continuous curvature in the case of Euclidean random graphs. Being both
efficient to calculate and highly amenable to theoretical analysis, these
resistance curvatures have the potential to shed new light on the theory of
discrete curvature and its many applications in mathematics, network science,
data science and physics."
660,"While these arguments do not constitute a ‘proof’ that p is
a discrete scalar curvature and κ a discrete Ricci curvature, we believe that they make a strong
case and hope that this will provide a good starting point for further research.","A brief summary of the arguments is given below and each argument is then presented in more
detail in the following subsections.","The arguments
can be summarized as follows:

  (1) The resistance curvatures are constant and of the correct sign for a number of graphs
       associated to constant curvature spaces.",2022-01-17 12:49:57+00:00,Discrete curvature on graphs from the effective resistance,math.DG,"['math.DG', 'math.CO', 'math.MG', 'physics.soc-ph', '53A70, 52C99, 05C10, 05C50, 53Z50, 05C90']","[arxiv.Result.Author('Karel Devriendt'), arxiv.Result.Author('Renaud Lambiotte')]","This article introduces a new approach to discrete curvature based on the
concept of effective resistances. We propose a curvature on the nodes and links
of a graph and present the evidence for their interpretation as a curvature.
Notably, we find a relation to a number of well-established discrete curvatures
(Ollivier, Forman, combinatorial curvature) and show evidence for convergence
to continuous curvature in the case of Euclidean random graphs. Being both
efficient to calculate and highly amenable to theoretical analysis, these
resistance curvatures have the potential to shed new light on the theory of
discrete curvature and its many applications in mathematics, network science,
data science and physics."
661,"While these arguments do not constitute a ‘proof’ that p is
a discrete scalar curvature and κ a discrete Ricci curvature, we believe that they make a strong
case and hope that this will provide a good starting point for further research.","A brief summary of the arguments is given below and each argument is then presented in more
detail in the following subsections.","The arguments
can be summarized as follows:

  (1) The resistance curvatures are constant and of the correct sign for a number of graphs
       associated to constant curvature spaces.",2022-01-17 12:49:57+00:00,Discrete curvature on graphs from the effective resistance,math.DG,"['math.DG', 'math.CO', 'math.MG', 'physics.soc-ph', '53A70, 52C99, 05C10, 05C50, 53Z50, 05C90']","[arxiv.Result.Author('Karel Devriendt'), arxiv.Result.Author('Renaud Lambiotte')]","This article introduces a new approach to discrete curvature based on the
concept of effective resistances. We propose a curvature on the nodes and links
of a graph and present the evidence for their interpretation as a curvature.
Notably, we find a relation to a number of well-established discrete curvatures
(Ollivier, Forman, combinatorial curvature) and show evidence for convergence
to continuous curvature in the case of Euclidean random graphs. Being both
efficient to calculate and highly amenable to theoretical analysis, these
resistance curvatures have the potential to shed new light on the theory of
discrete curvature and its many applications in mathematics, network science,
data science and physics."
807,"Then in Section 3, we further study the asymptotic orbits coming from γ -action,
where γ ∈ π1(M, p) has inﬁnite order.","In Section 2, assuming that M has the conditions in Theorem A(1) and

π1(M ) is nilpotent, we study the equivariant asymptotic geometry of (M , π1(M, p)).","The properties of these asymptotic orbits
lead to the almost linear growth estimate and virtual abelianness in Section 4.",2022-01-19 20:42:08+00:00,"Nonnegative Ricci curvature, metric cones, and virtual abelianness",math.DG,['math.DG'],[arxiv.Result.Author('Jiayin Pan')],"Let $M$ be an open $n$-manifold with nonnegative Ricci curvature. We prove
that if its escape rate is not $1/2$ and its Riemannian universal cover is
conic at infinity, that is, every asymptotic cone $(Y,y)$ of the universal
cover is a metric cone with vertex $y$, then $\pi_1(M)$ contains an abelian
subgroup of finite index. If in addition the universal cover has Euclidean
volume growth of constant at least $L$, we can further bound the index by a
constant $C(n,L)$."
1530,"In the present paper, by employing

the evolution equations of curve ﬂow, we obtain the second variational formula and further study

the local stability of the extremal curves with respect to fully aﬃne arc length (see Section

5 for details).","However,

the second variational formula is still a remaining problem.","It is noteworthy that the fully aﬃne maximal curves in R2 produce a more
abundant category, which contains not only the explicit curves y = xα (α is a constant and α ∈/
{0, 1, 1 , 2}) and y = x log x, but also these implicit curves with the fully aﬃne curvature ϕ =
   √2 √
                             √   √                    √
32       2                   32     2                    29
   2 tanh 3 ξ , ϕ = 2 coth 3 ξ , or ϕ = ± 2 + ξ2 , where ξ is the fully aﬃne arc

length parameter.",2022-02-04 06:35:38+00:00,The maximal curves and heat flow in fully affine geometry,math.DG,"['math.DG', '53A15, 53A55, 53E40, 35K52']",[arxiv.Result.Author('Yun Yang')],"In Euclidean geometry, the shortest distance between two points is a straight
line. Chern made a conjecture in 1977 that an affine maximal graph of a smooth,
locally uniformly convex function on two-dimensional Euclidean space $\R^2$
must be a paraboloid. In 2000, Trudinger and Wang completed the proof of this
conjecture in affine geometry. (Caution: in these literatures, the term ""affine
geometry"" refers to ""equi-affine geometry"".) A natural problem arises: Whether
the hyperbola is the fully affine maximal curve in $\R^2$? In this paper, by
utilizing the evolution equations for curves, we obtain the second variational
formula for fully affine extremal curves in $\R^2$, and show the fully affine
maximal curves in $\R^2$ are much more abundant and include the explicit curves
$y=x^\alpha ~\left(\alpha\;\text{is a constant
and}\;\alpha\notin\{0,1,\frac{1}{2},2\}\right)$ and $y=x\log x$. At the same
time, we generalize the fundamental theory of curves in higher dimensions,
equipped with $\text{GA}(n)=\text{GL}(n)\ltimes\R^n$. Moreover, in fully affine
plane geometry, an isoperimetric inequality is investigated, and a complete
classification of the solitons for fully affine heat flow is provided. We also
study the local existence, uniqueness, and long-term behavior of this fully
affine heat flow. A closed embedded curve will converge to an ellipse when
evolving according to the fully affine heat flow is proved."
2605,"It is worth remarking
that currents as deﬁned here provide an ample setting for further study.",The set of grade preserving linear multiplicative currents are the most useful for us.,"There are plenty of tweaks that
could be interesting.",2022-02-28 22:20:54+00:00,A Gelfand Transform for Spinor Fields on Embedded Riemannian Manifolds,math.DG,"['math.DG', 'math-ph', 'math.FA', 'math.MP', '53-XX (Primary), 35RXX, 46JXX (Secondary)']",[arxiv.Result.Author('Colin Roberts')],"A classical result of Gelfand shows that the topologized spectrum of
characters on commutative Banach algebra is homeomorphic to the underlying
space. This fact is used in solving the Calder\'on problem in dimension 2 via
the boundary control (BC) method. To apply the BC method in dimension 3, the
algebra of complex holomorphic functions can be replaced by the space of
harmonic quaternion fields, but this space is no longer an algebra and is not
commutative. Nonetheless, it has been shown that a suitable notion of a
spectrum exists and in the case when the underlying space is convex, the
spectrum is homeomorphic to the ball. Our goal is to generalize this result to
more general manifolds in arbitrary dimension. To do so, we use Clifford
algebras of multivector fields and the set of functions we care about is the
space monogenic spinor fields. The spectrum consists of spinor valued
functionals that respect the module and subalgebra structure of the space of
monogenic spinor fields. We prove that for compact regions in $\mathbb{R}^n$,
the spectrum is homeomorphic to the manifold itself. Furthermore, some
essential lemmas and propositions are proven for arbitrary compact Riemannian
$n$-manifolds. Finally, we end with a Stone--Weierstrass theorem which shows
the algebra generated by the monogenic spinor fields on arbitrary compact $M$
with boundary is dense in the algebra of continuous spinor fields."
2878,"1
2                AKAMINE, HONDA, UMEHARA AND YAMADA

theorem might play an important role for further study of diﬀerential geometry of

null hypersurfaces.","17H02839, respectively, from Japan Society for the
                                         Promotion of Science.","On the other hand, an L-complete null wave front in Rn1+1 is called complete if its

singular set is a non-empty compact subset in the domain of deﬁnition.",2022-03-06 02:53:31+00:00,Null hypersurfaces as wave fronts in Lorentz-Minkowski space,math.DG,"['math.DG', 'Primary 53C50, Secondary 53C42, 53B30']","[arxiv.Result.Author('Shintaro Akamine'), arxiv.Result.Author('Atsufumi Honda'), arxiv.Result.Author('Masaaki Umehara'), arxiv.Result.Author('Kotaro Yamada')]","In this paper, we show that ""L-complete null hypersurfaces"" (i.e. ruled
hypersurfaces foliated by entirety of light-like lines) as wave fronts in the
$(n+1)$-dimensional Lorentz-Minkowski space $\mathbb R^{n+1}_1$ are canonically
induced by hypersurfaces in the $n$-dimensional Euclidean space $\mathbb
R^n_0$. As an application, we show that most of null wave fronts can be
realized as restrictions of certain L-complete null wave fronts. Moreover, we
determine light-like complete null hypersurfaces whose singular sets are
compact."
3226,We delegate for further study the actions (2) and (3) with general variations of metrics.,"for twisted products [13, 15], can be combined with (2) as
J¯D,ǫ : (g, T) → M (S + ǫ S D1,...,Dk) d volg (ǫ ∈ R), and can be used for the theory of gravity.",1.3.,2022-03-14 07:11:45+00:00,Variational problem on a metric-affine almost product manifold,math.DG,['math.DG'],"[arxiv.Result.Author('Vladimir Rovenski'), arxiv.Result.Author('Tomasz Zawadzki')]","A smooth manifold $M$ with a decomposition $TM={\cal D}_1+\ldots+{\cal D}_k$
of the tangent bundle into $k>2$ subbundles, appears in theories of $k$-nets
and webs of foliations and in studies of curvature and Einstein equations on
twisted products. We study a variational problem, which can be viewed as the
geometrical part of an Einstein-Hilbert type action on an almost product
manifold $(M,{\cal D}_1,\ldots,{\cal D}_k)$, namely, we consider integrated sum
of mixed scalar curvatures of several distributions, as a functional of an
adapted pseudo-Riemannian metric (i.e., keeping the pairwise orthogonality of
the distributions) and a linear connection. We find the Euler-Lagrange
equations of this action: for adapted variations of metric (which is similar to
the Einstein equation, where the Ricci tensor is replaced by the new Ricci type
tensor) and for variations of a linear connection, in terms of contorsion
tensor. Unlike in the Einstein-Cartan theory, metrics admitting critical
contorsions are severely restricted -- to those that make all distributions
totally umbilical. We examine further these restrictions in special cases:
twisted products and 3-Sasaki manifolds with naturally defined $k=4$
distributions. On the other hand, considering variations of connection among
statistical connections allows us to obtain examples of critical pairs
metric-contorsion from critical adapted metrics of the action with zero
contorsion tensor."
3498,"Ge made a further study of isoparametric functions and isopara-
                                          metric hypersurfaces on general Riemannian manifolds [8, 9] and gave the relationship be-
                                          tween focal sets and focal varieties of transnormal functions.",Tang and J.Q.,"In Finsler geometry, [10] introduced the concept of isoparametric functions and transnor-
                                          mal functions.",2022-03-18 08:27:41+00:00,Transnormal Functions and Focal Varieties on Finsler Manifolds,math.DG,"['math.DG', '53C60, 53C42, 34D23']","[arxiv.Result.Author('Yali Chen'), arxiv.Result.Author('Qun He')]","In this paper, we study transnormal functions and their level sets and focal
varieties on complete Finsler manifolds. We prove that the focal varieties of a
C2 transnormal function are smooth submanifolds and each regular level set is a
tube over either of the focal varieties."
3499,"In order to give a further study on isoparametric functions and isoparametric hypersur-
faces in Finsler geometry, in this papar, we study transnormal functions and focal varieties
in Finsler manifolds.","Then he used the same technique to study
isoparametric hypersurfaces induced by homothetic navigation in Lorentz Finsler geome-
try [18].","For a connected Finsler manifold (N, F ), denote the focal varieties of f
V = {p ∈ N ∇f (p) = 0} and M± the set where f attains its global maximum value or global
minimum value (if either of them exists).",2022-03-18 08:27:41+00:00,Transnormal Functions and Focal Varieties on Finsler Manifolds,math.DG,"['math.DG', '53C60, 53C42, 34D23']","[arxiv.Result.Author('Yali Chen'), arxiv.Result.Author('Qun He')]","In this paper, we study transnormal functions and their level sets and focal
varieties on complete Finsler manifolds. We prove that the focal varieties of a
C2 transnormal function are smooth submanifolds and each regular level set is a
tube over either of the focal varieties."
